Replicate,Genotype
1,WT
2,WT
3,WT
1,deltasigH
2,deltasigH
3,deltasigH
1,deltacomK1
2,deltacomK1
3,deltacomK1
1,deltacomK2
2,deltacomK2
3,deltacomK2
