"gene_id","FM2_5_1","FM2_5_2","FM2_5_3","FM2_5_4","FM2_5_5","FM2_5_6","R20291_1","R20291_2","R20291_3","R20291_4","R20291_5","R20291_6","Rv189_1","Rv189_2","Rv189_3","Rv189_4","Rv189_5","Rv189_6","Rv9_1","Rv9_2","Rv9_3","Rv9_4","Rv9_5","Rv9_6"
"gene-CDR20291_RS16615",4710,6827,3269,1005,534,1369,7455,1360,1687,1131,1666,1278,6281,2211,2871,674,2294,291,643,10033,7471,1400,819,925
"gene-CDR20291_RS16620",1483,2049,2296,175,371,115,1586,2051,2500,213,199,194,2031,1201,850,224,236,165,799,1610,1622,179,177,247
"gene-CDR20291_RS16625",1272,1703,681,238,173,330,1999,716,884,272,455,188,1563,383,1101,170,532,62,222,2508,1870,385,197,208
"gene-CDR20291_RS16630",2121,2512,1468,268,175,284,2494,958,1325,266,229,197,2386,724,1099,220,263,84,280,3264,2221,331,334,215
"gene-CDR20291_RS16635",122,208,130,53,63,39,199,29,72,27,29,17,167,70,113,36,50,4,11,187,200,34,37,25
"gene-CDR20291_RS16640",524,592,627,63,39,53,569,292,318,76,70,88,640,476,396,62,61,43,137,789,538,80,88,59
"gene-CDR20291_RS16645",2125,2936,2262,184,217,250,1352,2191,3353,124,144,119,2301,1326,2022,186,151,88,1373,2179,1959,149,190,143
"gene-CDR20291_RS16650",10919,12933,8002,2075,1738,2024,8898,5628,6861,1496,1753,1551,12904,7866,13660,1867,2285,1032,2351,10733,11489,1672,1877,1645
"gene-CDR20291_RS16655",98779,111173,71609,14030,11858,13986,86288,42685,54611,9984,12129,9691,124105,63348,91572,12333,17574,6885,17447,94991,118456,11333,13188,9418
"gene-CDR20291_RS01965",207,153,122,19,55,29,149,594,845,26,24,6,282,103,336,46,37,28,384,197,190,34,18,43
"gene-CDR20291_RS16660",922,1446,1375,97,63,81,345,1065,1518,61,42,70,687,541,514,128,50,54,303,791,900,83,43,49
"gene-CDR20291_RS16665",12059,15247,14163,4182,7600,3732,11057,15803,10970,3223,3018,5020,13402,12496,13949,4313,5436,2770,4196,13779,10825,3655,2564,6817
"gene-CDR20291_RS16670",4043,4277,1772,2118,729,2592,1297,31497,6825,1087,1137,2039,3242,27569,91559,3115,1765,1565,12231,1677,7224,1423,1025,2669
"gene-CDR20291_RS16675",328,496,223,137,44,124,151,1446,199,68,63,92,227,2216,3551,245,97,84,262,118,355,76,74,145
"gene-CDR20291_RS16680",326,366,271,22,139,42,289,6763,7146,36,58,50,435,247,536,75,45,59,3977,299,1006,83,101,89
"gene-CDR20291_RS16685",44,68,40,11,5,11,22,58,32,13,8,10,93,73,88,3,12,2,24,77,78,17,22,4
"gene-CDR20291_RS16690",21,40,45,16,8,1,2,32,53,2,15,7,50,46,15,4,6,3,20,65,64,6,7,3
"gene-CDR20291_RS16695",6104,7398,5691,1007,739,941,8391,2544,3903,1097,866,1042,8305,4860,5759,931,1177,702,755,7899,6351,1109,944,781
"gene-CDR20291_RS16710",33,68,63,14,10,22,51,9159,11593,10,9,9,165,78,102,13,21,6,432,121,172,13,28,22
"gene-CDR20291_RS16715",942,1434,1295,219,147,154,1010,457,739,211,185,156,1279,1451,885,180,211,137,85,1039,1169,254,170,141
"gene-CDR20291_RS01970",268,451,441,118,118,39,456,799,1073,93,54,93,594,620,523,87,90,64,389,390,547,83,87,125
"gene-CDR20291_RS16720",71,91,64,17,20,23,100,8865,11150,22,29,16,160,58,139,22,27,10,706,113,115,13,22,26
"gene-CDR20291_RS16725",0,13,6,1,1,0,5,55,72,2,1,0,8,12,3,1,0,1,26,9,8,0,0,2
"gene-CDR20291_RS16730",140,214,123,47,73,43,69,325,386,46,40,29,248,180,476,51,59,24,87,214,242,42,50,61
