"gene_id","FM2_5_1","FM2_5_2","FM2_5_3","FM2_5_4","FM2_5_5","FM2_5_6","R20291_1","R20291_2","R20291_3","R20291_4","R20291_5","R20291_6","Rv189_1","Rv189_2","Rv189_3","Rv189_4","Rv189_5","Rv189_6","Rv9_1","Rv9_2","Rv9_3","Rv9_4","Rv9_5","Rv9_6"
"gene-CDR20291_RS01130",42,23,18,13,24,10,32,8274,9068,7,17,20,121,90,68,17,7,9,9995,69,291,31,61,24
"gene-CDR20291_RS00045",836,981,931,101,160,152,383,4039,5078,94,102,89,1118,1093,907,162,80,119,4253,577,890,121,253,104
"gene-CDR20291_RS00750",2250,3354,1767,826,840,752,3256,585,664,713,767,486,2754,1711,3413,704,1023,167,260,4277,2953,876,762,514
"gene-CDR20291_RS05460",0,1,6,0,0,0,2,254,209,3,0,0,16,7,6,1,0,4,17,15,12,0,2,3
"gene-CDR20291_RS05465",23745,27473,19231,3238,2388,2920,24399,8490,11520,2588,2509,2894,25566,10902,15974,2974,3630,2128,2852,24723,20297,2837,2613,2548
"gene-CDR20291_RS05470",846,1239,1097,203,416,179,807,18818,22517,199,230,229,2031,2946,2518,360,176,199,2705,1525,1624,262,546,356
"gene-CDR20291_RS05475",183,195,184,31,36,9,186,463,500,48,37,11,280,196,421,32,40,10,234,330,291,31,19,46
"gene-CDR20291_RS05480",13170,16730,14447,2147,3014,2100,10092,225979,226808,1792,2487,1916,24028,59691,55828,2115,2192,1343,72033,16695,26838,2207,4426,2529
"gene-CDR20291_RS05485",3975,4879,3421,612,807,611,6608,4056,4736,684,629,603,5831,2668,4862,620,900,287,1103,5347,4493,605,491,620
"gene-CDR20291_RS05490",5546,6789,4200,742,1262,724,9775,11441,13430,855,711,699,8866,3950,10874,1041,908,389,6762,8281,8891,868,490,1110
"gene-CDR20291_RS05495",16239,18887,15527,2584,6512,2459,10587,46269,35576,2546,2682,3935,12825,19642,35731,2250,3900,3317,21628,14689,29986,2440,3092,4646
"gene-CDR20291_RS05500",3524,3836,2571,662,576,778,4772,4146,6362,502,507,518,4988,2057,3936,605,804,441,2535,4797,3679,593,493,606
"gene-CDR20291_RS05505",2287,2833,1403,304,515,394,2474,10455,14987,317,303,309,3282,777,1660,427,381,160,1226,2143,3309,278,305,460
"gene-CDR20291_RS00755",756,1059,1190,179,195,124,872,1191,982,138,122,153,955,1224,786,137,164,116,307,771,919,149,118,138
"gene-CDR20291_RS05510",1981,2447,2336,333,986,357,1453,5643,5516,411,442,423,1636,2354,4638,207,525,266,3372,1922,2807,310,465,536
"gene-CDR20291_RS05515",690,903,635,80,187,145,684,5812,8053,91,97,75,1168,384,795,113,123,52,515,661,1341,101,108,124
"gene-CDR20291_RS05520",4884,6113,3528,1175,551,1600,5385,1414,1786,1024,1744,1264,6250,2115,2699,717,2435,549,747,8973,6183,1466,973,838
"gene-CDR20291_RS05525",93,107,129,33,18,30,92,14,30,26,40,42,117,57,71,20,57,5,14,204,151,32,22,28
"gene-CDR20291_RS05530",8944,12761,7519,1319,1335,1333,11076,7047,8739,1275,1201,860,11273,4498,9755,1437,1691,579,1589,11902,12023,1527,1420,1210
"gene-CDR20291_RS05535",74,59,24,11,6,13,11,83,65,13,15,7,82,85,66,23,10,4,34,44,61,9,26,5
"gene-CDR20291_RS05540",2894,4218,2493,565,258,766,3602,600,888,772,915,743,3216,1217,1866,432,1176,168,309,5558,4131,833,382,549
"gene-CDR20291_RS05545",9469,10769,5644,1345,675,2058,12360,1579,2278,1807,2322,2154,9389,2478,4833,1193,2862,530,771,15849,10564,1987,931,1362
"gene-CDR20291_RS05550",122,143,104,35,48,39,156,128,205,41,40,43,393,109,253,50,39,10,55,427,282,55,35,51
"gene-CDR20291_RS05555",18669,24200,17816,1761,2951,1391,22384,32772,36318,1803,1517,1948,25963,14443,23484,1648,2059,1331,9227,22083,18743,1793,1621,2292
"gene-CDR20291_RS00760",1530,2137,2059,264,403,227,1222,1780,1971,252,217,315,1824,1811,2829,216,306,175,1020,2149,2413,270,216,362
"gene-CDR20291_RS05560",24837,34004,25188,4428,2683,3916,29564,12934,18062,4370,4734,4070,34022,20454,20436,4187,4766,2299,4379,30647,30412,4477,4693,2960
"gene-CDR20291_RS05565",126,168,107,221,40,140,235,4048,3810,106,296,91,264,608,1087,148,385,97,744,222,883,179,255,125
"gene-CDR20291_RS05570",1837,2153,1825,251,231,432,3195,3941,7489,240,255,231,7027,3542,2795,219,269,196,628,2588,3045,261,506,403
"gene-CDR20291_RS05575",793,981,483,203,182,179,1490,1378,2312,205,211,84,1348,301,867,225,268,50,251,1027,677,275,149,217
"gene-CDR20291_RS05580",426,550,598,49,152,48,502,3127,4224,49,61,50,873,757,1263,54,70,51,1614,594,1030,71,28,91
"gene-CDR20291_RS05585",972,1140,818,299,204,261,1765,869,1579,189,211,114,2059,736,1088,286,376,158,343,1611,1763,281,177,250
"gene-CDR20291_RS05590",28,28,17,2,1,6,15,257,425,2,2,1,53,14,25,1,5,1,104,34,40,4,2,3
"gene-CDR20291_RS05595",1147,1494,1217,204,123,210,1125,1743,2260,193,237,174,1397,814,743,162,232,117,344,1774,1230,191,334,132
"gene-CDR20291_RS05600",29,7,1,0,2,3,25,97,110,5,4,2,24,10,11,3,1,1,54,37,37,4,3,0
"gene-CDR20291_RS05605",385,588,398,141,160,139,641,387,908,138,85,51,785,360,732,174,190,39,112,684,612,169,86,124
"gene-CDR20291_RS00765",3849,5019,3865,599,563,501,4147,3241,4160,437,524,448,5818,3189,3035,560,615,280,1162,4191,3235,399,540,460
"gene-CDR20291_RS05610",430,627,259,210,131,260,712,1592,2121,119,74,92,500,183,750,267,207,110,235,605,915,201,102,154
"gene-CDR20291_RS05615",10981,12903,8262,2868,2441,2541,24558,4115,6165,2713,2549,2516,26309,8776,10934,3342,4039,1344,923,16920,9105,2466,2234,2064
"gene-CDR20291_RS05620",5,18,20,3,4,8,3,79,104,3,9,3,13,14,13,4,4,2,0,36,23,8,5,5
"gene-CDR20291_RS05625",419,461,425,117,86,115,760,637,711,114,95,87,1068,727,629,157,192,63,560,517,507,112,91,124
"gene-CDR20291_RS05630",87,147,55,49,72,42,81,431,501,14,50,26,190,144,151,29,54,29,113,121,127,41,58,51
"gene-CDR20291_RS05635",115,91,77,28,17,19,141,214,235,14,19,19,171,69,112,13,29,16,89,115,135,17,32,18
"gene-CDR20291_RS05640",152,135,132,34,52,34,181,197,280,32,43,37,211,125,207,43,71,31,79,134,194,41,81,73
"gene-CDR20291_RS05645",11683,14636,14785,4123,5176,3407,25208,19999,25918,2729,2806,2725,29633,17257,27250,3918,5970,3698,4677,27371,29443,4968,2302,5152
"gene-CDR20291_RS05650",3504,4142,2245,538,305,625,3070,1472,1495,303,390,385,4198,1619,2630,756,733,248,407,3813,2331,557,477,342
"gene-CDR20291_RS05655",82,135,117,24,44,21,114,401,359,18,26,6,196,115,111,21,25,5,66,151,230,25,17,49
"gene-CDR20291_RS00770",3113,3133,2503,431,180,830,1768,2815,4661,447,476,183,2985,2210,2406,373,294,197,745,3910,4362,303,1050,108
"gene-CDR20291_RS05660",199,217,181,302,91,251,411,1362,1595,147,352,144,338,515,678,235,561,134,827,365,648,208,278,145
"gene-CDR20291_RS05665",5022,6301,5319,699,604,660,6779,7313,9779,717,494,677,6564,3229,3578,611,564,653,3187,6009,4043,635,531,819
"gene-CDR20291_RS05670",186,204,165,42,24,27,140,369,320,28,24,34,298,222,286,24,40,24,186,135,238,31,41,30
"gene-CDR20291_RS05675",2362,3451,2482,324,222,263,2827,2972,3645,270,222,232,3151,1047,1795,240,196,150,1305,2562,1989,280,216,294
"gene-CDR20291_RS05680",1529,2032,1424,155,213,175,1131,7243,7624,178,134,162,1418,1330,2648,196,174,140,3323,1412,2200,166,108,171
"gene-CDR20291_RS05685",2635,3467,4044,344,309,313,1424,943,896,262,170,388,1936,2273,2423,398,350,420,1585,1937,1572,291,144,336
"gene-CDR20291_RS05690",225,422,277,77,78,49,145,8753,11687,17,40,41,423,257,396,37,49,30,5944,272,1462,44,82,32
"gene-CDR20291_RS05695",18946,25160,18567,2210,3937,1916,19461,30114,36790,1899,1548,2340,23848,12032,15666,2200,2417,2277,10886,16677,13014,1902,1563,2887
"gene-CDR20291_RS05700",10042,12794,9958,840,363,1723,1871,4329,5163,131,170,97,1269,937,1420,243,60,158,3725,1104,927,163,155,286
"gene-CDR20291_RS05705",1407,1703,952,260,355,319,2001,2590,2483,291,298,276,1953,1397,4535,258,400,147,885,2150,4225,313,244,388
"gene-CDR20291_RS00775",114,169,97,22,13,32,94,192,322,23,41,18,169,120,141,17,12,17,87,159,173,19,126,24
"gene-CDR20291_RS05710",106,180,109,31,65,35,120,403,514,26,34,32,270,131,162,38,63,19,69,206,311,37,32,39
"gene-CDR20291_RS05715",384,485,404,63,53,57,508,446,757,57,59,46,532,155,331,43,55,27,194,593,505,101,50,77
"gene-CDR20291_RS05720",136,205,125,25,43,27,132,118,139,25,31,20,229,69,170,48,39,16,12,152,227,47,13,27
"gene-CDR20291_RS05725",5197,6730,5604,787,1043,667,6409,11493,12080,882,501,778,6058,5431,10956,1243,825,617,3618,6264,7257,919,411,934
"gene-CDR20291_RS05730",265,381,288,71,69,55,200,240,269,41,52,89,277,363,503,46,67,41,96,337,273,68,55,60
"gene-CDR20291_RS05735",1891,2269,1827,312,214,279,1957,2057,3218,227,314,266,2116,1209,1599,210,403,158,502,2284,2625,268,285,204
"gene-CDR20291_RS05740",12,10,31,2,8,5,5,719,1260,3,10,5,37,16,52,3,4,3,440,15,129,6,2,5
"gene-CDR20291_RS05745",295,322,257,93,89,66,308,481,619,58,58,56,357,284,375,57,71,50,214,430,431,82,77,72
"gene-CDR20291_RS05750",1388,1667,982,636,287,800,2564,857,1260,776,980,826,1719,1461,2754,713,971,197,194,1729,6220,861,770,725
"gene-CDR20291_RS05755",2470,2826,1777,326,262,412,3677,2135,3794,385,429,310,3762,1442,2190,255,405,164,882,4958,4364,406,610,266
"gene-CDR20291_RS00780",1156,1203,1150,141,377,174,1082,5757,6092,108,146,114,1575,1340,2638,165,184,189,1349,1066,1396,178,281,273
"gene-CDR20291_RS05760",2320,3188,2068,1080,501,1049,4791,1404,2205,1258,1376,1303,3195,2929,4976,972,1308,417,294,3403,10245,1199,1193,1246
"gene-CDR20291_RS05765",2,3,1,0,5,0,2,278,258,0,0,1,9,7,27,0,1,2,111,6,27,0,0,2
"gene-CDR20291_RS05770",269,348,289,61,79,45,158,493,409,61,28,50,238,388,542,82,64,32,350,277,430,51,29,92
"gene-CDR20291_RS05775",1549,2478,2053,278,498,284,2286,5772,8266,308,395,262,2065,1450,2252,349,312,168,2028,2677,2749,350,368,337
"gene-CDR20291_RS05780",422,610,656,59,196,43,572,1092,1254,62,76,69,773,334,559,74,47,101,233,685,690,89,51,129
"gene-CDR20291_RS05785",82863,100155,61091,21834,8186,18736,93614,17609,27616,13314,20541,14269,107325,39785,42433,21700,27857,9726,2898,105203,148501,23424,28956,13599
"gene-CDR20291_RS05790",118,122,51,8,15,15,104,123,111,9,5,8,190,29,78,33,12,4,42,100,99,18,5,16
"gene-CDR20291_RS05795",19096,24962,9878,3885,811,4573,6937,47342,9293,1988,2062,2709,15030,26861,41755,6798,3294,2147,34468,5198,22591,2470,1903,3119
"gene-CDR20291_RS05800",199,277,144,158,49,132,24,2334,372,60,70,77,167,1837,2947,197,112,87,2660,35,388,98,57,152
"gene-CDR20291_RS05805",391,419,290,73,366,111,336,2587,3694,60,105,60,755,317,444,97,106,81,335,494,458,120,229,106
"gene-CDR20291_RS00785",2475,3354,2798,455,228,398,2294,3102,4291,387,325,274,2854,2390,3077,437,341,252,1044,3260,3588,447,491,340
"gene-CDR20291_RS05810",2393,3275,1772,666,1484,826,6170,10443,12674,767,851,432,6120,1223,4900,846,1260,260,2406,5209,5948,889,993,716
"gene-CDR20291_RS05815",6488,9783,11394,2152,42600,1371,15863,66943,83530,3953,2540,6418,25741,12808,14350,4602,4047,2503,19884,10031,12717,4636,2980,14212
"gene-CDR20291_RS05820",26325,32733,22768,3446,4230,3635,25858,35392,44340,3460,4403,3940,31798,21528,26506,3331,4839,2438,11609,36409,30353,3212,6635,3287
"gene-CDR20291_RS05825",2030,2699,2209,317,207,269,1660,1049,1138,262,284,380,1770,1429,1837,249,283,184,582,2671,2050,247,270,244
"gene-CDR20291_RS05830",2666,3627,2586,596,532,533,3784,14571,17422,642,371,522,3461,1516,3532,640,513,258,6533,4575,5479,809,461,625
"gene-CDR20291_RS05835",21226,30595,25984,3937,3638,3016,25687,25958,28901,3096,2636,3993,25732,24256,28301,3952,3590,2949,7438,30157,32005,3961,2872,5255
"gene-CDR20291_RS05840",2464,3523,3345,437,323,376,2388,1501,1985,414,457,520,2323,1823,2690,390,533,305,887,4047,3025,398,418,398
"gene-CDR20291_RS05845",511,882,464,285,234,390,2455,269,495,116,351,645,1723,746,357,330,248,290,61,1300,674,274,555,458
"gene-CDR20291_RS05850",93057,107176,54745,24325,11537,24308,113127,39796,58430,16101,24688,16607,126288,37595,62482,26155,35895,10104,9170,125923,176985,28650,33138,16500
"gene-CDR20291_RS05855",124,146,60,70,50,92,508,64,128,43,85,100,470,78,107,86,52,31,14,254,270,66,106,85
"gene-CDR20291_RS00790",1715,2490,1667,518,512,461,2026,348,418,470,487,509,1876,1398,1956,447,674,226,187,2441,2130,519,501,441
"gene-CDR20291_RS05860",102058,142850,101547,33501,15708,21484,18428,6791,9234,11311,43209,1260,91515,84355,111851,26148,33785,16888,10572,154115,121376,35946,40594,25408
"gene-CDR20291_RS05865",8798,12959,5263,16,2547,18,641,3133,5425,1698,5909,391,18784,5976,2246,6,12,4,141,1261,961,2446,15,534
"gene-CDR20291_RS05870",2184,3207,2925,265,409,224,3969,4056,4931,362,251,654,3277,2205,2810,288,216,408,922,2586,3260,259,130,362
"gene-CDR20291_RS05875",11,12,2,2,1,3,4,400,285,0,3,0,16,17,47,0,3,2,133,13,41,3,3,1
"gene-CDR20291_RS05880",79214,97008,71961,16138,10251,12465,61323,26693,34051,27645,81909,3423,34809,40454,77284,11033,14229,13122,32120,129763,68701,12752,16894,7608
"gene-CDR20291_RS05885",6635,8178,5159,1108,1700,1032,8458,8366,11019,1032,886,1066,10416,4289,9787,1192,1320,706,4771,9875,10000,1375,788,1675
"gene-CDR20291_RS05890",5822,7085,6307,798,1127,809,6952,5536,7699,738,662,978,8000,4638,7827,1026,876,1013,3818,7109,5637,893,572,1311
"gene-CDR20291_RS05895",1511,2216,1213,278,492,355,2486,2469,3403,281,251,218,2251,724,2796,354,372,137,877,2029,2976,351,246,304
"gene-CDR20291_RS05900",4729,7145,4543,6,960,14,361,1626,2436,629,1769,280,10247,5311,1031,8,1,8,70,530,467,770,8,239
"gene-CDR20291_RS05905",1011,1409,1121,159,331,169,1030,1976,1953,137,117,154,1272,885,1956,178,211,119,1029,1168,1446,163,124,243
"gene-CDR20291_RS00795",1223,1579,1334,289,249,305,1770,1363,2006,247,225,193,2324,1111,1905,282,340,137,585,1984,1684,289,247,259
"gene-CDR20291_RS05910",251,323,235,55,48,36,341,203,232,24,43,28,370,97,177,48,63,14,106,286,381,34,28,23
"gene-CDR20291_RS05915",37,18,11,14,4,8,26,233,412,1,8,8,98,51,48,3,8,14,21,21,43,11,36,8
"gene-CDR20291_RS05920",7630,8498,5672,1166,1184,1053,7951,7726,9009,864,921,830,9669,4304,6955,1078,1448,658,2848,8544,8309,907,924,728
"gene-CDR20291_RS05925",298817,431700,275483,16659,14961,27178,176304,8548,5469,24620,12625,25033,146671,74885,126987,26196,23341,8145,10641,250736,96831,13434,5125,7630
"gene-CDR20291_RS05930",836,1004,707,101,666,234,575,3288,6321,122,162,72,1021,697,1654,151,218,113,1575,895,2499,129,331,86
"gene-CDR20291_RS05935",864,853,791,89,117,117,378,842,958,67,112,40,553,585,1276,63,142,94,1103,895,1819,69,99,44
"gene-CDR20291_RS05940",641,747,493,98,195,205,412,4241,6220,106,163,68,1789,769,1127,237,114,102,990,737,2197,252,547,180
"gene-CDR20291_RS05945",31,34,104,6,13,9,32,2170,3779,9,9,17,76,97,136,9,14,17,2716,57,536,15,39,12
"gene-CDR20291_RS05950",42,90,56,11,31,24,72,307,630,17,32,9,165,57,121,23,10,10,156,94,168,54,70,31
"gene-CDR20291_RS05955",5790,8439,10719,841,853,813,3765,10167,12659,678,535,941,5469,11193,9800,1404,700,1324,6417,4687,5308,928,761,1301
"gene-CDR20291_RS00050",390,516,342,258,165,245,1697,392,623,126,303,504,1376,394,237,254,175,177,47,855,563,236,384,329
"gene-CDR20291_RS00800",9569,12666,10112,1627,3419,1395,12029,6934,8926,1326,1133,1787,15133,5300,7455,1776,1866,1668,2026,11955,6720,1532,1188,2494
"gene-CDR20291_RS05960",17116,21376,10743,3604,8023,2837,31092,4295,5540,3002,4145,2369,40756,10673,15739,3337,6277,2002,3424,22591,11029,3864,4484,4303
"gene-CDR20291_RS05965",10,22,15,11,14,9,20,279,481,5,5,4,84,26,73,15,6,12,80,47,67,20,66,17
"gene-CDR20291_RS05970",2243,2404,2366,580,6112,441,2867,58151,78050,555,448,846,5285,5883,12054,1143,846,879,30134,2604,9430,1055,459,1686
"gene-CDR20291_RS05975",33954,41155,28159,4416,3328,4708,47926,45802,57660,5132,5212,5065,42870,21544,36271,3967,6299,2929,13311,57746,60171,5373,5636,4533
"gene-CDR20291_RS05980",59459,51584,64401,1964,939,2057,48093,44358,35641,2317,1624,4151,16207,38296,20906,1119,1624,1738,90655,24799,38808,2490,2193,2449
"gene-CDR20291_RS05985",477,586,281,147,47,154,1536,918,1723,355,294,121,1197,1404,2529,184,233,58,79,819,3279,254,301,127
"gene-CDR20291_RS05990",1085,1322,792,322,179,389,3115,4669,7539,898,510,346,3030,3316,5660,473,452,228,366,2363,7208,678,696,407
"gene-CDR20291_RS05995",2619,3036,1697,254,125,425,1641,2340,3047,188,184,237,2020,761,2066,280,285,142,725,2505,2122,256,210,195
"gene-CDR20291_RS06000",111,116,67,21,41,24,80,1635,3218,28,44,28,433,104,290,50,24,17,138,134,193,45,204,44
"gene-CDR20291_RS06005",161,269,206,32,19,26,99,493,314,22,13,29,130,4318,8530,24,25,28,1335,165,4044,24,30,36
"gene-CDR20291_RS00805",2859,3822,3646,752,896,970,4782,16302,20740,991,1326,767,5328,2649,3922,521,1321,460,26167,5288,3401,793,716,996
"gene-CDR20291_RS06010",3036,3403,2354,594,859,776,3117,17084,19243,641,729,735,5097,4134,10466,779,781,619,11691,3443,6176,848,1172,879
"gene-CDR20291_RS06015",260,305,216,44,70,88,302,2291,4500,68,83,75,940,564,474,102,51,79,288,384,453,99,382,88
"gene-CDR20291_RS06020",1558,2012,1708,208,176,154,1627,984,1142,188,158,238,2341,2349,1243,125,206,135,461,1775,1733,149,197,207
"gene-CDR20291_RS06025",60,78,72,15,138,18,68,2084,2099,28,24,29,89,190,384,24,36,32,867,83,333,36,30,44
"gene-CDR20291_RS06030",558315,594745,465904,58336,78480,55810,63626,80301,112548,6917,8485,7063,659336,260653,322292,64447,90913,71201,41125,93163,91036,10883,13443,11604
"gene-CDR20291_RS06035",2252,3339,3530,616,598,378,2296,5558,5297,431,494,643,3326,4551,3505,500,562,432,2261,2487,3568,530,525,718
"gene-CDR20291_RS06040",10536,14362,10603,1744,1864,1644,5712,22016,21976,1807,2164,2148,12684,15481,14482,2372,2631,1209,8102,7914,14967,1840,2183,2034
"gene-CDR20291_RS06045",0,3,3,1,6,2,0,31,10,0,0,1,3,3,0,4,0,0,5,0,23,5,0,1
"gene-CDR20291_RS06050",4296,5450,3371,935,769,858,5624,1260,1942,761,658,655,4589,1973,4179,704,1003,371,666,6569,5603,917,727,522
"gene-CDR20291_RS06055",624,916,668,298,310,236,678,815,672,219,190,305,585,1106,1678,295,320,372,388,485,755,217,307,333
"gene-CDR20291_RS00810",2980,4184,3686,573,1551,459,2871,2560,2801,491,450,679,4537,2302,2681,687,696,477,415,3336,2020,515,469,877
"gene-CDR20291_RS06060",24,46,35,5,9,3,14,105,139,6,4,10,59,31,39,14,6,4,7,44,26,5,12,6
"gene-CDR20291_RS06065",19,10,13,0,0,5,1,26,44,0,3,0,13,4,3,1,0,0,21,31,20,1,3,0
"gene-CDR20291_RS06070",70,112,103,56,52,52,69,318,324,30,34,61,145,225,431,40,55,32,188,107,149,55,69,52
"gene-CDR20291_RS06075",42366,57048,52789,5867,5398,4058,42829,32088,41042,4938,4813,5338,54388,41560,40087,4176,6739,3882,8838,55214,49075,4586,5013,5004
"gene-CDR20291_RS06080",3376,4635,3926,387,319,251,3440,3212,4374,518,432,393,3336,1461,1152,318,395,294,747,5017,4074,446,489,456
"gene-CDR20291_RS06085",946,837,548,126,79,197,805,5276,5158,116,143,141,1545,572,703,193,139,85,7470,1109,1061,127,181,110
"gene-CDR20291_RS06090",7483,9904,9606,1277,1687,1042,9272,9115,12796,1287,1289,1434,10496,8795,8532,1067,1769,1014,2673,10942,10523,1029,1298,1275
"gene-CDR20291_RS06095",9303,10712,7696,1059,1487,1639,4628,51845,68675,994,1257,922,9851,7140,15950,1189,1247,847,14968,12606,28500,1537,2748,1391
"gene-CDR20291_RS06100",1800,2056,1474,497,345,395,1212,3007,4491,277,524,309,1537,1215,1376,208,530,261,465,2285,2686,362,540,229
"gene-CDR20291_RS06105",101331,133309,152900,35507,48110,26609,35249,131035,75246,24751,22897,46073,61926,222216,206810,32238,39454,38385,89022,78003,194801,30201,23265,60522
"gene-CDR20291_RS00815",488,752,880,193,177,267,892,4981,4965,249,380,192,1250,632,468,97,298,99,9085,1342,635,209,284,260
"gene-CDR20291_RS06110",11079,12856,9661,2304,2991,2709,13987,21728,26353,2152,2614,2429,16350,10348,16584,2550,3132,1406,9517,13821,13924,2303,2689,2648
"gene-CDR20291_RS06115",25,72,33,4,3,5,54,179,235,9,7,2,106,35,73,12,18,13,74,30,56,11,25,7
"gene-CDR20291_RS06120",8098,11352,8050,1638,1087,1481,9945,1740,2438,1381,1168,1241,9003,5117,7149,1205,1534,961,814,12487,9633,1521,1385,987
"gene-CDR20291_RS06125",1248,1714,1176,231,357,324,2842,2142,3929,316,416,288,1970,797,1240,233,590,407,711,2706,2198,302,230,302
"gene-CDR20291_RS06130",2939,3607,2603,519,773,632,4626,3684,4579,484,535,473,4633,2190,2746,436,986,581,925,3913,4022,508,592,610
"gene-CDR20291_RS06135",3320,4707,4650,358,358,268,2357,385,431,357,209,544,3430,2047,1704,371,285,317,209,4167,705,385,205,592
"gene-CDR20291_RS06140",1360,1924,1387,234,334,319,3224,2913,4207,290,347,280,2369,1060,1629,217,452,556,810,2526,2606,296,252,311
"gene-CDR20291_RS06145",10252,13175,11999,2304,1259,1759,7546,1553,1431,2263,1462,2609,12319,5889,6810,2544,2423,1148,840,17534,2154,2457,1816,2229
"gene-CDR20291_RS06150",298,278,267,90,415,53,496,3381,3366,106,69,172,724,841,1409,93,151,86,1649,575,1609,121,120,237
"gene-CDR20291_RS06155",332,345,250,48,60,23,346,404,596,47,35,62,348,302,404,31,46,32,141,335,542,39,42,59
"gene-CDR20291_RS00820",1931,1899,1470,244,160,451,604,2992,2261,112,201,125,1949,5413,6801,229,235,212,10513,983,624,112,251,123
"gene-CDR20291_RS06160",320,320,293,103,45,88,201,1196,994,56,56,116,362,451,949,68,73,69,810,349,484,77,64,80
"gene-CDR20291_RS06165",275,295,376,87,297,56,305,3295,4407,115,94,119,478,1300,1448,97,156,103,1870,389,1521,127,116,148
"gene-CDR20291_RS06170",239,284,215,58,39,64,181,281,348,38,61,50,268,167,282,41,51,31,84,284,238,63,56,36
"gene-CDR20291_RS06175",556,732,448,100,123,140,562,1826,2333,85,167,89,1234,794,1010,125,154,77,273,944,1530,119,354,87
"gene-CDR20291_RS06180",12759,14983,11372,1348,1299,1412,17462,9165,14130,1778,1678,1900,14675,6336,9192,1249,1822,997,2386,17308,12063,1730,1813,1631
"gene-CDR20291_RS06185",26318,32144,22019,4092,2799,3537,37987,11647,17816,4812,4733,5207,33391,21581,33564,3563,5066,2669,2595,41847,32009,4085,4614,3221
"gene-CDR20291_RS06190",2449,3153,1919,1040,548,1239,94737,5830,7295,16851,10780,8288,96072,30916,39953,15129,12911,7169,3452,73936,49362,20056,17566,9214
"gene-CDR20291_RS06195",28009,32982,21402,4041,2466,4631,26707,17374,24080,3339,3920,2689,33058,18501,22222,3228,4632,2052,4728,31424,36478,2937,5641,1874
"gene-CDR20291_RS06200",7739,9784,7595,1262,788,930,9157,3656,5076,1462,1300,1547,8825,7974,8653,949,1461,881,856,11441,9693,1253,1333,1037
"gene-CDR20291_RS06205",11856,14717,13748,1246,1020,1069,11698,9677,11045,1327,912,1523,11283,7708,10882,1293,1185,994,3031,14837,10825,1213,841,1330
"gene-CDR20291_RS00825",23651,26060,17718,6253,5457,5522,24012,31909,32004,5037,5499,8047,36739,40215,73243,6849,6730,3300,18612,22544,45266,4967,5821,7272
"gene-CDR20291_RS06210",5757,7462,5614,855,931,783,5076,9105,12227,814,994,711,8249,6496,7080,681,1052,545,2312,7056,11474,718,1483,523
"gene-CDR20291_RS06215",5567,6964,4666,857,931,710,6236,6700,9750,775,1009,696,8385,5208,7527,713,1072,506,1483,7811,10835,742,1202,598
"gene-CDR20291_RS06220",21853,23842,16134,11921,15592,13681,12644,67291,43687,9101,7946,13858,19234,63902,166683,13659,14979,9786,63601,20392,56798,11568,8037,15818
"gene-CDR20291_RS06225",344,775,1063,178,209,107,262,332,241,151,125,234,381,2474,1575,217,206,163,211,358,943,183,106,227
"gene-CDR20291_RS06230",8263,11540,9316,1831,1977,1466,9741,6898,8143,1903,1658,2158,12290,10365,9876,1764,2261,1040,1433,12998,11411,1911,2149,1926
"gene-CDR20291_RS06235",2008,2553,1544,481,290,516,2263,607,794,437,443,465,2485,1409,1715,427,648,319,188,2773,2061,588,489,418
"gene-CDR20291_RS06240",407,587,342,121,91,110,572,262,278,116,154,87,834,261,277,60,142,33,411,696,206,94,102,63
"gene-CDR20291_RS06245",3098,4263,3686,432,570,334,2945,2785,3438,515,419,593,3700,2504,2495,415,570,493,627,4731,3545,471,429,747
"gene-CDR20291_RS06250",1734,2229,1650,332,348,421,2079,1219,1250,421,536,417,3362,1345,848,170,380,142,2201,2480,726,283,343,247
"gene-CDR20291_RS06255",142,164,222,30,76,42,147,1548,2441,20,38,29,367,376,701,52,39,33,263,204,527,55,58,72
"gene-CDR20291_RS00830",5355,7100,6284,511,447,610,2777,6915,9297,526,378,344,4102,2820,2150,363,460,354,1430,6852,3372,387,889,240
"gene-CDR20291_RS06260",28,50,36,17,13,16,10,96,96,11,13,22,26,99,166,11,10,13,27,70,115,11,22,18
"gene-CDR20291_RS06265",93,197,246,164,107,154,129,984,701,68,98,54,149,772,1143,390,147,99,558,133,261,71,49,122
"gene-CDR20291_RS06270",132,192,169,43,43,46,210,396,594,41,37,56,266,183,551,41,53,30,262,286,366,47,44,71
"gene-CDR20291_RS06275",100,181,132,49,67,51,147,606,516,26,45,35,168,249,391,112,57,57,211,87,209,57,35,80
"gene-CDR20291_RS06280",82,130,98,15,11,19,85,180,302,11,20,18,143,84,76,25,16,22,19,171,82,23,49,9
"gene-CDR20291_RS06285",782,1069,561,271,179,260,1089,326,328,194,232,200,1129,536,987,225,303,130,46,1293,887,300,242,168
"gene-CDR20291_RS06290",133978,160172,89641,56381,35599,58335,57452,36988,23618,34889,37108,49476,101006,107417,260493,56922,67791,24006,23035,113706,237539,53384,32578,56187
"gene-CDR20291_RS06295",204,243,193,25,28,46,255,329,487,32,45,39,349,136,195,36,32,34,107,323,191,38,57,33
