"gene_id","DMSO_01","DMSO_02","DMSO_03","Enoxolone_01","Enoxolone_02","Enoxolone_03"
"CDR20291_0116",4827,12143,20661,6365,26945,22881
"CDR20291_0117",11830,9917,18733,9382,19678,15207
"CDR20291_0118",109559,50371,87419,130905,114061,91593
"CDR20291_0119",210207,93624,151695,229730,207706,150307
"CDR20291_0120",2575,2503,4637,2811,6142,5280
"CDR20291_0121",371,302,820,241,831,595
"CDR20291_0122",17760,14656,26731,19488,32512,29554
"CDR20291_0123",3758,4624,8625,4395,12442,11139
"CDR20291_0124",2512,1379,3025,2624,3282,3410
"CDR20291_0125",54,47,85,66,137,128
"CDR20291_0126",2925,5545,9276,3383,10039,10658
"CDR20291_0127",7912,6885,10762,6613,11810,9226
"CDR20291_0128",109,137,222,82,323,245
"CDR20291_0129",14770,13906,23761,16417,34630,29679
"CDR20291_0130",97,119,198,328,559,599
"CDR20291_0131",1963,1262,2672,1451,2393,2092
"CDR20291_0132",351,221,557,325,594,373
"CDR20291_0133",1806,1135,2814,901,1731,1247
"CDR20291_0134",105,59,131,53,68,45
"CDR20291_0135",144,90,144,95,77,84
"CDR20291_0136",332,270,468,182,396,257
"CDR20291_0137",41,60,93,28,79,39
"CDR20291_0138",176,254,363,139,337,219
"CDR20291_0139",384,159,260,260,223,173
"CDR20291_0140",255,103,190,158,173,93
"CDR20291_0141",75963,46771,101550,43372,56058,49636
"CDR20291_0142",19471,18040,32013,22902,41928,36031
"CDR20291_0143",10143,8110,14856,10700,18702,16181
"CDR20291_0144",7528,4061,7387,8007,9345,8310
"CDR20291_0145",7204,4280,7430,8158,9842,7926
"CDR20291_0146",15578,7087,14498,9552,12666,8388
"CDR20291_0147",2655,1724,3624,1904,3080,2432
"CDR20291_0148",1801,877,1977,1462,2421,1858
"CDR20291_0149",3239,1793,3474,3295,5110,3775
"CDR20291_0150",1581,1359,2668,1657,3282,3017
"CDR20291_0151",3917,4444,7875,4611,11408,8723
"CDR20291_0152",2102,2855,5252,2588,7461,6215
"CDR20291_0153",198,252,496,287,663,643
"CDR20291_0154",688,745,1457,892,2054,1651
"CDR20291_0155",3605,1890,3749,2857,4157,2735
"CDR20291_0156",1534,639,1177,621,651,410
"CDR20291_0157",4078,3084,5485,2264,2851,2474
"CDR20291_0158",104,64,352,13,200,28
"CDR20291_0159",1453,568,1265,547,495,359
"CDR20291_0160",1178,597,1342,355,508,368
"CDR20291_0161",600,336,908,146,337,211
"CDR20291_0162",78,58,153,17,62,33
"CDR20291_0163",917,430,861,332,384,291
"CDR20291_0164",660,330,640,225,264,185
"CDR20291_0165",219,200,314,171,371,222
"CDR20291_0166",314,272,407,244,509,311
"CDR20291_0167",4779,1552,3073,2512,2463,1286
"CDR20291_0168",905,586,1315,557,1098,677
"CDR20291_0169",7557,4309,8325,6631,9186,5809
"CDR20291_0170",13071,5516,10510,10930,11893,8118
"CDR20291_0171",80145,32202,61631,73512,60269,42007
"CDR20291_0172",2407,1008,1754,2531,1972,1681
"CDR20291_0173",216277,87206,166630,214980,153679,118741
"CDR20291_0174",2181,1511,2800,2031,2862,2198
"CDR20291_0175",86220,73264,132406,91962,118471,107958
"CDR20291_0176",6583,7702,14692,8221,13400,14052
"CDR20291_0177",25014,16611,32385,20938,28678,25171
"CDR20291_0178",5304,6809,11885,7125,17194,14487
"CDR20291_0179",126,112,153,102,184,155
"CDR20291_0180",33800,38829,71930,45587,120531,103892
"CDR20291_0181",132,64,179,130,205,140
"CDR20291_0182",3094,1543,3133,1905,2205,1729
"CDR20291_0183",84,67,145,43,121,66
"CDR20291_0184",101501,43975,78689,62563,58646,43152
