"gene_id","Sample1","Sample2","Sample3","Sample4","Sample5","Sample6","Sample7","Sample8","Sample9","Sample10","Sample11","Sample12"
"CD630_00640",30391,34094.5,27093.5,30369,52034,25748,8694,10585.5,10788.5,10471,8827,8718.5
"CD630_00650",3242,2587,2328,3576,3933,2225,3461,3886,5477,5529,5776,4908
"CD630_00660",68031,66330.5,64227,79077.5,110087,60171,29809,34119,34074,34915.5,27347,27761
"CD630_00670",83158,89830.5,74752,93566.5,146693,72047,32097,36813,38346,39119.5,30797,31039
"CD630_00680",6616,8938,7243,7933,14259,6598,2289,2369,2195,2135,2000,1773
"CD630_00690",13800.5,21848.5,14513.5,15520.5,28950,13502.5,4906,5064,4407.5,4249.5,4071,3933.5
"CD630_00700",139739.5,177794.5,137537.5,168885.5,275369,127076.5,37859,52102,46759.5,48007.5,37651,38649.5
"CD630_00710",3516,1276,795,4293,14244,6703,246,300,2240,324,221,230
"CD630_00720",18592,23387,18107,24982,35280,18327,6445,7039,6108,6099,5248,5052
"CD630_00730",73934.5,91634.5,68286.5,92354.5,132169.5,63186.5,26327.5,32162,27533,27535.5,22958,23671
"CD630_00740",33880.5,48627,33117,42240,66342.5,33200.5,12903.5,14376.5,13357.5,13123.5,11098.5,10673
"CD630_00750",21474.5,27831,19390.5,22902,39116.5,18976,7885.5,9255,8397.5,8068,7596.5,7318.5
"CD630_00760",102807.5,128630,90484,128388,181059.5,88596.5,34435.5,45271.5,44197.5,42479.5,34353.5,35284
"CD630_00770",42202,51188.5,36242,46617,74535.5,35169.5,13752.5,18369.5,18657,16976.5,14231,14522.5
"CD630_00780",35302.5,45637,31120.5,44205.5,67399.5,30012.5,11949,15711.5,16020,14766,12280.5,12460.5
"CD630_00790",52366,63660,45513,54503,92794,44200.5,17000.5,20500,19988.5,18338.5,17502.5,17337.5
"CD630_00800",10772.5,15207.5,10244,11833.5,19876.5,10395,4337.5,4132.5,3729,3366.5,3782.5,3430
"CD630_00801",18532.5,22731.5,15791.5,17425.5,34716.5,15130,5667.5,6894,7274,6554.5,6153.5,6258.5
"CD630_00810",32880,41808,27282,36875.5,53286.5,26754.5,9857.5,12263.5,11736,10711,9598,9849.5
"CD630_00820",23459,30066,20950,23969.5,45452.5,20196.5,8156.5,9429.5,9498.5,8710.5,8472.5,7983
"CD630_00830",27225,34153,23814,30266,45133,22945,9061,9999,9636,8635.5,8164.5,8004.5
"CD630_00840",29856,37968,25795.5,30824.5,56990.5,26216,9492,11280.5,10969.5,10131,9249.5,9278
"CD630_00841",4941,7015.5,4590,5947,10711,4454,1868.5,1896.5,1968.5,1686.5,1718,1527
"CD630_00850",32275,42608.5,28896.5,36060.5,59775,30746.5,10429,10827.5,10700,9168.5,9135,8546
"CD630_00860",48565,60047.5,42799.5,51191,83416.5,41720,14761.5,16989.5,16172.5,14615.5,13139,13459
"CD630_00870",44931.5,59891,39522,52489,81945,39997,13237,14823.5,14749.5,14008.5,12430,11755.5
"CD630_00880",24831.5,33278,23498.5,28099,45216.5,22909,8931,9324.5,7895.5,6909.5,7500,6923
"CD630_00881",24012,30795.5,21040,24031.5,44521.5,19975,6632,8289,8399,7719.5,6970,7158
"CD630_00890",35013.5,44723.5,32068,41680,66783.5,31572.5,12102,13944,12484,10994.5,10345,9953
"CD630_00900",118037.5,111140,100380,129203.5,190787.5,97071.5,35415,47300,44963,40754,34829,35885
"CD630_00910",55656,45478.5,47487.5,62276,76370.5,45339.5,16848.5,21210,21196.5,19046.5,15963,17146
"CD630_00920",73533,57655.5,63686.5,81787.5,97159,61623,23868.5,28284,28279.5,24882.5,22874,23005
"CD630_00930",28142,25316.5,22975,30350,41977,22479,7473.5,10555.5,10642,9984,7886.5,8448
"CD630_00940",11199.5,12498.5,10313.5,13125.5,19635,10182.5,3835,4408.5,4180.5,3792,3530,3455.5
"CD630_00941",2509,2682.5,2278.5,2306,4482.5,2258.5,767.5,812.5,738.5,663,730.5,687.5
"CD630_00950",36499.5,42012.5,30767.5,40678,62941.5,32419,10527.5,11908.5,10226.5,10094.5,9793.5,9610
"CD630_00960",26968,36415,24995.5,28495,49790.5,24725.5,9373,10101.5,9029.5,8808,7818,7671.5
"CD630_00970",95553.5,117238.5,82862,121995,169134,83949.5,27237.5,35142,32156,31795.5,25420.5,26843.5
"CD630_00980",57690.5,70814.5,53917.5,64348.5,116363.5,54088.5,16895,21734.5,20398.5,19640.5,16810.5,16700
"CD630_00990",11732.5,13399.5,11493.5,13394.5,23424.5,11785.5,3690,4381.5,3568.5,3383.5,3443.5,3211
"CD630_01000",1741.5,1499,1613.5,2117,2460,1509.5,2299,2289.5,2139,2108.5,2245.5,1916
"CD630_01010",1899.5,1729.5,1757.5,2370.5,2718.5,1536,2137,2411,2341,2355,2035.5,1968
"CD630_01020",2081,1850,1827.5,2490,3054.5,1684,2012.5,2641.5,2431,2389.5,2044,1995
"CD630_01030",2749,2592.5,2380.5,3277.5,4280,2280.5,2674.5,3365,3049,3218,2720,2521
"CD630_01040",23100.5,22720,20359,23253.5,34732,19099.5,9858,10061.5,9162,9399,8520.5,8062.5
"CD630_01050",9756.5,9834,9271,11036.5,16067,8578.5,4309,4157.5,3287,3438,3282.5,2901.5
"CD630_01060",555,565,502,624,870,417,95,94,122,90,74,85
"CD630_01070",20607,18988,15825,24683,33738,15883,20011,23706,25007,25998,21552,20011
"CD630_01080",39787.5,31738.5,22265.5,43501,68123,34781,34228.5,32766,32991,29868,25453,24063
"CD630_01090",11703.5,10831.5,6615.5,12163,21013,10354,9467.5,8791,9659,7930,7583,6755
"CD630_01100",1103.5,689,966,1283,1317.5,856.5,809,868,1083,972.5,917.5,891.5
"CD630_01110",1840.5,1300,1587,2043,2432.5,1489.5,1369,1410,1622,1622.5,1462.5,1318.5
"CD630_01120",2269.5,2129,1751.5,2421.5,3971.5,1766,8823.5,13825.5,7639.5,11962,7137.5,6356.5
"CD630_01130",2758,2761.5,2173.5,2940.5,4384,2199.5,12099.5,20469.5,10566,14778,10091,8629
"CD630_01140",2666.5,2774.5,2257.5,2836.5,4662.5,2308.5,10865,19423,10648,14167,9841,8767
"CD630_01150",1821,2053,1638.5,2055.5,3046.5,1632,6444,11612.5,6572,7953,6261.5,5224
"CD630_01160",6921,7249.5,5911,7942.5,11971,6025.5,26501,46799.5,26033,30211.5,25119,21645
"CD630_01170",7623,8666.5,6715,9039.5,14316.5,6721,28582.5,51702,29287,33638,28023.5,24089.5
"CD630_01180",6436,6522,5301,7186,11357,5348.5,21411.5,40214,22751.5,26104.5,21221.5,18409
"CD630_01190",15806,13212,14007,19925,23325,13170,12037,11063,12499,11636,11015,10483
"CD630_01200",44012,33379,35669,62637,58973,34595,22198,23538,27276,31606,22444,22983
"CD630_01210",1795,1438,1493,2247,2638,1530,788,871,1179,995,788,862
"CD630_01220",800,659.5,615.5,912,1073,615,217,240,258,237,217.5,211
"CD630_01230",5942,4989.5,5275.5,7717,8229,4789,2577,2576,2692,2422,2525.5,2285
"CD630_01240",3788.5,2953,3081,4571.5,5196.5,2950.5,1282.5,1496.5,1524.5,1423,1216,1209
"CD630_01250",911.5,799,804,1015.5,1505.5,849.5,241.5,263.5,303.5,272,289,242
"CD630_01260",3,2,2,4,4,1,0,1,0,0,1,0
"CD630_01270",960.5,1060,869,1169.5,1592,796.5,808,680.5,709,656,897,726
"CD630_01280",1383.5,1549,1212,1629.5,2568,1064.5,1202,1166.5,1323,1206,1373,1177
"CD630_01290",70,66,55,111,83,45,46,83,82,72,60,59
"CD630_01300",12881,11458,9990,13324,21599,10661,3898,4737,3618,3667,3298,2965
"CD630_01310",29,16,31,45,69,25,39,72,56,85,42,40
"CD630_01320",1136,813,1013,1422.5,1367,840.5,572.5,589,564.5,639,494,510
"CD630_01330",851,739,693,1117.5,1334,611.5,333.5,459,577.5,582,382,438
"CD630_01340",798,503,720,843,847,556,328,377,418,411,354,303
"CD630_01350",24,16,6,14,25.5,11,1,2,1,2,1,4
"CD630_01360",46,62.5,44.5,53.5,72,57,12,9,6.5,11,9,8
"CD630_01370",198.5,171.5,141.5,182.5,304.5,115,34,53,38.5,55,32.5,25
"CD630_01380",35.5,46,29,32,62,41,7,8,9,10,3.5,4
"CD630_01390",97,92,63,84,133,74,28,28,21,20,33.5,19
"CD630_01400",94,79,71.5,105.5,136.5,88.5,26.5,37.5,44,47.5,33.5,43.5
"CD630_01410",129,119,106.5,157.5,196.5,92.5,39.5,61.5,74,53.5,57,53.5
"CD630_01420",9069,7312,5092,8775,12400,5653,5738,6695,9212,8859,12497,9735
"CD630_01430",13987,12489,11860.5,17417.5,20928.5,10987.5,10161.5,10566.5,10880,11337.5,10297.5,9494.5
"CD630_01440",8095,7646,6308.5,9060.5,12275.5,6372.5,4474.5,5115.5,5714,5766.5,4791.5,4815.5
"CD630_01450",2743,2767,2328,3151,4677,2333,1005,1140,1075,1197,822,905
