"gene_id","Sample1","Sample2","Sample3","Sample4","Sample5","Sample6","Sample7","Sample8","Sample9","Sample10","Sample11","Sample12"
"CD630_08260",249866.5,268858.5,219512.5,314485,456658.5,212947.5,270889,322717,349904.5,331506.5,336549.5,290902
"CD630_08270",362879.5,360281,310472,463054,613208,301419.5,344340.5,410098.5,420558.5,397968,421914,373260.5
"CD630_08280",128287,140178,114294,155768,234959,112097,281804,291628,324356,302690,345174,294268
"CD630_08290",1527,1724,1420,1778,2742,1384,2078,2339,2456,2387,2200,2146
"CD630_08300",2503,2053,2060,2125,2931,1782,6286,9873,6724,5904,5710,5467
"CD630_08310",297,253,288,363,476,238,116,201,132,147,119,104
"CD630_08320",488,631.5,712.5,935,1031,593.5,5551,7269,5980,6325.5,4797,4268.5
"CD630_08330",1879.5,2382.5,2193.5,2938,3696.5,2069.5,13673,20852.5,15190,17649.5,11450,11365.5
"CD630_08340",955.5,1178,1025,1493,1930.5,1090,6881,10358.5,7322,8365,5940,5886
"CD630_08350",279,292,297.5,458.5,351.5,240.5,159.5,261,161,120.5,162.5,138.5
"CD630_08360",603,577,619.5,932.5,801.5,438.5,361.5,591,393,310.5,371.5,329.5
"CD630_08370",1027,1005,985,1438,1396,801,705,816,674,605,733,637
"CD630_08380",1136.5,1103,996.5,1486.5,1697,915,740,932,884,796,921.5,851
"CD630_08390",1605.5,1203,1274.5,1794.5,2111,1131,713,1167,1162,1006,966.5,952
"CD630_08400",1635,1374,1273,1742,2278,1181,4803,5523,5446,5336,5061,4626
"CD630_08410",4183,3588,3612,4109,5839,3053,16653,19780,17363,14494,15620,14386
"CD630_08420",416,385,348.5,500.5,583.5,358.5,329.5,294.5,316,282,322,344
"CD630_08430",1403,1092,1076.5,1500.5,1949.5,1007.5,874.5,986.5,996,987,930,902
"CD630_08440",4315,3772,3218,4373,6169,3275,5335,6352,5480,4157,5636,5019
"CD630_08450",42,36,41,28,49,39,6,9,7,7,6,5
"CD630_08460",494,360,367,537,675,391,245,284,404,310,378,370
"CD630_08470",64,59,59,71,58,37,12,12,16,28,14,12
"CD630_08480",219,170,166,205,242,142,49,65,50,71,46,49
"CD630_08490",1452,1442,1274.5,1755,2217.5,1165.5,389.5,541,460.5,541,482.5,439
"CD630_08500",195,258,209.5,299,304.5,222.5,183.5,152,140.5,126,149.5,129
"CD630_08510",364,244,307.5,394,474.5,271,731.5,689.5,815,642.5,761.5,718
"CD630_08520",255,196,192.5,273,354.5,177,855.5,719.5,859,750.5,823.5,788
"CD630_08530",8667,7317,7415.5,12050.5,13071,7389.5,2755,3726,4539,5701,4150,3973.5
"CD630_08540",9570,8323,8027.5,13445.5,14447,7939.5,2550,3512,3689,4792,3453,3357.5
"CD630_08550",15877,14480,13402,20876,24416,13436,5560,8180,7080,9082,6794,6674
"CD630_08560",7294,6886.5,6122,8992,10480,5871.5,3842,5393.5,4935.5,5993.5,4681,4356
"CD630_08570",8053,7169.5,6627,9243,12154,6144.5,3860,6004.5,5203.5,6434.5,4812,4753
"",796,572,655,986.5,987.5,575,512.5,545.5,610,603,507.5,546
"",643,419,458,706.5,825.5,483,357.5,441.5,444,431,420.5,410
"CD630_08600",0,0,2,4,11,1,4,1,1,5,4,2
"CD630_08610",3,2,2,10,5,3,1.5,2,3.5,1.5,2,1.5
"CD630_08620",20,17,20,27.5,39.5,16.5,19,21,29.5,23.5,20,20.5
"CD630_08630",47,29,37,83.5,70.5,31.5,16.5,28,25,20,11,18
"CD630_08640",215,188,189,313,339,197,101,122,128,113,95,95
"CD630_08650",623,469,501,716,865,499,342,361,442,342,407,332
"CD630_08660",914,603,684,1095,1156,684,501,564,622,647,613,534
"CD630_08670",37,33,32,66,59,43,20,13,13,22,14,18
"CD630_08680",1605,1342,1244,1715,2662,1196,1511,1717,1998,1783,1895,1777
"CD630_08690",88,88,98,1310,136,78,70,73,51,1028,54,59
"CD630_08700",282.5,258.5,266,523,454.5,244,134,150.5,123.5,193.5,126,128
"CD630_08710",767,706.5,696,1346.5,1262,700.5,422,486.5,474,509.5,391,411.5
"CD630_08720",491.5,395,447,722.5,781.5,414.5,273,362,341.5,363,327,283.5
"CD630_08730",30355,29121,29769,47927,40465,22603,617,1732,954,2620,407,478
"CD630_08740",14935,14976,15536,24956,20187,11273,422,1026,613,1747,340,439
"CD630_08750",5801,2387,3800,3401,4054,2983,157,374,241,261,214,155
"CD630_08760",300,281,298,596,490,261,35,38,47,53,27,24
"CD630_08770",229,183,227,405,369,176,17,46,48,47,24,31
"CD630_08780",1239,170,325,2454,378,51,102,116,111,195,131,100
"CD630_08790",1663,1370,1284,1938,2470,1259,972,1242,1652,1507,2073,1695
"CD630_08800",1464.5,1170.5,1028.5,1405,2149,1105.5,1629,1760.5,3196.5,2225.5,3678.5,2857
"CD630_08810",5585.5,4296.5,3811.5,5759,7556,3962.5,6257,6410.5,9284.5,6342.5,11950.5,9522
"CD630_08820",889.5,853.5,711,1105.5,1237.5,748.5,775.5,866,943,903,1015.5,910.5
"CD630_08830",906,820.5,770,1069.5,1322.5,723.5,615.5,798,935,900,874.5,837.5
"CD630_08840",1411.5,1233,1247.5,1658.5,2044,1097.5,870,1087,1111.5,1126.5,1106.5,1077.5
"CD630_08850",3017,2931.5,2570,3684.5,4440,2377,1736,2364,2286,2451,2386.5,2156
"CD630_08860",1363,1342.5,1117.5,1463,2041,1108.5,604,890,861.5,985.5,868,835.5
"CD630_08870",1082,808,857,1134,1759,854,1371,1556,1482,1391,1518,1369
"CD630_08880",589,357,415,1112,706,442,464,1093,406,1889,298,311
"CD630_08890",161,133,141.5,341.5,271.5,142,141,285.5,90,552.5,103.5,104.5
"CD630_08900",892,659,654.5,1901.5,1273.5,678.5,522,1462,467,2416.5,358.5,386
"CD630_08910",1626,1133,1201,2864,2154,1242.5,783,1990.5,778,3261,615,609.5
"CD630_08920",2735,2765,2702,3184,4574,2464,1419,1191,1197,955,1626,1396
"CD630_08930",8963,7561,7693,9531,12053,6541,5746,5723,5793,6918,5333,4783
"CD630_08940",4761,4004,3968,6175,6904,3694,1001,1110,1157,1263,1205,1083
"CD630_08950",4772,4378,3753,5730,7374,3666,947,1114,1112,1170,1109,963
"CD630_08960",1009,1015,882,1358,1694,871,233,248,287,271,262,246
"CD630_08970",1123,732,796,1086,1253,796,611,614,654,630,613,654
"CD630_08980",6608,5830,5498,7505,10482,5271,2589,3219,3135,3095,2719,2692
"CD630_08990",538,403,453,583,765,434,286,295,353,313,333,296
"CD630_09000",4855,4864,3853,5899,8840,4536.5,8199.5,7902.5,12928,8577,12429.5,11740.5
"CD630_09010",4268,4072,3657,6033,8736,3748.5,6893.5,7130.5,10419,8353,9654.5,9240.5
"CD630_09020",12,13,19,15,33,11,8,13,13,17,8,15
"",217,149,172,256,248,143,425,386,507,396,568,459
"CD630_09040",1217,885,1013,1372,1631,875,1042,1075,1525,1376,1404,1220
"CD630_09050",1965,1735,1744,2055,2832,1636,1510,1794,1767,1739,1715,1639
"CD630_09060",220,133,199,241,318,150,208,242,211,211,208,207
"CD630_09070",93,52,81,120,128,73,104,90,102,68,101,89
"CD630_09071",2,3,2,2,2,5,0,1,0,2,0,1
"CD630_09080",7,3,9,2,8,6,2,1,3,0,2,0
"CD630_09090",5,3.5,5,4.5,6,8,4.5,6,1,6,0,2
"CD630_09100",1525,1353.5,1218,1742.5,2485,1200,811.5,989,1061,1018,1027,877
"CD630_09110",2,2,1,1,4,0,0,0,1,1,0,0
"CD630_09120",0,0,1,0,1,2,0,1,0,0,1,1
"CD630_09130",0,0,0,0,0,0,1,1,1,2,0,0
"CD630_09140",0,0,1,2,0,0,0,0,0,0,2,1
"CD630_09150",3,0,3,1,4,8,8,2,5,2,4,3
"CD630_09160",2,6,3,3,4,0,1,2,1,1,0,0
"CD630_09170",8,2,6,6,7,3,10,9,7,9,8,5.5
"CD630_09180",9,6,3,9,9,5,7,1,5,6,8,5.5
"CD630_09190",0,0,2,6,2,3,4,7,2,4,5,8
"CD630_09200",0,0,5,0,2,0,0,0,0,0,1,0
"CD630_09210",1,0,0,0,0,0,0,0,1,0,1,0
"CD630_09220",0,2,1,0,2,0,0,0,0,1,0,0
"CD630_09230",0,0,0,0,0,0,0,0,0,0,0,0
"CD630_09231",0,0,0,0,0,0.5,0,0,0,0,0,0
"CD630_09240",0,0,0,0,1,0.5,0,0,0,0,0,1
"CD630_09250",0,0,0,2,1,0,2,1,1,1,2,3
"CD630_09260",1,0,1,0,0,1,3,2,3,1,2,2
"CD630_09270",4,2,1,3,6,1,6,5,9,6,7,3
"CD630_09280",0,0,0,0,0,0,1,2.5,0.5,2.5,1,3
"CD630_09290",4,1,2,3,4,1,3,2.5,7.5,6.5,3,8
"CD630_09300",4,4,3,4,4,1,10,6,14,15,13,12
"CD630_09301",2,0,0,0,1,0,0,0.5,0.5,1,0,1
"CD630_09310",3.5,1.5,1,1.5,4.5,0,7,12,5.5,8,5,17
"CD630_09320",1.5,3.5,3,3.5,3.5,0,13,7.5,7,9,3,12
"CD630_09330",0.5,1,2,0,1,0,5.5,6.5,2.5,2.5,5.5,5.5
"CD630_09340",2.5,0,0,1,1,0,5.5,8.5,5.5,4.5,5.5,6.5
"CD630_09350",8,4,5,8,9,2,29,40,17,25,31,35.5
"CD630_09360",1,9,4,6,5.5,1,13.5,14,16,16,13,11
"CD630_09370",2,6,6,6,8.5,7,12.5,14,17,19,34,26.5
"CD630_09380",2,8,1,4,10,4,12,20,11,19,35,11
"CD630_09390",0,0,0,0,0,0,0,0,0,0,0,0
"CD630_09400",0,0,0,0,0,0,0,0,0,0,0,0
"CD630_09401",0,0,0,0,0,0,0,0,0,0,0,0
"CD630_09410",0,0,0,0,0,0,0,0,0,0,0,0
"CD630_09420",0,0,0,0,0,0,0,0,0,0,0,0
"CD630_09430",0,0,0,0,0,0,0,0,0,0,0,0
"CD630_09440",0,0,0,0,0,0,0,0,0,0,0,0
"CD630_09450",0,0,0,0,0,0,0,0,0,0,0,0
"CD630_09460",0,0,0,0,0,0,0,0,0,0,0,0
"CD630_09461",0,0,0,0,0,0,0,0,0,0,0,0
"CD630_09470",0,0,0,0,0,0,0,0,0,0,0,0
"CD630_09480",0,0,0,0,0,0,0,0,0,0,0,0
"CD630_09490",0,0,0,0,0,0,0,0,0,0,0,0
"CD630_09500",0,0,0,0,0,0,0,0,0,0,0,0
"CD630_09510",0,0,0,0,0,0,0,0,0,0,0,0
"CD630_09520",0,0,0,0,0,0,0,0,0,0,0,0
"CD630_09530",0,0,0,0,0,0,0,0,0,0,0,0
"CD630_09531",0,0,0,0,0,0,0,0,0,0,0,0
"CD630_09540",0,0,0,0,0,0,0,0,0,0,0,0
"CD630_09550",0,0,0,0,0,0,0,0,0,0,0,0
"CD630_09560",0,0,0,0,0,0,0,0,0,0,0,0
"CD630_09562",0,0,0,0,0,0,0,0,0,0,0,0
"CD630_09570",0,0,0,0,0,0,0,0,0,0,0,0
"CD630_09580",0,0,0,0,0,0,0,0,0,0,0,0
"CD630_09590",0,0,0,0,0,0,0,0,0,0,0,0
"CD630_09600",0,0,0,0,0,0,0,0,0,0,0,0
"CD630_09610",0,0,0,0,0,0,0,0,0,0,0,0
"CD630_09620",0,0,0,0,0,0,0,0,0,0,0,0
"CD630_09630",0,0,0,0,0,0,0,0,0,0,0,0
"CD630_09640",0,0,0,0,0,0,0,0,0,0,0,0
"CD630_09650",0,0,0,0,0,0,0,0,0,0,0,0
"CD630_09660",0,0,0,0,0,0,0,0,0,0,0,0
"CD630_09670",0,0,0,0,0,0,0,0,0,0,0,0
"CD630_09680",0,0,0,0,0,0,0,0,0,0,0,0
"CD630_09690",0,0,0,0,0,0,0,0,0,0,0,0
"CD630_09700",0,0,0,0,0,0,0,0,0,0,0,0
"CD630_09710",0,0,0,0,0,0,0,0,0,0,0,0
"CD630_09720",0,0,0,0,0,0,0,0,0,0,0,0
"CD630_09730",0,0,0,0,0,0,0,0,0,0,0,0
"CD630_09750",0,0,0,0,0,0,0,0,0,0,0,0
"CD630_09760",0,0,0,0,0,0,0,0,0,0,0,0
"CD630_09770",55,13,1108,1514,38,20,33,44,62,65,53,50
"CD630_09772",92,30,89,73,78,47,175,136,333,190,271,184
"CD630_09771",167,75,121,222,230,140,186,110,141,129,97,94
"CD630_09780",3,8,4,4,5,1,1,0,1,3.5,1,2
"CD630_09790",9,6,5,2,11,2,5,8,4,8.5,5,9
"",16,16,7,15,9,7,5,7,12,7,9,10
"CD630_09810",1078.5,681.5,987,1278,1245.5,791,294.5,373.5,333,321.5,228.5,269.5
"CD630_09820",951.5,644.5,787,1164.5,1204.5,694,180.5,276.5,233,237.5,151.5,181.5
"CD630_09830",548,490.5,479.5,669,806,448.5,131,213.5,169.5,179,175.5,140
"CD630_09840",1238,983.5,974.5,1343.5,1672,998.5,424,550.5,523.5,468,496.5,462
"CD630_09850",1866,1599,1489,2082,2725,1483,1034,1366,1183,1096,1185,1067
"CD630_09860",5914,4951,4729,6839,9334,4495,4653,5410,5229,5028,5478,4880
"CD630_09870",572.5,501,461,627,891,429,375.5,529,483,589,433,470
"CD630_09880",182.5,202,138,195,221,132,107.5,181,183,189,119,136
"CD630_09890",61,63,80,100,104,68,115,156,133.5,162,134,107
"CD630_09900",46,58.5,47,52.5,61,37,68.5,86.5,68,61,76,73.5
"CD630_09910",10.5,21.5,14.5,12,17,10,25,31,20.5,28,31.5,22
"CD630_09920",39.5,48,49.5,53.5,86,44,88.5,90.5,69,101,78.5,85.5
"CD630_09930",278,286,265,261,517,222,429,347,366,290,402,336
"CD630_09940",2337,2454,2528,3436,3956,2133,7436,8729,8351,7695,8007,7770
"CD630_09950",2394,2544.5,2376.5,3485,3808.5,2129.5,3324.5,5327.5,4153.5,3393,3858,4143.5
"CD630_09960",2353,2818.5,2383.5,3117,4390.5,2311.5,3768.5,5806.5,4515.5,3657,4649,4613.5
"CD630_09970",1804,1584,1537,2350,2570,1491,209,322,217,372,142,172
"CD630_09980",2311,2297,1983,2886,3720,1978,1089,1312,1297,1288,1235,1154
"CD630_09990",1868.5,1591.5,1552,2090,2914,1495,735.5,905,1034,944,985.5,886.5
"CD630_10000",256.5,240.5,218,248.5,405,207,100.5,125,120,135,95.5,77
"CD630_10010",228,205,208,221.5,310,207,56,126,70,120,58,69.5
"CD630_10020",132,131,111,160,233,105,59,73,63,57,49,38
"CD630_10030",387,391,302.5,438.5,581.5,319.5,218,216.5,175.5,180,178,159
"CD630_10040",308,269,228.5,317.5,411,225.5,154,183,181.5,157,141.5,148
"CD630_10050",861,860,755,907,1378.5,709,544,620.5,558,503,501.5,490
"CD630_10060",299,170,293,375,337,268,339,322,321,285,299,281
"CD630_10070",620,456,499,721,759,465,551,518,541,568,532,497
"CD630_10080",1401,1130,1116,1562,1884,1026,1029,1251,1216,1265,1067,1141
"CD630_10090",295,239.5,262,267,481.5,259,304,419.5,218.5,166.5,412.5,340.5
"CD630_10100",505,462.5,415,483,875.5,391,522,648.5,444.5,315.5,752.5,628.5
"CD630_10110",621,500,507,625,1075,538,569,829,596,408,774,721
"",23,17,9,22,37,10,7,5,7,6,6,9
"CD630_10130",94.5,76.5,72.5,115,153.5,79.5,72,73,79,73,70.5,76.5
"CD630_10140",270.5,214.5,220.5,339,395.5,229.5,101,151,144,166,118.5,130.5
"CD630_10150",2442,1687,2077,3140,3346,1850,1022,1518,1352,1430,1020,1070
"CD630_10160",334,280,266,406,487,285,547,696,699,880,677,640
"CD630_10170",331.5,316,236.5,343.5,450.5,265.5,73,72.5,70,106,72.5,61
"CD630_10180",467.5,411,371.5,550.5,743.5,378.5,105,139.5,129,131,113.5,103
"CD630_10190",7,7,9,5,8,3,5,7,15,2,5,5
"CD630_10200",8,7,9,8,9,5,4,8,10,12.5,8,14
"CD630_10210",33,36,33,42,45,29,26,19,29,23.5,33,27
"CD630_10220",113,83,93,110,166,98,121,144,108,108,117,107
"CD630_10230",192,146,157,237,282.5,153,104,236,86,225,61,67
"CD630_10240",1573,1205.5,1199,1794.5,1871.5,1177.5,598,1430.5,516,1507,319.5,386
"CD630_10250",1589,1193.5,1212,1842.5,2136,1139.5,538,1389.5,496,1428,303.5,343
"CD630_10260",2038.5,1445,1351,2274,2644,1395,524,1390,514.5,1542.5,359.5,383.5
"CD630_10270",4273.5,3312,2994,4649,5622,2948,1105,2908,1036.5,2742.5,717.5,791.5
"CD630_10280",21,19,15,16,29.5,18,2,10,6,9,6,9
"CD630_10290",264.5,214,205.5,278,362.5,192.5,334,359,383,350,546,438
"CD630_10300",88.5,73,66.5,115,114,63.5,20,28,46,23,20,15
"CD630_10310",150,108,130.5,182,161,96,35.5,57,71,55,61,54.5
"CD630_10320",133.5,116,100.5,164,142,78.5,48.5,49,55,57,55,31
"CD630_10330",151.5,75,107,151,141,101.5,36,53,47,53,43,61.5
"CD630_10340",91,77,93,99,101,78,65,54,76,58,89,53
"CD630_10350",7140,6280,5551,8974,10460,5792,6997,7801,7893,8563,7682,7226
"CD630_10360",1430,1436,1059,1756,1693,979,654,1340,732,868,717,774
"CD630_10370",480.5,320,408,591.5,666,380,621,592.5,722.5,811.5,757,627
"CD630_10380",995.5,832,733,1177.5,1310,810,1140,1152.5,1400.5,1453.5,1336,1257
"CD630_10390",388.5,308,290,391.5,490,266,333,343.5,442,418.5,452.5,391.5
"CD630_10400",2731,2290.5,2090.5,3378,3786.5,2120.5,2423.5,2639,3070.5,2818.5,3096,2862
"CD630_10410",3526.5,3094.5,2803.5,3777.5,5154.5,2714.5,2923.5,3494.5,3602,3567,3864.5,3606.5
"CD630_10420",699,651,568.5,679,1011.5,556.5,596,732,732.5,643.5,781,722
"CD630_10430",3012,2531,2175.5,2886,3911.5,2215.5,2720,3315,3258,3147.5,3474,3102
"CD630_10440",4692,3411,4345,5502,6316,3829,5789,6480,7725,6815,8075,7050
"CD630_10450",113,59,78,108,126,79,103,100,98,86,122,87
"CD630_10460",1131,1061,965,1553,2023,985,1390,1505,1255,1525,1246,1110
"CD630_10470",1971,1749,1596,2230,2626,1574,1964,2145,2128,1942,2055,1883
"CD630_10480",1292,1080,1166,1823.5,1966.5,1111.5,972,1144.5,1163.5,1114,1060.5,954.5
"CD630_10490",2080,1539,1905,2816.5,2797.5,1688.5,1523,1773.5,1991.5,1945,1806.5,1630.5
"CD630_10500",1637,1225,1159.5,2008,1573.5,1053.5,1024,1244,2029,1803.5,1962,1820.5
"CD630_10510",761.5,551,485,698,710.5,389.5,336,481.5,596,633,609,629.5
"CD630_10520",761.5,630,549.5,853,872,524,399,506.5,547,620.5,619,633
"CD630_10530",2066,1955,1847,2681,2928,1732,1867,2147,2207,2219,2459,2322
"CD630_10540",10329,9988,10230,16550.5,15475,8589,21687,24956,24951,24560.5,21973,19728.5
"CD630_10550",7301.5,7392,6774,11007.5,11192,5883,13974,16465,15940.5,15885.5,14517.5,13540.5
"CD630_10560",8210.5,8255.5,7341,10599.5,13305.5,6522,14525,17516,17871,17412.5,16350.5,14907.5
"CD630_10570",7890,8455.5,6880,10463.5,12760.5,6367,12872,15989,16523.5,15759.5,14806,13819.5
"CD630_10580",12882,12284,10505,17824,19720,9473,20456,26925,28610,30558,25229,24218
"CD630_10590",8099,8449,6849,10531,12952,6362,15326,16164,17300,17657,17854,15341
"CD630_10600",638.5,573,590.5,690,1061.5,568,544.5,617.5,656,654,664.5,634
"CD630_10610",1128.5,1010,927.5,1312,1867.5,909,955.5,1115.5,1134,1171,1103.5,1040
"CD630_10620",6648,4740,5406,7596,8904,5116,8449,8679,7677,7136,8159,7345
"CD630_10630",26.5,23.5,16,26,34,19,10,8,17.5,4,7.5,18.5
"CD630_10631",14.5,11.5,11,14,17,8,4,1,5.5,1,6.5,5.5
"CD630_10632",1,1,1,2,4.5,1,2.5,0,0,2,1,2
"CD630_10633",1,0,0,1,1.5,1,0.5,0,0,4,4,2
"CD630_10640",8099,6958,6169,9174,11270,6295,5857,7345,7875,7915,8238,7940
"CD630_10650",6,7,8,9,14,2,5,4,3,4,8,0
"CD630_10660",4,8,8,10,19,7,8,4,3,6,8,11
"CD630_10670",449,316,345,658,662,383,406,407,444,872,440,511
"CD630_10680",366,352.5,330,492,668,283,31,56,38,55,36,36
"CD630_10690",986,868.5,781,1003,1466,724,430,529,443,438,454,390
"CD630_10700",1276.5,937.5,1112,1522,1695.5,990,1225.5,1372,1403,1321.5,1387,1305.5
"CD630_10710",1138.5,1030,964,1505.5,1634,951.5,866,944,770,786.5,763,820
"CD630_10720",2786,2859.5,2488,3143.5,4746.5,2475.5,2557.5,2793,2364,2314,2568,2365.5
"CD630_10730",374,425,350,388,720.5,313,727.5,1261.5,961,1146,907.5,866
"CD630_10740",111,140,147,128.5,239.5,118.5,302,522.5,351.5,349.5,340,324
"CD630_10750",315,330.5,318,329,474,258,659,1362.5,822,793,753.5,734
"CD630_10760",238,283.5,256,324.5,420,214.5,551.5,1118.5,594.5,653.5,579,532.5
"CD630_10770",188.5,293.5,256,253.5,406,183,477.5,1025.5,461,544,487,379.5
"CD630_10780",361.5,367.5,349,408.5,593,277,685.5,1563.5,792,793,737,682
"CD630_10790",1541,1167,1204,1580,2095,1097,1357,1918,1994,1571,1858,1778
"CD630_10800",2703,1451,2006,3301,3350,2051,2066,2254,3199,3037,3523,3194
"CD630_10810",1411.5,984,1176.5,1617,1766,1175.5,1017,1109,1080.5,1013.5,1174.5,1062.5
"CD630_10820",486.5,392,445.5,535,714,427.5,370,358,358.5,352.5,384.5,343.5
"CD630_10830",291,200,194,338,396,215,293,247,241,246,278,222
"CD630_10840",6927,5215,4868,7616,7636,4285,2385,3347,3246,3104,3784,3570
"CD630_10850",4880,4647.5,4796,6160.5,7231.5,4026.5,4138,4695,5328,6100,5533.5,5132.5
"CD630_10860",4906,4998.5,4975,6429.5,7695.5,4018.5,3981,4417,4451,5864,4541.5,4569.5
"CD630_10870",230,86,45,49,283,106,436,350,425,86,793,646
"CD630_10880",276,84,85,136,213,114,347,305,338,105,590,545
"CD630_10890",139.5,56.5,84.5,105,139,68.5,170,175.5,177,82,225,242.5
"CD630_10900",413.5,260.5,275.5,365,450,291.5,401,446.5,458,294,501,489.5
"CD630_10910",771,769,806,1215,1213,741,960,966,1097,1056,1289,1021
"CD630_10920",4,1,2,1,3,0,5,1,3,0,2,2
"CD630_10921",1.5,2.5,2.5,0.5,2.5,2,5,7,5.5,5.5,11.5,2.5
"CD630_10940",0.5,2.5,4.5,3.5,0.5,0,7,17,14.5,5.5,19.5,8.5
"CD630_10950",620,723,551,927.5,1216,565.5,182.5,284,219.5,228.5,172.5,208.5
"CD630_10960",456,456,382.5,660,876,404.5,146.5,195,167,200.5,146,151
"CD630_10970",716,803,643.5,1184.5,1363,667,304,408,328.5,325,272.5,269.5
"CD630_10980",215.5,224,197,272.5,365.5,182,229.5,282.5,219.5,206.5,186,169.5
"CD630_10990",77.5,82,77.5,109.5,90.5,60.5,69,82,48.5,52.5,48,51.5
"CD630_10991",6,5,10.5,22,5,13.5,6.5,8.5,3,2,2,3
"CD630_11000",0,0,0,36,0,0,1,2,0,0,2,1
"CD630_11010",0,1.5,0,0,1,0,0,0,0,0,0,0
"CD630_11020",0,0.5,0,0,1,0,1,0,2,0,1,0
"CD630_11030",66,61,83,75,90,51,37,29,36,21,48,41
"CD630_11040",706,692,682,863,1257,643,590,573,543,518,658,527
"CD630_11041",13.5,24.5,16.5,23.5,25,14,13.5,11,10,10.5,12.5,9.5
"CD630_11042",6.5,15,10,9.5,14,12.5,4.5,6,4,0.5,3.5,4
"CD630_11050",6,7.5,7.5,6,11,6.5,3,3,0,0,0,0.5
"CD630_11060",1,2,0,0.5,1,2,1,3,3,2,5,1
"CD630_11061",0,0,0,0.5,0,0,0,0,0,0,0,0
"CD630_11070",0,0,0,0,1,0.5,0,0,1,0,0,0
"CD630_11071",0,0,0,0,0,0.5,0,0,0,0,0,0
"CD630_11080",0,0,0,1,0,0,0,0,0,0,0,0
"CD630_11090",0,0,0,0,1,0,0,0,0,0,0,0
"CD630_11100",0,0,0,0,0,0,1,3,0,0,1,2
"CD630_11110",0,0,0,0,0,0,0,1,0,0,0,0
"CD630_11120",0,0,0,0,0,0,2,1.5,3,0,0,0
"CD630_11130",0,1,0,1,0,0,0,1.5,0,0,0,0
"",0,0,0,0,0,0,0,0,0,0,0,0
"CD630_11150",0,0,1,0,1,0,1,1,0,1,0,0
"CD630_11160",0,1,0,0,0,0,1,0,0,0,0,1
"CD630_11170",0,0,0,0,0,0,0,0,0,0,0,0
"CD630_11180",1,4,0,2,2,2,0,3,1,1,1,1
"CD630_11190",10,8,6,4,10,1,3,8,11,2,9,8
"CD630_11200",542.5,509,446,811,821,411,406.5,588,607,659,522.5,458.5
"CD630_11210",338,317.5,282.5,453.5,458.5,281.5,219,331.5,250,312,250,230.5
"CD630_11220",402.5,387.5,347.5,434.5,609.5,306.5,303.5,432.5,404,423,371.5,320
"CD630_11230",459,301,381,613,576,391,562,666,800,814,712,673
"CD630_11240",816,688,711,957,1151,663,495,481,464,452,442,420
"CD630_11241",715,567,562,788,903,577,491,547,579,479,581,556
"CD630_11250",42165,36840,29416,42641,55822,33074,36983,43079,62053,53520,77626,67233
"CD630_11260",4125,2523,3191,4598,3862,3028,415,708,637,832,532,642
"CD630_11261",66.5,47.5,43,37.5,42,42,33,39,38,33,46,32
"CD630_11270",149.5,109.5,130,162.5,206,102,109,151,159,123,157,139
"CD630_11280",2326,1884,2053,2923.5,3471,1993.5,1824,1969,2042.5,2067,1977.5,1842.5
"CD630_11290",371,295,343,424.5,585,353,295.5,282.5,258.5,242.5,323,272
"CD630_11300",749,629.5,614,846.5,1046.5,604.5,473.5,504,486.5,473.5,510.5,433
"CD630_11310",2274.5,2077.5,1863,2509.5,3808,1824.5,1308.5,1595.5,1781,1823,1555.5,1404.5
"CD630_11320",805.5,660,606,1172,1293.5,641.5,390.5,514,525.5,489,469.5,442
"CD630_11330",977,924,750,2456,1610,727,441,465,558,522,541,529
"CD630_11340",1842,1802,1646,2318,2875,1509,3462,2781,2776,2939,3613,2869
"CD630_11350",17583,17388,15014,22542,29002,14647,21791,24301,22570,23599,24253,21512
"CD630_11360",4272,4098,3688,5184,7790,3667,4682,6086,6206,6675,5782,5285
"CD630_11370",9128,9135.5,8046,10110,15673,7944.5,10203.5,15638.5,11771,12694.5,10491,9637
"CD630_11380",5187.5,5131.5,4551.5,5268.5,9289.5,4617.5,5884,8751.5,6568.5,7039,5990.5,5331.5
"CD630_11390",3705,4036.5,3411.5,3707.5,5972,3360.5,4280,5694,3957.5,4105,3931.5,3531
"CD630_11400",3443,3228,2923.5,3453,6118.5,2976,3568,5818,4134,4639,3604.5,3330.5
"CD630_11410",2163.5,2009,1940.5,2067,4012,1918.5,2165.5,3578,2828,2931.5,2371.5,2091.5
"CD630_11420",5231,5641.5,4785,5540,8878,4675,5663,8461,5875,6051,5368,4991.5
"CD630_11430",8525.5,6205.5,7264,10384,12148,7074,4541,4925.5,5763,4645.5,5290.5,5178
"CD630_11440",15116.5,12144.5,12806,19723,21656,12654,7391,7885.5,9114,8171.5,8308.5,8198
"CD630_11450",19252,19112.5,16373,24766.5,32045,16561.5,10378,11425,10903.5,10231,11166,10294
"CD630_11460",7414.5,7827.5,6417,9170,12145,6415,4044,4756.5,4728.5,4302,4258,4005
"CD630_11470",4809.5,4273.5,3973,5377.5,7841,4003.5,2210.5,2934,3003,2853.5,2565,2657
"CD630_11480",29928,28740.5,25272,34857,48496,25704,13196.5,16004.5,15791,14495.5,14874,14208
"CD630_11490",7921.5,7523.5,6721.5,8658,12478,6778,2848.5,3530.5,3369,2951.5,3065,2909
"CD630_11500",10523.5,10410,8698.5,11771,16505.5,8767,4235,5130,4567.5,4204.5,4219.5,3965
