"gene_id","Wt_SM_Rep1","Wt_SM_Rep2","RA_SM_Rep1","RA_SM_Rep2","Wt_S_Rep1","Wt_S_Rep2","RA_S_Rep1","RA_S_Rep2","Wt_S_NOV_Rep1","Wt_SM_NOV_Rep1","RA_S_NOV_Rep1","RA_SM_NOV_Rep1","Wt_S_NOV_Rep2","Wt_SM_NOV_Rep2","RA_S_NOV_Rep2","RA_SM_NOV_Rep2"
"spr1696",14166,14345,9848,11397,23145,12902,21242,14665,3822,7833,4473,9173,6947,6526,3852,6259
"spr1697",4482,4800,2243,2659,8803,4583,5880,4428,1729,3478,1696,3793,3463,2947,1628,2799
"spr1698",708,706,518,694,1148,601,1062,979,181,247,181,270,418,191,213,207
"spr1699",571,554,400,550,831,267,1245,1862,587,465,913,486,1946,472,886,436
"spr1700",453,459,208,222,999,483,437,355,109,299,116,307,286,324,129,266
"spr1701",122,151,98,92,476,215,164,127,34,37,28,69,38,52,28,32
"spr1702",20,24,28,21,109,57,71,45,8,11,7,11,8,11,8,9
"spr1703",51168,42477,26889,36715,90668,30178,66144,41417,16783,15366,18924,19747,16341,12433,10182,13449
"spr1704",52573,43902,29140,39867,98264,33676,65215,44634,16025,14639,17720,19096,15162,12281,9846,12896
"spr1705",37823,32395,19399,25576,71568,25899,47330,30780,11415,11252,13395,14235,11545,9474,7664,9997
"spr1706",59548,52104,29340,39368,119003,46201,78712,56603,18057,18981,20318,23817,19313,16503,12658,16769
"spr1707",108628,94573,48699,62034,245022,106267,130786,89179,24767,29274,27595,35245,29564,25769,17277,26600
"spr1708",11773,12411,5547,6115,23347,10552,14809,10406,1875,3067,2210,3648,3026,2623,1644,2584
"spr1709",443,357,269,288,762,441,692,444,91,162,104,177,135,160,91,122
"spr1710",182,191,167,190,340,226,346,254,43,80,32,100,49,91,33,46
"spr1711",130,121,88,133,244,120,187,127,36,84,44,89,52,81,38,45
"spr1712",205,216,168,177,408,244,345,264,62,128,56,168,65,143,69,100
"spr1713",373,422,295,304,727,432,655,409,170,286,145,353,191,288,173,240
"spr1714",1377,1455,941,1107,2389,1254,2322,1878,773,1070,826,1165,1716,1058,879,999
"spr1715",1480,1519,1065,1237,2578,1437,2044,1662,569,1118,752,1175,1592,1064,811,1042
"spr1716",8,8,9,9,44,24,18,16,1,4,5,5,3,3,3,2
"spr1717",5354,5438,2772,2907,14446,7974,9911,6580,2803,3506,2913,3955,2941,3302,2022,3116
"spr1718",410,395,150,152,1291,711,891,706,336,393,367,376,437,352,242,359
"spr1719",13143,13143,3769,4018,33945,21099,17712,11955,7448,11109,7532,13988,7644,11342,5905,10825
"spr1720",3082,3826,1691,1853,11704,5459,5024,2907,745,1118,887,1297,725,1169,550,1042
"spr1721",119,100,77,63,418,200,210,135,46,53,44,55,40,55,36,37
"spr1722",113591,108636,73149,88376,125699,61588,126251,77739,45956,94161,50809,103074,68401,100758,38751,87866
"spr1723",17167,17206,11453,13325,23114,10180,18314,9568,6566,10503,7657,11769,8720,10675,5393,10767
"spr1724",180357,219589,106015,136817,248677,76096,167876,91412,58067,59101,64209,69312,64412,54140,33685,53475
"spr1725",7601,7854,4888,5253,13068,7332,10312,6771,2683,5706,3056,6324,3627,5279,2299,4861
"spr1726",6207,6559,3769,3778,11065,7020,7624,4801,1987,4019,2098,4510,2661,3749,1770,3474
"spr1727",2847,2824,1546,1560,5570,3497,3408,2676,1006,1803,965,1923,1228,1738,870,1540
"spr1728",2422,2459,1257,1185,4118,2403,3105,1745,703,1280,878,1531,957,1098,607,1273
"spr1729",733,753,597,720,1462,714,1556,1077,196,596,218,598,249,517,151,477
"spr1730",2252,2215,1645,1845,5180,2347,4159,3215,643,1414,600,1508,706,1331,429,1179
"spr1731",2034,2082,1633,1962,5137,2591,3443,2404,575,1176,641,1331,635,1167,443,1099
"spr1732",525,579,350,458,1592,754,953,714,108,216,80,278,91,233,76,177
"spr1733",277,274,167,173,925,454,500,366,64,87,55,93,43,77,25,67
"spr1734",111,128,80,112,114,62,83,60,132,239,158,296,167,294,133,220
"spr1735",4,8,2,1,16,12,1,0,0,7,6,9,8,8,3,4
"spr1736",54,74,61,53,70,17,72,46,88,150,103,208,111,158,130,150
"spr1737",52,70,41,42,36,24,77,45,60,137,81,154,110,100,77,120
"spr1738",32936,37024,22626,23899,46981,25481,33420,24746,24374,47871,29868,60352,42488,46218,29922,39405
"spr1739",92285,103661,69566,66917,117467,74764,113440,77457,57917,126482,79910,167081,130060,114773,77671,111306
"spr1740",17967,19898,14072,13753,23819,14622,22788,13699,10365,23747,14491,31137,25372,21904,15047,21556
"spr1741",15230,17276,11903,11200,21680,13964,23225,12385,8958,23890,14272,31277,25865,20603,13603,21259
"spr1742",5058,6034,3331,2966,6554,4562,5524,3537,2327,6633,3049,8491,7430,6248,3440,5887
"spr1743",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"spr1744",0,1,0,1,1,1,2,4,1,0,0,0,1,0,0,0
"spr1745",178,166,72,100,1001,623,689,406,128,170,167,149,211,142,129,126
"spr1746",518,660,428,479,766,256,689,453,895,846,934,1028,802,853,562,726
"spr1747",829,1010,683,776,1430,515,966,655,1243,1109,1269,1356,1183,1059,758,972
"spr1748",302,362,214,236,564,187,301,223,460,387,517,462,409,392,300,373
"spr1749",1155,1394,880,1041,2208,638,1449,901,1827,1766,2031,2115,1882,1627,1270,1530
"spr1750",1216,1444,920,1057,2007,585,1368,779,1662,1362,1911,1740,1670,1165,1014,1271
"spr1751",580,703,412,488,926,321,684,425,868,765,937,1005,884,706,567,659
"spr1752",117,108,89,90,337,62,133,74,147,130,168,213,169,95,77,89
"spr1753",42,64,30,44,87,28,59,28,56,80,115,97,70,61,62,60
"spr1754",160153,193498,113489,141353,226765,66414,133598,86020,355413,207747,333610,260664,256497,193454,152493,182579
"spr1755",17453,19619,15217,18788,27602,7339,17464,12466,28884,17956,38322,24869,26212,15155,16485,19305
"spr1756",177585,214131,139897,176162,241402,67286,172663,125399,393941,229142,405657,290928,298293,205885,173440,207169
"spr1757",205896,248120,156754,192078,302636,100794,201302,126988,381144,234906,415291,304293,280414,207429,157198,223401
"spr1758",346284,419850,253047,315896,551621,179349,288277,189160,551135,311442,571816,413425,378645,290026,209262,305331
"spr1759",17588,15040,6965,8560,25206,11191,17662,11068,17572,49354,20915,58506,26193,51545,14260,46909
"spr1760",8426,7126,2988,3846,13399,5337,8310,4666,7751,21071,8916,25317,11650,22325,5996,21149
"spr1761",8091,6539,2787,3723,11081,3764,7738,5203,6723,22346,7992,27291,10560,23304,5351,22845
"spr1762",6042,4927,1987,3150,6587,1357,5500,3818,5250,19845,5363,23824,8210,22883,3489,20309
"spr1763",1271,1282,575,608,3924,2050,2355,1471,2540,4119,2931,4726,4033,3975,2057,3848
"spr1764",166,131,118,144,288,174,233,169,335,721,308,823,506,735,276,657
"spr1765",829,655,426,548,1702,807,1453,913,1635,3944,2146,4242,3430,3866,1877,4008
"spr1766",323,285,154,186,947,513,536,372,1143,2542,1019,2510,1638,2672,891,2092
"spr1767",970,832,555,668,1846,785,1127,835,2756,5551,3328,6675,4280,5870,2444,5932
"spr1768",274,254,164,206,572,211,306,201,776,1182,807,1576,1036,1234,659,1282
"spr1769",196,189,83,88,361,155,207,130,432,785,569,975,600,884,420,765
"spr1770",655,563,223,316,1238,468,699,440,1159,2110,1579,2693,1663,2181,990,2068
"spr1771",861,739,404,447,1802,878,1058,630,1421,2129,1624,2602,1865,2083,1090,2044
"spr1772",1096,1105,591,704,3020,1765,1889,1508,1231,1498,1323,1758,1535,1549,842,1481
"spr1773",861,807,413,501,1857,1052,1498,1118,973,1020,964,1266,999,1056,526,971
"spr1774",157,146,73,108,339,158,354,171,142,199,245,237,205,177,126,179
"spr1775",5479,6411,4083,5077,7865,2910,6591,4020,11325,10978,12309,14947,12841,10201,8550,9833
"spr1776",211935,230377,165242,222798,372121,124705,283472,201946,348751,327058,369940,421238,417635,321597,260014,306106
"spr1777",167917,176984,122960,163651,317917,121935,241885,167103,232569,224716,246873,284880,302180,222480,173301,215557
"spr1778",20521,19958,9858,10980,42392,22524,22103,16535,6776,11344,7842,13400,10848,9842,6384,8696
"spr1779",18037,17391,12107,13998,32984,18546,24674,13314,6706,11347,8099,14017,10519,9126,6262,9102
"spr1780",5029,5176,3687,4218,10920,5930,5973,4139,1691,2441,1814,3105,2443,2066,1542,2034
"spr1781",40515,40366,27132,31179,70785,38098,52989,37538,15440,25150,17474,30397,24905,21056,13511,19387
"spr1782",15684,15987,10169,10862,27922,13416,22038,15461,7019,15364,8130,16814,13538,12642,6998,11431
"spr1783",4858,4691,2980,3024,9641,4727,7739,4360,1637,3842,2320,4593,3519,3058,1738,3171
"spr1784",4386,4172,2545,2650,10097,4633,8909,5443,1773,4575,2108,4870,3755,3692,1760,3416
"spr1785",29761,27140,16210,17099,101522,58250,81117,57404,6425,16525,7936,16898,12043,12842,5812,12995
"spr1786",30,55,44,72,24,2,8,6,58,149,47,205,41,199,58,182
"spr1787",12061,13210,7144,7338,25823,19734,20994,13794,4245,8563,4661,9315,7669,7016,3634,6388
"spr1788",4568,5216,2867,3042,8210,4721,6239,4798,2500,3707,2653,4411,3670,3352,1875,3170
"spr1789",275,330,217,198,663,394,670,533,188,470,182,515,326,439,204,415
"spr1790",11068,10288,5595,6461,23293,11915,14198,10368,2324,6951,2432,6616,4119,5695,2184,4885
"spr1791",27081,25662,15369,16754,50364,32687,56580,39913,20610,23582,23669,30115,36292,20309,19623,19621
"spr1792",20534,19489,12653,14341,38905,22942,37779,23892,17545,19628,20389,26759,30106,16323,14810,16272
"spr1793",20080,18133,9929,10980,42523,20229,39518,23216,17068,19598,20796,24163,32513,15480,14397,15613
