"gene_id","Wt_SM_Rep1","Wt_SM_Rep2","RA_SM_Rep1","RA_SM_Rep2","Wt_S_Rep1","Wt_S_Rep2","RA_S_Rep1","RA_S_Rep2","Wt_S_NOV_Rep1","Wt_SM_NOV_Rep1","RA_S_NOV_Rep1","RA_SM_NOV_Rep1","Wt_S_NOV_Rep2","Wt_SM_NOV_Rep2","RA_S_NOV_Rep2","RA_SM_NOV_Rep2"
"spr0001",11481,11286,5783,6387,32282,14199,18601,13931,86523,24591,84946,34898,75656,28278,63415,26258
"spr0002",10159,9337,5114,6135,25793,10767,16209,12743,67515,22659,67410,31002,63134,25597,49273,23926
"spr0003",1012,879,506,539,2410,1385,1350,776,3764,1308,4113,2051,3592,1571,2984,1549
"spr0004",17739,17783,9171,9905,27856,14661,16512,11175,55222,45389,65327,57827,82916,46827,44397,48021
"spr0005",4054,3976,2154,2363,8396,4156,4580,2978,12304,10726,14065,13179,21357,11595,11840,12170
"spr0006",25225,23955,13635,15341,45192,18455,27690,19294,87979,78290,108062,101063,147482,90008,89156,88649
"spr0007",2577,2526,1117,1298,6983,3166,3524,2526,11377,7138,12649,9428,16377,8095,10013,7953
"spr0008",4533,4307,2091,2279,16438,7984,6896,4543,20153,11662,24337,16097,29569,13088,17911,13404
"spr0009",16403,16047,7795,8153,44219,20084,27374,17955,86788,51833,107069,71228,133074,58590,81883,59062
"spr0010",13413,13156,6369,6602,34549,14834,20953,13376,63598,39922,79446,54007,98214,45251,62130,45709
"spr0011",15930,15985,6862,6650,40123,21118,29545,19119,58756,38263,76471,48428,85804,38671,52984,40749
"spr0012",94976,95712,47252,47382,177242,92940,128330,93943,333690,216464,369848,270294,425468,225825,257489,216578
"spr0013",4833,3096,1705,2774,5627,1619,4444,2859,2508,10242,2875,10314,4287,8753,1723,7277
"spr0014",11073,11849,6014,7160,17511,6253,8452,6441,5130,4991,4613,6141,3765,4946,2674,4494
"spr0015",0,0,0,0,0,0,2,4,0,1,0,3,0,0,1,0
"spr0016",10309,10325,5789,6929,20035,7077,12329,7721,5871,3731,6602,5877,4355,4075,3969,3989
"spr0017",13,27,7,20,19,2,11,6,9,6,8,5,4,7,2,10
"spr0018",5,4,11,9,8,1,6,2,1,0,7,2,0,2,2,2
"spr0019",13,19,9,14,23,10,9,5,4,3,9,8,1,6,2,5
"spr0020",7881,6263,2763,3673,14464,2890,11568,7260,1471,2697,1930,3907,1964,2273,1026,2718
"spr0021",52632,49489,26662,32255,78721,28095,91554,61725,16561,29351,19755,35410,24248,24985,11576,25113
"spr0022",774,787,502,551,1210,488,693,468,246,167,301,240,149,233,134,132
"spr0023",4151,4760,2238,2361,7292,2749,3593,2531,3130,1702,2802,2219,2048,1611,1319,1597
"spr0024",9025,9972,6384,6771,13055,5010,9196,5628,6219,3272,5852,4491,3574,3144,2552,3371
"spr0025",19692,23679,15993,17496,28802,11220,21985,14188,14293,7638,13143,10131,7724,7120,5321,7786
"spr0026",14154,16950,11236,11927,21350,11825,15407,9818,7558,4362,7035,5913,4351,4499,3024,4585
"spr0027",18091,20841,14473,15135,26243,15162,21377,14053,7740,4751,7703,6527,4685,4440,3347,5103
"spr0028",15210,16724,9132,8724,33735,18459,25759,18161,4923,4997,5331,6415,6856,5059,3703,4591
"spr0029",650,728,450,572,1175,331,534,368,50,32,55,38,51,35,26,41
"spr0030",11605,14136,7148,8716,19527,5239,10282,5834,958,893,984,1106,886,630,390,765
"spr0031",12680,16057,7379,8897,21531,5382,9435,5522,1102,981,1184,1223,1056,899,446,899
"spr0032",27770,29776,19011,20567,63713,38044,49459,36541,4499,4833,5270,6319,6794,4385,3279,4310
"spr0033",2059,2039,1372,1474,3786,2783,6503,5560,2723,2345,3511,2923,4809,2075,2542,2062
"spr0034",37796,44692,32207,33700,93190,62158,75429,65575,10278,13674,10117,15247,14273,14480,8147,13189
"spr0035",9985,10297,6380,6413,18082,9630,13925,8829,3420,6021,3918,6628,5668,5594,3060,4933
"spr0036",5938,6316,4195,4316,11869,6156,8144,5106,1830,3649,2279,4123,3308,3317,1670,3135
"spr0037",10863,11086,7155,7425,16710,8428,12395,7764,2401,4998,2835,5868,3955,4400,2259,4188
"spr0038",1779,1890,1220,1164,3073,1591,2266,2024,417,855,494,1094,729,739,381,812
"spr0039",2968,2935,1861,1821,5087,2570,3319,1812,626,1499,759,1698,1072,1248,606,1195
"spr0040",9707,6426,3287,4052,18177,8300,14393,8081,842,1769,1208,2051,1484,1260,803,1343
"spr0041",26,37,27,34,170,85,44,46,11,12,7,7,5,9,7,8
"spr0042",103,106,69,84,341,135,117,98,29,32,15,35,33,22,13,22
"spr0043",82404,60736,34646,60688,112116,20426,98006,56560,3668,16643,4128,20881,5495,15759,2204,15675
"spr0044",55918,42881,28009,48250,65749,12961,52426,30126,2604,11982,2970,14908,3762,10880,1582,11376
"spr0045",818,801,582,433,959,537,6032,4467,93,149,108,239,156,157,74,135
"spr0046",4881,7245,11840,2951,6152,10121,104996,80474,1579,1302,1854,1947,2122,1329,1094,1191
"spr0047",2923,3984,8725,1693,3034,7905,64338,45963,988,680,1253,1028,1167,574,572,564
"spr0048",1707,2526,6102,927,1688,5778,38857,25243,683,373,866,615,716,354,343,317
"spr0049",856,1121,2791,472,824,3130,19012,13242,334,211,435,287,389,197,222,182
"spr0050",822,1099,2660,411,905,3289,17652,10687,270,173,439,295,353,128,181,162
"spr0051",3616,4874,12377,2146,3206,14072,69052,48642,1923,1029,2155,1720,1783,975,959,884
"spr0052",2008,2549,3163,1001,2740,3255,17844,11880,1405,1804,1451,2123,2063,1751,967,1675
"spr0053",917,1146,1516,484,1233,1392,8259,5122,623,755,678,902,896,803,386,758
"spr0054",2711,3343,4679,1304,2736,4145,24155,18211,2133,2180,2370,2792,2774,2177,1456,2046
"spr0055",3013,3206,3127,2006,6718,4675,9183,6275,1326,1230,1378,1382,1337,1107,789,1090
"spr0056",17464,19806,19318,13588,31835,23538,65439,46993,10701,8328,11087,10646,11046,7946,5981,7940
"spr0057",3887,3599,2759,3075,8186,5022,7090,5131,1964,1483,2048,1899,2205,1551,1495,1536
"spr0058",48878,49829,30951,34021,104914,54807,64581,46946,22404,18665,21689,22514,24861,16636,14121,15581
"spr0059",523,586,636,754,2139,1156,19851,18892,38272,17190,48151,18902,56650,14212,32565,15222
"spr0060",137,155,143,209,554,244,2277,2836,6203,3104,8364,3117,9322,2354,5462,2587
"spr0061",270,223,230,292,713,294,2066,2920,6752,3290,8492,3239,9203,2658,5494,2777
"spr0062",341,331,311,384,1297,505,1753,2437,5631,3157,7299,3118,8254,2535,5095,2580
"spr0063",206,231,228,254,746,276,951,1137,2654,1478,3592,1539,3655,1068,2257,1141
"spr0064",666,671,525,687,2312,878,2235,2705,6238,3344,7268,3503,7318,2708,4770,2731
"spr0065",437,445,396,428,1538,438,1135,921,2551,1667,3162,1651,3301,1241,2124,1365
"spr0066",137,112,48,64,230,143,200,132,118,146,127,163,146,129,77,116
"spr0067",304,294,128,166,1094,605,809,648,239,304,285,335,337,290,163,233
"spr0068",5847,5320,4055,4616,25219,16221,19273,13163,1281,1566,1376,2005,2183,1270,1021,1286
"spr0069",700,625,485,619,3371,1966,2656,1609,166,210,191,278,250,147,144,214
"spr0070",25735,25192,15433,17472,72359,40675,55197,36835,8056,7516,8867,10289,8084,6492,4892,7270
"spr0071",19815,19623,13204,14208,52614,29766,36345,23911,6058,5498,6422,7930,5759,5018,3654,5782
"spr0072",5503,5709,3529,4064,12866,6716,8426,6039,1849,1457,1937,2052,1517,1537,1051,1623
"spr0073",4,6,5,12,13,4,12,10,1,2,2,1,3,1,1,3
"spr0074",3757,3988,2732,3292,8312,4077,5871,3391,1254,1147,1385,1456,1146,1086,738,1252
"spr0075",3361,3601,1989,2406,5931,2243,3812,2807,1457,1143,1494,1648,1098,1195,1104,1159
"spr0076",4442,4813,2050,1791,9986,8004,8276,5675,2250,1656,2178,1898,2035,1629,1247,1369
"spr0077",7591,8032,4870,4493,16489,12546,13625,9526,3538,2291,3496,2882,2930,2178,1797,1988
"spr0078",79669,75969,36141,38894,191057,94892,93057,55633,34456,22104,32823,28685,31847,20657,18480,19379
"spr0079",309,309,171,207,1267,465,494,282,203,155,174,173,184,153,116,133
"spr0080",1339,1411,968,1153,3853,1995,3430,2146,742,583,791,688,749,489,448,493
"spr0081",20,26,22,32,131,127,733,800,2348,1679,2933,1766,3552,1936,2312,2111
"spr0082",19,24,32,24,173,145,450,702,2141,1493,2471,1409,3002,1569,1876,1844
"spr0083",38,56,39,51,353,297,454,735,2619,1716,3128,1754,3358,1962,2403,2240
"spr0084",29226,17454,6462,9024,52190,35296,27081,15950,4656,2177,4146,3345,3063,1706,1495,1644
"spr0085",1577,1109,592,640,3497,2803,3725,3276,2341,1566,2501,1744,2920,1559,1937,1435
"spr0086",8240,9506,6854,7114,28410,23838,23189,18946,14123,9759,13400,10849,12152,8829,6723,8532
"spr0087",5795,6363,4867,4705,21531,18654,24478,17980,11321,7535,11100,8440,9212,6439,5053,6712
"spr0088",1661,1837,1324,1283,7425,7017,11195,8620,4686,3107,4354,3247,3651,2838,1881,2639
"spr0089",617,758,477,395,2898,2658,5400,3536,2072,1355,2020,1430,1668,1147,846,1167
"spr0090",4033,4282,2950,3783,16474,7378,9682,7303,2402,1604,2317,1671,2468,1713,1419,1389
"spr0091",9430,10416,4222,4014,29973,18790,14964,9200,4468,2947,4997,4087,4314,3017,3033,2959
"spr0092",26685,28732,17605,19157,70100,38295,58489,39280,16868,11435,19485,14291,20499,11148,11417,10480
"spr0093",6581,6280,4171,4691,10417,6872,7858,5637,4587,4207,4643,5337,5038,3662,2825,3731
"spr0094",3776,3770,2428,2604,5569,3699,5080,3796,3100,3070,3084,3460,3496,2748,1819,2524
"spr0095",3451,3270,1745,1681,5903,3963,4461,3147,2318,2637,2423,3038,2988,2257,1495,2282
"spr0096",13201,13645,5478,6315,16623,16100,8812,5566,4724,18152,4932,15427,5190,15889,3383,13216
"spr0097",241,207,161,214,457,181,257,188,86,52,119,106,84,66,67,76
"spr0098",2012,2179,1314,1626,7438,4293,6857,4991,2243,1686,2582,1911,2334,1411,1295,1616
"spr0099",8586,8515,5422,6050,30900,14595,22087,16594,7091,4214,7995,5457,6934,3902,4223,3940
"spr0100",2931,2975,1873,2291,9586,4498,6065,4271,2139,1311,2144,1846,1916,1335,1191,1261
"spr0101",200,205,117,164,1295,250,658,403,120,104,110,134,94,110,81,97
"spr0102",559,547,341,440,4694,748,1709,1353,211,191,242,253,192,176,141,181
"spr0103",934,794,538,726,7468,1088,3066,2161,317,267,318,341,342,316,226,275
"spr0104",631,558,380,411,1844,999,1196,785,273,267,310,331,401,312,191,287
"spr0105",15,22,7,15,57,39,76,67,31,28,37,28,56,39,25,24
"spr0106",122,115,79,88,451,223,413,250,146,102,177,99,199,88,101,95
"spr0107",14,18,5,10,55,25,37,27,10,4,20,15,15,9,8,12
"spr0108",107,104,61,71,273,186,218,138,54,45,63,32,77,34,51,51
"spr0109",62,60,39,59,213,118,150,115,34,25,42,26,31,17,15,20
"spr0110",79,60,55,75,278,131,147,125,83,63,88,66,69,81,46,66
"spr0111",743,765,426,454,3570,1746,2360,2068,1846,1324,1996,1462,2047,1167,1126,1099
"spr0112",248,262,127,158,1179,558,840,210,317,452,843,493,519,338,361,302
"spr0113",1834,1670,905,1094,8122,3319,4996,3346,3465,2322,4106,2645,3478,2059,2315,2010
"spr0114",1639,1679,990,1101,7443,2831,4135,2713,2705,1670,3456,2396,2686,1618,2047,1708
"spr0115",797,851,480,583,3951,1517,1774,1232,1153,584,1363,907,1121,543,744,666
"spr0116",106,119,72,79,674,236,353,250,203,112,339,134,222,124,169,137
"spr0117",1030,1102,553,711,4809,1701,2467,1950,1902,1085,2273,1552,1691,1045,1273,1140
"spr0118",405,428,244,275,1833,700,991,650,751,345,816,536,569,343,464,408
"spr0119",770,767,425,444,3916,1440,1765,927,1035,727,1625,978,1074,744,953,701
"spr0120",114,119,58,73,630,225,297,145,266,91,335,155,214,118,208,116
"spr0121",8951,7689,5440,6622,65686,33798,66140,47876,10360,5132,10517,6590,11918,4855,7130,4874
"spr0122",18844,21590,13471,15256,51270,26363,37145,22559,20501,10049,20870,13539,16934,10542,11343,10808
"spr0123",7083,7366,4554,4859,15978,7772,9007,5888,6226,2802,6347,3952,4384,2929,3246,3045
"spr0124",29485,32286,21976,26366,60210,28470,43454,31125,32703,13444,31950,19697,22137,14136,16199,14733
"spr0125",72580,73675,42729,49103,133492,74269,88937,65900,96343,79842,95012,99796,106869,84692,67447,79590
"spr0126",3822,4139,1350,1333,9775,6513,2612,2361,3303,2613,2422,3187,3736,3278,2410,2769
"spr0127",51409,64513,27251,32385,102379,30670,52333,40396,151861,58777,142890,72985,152483,51789,70918,49143
"spr0128",80616,84598,47741,50081,150498,47011,64571,32183,121226,48073,144840,65950,134262,39311,67211,46906
"spr0129",2989,3151,1417,1430,4862,2944,3506,2755,6443,4529,6205,5107,6056,4680,3691,4297
"spr0130",1774,1827,1002,1089,3305,1930,2381,1524,3420,2660,3901,3270,4028,2711,2317,2736
"spr0131",7814,7707,5173,5622,12851,6969,10723,7011,16919,11837,18635,15372,19720,12093,11342,12000
"spr0132",32,36,36,43,136,57,88,78,73,30,81,32,71,26,42,24
"spr0133",46,53,45,53,146,59,124,74,74,38,91,48,75,46,61,30
"spr0134",172,197,108,145,770,291,295,302,312,116,363,177,264,155,201,153
"spr0135",1141,1233,679,731,3996,1445,1854,1417,3328,1138,3815,1594,2733,1293,2032,1349
"spr0136",747,865,469,489,2874,1043,1256,781,2163,810,2758,1155,1915,825,1481,896
"spr0137",1387,1535,740,793,4603,1628,2270,1631,4100,1452,5249,2166,3749,1526,2863,1732
"spr0138",20,30,9,12,91,17,43,36,68,20,108,42,66,25,66,36
"spr0139",33,27,18,22,116,32,77,59,109,35,122,46,72,38,87,43
"spr0140",1717,1748,1022,1325,7498,3273,4184,3488,5089,2517,4846,2923,4882,2513,3278,2319
"spr0141",1207,1256,783,859,6388,4639,3607,2656,10106,1560,10614,2026,7710,1520,5934,1704
"spr0142",1401,1508,965,1193,7188,5098,4911,4020,15069,2078,15565,2804,10961,2363,8330,2181
"spr0143",925,1030,761,939,5243,3020,3453,2415,9774,1499,11456,2026,7547,1452,5733,1556
"spr0144",2628,2955,2002,2571,13560,7638,8270,5875,27688,3882,30071,5458,19917,4164,15926,4223
"spr0145",85,80,55,79,321,151,251,181,1661,223,1968,356,1177,246,1039,287
"spr0146",9497,10388,5681,5764,26637,19896,18907,13616,37413,18539,36959,22120,37839,18838,23666,18362
"spr0147",4785,5040,2268,2319,13652,7782,8451,5214,22581,11220,24057,13769,19500,12014,14054,12032
"spr0148",4401,4478,2742,3378,10933,5209,6916,5078,19028,8591,19539,11955,16074,9757,11651,9810
"spr0149",5930,5976,4041,5190,14978,6059,9656,6498,19097,9990,20465,13742,17971,10949,12109,11657
"spr0150",3963,3913,2829,3659,9864,3833,6485,4537,13348,7110,13874,9679,11678,7631,7681,7589
"spr0151",1566,723,346,490,3490,837,1342,931,1172,749,1181,923,1053,682,673,672
"spr0152",1757,1786,850,983,2998,1679,3190,2738,12949,12169,12479,12482,13661,11856,8286,10503
"spr0153",1941,1982,1239,1419,3237,1652,2658,1862,11969,10644,12500,12252,11908,10228,7448,10429
"spr0154",4646,4577,2762,3073,7900,3891,4908,3705,24470,22970,23808,26099,23797,23970,15947,22132
"spr0155",15902,17344,8832,10020,33069,19314,35794,25051,115357,79003,125488,98868,100233,86846,64510,85198
"spr0156",3986,3656,2295,2425,13415,6591,10261,6075,23199,14351,26796,19562,20798,14546,13487,15691
"spr0157",1522,717,509,694,6307,1518,2388,1661,1775,887,1756,1104,1743,858,914,855
"spr0158",127,154,100,85,494,286,338,239,236,122,231,154,228,131,119,134
"spr0159",145,177,68,81,612,398,322,234,233,108,243,151,204,112,116,130
"spr0160",9404,8943,5862,6589,16174,8788,11802,8231,19788,15272,20215,18477,20921,14540,11873,14276
"spr0161",607,1043,801,607,5088,3792,2806,1947,4975,1110,5209,2074,4247,835,2344,1137
"spr0162",1435,2453,1759,1487,13647,9928,7253,4624,11965,2928,12848,5137,11060,2244,6177,2920
"spr0163",592,895,725,544,5687,3853,3165,1956,5063,1296,5429,2216,4534,998,2333,1227
"spr0164",1097,1731,1196,934,10422,6923,6644,4304,8988,2116,9519,3653,7123,1714,4006,2152
"spr0165",2224,2406,1478,1717,6169,3571,3907,2868,4691,2239,5150,3213,3921,2135,2490,2418
"spr0166",3607,3568,2409,2869,9173,5094,6329,4274,7179,3342,7394,4662,6207,3193,3648,3535
"spr0167",1954,2188,1335,1552,5424,2842,3920,2815,5117,2478,5364,3314,4308,2450,2551,2356
"spr0168",2822,2915,1587,1909,10048,5067,5450,4145,11901,6259,12276,9133,9755,7386,7287,7622
"spr0169",13930,15316,8689,10679,21286,11208,11697,8686,50537,37437,47897,48441,41487,44681,29333,43668
"spr0170",16552,17679,9059,9933,25895,14148,11465,8759,54963,37716,50703,49134,38991,46040,29773,41921
"spr0171",21426,20655,14810,16362,38235,22551,31539,22295,60102,41838,61140,54499,66996,41636,38381,41408
"spr0172",9885,9501,6871,7648,17388,9891,14085,10532,30966,21161,31982,28107,34951,21354,20587,21673
"spr0173",22204,22872,9339,10277,44063,28658,23844,18661,50550,47423,47722,52484,45192,46538,30844,41605
"spr0174",8872,8447,4420,4465,14806,8557,11953,7646,24520,24796,25493,28690,20821,23363,14796,21586
"spr0175",9380,9653,4238,4271,17671,11762,13434,10834,36716,29450,38772,36430,36402,28404,23670,26895
"spr0176",22049,22417,11295,11336,38073,25735,28770,16507,75839,60647,83060,76489,75063,58397,48754,60627
"spr0177",14826,14100,7800,8323,28532,19063,17226,10424,46170,43292,52324,54660,50032,44023,31043,42036
"spr0178",15411,16784,10369,11559,22607,14685,17025,12966,76638,52418,76673,68986,62139,56419,46820,54730
"spr0179",11428,12682,6131,6929,28697,18842,14332,9485,50758,28314,44896,37006,34308,32015,27530,29658
"spr0180",4373,4393,2357,2524,13140,7250,9541,6829,16365,9581,16336,13888,13279,10741,10103,10427
"spr0181",2343,2753,1421,1675,5385,2073,2370,2013,5332,2332,4523,3104,4091,2424,2265,2361
"spr0182",32001,37293,21246,25647,73509,27608,48377,31282,90778,41341,97922,56181,80231,39584,41986,40695
"spr0183",11126,13350,9348,10542,54643,22512,35112,24403,68158,28239,67413,40990,64809,30210,34247,30588
"spr0184",1610,1794,1488,1492,7187,2592,4608,2995,8816,4366,9958,6876,10475,4349,5429,4510
"spr0185",2028,2223,1919,1993,7817,2818,5541,3431,11177,5366,12306,8456,11880,5373,6907,5710
"spr0186",2805,3216,2788,3000,10985,3939,7918,5121,15351,7792,17023,12320,17491,7772,10115,8021
"spr0187",91887,88219,55513,69516,206367,84023,127677,70126,77758,36199,72608,53198,42438,36909,31784,40007
"spr0188",181019,170882,126947,159861,430866,159330,306599,186265,150459,76683,157441,111064,95773,78090,73215,87722
"spr0189",65753,66479,45036,57523,169037,64791,115790,67002,68506,36610,64888,49902,39928,37750,29124,36616
"spr0190",49324,45244,35533,43933,134247,48008,81637,38364,34024,17556,35363,26444,22020,18233,17134,20126
"spr0191",172578,164904,119608,154145,290860,106117,289757,155541,142549,79573,145134,112902,96245,82837,67035,85027
"spr0192",100081,95198,70746,90178,229420,83029,152611,96754,70582,38933,72146,57569,47305,41033,35170,45744
"spr0193",33,30,30,32,46,18,22,27,20,11,19,17,22,9,20,24
"spr0194",99047,94220,61659,79786,211854,75906,134395,82402,66534,42108,62983,55801,46934,47399,33707,45606
"spr0195",159382,156633,102617,133378,283645,103444,223944,141684,113928,78208,111077,102836,79723,84508,56406,81027
"spr0196",136247,131546,86833,112020,283589,100880,194539,138838,94885,63270,94455,86820,67422,67195,46567,67384
"spr0197",70745,65134,44361,55827,129664,46305,89751,63775,40544,27449,37998,37106,30681,29614,21075,30368
"spr0198",88983,84692,59767,74481,189678,65926,122157,77188,56656,41043,58038,55270,42597,44525,30526,44218
"spr0199",130950,120609,91692,112296,205183,71050,181320,89443,73429,51842,82295,71808,58903,54511,40976,60296
"spr0200",85134,78431,56458,70512,167435,60366,111931,66738,48600,35596,55059,48660,37774,35384,27533,37801
"spr0201",115551,114703,79089,102277,212352,75139,173387,91329,84018,63689,88237,83324,64025,63906,44082,61628
"spr0202",48315,47445,32327,42617,101266,36613,76483,44532,36619,28258,40059,36470,27901,28115,18803,26859
"spr0203",84137,79404,61012,77086,165790,56741,136912,69633,59300,45463,66372,62721,47185,44165,31009,45447
"spr0204",201375,197283,157398,195568,299010,107124,297553,210185,126310,96239,134446,127884,104029,98478,71079,102422
"spr0205",88518,87980,63688,80663,160932,56584,121531,84543,58665,44865,59099,57172,44564,46502,30344,43959
"spr0206",99903,97693,74715,98602,184745,64271,142814,89830,60378,46403,67153,62930,49889,45664,32014,47172
"spr0207",49831,49475,36091,48722,73668,25674,71768,43607,33876,25998,35435,32506,26742,25753,17306,24621
"spr0208",73778,73769,48708,62488,137736,51263,115505,75273,51412,39290,55836,51153,42243,37982,26722,37217
"spr0209",163462,168267,119107,157809,295554,105520,253419,173778,117793,92701,123396,118960,92383,91468,60137,86329
"spr0210",19911,17582,6694,9507,40639,13014,27509,18364,17126,9118,16518,12315,11801,9620,9328,9093
"spr0211",50934,49571,26037,29624,119887,48396,71067,42002,35999,24620,41122,34164,36095,25159,22247,26557
"spr0212",28751,27925,17271,19022,77471,32746,32872,17934,15518,10844,17543,14366,16807,10920,11626,13911
"spr0213",104685,103117,62018,71745,271152,110567,138841,84792,68152,48313,74267,60971,71415,52743,47391,52952
"spr0214",51654,56249,30927,38364,117179,45438,75236,51900,45507,31586,46505,40259,44576,34137,27560,33158
"spr0215",190814,197052,112350,141418,469869,178000,306282,199118,169822,113747,175204,145361,164570,124044,104042,119903
"spr0216",56609,61363,33479,47377,131648,51231,94908,59869,55862,38738,57611,49968,54022,40378,32899,38845
"spr0217",2142,1961,1075,1088,4681,2678,4260,3556,410,748,532,871,762,626,328,655
"spr0218",16781,15685,10381,10825,35538,20967,37713,25550,3315,5309,3927,6260,5436,4673,2550,4386
"spr0219",8106,8441,6075,6501,15550,9466,10791,7174,3695,3904,4471,4997,3997,3258,2354,3135
"spr0220",77,59,47,66,155,69,130,102,29,40,26,50,35,30,16,32
"spr0221",37,26,22,33,62,45,73,58,15,13,11,29,29,25,9,15
"spr0222",61,61,45,48,134,71,166,108,20,35,30,60,39,32,22,24
"spr0223",13,10,14,18,42,22,60,57,12,8,9,12,11,7,6,13
"spr0224",27,30,14,13,94,53,60,53,13,18,12,18,20,17,6,10
"spr0225",121,135,87,97,370,224,309,276,93,134,84,147,132,126,66,109
"spr0226",267,316,146,193,762,447,779,512,213,375,255,375,346,330,183,263
"spr0227",818,753,307,324,2643,1521,1121,824,116,136,135,192,182,128,94,147
"spr0228",925,804,381,392,2769,1369,1584,1016,145,166,193,222,243,143,113,159
"spr0229",42,36,21,36,185,105,370,132,359,231,497,245,804,254,372,231
"spr0230",53,59,29,15,134,92,198,142,201,137,275,152,485,160,219,146
"spr0231",383,375,250,268,1401,765,1620,1055,914,800,1408,874,2447,798,1032,734
"spr0232",1068,968,684,734,4082,2038,3920,3012,936,868,1288,1111,2159,852,1039,850
"spr0233",273,262,180,205,1133,530,1027,481,120,145,193,181,265,113,145,109
"spr0234",666,588,394,456,2537,1184,2199,1558,289,324,344,430,443,281,255,280
"spr0235",42861,42073,26127,30907,62272,29028,53228,35601,16564,41173,19681,47873,26260,32124,13315,31421
"spr0236",1357,1196,657,640,6445,4031,3779,2711,226,628,233,763,430,459,203,503
"spr0237",1070,1082,668,633,5603,3497,3679,2488,206,688,239,798,369,600,174,539
"spr0238",5524,5670,3119,3133,8855,5118,6631,4568,1533,4164,1677,4938,2360,3334,1225,3416
"spr0239",3052,3174,1841,1998,5474,2995,4424,3133,902,3054,1154,3539,1711,2465,924,2509
"spr0240",18632,19700,11365,12566,32996,19998,20755,12568,5483,12034,6159,15949,6731,10299,3980,10655
"spr0241",15898,17278,10047,11714,28266,15929,18753,13460,6079,13653,6822,17897,7701,11394,4480,11696
"spr0242",30256,32387,20814,23758,45576,24363,34328,20534,12147,28373,14188,37324,16271,23447,9103,23412
"spr0243",59733,62745,41499,48577,79604,42199,60925,40112,25067,61012,28880,77668,34440,50155,19476,50210
"spr0244",2654,2833,1962,2275,6675,5040,4596,3202,865,2065,990,2726,1183,1703,740,1748
"spr0245",32287,33620,22718,27748,179851,81211,135074,86202,9255,6386,9401,8200,11995,5693,7024,5612
"spr0246",14765,13801,7640,8965,27923,16498,21892,16370,2018,2122,2011,2582,2730,1654,1334,1507
"spr0247",4494,3791,2611,3652,9639,4731,21925,25403,7153,3284,8135,4071,14672,3702,8644,3500
"spr0248",65829,70543,40085,46324,153957,70128,89590,65836,33500,25718,32709,34033,35436,23553,21310,24109
"spr0249",63231,69780,37565,46187,143789,62614,108067,79925,38407,33016,40321,41316,43662,29695,25173,28838
"spr0250",228971,235484,156892,191724,479299,212034,411062,263506,102363,101388,112367,127409,126490,85629,69139,86613
"spr0251",31444,31825,25178,28298,51053,24600,43388,31085,9204,11368,9980,15349,11380,9421,6363,8912
"spr0252",3455,3597,2333,2594,6668,4330,3914,2888,665,949,692,1112,847,810,486,630
"spr0253",4260,4195,3117,3618,8354,4796,6371,3541,772,1093,1001,1258,1237,979,678,840
"spr0254",21443,21860,16826,19253,36111,20793,28338,20981,3379,4335,3580,5466,4466,3889,2474,3579
"spr0255",4196,4014,3164,3664,8355,4927,5557,4045,513,656,620,927,774,531,375,526
"spr0256",2308,2388,1235,1369,3886,2559,2721,2155,591,837,714,870,992,700,537,628
"spr0257",85,66,39,43,328,174,123,133,20,28,27,37,31,21,16,18
"spr0258",31379,32959,23102,25275,83333,58999,83386,51246,9630,10281,11067,11904,14750,10162,7727,9419
"spr0259",27418,23816,16523,18567,71740,31085,59027,40501,4449,8645,5642,8660,7108,6281,3937,5759
"spr0260",12005,10803,7052,8086,29026,12840,28134,26076,3494,5948,3972,5934,5085,4293,2473,3752
"spr0261",11064,9252,5467,5778,32614,13903,27679,21029,3794,7356,5037,6777,5926,4474,2750,3794
"spr0262",3243,3328,2637,3193,12699,5762,13818,12057,8372,10722,9183,11274,8243,6310,4141,5410
"spr0263",4866,5157,2769,2972,18283,11538,10435,7310,553,1224,630,1189,899,989,487,856
"spr0264",11049,11724,6604,3803,23610,14556,62149,44875,525,745,534,806,728,671,453,570
"spr0265",1898,2072,1541,917,4989,3172,12741,10001,88,139,102,215,163,159,66,131
"spr0266",7901,7995,5746,5157,13669,7966,22430,16278,686,1813,801,1847,1030,1472,511,1343
"spr0267",9210,8799,6955,5927,14088,9009,24683,14057,668,2127,768,2024,1020,1727,480,1539
"spr0268",6525,6464,4665,4032,10332,6858,13524,10305,374,1101,371,1284,589,1089,344,929
"spr0269",9241,9313,6846,6241,13532,8668,20306,15677,611,2197,669,2428,920,2044,510,1705
"spr0270",3205,3275,1906,2040,10252,9860,6297,5378,789,1923,989,1653,1474,1502,684,1072
"spr0271",89373,91009,45249,50862,142938,66690,81937,51835,21446,24369,20984,29196,20402,21484,11671,19430
"spr0272",107196,112091,55560,67626,152692,72379,96781,61559,23585,29621,21408,32521,22750,28369,13049,23503
"spr0273",15,17,10,9,257,86,9,7,3,8,7,7,2,7,4,9
"spr0274",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"spr0275",2,2,0,3,1,0,1,2,0,0,0,0,1,0,0,0
"spr0276",43,63,42,51,137,142,1440,1970,262,233,373,233,296,171,178,127
"spr0277",9,6,5,5,9,17,81,96,11,17,36,25,21,11,10,14
"spr0278",10,12,7,10,27,34,752,803,109,118,171,89,195,83,86,79
