"gene_id","rofA_1","rofA_2","rofA_3","ssRA_1","ssRA_2","ssRA_3","WT_1","WT_2","WT_3"
"H7X56_05405",17073,15761,16848,16488,16073,16515,17977,21125,15198
"H7X56_05410",78597,66340,76419,68002,70144,79347,72427,93414,68359
"H7X56_05415",34140,30197,33625,27920,31102,34004,31698,42409,29502
"H7X56_05420",16,20,34,36,44,23,79,44,14
"H7X56_05425",173,200,218,234,317,252,360,183,227
"H7X56_05430",79,94,80,56,35,57,107,71,86
"H7X56_05435",33,33,54,59,60,30,74,43,29
"H7X56_05440",31,54,68,50,70,31,79,91,70
"H7X56_05445",212,258,229,265,288,232,416,175,317
"H7X56_05450",177,167,158,146,165,103,138,271,84
"H7X56_05455",239,123,157,182,169,165,264,115,135
"H7X56_05460",1716,1420,1680,1677,1510,1423,2366,2052,1623
"H7X56_05465",687,613,704,601,717,647,675,569,628
"H7X56_05470",10274,8404,10594,8801,9777,9845,10926,11210,9081
"H7X56_05475",325,227,363,278,220,269,291,430,331
"H7X56_05480",240,177,201,193,263,205,287,231,179
"H7X56_05485",2765,2661,3701,2802,2463,3361,3572,3658,3160
"H7X56_05490",425,500,202,339,591,160,602,678,132
"H7X56_05495",1492,1359,2121,1034,1618,1388,4735,1256,2501
"H7X56_05500",22022,18544,20061,17587,20289,18287,27689,25912,18703
"H7X56_05505",3661,3223,4041,3406,3506,3988,3721,4779,3733
"H7X56_05515",7819,7052,6904,7282,7399,6945,7401,9181,5565
"H7X56_05520",11080,7636,10365,9608,8744,9916,10824,9681,8754
"H7X56_05525",2080,1365,1276,1602,1417,1156,1357,1428,1234
"H7X56_05530",6182,4135,4216,5017,4344,3921,4797,5690,4174
"H7X56_05535",14178,10844,12769,12542,12070,12727,14388,14565,10678
"H7X56_05540",15453,12709,15003,13546,13502,13763,15794,16133,12801
"H7X56_05545",8324,6120,7445,7597,7239,6548,8323,8409,6266
"H7X56_05550",3111,2007,2596,2871,2418,2535,2870,2904,2173
"H7X56_05555",16654,19127,14243,16076,19821,9961,27563,24504,13348
