"gene_id","SK36_Mono_7","SK36_Mono_8","SK36_Mono_9","SK36_CoSK36_16","SK36_CoSK36_17","SK36_CoSK36_18","SK36_Quad_22","SK36_Quad_23","SK36_Quad_24"
"SSA_RS03485",529,750,1402,1706,1442,1208,461,345,347
"SSA_RS03490",387,843,1854,1069,774,943,344,397,331
"SSA_RS03495",1541,6386,12959,5915,3508,4732,1236,1619,1209
"SSA_RS03500",718,846,1266,2113,1687,1451,915,871,594
"SSA_RS03505",332,369,609,1148,857,750,286,253,219
"SSA_RS03510",171,516,1057,510,380,442,130,144,113
"SSA_RS03515",118,303,756,326,231,271,103,93,68
"SSA_RS03520",631,830,1413,1606,1402,1062,346,403,272
"SSA_RS03525",1182,986,789,3041,2397,1944,795,588,546
"SSA_RS03530",2837,4097,6553,6754,4996,5062,1803,2030,1576
"SSA_RS03540",3233,805,1226,5480,7906,4264,1816,1544,1050
"SSA_RS03545",56,120,321,189,258,220,443,409,293
"SSA_RS03550",99,198,527,326,466,371,425,393,307
"SSA_RS03555",70,207,827,293,347,244,300,376,286
"SSA_RS03560",469,507,490,984,777,1635,690,884,607
"SSA_RS03570",6313,6080,6211,14499,13261,13081,4431,6650,4374
"SSA_RS03575",14231,4197,6477,22128,18422,14529,5950,6282,5012
"SSA_RS03580",1296,2103,3657,3570,2709,3006,799,831,493
"SSA_RS03585",1084,900,1189,3445,2548,2339,852,717,638
"SSA_RS03590",18,4,7,45,45,17,7,2,3
"SSA_RS03595",33,85,228,79,59,63,20,19,13
"SSA_RS03600",1059,1755,3377,2959,2329,2062,649,720,531
"SSA_RS03605",8539,10613,14925,31609,24045,27290,7460,8602,6161
"SSA_RS03610",94,141,255,243,178,219,91,116,58
"SSA_RS03615",2,1,1,1,1,1,3,1,1
"SSA_RS03620",31,28,93,14,18,9,3,1,6
"SSA_RS03625",66092,29127,34838,230881,198316,150589,49381,37228,24941
"SSA_RS03630",4846,1506,2029,10783,12727,6540,2341,2083,1656
"SSA_RS03635",145486,47728,29758,357872,170176,188202,31530,43033,32910
"SSA_RS03640",341,819,1151,1125,690,984,260,238,243
"SSA_RS03645",160,111,156,445,512,313,75,86,54
"SSA_RS03650",20,35,43,38,18,37,8,7,1
"SSA_RS03655",31,60,118,86,82,65,18,17,11
"SSA_RS03660",16,21,42,46,32,29,11,9,6
"SSA_RS03670",632,745,1095,1728,1340,1239,352,387,381
