"gene_id","T4delta_ccpA_CDMB_Exp_1","T4delta_ccpA_CDMB_Exp_2","T4delta_ccpA_CDMB_Exp_3","T4delta_ccpA_CDMN_Exp_1","T4delta_ccpA_CDMN_Exp_2","T4delta_ccpA_CDMN_Exp_3","T4WT_CDMN_Exp_4","T4WT_CDMN_Exp_5","T4WT_CDMB_Exp_4","T4WT_CDMB_Exp_5"
"SP_1795",32,39,24,30,45,42,24,16,22,40
"SP_1796",45,35,36,37,52,37,14,26,28,27
"SP_1797",13,14,6,14,20,6,10,8,13,16
"SP_1798",28,7,13,12,16,8,14,8,21,23
"SP_1799",1625,1383,1280,1356,1230,1329,905,841,1025,1034
"SP_1800",274,216,219,158,104,121,110,48,122,99
"SP_1801",2058,2067,1377,3382,1983,1978,2777,2438,2785,2290
"SP_1802",8631,6004,5247,8566,5747,3763,6930,6713,9413,7572
"SP_1803",129,91,110,166,157,72,127,185,247,121
"SP_1804",12736,9146,8491,13525,11914,8633,11189,11705,12851,12177
"SP_1805",1243,1007,911,1608,1203,979,1151,1386,1726,1077
"SP_1806",41,51,56,53,34,22,31,28,35,27
"SP_1807",89,105,77,96,56,68,48,34,57,40
"SP_1808",194,106,128,194,191,204,71,98,80,71
"SP_1809",2471,2641,2227,2070,1695,1652,909,711,1159,1230
"SP_1810",770,818,578,583,436,503,224,174,362,368
"SP_1811",1140,972,915,902,891,917,799,658,1136,1343
"SP_1812",1567,1618,1290,1380,1611,1561,1467,1416,1790,2201
"SP_1813",456,410,443,384,484,482,398,401,438,550
"SP_1814",714,721,588,608,737,731,686,656,679,942
"SP_1815",972,1001,810,879,902,843,1002,838,1005,1159
"SP_1816",445,400,299,339,270,271,406,341,311,437
"SP_1817",990,1135,905,1004,1024,876,1244,1095,985,1184
"SP_1818",0,1,0,1,0,0,0,0,1,0
"SP_1819",173,221,154,163,155,80,317,201,147,202
"SP_1820",149,175,107,178,108,78,161,84,84,72
"SP_1821",1055,1096,836,1244,1067,1278,617,502,682,609
"SP_1822",0,1,0,0,0,0,0,0,1,0
"SP_1823",87,49,53,70,71,64,28,28,49,51
"SP_1824",128,123,112,91,84,78,32,25,93,87
"SP_1825",67,64,65,55,51,41,23,18,46,46
"SP_1826",142,118,100,86,73,93,34,31,87,96
"SP_1827",40,44,27,16,15,3,12,16,48,42
"SP_1828",27,29,19,28,18,14,32,17,34,45
"SP_1829",76,56,34,67,47,47,48,32,60,47
"SP_1830",6,5,2,5,2,6,5,5,17,4
"SP_1831",10,6,9,7,3,2,7,3,16,11
"SP_1832",4,1,14,0,3,1,3,2,5,1
"SP_1833",64,74,44,33,26,35,34,23,62,65
"SP_1834",14,22,9,7,9,3,9,4,25,20
"SP_1835",40,15,19,14,11,8,5,17,18,19
"SP_1836",0,0,0,1,1,0,0,0,2,0
"SP_1837",13032,12785,10914,7390,8093,7540,5513,5114,11001,13777
"SP_1838",4584,4413,3733,2362,2535,2261,2064,1884,3924,4870
"SP_1839",8723,8296,7346,4047,4067,3838,3682,3236,7918,9830
"SP_1840",6807,6869,5647,3563,3540,3405,3622,3105,5554,7612
"SP_1841",1035,989,795,433,442,360,480,386,649,829
"SP_1842",30,29,17,13,21,6,20,17,36,28
"SP_1843",0,0,0,0,0,0,0,0,0,0
"SP_1844",28,14,17,8,11,11,9,3,26,32
"SP_1845",3311,3826,2765,4134,3615,3327,3340,2491,2521,3006
"SP_1847",32,21,26,17,19,26,14,17,17,13
"SP_1848",81,109,68,109,125,92,52,47,58,56
"SP_1849",119,124,96,127,108,114,65,47,91,82
"SP_1850",205,215,171,210,190,237,128,131,171,147
"SP_1851",147,108,111,1979,1756,1251,872,866,76,91
"SP_1852",224,206,155,9740,10544,10722,4560,4470,151,258
"SP_1853",132,172,144,4858,4559,4441,1821,1590,152,220
"SP_1854",378,409,299,1102,1200,1034,826,720,300,447
"SP_1855",344,393,273,406,385,409,484,403,403,499
"SP_1856",24,22,10,28,11,17,20,17,23,28
"SP_1857",19,14,8,15,22,14,12,11,13,22
"SP_1858",175,178,130,199,150,134,130,77,134,163
"SP_1859",103,80,92,94,76,98,41,30,99,111
"SP_1860",12194,10431,9191,9495,9914,8971,9727,8301,7942,9992
"SP_1861",3764,3030,2754,2882,2716,2351,3001,2339,2180,2673
"SP_1862",3614,3091,2507,2549,2398,1871,2950,2226,1915,2308
"SP_1863",1475,1257,908,1154,888,788,1348,999,1054,1195
"SP_1864",2165,1902,1876,2276,1927,1312,1852,1587,2051,2153
"SP_1865",7684,7300,6092,7437,7748,7385,6392,6035,6250,8649
"SP_1866",37,31,29,25,36,31,39,38,58,44
"SP_1867",123,92,79,88,117,93,100,112,96,129
"SP_1868",8,8,1,4,2,0,6,0,7,5
"SP_1869",2012,1858,1447,1432,1386,1468,973,802,1302,1656
"SP_1870",2220,2073,1598,1499,1411,1263,994,817,1462,1787
"SP_1871",1785,1917,1392,1457,1287,1212,904,777,1292,1645
"SP_1872",3306,3373,2340,2693,2450,2234,1483,1231,2323,2869
"SP_1873",505,463,455,406,364,166,379,315,511,396
"SP_1874",3856,4439,3545,3345,3174,3278,2648,2166,3374,4311
"SP_1875",3366,3966,2812,3223,2768,2933,2341,2169,3040,3700
"SP_1876",5228,5644,4250,4482,4189,4218,3794,3288,5062,5805
"SP_1877",4420,4311,3533,3650,3570,3474,3404,2913,4024,4769
"SP_1878",1676,1641,1528,1625,1750,1606,1533,1400,1655,1992
"SP_1879",1728,1790,1545,1774,1704,1550,1385,1279,1523,2260
"SP_1880",4682,4474,3820,3694,3646,3263,3449,2985,3881,5178
"SP_1881",5630,5520,4657,5022,5133,5358,4217,3855,4565,5870
"SP_1882",2871,2807,2456,2745,2699,2608,1515,1617,2409,2579
"SP_1883",239,284,229,307,331,328,267,247,232,230
"SP_1884",290,269,239,350,356,501,243,240,193,256
"SP_1885",357,434,350,582,510,552,327,319,232,299
"SP_1887",39115,35994,28995,33858,32420,28085,26292,22258,36059,41050
"SP_1888",47062,42003,36213,41055,45157,42070,35509,33839,42609,52213
"SP_1889",26208,23274,19783,21851,20939,20110,18129,15574,21465,27739
"SP_1890",41364,35278,30580,35207,33350,29173,27644,25028,35360,41957
"SP_1891",76788,65039,59828,66286,62562,61270,45206,42173,66107,72746
"SP_1892",1,3,2,0,0,1,1,1,3,2
"SP_1893",4356,3916,3293,2638,2594,2475,1878,1805,3099,3994
"SP_1894",2171,1155,1441,481,472,499,345,364,1771,1839
"SP_1895",1645,960,1149,257,294,241,211,153,1025,1166
"SP_1896",1541,797,1236,301,342,289,209,240,905,1055
"SP_1897",3770,2436,2774,889,989,843,454,522,2007,2339
"SP_1898",8301,7409,6348,2271,2590,2527,1743,2091,4541,5103
"SP_1899",413,405,339,359,285,303,224,206,434,495
"SP_1900",384,346,301,382,313,270,212,187,341,340
"SP_1901",1475,1369,1105,1540,1390,1444,1447,1131,1358,1467
"SP_1902",138,139,118,85,79,70,51,60,93,94
"SP_1903",6296,5440,4665,4907,4422,3736,4832,4544,5819,6515
"SP_1904",6,18,14,10,6,5,6,4,12,10
"SP_1906",9564,12325,9761,10726,11358,13214,5936,5071,5046,7443
"SP_1907",467,608,394,438,342,231,235,185,358,359
"SP_1908",65,86,64,43,38,24,38,41,66,94
"SP_1909",2821,2837,2368,2516,2443,2526,1474,1152,1430,1988
"SP_1910",1292,1397,1093,1346,1208,1413,691,563,775,917
"SP_1911",842,803,745,776,751,538,398,384,508,607
"SP_1912",219,240,171,181,132,96,115,107,187,193
"SP_1914",508,474,373,472,445,471,434,419,429,435
"SP_1915",300,279,245,288,326,236,288,322,262,269
"SP_1916",103,105,77,113,120,76,86,62,74,89
"SP_1917",24,13,13,33,26,14,15,13,20,18
"SP_1918",80,95,77,49,43,30,23,27,38,64
"SP_1919",63,88,49,23,35,42,33,26,39,38
"SP_1920",36,34,22,10,7,7,12,7,19,14
"SP_1921",0,0,0,0,0,0,0,0,0,0
"SP_1922",13739,16232,11802,9896,9663,8741,7302,6134,11205,13979
"SP_1923",31349,35300,27601,24207,25960,23311,19106,16511,26051,34940
"SP_1924",3692,4325,3271,2736,2454,1683,1853,1246,3346,3917
"SP_1925",5584,6468,5489,4579,4908,4622,3240,2573,4751,6097
"SP_1926",2063,2895,2006,1605,1504,1124,921,648,2172,2738
"SP_1927",20,18,17,6,4,8,10,16,12,17
"SP_1928",81,77,70,65,46,50,55,33,74,85
"SP_1929",2,0,1,2,1,1,0,4,0,0
"SP_1930",32,18,26,21,16,26,12,18,19,24
"SP_1931",47,47,32,39,24,29,29,24,33,48
"SP_1932",0,0,0,0,0,0,0,0,0,0
"SP_1933",90,86,61,58,56,38,52,39,74,66
"SP_1934",71,73,45,32,25,23,28,27,49,42
"SP_1935",49,42,44,20,23,24,18,16,28,45
"SP_1936",24,19,11,8,10,4,8,1,9,7
"SP_1937",11514,12407,8977,10757,9563,9881,8193,6657,9672,12371
"SP_1938",775,470,399,345,222,98,323,291,870,613
"SP_1939",13704,12663,10257,9622,9751,8723,8617,7927,12072,14630
"SP_1940",13373,13107,10893,11142,10687,11446,9073,8544,10687,12849
"SP_1941",4222,4531,3442,3833,3601,4372,3732,3180,3693,4733
"SP_1942",6567,6554,5011,5573,4354,5611,3190,2506,4108,4638
"SP_1943",2775,2807,2480,2214,2117,2587,1514,1209,1580,2135
"SP_1944",940,878,703,690,626,433,600,559,655,801
"SP_1945",338,306,239,173,195,106,380,314,485,451
"SP_1946",1084,1105,798,822,720,640,1207,893,1245,1105
"SP_1947",121,120,55,137,60,73,253,223,328,163
"SP_1948",592,390,345,761,545,441,2706,2020,1879,1111
"SP_1949",65,64,54,199,176,171,501,589,271,199
"SP_1950",2168,1747,1732,3548,3294,3737,6915,6159,6093,4813
"SP_1951",267,266,192,642,446,496,1124,895,1024,652
"SP_1952",207,192,201,546,429,559,1079,938,775,533
"SP_1953",819,732,637,1790,1430,1302,3810,2735,2484,1712
"SP_1954",589,542,412,1419,977,1014,2762,1879,1739,1117
"SP_1955",67,49,39,127,86,44,215,157,199,126
"SP_1956",889,768,698,2246,2415,1910,5099,4278,1823,1827
"SP_1957",851,843,661,2294,2394,1879,5603,5201,1959,2036
"SP_1958",203,178,131,321,202,198,613,474,477,356
"SP_1959",2472,2494,2173,1852,1761,2188,1345,1224,1924,2524
"SP_1960",97443,94238,76767,71271,74722,68235,70076,67048,105629,138486
"SP_1961",72181,66280,54240,52591,51835,45925,63038,59153,91802,113448
"SP_1962",1,2,1,0,1,0,1,0,2,2
"SP_1963",8904,8806,7133,6992,6604,6810,5239,4793,6616,7763
"SP_1964",4899,5074,3967,3674,3324,3457,3231,2621,3474,4539
"SP_1965",81,46,57,51,38,11,52,40,70,53
"SP_1966",10740,11224,8526,8763,8040,8704,7953,6992,8392,10833
"SP_1967",4977,4944,4147,4336,4096,4316,3356,3145,3319,4199
"SP_1968",620,665,509,516,469,323,448,415,513,502
"SP_1969",1039,1084,994,1026,1117,926,1056,1013,818,1009
"SP_1970",11518,12315,8774,10249,9276,9052,8212,6660,8406,10728
"SP_1971",7,2,1,1,1,2,4,4,4,1
"SP_1972",8541,7753,7345,8039,7686,7031,6866,7357,5063,7341
"SP_1973",1444,1450,1164,1270,1063,761,999,938,1432,1419
"SP_1974",34,31,24,38,46,36,32,15,23,53
"SP_1975",2972,3447,2531,3433,2976,2959,2330,2354,1626,1979
"SP_1976",11332,10502,8411,9172,9746,8915,7872,8137,8954,10657
"SP_1977",3,4,3,6,1,3,5,2,9,4
"SP_1978",8538,8310,6921,8147,8176,7355,6649,5746,6486,8422
"SP_1979",7226,7892,5741,7715,7167,6902,5921,5666,6437,7696
"SP_1980",2611,2783,2217,2584,2654,2514,2136,2070,2522,3303
"SP_1981",4460,4642,3708,4252,4278,4656,3801,3506,4338,5542
"SP_1982",2024,1776,1823,2090,2117,2423,1877,1720,2012,2715
"SP_1983",1108,1186,983,1202,1099,1070,1023,933,1172,1483
"SP_1984",1711,1583,1295,1526,1487,1407,1139,972,1384,1802
"SP_1985",1270,1192,1056,1216,1248,1093,1007,1080,1367,1682
"SP_1986",592,604,466,583,540,328,427,421,417,404
"SP_1987",465,721,439,667,480,731,333,344,345,378
"SP_1988",4912,5152,4090,4414,4275,4378,3187,2886,3129,4351
"SP_1989",1445,1192,1074,973,816,865,686,639,1110,1078
"SP_1990",722,752,636,727,678,657,545,481,538,657
"SP_1991",1218,1167,1059,1260,1256,1552,822,856,742,1081
"SP_1992",780,857,538,322,269,344,235,253,784,913
"SP_1993",1600,1376,1147,1018,717,394,805,562,1659,1544
"SP_1994",10255,10353,8169,8575,8507,8364,5428,4708,6430,8600
"SP_1995",132,95,99,91,78,93,81,73,111,106
"SP_1996",1950,1768,1534,1225,1288,936,972,1130,2885,3615
"SP_1997",6606,6276,5175,5507,5840,5664,4936,4435,5317,7165
"SP_1998",1492,1856,1209,1613,1426,1354,1374,1110,1246,1672
"SP_1999",10787,8150,7808,6946,7192,6478,4824,5610,12205,14221
"SP_2000",4139,2699,2961,1180,1163,1193,799,889,2346,2821
"SP_2001",6339,4285,4399,1734,1749,1690,1209,1379,3504,4130
"SP_2002",3464,2768,2561,1063,1091,809,852,877,1853,2140
"SP_2003",4851,5025,3888,1867,2200,2145,1880,1611,2700,3583
"SP_2004",19,20,14,9,7,14,6,9,9,11
"SP_2005",473,460,334,149,173,151,186,143,297,238
"SP_2006",102,133,66,46,24,26,37,18,59,41
"SP_2007",6552,5686,4856,3709,3112,2073,1978,1702,3661,4166
"SP_2008",254,200,175,186,173,82,87,78,256,162
"SP_2009",42,34,30,21,24,9,12,11,31,14
"SP_2010",6940,6468,5906,5035,4830,5306,3351,2837,3498,4468
"SP_2011",824,834,639,787,632,595,483,384,483,590
"SP_2012",129895,126950,99615,119580,113106,100965,75709,65365,109278,140497
"SP_2013",2062,1955,1859,1182,1028,1166,888,862,1676,1936
"SP_2014",1753,1973,1238,1156,725,653,811,639,1686,1450
"SP_2015",3113,3590,2503,2652,1831,1570,1491,1377,2752,2731
"SP_2016",3381,3708,3409,3005,2480,3461,1418,1534,2414,3001
"SP_2017",2646,3557,2719,2756,1939,3371,1078,889,1740,2272
"SP_2020",1039,1002,834,815,728,673,665,511,685,703
"SP_2021",1439,1559,1210,1566,1389,1337,788,685,1096,1404
"SP_2022",1906,1816,1539,2260,1633,1955,851,654,1084,1330
"SP_2023",148,132,123,179,206,105,91,88,134,104
"SP_2024",562,532,436,683,425,472,225,155,336,370
"SP_2025",20,22,31,21,7,10,12,4,26,21
"SP_2026",20490,17723,15706,20088,18875,17968,14060,13277,42056,45395
"SP_2027",1171,1233,915,1371,1014,801,888,673,964,1009
"SP_2028",2494,2240,1967,2370,2372,1749,1595,1443,1691,2026
"SP_2029",509,592,308,466,237,189,314,185,473,346
"SP_2030",17841,19604,15135,18331,18203,18008,10509,8414,8513,12117
"SP_2031",42,34,38,40,29,26,30,27,30,44
"SP_2032",66,58,51,38,25,31,22,20,31,34
"SP_2033",25,17,21,18,9,15,16,11,8,13
"SP_2034",16,4,10,13,8,16,4,8,16,10
"SP_2035",16,8,10,10,3,8,4,3,5,15
"SP_2036",7,7,3,5,2,6,3,0,3,2
"SP_2037",2,4,1,3,0,0,1,0,4,2
"SP_2038",30,38,20,27,15,12,4,6,19,20
"SP_2039",284,323,207,205,189,219,131,65,152,115
"SP_2040",6360,7115,4878,6418,5134,5804,2578,1996,3370,3615
"SP_2041",3489,3298,2890,3633,3430,3458,1739,1661,2186,2654
"SP_2042",755,647,474,535,419,382,509,438,1101,747
"SP_2043",0,0,0,0,0,0,0,0,0,0
"SP_2044",9765,9424,7571,8919,8533,8265,4963,4483,6574,8009
"SP_2045",1649,1784,1441,1193,1373,1240,659,507,772,903
"SP_2047",74,59,51,17,19,26,27,18,52,33
"SP_2048",17,9,13,4,5,7,1,5,12,14
"SP_2049",3,2,0,0,3,0,3,0,1,1
"SP_2050",20,33,20,18,12,12,8,12,15,12
"SP_2051",4,8,6,1,1,5,4,1,8,6
"SP_2052",89,88,66,51,30,21,33,39,50,51
"SP_2053",69,72,89,73,57,65,55,39,32,57
"SP_2054",502,807,283,580,310,418,264,189,199,193
"SP_2055",5176,4182,4257,5028,5464,5122,2830,3656,6958,7641
"SP_2056",1517,1800,1249,2138,1946,2234,2127,1967,888,1078
"SP_2057",8126,8422,5958,6755,5614,5991,5500,4237,5664,7035
"SP_2058",6777,6936,5508,3271,3067,3369,2577,2283,4655,6504
"SP_2059",1486,1444,1034,1258,1165,897,889,696,1282,1348
"SP_2060",1962,1869,1761,1085,1012,1587,802,673,643,1003
"SP_2061",552,441,440,204,213,221,142,128,135,172
"SP_2062",601,699,443,259,205,184,152,121,182,254
"SP_2063",55947,63913,46248,38586,29317,34712,12887,10733,10150,14891
"SP_2064",1907,1489,1592,915,871,1126,749,861,1658,1969
"SP_2065",4670,3529,3491,2094,2248,2095,1832,2017,3184,4287
"SP_2066",15896,14251,12823,8625,8379,8912,6345,6032,11790,13964
"SP_2067",7729,7049,6212,4008,3954,4374,3571,3636,5955,7044
"SP_2068",2360,2220,2156,1968,1769,1417,1281,1019,1579,1590
"SP_2069",7220,7824,6046,5594,4789,4752,3635,2691,4368,5415
"SP_2070",11850,12285,9270,10582,10309,7848,7577,6119,7800,9467
"SP_2071",1,0,0,0,0,0,0,1,0,0
"SP_2072",344,307,273,238,221,229,261,212,890,917
"SP_2073",12023,11756,9669,8322,8253,8091,9565,8425,9674,12680
"SP_2075",9122,8814,7567,7506,7681,8398,7293,6444,6270,8354
"SP_2077",407,434,256,294,188,186,150,140,295,226
"SP_2078",11677,12197,9092,11528,10821,10555,6247,5035,7323,9935
"SP_2079",10,5,1,4,4,6,6,5,2,5
"SP_2081",4130,4047,3126,3692,3528,3114,2857,2392,3536,4193
"SP_2082",6887,6548,5039,6194,5929,5298,6320,5737,6454,7898
"SP_2083",12198,12417,9523,11239,10562,11237,10550,9212,12107,14601
"SP_2084",947,929,803,1394,1011,1528,580,569,645,798
"SP_2085",432,377,328,568,444,657,252,238,255,361
"SP_2086",391,293,310,474,357,479,157,205,265,289
"SP_2087",464,393,381,680,438,788,197,197,345,382
"SP_2088",348,344,274,533,446,637,188,141,229,313
"SP_2090",4,13,1,3,4,2,3,1,9,12
"SP_2091",6536,6599,5348,6148,6033,5492,3549,3318,4894,5831
"SP_2092",7005,7010,5666,6752,6207,5735,4141,3387,4994,6350
"SP_2093",6792,5713,4571,4877,3585,3087,3019,2209,5423,4878
"SP_2094",1662,1715,1526,1581,1508,1656,1579,1317,1428,1861
"SP_2095",1013,1100,916,1038,907,708,1174,878,996,1220
"SP_2096",3124,3324,2657,3100,3089,2837,3403,2856,2673,3809
"SP_2097",3782,3864,3088,3420,3519,3338,2782,2370,2432,3322
"SP_2098",3215,2908,2553,2055,1904,2107,1704,1703,2492,3173
"SP_2099",14914,14248,12515,12704,12550,14489,9385,8187,8899,11841
"SP_2100",11880,13068,9429,12365,11791,10652,7789,6294,8074,10393
"SP_2101",10088,8888,8431,9517,9462,8824,7458,7105,8975,10008
"SP_2102",1073,1096,655,961,690,466,817,643,1548,927
"SP_2103",661,796,570,694,520,476,479,356,543,820
"SP_2104",58,54,40,52,34,60,38,40,45,46
"SP_2105",1025,1143,893,1515,1162,1221,635,551,733,663
"SP_2106",9528,7180,7017,4260,3834,3891,4806,6545,10376,12915
"SP_2107",10519,7617,7931,5311,5000,5162,8328,11355,10150,13726
"SP_2108",15911,11507,11847,5416,5767,4211,8368,8691,23356,27764
"SP_2109",6695,3687,4590,2246,2381,1613,3297,3697,10132,11578
"SP_2110",3356,1707,2171,1519,1630,1130,1650,2062,5467,6127
"SP_2111",1833,1396,1291,1229,1100,875,793,765,2085,2154
"SP_2112",2961,2993,2368,2783,2604,2399,1456,1194,2533,2803
"SP_2113",4033,3804,3179,3240,3223,2633,2295,1847,2904,3735
"SP_2114",9037,9279,7623,8445,9307,9084,5834,5269,5723,8363
"SP_2115",182,290,111,263,146,166,134,101,231,190
"SP_2116",379,420,331,592,526,502,230,205,226,305
"SP_2117",331,347,327,495,435,508,141,166,208,224
"SP_2118",27,46,10,54,27,23,20,9,25,15
"SP_2119",6,3,12,20,7,9,2,8,3,11
"SP_2120",109,96,87,123,87,93,47,38,89,72
"SP_2121",6597,6846,5317,5743,5691,5504,4467,3894,4963,7265
"SP_2122",1199,986,871,734,812,801,781,671,1093,1517
"SP_2124",2787,2537,1998,1984,1910,2194,1817,1558,2768,3527
"SP_2125",823,728,683,502,423,594,316,283,633,831
"SP_2126",10976,11084,9064,10093,10458,10346,7919,7598,7859,11813
"SP_2127",213,216,185,232,168,253,136,126,141,142
"SP_2128",106,167,96,114,70,131,56,69,93,90
"SP_2129",246,214,211,286,278,248,175,146,187,220
"SP_2130",18,12,7,12,23,5,6,9,18,13
"SP_2131",189,205,143,153,158,121,96,85,223,222
"SP_2132",1483,1375,1052,1257,1174,1114,1428,1215,1278,1506
"SP_2133",53,58,43,44,49,43,72,45,60,48
"SP_2134",1319,1680,893,978,624,375,468,388,1387,779
"SP_2135",260,287,227,266,187,153,158,95,230,159
"SP_2136",1101,1010,799,946,905,661,958,894,870,936
"SP_2138",4,11,9,11,1,7,9,3,3,5
"SP_2139",225,212,175,159,199,203,277,225,288,344
"SP_2140",2,2,4,2,5,4,5,4,6,7
"SP_2141",422,323,310,459,525,359,366,315,291,411
"SP_2142",171,129,97,194,162,187,140,120,102,144
"SP_2143",945,872,647,1066,1047,772,934,601,531,738
"SP_2144",379,329,270,384,433,258,316,207,197,268
"SP_2145",842,933,718,1019,1112,824,713,602,630,872
"SP_2146",658,614,426,589,589,531,437,362,406,553
"SP_2147",1,1,0,0,0,0,0,0,0,0
"SP_2148",65,62,49,414,436,327,1736,1688,77,94
"SP_2150",78,77,56,607,672,611,2674,2353,98,111
"SP_2151",33,25,16,194,264,263,832,830,34,31
"SP_2152",69,93,85,371,442,447,1212,1024,56,89
"SP_2153",112,129,81,391,436,378,1185,1092,88,110
"SP_2156",6198,6905,5272,7787,7355,6976,4847,4074,4010,4893
"SP_2157",449,396,350,371,377,306,300,308,661,699
"SP_2158",145,155,131,221,189,201,167,120,116,128
"SP_2159",119,105,87,159,118,137,107,105,139,151
"SP_2160",103,71,67,91,64,71,29,64,230,217
"SP_2161",141,59,70,67,93,50,58,66,331,270
"SP_2162",174,59,109,122,109,44,68,102,386,422
"SP_2163",92,22,60,50,69,16,25,36,274,193
"SP_2164",88,20,43,50,39,8,16,34,258,179
"SP_2165",129,41,63,70,98,37,29,92,299,236
"SP_2166",380,189,284,317,360,166,218,354,996,1125
"SP_2167",1386,945,777,806,736,405,944,1109,3126,2995
"SP_2168",156,167,150,219,196,197,70,63,90,89
"SP_2169",5059,5227,4081,3974,4080,3951,2899,2683,4365,5240
"SP_2170",1445,1431,1295,1164,1238,1231,1026,924,1327,1859
"SP_2171",949,969,776,852,823,747,633,604,893,1184
"SP_2172",224,245,202,181,164,117,151,111,283,335
"SP_2173",4201,3879,3313,3407,3125,2869,3957,3864,5094,5764
"SP_2174",101,74,72,73,66,30,97,109,159,118
"SP_2175",4430,3767,3751,3956,4214,4371,5123,5665,4918,6601
"SP_2176",5599,5437,4991,6337,6003,6259,7622,8127,6209,8102
"SP_2177",39,39,25,42,28,12,79,68,68,38
"SP_2179",76,71,70,86,85,62,104,89,58,83
"SP_2182",583,442,418,421,462,359,429,456,797,984
"SP_2183",28,24,12,109,90,83,61,78,35,23
"SP_2184",112,89,88,447,545,638,382,574,188,210
"SP_2185",335,300,274,1483,1683,1729,1409,2000,829,1157
"SP_2186",375,214,263,1287,1471,1180,1463,2047,1002,1446
"SP_2187",1605,1387,1356,1432,1525,1474,2087,2133,1700,1923
"SP_2188",3681,3918,2934,2525,2500,2089,2354,1658,2539,3124
"SP_2189",5830,6548,4836,4987,4848,4116,4527,3634,4484,6140
"SP_2190",8220,10801,6934,9042,7271,7617,5291,4467,6930,7717
"SP_2191",1604,1416,1285,1180,1138,1056,907,920,1273,1475
"SP_2192",4288,3833,3435,3234,2815,2822,2185,1959,3428,3711
"SP_2193",2017,2251,1675,1734,1494,1864,1274,966,1512,1953
"SP_2194",14683,14876,12356,13469,13268,14357,11564,10435,10792,14945
"SP_2195",720,720,614,713,620,732,556,507,528,645
"SP_2196",1543,1745,1511,1698,1582,2085,944,830,942,1229
"SP_2197",2454,2304,2034,2102,1881,1905,1196,1027,1610,1717
"SP_2198",1182,1143,1071,1181,1218,1387,712,716,702,990
"SP_2199",154,153,118,147,105,150,83,60,101,92
"SP_2200",2,2,10,1,7,1,0,4,11,17
"SP_2201",1031,868,685,438,389,392,459,478,891,1138
"SP_2202",128,132,91,103,54,48,66,64,167,150
"SP_2203",16379,14087,12012,12207,12143,13233,9948,9094,17995,23351
"SP_2204",3743,3300,2820,2846,2122,1992,2562,2154,4686,5776
"SP_2205",19594,14921,14652,13917,13538,13794,14459,15305,23331,29989
"SP_2206",9203,7466,5668,5132,3956,3982,2951,3013,11201,12055
"SP_2207",2,8,6,0,1,4,5,2,4,3
"SP_2208",14,10,8,4,1,4,9,15,9,16
"SP_2209",696,702,555,698,572,550,463,407,554,642
"SP_2210",1800,1678,1401,1514,1518,1474,1275,1108,1295,1700
"SP_2214",33196,31415,26475,23566,24160,22446,15629,14299,22708,29786
"SP_2215",42378,42835,32249,27984,26828,23895,17167,13613,24253,28947
"SP_2216",47741,60341,42955,62182,50082,54355,15026,10519,10455,12667
"SP_2217",1089,941,884,678,667,592,449,411,1168,1432
"SP_2218",3587,2939,2310,1814,1572,1152,1608,1422,3900,4371
"SP_2219",3465,2911,2550,1862,2102,1686,1871,1844,3671,4648
"SP_2220",1934,1919,1355,1239,1118,1114,1161,1020,2246,2483
"SP_2221",3045,3032,2092,1952,1734,1555,1826,1463,3071,3501
"SP_2222",1369,1106,1008,833,756,551,762,754,1302,1532
"SP_2223",2126,1967,1537,1386,1143,877,1108,848,2356,2346
"SP_2224",3754,3215,2677,2770,2376,2175,2100,1884,4030,4435
"SP_2225",3927,3157,2747,3023,2572,2205,2829,2466,4604,5154
"SP_2226",157,223,84,107,60,35,51,36,125,113
"SP_2227",1527,1315,1071,722,631,536,478,330,1088,1119
"SP_2228",12420,13569,10537,12552,12628,12866,7023,6277,6873,9061
"SP_2229",2433,2247,1738,1735,1753,1734,1169,1020,1926,2217
"SP_2230",5971,5863,4636,4954,5146,4748,3111,2637,4399,5608
"SP_2231",2394,1987,1485,1061,938,627,1341,949,2625,2576
"SP_2233",82,69,53,32,39,39,65,53,167,161
"SP_2234",91,66,64,47,36,34,55,30,239,185
"SP_2235",941,792,625,573,481,344,551,434,1076,965
"SP_2236",1484,1100,958,809,727,601,914,801,1551,1432
"SP_2237",14,22,12,10,15,6,11,15,16,9
"SP_2238",485,402,307,218,221,187,196,197,416,379
"SP_2239",46659,31635,32095,29368,26097,21288,52211,62216,39896,44534
"SP_2240",14176,9762,9986,9237,6581,6125,13657,14505,13707,14288
