"gene_id","T4delta_ccpA_CDMB_Exp_1","T4delta_ccpA_CDMB_Exp_2","T4delta_ccpA_CDMB_Exp_3","T4delta_ccpA_CDMN_Exp_1","T4delta_ccpA_CDMN_Exp_2","T4delta_ccpA_CDMN_Exp_3","T4WT_CDMN_Exp_4","T4WT_CDMN_Exp_5","T4WT_CDMB_Exp_4","T4WT_CDMB_Exp_5"
"SP_1491",14544,14932,12966,16877,17281,15576,9114,8368,10434,13701
"SP_1492",3,3,4,3,2,3,0,2,5,4
"SP_1493",16,10,8,2,3,6,3,3,7,2
"SP_1494",2,1,1,0,0,0,0,1,1,2
"SP_1495",2,1,3,2,1,0,0,0,0,0
"SP_1496",13,14,8,2,3,4,1,4,5,3
"SP_1498",18811,19377,15277,16629,15911,13988,9107,8046,12977,15197
"SP_1499",4810,4693,3236,4365,3532,2346,4005,2717,3223,3116
"SP_1500",10499,10562,8713,11742,11086,11731,7343,5790,6528,7314
"SP_1501",3084,3715,2426,3869,3141,3352,2493,2028,2096,2183
"SP_1502",3053,3168,2674,3896,3781,3029,2019,1696,1688,1963
"SP_1503",0,0,0,2,1,0,0,0,0,3
"SP_1504",7921,6686,6758,7787,7645,7767,6885,7194,7960,9850
"SP_1505",4010,3615,3189,4005,3779,3306,3189,3339,4442,5042
"SP_1506",2497,2851,2087,2621,2578,2141,1723,1389,1957,2406
"SP_1507",12466,10894,9302,7075,6945,5889,7279,7800,11146,12219
"SP_1508",49233,47497,40558,32672,34961,35275,33299,30436,40412,54018
"SP_1509",29057,26459,22907,18905,19232,17674,18541,16066,24822,28943
"SP_1510",40591,36837,32120,26586,27370,23670,27492,22814,31908,41573
"SP_1511",4269,3269,3103,2469,2327,1441,2695,2236,3536,3595
"SP_1512",5269,4794,3755,3670,3286,2769,3380,2781,5247,4935
"SP_1513",13231,11332,9654,8707,8254,6949,8050,7021,11636,12685
"SP_1514",1681,1428,1152,1026,995,670,919,1084,2070,1523
"SP_1516",3266,2903,2383,1583,1553,1379,1685,1433,2224,2234
"SP_1517",8564,8710,7041,6696,6164,5124,5446,4122,4823,5511
"SP_1518",24174,25630,20799,21108,20159,18474,12769,10396,11447,13246
"SP_1519",1541,1288,1347,1131,1238,949,940,918,1144,1371
"SP_1520",649,617,561,534,479,285,415,350,584,587
"SP_1521",8057,8191,6972,7305,7296,7555,5164,4264,6037,7401
"SP_1522",2229,2374,2017,2181,1991,2172,1239,1124,1649,1946
"SP_1523",7868,7614,6591,7982,8239,8828,5945,5556,7598,9102
"SP_1524",480,483,423,427,478,468,337,355,380,496
"SP_1525",350,391,342,344,331,298,282,234,286,410
"SP_1527",1729,2005,1614,3258,2925,3040,3084,2227,1374,1558
"SP_1528",0,0,0,0,0,0,0,0,1,1
"SP_1529",5591,5265,4852,4312,4449,4570,4230,3928,4010,5262
"SP_1530",2713,2886,2175,2601,2611,2170,1582,1305,1600,1730
"SP_1531",825,752,589,538,404,392,427,333,599,562
"SP_1533",2237,2065,2056,1523,1558,1619,879,675,1329,1559
"SP_1534",8515,8173,6792,6967,6728,6036,4294,3583,5586,6809
"SP_1535",508,476,332,261,225,151,215,154,510,383
"SP_1536",6340,5360,4598,3849,3572,3149,3035,2736,5039,5374
"SP_1537",2902,2602,2595,2411,2605,2798,1929,1847,2706,2884
"SP_1538",14155,13206,10617,8990,8590,8824,7826,6413,11655,13133
"SP_1539",12972,11028,11092,10260,7345,3968,9213,6624,15100,12771
"SP_1540",17591,17075,13590,14021,12692,8128,11929,11273,18126,17387
"SP_1541",10587,10475,7403,6867,5018,3047,6648,4830,11180,8956
"SP_1542",14246,14816,11533,12690,12361,11775,9616,8244,11003,13530
"SP_1544",8366,8643,7372,8284,8633,8692,6445,5732,6785,9154
"SP_1545",1300,1420,1092,1104,891,1008,983,745,1322,1518
"SP_1546",11497,11568,8804,11120,9917,8932,6784,5147,6017,7514
"SP_1547",1281,1281,1080,1042,1069,905,729,631,646,706
"SP_1548",7241,7981,6444,9651,8785,8853,6019,5116,4562,5611
"SP_1549",820,846,652,852,819,753,786,642,570,694
"SP_1550",8267,7250,6379,6608,6657,6021,6396,5996,7185,8688
"SP_1551",29721,28778,24094,23965,24859,22567,25417,22168,28972,36697
"SP_1552",3675,3759,2968,2907,2718,2923,2339,1875,2090,2870
"SP_1553",19370,17261,15586,12470,12967,12345,11667,11395,15646,19352
"SP_1554",8357,7630,6502,5585,5630,6009,5768,5392,6284,8291
"SP_1555",10695,10598,8884,9274,9002,9740,6557,5946,7470,9548
"SP_1556",683,600,580,674,710,311,446,466,693,588
"SP_1557",9071,8865,7328,7618,7259,5872,4989,4405,6122,7183
"SP_1558",3524,3303,2650,2467,2345,1656,1668,1426,2326,2204
"SP_1559",12808,12284,10151,10170,9353,9774,6981,5671,7590,9668
"SP_1560",4541,4319,3466,3533,3225,3367,2282,1886,2654,2903
"SP_1561",2799,2824,2260,2472,2080,2170,1777,1407,1962,2501
"SP_1562",39,28,40,25,23,35,29,34,45,41
"SP_1563",1101,1321,1027,1133,968,1052,636,461,443,650
"SP_1564",5174,5390,4268,4400,4207,4104,3694,3306,4182,5569
"SP_1565",4602,4756,4002,4210,3988,4178,3788,3264,3884,5071
"SP_1566",4256,4192,3562,3668,3414,3549,3255,2963,3182,4302
"SP_1567",4441,4229,3696,4060,3480,2667,3559,3016,3322,4548
"SP_1568",4350,4531,3859,4026,3722,3654,3382,2712,3103,4047
"SP_1569",8422,8764,6466,7147,6186,5974,5948,4861,6439,7929
"SP_1570",34,51,43,47,62,19,50,31,62,59
"SP_1571",2657,2598,2300,2524,2256,2759,2570,2271,2408,3282
"SP_1572",18780,21317,14482,17713,14855,11974,13961,12080,12498,14248
"SP_1573",39584,39734,31143,32614,27318,29904,17705,15927,30274,32378
"SP_1574",19898,19153,15683,15116,14507,11678,8524,7672,13264,16637
"SP_1575",5710,5043,4726,3875,4396,3983,4022,3649,4545,5290
"SP_1576",5903,5333,4427,4304,3929,3565,3544,2926,4785,5064
"SP_1577",7472,6591,5616,5128,5419,4550,3825,3818,4668,5570
