"gene_id","Sal-marker2-LE-rep-2_S6_R1_001 (GE) - Total counts","Sal-marker2-LE-rep-3_S7_R1_001 (GE) - Total counts","Sal-marker2-LE-rep-4_S8_R1_001 (GE) - Total counts","Sal-delropB-LE-rep-1_S13_R1_001 (GE) - Total counts","Sal-delropB-LE-rep-2_S14_R1_001 (GE) - Total counts","Sal-delropB-LE-rep-3_S15_R1_001 (GE) - Total counts","Sal-sip-LE-rep-1_S9_R1_001 (GE) - Total counts","Sal-sip-LE-rep-2_S10_R1_001 (GE) - Total counts","Sal-sip-LE-rep-3_S11_R1_001 (GE) - Total counts"
"RSSL_00350",1266,1125,2490,1654,1528,1706,1849,1632,1457
"RSSL_00349",661,698,1383,1082,875,886,1098,950,792
"RSSL_00348",13648,11756,13222,15570,15079,16649,14297,12900,10416
"RSSL_00347",790,907,1006,1318,1047,1220,1019,910,748
"RSSL_00346",919,910,1048,1245,1016,1222,1029,970,834
"RSSL_00345",48,52,67,89,58,66,66,66,53
"RSSL_00344",55,54,56,62,62,52,66,59,60
"RSSL_00343",568,627,559,652,567,664,609,550,468
"RSSL_00342",300,293,291,324,317,333,289,285,247
"RSSL_00339",64,49,53,61,53,74,67,64,51
"RSSL_00338",165,145,168,178,167,224,208,170,159
"RSSL_00337",5442,5018,5733,6309,5962,6571,5961,5341,4452
"RSSL_00336",3271,2778,3350,3845,3726,4134,3535,3251,2523
"RSSL_00335",1067,966,1074,1188,1096,1336,1152,879,819
"RSSL_00334",12443,11489,15454,16579,14834,16851,16430,14814,11819
"RSSL_01023",83,78,70,99,71,90,80,76,75
"RSSL_01022",9935,8678,9179,11406,10564,12183,9923,8352,7575
"RSSL_01021",2151,1978,1928,2271,2234,2355,2092,1784,1578
"RSSL_01020",244,227,252,279,250,281,280,237,195
"RSSL_01019",2234,2409,2092,2675,2412,2635,2431,1934,1758
"RSSL_02231",62011,73393,72003,73426,59513,71659,76696,54853,43943
"RSSL_01018",6069,5432,6081,7394,6995,7651,6555,5827,4763
"RSSL_01017",11289,10282,10847,12808,12202,13860,11288,9671,8326
"RSSL_01016",6479,5846,6628,7974,7545,8482,6838,6128,5251
"RSSL_01015",8468,7067,7229,9066,9032,9878,7750,7044,5878
"RSSL_01014",10038,8556,8165,10516,10493,11557,9100,7910,6965
"RSSL_01013",494,383,362,506,515,509,412,344,341
"RSSL_01012",15052,13437,12938,16111,15266,17279,14568,12472,10828
"RSSL_01011",2328,2119,2012,2671,2242,2610,2212,1861,1575
"RSSL_01010",5803,5082,5667,7001,7147,7604,6217,5060,4519
"RSSL_01009",336,353,402,529,428,494,442,386,322
"RSSL_01008",1474,1446,1389,1553,1465,1743,1481,1280,1012
"RSSL_01007",1135,1194,1287,1494,1355,1490,1294,1178,950
"RSSL_01006",4844,5043,5658,6340,5778,6360,5579,5235,4149
"RSSL_01005",2494,2402,2518,2883,2660,3030,2506,2311,1819
"RSSL_01004",2595,2453,2433,2835,2610,3070,2506,2178,1978
"RSSL_01003",918,1028,760,1045,1005,1146,832,647,640
"RSSL_01002",1570,1780,1957,2391,1988,2174,2087,1614,1251
"RSSL_01001",3073,2939,3020,3443,3189,3762,3438,3078,2510
"RSSL_01000",2372,2164,2272,2688,2410,2782,2599,2383,1927
"RSSL_00999",2349,2234,2467,2909,2721,3068,2690,2447,2007
"RSSL_00998",2516,2321,2679,3132,2917,3441,2805,2529,2246
"RSSL_00997",2543,2200,2615,3106,2921,3213,2770,2450,2126
"RSSL_00996",2902,2510,2900,3388,3406,3704,3075,2754,2494
"RSSL_00995",1472,1158,1497,1796,1828,1978,1564,1426,1212
"RSSL_00994",1312,1190,1101,1504,1403,1642,1397,1132,1058
"RSSL_00993",68,52,56,68,52,77,62,53,55
"RSSL_00992",1650,1508,1847,2172,1987,2294,1903,1683,1352
"RSSL_00991",1842,1775,1983,2348,2194,2424,2130,1834,1561
"RSSL_00990",1207,966,952,1271,1288,1443,1021,892,860
"RSSL_00989",1296,1270,1499,1369,1315,1417,1612,1444,1251
"RSSL_00988",1710,1670,2029,1911,1884,2104,2056,1814,1650
"RSSL_00987",1788,2217,1597,1940,1694,1920,2031,1647,1472
"RSSL_00986",437,378,403,522,503,538,516,399,352
"RSSL_00985",1972,1917,1596,2047,1999,2202,1929,1547,1493
"RSSL_00984",902,797,985,1107,880,1012,934,799,749
"RSSL_00983",91,94,99,115,100,84,92,68,90
"RSSL_00982",3757,3588,4820,5845,5166,5921,4894,4084,3365
"RSSL_00981",2100,1962,2571,3247,3013,3212,2863,2134,2004
"RSSL_00980",3226,3149,4161,5208,4822,5344,4402,3906,3090
"RSSL_00979",12462,11419,15715,19545,19439,21364,16516,13245,11626
"RSSL_00978",1638,1530,1489,2343,2280,2736,1726,1306,1289
"RSSL_00977",3939,3352,3607,5780,5802,6684,4206,3381,2959
"RSSL_00976",6568,5622,5676,9754,9418,10749,6812,5286,5240
"RSSL_00975",3764,3303,3379,5669,5544,6146,4070,3259,3017
"RSSL_00974",6652,5672,6003,9884,9684,10613,7100,5686,5102
"RSSL_00973",5458,4856,4884,8211,7774,8935,5790,4561,4175
"RSSL_00972",3649,3377,3268,5459,5452,5971,3931,3026,2941
"RSSL_00971",4476,4637,4813,5262,2500,2506,5174,4457,3527
"RSSL_00970",3246,2890,2670,2996,2268,2344,3167,2924,2349
"RSSL_00969",1419,1176,1249,1467,1128,1206,1469,1319,1035
"RSSL_00968",1735,1390,1453,1691,1221,1421,1667,1539,1195
"RSSL_00967",716,594,602,759,573,628,674,610,487
"RSSL_00966",722,712,642,802,759,806,772,617,558
"RSSL_02227",0,0,0,0,0,0,0,0,0
"RSSL_00273",749,611,590,844,741,869,674,599,472
"RSSL_00272",911,837,660,922,832,1013,817,659,529
"RSSL_00271",1947,1626,1636,2082,1915,2320,1797,1561,1373
"RSSL_00270",765,640,683,848,797,955,702,597,520
"RSSL_00269",853,757,773,1007,1028,1094,908,723,609
"RSSL_00268",1458,1318,1472,1800,1748,1961,1527,1344,1141
"RSSL_00267",1339,1157,1312,1534,1352,1581,1323,1196,1007
"RSSL_00266",1464,1486,1272,1602,1518,1804,1366,1275,1094
"RSSL_00265",6064,5817,4965,5814,5510,6153,5665,4680,4104
"RSSL_00264",4239,4031,3825,4428,4235,4702,4118,3630,3179
"RSSL_00263",3243,2821,3323,3790,3496,4205,3253,3033,2600
"RSSL_00262",4000,3652,3900,4419,4118,4628,4017,3828,3000
"RSSL_00261",2699,2388,2546,2924,2705,3102,2799,2449,1986
"RSSL_00260",5782,5149,5159,5971,5921,6506,5775,5164,4044
"RSSL_00259",1470,1185,1098,1463,1438,1676,1205,1131,895
"RSSL_00258",5852,5267,5921,7027,6832,7562,6316,5371,4959
"RSSL_00257",1849,1366,1105,1798,1816,2136,1394,1212,1033
"RSSL_00256",9014,5885,4783,9279,8806,10641,5862,5239,4355
"RSSL_00255",5980,3821,3431,6175,5874,7197,4056,3789,2650
"RSSL_00254",12468,8603,6686,12145,12083,14555,7945,7308,6264
"RSSL_00253",5291,4540,4910,5703,5602,6357,6328,5102,4572
"RSSL_00252",20824,17004,20413,22759,22133,24539,24383,20611,17645
"RSSL_00251",23574,19385,23931,26218,24865,27854,28315,24867,20167
"RSSL_00250",35539,30278,35880,39710,38893,43305,43614,37120,32583
"RSSL_00249",99,86,120,95,80,108,131,86,99
"RSSL_00248",2525,2430,2682,2770,2825,2958,2604,2380,1998
"RSSL_00247",3324,2776,2967,3108,2927,3421,3159,2636,2354
"RSSL_00246",1622,1730,1676,1900,1654,1923,1855,1592,1192
"RSSL_00245",1429,1345,1409,1564,1557,1580,1540,1352,1096
"RSSL_00244",6251,6098,6632,7327,6807,7695,6917,6001,5056
"RSSL_00243",1992,1726,1465,1905,1779,2159,1912,1720,1402
"RSSL_00242",7432,6350,5606,7446,7124,8509,6842,5893,5057
"RSSL_00241",3903,3377,2972,4076,3844,4496,3642,3177,2742
"RSSL_00240",4925,4152,3923,5296,5220,6129,4829,4199,3615
"RSSL_00239",26450,22402,20940,28437,27151,30941,24352,21606,18042
"RSSL_00238",1663,1514,1310,1712,1551,1790,1573,1361,1162
"RSSL_00237",506,511,575,704,575,691,621,550,415
"RSSL_00236",3205,3100,3507,3811,3628,3925,3450,3159,2603
"RSSL_00235",4376,4367,4999,5164,5103,5651,4844,4227,3637
"RSSL_00234",1188,1359,2105,2361,1965,2252,1849,1641,1276
"RSSL_00233",770,752,912,943,941,995,987,864,680
"RSSL_00232",511,450,534,664,570,671,626,499,451
"RSSL_00231",1159,1023,1326,1296,1260,1405,1424,1207,1036
"RSSL_00230",50022,41656,51726,50746,52265,56444,65014,53298,47774
"RSSL_00229",2311,2158,2327,2564,2445,2690,2508,2195,1800
"RSSL_00228",4891,4933,5226,4471,4200,4744,4823,4006,3494
"RSSL_00227",2098,1949,1915,2222,2114,2349,1940,1849,1398
"RSSL_00226",720,663,638,734,783,894,712,610,508
"RSSL_00225",4142,3339,3396,4073,3858,4590,3993,3402,3140
"RSSL_00224",5819,4570,4885,5869,5789,6812,5391,5001,4237
"RSSL_00223",1984,1486,1612,1937,1814,2284,1746,1427,1389
"RSSL_00222",6125,5067,5100,5994,5859,6592,5733,5193,4304
"RSSL_00221",8854,6924,7133,8405,8531,9983,7938,7122,6079
"RSSL_00220",4850,4509,4115,4997,4887,5476,4743,4180,3417
"RSSL_00219",1597,1427,1681,1657,1061,1060,1688,1545,1172
"RSSL_00218",818,755,723,962,893,1004,790,724,667
"RSSL_00217",41,51,43,58,49,45,73,42,54
"RSSL_00216",33,41,26,38,25,31,50,30,26
"RSSL_00215",24291,31294,31968,41335,32124,37561,33922,27650,22413
"RSSL_00333",11590,11498,10680,11718,11221,12673,11590,10617,8992
"RSSL_00332",1352,1563,1247,1504,1369,1607,1351,1148,1001
"RSSL_00331",11816,13528,11597,14020,12909,14266,12377,9887,8421
"RSSL_00330",966,1073,1446,2573,1991,2230,1296,1107,979
"RSSL_00329",2364,2171,2434,2924,2735,3120,2615,2178,1981
"RSSL_00328",21866,23945,21792,25333,23875,26678,24191,19751,17309
"RSSL_00327",4058,3524,4012,4460,4243,4722,4213,3682,3227
"RSSL_00326",336,374,379,430,394,463,392,339,321
"RSSL_00325",4030,4184,3903,4423,4089,4790,4600,3716,3200
"RSSL_00324",5561,5328,4724,6007,5858,6773,5455,4711,4132
"RSSL_00323",2552,2503,2381,2799,2676,3062,2631,2225,1882
"RSSL_00322",16296,16862,13297,15183,13873,16903,15583,11980,11089
"RSSL_00321",26371,22603,25825,29979,29634,33362,28989,25803,21094
"RSSL_00320",7764,7000,7512,8611,8147,9482,8396,7321,6121
"RSSL_00319",13884,11982,13150,15366,14780,16483,14750,12816,10968
"RSSL_00318",14490,12563,13556,16031,15565,17353,15597,13306,11485
"RSSL_00317",5711,5063,5440,6546,6268,7099,5993,5453,4616
"RSSL_00316",1959,1741,1830,2274,2036,2475,2191,1689,1522
"RSSL_00315",73,78,70,93,80,86,112,79,88
"RSSL_00314",16400,14486,16554,19358,18298,20876,18606,15891,14050
"RSSL_00313",5758,5160,5421,6444,6233,6843,6353,5313,4798
"RSSL_00312",6184,5610,6388,6976,6840,7438,7081,6264,4936
"RSSL_00311",1672,1623,1311,1641,1579,1896,1677,1384,1230
"RSSL_00310",280,280,209,251,242,223,240,188,175
"RSSL_00309",36201,30730,26494,36149,35080,39913,30951,26654,22042
"RSSL_02222",299,321,386,451,356,463,419,358,273
"RSSL_02223",261,259,280,351,330,353,304,289,257
"RSSL_02196",350,412,430,549,435,536,500,364,341
"RSSL_02194",3683,626,690,929,1016,1417,642,647,458
"RSSL_02193",5449,782,832,1488,1485,2145,826,733,589
"RSSL_02192",16846,2672,1657,4626,5729,8875,1971,1579,1392
"RSSL_02191",1525,1706,2326,2615,2195,2547,2069,1773,1439
"RSSL_02190",1157,1039,1470,1647,1486,1729,1421,1266,1086
"RSSL_02189",2236,1997,2404,3019,2823,2959,2638,2305,1905
"RSSL_02188",3949,3350,3899,4622,4362,4955,4188,3814,2978
"RSSL_02187",3720,3154,3645,4513,4281,4700,3890,3404,2683
"RSSL_02186",6724,5624,6615,8457,8069,8963,7008,6251,5531
"RSSL_02185",3955,3441,3801,4693,4415,5025,3987,3497,3153
"RSSL_02184",1003,863,933,1349,1134,1336,1004,931,792
"RSSL_02183",43476,38829,32283,42367,41257,45615,41318,35248,28324
"RSSL_02182",6498,5696,4768,6185,6082,6758,5820,4489,4064
"RSSL_02181",287,252,217,278,266,313,278,208,207
"RSSL_02180",1314,1125,1052,1356,1272,1475,1292,987,923
"RSSL_02179",6345,5160,5484,6735,6067,7096,5970,5543,4280
"RSSL_02178",3997,2987,3304,4116,3999,4667,3693,3205,2784
"RSSL_02177",3662,2689,2914,4024,3873,4360,3345,2866,2434
"RSSL_02176",3658,2702,2897,4091,4071,4596,3219,2736,2393
"RSSL_02175",1475,1462,1790,1722,1650,1760,1982,1650,1368
"RSSL_02174",608,472,535,649,611,701,596,527,466
"RSSL_02171",40824,34895,39005,39970,38518,42925,45947,36544,32583
"RSSL_02170",1300,1294,1182,1589,1374,1599,1374,1241,1055
"RSSL_02169",430,427,349,434,376,448,399,351,288
"RSSL_02168",231,218,260,303,249,314,257,206,178
"RSSL_02167",1175,1098,1373,1697,1548,1820,1354,1195,975
"RSSL_02166",1389,1243,1687,2113,1931,2184,1672,1347,1160
"RSSL_02165",129,156,141,180,154,169,144,134,125
"RSSL_02164",942,899,1110,1229,1138,1305,1065,1030,796
"RSSL_02163",516,451,572,614,606,688,565,562,436
"RSSL_02162",1710,1649,1920,2210,2087,2256,1910,1781,1555
"RSSL_02161",7834,7280,7684,9180,8456,9391,8360,7800,6313
"RSSL_02160",8118,7721,8445,10487,9812,10737,9131,8302,6825
"RSSL_02159",2079,1785,1944,2336,2298,2475,2387,2054,1742
"RSSL_02158",164,111,185,145,199,200,168,141,156
"RSSL_02157",22104,18171,18510,22195,23543,25133,19552,18168,15059
"RSSL_02156",1933,1765,1876,2195,2075,2214,1921,1762,1450
"RSSL_02155",402,447,468,534,441,541,521,440,361
"RSSL_02154",4549,4597,4805,5608,5156,5852,4775,4189,3506
"RSSL_02153",1279,1177,1205,1670,1363,1646,1269,1003,878
"RSSL_02152",431,442,401,533,442,540,412,357,334
"RSSL_02151",592,592,675,999,768,919,724,618,531
"RSSL_02150",6798,5876,6073,7621,7232,8067,7045,6059,4984
"RSSL_02149",308,250,277,309,259,259,313,258,194
"RSSL_02148",487,443,456,488,389,432,481,426,367
"RSSL_02147",955,990,1073,1098,987,1055,1098,916,802
"RSSL_02146",23949,23965,21440,22683,21033,23138,24005,20745,17970
"RSSL_02145",2,1,0,0,0,1,0,0,0
"RSSL_02144",107,90,86,113,94,110,136,80,97
"RSSL_02143",5290,4559,4911,5910,5768,6317,5528,4756,4193
"RSSL_02142",227,162,201,218,190,273,205,184,129
"RSSL_02141",980,939,881,1049,920,1118,960,911,643
"RSSL_02140",18673,17502,18592,20729,20000,21682,20626,18314,14662
"RSSL_02139",35,47,59,50,50,59,51,39,39
"RSSL_02138",1868,1788,2073,2394,2275,2523,2215,2002,1683
"RSSL_02137",7414,6345,7455,9049,8597,9396,7990,7051,6023
"RSSL_02136",1561,1519,1524,1949,1752,1885,1759,1409,1185
"RSSL_02135",7,3,17,12,13,15,15,10,2
"RSSL_02134",121,141,295,287,237,244,166,174,128
"RSSL_02133",39,38,97,95,68,69,51,33,28
"RSSL_02132",1060,1749,2715,3161,2577,3076,2261,2007,1656
"RSSL_02131",9087,9276,14012,14171,12865,14019,14043,11936,10460
"RSSL_01758",351,314,469,439,388,450,444,375,309
"RSSL_01757",335,308,418,465,430,443,416,379,283
"RSSL_01756",29,37,23,37,34,42,33,23,24
"RSSL_01755",36,45,31,53,43,46,46,31,21
"RSSL_01754",35,44,27,41,52,51,33,36,32
"RSSL_01753",40,36,37,53,41,54,46,31,31
"RSSL_01752",1922,1818,1842,2211,2082,2355,1964,1747,1417
"RSSL_01751",6231,5671,6459,6817,6437,7371,7110,6290,5180
"RSSL_01750",858,703,867,950,923,998,1015,891,775
"RSSL_01749",649,542,732,772,699,833,717,691,620
"RSSL_01748",3580,3452,3213,3685,3493,3790,3645,3317,2519
"RSSL_01747",1005,1167,1219,1906,1415,1553,1212,996,810
"RSSL_01746",3582,3363,3511,4353,4297,4564,3923,3518,2687
"RSSL_01745",1856,1676,1760,2226,2229,2237,2001,1835,1399
"RSSL_01744",3696,3519,3679,5287,4871,5322,4008,3542,3204
"RSSL_01743",9462,8252,9165,12694,11978,12817,10065,8774,7419
"RSSL_01742",12488,12714,12848,17330,16035,17584,13789,12465,10248
"RSSL_01741",0,0,2,0,0,0,1,0,0
"RSSL_01740",4365,3759,4379,5531,5111,5765,5248,4246,3355
"RSSL_01739",13014,12156,14402,18402,16492,18845,16192,14256,12038
"RSSL_01738",21741,19720,23502,30305,29535,32469,26363,23828,19722
"RSSL_01737",10083,9137,10992,14708,13897,15029,12481,10959,9771
"RSSL_01736",31314,28117,32862,42811,40559,46441,37274,32234,27427
"RSSL_01735",34739,32502,36843,47937,44358,50975,42246,37810,31277
"RSSL_01734",20365,17819,20566,27555,26252,29544,23488,19785,17330
"RSSL_01733",1432,1242,1526,1870,1844,2126,1635,1401,1288
"RSSL_01732",2884,2743,2810,3114,2922,3282,3003,2576,2185
"RSSL_01731",288959,254992,253268,291828,280833,312474,301825,262697,214335
"RSSL_01730",21611,20676,21557,25308,23777,26074,24669,21101,17429
"RSSL_01729",6618,6034,6412,7550,7201,8252,7235,6273,5164
"RSSL_01728",1510,1484,1636,1924,1709,1995,1670,1541,1167
"RSSL_01727",2481,2185,2492,3014,2782,3209,2527,2400,1866
"RSSL_01726",1796,1677,1845,2253,2149,2314,1870,1718,1389
"RSSL_01725",1103,944,937,1307,1260,1358,1037,992,781
"RSSL_01724",2244,2059,2148,2615,2374,2777,2189,1960,1693
"RSSL_01723",269,254,355,297,262,355,344,258,230
"RSSL_01722",1168,1110,1244,1426,1267,1368,1366,1145,902
"RSSL_01721",2240,2089,2362,2584,2535,2698,2571,2103,1826
"RSSL_01720",207,198,193,283,247,245,197,179,138
"RSSL_01719",636,655,852,1056,947,1173,746,666,512
"RSSL_01718",5374,4736,4144,5568,5279,5994,5063,4401,3629
"RSSL_01717",709,691,823,955,882,1022,851,805,591
"RSSL_01716",576,542,495,655,554,659,510,453,443
"RSSL_01715",1776,1742,1734,2175,2073,2377,2019,1696,1612
"RSSL_01714",2860,2536,3023,3668,3516,3850,3264,2922,2378
"RSSL_01713",17092,14613,16827,20711,20321,22811,18698,16803,14104
"RSSL_01712",2079,1669,2134,2561,2730,3066,2343,1918,1769
"RSSL_01711",3718,3324,3270,3957,3657,4032,3487,2972,2599
"RSSL_01710",2398,2239,2563,2978,2683,3028,2319,1831,1895
"RSSL_01709",264,271,255,431,369,505,261,235,198
"RSSL_01708",1964,1819,1935,2148,1997,2159,2080,1826,1462
"RSSL_01707",10562,9620,8584,10285,9533,11167,9615,8555,6950
"RSSL_01706",457,340,335,414,402,443,383,342,290
"RSSL_01705",348,310,289,340,297,328,323,289,249
"RSSL_01704",4276,4121,4550,5204,4896,5400,4975,4328,3516
"RSSL_01703",1548,1309,1423,1737,1640,1835,1456,1278,1147
"RSSL_01702",1770,1553,1626,2203,1998,2258,1674,1763,1161
"RSSL_01701",2916,2574,2624,3307,3397,3716,2821,2552,2054
"RSSL_01700",916,2720,4199,2052,1405,1502,4727,4238,3660
"RSSL_01699",3399,8599,17068,6969,4743,5379,18261,17547,13270
"RSSL_01698",1980,4102,9524,3342,2538,2787,9769,9329,7102
"RSSL_01697",1813,3044,9251,2878,2292,2651,9098,9040,6807
"RSSL_01696",5744,6817,30286,7510,6593,7487,26276,26161,19679
"RSSL_01695",92,83,60,85,68,93,76,64,57
"RSSL_01694",1729,1325,1293,2080,2164,2271,1438,1232,950
"RSSL_01693",1029,859,771,1347,1271,1387,841,691,546
"RSSL_01692",2620,2349,2112,3449,3466,3820,2100,1753,1487
"RSSL_01691",70564,63658,51169,67849,62386,70311,63136,56643,45456
"RSSL_01690",140829,124654,103969,133900,137894,145968,129741,111591,93011
"RSSL_01689",0,0,0,0,0,0,0,0,0
"RSSL_01688",7080,6575,7813,8809,7993,8846,8589,7503,6063
"RSSL_01687",2,3,4,3,2,2,0,1,0
"RSSL_01686",57,47,60,72,65,69,67,43,47
"RSSL_01685",1161,1058,1027,1441,1293,1484,1226,1041,816
"RSSL_01684",1081,1007,989,1374,1257,1475,1123,967,877
"RSSL_01683",1380,1194,1249,1443,1352,1507,1263,1111,1000
"RSSL_01682",1722,2384,1789,2524,2496,2484,2614,2208,1839
"RSSL_01681",487,450,410,682,580,731,477,430,304
"RSSL_01680",232,236,250,291,310,314,295,276,196
"RSSL_01679",985,951,1010,1277,1171,1317,1090,821,784
"RSSL_01678",2160,1897,2071,3195,1913,2618,1744,1558,1019
"RSSL_01677",787,776,696,908,797,910,746,663,520
"RSSL_01676",738,690,702,925,784,793,757,630,509
"RSSL_02232",1,0,0,1,0,0,0,0,2
"RSSL_01675",990,1787,1997,2633,2223,2487,1990,1665,1331
"RSSL_01674",1278,1325,1456,1681,1543,1759,1608,1419,1097
"RSSL_01673",863,916,1026,1244,1141,1204,1162,912,787
"RSSL_01672",2676,3092,3592,4637,4034,4339,3850,3293,2699
"RSSL_01671",860,891,1027,1057,976,1109,1041,908,748
"RSSL_01670",2018,1985,2238,2426,2222,2479,2343,2101,1644
"RSSL_01669",972,893,1255,1375,1207,1555,1268,1066,803
"RSSL_01668",1264,1144,1426,1657,1578,1632,1384,1308,970
"RSSL_01667",1527,1370,1503,1830,1880,2020,1737,1495,1234
"RSSL_01666",2022,1878,2053,2400,2415,2482,2212,2003,1624
"RSSL_01665",946,777,860,1111,1038,1157,884,881,711
"RSSL_01664",5978,7303,12562,13987,12101,12835,11616,10519,8384
"RSSL_01663",4056,3739,4349,5012,4683,5061,4562,4097,3404
"RSSL_01662",1735,1526,1832,2185,1957,2135,1852,1659,1443
"RSSL_01661",431,409,462,493,462,533,491,436,296
"RSSL_01660",2329,2017,2351,2888,2700,2962,2580,2329,1916
"RSSL_01659",12610,15266,16426,21048,17968,20573,15330,13933,11080
"RSSL_01658",2558,2337,2664,3223,3057,3428,2591,2364,1899
"RSSL_01657",4026,3627,4049,4957,4655,5241,4020,3850,3066
"RSSL_01656",1838,1520,1710,2307,2096,2248,1907,1713,1490
"RSSL_01655",7925,6725,7323,9509,9036,9728,8080,7142,6091
"RSSL_01654",1354,1189,1362,1655,1581,1686,1441,1409,1115
"RSSL_01653",1482,1395,1365,1674,1716,1902,1622,1346,1180
"RSSL_01652",592,634,513,477,487,596,580,434,426
"RSSL_01651",840,724,832,710,659,739,887,753,626
"RSSL_01650",887,795,892,710,608,728,955,767,673
"RSSL_01649",1602,1402,1656,1912,1784,1972,1620,1422,1195
"RSSL_01648",2381,2171,2641,2745,2523,2993,2606,2304,1844
"RSSL_01647",824,798,830,976,904,1049,892,791,645
"RSSL_01646",4617,4210,4639,5396,5143,5790,4787,4170,3341
"RSSL_01645",1587,1536,1616,1894,1689,1987,1636,1456,1162
"RSSL_01644",5027,4414,4894,5845,5457,5972,4948,4525,3560
"RSSL_01643",3133,2778,3029,3674,3427,3858,3179,2846,2249
"RSSL_01642",524,463,558,542,341,323,566,565,433
"RSSL_01641",474,413,542,502,336,311,555,461,352
"RSSL_01640",1256,1114,950,1240,1110,1315,1139,1009,781
"RSSL_01639",224,223,195,208,217,244,173,157,145
"RSSL_01638",2015,1724,1697,1958,1874,2149,1744,1564,1308
"RSSL_01637",3965,3054,3326,3941,3774,4463,3604,3330,2738
"RSSL_01636",1183,920,932,1135,1077,1382,997,873,867
"RSSL_02233",1855,1370,1675,1945,1861,2295,1604,1389,1330
"RSSL_01635",1159,917,979,1196,1263,1415,1083,956,743
"RSSL_01634",11674,9825,10434,13460,13383,15109,11135,10273,8886
"RSSL_01633",7976,6353,7027,9822,9669,11031,7274,6889,5865
"RSSL_01632",1128,858,993,1339,1373,1530,1041,880,757
"RSSL_01630",849,667,747,1115,1066,1266,799,683,600
"RSSL_01629",2622,2021,2310,3451,3327,3725,2384,2096,1840
"RSSL_01628",1702,1261,1380,2299,2137,2457,1454,1357,1248
"RSSL_01627",6117,5071,5120,7710,7289,8269,5368,4920,4086
"RSSL_01626",4820,4619,5447,5830,5518,6290,5724,5003,4362
"RSSL_01625",541,686,588,722,592,670,654,497,448
"RSSL_01624",52607,47899,44262,51760,50018,56028,52159,44721,38644
"RSSL_01623",807,735,628,825,778,835,734,672,545
"RSSL_01622",1388,1451,1380,1712,1598,1915,1537,1441,1226
"RSSL_01621",2950,2782,2983,3390,3328,3726,3223,2920,2429
"RSSL_01620",1190,1237,1176,1446,1186,1431,1319,1059,967
"RSSL_01619",3139,3334,3342,3666,3527,3871,3812,3359,2690
"RSSL_01618",1528,1469,2001,1609,1313,1573,1487,1279,1082
"RSSL_01617",17,15,29,15,11,12,13,12,8
"RSSL_01616",276,265,209,272,256,266,317,261,204
"RSSL_01615",779,842,812,948,720,843,949,573,566
"RSSL_01614",3132,2822,2929,3142,3138,3441,3482,3046,2381
"RSSL_01613",3829,3557,3392,4003,3683,4211,4123,3758,2905
"RSSL_01612",655,584,761,715,782,640,819,812,677
"RSSL_01611",2021,1972,2119,2080,2174,2102,2334,2131,2044
"RSSL_01610",7,9,4,8,4,9,10,6,3
"RSSL_01609",57,49,63,71,41,62,70,39,50
"RSSL_01608",1635,1403,1630,1805,1782,1959,1900,1633,1335
"RSSL_01607",1033,949,1179,1325,1235,1242,1220,1082,923
"RSSL_01606",6788,6433,6855,8276,7762,8781,6896,6613,5139
"RSSL_01605",1000,998,762,1016,919,1041,955,752,645
"RSSL_01604",558,521,458,613,542,617,506,406,359
"RSSL_01603",65,89,94,93,102,98,72,68,67
"RSSL_01602",15,14,10,11,10,10,11,7,14
"RSSL_01601",9,4,5,11,12,7,11,6,9
"RSSL_01600",7,9,16,15,21,14,18,7,7
"RSSL_01599",35,31,43,36,37,51,40,37,24
"RSSL_01598",35,30,26,37,20,36,34,17,18
"RSSL_01597",90,52,87,91,70,80,93,53,51
"RSSL_01596",51,39,42,50,45,39,47,36,39
"RSSL_01595",53,45,57,77,66,62,55,56,49
"RSSL_01594",9,8,8,15,11,9,7,7,14
"RSSL_01593",19,12,12,20,20,26,17,18,18
"RSSL_01592",13,22,12,19,19,24,18,16,11
"RSSL_02234",6,9,4,2,9,8,9,4,6
"RSSL_01591",9,12,15,6,6,4,9,9,4
"RSSL_01590",40,36,34,45,30,38,32,30,28
"RSSL_01589",7,9,7,14,8,8,2,4,6
"RSSL_01588",903,791,914,1169,999,1094,977,946,772
"RSSL_01587",1429,1224,1498,2063,1796,2026,1535,1428,1195
"RSSL_01586",2125,1774,2280,3071,2658,3091,2240,2084,1668
"RSSL_01585",822,696,780,1092,955,1109,837,787,625
"RSSL_01584",3273,3302,3403,3814,3691,3945,3596,3264,2483
"RSSL_01583",1271,1112,1263,1486,1322,1543,1400,1100,982
"RSSL_01582",2620,2318,2694,3057,2788,3268,2708,2511,1993
"RSSL_01581",564,540,742,697,658,769,678,639,536
"RSSL_01580",913,953,1222,1274,1151,1323,1218,1168,893
"RSSL_01579",1756,1619,1868,2157,1935,2207,1956,1736,1421
"RSSL_01578",380,368,410,501,506,483,413,407,337
"RSSL_01577",2544,2590,2420,2539,2549,2763,2660,2290,1830
"RSSL_01576",5969,5136,5121,6470,6273,6866,5721,4946,4314
"RSSL_01575",1643,1352,1324,1571,1539,1762,1503,1339,1067
"RSSL_01574",6516,5856,6688,7185,6970,7827,6971,6367,5222
"RSSL_01573",821,734,791,913,825,967,772,713,650
"RSSL_01572",4106,4251,5531,5887,5562,6308,5332,4786,4017
