"gene_id","Sal-marker2-LE-rep-2_S6_R1_001 (GE) - Total counts","Sal-marker2-LE-rep-3_S7_R1_001 (GE) - Total counts","Sal-marker2-LE-rep-4_S8_R1_001 (GE) - Total counts","Sal-delropB-LE-rep-1_S13_R1_001 (GE) - Total counts","Sal-delropB-LE-rep-2_S14_R1_001 (GE) - Total counts","Sal-delropB-LE-rep-3_S15_R1_001 (GE) - Total counts","Sal-sip-LE-rep-1_S9_R1_001 (GE) - Total counts","Sal-sip-LE-rep-2_S10_R1_001 (GE) - Total counts","Sal-sip-LE-rep-3_S11_R1_001 (GE) - Total counts"
"RSSL_00100",1,3,1,0,1,2,4,3,4
"RSSL_00101",1,4,1,6,0,0,9,6,6
"RSSL_00102",1,4,2,3,0,2,4,4,4
"RSSL_00103",6,11,9,10,8,10,16,14,16
"RSSL_00104",26,19,21,17,16,23,40,36,27
"RSSL_00105",90,120,85,101,82,94,113,88,66
"RSSL_00106",141,143,106,113,115,150,135,114,101
"RSSL_00107",142,103,73,126,114,136,110,101,78
"RSSL_00108",6830,5528,5886,8888,7981,9438,6044,5779,4814
"RSSL_00109",1457,1286,1259,1919,1692,1882,1453,1391,1095
"RSSL_00110",2087,1796,1863,2687,2311,2789,1874,1708,1510
"RSSL_00111",1310,1217,1197,1741,1541,1840,1288,1127,980
"RSSL_00112",1,0,0,0,0,0,2,0,0
"RSSL_00113",1025,1010,1068,1272,1169,1338,1070,1017,824
"RSSL_00114",288,275,290,378,278,369,292,239,235
"RSSL_00115",336,338,362,529,472,511,353,293,296
"RSSL_00116",862,1026,803,947,772,945,985,727,602
"RSSL_00117",22977,22002,21963,27324,24568,27563,25727,23467,20357
"RSSL_00118",2092,2089,2559,3860,3169,3528,2786,2472,2055
"RSSL_00119",3833,4124,4626,6388,5409,5882,5146,4478,3857
"RSSL_00120",104,109,131,177,135,165,150,107,124
"RSSL_00121",46,50,57,85,76,80,62,63,53
"RSSL_00122",88,90,104,150,122,119,124,87,96
"RSSL_00123",79,86,94,165,142,149,111,97,95
"RSSL_00124",2989,4670,5978,8442,7171,8144,5864,5199,4748
"RSSL_00125",184,173,183,204,215,210,223,189,188
"RSSL_00126",8,12,21,35,29,26,23,20,17
"RSSL_00127",88,102,96,117,102,101,99,86,96
"RSSL_00128",640,595,571,754,570,681,621,524,459
"RSSL_00129",1015,1054,985,1281,1090,1234,1049,898,738
"RSSL_00130",5600,5072,5146,7238,6201,6802,5568,4841,4418
"RSSL_00131",3894,3914,4998,7011,5979,6880,5165,4402,3835
"RSSL_00132",2745,2866,2960,3398,3169,3483,3212,2816,2578
"RSSL_00133",104,73,91,112,86,112,129,91,87
"RSSL_00134",767,953,908,981,816,989,848,756,677
"RSSL_00135",29,31,18,28,15,28,80,39,36
