"gene_id","34","36","35","38","39","37"
"SPN23F_RS11280",727,621,713,2855,2989,3817
"SPN23F_RS11275",1137,1017,1035,4725,4935,5820
"SPN23F_RS09450",253,178,129,4942,3930,5579
"SPN23F_RS09455",732,457,391,19651,15265,18576
"SPN23F_RS11270",685,676,634,2966,3261,4112
"SPN23F_RS11265",914,983,1007,5257,5289,7698
"SPN23F_RS10645",2483,2120,2596,23046,19623,17806
"SPN23F_RS11300",231,153,219,1662,1965,1946
"SPN23F_RS11285",242,183,211,990,1209,1552
"SPN23F_RS11260",1023,885,1009,4158,3610,6324
"SPN23F_RS11290",177,125,127,727,878,1028
"SPN23F_RS09445",1588,860,747,20136,14660,25831
"SPN23F_RS11295",183,100,151,849,999,1047
"SPN23F_RS11535",23,19,17,175,159,164
"SPN23F_RS02460",287,238,258,12611,10255,6245
"SPN23F_RS02455",31,20,30,1491,1215,866
"SPN23F_RS02535",831,639,627,10863,9523,5806
"SPN23F_RS08080",5154,4058,3913,8967,8451,11428
"SPN23F_RS02465",263,251,250,11305,9568,4640
"SPN23F_RS11305",372,150,248,2134,2602,2012
"SPN23F_RS02525",710,598,625,9778,9372,5066
"SPN23F_RS04730",2280,1908,2387,826,782,1001
"SPN23F_RS06470",118,112,116,305,272,294
"SPN23F_RS03620",5898,5598,4775,13294,12109,13060
"SPN23F_RS06465",328,272,279,607,653,672
"SPN23F_RS10070",2540,1615,2449,202,145,404
"SPN23F_RS11060",92,69,87,184,207,228
"SPN23F_RS07970",2428,1677,1923,3422,3057,4039
"SPN23F_RS10075",2732,1594,2536,289,215,485
"SPN23F_RS08280",235,174,180,483,481,472
"SPN23F_RS11050",63,53,64,151,154,157
"SPN23F_RS02530",212,173,152,3040,2723,1572
"SPN23F_RS07980",2336,1657,2030,3462,3039,3457
"SPN23F_RS04490",364,288,420,83,87,109
"SPN23F_RS05320",7015,4857,5833,1005,882,1856
"SPN23F_RS10065",589,425,590,32,25,91
"SPN23F_RS10060",1119,684,1159,85,62,179
"SPN23F_RS07805",686,537,609,221,208,248
"SPN23F_RS05645",452,294,314,933,806,846
"SPN23F_RS07975",2648,1856,2065,3718,3284,4112
"SPN23F_RS11045",434,344,349,678,796,854
"SPN23F_RS01495",2948,2305,2267,5520,5492,4975
"SPN23F_RS06970",794,773,1069,6289,5972,3607
"SPN23F_RS09630",2776,2484,2852,1095,980,1412
"SPN23F_RS03385",374,523,379,1125,1150,1239
"SPN23F_RS08010",20146,20511,20006,44120,34636,41540
"SPN23F_RS06805",992,605,721,2058,1973,1780
"SPN23F_RS01880",2367,1865,1958,2999,2812,3280
"SPN23F_RS01470",1300,1175,1048,2816,2765,2439
"SPN23F_RS02520",317,298,254,3913,4140,1988
"SPN23F_RS00595",1152,1064,1053,1586,1514,1763
"SPN23F_RS11040",747,518,588,1006,1000,1128
"SPN23F_RS01410",10404,8148,9570,23344,19832,17847
"SPN23F_RS10040",217,149,246,16,15,41
"SPN23F_RS01875",1142,854,914,1482,1303,1654
"SPN23F_RS09560",2012,1658,1815,2350,2190,2830
"SPN23F_RS02445",2236,2065,2134,3281,2805,3315
"SPN23F_RS12395",115,127,127,316,226,355
"SPN23F_RS03615",2538,2184,2982,274,231,696
"SPN23F_RS11225",33676,25167,36821,3355,3064,7636
"SPN23F_RS11220",21794,16406,24802,2349,2009,5130
"SPN23F_RS00600",665,701,674,1104,1143,1215
"SPN23F_RS06340",156,190,178,435,435,406
"SPN23F_RS08275",263,208,209,689,709,548
"SPN23F_RS10080",2630,1575,2310,559,457,805
"SPN23F_RS03455",1112,706,1014,272,227,371
"SPN23F_RS10250",1457,1222,1198,1982,2042,2083
"SPN23F_RS11210",88947,66592,107361,11156,9327,23455
"SPN23F_RS09905",15,8,10,39,33,39
"SPN23F_RS10260",925,854,876,1320,1344,1377
"SPN23F_RS08340",1088,990,1058,1352,1406,1636
"SPN23F_RS08490",7824,7217,10396,2969,2029,2483
"SPN23F_RS11230",33333,21942,32517,3693,3377,7999
"SPN23F_RS05315",6370,4208,5390,1092,859,1928
"SPN23F_RS11030",288,205,242,38,27,74
"SPN23F_RS10425",3597,3295,3414,4992,4622,5015
"SPN23F_RS06930",1473,1198,1294,2217,2089,2053
"SPN23F_RS07635",141,98,105,230,254,246
"SPN23F_RS11055",108,71,69,174,193,210
"SPN23F_RS12505",4,2,3,14,17,15
"SPN23F_RS11905",295,218,207,537,433,493
"SPN23F_RS04090",905,790,1060,2343,2145,1818
"SPN23F_RS10045",5267,2834,5107,321,217,854
"SPN23F_RS11215",91228,67497,106367,11556,9111,23750
"SPN23F_RS03610",3841,3314,4773,450,336,1105
"SPN23F_RS02470",72,59,60,2916,2612,1019
"SPN23F_RS05570",1367,909,1142,111,119,339
"SPN23F_RS02900",766,558,785,1069,1164,1189
"SPN23F_RS02495",8,15,9,77,84,56
"SPN23F_RS10140",2598,2531,2534,4428,4596,4119
"SPN23F_RS10155",19344,15815,15434,28553,24623,28149
"SPN23F_RS08365",10231,7196,10476,3877,2958,3592
"SPN23F_RS09845",3590,1897,1958,6119,6313,6286
"SPN23F_RS04495",1356,798,1378,243,263,396
"SPN23F_RS02895",1739,1230,1679,2586,2367,2441
"SPN23F_RS06800",3422,1842,2120,5545,5181,5365
"SPN23F_RS03905",5601,5191,6568,2656,2324,2639
"SPN23F_RS11525",64,53,58,107,127,128
"SPN23F_RS07740",225,181,225,78,73,82
"SPN23F_RS00685",8481,6818,6342,13262,12714,12243
"SPN23F_RS03480",126,151,134,556,579,390
"SPN23F_RS06815",3873,3291,4128,5540,4889,5420
"SPN23F_RS09565",3768,3308,3356,4452,4077,5045
"SPN23F_RS11500",8009,5828,8935,2317,1795,3315
"SPN23F_RS10050",3955,1832,3552,201,156,584
"SPN23F_RS02450",4731,3774,3967,5437,4850,6786
"SPN23F_RS06345",781,905,806,2172,1953,1668
"SPN23F_RS11975",1,4,1,42,41,24
"SPN23F_RS10675",5,6,6,27,26,21
"SPN23F_RS09840",25953,15768,14452,41568,42437,44589
"SPN23F_RS04045",5643,4733,3947,8049,7013,10195
"SPN23F_RS10055",3326,1793,3337,268,144,588
"SPN23F_RS09535",2507,1760,1951,2941,2706,4108
"SPN23F_RS02490",3,9,11,191,201,98
"SPN23F_RS08615",727,462,802,115,84,208
"SPN23F_RS01845",1306,979,936,2602,2232,1987
"SPN23F_RS10580",9763,6800,9955,2637,1935,3804
"SPN23F_RS03910",6500,6160,7919,3047,2921,3277
"SPN23F_RS02435",103,61,70,3704,3245,1144
"SPN23F_RS01340",3235,4504,2756,9954,10263,9340
"SPN23F_RS09555",2376,1761,1959,2548,2418,3336
"SPN23F_RS03475",3941,3899,5327,6976,6884,7649
"SPN23F_RS04715",6248,5834,7080,3015,2370,3390
"SPN23F_RS07660",3043,2862,2536,6094,6259,4938
"SPN23F_RS05350",92,41,35,187,209,206
"SPN23F_RS08005",1747,1602,1695,2532,2418,2388
"SPN23F_RS09545",3087,2180,2592,3343,3464,4919
"SPN23F_RS02515",68,71,81,1088,1022,461
"SPN23F_RS10085",2117,1249,1853,553,429,724
"SPN23F_RS08390",1497,1327,1633,724,616,712
"SPN23F_RS04665",5949,4341,5610,2607,2301,3036
"SPN23F_RS01850",544,385,387,1112,989,853
"SPN23F_RS04725",16169,12061,16391,6391,5186,7917
"SPN23F_RS10665",690,455,483,878,814,936
"SPN23F_RS01475",16266,13329,16605,7558,7090,8457
"SPN23F_RS08495",4123,3016,4998,1542,1030,1429
"SPN23F_RS01860",141,130,121,298,302,254
"SPN23F_RS10605",13,12,8,32,40,63
"SPN23F_RS07630",764,635,638,860,904,1094
"SPN23F_RS03250",335,338,401,126,111,165
"SPN23F_RS03865",1637,1185,1793,470,390,720
"SPN23F_RS06350",630,797,660,2114,1826,1490
"SPN23F_RS05475",107942,76842,112398,28893,18891,39158
"SPN23F_RS08775",3331,3015,3482,1490,1186,1900
"SPN23F_RS10965",1371,1120,1906,368,284,550
"SPN23F_RS09550",2574,1974,2251,2708,2783,3908
"SPN23F_RS00540",90,56,63,124,147,157
"SPN23F_RS04040",1160,1350,942,2088,1856,2350
"SPN23F_RS09610",14531,9788,12024,5246,4729,6643
"SPN23F_RS08270",173,183,219,435,387,360
"SPN23F_RS03850",2812,1912,2339,1076,928,1288
"SPN23F_RS08395",8534,7396,9329,4328,3549,4287
"SPN23F_RS09540",2613,1747,2037,2906,2784,4234
"SPN23F_RS00590",2078,1656,1610,2261,2193,2973
"SPN23F_RS10130",6271,6000,5693,8157,7798,8646
"SPN23F_RS09625",21207,14530,18609,7870,6303,9533
"SPN23F_RS10290",3696,3592,3423,5685,5657,5279
"SPN23F_RS07790",166,118,136,47,43,60
"SPN23F_RS10255",872,925,887,1432,1363,1369
"SPN23F_RS08500",1603,999,1745,487,350,519
"SPN23F_RS03580",869,700,932,1406,1390,1273
"SPN23F_RS02485",15,7,13,68,108,56
"SPN23F_RS05045",1230,1286,1467,499,402,670
"SPN23F_RS05905",5614,6043,5844,10094,7675,9552
"SPN23F_RS04500",3346,1827,3361,602,577,1041
"SPN23F_RS07175",3159,2540,2831,3703,3377,3713
"SPN23F_RS09635",39441,32387,41551,16227,11805,19136
"SPN23F_RS10135",597,652,611,914,956,990
"SPN23F_RS05240",14931,12276,15879,7331,6245,7942
