"gene_id","IU10991_1","IU10991_2","IU10991_3","IU1781_1","IU1781_2","IU1781_3"
"SPD_RS00710",3939,2581,2552,3407,3592,3721
"SPD_RS00715",24,27,30,14,25,21
"SPD_RS00720",2,2,0,3,1,2
"SPD_RS00725",9,8,5,12,7,3
"SPD_RS00730",2228,1307,1412,1933,1614,1355
"SPD_RS00735",1928,1248,1345,1614,1313,1050
"SPD_RS00740",6678,2747,3119,5137,3564,1959
"SPD_RS00770",356,364,269,651,471,496
"SPD_RS00775",206,206,150,364,242,215
"SPD_RS00780",578,741,555,1122,858,833
"SPD_RS00785",20,28,19,16,35,56
"SPD_RS00790",8,24,17,17,23,27
"SPD_RS00795",3,11,4,11,6,5
"SPD_RS00800",593,388,368,613,551,430
"SPD_RS00805",738,683,550,823,1067,1146
"SPD_RS00810",826,586,523,818,829,456
"SPD_RS00815",565,348,319,652,500,254
"SPD_RS00820",1064,636,531,1193,991,594
"SPD_RS00825",20,10,9,21,19,9
"SPD_RS00830",10772,10045,6912,12766,8906,8471
"SPD_RS00835",3960,3853,3145,3736,3505,2852
"SPD_RS00840",1557,779,735,1395,966,676
"SPD_RS00845",3132,1559,1566,2723,1891,1279
"SPD_RS00850",2153,1109,1178,1847,1341,878
"SPD_RS00855",1704,1218,1209,1316,1180,1159
"SPD_RS00860",1626,1272,1519,1024,1625,1124
"SPD_RS00865",2151,1302,1255,2172,1763,1083
"SPD_RS00870",1784,1179,990,2535,1577,1318
"SPD_RS00875",20085,13525,16089,12107,16897,9387
"SPD_RS00880",3554,2543,2053,4460,2989,2122
"SPD_RS00885",1589,861,913,832,692,389
"SPD_RS00890",77,60,74,83,58,61
"SPD_RS00895",57,57,44,85,56,55
"SPD_RS00900",9889,4843,5413,8190,6482,4780
"SPD_RS00905",178,193,149,445,213,196
"SPD_RS00910",246,266,191,619,306,214
"SPD_RS00915",90,74,47,197,101,75
"SPD_RS00920",203,171,124,357,196,149
"SPD_RS00925",2556,1685,1956,1865,2054,1259
"SPD_RS00930",3076,1954,1946,2361,2310,1841
"SPD_RS00935",2237,1748,2142,1572,1706,1153
"SPD_RS00940",2499,1861,1874,2101,1955,1498
"SPD_RS00945",3863,1662,1562,4208,2365,1619
"SPD_RS00950",4197,2744,2311,4785,3155,3100
"SPD_RS00955",8741,4186,4137,8844,5323,3310
"SPD_RS00960",4121,2350,2081,4205,2650,1712
"SPD_RS00965",47643,71786,64259,32184,58225,63249
"SPD_RS00970",7939,8785,6502,7996,7962,7217
"SPD_RS00975",12573,16251,14601,9045,13564,12739
"SPD_RS00980",15590,19932,13262,14891,17532,12849
"SPD_RS00985",16543,24119,18818,14846,19116,18814
"SPD_RS00990",8360,4933,5259,5253,6105,3346
"SPD_RS00995",6556,6963,6786,4330,6525,6201
"SPD_RS01000",1346,1410,1128,1438,1401,1170
"SPD_RS01005",156,106,80,214,119,76
"SPD_RS01010",9235,5726,5907,9653,6850,4403
"SPD_RS01015",42406,27469,25937,31300,29242,23255
"SPD_RS01020",3055,2881,2330,2334,2278,2144
"SPD_RS01025",2369,1141,1022,1649,1322,772
"SPD_RS01030",4281,2767,2174,3267,2807,2224
"SPD_RS01035",7761,7523,5488,5730,6141,5021
"SPD_RS01040",38491,21391,16656,35857,23703,17400
"SPD_RS01045",46896,27807,20304,49124,28314,15332
"SPD_RS01050",26034,12865,10010,23793,13095,5363
"SPD_RS01055",13959,8450,5838,16246,9120,8046
"SPD_RS01060",43358,21820,16804,42808,24006,11043
"SPD_RS01065",22844,14733,10025,26732,16190,13131
"SPD_RS01070",19822,13698,9799,23923,14717,14713
"SPD_RS01075",32655,19407,13960,36324,21253,13985
"SPD_RS01080",26581,14673,10593,29853,16604,9363
"SPD_RS01085",9420,6492,4291,12794,7214,7909
"SPD_RS01090",14820,8517,6338,17441,9826,6264
"SPD_RS01095",25335,14807,10467,29002,15870,10175
"SPD_RS01100",19927,11452,7908,23551,13036,11066
