"gene_id","ssRA_1","ssRA_2","ssRA_3","WT_1","WT_2"
"SP5448_RS02875",1854,2438,2866,2576,2718
"SP5448_RS02880",2663,4822,6924,5049,5656
"SP5448_RS02885",1689,2999,3760,2090,2402
"SP5448_RS02890",565,1879,1580,1015,1324
"SP5448_RS02895",1102,1523,1318,1294,1680
"SP5448_RS02900",1249,1997,1709,1496,1563
"SP5448_RS02905",1532,1983,1900,1610,1837
"SP5448_RS02910",80,208,165,92,120
"SP5448_RS02915",219,257,162,252,279
"SP5448_RS02920",189,240,277,165,166
"SP5448_RS02925",270,442,462,355,394
"SP5448_RS02930",309,380,463,383,430
"SP5448_RS02935",656,1364,1542,1226,1384
"SP5448_RS02940",700,1115,1383,956,1195
"SP5448_RS02945",2878,3290,4348,3294,3659
"SP5448_RS02950",1607,1950,2107,1985,2080
"SP5448_RS02955",2164,3678,4110,3530,4179
"SP5448_RS02960",1368,2242,2824,2188,2639
"SP5448_RS02965",841,1482,1945,1505,1649
"SP5448_RS02970",5545,10407,12850,10863,11352
"SP5448_RS02975",3185,5598,7720,6218,6870
"SP5448_RS02980",0,0,0,6,5
"SP5448_RS02985",162,373,710,485,495
"SP5448_RS02990",1566,1988,2998,1938,1976
"SP5448_RS03000",1862,2469,3543,2617,2569
"SP5448_RS03005",17675,22797,30058,24272,27631
"SP5448_RS03010",549,601,502,527,366
"SP5448_RS03015",116,189,304,265,153
"SP5448_RS03020",546,683,889,616,761
"SP5448_RS03025",350,376,565,404,445
"SP5448_RS03030",428,493,699,434,491
"SP5448_RS03035",636,737,1326,735,622
"SP5448_RS03040",212,303,412,200,227
"SP5448_RS03045",20,51,48,44,33
"SP5448_RS03050",31,73,34,37,18
"SP5448_RS03055",82,81,36,101,70
"SP5448_RS03060",721,967,1437,868,1095
"SP5448_RS03065",3026,4038,5398,3951,4346
"SP5448_RS03070",2302,2965,4355,3326,3846
"SP5448_RS03075",3851,5272,6634,5514,5676
"SP5448_RS03080",56,312,351,281,279
"SP5448_RS03085",437,688,977,623,761
"SP5448_RS03090",8357,41718,11176,18942,47990
"SP5448_RS03095",1286,9721,1402,2116,11225
"SP5448_RS03100",2072,16568,2136,2363,18731
"SP5448_RS03105",682,4768,983,862,5399
"SP5448_RS03110",550,2428,649,558,2266
"SP5448_RS03115",495,1750,643,404,1606
"SP5448_RS03120",3050,4746,4449,5023,5007
"SP5448_RS03125",3557,5139,6661,5581,5574
"SP5448_RS03130",2420,3456,4338,3612,3906
"SP5448_RS03135",6418,12059,13353,12804,12715
"SP5448_RS03145",3306,5889,9177,6610,6389
"SP5448_RS03150",5553,8880,12524,9109,10118
"SP5448_RS03155",12,0,13,0,0
"SP5448_RS03160",24721,35921,44557,33995,45743
"SP5448_RS03165",190,372,601,304,214
"SP5448_RS03170",4747,7109,8464,6899,7290
"SP5448_RS03175",1528,2258,2553,2190,2502
"SP5448_RS03180",47935,62105,77391,63627,68154
"SP5448_RS03185",2007,3564,4323,3509,4127
"SP5448_RS03190",11866,16109,20010,17277,18439
"SP5448_RS03195",9483,13019,16264,13487,15617
"SP5448_RS03200",10975,17812,22419,17934,20429
"SP5448_RS03205",20516,37409,48014,37499,38202
"SP5448_RS03210",37532,58014,68082,57501,66069
"SP5448_RS03215",16965,28234,33121,26802,31194
"SP5448_RS03220",22793,34293,41522,34219,39187
"SP5448_RS03225",5757,11662,14205,10993,12643
"SP5448_RS03230",17507,31026,37129,32060,35140
"SP5448_RS03235",23781,36158,42647,35649,40320
"SP5448_RS03240",23482,34584,45093,34502,36403
"SP5448_RS03245",791,1761,1924,1813,1824
"SP5448_RS03250",1348,2128,2051,1804,2409
"SP5448_RS03255",21279,27520,30305,28293,27654
"SP5448_RS03260",193,286,740,370,350
"SP5448_RS03265",479,719,849,1051,599
"SP5448_RS03270",909,1038,1158,1313,893
"SP5448_RS03275",875,1781,1715,1603,1374
"SP5448_RS03280",9037,20668,15048,17520,21721
"SP5448_RS03285",1368,1975,3044,2221,2353
"SP5448_RS03290",3956,4755,5632,5705,6134
"SP5448_RS03295",774,1261,1273,1301,1492
"SP5448_RS03300",3849,5836,5716,6367,7371
"SP5448_RS03305",4857,6236,6997,7439,7814
"SP5448_RS03310",1679,3022,3292,3696,3712
"SP5448_RS03315",8178,12349,13927,14415,14224
"SP5448_RS03320",4182,6547,8163,7447,7589
"SP5448_RS03325",6571,10072,12537,10945,11733
"SP5448_RS03330",6471,9669,11654,9551,10645
"SP5448_RS03335",3569,6648,6947,6032,6176
"SP5448_RS03340",8159,14046,19785,13916,15693
"SP5448_RS03345",681,471,775,718,268
"SP5448_RS03350",189,332,518,399,322
"SP5448_RS03355",440,525,935,617,544
"SP5448_RS03360",180,460,590,372,372
"SP5448_RS09285",151,61,141,103,84
"SP5448_RS03365",55,131,181,73,152
"SP5448_RS03370",227,321,502,268,430
"SP5448_RS03375",85,207,240,148,160
"SP5448_RS03380",4125,3455,2460,4884,2434
"SP5448_RS03385",4725,3591,4921,7695,4001
"SP5448_RS03390",32,81,104,42,85
"SP5448_RS03395",5,25,29,14,10
"SP5448_RS03400",0,33,104,25,28
"SP5448_RS03410",96,158,179,153,139
"SP5448_RS03415",4,42,19,34,46
"SP5448_RS09620",48,46,63,41,47
"SP5448_RS03420",37,132,59,58,86
"SP5448_RS03425",35,117,89,75,134
"SP5448_RS03430",200,323,388,239,457
"SP5448_RS03435",159,418,466,268,457
"SP5448_RS09720",40,34,115,63,133
"SP5448_RS03440",26,70,121,62,65
"SP5448_RS03445",76,127,137,142,213
"SP5448_RS03450",60,118,139,69,182
"SP5448_RS03455",36,102,84,64,132
"SP5448_RS03460",220,268,412,232,410
"SP5448_RS03465",33,63,89,50,58
"SP5448_RS03470",20,24,42,40,35
"SP5448_RS03475",85,72,46,24,78
"SP5448_RS03480",1817,3105,3235,2909,3635
"SP5448_RS03485",118,197,207,145,236
"SP5448_RS03490",11,24,3,23,23
"SP5448_RS03495",0,7,33,19,37
"SP5448_RS03500",8,28,41,63,8
"SP5448_RS03505",0,6,10,7,0
"SP5448_RS03510",10,35,24,12,33
"SP5448_RS03515",0,6,0,0,8
"SP5448_RS03520",0,8,35,9,26
"SP5448_RS03525",0,4,0,3,0
"SP5448_RS03530",0,11,0,9,7
"SP5448_RS03535",0,3,0,3,0
"SP5448_RS03540",0,0,10,3,0
"SP5448_RS03545",0,0,1,8,8
"SP5448_RS03550",10,0,0,12,2
"SP5448_RS03555",12,54,57,41,23
"SP5448_RS03560",0,7,8,1,13
"SP5448_RS03565",57,15,31,18,49
"SP5448_RS03570",0,0,12,5,0
"SP5448_RS03575",15,11,2,18,9
"SP5448_RS03580",6,0,7,0,0
"SP5448_RS03585",0,16,26,15,16
"SP5448_RS03595",21,77,105,19,76
"SP5448_RS03600",918,1631,4052,1510,2482
"SP5448_RS03605",5039,5595,15066,6030,8308
"SP5448_RS03610",10,11,6,24,0
"SP5448_RS03615",14303,14063,18515,17947,12487
"SP5448_RS03620",3843,6267,7395,6457,6537
"SP5448_RS03625",18683,26765,36072,27743,32966
"SP5448_RS03630",1498,2447,2722,2232,2470
"SP5448_RS03635",1732,3435,4833,3593,4424
"SP5448_RS03640",585,930,1218,970,995
"SP5448_RS03650",2056,2471,3878,2958,3065
"SP5448_RS03655",5092,6325,9934,7451,7749
"SP5448_RS03660",11915,16019,22110,17457,17795
"SP5448_RS03665",5246,8064,10381,8544,9374
"SP5448_RS03670",17020,21867,31490,23699,22581
"SP5448_RS03675",60814,85914,105591,88732,91963
"SP5448_RS03680",3166,5756,5887,6487,5532
"SP5448_RS03685",289,471,625,490,563
"SP5448_RS03690",1724,2322,3217,2740,2810
"SP5448_RS03695",1885,2435,3477,2777,2554
"SP5448_RS03700",44,52,82,64,24
"SP5448_RS03705",166,174,278,239,217
"SP5448_RS03710",1651,2253,2716,2696,2731
"SP5448_RS03715",15817,29259,31736,25517,28186
"SP5448_RS03720",753,1156,1213,1115,1012
"SP5448_RS03725",805,1118,1164,1168,1035
"SP5448_RS03730",1596,2278,2344,2142,2021
"SP5448_RS03735",4438,8466,10451,8297,8831
"SP5448_RS03740",4430,6758,8774,6854,6800
"SP5448_RS03745",5051,3037,3653,6254,2760
"SP5448_RS03750",8091,4898,6355,7284,4268
"SP5448_RS03755",2529,2099,2219,3112,1760
"SP5448_RS03760",6147,6704,9396,7847,6520
"SP5448_RS03765",1165,1136,1201,1609,1051
"SP5448_RS03770",1239,2711,4416,2975,2820
"SP5448_RS03775",9050,14146,21614,15111,15403
"SP5448_RS03780",21279,32896,40742,34090,36586
"SP5448_RS03785",332,449,711,332,409
"SP5448_RS03790",579,832,1215,698,772
"SP5448_RS03795",629,945,1297,854,736
"SP5448_RS03820",976,1853,2398,1881,2311
"SP5448_RS03825",16921,28130,36434,29499,24899
"SP5448_RS03830",47856,74103,89687,82176,70363
"SP5448_RS03835",3693,3829,7483,5334,3150
"SP5448_RS03840",14477,25695,36581,24226,28358
"SP5448_RS03845",86446,106814,144226,114517,131401
"SP5448_RS03850",38652,62882,69038,58490,68253
"SP5448_RS03855",6297,8554,12714,9898,9579
"SP5448_RS03860",3797,6481,7159,5961,7038
"SP5448_RS03865",1688,2238,4381,2712,2440
"SP5448_RS03870",143,175,250,180,193
"SP5448_RS03875",399,1092,1193,979,849
"SP5448_RS03880",3137,4509,5924,4673,4792
"SP5448_RS03885",10081,13911,17160,14049,14776
"SP5448_RS09295",775,1531,1862,1497,1670
"SP5448_RS03890",3927,6266,7628,6450,6200
"SP5448_RS03895",421,567,575,659,505
"SP5448_RS03900",7995,11553,16607,12397,12390
"SP5448_RS03905",7126,10725,17396,11951,11933
"SP5448_RS03910",10960,15943,12420,16052,16119
"SP5448_RS03915",1724,2694,3469,2829,2192
"SP5448_RS03920",5618,6956,7523,8047,7339
"SP5448_RS03925",11043,11731,14933,13939,12994
"SP5448_RS03930",7395,11325,13793,11555,11848
"SP5448_RS03935",4001,4614,4956,5095,4660
"SP5448_RS03940",1006,1254,1499,1596,1501
"SP5448_RS03945",7214,7847,10949,9313,8138
"SP5448_RS03950",4218,5897,6875,6080,6184
"SP5448_RS03960",2712,2706,4079,2882,2956
"SP5448_RS03965",8375,13881,17544,15237,15017
"SP5448_RS03970",409,926,895,818,629
"SP5448_RS03975",200,579,222,405,643
"SP5448_RS03980",1369,1737,3233,2064,2041
"SP5448_RS03985",130,118,235,179,211
"SP5448_RS09300",153,293,590,276,237
"SP5448_RS03995",5984,8081,11119,9098,9827
"SP5448_RS04000",339,573,664,561,465
"SP5448_RS04005",331,959,1392,1131,927
"SP5448_RS04010",106,148,170,209,183
"SP5448_RS04015",147,164,128,109,108
"SP5448_RS04020",117,225,265,252,239
"SP5448_RS04025",37,66,52,30,39
"SP5448_RS04030",52,35,26,50,38
"SP5448_RS04035",41,45,62,40,67
"SP5448_RS04040",83,166,240,202,230
"SP5448_RS09725",21,36,56,21,4
"SP5448_RS04045",23158,32745,39541,31268,39321
"SP5448_RS04050",43358,73294,85856,70110,80990
"SP5448_RS04055",9076,14830,17865,13905,16282
"SP5448_RS04060",467,1493,2002,1350,1460
"SP5448_RS04065",14287,27358,34842,26061,30732
"SP5448_RS04070",12662,24612,31270,23287,27260
"SP5448_RS04075",3077,5554,7312,4855,5866
"SP5448_RS04080",14237,22369,29661,20785,23806
"SP5448_RS04085",13974,22860,32466,21697,24724
"SP5448_RS04095",1358,4662,2098,2525,5218
"SP5448_RS04100",1664,3934,2825,2773,4682
"SP5448_RS04105",3012,5837,5323,5052,6539
"SP5448_RS04110",1831,3580,4078,2996,3976
"SP5448_RS04115",1310,2644,2765,2231,2356
"SP5448_RS04120",1648,2779,2957,2566,3038
"SP5448_RS04125",624,954,1302,677,680
"SP5448_RS04130",426,1350,1344,766,1047
"SP5448_RS04135",845,2029,2145,1114,1920
"SP5448_RS04140",2168,5235,4641,3104,5342
"SP5448_RS04145",845,1637,1610,1653,1856
"SP5448_RS04150",458,924,1004,656,838
"SP5448_RS04155",1434,2006,2368,1479,1896
"SP5448_RS04160",536,694,1200,732,762
"SP5448_RS04165",395,353,392,333,151
"SP5448_RS04170",1436,1928,2284,1913,2055
"SP5448_RS04175",1178,1685,1573,1546,1667
"SP5448_RS09305",28,48,78,48,118
"SP5448_RS04180",233,665,695,645,737
"SP5448_RS04185",42,278,265,133,340
"SP5448_RS04190",1304,3151,3219,2624,3075
"SP5448_RS04195",9,94,101,38,74
"SP5448_RS04200",796,1500,1549,1063,1708
"SP5448_RS04205",44,10,29,43,53
"SP5448_RS04210",135,333,356,250,427
"SP5448_RS04215",213,360,318,375,471
"SP5448_RS04220",41,138,160,92,320
"SP5448_RS04225",32,47,44,57,33
"SP5448_RS04230",72,123,99,85,109
"SP5448_RS04235",46,256,243,127,275
"SP5448_RS04240",186,210,197,129,381
"SP5448_RS04245",14,64,70,81,124
"SP5448_RS04250",67,142,154,138,227
"SP5448_RS04255",31,135,66,77,163
"SP5448_RS04265",31,126,122,73,211
"SP5448_RS09730",0,36,11,49,33
"SP5448_RS04270",90,126,113,85,103
"SP5448_RS04275",65,209,183,119,182
"SP5448_RS04280",26,92,25,38,32
"SP5448_RS04285",71,190,142,81,132
"SP5448_RS04290",148,186,178,170,244
"SP5448_RS04295",0,15,0,14,16
"SP5448_RS04300",21,51,29,14,42
"SP5448_RS04305",26,30,19,35,53
"SP5448_RS04310",32,21,0,3,17
"SP5448_RS04315",10,5,15,9,9
"SP5448_RS04320",21,9,0,8,27
"SP5448_RS04325",14,53,9,31,20
"SP5448_RS04330",0,2,27,8,40
"SP5448_RS04335",0,27,0,9,0
"SP5448_RS04340",0,10,0,0,0
"SP5448_RS04345",20,11,10,3,5
"SP5448_RS04350",0,39,24,9,15
"SP5448_RS04355",11,44,13,4,23
"SP5448_RS04360",0,0,0,0,4
"SP5448_RS04365",0,17,5,0,5
"SP5448_RS04370",35,58,18,26,32
"SP5448_RS04375",31,18,14,44,55
"SP5448_RS04380",64,88,74,33,100
"SP5448_RS04385",0,127,54,34,98
"SP5448_RS04390",19,26,26,6,8
"SP5448_RS04400",0,22,0,6,13
"SP5448_RS04405",15,18,9,22,9
"SP5448_RS04410",0,38,47,22,18
"SP5448_RS04415",0,23,0,5,0
"SP5448_RS04420",0,21,0,5,13
"SP5448_RS04425",8,0,9,0,8
"SP5448_RS04430",17,21,11,2,38
"SP5448_RS04435",870,1179,1908,492,326
"SP5448_RS04440",3,5,34,1,0
"SP5448_RS09315",135293,166160,212413,184953,225488
"SP5448_RS04445",2268,3556,6313,3944,3447
"SP5448_RS04450",2163,5194,7267,5489,6474
"SP5448_RS04455",2022,4050,4987,3611,4280
"SP5448_RS04460",1619,2255,3124,2164,2698
"SP5448_RS04465",10313,14705,17972,14763,16105
"SP5448_RS04470",49202,68296,83468,70854,80451
"SP5448_RS04475",97801,140236,164320,140712,173080
"SP5448_RS04480",2959,4033,5861,5207,4252
"SP5448_RS04485",20423,19960,30653,27089,25094
"SP5448_RS04490",3178,3316,5998,4676,3578
"SP5448_RS04495",4746,6919,10224,9009,7059
"SP5448_RS04500",4802,4952,6889,6717,6211
"SP5448_RS04505",6598,8152,12039,10978,9373
"SP5448_RS04510",2872,4500,3277,5477,4288
"SP5448_RS04515",3202,4884,6745,5133,5110
"SP5448_RS04520",2030,2208,3412,2841,1943
"SP5448_RS04525",7833,11421,15690,10962,12595
"SP5448_RS04530",14486,24456,23230,19216,26408
"SP5448_RS04535",26531,55447,55082,45511,57923
"SP5448_RS04540",2079,6478,5906,5014,6490
"SP5448_RS04545",16752,35776,33799,27501,36253
"SP5448_RS04550",10078,15476,15265,12512,16593
"SP5448_RS04555",25225,46136,43680,34278,49340
"SP5448_RS04560",5723,8921,11626,7956,9998
"SP5448_RS04565",50,114,183,155,72
"SP5448_RS04570",325,404,531,355,361
"SP5448_RS04575",1295,2152,2602,2040,2033
"SP5448_RS04580",901,995,1268,981,794
"SP5448_RS04585",1175,1480,2109,1765,1179
"SP5448_RS04590",2191,3313,3872,3320,3037
"SP5448_RS04595",5064,6758,8387,7262,7316
"SP5448_RS04600",2967,6079,6814,5776,6259
"SP5448_RS04605",2171,4454,6700,4388,4622
"SP5448_RS04610",634,797,1078,973,748
"SP5448_RS04615",3794,5931,7095,6245,7123
"SP5448_RS04620",4621,6950,8771,6674,7522
"SP5448_RS04625",9778,15003,17208,14776,15504
"SP5448_RS04630",11805,17181,19417,17198,17623
"SP5448_RS04635",10431,17525,19156,17106,18210
"SP5448_RS04640",10145,16953,17368,16428,18256
"SP5448_RS04645",11221,14806,15576,14554,15406
"SP5448_RS04650",9781,15455,15322,14727,15777
"SP5448_RS04655",36068,61205,70653,58871,64611
"SP5448_RS04660",1922,3046,3670,3193,3154
"SP5448_RS04665",2004,3809,4306,4063,3977
"SP5448_RS04670",2292,3626,7247,3657,4885
"SP5448_RS04675",262,575,725,385,467
"SP5448_RS04680",981,1902,2542,1904,1660
"SP5448_RS04685",3514,6127,9508,6732,6213
"SP5448_RS04690",11095,16589,26864,17213,18502
"SP5448_RS04695",6990,10130,16096,9765,11012
"SP5448_RS04700",5279,9286,13466,8884,11168
"SP5448_RS04705",5103,9056,12763,8619,10896
"SP5448_RS04710",8972,15768,16853,13835,17322
"SP5448_RS04715",1223,3286,3833,3063,3143
"SP5448_RS04720",1495,3200,3478,2936,3418
"SP5448_RS04725",1353,2353,2949,2589,2420
"SP5448_RS04730",3177,6041,6676,5494,7057
"SP5448_RS04735",6195,10317,10343,9557,11379
"SP5448_RS04740",3771,7300,7553,6668,8153
"SP5448_RS04745",2058,3698,3294,2987,3681
"SP5448_RS04750",4054,8098,6955,6693,8232
"SP5448_RS04755",3303,6049,5830,4973,6547
"SP5448_RS04760",4300,8011,7222,6392,8418
"SP5448_RS04765",12423,20614,20470,17619,20771
"SP5448_RS04770",10191,19794,22521,18407,20525
"SP5448_RS04775",1957,2942,4473,3144,2686
"SP5448_RS04780",233,429,953,582,615
"SP5448_RS04785",362,423,791,524,495
"SP5448_RS04790",87,229,379,205,174
"SP5448_RS04795",1443,2041,3774,2325,2432
"SP5448_RS04800",284,355,710,427,380
"SP5448_RS04805",30641,39043,52073,39696,43431
"SP5448_RS04810",730,1072,2074,1357,1307
"SP5448_RS04815",3676,4036,6433,4866,4064
"SP5448_RS04820",845,1098,2488,1417,1297
"SP5448_RS04825",13226,15788,23273,17056,17382
"SP5448_RS04830",392,391,674,721,496
"SP5448_RS04835",2341,2147,2379,3267,1220
"SP5448_RS04840",2466,3200,4170,3935,2528
"SP5448_RS04845",6646,7676,8846,9734,7310
"SP5448_RS04850",446,922,916,831,841
"SP5448_RS04855",174,275,357,363,485
"SP5448_RS04860",374,877,827,593,1069
"SP5448_RS04865",189,504,350,287,592
"SP5448_RS04870",28,217,79,119,160
"SP5448_RS04880",152,643,189,383,639
"SP5448_RS04885",114,260,120,186,334
"SP5448_RS04890",70,193,116,142,151
"SP5448_RS04895",563,341,163,720,275
"SP5448_RS04900",708,1200,1587,1150,1122
"SP5448_RS04905",1190,1585,2048,1720,1547
"SP5448_RS04910",428,977,902,622,1022
"SP5448_RS04915",156,245,275,166,320
"SP5448_RS04920",95,191,162,142,178
"SP5448_RS04925",483,806,1078,788,1042
"SP5448_RS04930",4253,7626,11271,7957,8473
"SP5448_RS04935",373,494,830,531,595
"SP5448_RS04940",201,337,440,298,307
"SP5448_RS04945",259,101,160,169,119
"SP5448_RS04960",7495,12855,14489,12912,12808
"SP5448_RS04965",568,439,404,540,231
"SP5448_RS04970",3399,3957,5414,4228,3703
"SP5448_RS04975",4338,4043,5493,4693,4099
"SP5448_RS04980",1706,1637,1599,1638,1728
"SP5448_RS04985",1896,3134,2926,3235,2772
"SP5448_RS04990",3825,6240,6008,5862,6065
"SP5448_RS04995",16274,24498,28081,21098,22731
"SP5448_RS05000",830,1219,1557,1352,1330
"SP5448_RS05005",3936,7184,8678,7304,7942
"SP5448_RS05010",28262,37520,45915,40436,42811
"SP5448_RS05015",29219,49881,63939,47678,57989
"SP5448_RS05020",34155,48208,51657,43558,55091
"SP5448_RS05025",7230,12519,14416,12125,14631
"SP5448_RS05030",11622,16820,19783,17990,20862
"SP5448_RS05035",4456,7181,8363,7685,8360
"SP5448_RS05040",6949,10308,12052,10660,11704
"SP5448_RS05045",11996,15861,16949,16061,18225
"SP5448_RS05050",2834,5574,5976,5749,6716
"SP5448_RS05055",4655,7363,7758,7347,8559
"SP5448_RS05060",5731,8053,9871,8542,9177
"SP5448_RS05065",5341,7547,10622,8323,8942
"SP5448_RS05070",2158,2773,4575,3265,3067
"SP5448_RS05075",436,808,1081,778,817
"SP5448_RS05080",1685,2466,3470,2624,2894
"SP5448_RS05085",6369,9388,13381,11969,10411
"SP5448_RS05090",3850,3841,6190,4913,4088
"SP5448_RS05095",543,998,637,847,748
"SP5448_RS05100",5272,9293,10010,9598,9639
"SP5448_RS05105",2888,3909,4718,4276,5065
"SP5448_RS05110",1452,3229,5942,3788,3158
"SP5448_RS05120",15174,32777,27860,28655,40045
"SP5448_RS05125",2977,4154,5922,4449,4858
"SP5448_RS05130",4190,5613,7756,5985,6067
"SP5448_RS05135",3700,4869,7342,4956,5655
"SP5448_RS05140",424,822,1091,870,925
"SP5448_RS05145",10096,16218,19114,16292,17416
"SP5448_RS05150",11464,17538,21015,17113,18117
"SP5448_RS05155",1690,4131,5004,4245,4387
"SP5448_RS05160",7867,11519,14618,11887,13844
"SP5448_RS05165",2222,3159,5419,3789,3802
"SP5448_RS05170",12,29,20,33,41
"SP5448_RS05175",4412,7981,12079,8094,8407
"SP5448_RS05180",1548,2626,3804,2762,2910
"SP5448_RS05185",3306,5993,8504,6351,6764
"SP5448_RS05190",301,552,565,551,564
"SP5448_RS05195",227,491,322,243,421
"SP5448_RS05200",146,356,309,276,322
"SP5448_RS05205",289,435,557,362,427
"SP5448_RS05210",603,850,1075,812,742
"SP5448_RS05215",120,278,280,297,429
"SP5448_RS05220",5043,7520,9741,7618,8238
"SP5448_RS05225",2706,5094,6393,4801,5429
"SP5448_RS05230",2892,5502,6999,5298,5908
"SP5448_RS05235",5822,9260,11133,8682,9856
"SP5448_RS05240",3766,5330,6890,5222,6180
"SP5448_RS05245",4776,7902,9092,6889,8171
"SP5448_RS05250",2086,4216,4364,3735,3598
"SP5448_RS05255",9849,16112,17025,14276,14219
"SP5448_RS05260",4283,7919,8572,7207,7140
"SP5448_RS05265",30209,43705,57213,40785,47118
"SP5448_RS05270",1807,3503,3570,3166,3893
"SP5448_RS05275",3114,4139,6669,4752,4536
"SP5448_RS09635",0,19,1,28,29
"SP5448_RS05305",28,117,56,74,146
"SP5448_RS05310",133,168,152,187,256
"SP5448_RS05315",70,123,209,128,206
"SP5448_RS05320",88,221,290,152,175
"SP5448_RS05325",66,212,222,121,163
"SP5448_RS05330",63,97,248,108,116
"SP5448_RS05335",714,1495,2511,1548,1390
"SP5448_RS05340",308,723,1095,843,843
"SP5448_RS05345",13,18,5,3,8
"SP5448_RS05365",40992,62200,83452,61459,63532
"SP5448_RS05370",35975,62068,86901,62783,66024
"SP5448_RS05375",3557,5704,7620,7026,6799
"SP5448_RS05380",14294,19649,23931,18978,21558
"SP5448_RS05385",5128,8201,10398,8114,8959
"SP5448_RS05390",6165,10047,11968,9329,9761
"SP5448_RS05395",3289,5183,5334,4992,5835
"SP5448_RS05400",1425,1747,1974,1916,2141
"SP5448_RS05405",933,1406,1906,1564,1528
"SP5448_RS05415",1218,2016,2699,2259,2670
"SP5448_RS05420",533,948,1147,1022,1141
"SP5448_RS05425",1447,2422,2530,2355,2515
"SP5448_RS05430",2228,8991,4854,4047,10602
"SP5448_RS05435",3675,14283,4919,6009,17587
"SP5448_RS05440",3789,14494,5121,6973,18467
"SP5448_RS05445",3288,12100,4938,6640,14484
"SP5448_RS05450",9170,10932,9926,12859,10578
"SP5448_RS05455",2401,2237,1916,3115,2025
"SP5448_RS05460",26352,23888,27085,32086,24286
"SP5448_RS05465",18542,22984,28424,24249,23674
"SP5448_RS05480",337,604,771,764,785
"SP5448_RS05485",330,496,710,522,375
"SP5448_RS05490",791,1214,1334,1085,1213
"SP5448_RS05495",2145,2781,3640,3371,2950
"SP5448_RS05500",2007,4182,4064,3899,4348
"SP5448_RS05505",4223,6626,7586,6710,7192
"SP5448_RS05510",2941,5706,6115,5359,5826
"SP5448_RS05515",6901,8678,11073,9171,9488
"SP5448_RS05520",688,988,1131,1064,1116
"SP5448_RS05525",15838,27530,30562,26115,29888
"SP5448_RS05530",3012,5473,6350,5335,6080
"SP5448_RS05535",1711,2631,3188,2475,2658
"SP5448_RS05540",6548,8441,9692,10128,8959
"SP5448_RS05545",3044,4863,5079,4933,4843
"SP5448_RS05550",2650,4328,6134,4400,5032
"SP5448_RS05555",3551,5945,7207,7172,7120
"SP5448_RS09640",12,52,41,53,80
"SP5448_RS05560",45203,86158,89125,76478,91363
"SP5448_RS05570",38087,74607,78373,65322,82486
"SP5448_RS05575",22330,46078,51571,41980,50251
"SP5448_RS05580",21534,37580,43657,32920,38079
"SP5448_RS05585",9594,12144,17597,12002,13358
"SP5448_RS05590",1501,2167,3529,2209,2286
"SP5448_RS05595",4769,7030,10168,7474,8015
"SP5448_RS05600",20779,28049,34550,27587,29588
"SP5448_RS05605",812,1450,1715,1299,887
"SP5448_RS05610",700,1551,1644,1160,752
"SP5448_RS05620",760,1363,1541,1254,805
"SP5448_RS05625",3756,5146,6983,5689,5790
"SP5448_RS05630",5522,7509,9690,7123,8380
"SP5448_RS05635",3402,6078,8100,5049,6351
"SP5448_RS05640",1462,2081,2881,1973,2368
"SP5448_RS05645",17044,28010,33051,26659,30275
"SP5448_RS05650",9474,14829,16124,14517,16503
"SP5448_RS05655",15242,22169,25537,22051,24790
"SP5448_RS05660",3296,4926,7066,5145,5725
"SP5448_RS05665",2726,4067,5673,4259,4279
"SP5448_RS05670",2503,3380,4606,3376,3698
"SP5448_RS05675",6341,7613,12396,8735,9095
"SP5448_RS05680",6896,10681,16005,11589,11966
"SP5448_RS05685",9372,11744,18335,13304,13176
"SP5448_RS05690",9551,12635,16120,13289,13426
"SP5448_RS05695",4839,6628,8618,6864,7438
"SP5448_RS05700",5432,6523,9279,7303,7705
"SP5448_RS05705",3102,4135,6113,4451,4781
"SP5448_RS05710",5060,6609,9255,7586,7713
"SP5448_RS05715",1580,1536,2002,1893,2058
"SP5448_RS09380",460,1225,1380,951,1033
"SP5448_RS05720",2470,3453,4941,4104,3883
"SP5448_RS05725",1118,1489,1182,1644,1312
"SP5448_RS05730",7802,9589,13182,9386,9482
"SP5448_RS05735",951,2345,3152,2322,2440
"SP5448_RS05740",21,15,52,39,20
"SP5448_RS05745",119037,143396,222866,156935,173686
"SP5448_RS05750",900,830,2481,1169,796
"SP5448_RS05755",139,222,376,153,105
"SP5448_RS05760",914,967,2707,1065,1117
"SP5448_RS05765",4075,7033,10027,7358,8117
"SP5448_RS05770",20245,32470,38429,30894,34044
"SP5448_RS05775",15119,22149,28363,22811,24356
"SP5448_RS05780",951,2533,3575,2740,2539
"SP5448_RS05785",3012,5195,5667,5348,5401
"SP5448_RS05790",1441,2350,2686,2337,1957
"SP5448_RS05795",3785,7113,7944,5615,5724
"SP5448_RS05800",4553,7377,9302,6800,6629
"SP5448_RS05805",2235,3776,3930,3768,3871
"SP5448_RS05810",731,912,981,956,795
"SP5448_RS05815",616,876,738,803,756
"SP5448_RS05820",3225,3379,5947,3454,3573
"SP5448_RS05825",2072,3354,3570,3398,3370
"SP5448_RS05830",2469,4613,5151,3779,4661
"SP5448_RS05835",6560,12095,12594,10424,14230
"SP5448_RS05840",10749,18441,17452,14876,19819
"SP5448_RS05845",5993,10428,11012,9057,11598
"SP5448_RS05850",16029,27029,27771,24403,31197
