"gene_id","Input.1","Input.2","Input.3","X5.Hr.1","X5.Hr.2","X5.Hr.3","X24.Hr.1","X24.Hr.2","X24.Hr.3"
"SPY49_RS05335",4756,5876,5075,116,175,73,12,18,24
"SPY49_RS05340",337,276,181,9,37,14,4,8,3
"aroA",1306,587,383,38,150,32,5,6,11
"SPY49_RS05350",6201,8335,6353,115,245,63,18,14,22
"SPY49_RS05355",9627,9409,5980,152,323,104,17,26,31
"spxR",4231,3151,2322,130,302,99,21,24,18
"SPY49_RS05365",1694,2776,2257,65,113,37,2,5,3
"SPY49_RS05370",2824,8708,9771,54,124,32,12,12,17
"SPY49_RS05375",6965,7901,4513,156,268,87,19,23,34
"SPY49_RS05380",6389,4386,3710,63,126,69,7,8,20
"SPY49_RS05385",287,102,66,16,55,21,0,1,7
"birA",5403,3993,3755,38,68,31,4,1,7
"SPY49_RS09285",1097,3254,2443,14,41,19,2,2,5
"dnaX",9084,8513,8467,170,245,100,15,12,23
"SPY49_RS05400",3532,4662,5172,29,62,28,6,7,9
"SPY49_RS05405",1195,1362,971,8,36,7,1,3,3
"SPY49_RS05410",61,105,80,0,0,3,0,0,0
"udk",2818,12718,9596,20,64,22,2,1,7
"SPY49_RS05420",8854,3154,2305,100,186,79,7,6,16
"SPY49_RS05425",4015,3679,2239,65,103,40,6,2,18
"SPY49_RS05430",44519,36302,20947,336,625,235,76,47,82
"ptsP",36603,75626,44745,674,1632,414,110,95,156
"SPY49_RS05440",25178,65904,68095,276,513,191,45,51,74
"SPY49_RS05445",2664,3318,2662,33,32,23,5,2,5
"nrdE_2",20406,23050,16988,298,500,183,21,33,38
"nrdF_2",8733,13630,9272,120,240,81,11,13,18
"SPY49_RS05460",2482,1606,1151,51,114,45,10,4,1
"SPY49_RS09525",323,432,395,3,7,0,0,1,0
"SPY49_RS05485",226,316,309,61,70,30,7,0,7
"SPY49_RS05490",220,317,350,71,118,34,12,9,16
"SPY49_RS05495",138,210,226,41,59,19,2,8,11
"alaS",8541,7216,5542,150,348,141,20,23,33
"prsA_1",11723,23004,26070,89,178,67,18,5,19
"SPY49_RS05510",2016,2339,2776,24,35,19,1,2,2
"SPY49_RS05515",4792,4368,4023,28,86,46,18,5,14
"pepF_2",2996,4889,4244,69,161,44,5,9,30
"SPY49_RS05525",167,135,103,8,20,2,1,0,1
"SPY49_RS05530",727,754,647,35,51,6,3,7,7
"nagB",191,415,395,12,35,7,3,0,3
"queA",4291,1260,1051,24,66,19,13,1,8
"SPY49_RS05545",4620,4254,4381,56,81,42,7,5,13
"SPY49_RS05550",57,123,147,4,3,0,5,0,0
"SPY49_RS05555",32,44,66,0,0,0,0,0,1
"SPY49_RS05560",24,95,92,1,0,1,1,1,0
"SPY49_RS05565",29662,76459,102520,487,693,342,56,48,114
"SPY49_RS05570",2278,2260,2377,19,41,13,2,4,3
"SPY49_RS05575",55,23,20,4,3,0,0,0,0
"SPY49_RS05580",15,8,8,1,0,1,0,0,0
"SPY49_RS05585",2835,2826,1775,34,92,29,3,7,14
"SPY49_RS05590",1709,901,644,21,50,9,4,3,4
"SPY49_RS05595",304,259,267,4,9,1,0,0,3
"SPY49_RS05600",4387,4596,4084,41,80,28,5,4,3
"SPY49_RS05605",27530,23498,15591,273,528,227,36,35,67
"SPY49_RS05610",6160,3081,1907,216,501,167,18,35,28
"SPY49_RS05615",2256,3681,4010,26,50,16,3,4,18
"SPY49_RS05620",7359,3296,2375,73,165,57,11,7,18
"SPY49_RS05625",5230,4531,3061,75,129,45,13,11,18
"recR",1441,1557,1290,17,31,5,2,0,4
"SPY49_RS05640",433,721,790,7,22,4,1,6,1
"SPY49_RS05645",1870,5302,6989,76,170,51,6,8,23
"SPY49_RS05650",1200,1515,1977,30,39,25,3,6,11
"SPY49_RS05655",23877,23939,26407,460,621,403,81,55,127
"SPY49_RS05660",4290,3611,2458,20,88,22,3,3,7
"cadA",8540,8942,7769,54,104,46,15,12,17
"SPY49_RS05670",10273,70200,51225,140,253,117,18,15,47
"SPY49_RS05675",3915,4723,5646,61,81,32,3,3,6
"SPY49_RS05680",6198,5385,6284,85,158,41,11,9,11
"SPY49_RS05685",5432,2343,1780,66,130,42,5,6,5
"SPY49_RS05690",6215,5347,5150,88,213,77,12,18,22
"recN",9595,3203,2320,134,287,87,21,16,28
"SPY49_RS05700",1975,501,347,27,52,25,1,0,1
"SPY49_RS05705",4510,1223,848,64,128,66,13,11,14
"SPY49_RS05710",3575,1534,1240,51,103,40,8,3,13
"SPY49_RS05715",766,269,251,19,29,8,1,1,0
"SPY49_RS05720",4429,3607,3372,61,140,54,9,9,18
"SPY49_RS05725",2601,2126,3426,12,48,11,2,0,1
"SPY49_RS05730",23021,33954,23500,264,720,239,21,22,72
"SPY49_RS05735",1704,2321,2526,28,51,9,1,3,4
"SPY49_RS05740",312,807,562,39,118,10,3,6,2
"SPY49_RS05745",397,523,333,29,106,9,5,4,7
"SPY49_RS05750",1606,8089,6214,7,22,13,0,3,2
"SPY49_RS05755",36550,6666,5337,874,2134,586,87,106,114
"SPY49_RS05760",2015,1255,2352,49,109,19,12,11,5
"SPY49_RS05765",5475,12043,8503,30,71,25,6,1,8
"SPY49_RS05770",11379,6862,5705,224,513,195,51,27,64
"SPY49_RS05775",22377,17273,20183,300,435,184,35,25,68
"SPY49_RS05780",17767,9555,8844,256,414,190,27,29,68
"SPY49_RS05785",4750,2159,1540,56,101,40,6,7,9
"SPY49_RS05790",23486,9611,8800,302,586,199,23,27,45
"SPY49_RS05795",19501,7049,6051,283,536,232,44,22,55
"ftsZ",36776,9277,8007,600,1091,411,88,62,99
"ftsA",32323,11350,8862,509,889,411,54,47,75
"SPY49_RS05810",8669,4876,4629,126,259,90,20,7,18
"SPY49_RS05815",6619,1846,1284,93,193,90,11,14,18
"SPY49_RS05820",8264,3746,3338,109,238,112,18,12,10
"SPY49_RS05825",1098,1166,707,35,52,21,2,4,9
"typA",32048,23582,17183,240,405,182,25,21,53
"SPY49_RS05835",1489,1270,1020,43,79,34,10,4,6
"SPY49_RS05840",2973,2192,1949,122,205,92,16,7,20
"SPY49_RS05845",277,134,94,15,24,9,1,0,1
"SPY49_RS05850",39852,25296,13386,943,1052,851,142,96,212
"SPY49_RS05855",15,36,20,0,3,0,0,0,0
"rlmN",4280,8689,8340,49,139,33,6,6,14
"SPY49_RS05865",3333,7110,6168,38,94,28,7,8,4
"SPY49_RS05870",1703,587,593,28,68,22,2,3,1
"SPY49_RS05875",6940,7191,4855,76,187,62,4,7,18
"coaD",1712,1392,1012,20,40,11,1,1,4
"rsmD",2415,1962,1210,47,78,29,4,6,8
"SPY49_RS05890",1261,2903,3150,17,62,10,1,3,9
"arcC",12618,3377,2210,91,149,76,22,12,35
"SPY49_RS05900",17174,1427,876,108,174,127,18,11,32
"SPY49_RS05905",35486,1973,1338,130,201,162,30,12,53
"argF",108505,7406,4834,266,336,249,51,40,90
"SPY49_RS05915",74989,7007,4064,154,230,179,30,30,32
"arcA",126305,18380,9794,289,362,315,46,35,118
"SPY49_RS05925",969,963,1005,37,44,9,1,6,5
"SPY49_RS05930",1502,1157,944,14,32,9,4,2,3
"SPY49_RS05935",5133,18497,20147,50,76,32,7,2,3
"SPY49_RS05940",970,399,377,34,105,23,6,5,16
"SPY49_RS05945",1376,472,402,54,114,35,13,10,18
"SPY49_RS05950",496,231,236,12,43,15,0,1,2
"msrB_2",41,13,21,26,78,34,18,4,16
"SPY49_RS05960",14,4,2,6,23,11,3,3,11
"ccdA2",18,7,3,9,27,7,3,0,4
"cas2_2",66,77,74,1,7,5,0,0,0
"cas1c",228,110,72,7,15,0,1,1,1
"cas4",128,62,27,3,7,1,1,1,4
"cas7c",160,67,53,6,5,2,1,0,1
"cas8c",264,166,168,7,8,6,1,0,3
"cas5c",75,51,51,0,4,0,0,0,0
"SPY49_RS06000",140,93,114,4,5,1,0,0,1
"SPY49_RS06005",5713,2761,2200,101,201,111,21,11,24
"SPY49_RS06010",962,964,955,10,26,15,1,0,1
"SPY49_RS09530",732,1508,1488,7,17,16,0,1,1
"SPY49_RS06020",1159,3635,3217,15,23,7,0,2,5
"SPY49_RS06025",770,1992,1573,12,18,6,1,0,1
"SPY49_RS06030",1,5,0,0,0,1,0,0,0
"SPY49_RS06035",1306,1573,1108,24,44,19,2,4,6
"SPY49_RS06040",2330,2794,1545,52,125,51,5,9,9
"SPY49_RS06045",1077,2611,2857,11,30,10,0,0,2
"SPY49_RS06050",1412,3296,3905,17,27,19,7,1,3
"SPY49_RS06055",2490,1868,1425,24,97,30,10,4,10
"SPY49_RS06060",975,365,228,28,57,16,3,5,6
"SPY49_RS06065",2018,698,629,64,190,67,10,5,6
"SPY49_RS06070",713,334,255,20,50,14,1,2,3
"SPY49_RS06075",883,479,366,22,70,15,4,2,0
"SPY49_RS06080",209,254,270,9,16,4,0,0,0
"SPY49_RS06085",474,63,53,19,56,18,4,4,11
"SPY49_RS06090",174,23,17,10,16,10,1,1,3
"SPY49_RS06095",178,66,30,8,25,4,0,1,1
"SPY49_RS06100",78,25,9,1,5,1,0,0,0
"SPY49_RS06105",2516,255,170,74,204,34,9,7,14
"SPY49_RS06110",2658,184,177,76,155,46,6,11,4
"SPY49_RS06115",1063,285,192,19,52,14,0,4,6
"SPY49_RS06120",446,138,51,12,34,6,0,2,3
"SPY49_RS06125",1865,225,199,34,130,32,8,3,5
"rocA",2818,4966,5169,39,87,31,13,4,9
"rlmD_2",2620,990,905,23,58,17,3,4,1
"recX",1592,940,1355,12,17,6,1,1,2
"SPY49_RS06145",6668,19736,17346,146,221,100,10,13,26
"SPY49_RS09535",60,71,122,3,14,1,1,1,0
"SPY49_RS06150",6,9,15,0,0,0,0,0,0
"SPY49_RS06155",22,75,54,0,0,0,0,0,0
"SPY49_RS06160",47,68,79,0,0,0,0,0,0
"SPY49_RS06165",7,13,26,0,0,0,1,0,0
"SPY49_RS06170",1,1,0,0,0,0,0,0,0
"SPY49_RS06175",0,0,0,0,0,0,0,0,0
"rrf_5",0,0,0,0,17,0,0,3,0
"SPY49_RS06185",184,49,35,13,72,0,0,0,738
"SPY49_RS06190",0,0,0,0,0,0,0,0,0
"SPY49_RS06195",135930,24379,10352,808,1,1630,480,40,151
"raiA",38276,125046,74678,291,595,249,46,46,108
"SPY49_RS06205",33,77,80,1,5,0,0,0,0
"SPY49_RS06210",98,63,69,5,21,7,1,2,2
"SPY49_RS06215",2038,3763,3660,33,69,38,4,1,11
"cysK",2403,12355,7084,42,97,39,9,9,20
"SPY49_RS06225",4798,2423,1907,61,145,50,17,10,6
"SPY49_RS06230",16482,5516,5428,152,330,156,21,16,31
"SPY49_RS06235",2222,1172,1443,36,89,38,9,4,11
"SPY49_RS06240",2752,3496,3953,34,87,55,6,5,14
"SPY49_RS06245",871,2300,1560,11,29,10,2,1,6
"pknB",43267,15992,16380,597,1266,473,79,78,68
"SPY49_RS06255",11902,3684,3711,212,380,131,18,27,31
"rsmB",10776,3613,3499,203,386,146,18,16,28
"SPY49_RS06265",5327,4754,5461,117,178,55,6,18,14
"SPY49_RS06270",5876,1275,1325,75,103,34,5,6,15
"SPY49_RS06275",3737,5920,5224,45,62,25,5,6,9
"gmk",5871,3859,5992,58,154,37,13,6,20
"SPY49_RS06285",25006,17066,11076,470,894,346,69,53,75
"SPY49_RS06290",1734,978,578,11,23,6,0,0,3
"SPY49_RS06295",1408,612,436,12,35,16,1,1,3
"SPY49_RS06300",800,330,278,3,22,12,1,1,0
"SPY49_RS06305",1159,359,330,13,23,11,0,1,3
"SPY49_RS06310",1010,611,594,9,26,7,1,0,3
"SPY49_RS06315",1711,382,244,25,65,22,1,4,7
"SPY49_RS06320",3388,4636,6945,37,54,10,5,2,10
"SPY49_RS06325",21120,26834,21793,327,496,180,36,38,78
"SPY49_RS06330",12100,5317,4418,136,233,80,11,11,17
"rnpB",188364,711414,587655,2992,3879,2312,776,579,1407
"gpsB",5506,11399,10724,59,71,33,6,11,21
"SPY49_RS06340",540,1191,1239,3,9,2,0,1,1
"recU",11134,9121,11683,137,234,96,26,17,18
"pbp1a",51253,28204,21355,749,1250,548,82,77,117
"pepC",23522,36497,25575,230,452,201,44,20,92
"nadE",4593,2822,2108,66,138,43,9,12,10
"SPY49_RS06365",8338,3488,2268,110,217,84,13,8,30
"SPY49_RS06370",9051,6955,4585,159,320,111,28,30,37
"trxB",3842,2925,2473,90,164,40,15,11,12
"SPY49_RS06380",364,247,170,7,11,4,1,0,1
"SPY49_RS06385",4578,7031,7689,72,173,49,8,7,17
"SPY49_RS06390",6588,8927,8845,73,172,44,4,7,11
"SPY49_RS06395",12296,9023,7160,82,207,72,18,16,24
"SPY49_RS06400",4536,7943,8150,78,138,59,8,6,22
"pbp2x",8830,6094,7451,108,256,92,13,17,25
"ftsL",687,356,392,10,17,4,0,0,1
"rsmH",6716,4876,5780,73,130,49,9,9,12
"SPY49_RS06420",409,301,292,4,10,1,0,0,0
"SPY49_RS06425",2459,1132,1084,13,38,14,2,3,3
"proB",1098,913,729,5,17,15,1,2,2
"SPY49_RS06435",3133,4034,4120,79,205,55,13,16,30
"SPY49_RS06440",1441,2499,2552,32,76,10,5,6,9
"SPY49_RS06445",871,1619,1560,19,52,14,2,4,2
"tkt",26888,23094,18879,265,547,186,38,38,68
"fsa",736,599,379,26,68,26,0,1,2
"SPY49_RS06460",1203,239,161,42,124,35,10,6,11
"SPY49_RS06465",604,193,107,21,73,25,5,4,2
"SPY49_RS06470",170,124,137,19,30,20,0,3,1
"glpO",431,107,71,31,72,46,2,6,4
"glpK",239,134,111,18,30,16,1,7,2
"SPY49_RS06485",27971,70072,57729,1108,1310,868,141,113,164
"SPY49_RS06490",1400,812,721,29,47,18,3,2,6
"SPY49_RS06495",6795,2521,1808,94,242,114,13,11,8
"glyQ",3177,1185,814,24,56,39,9,10,4
"SPY49_RS06505",1107,6900,5168,84,110,60,8,11,14
"SPY49_RS06510",3270,4271,3893,254,285,141,24,25,41
"nagA",4320,3027,2278,56,108,47,11,4,9
"SPY49_RS06520",6036,5873,5341,61,134,35,9,7,19
"SPY49_RS06530",3286,6942,5043,20,24,16,3,2,1
"SPY49_RS06535",1177,2686,3088,17,43,17,6,3,4
"SPY49_RS06540",1764,892,629,22,43,16,6,1,2
"SPY49_RS06545",1571,767,616,26,36,23,0,3,3
"lacD_1",1914,56,37,60,137,25,8,8,17
"SPY49_RS09320",1710,34,28,43,67,17,7,5,3
"lacB_1",1005,13,13,25,36,9,1,1,8
"lacA_1",1492,14,8,19,38,10,2,2,4
"SPY49_RS06570",3995,78,60,85,183,42,10,9,26
"SPY49_RS06575",931,122,141,31,51,8,5,1,7
"SPY49_RS06580",691,418,386,16,25,9,3,0,3
"SPY49_RS06585",767,1956,1577,47,69,23,7,1,9
"SPY49_RS06590",1740,1591,1226,18,23,13,1,1,1
"SPY49_RS06595",23306,7686,7664,368,541,187,44,59,58
"SPY49_RS06600",3431,1305,1384,54,67,15,2,4,11
"SPY49_RS06605",2317,1204,1242,36,34,15,5,4,5
"rbfA",2445,3137,2872,52,113,26,8,8,21
"infB",35702,14783,14074,1165,2279,826,121,159,165
"SPY49_RS06620",2463,722,625,79,133,57,7,12,7
"SPY49_RS06625",1781,598,572,40,75,23,3,2,5
"nusA",13223,6410,7495,395,678,235,30,40,73
"rimP",7151,9169,9569,193,343,122,20,15,24
"SPY49_RS06640",290,411,433,6,5,3,0,0,1
"trmB",5221,6370,5796,96,169,69,14,7,26
"SPY49_RS06650",7357,5603,4937,128,292,112,24,20,34
"SPY49_RS06655",2949,3966,3436,57,93,42,4,2,14
"SPY49_RS06660",2072,3685,3553,45,89,31,4,3,11
"SPY49_RS06665",2772,2400,1294,38,67,25,6,1,7
"SPY49_RS06670",3274,2167,1074,31,53,17,5,6,5
"SPY49_RS06675",10763,20519,23211,296,648,229,44,31,62
"SPY49_RS06680",2919,4515,4936,96,172,61,19,3,21
"tsaE",2819,3410,3781,70,195,69,16,11,21
"SPY49_RS06690",6765,7401,6622,266,518,187,47,28,56
"SPY49_RS06695",7832,4290,3694,79,179,75,11,10,27
"manX",11769,11278,8325,315,855,224,58,46,110
"SPY49_RS06705",10019,6455,3996,327,820,212,67,51,64
"SPY49_RS06710",9314,6367,3738,260,738,246,61,48,63
"SPY49_RS06715",2421,5521,5063,14,31,12,0,4,2
"serS",5393,8694,6536,103,184,63,9,7,21
"SPY49_RS06725",48584,19644,15991,50,28,14,4,6,1
"SPY49_RS06730",50862,9377,7469,36,34,8,3,1,15
"SPY49_RS06735",76651,11430,9741,88,54,28,11,5,5
"fabZ",18433,1895,1897,17,10,4,0,0,1
"SPY49_RS06745",26903,3134,2946,9,10,8,4,4,3
"fabF",50841,6081,5039,34,31,20,3,6,3
"fabG",24108,3379,2889,19,8,5,1,2,2
"fabD",22141,5395,4833,27,8,8,2,5,2
"fabK",25925,6846,5198,21,14,9,4,4,3
"SPY49_RS06770",11277,35407,19558,20,18,18,3,2,4
"SPY49_RS06775",33438,65765,54229,61,39,38,16,7,19
"SPY49_RS06780",19598,46081,34095,39,33,14,3,3,5
"SPY49_RS06785",25900,74822,58835,27,26,13,0,2,6
"dnaJ",8802,2248,1954,368,814,219,30,38,39
"dnaK",51076,18160,21117,3242,5654,1468,310,394,604
"grpE",10683,4524,5359,853,1307,373,78,90,138
"hrcA",13739,19159,19784,1314,2015,601,120,140,287
"SPY49_RS06810",2990,1623,1267,79,120,47,4,6,17
"SPY49_RS06815",3907,1669,1213,114,180,69,10,6,24
"SPY49_RS06820",2837,1517,1241,81,111,49,17,10,14
"SPY49_RS06825",398,840,583,13,13,6,1,1,3
"SPY49_RS06830",154,237,251,9,17,3,1,1,0
"gatB",10027,5147,3766,123,262,106,17,21,21
"gatA",8981,3634,2623,119,226,96,21,18,23
"gatC",1793,1131,1020,17,55,17,4,1,7
"SPY49_RS06850",53,77,108,12,28,3,1,2,1
"SPY49_RS06855",129,237,280,14,35,8,2,2,6
"codY",10801,21453,23949,219,291,97,20,24,37
"SPY49_RS06865",9819,13135,13792,104,195,64,19,13,24
"SPY49_RS06870",7088,27945,20710,75,153,69,20,11,20
"SPY49_RS06875",8102,9658,6761,40,72,27,6,3,5
"SPY49_RS06880",1480,1194,1219,32,36,15,4,1,2
"SPY49_RS06885",130,1127,653,4,3,0,0,0,0
"SPY49_RS06890",203,1422,1327,7,11,0,2,1,1
"recG",4653,2981,2029,94,162,57,4,9,12
"SPY49_RS06900",3403,1737,1476,79,162,49,11,10,8
"SPY49_RS06905",1512,853,831,35,50,19,3,8,5
"SPY49_RS06910",953,806,849,20,33,16,1,1,1
"SPY49_RS06915",668,756,907,10,43,10,9,0,5
"SPY49_RS06920",165,100,78,13,33,7,1,3,7
"SPY49_RS06925",114,45,20,5,19,1,0,2,2
"SPY49_RS06930",66,26,13,0,14,0,0,0,1
"isdE",180,46,57,10,26,4,4,0,0
"shr",492,587,482,23,75,12,5,2,11
"SPY49_RS06950",38899,14358,11841,956,1519,604,127,123,189
"SPY49_RS06955",4131,946,840,82,203,43,7,11,13
"SPY49_RS06960",1200,267,224,30,73,22,11,2,2
"secA",49989,38612,31371,851,1443,606,108,115,176
"SPY49_RS06975",1933,1715,1432,10,30,20,3,0,0
"manA",4641,4415,4208,49,77,34,9,8,10
"SPY49_RS06985",91,20,34,6,12,5,0,0,1
"SPY49_RS06990",1843,531,574,45,96,56,8,5,17
"SPY49_RS06995",1335,630,461,24,63,12,2,2,9
"SPY49_RS07000",2247,399,349,16,28,8,3,1,0
"SPY49_RS07005",1856,1263,964,26,55,14,2,2,2
"nusB",11660,16683,15550,177,290,94,17,18,30
"SPY49_RS07015",9304,9673,10154,149,236,94,23,14,25
"efp",16335,13283,12548,262,449,199,27,26,56
"SPY49_RS07025",1201,714,606,24,41,7,3,3,4
"SPY49_RS07030",2014,1524,1337,44,72,18,2,10,6
"uvrA",18631,7209,6347,295,588,212,27,40,43
"SPY49_RS07040",7335,2885,2019,99,157,56,10,13,21
"SPY49_RS07045",6529,3554,2070,89,135,50,9,8,6
"SPY49_RS07050",7856,10627,9803,113,194,67,21,14,36
"SPY49_RS07055",22648,34344,31383,338,620,219,68,51,121
"SPY49_RS07060",12886,22283,18922,147,279,126,19,26,76
"SPY49_RS07065",119,354,376,18,29,6,1,1,4
"mutY",2536,1009,1124,25,54,28,2,3,0
"SPY49_RS07075",195,385,309,2,8,6,0,0,0
"trxA",2428,4325,3133,32,56,30,1,7,10
"SPY49_RS07085",1598,1660,1644,51,67,18,5,6,7
"SPY49_RS07090",9492,6573,5387,301,469,154,21,26,35
"SPY49_RS07095",3914,11744,9132,117,147,65,4,23,23
"SPY49_RS07100",3349,9183,7363,66,134,56,6,6,17
"SPY49_RS07105",7347,5360,4605,92,189,75,8,14,16
"lepB_3",7342,6982,5096,100,120,53,8,9,16
"SPY49_RS07115",5092,1437,1132,54,136,50,7,9,10
"SPY49_RS07120",7094,38149,22827,75,154,42,9,4,30
"dinB",1998,792,612,45,54,18,6,5,5
"pflB",130733,37022,19040,312,673,153,71,35,114
"SPY49_RS07135",1306,9642,11216,33,51,23,3,1,12
"SPY49_RS07140",3077,18507,22644,65,131,34,9,11,9
"SPY49_RS07145",2646,2914,2218,47,135,31,7,16,11
"SPY49_RS07150",7304,14396,14840,109,187,67,22,16,17
"SPY49_RS09610",681,4504,2891,3,0,1,0,0,0
"SPY49_RS07155",4130,44548,32182,28,11,0,1,1,2
"SPY49_RS07160",2794,1090,1124,15,22,10,8,1,5
"SPY49_RS07165",15611,5642,5851,149,268,91,19,19,30
"SPY49_RS07170",2,12,8,0,1,0,0,0,0
"SPY49_RS07175",721,1806,2432,18,33,10,4,3,2
"SPY49_RS07180",2,18,13,1,2,0,0,0,0
"sda3",644,903,1716,13,30,17,5,1,4
"SPY49_RS07190",81,158,123,4,4,2,2,0,0
"SPY49_RS07195",7960,11312,12621,92,144,58,13,14,27
"SPY49_RS07200",5798,7659,10316,92,149,60,19,16,27
"SPY49_RS07205",391,120,60,2,4,5,0,0,2
"SPY49_RS07215",87,23,18,1,1,1,0,0,0
"SPY49_RS07220",32,2,2,0,0,0,0,1,0
"SPY49_RS07225",146,24,9,0,2,0,0,0,0
"SPY49_RS09615",26,0,1,0,0,0,0,0,0
"SPY49_RS07230",478,126,93,3,7,4,0,3,2
"SPY49_RS07235",285,37,18,1,3,3,0,0,0
"SPY49_RS07240",455,77,46,2,3,0,0,0,1
"SPY49_RS07245",136,27,18,0,2,0,0,0,0
"SPY49_RS07250",1057,165,116,3,16,12,1,5,0
"SPY49_RS07255",93,22,19,3,1,1,0,0,0
"SPY49_RS07260",80,11,18,3,0,0,0,0,0
"SPY49_RS07265",106,19,10,1,4,1,2,0,0
"SPY49_RS07270",72,21,12,2,2,0,0,0,0
"SPY49_RS07275",44,12,4,0,1,0,1,0,0
"SPY49_RS07280",60,7,11,0,4,0,0,0,0
"SPY49_RS07285",69,17,20,0,1,1,0,0,0
"SPY49_RS07290",53,24,22,0,0,0,0,0,0
"SPY49_RS07295",339,82,71,2,8,4,1,0,2
"SPY49_RS07300",114,26,21,0,1,1,0,0,0
"SPY49_RS07305",147,54,54,0,0,0,0,0,1
"SPY49_RS07310",29,21,2,0,1,0,0,0,0
"SPY49_RS07315",53,4,14,1,2,0,1,0,0
"SPY49_RS07320",125,524,306,2,3,6,0,0,0
"SPY49_RS07325",244,99,78,0,0,3,0,1,1
"SPY49_RS07330",238,50,31,1,5,1,3,0,0
"SPY49_RS07335",155,25,15,0,2,0,0,2,2
"SPY49_RS07340",50,39,25,1,4,0,0,0,0
"SPY49_RS07345",35,238,203,0,4,1,0,0,0
"SPY49_RS07350",58,23,28,3,2,2,0,0,0
"SPY49_RS07355",34,16,6,3,3,1,3,2,0
"SPY49_RS07360",24,4,7,1,3,0,0,0,1
"SPY49_RS07365",61,9,5,2,5,1,0,0,0
"SPY49_RS07370",21,7,2,3,7,0,0,0,0
"SPY49_RS07375",32,9,6,0,2,2,0,0,0
"SPY49_RS07380",36,4,6,0,1,0,0,0,2
"SPY49_RS07390",49,11,10,4,6,0,1,0,0
"SPY49_RS07395",57,13,10,1,9,0,0,0,1
"SPY49_RS07400",16,2,6,0,0,0,0,0,0
"ssb",23,11,9,0,2,3,1,0,0
"SPY49_RS07410",97,14,19,3,3,5,0,0,0
"SPY49_RS07415",36,6,3,3,4,1,0,0,0
"SPY49_RS07420",21,2,4,0,3,1,0,0,1
"SPY49_RS07425",32,6,1,1,3,1,0,0,0
"SPY49_RS07430",105,28,32,3,8,2,0,0,1
"SPY49_RS09000",60,26,17,5,6,1,1,1,0
"SPY49_RS07445",58,40,22,3,2,1,1,0,0
"SPY49_RS07450",566,529,302,2,14,5,6,0,1
"SPY49_RS07455",33,20,32,0,2,0,0,0,0
"SPY49_RS07460",171,861,929,5,4,4,1,0,2
"SPY49_RS09360",23,20,13,0,0,0,0,1,0
"SPY49_RS09005",67,42,41,4,2,0,0,1,0
"SPY49_RS07470",6,8,7,0,3,1,1,0,0
"SPY49_RS07475",36,7,14,3,0,1,0,0,0
"SPY49_RS07480",1220,3057,1918,6,15,5,1,0,4
"SPY49_RS09620",22,7,7,0,3,0,0,0,0
"SPY49_RS07485",155,32,20,1,5,4,0,0,0
"SPY49_RS07490",39,13,10,0,0,0,0,1,0
"SPY49_RS07495",709,1280,1135,4,11,1,0,0,1
"SPY49_RS09540",25,0,6,0,5,0,0,0,0
"SPY49_RS07500",247,42,31,5,8,3,1,0,0
"SPY49_RS07505",139,337,327,2,3,0,0,0,0
"SPY49_RS07510",95,34,28,3,1,0,1,0,0
"SPY49_RS07515",86,30,30,0,3,2,0,0,1
"SPY49_RS07520",731,3717,2558,10,8,2,3,0,0
"SPY49_RS07525",972,1448,1366,27,26,4,1,1,4
"SPY49_RS09625",76,88,133,5,5,2,1,0,0
"SPY49_RS07530",2236,4975,8193,73,124,56,9,4,10
"SPY49_RS07535",943,3341,3450,15,41,14,1,2,4
"SPY49_RS07540",2034,6856,6688,27,65,16,10,3,5
"SPY49_RS07545",1817,8492,7368,19,54,23,2,3,1
"SPY49_RS07550",382,281,166,17,17,8,0,2,1
"SPY49_RS07555",170,194,115,4,11,5,3,0,2
"SPY49_RS07560",4556,9722,8093,90,128,68,8,6,17
"SPY49_RS09370",96,72,84,0,0,0,0,3,9
"SPY49_RS07580",783,679,597,10,17,6,2,1,3
"deoC",6087,5212,5233,140,334,114,21,16,44
"SPY49_RS07590",7300,7885,7344,187,458,155,24,19,55
"udp",3278,6882,5768,126,311,77,26,17,33
"SPY49_RS07600",1482,1150,899,107,177,62,3,8,5
"rpsN",655,1188,2285,244,1159,959,116,53,236
"tsaD",7339,4380,3027,161,276,91,7,16,9
"rimI",2311,915,572,34,72,40,4,5,12
"tsaB",5894,4042,3136,91,173,47,16,15,19
"SPY49_RS07625",1822,580,387,25,50,26,4,3,1
"SPY49_RS07630",19272,11371,7454,604,990,409,92,70,77
"glnA",35006,54733,49096,113,168,79,17,13,23
"SPY49_RS07640",10116,12817,11774,27,70,27,5,3,5
"SPY49_RS07645",1116,1811,1389,9,42,7,2,1,3
"SPY49_RS07650",50654,58977,50447,357,652,312,62,47,117
"SPY49_RS07655",15304,44657,54709,101,170,61,17,9,33
"SPY49_RS07660",7176,3307,2760,98,184,80,24,7,19
"SPY49_RS07665",31074,21156,19367,541,854,366,62,65,101
"SPY49_RS07670",9693,10200,9909,146,230,93,24,22,27
"SPY49_RS07675",3080,19059,13696,76,140,54,13,3,24
"SPY49_RS07680",40890,73414,44320,453,773,348,79,58,136
"SPY49_RS07685",19,38,23,0,0,3,0,0,0
"SPY49_RS07690",7708,7985,5407,152,301,101,18,16,45
"SPY49_RS07695",6947,5955,4845,303,659,199,28,40,63
