"gene_id","Input.1","Input.2","Input.3","X5.Hr.1","X5.Hr.2","X5.Hr.3","X24.Hr.1","X24.Hr.2","X24.Hr.3"
"SPY49_RS03740",2933,1776,1747,68,151,36,8,11,4
"recJ",4895,1952,1351,98,292,75,7,19,15
"SPY49_RS03750",8169,6341,4481,69,120,54,10,7,11
"SPY49_RS03755",7716,5770,3459,73,123,51,8,6,11
"nth",5195,5669,4389,55,143,50,5,7,7
"SPY49_RS03765",1465,626,390,25,42,18,1,1,6
"SPY49_RS03770",2436,930,620,41,91,31,8,9,2
"SPY49_RS03775",2292,580,427,38,73,50,9,0,1
"rfbA",18807,7992,6181,156,270,144,21,26,30
"SPY49_RS03785",8773,3809,2858,77,115,56,19,7,20
"rfbB",23363,10772,7768,188,327,155,26,16,39
"SPY49_RS03795",517,290,478,105,246,39,11,9,16
"SPY49_RS03800",293,1167,1628,22,27,4,1,0,4
"SPY49_RS03805",315,968,1521,21,35,6,3,3,10
"SPY49_RS03810",469,1257,2675,27,52,7,0,6,3
"SPY49_RS09575",9,59,32,3,10,0,0,0,3
"SPY49_RS03815",922,682,843,6,14,1,1,1,0
"SPY49_RS03820",9,11,9,4,1,1,0,1,0
"SPY49_RS03825",4,11,6,3,3,0,0,0,1
"SPY49_RS09580",2,3,3,1,0,0,0,0,0
"SPY49_RS03830",8,9,1,2,3,1,1,0,0
"SPY49_RS03835",8,11,12,1,0,0,0,0,0
"SPY49_RS03840",7,6,8,0,1,0,0,0,2
"SPY49_RS03845",23,12,2,3,6,1,0,1,2
"SPY49_RS03850",74,37,20,8,22,4,3,4,3
"SPY49_RS03855",29,20,12,3,10,2,0,1,0
"SPY49_RS03860",49,9,7,4,28,2,0,0,2
"SPY49_RS03865",46,21,16,9,27,4,0,2,1
"SPY49_RS03870",3,1,5,2,2,0,1,0,0
"SPY49_RS03875",21,8,9,3,10,0,0,0,0
"SPY49_RS09585",1,1,1,0,0,0,0,0,0
"SPY49_RS03880",1,0,0,0,0,0,0,0,0
"SPY49_RS03885",1,9,8,3,1,1,0,0,0
"SPY49_RS03890",12,11,4,0,0,0,0,0,0
"SPY49_RS03895",27,24,15,0,0,0,0,0,0
"SPY49_RS03900",40,25,11,1,2,0,0,1,0
"SPY49_RS03905",39,13,7,0,1,0,0,0,0
"SPY49_RS03910",11,8,4,2,0,0,0,0,0
"SPY49_RS03915",9,7,4,0,0,0,0,0,0
"SPY49_RS03920",55,68,43,0,1,0,0,0,0
"SPY49_RS03925",63,24,22,1,2,0,0,0,0
"SPY49_RS03930",23,9,4,1,1,0,0,0,0
"SPY49_RS03935",23,20,5,0,2,0,0,0,0
"SPY49_RS03940",25,5,9,0,1,0,0,0,0
"SPY49_RS03945",14,3,1,0,0,0,0,0,0
"SPY49_RS03950",38,13,2,1,0,0,0,0,0
"SPY49_RS03955",23,3,2,0,0,0,0,0,0
"SPY49_RS03960",13,2,4,0,1,0,0,0,1
"SPY49_RS03965",235,109,56,3,7,0,0,0,0
"SPY49_RS03970",31,19,5,0,0,0,0,0,0
"SPY49_RS03975",35,16,9,0,2,0,0,0,1
"SPY49_RS09590",43,10,9,1,0,1,0,0,0
"SPY49_RS09595",2,3,0,0,0,0,0,0,0
"SPY49_RS03985",17,9,3,0,0,0,0,0,0
"SPY49_RS03990",15,11,4,0,1,0,0,0,0
"SPY49_RS04000",29,23,17,0,1,0,0,0,0
"SPY49_RS04005",10,16,23,0,0,0,0,0,0
