"gene_id","Spn.wt..1.","Spn.wt..2.","Spn.wt..3.","Spn.delta.lctO.delta.spxB..1.","Spn.delta.lctO.delta.spxB..2.","Spn.delta.lctO.delta.spxB..3.","Spn.delta.lctO..1.","Spn.delta.lctO..2.","Spn.delta.spxB..1.","Spn.delta.spxB..2."
"NAT60_RS07220",23,29,27,64,61,64,103,110,35,33
"NAT60_RS07225",966,769,848,1383,1236,1430,1303,1393,1564,1106
"NAT60_RS07235",765,587,456,692,551,586,706,689,829,720
"NAT60_RS07240",1314,894,490,691,485,542,655,745,779,653
"NAT60_RS07245",9690,6808,6197,9473,7666,8276,10174,11898,14927,10486
"NAT60_RS07255",2658,1340,1206,1934,2202,2147,2606,2514,2506,1812
"NAT60_RS07270",144,196,223,181,174,174,195,248,431,360
"NAT60_RS07275",181,191,208,230,226,217,248,255,422,275
"NAT60_RS07280",258,336,513,309,312,320,296,302,563,395
"NAT60_RS07290",6888,6796,6584,3991,4379,4322,6250,6468,5173,3362
"NAT60_RS07300",19,10,6,15,21,19,20,13,58,41
"NAT60_RS07305",131,95,110,48,45,56,35,54,303,270
"NAT60_RS07310",81,50,49,28,24,18,18,25,138,114
"NAT60_RS07315",57,51,48,18,25,26,25,26,146,89
"NAT60_RS07320",45,25,36,16,19,22,25,20,75,69
"NAT60_RS07325",31,25,30,18,23,22,30,24,59,48
"NAT60_RS07330",62,42,75,29,38,27,46,49,90,73
"NAT60_RS07335",19,22,32,18,15,16,24,32,55,49
"NAT60_RS07340",34,32,61,33,28,28,25,29,84,53
"NAT60_RS07345",23,21,15,8,11,12,19,15,22,21
"NAT60_RS07350",16,23,21,11,12,12,18,27,26,26
"NAT60_RS07355",53,22,24,8,10,9,8,17,46,33
"NAT60_RS07365",140,137,191,206,193,193,163,147,248,211
"NAT60_RS07375",2,0,3,3,2,0,1,5,9,2
"NAT60_RS07380",1,4,4,0,2,4,4,1,4,7
"NAT60_RS07385",456,358,367,349,371,300,141,170,1006,853
"NAT60_RS07390",1149,687,798,626,551,492,302,299,1775,1511
"NAT60_RS07395",2546,1434,1257,1137,1109,967,597,691,3028,2394
"NAT60_RS07400",634,466,485,339,312,316,221,332,607,513
"NAT60_RS07410",770,575,663,571,688,666,1363,1395,858,588
"NAT60_RS07415",3780,2393,3113,1182,1109,1108,1813,1777,2872,2071
"NAT60_RS07420",463,281,286,307,269,241,233,265,1082,750
"NAT60_RS07425",458,221,224,243,185,184,193,191,705,550
"NAT60_RS07430",92,83,111,81,75,67,61,89,172,187
"NAT60_RS07435",435,403,540,494,369,389,316,379,1125,889
"NAT60_RS07440",821,1005,1311,1096,987,984,971,1025,2512,1991
"NAT60_RS07445",53,68,166,131,133,119,97,151,234,160
"NAT60_RS07455",92,123,336,182,179,158,160,181,327,302
"NAT60_RS07465",846,1072,2385,1136,1187,1046,1056,1253,2574,1850
"NAT60_RS07470",838,1157,1968,1140,1036,942,942,1012,2170,1647
"NAT60_RS07475",2725,2751,4227,2257,2355,2072,2205,2293,3610,2677
"NAT60_RS07480",10725,10315,15045,12995,14719,12154,8769,9820,12510,9138
"NAT60_RS07485",699,368,304,217,222,194,212,196,206,197
"NAT60_RS07490",179,221,238,152,176,132,275,297,719,531
"NAT60_RS07500",43369,30366,20569,5173,7080,5655,14684,13712,48445,34457
"NAT60_RS07510",3473,2453,3141,1245,1558,1413,2938,3110,1705,1187
"NAT60_RS07515",12993,7024,7406,4322,5038,4916,8993,9357,5230,3563
"NAT60_RS07520",3092,2018,2391,1268,1475,1546,3366,3203,1433,1004
"NAT60_RS07525",5526,3459,3473,1921,2487,2293,5252,5473,2051,1273
"NAT60_RS07540",757,563,713,565,643,531,853,872,795,594
"NAT60_RS07545",2505,1567,1598,1390,1477,1416,2478,2568,1376,888
"NAT60_RS07550",1172,1092,460,318,401,272,479,497,254,130
"NAT60_RS07565",3430,2303,2954,1714,1711,1818,3324,3508,1885,1213
"NAT60_RS07570",0,0,1,2,5,7,11,8,1,1
"NAT60_RS07575",1866,2461,3325,4107,5063,4618,6386,6727,1586,1254
"NAT60_RS07580",34,35,53,54,76,49,91,95,129,85
"NAT60_RS07600",44,18,25,55,69,73,307,260,8,7
"NAT60_RS07640",347,399,245,221,286,221,222,273,769,517
"NAT60_RS07645",1814,1507,1320,1287,1163,1201,1275,1321,2960,2429
"NAT60_RS07650",506,300,306,310,277,272,280,305,451,391
"NAT60_RS07655",73,38,46,28,39,21,14,30,63,42
"NAT60_RS07660",744,435,378,285,250,257,203,257,640,527
"NAT60_RS07665",329,200,169,141,123,109,80,92,286,216
"NAT60_RS07670",652,348,304,217,197,158,116,122,540,456
"NAT60_RS07680",254,141,136,47,80,47,221,232,54,35
"NAT60_RS07690",68,54,44,28,36,28,43,49,89,50
"NAT60_RS07700",201,255,301,198,161,204,331,327,222,141
"NAT60_RS07705",152,222,151,112,134,129,207,219,184,131
"NAT60_RS07710",103,77,64,79,69,75,97,110,95,79
"NAT60_RS07715",64,70,76,53,67,52,76,98,92,104
"NAT60_RS07720",376,311,377,291,283,278,317,364,415,333
"NAT60_RS07725",706,423,429,456,392,396,428,452,876,580
"NAT60_RS07730",508,694,473,397,482,357,734,763,584,523
"NAT60_RS07735",19,16,29,15,14,12,63,49,15,13
"NAT60_RS07745",4369,4314,3580,4336,3680,3814,3462,4000,6433,4791
"NAT60_RS07750",190,374,296,393,447,373,295,383,713,495
"NAT60_RS07755",947,1031,910,1970,2172,2014,2312,2517,2474,1414
"NAT60_RS07760",612,618,644,1352,1618,1509,1996,2132,1394,899
"NAT60_RS07765",955,696,608,2977,4208,4039,4876,5548,1583,1019
"NAT60_RS07770",966,909,905,4048,6626,5605,8052,8445,2043,1381
"NAT60_RS07775",5816,3202,2649,12531,17856,14937,16681,18278,5918,4203
"NAT60_RS07790",1021,585,467,975,802,660,252,320,1392,1143
"NAT60_RS07795",9,7,8,18,13,13,18,28,22,14
"NAT60_RS07800",625,503,468,697,582,551,771,704,1455,950
"NAT60_RS07805",2223,1272,1246,1745,1766,1559,1737,1952,3123,2463
"NAT60_RS07810",7303,4995,5422,11419,10583,10835,10285,11117,18705,14714
"NAT60_RS07825",3024,1640,1645,1975,1585,1627,1837,1988,6081,4393
"NAT60_RS07835",3517,2377,2073,2475,2566,2664,4356,4492,2603,1697
"NAT60_RS07840",1092,708,515,662,766,746,1253,1391,804,496
"NAT60_RS07845",1863,1112,970,1123,1065,1170,1571,1700,1064,834
"NAT60_RS07855",15644,11396,9536,9399,7867,8602,9291,10017,14016,9566
"NAT60_RS07860",28,21,29,6,11,10,11,23,20,15
"NAT60_RS07890",960,412,325,70,69,67,88,95,158,106
"NAT60_RS07895",7202,6849,7063,5351,4700,4661,7348,8278,9416,6028
"NAT60_RS07900",5863,5194,5073,3904,3549,3609,6173,7036,5414,3716
"NAT60_RS07905",2107,2050,1888,1541,1410,1325,2166,2433,1613,1079
"NAT60_RS07945",1256,3388,6987,5003,5020,4843,3482,4101,2436,1353
"NAT60_RS07950",16,28,96,84,112,73,71,62,42,41
"NAT60_RS07955",19252,31838,34334,45303,54275,48797,51163,60747,45556,29678
"NAT60_RS07965",1186,2034,2580,3047,4142,3905,6317,7322,1166,868
"NAT60_RS07970",628,622,1487,590,764,607,2716,3166,135,68
"NAT60_RS07980",2336,1156,806,535,509,523,874,876,1543,1184
"NAT60_RS07985",4354,3344,2965,2793,2717,2525,3383,3806,8241,5298
"NAT60_RS08000",4429,3918,4122,5939,5645,6009,8532,9173,6165,3950
"NAT60_RS08005",1549,1811,1953,4125,4678,4620,5993,6334,3342,2284
"NAT60_RS08010",710,762,862,1780,1893,1908,2207,2376,1507,985
"NAT60_RS08015",3904,3574,4125,4448,4600,4718,10012,10102,4666,3002
"NAT60_RS08030",15414,10063,10978,9918,8906,9040,10431,11489,17367,13922
"NAT60_RS08035",14886,10184,10028,10338,10180,9278,9935,11894,19936,14661
"NAT60_RS08040",2557,1840,1815,2096,1653,2101,1936,2160,3840,2899
"NAT60_RS08045",7761,6563,8032,7829,7184,6883,6604,7891,14701,12104
"NAT60_RS08065",22551,24150,26622,31269,32202,34008,23977,27175,8600,5863
"NAT60_RS08070",2326,2454,2127,7529,8175,8920,14924,16047,2841,2069
"NAT60_RS08075",1561,1092,726,2438,2192,2487,3751,4037,2727,2127
"NAT60_RS08080",5435,4804,3857,9564,9265,9622,14644,15572,14102,10252
"NAT60_RS08095",8918,22505,21407,47218,48129,46177,41821,47840,89168,63421
"NAT60_RS08100",6087,17915,21650,39026,43136,38513,38216,44449,79246,54532
"NAT60_RS08110",4036,3349,2471,2027,1601,1635,3833,4218,7248,4544
"NAT60_RS08115",11083,9583,8140,9219,7250,8344,8419,9514,16393,10938
"NAT60_RS08125",900,556,704,900,882,786,837,781,1135,888
"NAT60_RS08130",897,602,785,529,430,482,453,513,1099,915
"NAT60_RS08135",2475,1366,1458,1050,850,917,936,1021,2048,1578
"NAT60_RS08140",317,211,230,197,151,160,186,188,400,301
"NAT60_RS08145",1108,597,652,529,387,521,655,730,1308,909
"NAT60_RS08150",2436,1996,2133,1935,1774,1967,3442,3575,4415,2917
"NAT60_RS08155",5333,3172,2737,2993,2254,2698,3072,3405,8303,5976
"NAT60_RS08160",1599,1324,943,931,646,830,1167,1251,2709,2240
"NAT60_RS08165",173,102,161,169,179,158,242,248,319,263
"NAT60_RS08170",670,552,514,386,350,357,432,508,974,686
"NAT60_RS08175",905,595,433,647,510,609,472,554,1036,674
"NAT60_RS08180",1151,902,688,1036,917,970,561,696,1832,1242
"NAT60_RS08190",83,154,196,202,196,174,186,208,368,257
"NAT60_RS08195",140,230,197,260,204,233,220,198,357,300
"NAT60_RS08200",526,351,309,408,312,341,351,401,1133,852
"NAT60_RS08205",20,7,12,3,4,7,7,10,27,26
"NAT60_RS08215",5410,4267,4928,5941,6319,5841,6699,6877,9065,6137
"NAT60_RS08220",1721,1360,1321,1620,1486,1614,1609,1663,2445,1661
"NAT60_RS08225",14353,11057,10877,17526,17213,17937,24856,27439,26053,17298
"NAT60_RS08230",757,489,416,542,478,547,1189,1247,742,501
"NAT60_RS08235",809,625,634,830,692,809,1532,1500,1442,947
"NAT60_RS08240",876,950,798,1310,1131,1276,2254,2146,2230,1458
"NAT60_RS08250",2535,2571,2476,5108,5666,5642,5329,5486,3973,2785
"NAT60_RS08255",677,635,697,995,1104,1037,972,1061,1116,747
"NAT60_RS08260",1803,1792,1300,2384,2233,2487,1778,1909,1443,1125
"NAT60_RS08270",1117,894,1658,673,1062,873,3170,3062,577,376
"NAT60_RS08275",1469,1386,2777,1305,1953,1784,5720,5398,1180,844
"NAT60_RS08280",931,740,1493,841,1039,1016,3765,3343,961,671
"NAT60_RS08290",2849,2344,2629,1697,1832,1666,2350,2535,2878,1936
"NAT60_RS08295",1067,971,1168,829,754,775,1033,1109,1711,1089
"NAT60_RS08305",4419,4848,5153,4646,5431,4754,4681,5474,3248,2285
"NAT60_RS08310",1638,872,830,876,711,787,878,981,1135,874
"NAT60_RS08320",14419,10230,11180,13878,17475,15929,28957,29205,8272,5924
"NAT60_RS08330",3,4,7,18,13,11,34,23,13,4
"NAT60_RS08335",3687,3212,3046,1933,1765,1739,2129,2256,2719,1879
"NAT60_RS08340",3796,2168,1463,1157,986,945,589,686,2570,1942
"NAT60_RS08345",5888,3831,3821,4367,3641,3811,3940,4359,8088,5908
"NAT60_RS08350",5265,10175,10361,9929,13746,8804,8136,9335,4786,3458
"NAT60_RS08355",6014,9100,10355,9160,10079,9786,14380,16132,8528,5673
"NAT60_RS08360",1990,2707,3067,2973,2890,2905,3893,4134,3351,2408
"NAT60_RS08365",1275,1379,1678,2063,2013,2057,2919,3181,1190,829
"NAT60_RS08380",2111,954,1102,346,360,350,678,662,540,400
"NAT60_RS08390",2015,871,554,909,586,643,582,705,1850,1381
"NAT60_RS08405",39,22,19,20,13,22,37,46,48,43
"NAT60_RS08410",15,5,13,7,5,10,13,16,16,12
"NAT60_RS08415",134,104,99,94,83,110,231,213,178,134
"NAT60_RS08420",208,175,306,199,224,182,550,576,192,128
"NAT60_RS08430",744,521,520,383,313,282,303,359,1932,1382
"NAT60_RS08455",2114,2472,2765,3043,2634,2504,2520,3177,5020,3531
"NAT60_RS08465",98,162,329,188,190,164,201,217,223,159
"NAT60_RS08475",2612,1599,1859,1540,1694,1554,2198,2350,2451,1619
"NAT60_RS08480",7884,4712,4966,4537,4968,4807,7308,7537,6987,4859
"NAT60_RS08490",752,808,1060,2047,1628,1749,795,805,7961,5732
"NAT60_RS08500",838,745,873,1652,1358,1448,1130,1041,7239,4946
"NAT60_RS08505",919,821,966,1698,1521,1483,1432,1481,6739,4378
"NAT60_RS08510",847,725,802,1774,1682,1638,1625,1627,5678,3658
"NAT60_RS08520",109,143,207,159,130,147,104,140,264,181
"NAT60_RS08525",5933,4499,3787,5870,4661,5098,3803,4401,7630,5324
"NAT60_RS08530",1303,1053,738,1191,1032,1111,1009,1236,1603,984
"NAT60_RS08535",1528,1328,1019,1368,1123,1230,1291,1440,1397,965
"NAT60_RS08540",227,345,504,309,395,313,289,328,260,211
"NAT60_RS08545",736,904,992,620,842,744,855,941,506,313
"NAT60_RS08580",916,945,1085,922,1017,854,1670,1860,1388,942
"NAT60_RS08590",906,585,600,380,343,315,399,470,1229,968
"NAT60_RS08605",343,312,329,197,158,203,450,488,495,367
"NAT60_RS08615",132,126,135,134,106,108,157,181,243,234
"NAT60_RS08620",1190,1060,1264,918,990,914,1484,1635,1493,1111
"NAT60_RS08625",653,228,189,112,130,89,133,139,291,235
"NAT60_RS08630",884,241,240,151,136,112,123,102,365,323
"NAT60_RS08635",291,55,50,36,29,29,25,29,80,49
"NAT60_RS08640",269,113,73,49,44,31,17,31,109,66
"NAT60_RS08650",1205,1159,966,1208,1540,1396,2119,2177,847,632
"NAT60_RS08655",1751,1688,1925,2012,2672,2418,3148,3478,1042,719
"NAT60_RS08675",64,22,35,7,24,13,47,42,10,12
"NAT60_RS08680",30,19,10,7,12,9,24,23,11,9
"NAT60_RS08685",20,10,8,6,8,6,20,3,9,9
"NAT60_RS08690",22,7,4,6,6,6,11,4,8,5
"NAT60_RS08695",11,6,7,4,3,3,8,3,9,10
"NAT60_RS08700",12,4,1,2,3,2,3,4,7,2
"NAT60_RS08705",37,13,10,14,17,13,17,14,27,22
"NAT60_RS08710",273,196,185,324,426,367,684,722,350,212
"NAT60_RS08720",3904,2710,2495,3242,3183,2942,3118,3291,4834,3349
"NAT60_RS08730",14685,7849,7457,4198,4179,4115,7728,7950,3255,2429
"NAT60_RS08735",1492,1065,1051,965,953,892,987,975,1448,947
"NAT60_RS08745",25,9,11,14,11,8,26,26,50,23
"NAT60_RS08750",19,11,8,13,8,5,20,13,22,15
"NAT60_RS08755",6,3,3,3,6,3,5,6,14,11
"NAT60_RS08760",23,13,12,8,8,9,27,23,35,16
"NAT60_RS08770",53,20,22,20,14,18,64,47,85,56
"NAT60_RS08775",54,27,30,35,23,33,71,62,78,62
"NAT60_RS08780",1465,1481,1544,1153,1417,1138,2045,2081,1979,1538
"NAT60_RS08785",34222,12127,7193,13645,8066,10335,9272,9973,50472,38235
"NAT60_RS08795",16750,15260,13010,14778,15071,13569,14550,15951,26686,18239
"NAT60_RS08805",1636,1581,1409,1404,1244,1251,1975,2083,3096,2082
"NAT60_RS08825",23870,4132,2623,645,686,639,1578,1494,2086,1275
"NAT60_RS08830",454,340,425,195,198,197,749,702,274,196
"NAT60_RS08835",1036,718,803,398,375,456,1361,1414,588,403
"NAT60_RS08845",3832,2946,2739,895,763,850,1562,1535,1473,1095
"NAT60_RS08850",8,7,9,19,11,14,10,13,3,5
"NAT60_RS08855",1,2,0,1,0,0,0,0,1,0
"NAT60_RS08860",1,0,0,0,2,1,1,1,0,0
"NAT60_RS08865",0,0,3,0,0,2,0,0,0,1
"NAT60_RS08870",0,0,0,0,2,5,3,4,0,0
"NAT60_RS08875",0,0,0,1,0,0,0,0,0,0
"NAT60_RS08880",0,1,0,0,0,0,0,0,0,0
"NAT60_RS08885",258,210,438,349,359,394,829,960,76,53
"NAT60_RS08890",78,112,272,188,230,203,637,679,41,31
"NAT60_RS08895",1,0,4,1,1,3,5,2,0,1
"NAT60_RS08900",1,0,0,0,0,0,1,0,0,0
"NAT60_RS08910",8112,4966,3031,2708,2070,2200,2281,2529,7452,5581
"NAT60_RS08920",2402,1546,1291,912,687,740,741,840,2085,1708
"NAT60_RS08935",2332,2076,1815,1241,1126,1030,1173,1423,3976,2582
"NAT60_RS08940",5267,3434,2636,1949,1532,1552,1898,2210,5146,3641
"NAT60_RS08955",2609,2419,2272,3515,3089,3171,3544,4019,5649,3906
"NAT60_RS08975",25960,22175,21132,18812,17937,17768,13804,15284,21144,15006
"NAT60_RS08990",3651,3114,3284,5623,6055,5805,5999,6677,7961,5546
"NAT60_RS09005",199,144,130,61,86,72,173,146,71,32
"NAT60_RS09020",1662,557,412,263,219,245,658,650,69552,51687
"NAT60_RS09025",2868,2638,4430,3981,5650,5185,16443,15496,3100,2167
"NAT60_RS09045",6330,6612,8263,5556,4967,4616,4284,5334,15834,11465
"NAT60_RS09055",3442,4237,7680,4609,4455,3841,3645,4043,12114,9140
"NAT60_RS09060",9893,10605,15908,10769,10370,9210,7924,9012,25522,18943
"NAT60_RS09065",5936,5939,10292,7630,6646,6122,4740,5086,12892,11759
"NAT60_RS09070",7105,8056,9539,7852,6777,6477,6029,6539,12209,10670
"NAT60_RS09075",8681,8979,13073,11257,10708,9755,8299,9048,16270,13952
"NAT60_RS09080",7385,8405,9087,7676,7587,6547,7918,8703,12524,10330
"NAT60_RS09085",8387,7893,9958,9601,8904,8359,8398,8672,14078,11476
"NAT60_RS09090",13962,12511,15077,17314,17070,16205,14492,15932,25231,18305
"NAT60_RS09095",27911,20059,21704,23238,22690,21019,22139,23358,32744,25164
"NAT60_RS09100",12419,9880,10827,12720,13492,11610,14696,15772,20200,14501
"NAT60_RS09105",7181,6630,7571,9007,9756,8377,12276,12731,15603,10211
"NAT60_RS09120",4,3,0,2,1,8,7,8,2,6
"NAT60_RS09130",701,610,615,991,1009,952,1636,1779,998,656
"NAT60_RS09135",2275,1488,1417,1962,1874,2049,3816,3951,1564,1126
"NAT60_RS09140",7876,5973,5631,3616,3412,3527,5099,5835,5192,3187
"NAT60_RS09145",10887,8709,7994,5556,5349,5317,9233,9973,7180,4561
"NAT60_RS09150",617,430,358,346,296,345,690,683,221,180
"NAT60_RS09155",3264,1787,1257,1247,1156,1339,2679,2728,807,555
"NAT60_RS09165",12,7,17,24,17,12,32,62,46,42
"NAT60_RS09170",12,11,8,12,12,12,18,24,31,20
"NAT60_RS09175",662,533,424,483,449,390,283,307,1145,856
"NAT60_RS09180",354,282,171,133,117,106,77,100,467,366
"NAT60_RS09185",171,91,92,42,32,39,81,78,15713,11119
"NAT60_RS09190",431,231,186,112,81,90,207,270,29504,21333
"NAT60_RS09195",160,78,54,39,17,31,77,88,9306,6567
"NAT60_RS09200",230,95,101,52,42,44,114,121,14484,11060
"NAT60_RS09205",320,141,89,81,66,71,180,191,18285,12860
"NAT60_RS09210",98,51,25,26,23,19,104,108,8673,6056
"NAT60_RS09215",404,157,141,122,84,76,410,430,29004,21369
"NAT60_RS09220",15069,14708,17440,25678,25359,23273,18560,20222,41162,29402
"NAT60_RS09235",398,312,238,369,288,272,559,542,489,355
"NAT60_RS09250",7,5,8,14,16,7,18,14,54,32
"NAT60_RS09265",36,32,36,56,43,40,27,29,100,82
"NAT60_RS09285",183,171,149,393,324,334,218,286,793,460
"NAT60_RS09290",23,23,22,39,34,51,37,30,96,65
"NAT60_RS09305",29,32,34,26,24,19,20,28,52,41
"NAT60_RS09310",6803,6074,5086,6019,4756,4974,3314,3880,15691,10879
"NAT60_RS09315",9485,7136,5510,7372,5280,6276,4183,5053,17648,11996
"NAT60_RS09320",6274,5744,4862,5803,4433,4735,3376,4160,12569,8294
"NAT60_RS09325",33646,28968,28727,27867,28084,28856,17969,20200,29708,21637
"NAT60_RS09330",3686,2681,2643,2681,2396,2341,2056,2356,4981,3562
"NAT60_RS09340",8169,3727,2703,3654,2378,2880,3354,3576,6076,4496
"NAT60_RS09345",849,509,513,554,443,419,645,740,835,583
"NAT60_RS09350",68,37,20,53,40,38,56,59,86,70
"NAT60_RS09365",342,619,791,764,1407,1196,5149,4684,403,277
"NAT60_RS09375",6084,4769,4178,6620,5241,5225,4782,5977,8431,6065
"NAT60_RS09390",9045,6925,5469,8095,5745,6519,6366,8041,8402,6307
"NAT60_RS09400",12395,9876,8072,13861,10748,11696,13450,16042,14481,10461
"NAT60_RS09410",4711,2998,2519,2218,1860,2034,2996,3550,4471,3242
"NAT60_RS09415",3691,3343,3802,3057,2653,3017,4904,6116,2402,1554
"NAT60_RS09420",2369,2566,2654,1962,1664,1902,3328,4340,1428,942
"NAT60_RS09425",3239,2650,2704,2228,1926,2179,4003,4696,1416,916
"NAT60_RS09430",2540,2644,2713,4030,4523,3799,3042,3437,2321,1664
"NAT60_RS09435",32718,22306,19985,20283,17693,19002,41062,46227,84723,55997
"NAT60_RS09460",4639,3556,3010,3884,3803,3542,4271,4827,4201,3096
"NAT60_RS09470",7175,4960,4065,7038,5224,5650,9053,9625,16088,10854
"NAT60_RS09475",3215,2213,1788,3012,2136,2457,3768,4004,6669,4385
"NAT60_RS09480",4903,2953,2445,3769,2810,3150,4405,4836,8388,5655
"NAT60_RS09490",5880,4118,3354,5847,4518,4531,6551,7124,14181,9166
"NAT60_RS09500",4619,3372,3024,5158,4111,4048,5683,6066,13386,8654
"NAT60_RS09510",2334,2849,3152,400,363,344,4261,4814,320,179
"NAT60_RS09515",2725,2626,2400,324,309,313,3795,4049,308,196
"NAT60_RS09520",2156,2362,1970,387,353,344,4166,4358,341,210
"NAT60_RS09525",3189,2815,2574,465,389,439,4779,5105,437,269
"NAT60_RS09540",2097,2749,2789,3605,3092,3444,3734,4605,5545,3642
"NAT60_RS09545",6261,3515,4421,3984,3430,3688,5881,6538,9813,6593
"NAT60_RS09550",13685,8280,8282,9284,8399,8495,12754,14329,26826,17767
"NAT60_RS09555",15597,9045,9363,10636,9161,9912,13029,14564,32031,22623
"NAT60_RS09560",53117,31956,28337,37623,33667,34987,36916,43516,117838,79828
"NAT60_RS09565",26265,11353,9385,9786,10134,8297,3106,3262,24439,16258
"NAT60_RS09580",4177,2912,2447,2509,1951,2010,2307,2598,7562,4760
"NAT60_RS09585",1584,935,835,795,545,613,563,686,1937,1334
"NAT60_RS09590",9649,8271,6726,13237,15286,14267,10825,11894,37806,26620
"NAT60_RS09595",3822,3093,2492,3351,4266,3626,4912,4925,5211,3939
"NAT60_RS09600",776,750,604,649,703,605,1257,1293,2246,1413
"NAT60_RS09605",222,260,182,235,299,270,897,889,634,373
"NAT60_RS09610",1007,1002,498,761,833,880,2539,2484,2296,1531
"NAT60_RS09615",2397,2466,1375,1795,2158,1864,5108,5481,6513,4078
"NAT60_RS09620",3225,3018,1693,2104,2355,2147,5101,5569,7215,4851
"NAT60_RS09625",422,290,221,1245,2247,1966,3893,3423,346,218
"NAT60_RS09630",16592,13631,17121,19447,22310,22611,25863,27293,18583,11798
"NAT60_RS09635",160,60,36,874,255,389,46,58,265,182
"NAT60_RS09640",61,30,15,547,136,223,17,28,114,93
"NAT60_RS09645",32,19,15,530,128,164,28,20,90,71
"NAT60_RS09650",1221,528,310,227,210,193,283,269,908,644
"NAT60_RS09655",3671,1219,1072,700,595,609,696,707,1971,1535
"NAT60_RS09675",8569,7741,6776,8241,6955,7508,6835,7966,14612,10365
"NAT60_RS09680",3140,2597,2572,3298,2985,3155,3326,3821,6695,4443
"NAT60_RS09685",661,743,537,606,407,407,100,150,17993,14204
"NAT60_RS09690",215,281,455,454,443,513,1742,1811,351,284
"NAT60_RS09705",2490,1962,1592,1227,1016,1039,1201,1532,3710,2595
"NAT60_RS09720",8949,6739,4530,3961,2924,3459,5273,5513,8078,5250
"NAT60_RS09725",15235,15911,11838,20675,14771,16475,27355,31692,40518,24119
"NAT60_RS09730",6985,3329,1796,1751,1402,1543,2927,3067,2513,1650
"NAT60_RS09750",9763,10705,10622,14160,14584,15444,14267,16034,8716,6384
"NAT60_RS09760",1844,1513,3036,942,1181,977,3526,3124,1437,974
"NAT60_RS09770",541,443,315,350,330,301,414,451,635,473
"NAT60_RS09775",628,446,360,390,331,354,418,470,481,338
"NAT60_RS09790",8596,10921,11634,4562,3814,4475,8024,8947,24891,17926
"NAT60_RS09815",10018,6883,6441,5695,5276,5541,10423,10891,13346,9741
"NAT60_RS09820",2612,1961,2330,2352,2121,2129,3141,3296,6380,4603
"NAT60_RS09830",5894,4673,5426,6063,5490,5575,5844,6602,16420,11612
"NAT60_RS09835",522,406,561,492,423,493,739,790,1291,970
"NAT60_RS09850",1148,1160,1181,516,506,463,1017,1104,955,618
"NAT60_RS09855",1386,1252,1223,564,463,536,992,1176,1319,910
"NAT60_RS09860",506,629,668,748,649,711,524,652,820,561
"NAT60_RS09865",1178,1420,1680,1658,1625,1529,1162,1449,1884,1329
"NAT60_RS09870",4862,6202,6587,6401,6119,6142,5562,6441,6865,4418
"NAT60_RS09875",5266,5258,5911,5457,5068,5495,6744,7503,4288,2770
"NAT60_RS09880",228,273,346,205,190,194,323,355,203,146
"NAT60_RS09885",2686,2220,2470,2888,2165,2399,3520,3873,2474,1766
"NAT60_RS09890",2727,2397,2208,2969,2023,2545,3500,3842,3515,2455
"NAT60_RS09895",2305,2298,2354,2969,2008,2442,3419,3635,4265,2909
"NAT60_RS09905",9,11,8,10,8,15,25,25,8,9
"NAT60_RS09910",8568,4661,6272,3660,4078,3868,6089,6624,9504,6305
"NAT60_RS09915",12024,5832,7338,4690,5171,4947,8093,8687,11486,7776
"NAT60_RS09920",8629,4258,5140,3347,3702,3578,6037,6271,7042,5392
"NAT60_RS09925",10370,6195,7477,4435,5387,5208,9561,9853,9099,6498
"NAT60_RS09930",22907,12111,15497,7596,9424,8593,19113,18911,11248,7868
"NAT60_RS09935",5257,3189,2675,2033,2099,2161,2930,2990,4330,3043
"NAT60_RS09945",293,299,127,97,42,53,9,22,124,122
"NAT60_RS09950",1491,1529,602,523,299,334,80,85,856,564
"NAT60_RS09955",2462,1666,585,730,288,338,69,92,998,715
"NAT60_RS09960",4668,2976,1055,1582,595,703,135,179,1735,1337
"NAT60_RS09965",4362,2182,969,2259,700,933,247,236,2086,1689
"NAT60_RS09970",667,400,375,274,233,252,327,296,667,484
"NAT60_RS09985",1,0,6,1,0,2,1,3,3,1
"NAT60_RS09990",0,0,0,0,0,0,1,1,0,0
"NAT60_RS09995",0,0,3,3,1,4,4,3,0,1
"NAT60_RS10000",1,1,2,5,13,7,10,17,3,1
"NAT60_RS10005",2908,1398,1419,849,924,860,1777,1829,3249,2602
"NAT60_RS10010",2842,2929,3458,1954,2058,1859,4929,5394,8779,6557
"NAT60_RS10015",1291,943,1006,639,607,685,1347,1520,3099,2277
"NAT60_RS10020",153,98,107,117,109,131,191,201,224,156
"NAT60_RS10025",267,245,237,231,194,193,315,342,408,296
"NAT60_RS10035",141,160,168,150,140,127,197,199,169,116
"NAT60_RS10045",61,28,51,20,36,35,51,56,110,107
"NAT60_RS10050",20,8,15,16,12,12,12,17,45,31
"NAT60_RS10055",81,56,61,56,73,57,76,99,231,168
"NAT60_RS10060",58,32,33,17,11,11,31,27,43,41
"NAT60_RS10065",10,6,9,5,5,3,19,7,13,6
"NAT60_RS10070",46,42,37,22,16,12,28,32,51,43
"NAT60_RS10090",2277,2612,2755,3404,3851,3551,5256,5443,2559,1677
"NAT60_RS10095",1964,1963,2477,2773,3157,2867,3490,3801,2101,1509
"NAT60_RS10100",2533,2178,2251,2688,2963,2675,2880,3199,1943,1445
