"gene_id","Spn.wt..1.","Spn.wt..2.","Spn.wt..3.","Spn.delta.lctO.delta.spxB..1.","Spn.delta.lctO.delta.spxB..2.","Spn.delta.lctO.delta.spxB..3.","Spn.delta.lctO..1.","Spn.delta.lctO..2.","Spn.delta.spxB..1.","Spn.delta.spxB..2."
"NAT60_RS05250",0,0,0,1,0,0,0,1,0,0
"NAT60_RS05255",0,2,2,0,0,0,0,0,0,1
"NAT60_RS05260",56,66,70,151,143,124,100,91,258,202
"NAT60_RS05265",22,38,27,35,37,37,55,54,48,33
"NAT60_RS05270",12,10,18,23,20,22,31,32,37,17
"NAT60_RS05275",9,16,17,15,27,21,34,38,30,15
"NAT60_RS05280",445,771,1484,1033,1320,1146,1884,2060,993,708
"NAT60_RS05285",5759,5712,8163,5246,5707,5367,8340,8722,4739,3127
"NAT60_RS05310",3142,3755,5274,4915,5508,4777,7128,7513,3472,2280
"NAT60_RS05315",2186,2746,4092,3785,3955,3486,4179,4432,3255,2336
"NAT60_RS05320",1834,1871,2265,2111,2133,1888,1871,2122,2414,1680
"NAT60_RS05330",3117,2465,2843,2704,2395,2306,1836,2272,3216,2214
"NAT60_RS05335",1767,1557,1939,1750,1397,1451,1285,1496,2257,1500
"NAT60_RS05340",2445,2358,2703,2805,2598,2395,1757,2081,3740,2403
"NAT60_RS05355",56876,22757,20867,17272,14840,13949,12476,12722,37643,25491
"NAT60_RS05390",1248,1298,1234,1141,1168,912,1091,1277,2449,1757
"NAT60_RS05395",12,6,3,13,19,20,41,40,20,11
"NAT60_RS05400",7,1,3,3,3,9,16,12,6,5
"NAT60_RS05410",16854,11388,9992,15778,14411,15004,17690,18907,15904,12276
"NAT60_RS05425",387,299,200,377,289,342,398,418,359,324
"NAT60_RS05435",166,165,91,55,56,64,151,139,105,81
"NAT60_RS05440",1255,966,612,580,590,553,1011,1129,1051,776
"NAT60_RS05445",2450,1592,1352,1034,1010,1011,1701,1891,1966,1428
"NAT60_RS05450",1540,1063,709,628,563,591,985,1067,1285,953
"NAT60_RS05455",2047,1051,886,658,567,659,1239,1238,1750,1430
"NAT60_RS05460",12727,9336,8175,6625,6563,6412,10989,11515,17374,12184
"NAT60_RS05475",1567,1214,1316,1137,1182,1103,1608,1460,2326,1883
"NAT60_RS05495",5290,3311,2733,3735,2515,3017,4484,4781,10662,7972
"NAT60_RS05510",310,271,137,178,134,180,271,219,390,287
"NAT60_RS05515",62,87,79,57,56,60,103,72,164,105
"NAT60_RS05520",1140,410,215,532,318,349,235,268,353,278
"NAT60_RS05530",270,206,218,155,196,158,234,248,134,74
"NAT60_RS05535",99,187,326,199,154,161,270,283,306,251
"NAT60_RS05565",1391,942,841,1334,1216,1283,1805,1725,3041,2087
"NAT60_RS05570",1238,1106,1027,1637,1521,1518,1972,2091,3728,2738
"NAT60_RS05580",932,485,357,615,514,480,356,444,1329,1108
"NAT60_RS05585",110,40,49,167,91,86,56,52,955,774
"NAT60_RS05590",126,60,53,112,77,86,35,41,840,647
"NAT60_RS05595",50,28,24,34,25,38,16,12,309,250
"NAT60_RS05600",24,20,17,24,16,17,11,6,119,148
"NAT60_RS05605",18,26,24,24,24,13,12,10,203,174
"NAT60_RS05610",123,59,55,117,68,72,31,48,677,572
"NAT60_RS05615",143,70,70,138,75,79,20,47,932,809
"NAT60_RS05620",122,89,81,203,173,126,68,77,1088,979
"NAT60_RS05625",245,155,140,312,280,223,105,111,1934,1692
"NAT60_RS05630",255,170,136,234,185,172,73,88,1678,1275
"NAT60_RS05635",215,133,82,139,92,114,58,73,914,670
"NAT60_RS05640",19395,13709,9023,9071,10404,9468,6664,6911,6409,4515
"NAT60_RS05645",353,574,372,527,397,558,316,335,229,152
"NAT60_RS05655",155,112,123,76,91,68,90,97,65,47
"NAT60_RS05660",2325,1647,1252,1039,839,867,1060,1126,10279,7005
"NAT60_RS05665",3828,2184,1391,1371,1076,1122,1223,1419,9610,7284
"NAT60_RS05685",428,249,194,918,368,519,157,205,2524,1799
"NAT60_RS05690",263,190,146,432,188,230,260,236,918,588
"NAT60_RS05695",200,130,81,2018,574,757,118,136,577,383
"NAT60_RS05700",449,385,197,4269,1560,2091,231,269,1228,901
"NAT60_RS05705",127,68,39,651,244,400,48,50,125,107
"NAT60_RS05710",259,207,106,1566,733,925,140,149,414,291
"NAT60_RS05715",5,10,3,20,14,20,4,5,11,9
"NAT60_RS05720",19,15,13,52,28,43,34,27,17,6
"NAT60_RS05750",10717,10467,11027,6334,7509,7455,7724,7958,4244,2571
"NAT60_RS05755",6,2,8,7,4,3,4,3,24,13
"NAT60_RS05760",22,16,16,5,8,5,14,10,27,19
"NAT60_RS05765",5,4,8,3,1,0,4,3,13,4
"NAT60_RS05775",17931,15876,15631,13255,12282,13111,12299,13807,13127,8355
"NAT60_RS05780",26045,16260,15800,6247,6707,6349,14297,14956,7207,4753
"NAT60_RS05785",4460,2716,3187,1225,1806,1588,2317,2475,2078,1454
"NAT60_RS05790",2513,1631,1491,619,785,714,1387,1363,908,674
"NAT60_RS05795",1918,1177,1210,471,574,584,1355,1223,607,422
"NAT60_RS05800",10815,8268,7517,6600,6068,6269,7623,8459,7355,4889
"NAT60_RS05805",7068,5591,4797,4126,4125,4037,6108,6501,4173,2958
"NAT60_RS05810",7961,7450,8126,4188,4634,4501,6529,6737,6927,4474
"NAT60_RS05815",13846,16547,19527,21873,21229,20485,16037,19616,32021,22318
"NAT60_RS05825",26909,30450,37734,40512,39774,37633,33470,40237,56964,38298
"NAT60_RS05835",4262,6487,9605,9195,9196,8736,7691,9317,8961,6371
"NAT60_RS05850",11003,8897,9070,8854,9789,8796,8321,9555,6295,4316
"NAT60_RS05855",368,358,584,220,259,229,770,823,434,253
"NAT60_RS05860",595,692,1049,649,756,694,1643,1704,1084,692
"NAT60_RS05875",1186,940,1028,1451,1667,1532,1234,1485,2268,1732
"NAT60_RS05880",543,556,665,929,1016,890,833,1045,1367,1019
"NAT60_RS05890",2716,2203,2184,2322,2400,2128,2814,3109,5514,3843
"NAT60_RS05895",9013,3929,3385,3634,2849,2970,3591,4017,13708,10093
"NAT60_RS05900",740,609,530,399,357,363,355,378,1226,807
"NAT60_RS05905",613,562,365,312,279,329,319,404,810,600
"NAT60_RS05920",2962,1806,1876,2305,2375,2303,2485,2805,1458,1051
"NAT60_RS05925",9110,7554,6518,10371,8953,9723,11852,12823,17196,12008
"NAT60_RS05930",2958,3566,3580,4625,4463,4477,9222,10135,11985,7536
"NAT60_RS05935",11078,9722,10242,10091,11617,9192,10900,13447,3126,2490
"NAT60_RS05945",1048,1380,1408,1941,1874,1954,2039,2154,1727,1242
"NAT60_RS05950",9110,7712,6817,6557,5741,6359,5772,5911,14399,9448
"NAT60_RS05955",780,618,555,638,625,582,945,1136,3205,2058
"NAT60_RS05960",3936,2625,2614,2673,2737,2713,4364,4461,12575,8476
"NAT60_RS05965",3180,1843,1815,1656,1588,1697,2880,2893,2258,1543
"NAT60_RS05970",8876,6108,6892,5786,6179,5982,12624,12955,7040,4786
"NAT60_RS05995",681,701,711,897,846,834,1126,1215,1624,1151
"NAT60_RS06000",6027,5227,5017,7116,6499,6676,9249,9939,11325,6948
"NAT60_RS06005",1459,1223,1490,1418,1275,1435,2294,2607,1840,1244
"NAT60_RS06010",9760,5447,4916,5931,5370,5476,7183,7832,12819,8174
"NAT60_RS06015",712,753,924,641,571,624,1034,1071,1979,1351
"NAT60_RS06020",173,166,231,191,207,207,445,414,607,463
"NAT60_RS06030",259,293,212,245,206,213,196,197,293,244
"NAT60_RS06035",3328,2503,2523,3854,3584,3464,3169,3281,6544,4606
"NAT60_RS06040",500,314,294,577,496,503,614,632,629,452
"NAT60_RS06050",4028,4442,6245,3496,3486,3719,8667,9486,4774,3161
"NAT60_RS06060",8614,5988,6780,4833,4719,4824,7054,7882,11749,7940
"NAT60_RS06065",4542,2857,2981,2251,2265,2329,3756,4089,5119,3513
"NAT60_RS06075",11597,7290,7268,6996,6210,6380,7073,7753,12950,8802
"NAT60_RS06080",7138,3349,3386,2710,2058,2317,2767,2854,4180,3315
"NAT60_RS06090",7746,5026,4141,4117,3775,3628,4823,5475,7493,5087
"NAT60_RS06100",1114,1152,1379,946,973,985,1486,1522,1110,752
"NAT60_RS06110",14462,8554,6277,6944,5648,6409,6783,7771,17819,12394
"NAT60_RS06120",3628,3775,3232,2722,2559,2488,2750,3153,5286,3461
"NAT60_RS06135",1239,794,641,691,595,726,916,1076,965,582
"NAT60_RS06140",13626,7560,6456,5616,5126,5689,8738,9676,6694,4426
"NAT60_RS06145",65095,52526,46127,111889,133591,104223,51007,56300,134551,99130
"NAT60_RS06160",2366,2460,3048,3155,3159,3197,5333,5863,7540,4904
"NAT60_RS06170",10622,6475,6730,6437,6009,5997,8303,9633,10589,7233
"NAT60_RS06175",4038,2593,2544,1740,1251,1458,2157,2180,2720,2088
"NAT60_RS06180",34,32,44,102,88,96,157,166,33,26
"NAT60_RS06190",250,149,164,293,174,256,250,255,367,303
"NAT60_RS06195",3838,1893,1717,2424,1815,2201,2832,2874,4221,3317
"NAT60_RS06205",3013,3258,5259,2388,2967,2977,24738,23759,4578,2831
"NAT60_RS06210",1608,756,725,156,158,132,276,254,781,499
"NAT60_RS06215",43275,44183,31934,15193,16107,15638,22346,26006,30523,20100
"NAT60_RS06220",8894,7553,7037,5917,4485,4974,9687,10434,20107,12386
"NAT60_RS06225",7881,6047,5342,4336,3437,3941,6066,7138,15054,9927
"NAT60_RS06230",5882,7656,7579,8897,7919,8564,6729,8027,9499,6488
"NAT60_RS06235",217,287,397,720,866,818,798,1001,287,201
"NAT60_RS06240",13,14,30,28,25,31,51,51,43,35
"NAT60_RS06250",35,51,118,34,53,37,68,110,186,154
"NAT60_RS06255",5,37,96,21,27,23,59,80,104,71
"NAT60_RS06270",2030,1349,1347,1143,1093,1093,1366,1492,1881,1417
"NAT60_RS06275",74001,64745,58810,41702,33670,37598,49042,62182,25435,18427
"NAT60_RS06280",1193,729,646,4186,2539,2873,1432,1620,3914,3084
"NAT60_RS06285",2515,2079,1907,2859,2992,2613,3399,3654,2955,2208
"NAT60_RS06290",8257,9574,8112,15563,14631,16405,28640,33932,6584,4369
"NAT60_RS06300",3029,1666,1906,1925,1618,1745,1591,1936,4549,2854
"NAT60_RS06305",2126,1406,1497,1468,1391,1401,1303,1542,2901,2212
"NAT60_RS06310",1646,1179,1494,1703,1564,1493,1578,1854,4077,2773
"NAT60_RS06315",18268,9931,9290,12446,11248,11265,11204,11952,20805,14480
"NAT60_RS06320",250,293,389,246,287,201,507,623,580,423
"NAT60_RS06325",2108,1842,1851,1698,1386,1512,1474,1727,4519,3200
