"gene_id","rofA_1","rofA_2","rofA_3","ssRA_1","ssRA_2","ssRA_3","WT_1","WT_2","WT_3"
"H7X59_00005",7623,6111,10202,6925,6349,9966,7714,7139,5985
"H7X59_00010",10729,9028,12729,8975,7776,12772,10737,9714,8112
"H7X59_00015",551,266,586,398,217,529,317,447,349
"H7X59_00020",13117,9486,18073,10086,9894,14530,11676,10465,9443
"H7X59_00025",1642,1399,2376,1419,1172,1899,1447,1543,1142
"H7X59_00030",16256,11174,18223,12583,9663,17558,15316,13001,10155
"H7X59_00035",2214,1279,2297,1507,1090,2138,1598,1578,1103
"H7X59_00040",3029,2399,3860,2357,2320,3414,2527,2300,1934
"H7X59_00045",9142,7361,12170,7340,6310,11770,8349,8061,6643
"H7X59_00050",7354,5407,9524,5322,4379,8940,7038,5898,4285
"H7X59_00055",11007,7921,13611,9241,7268,15119,8639,8909,7026
"H7X59_00060",83883,62149,90259,66715,60228,97590,72488,72706,59998
"H7X59_00065",7335,5627,9456,5712,5498,7933,7027,6139,5417
"H7X59_00070",142,220,403,278,559,288,253,256,469
"H7X59_00075",662,362,1320,741,327,1424,530,677,300
"H7X59_00080",1084,1536,2340,1862,1985,1588,2006,1670,1909
"H7X59_00085",1,3,25,8,9,19,0,7,0
"H7X59_00090",412,223,1147,490,356,1236,690,525,336
"H7X59_00095",766,428,1993,754,455,2249,767,797,444
"H7X59_00100",5518,2152,12982,4407,3260,12090,5295,4232,2918
"H7X59_00105",514,381,2121,787,612,1976,915,778,397
"H7X59_00110",312,209,1169,470,286,1134,430,444,262
"H7X59_00115",231,141,559,287,154,733,226,279,89
"H7X59_00120",724,407,1724,620,506,1852,743,662,352
"H7X59_00125",331,192,874,308,251,759,373,275,201
"H7X59_00130",1007,717,3268,1297,1152,2255,1142,1336,702
"H7X59_00135",106,229,375,253,495,270,258,247,414
"H7X59_00140",675,407,1208,719,312,1364,553,667,339
"H7X59_00145",1071,1512,2204,1884,2036,1666,1927,1637,1926
"H7X59_00150",2,1,26,15,5,11,0,7,0
"H7X59_00155",376,242,1110,522,377,1297,672,459,323
"H7X59_00160",782,443,2004,715,467,2337,771,760,452
"H7X59_00165",5569,2143,12869,4472,3330,12390,5354,4144,2867
"H7X59_00170",501,323,2172,776,576,1931,865,840,422
"H7X59_00175",344,188,1213,478,301,1233,396,436,236
"H7X59_00180",222,130,516,259,134,722,240,302,117
"H7X59_00185",709,411,1748,644,492,1847,733,581,362
"H7X59_00190",306,161,849,303,192,743,193,369,160
"H7X59_00195",535,232,1200,407,278,926,316,463,273
"H7X59_00200",1735,988,3726,1284,1191,3077,1782,1396,1116
"H7X59_00205",2247,1442,4892,2139,1627,4662,2702,2004,1619
"H7X59_00210",633,434,1686,753,425,1441,667,856,352
"H7X59_00215",488,352,1485,593,392,1415,698,532,340
"H7X59_00220",357,194,702,341,261,662,465,289,176
"H7X59_00225",229,91,519,226,136,505,238,133,133
"H7X59_00230",360,223,1169,470,305,744,489,490,268
"H7X59_00235",312,246,1306,460,371,798,375,565,349
"H7X59_00240",6,1,38,24,0,19,0,17,24
"H7X59_00245",69468,65142,100476,61383,81317,69646,96027,62989,77195
"H7X59_00250",40653,28443,45926,32108,26749,43554,35510,31956,26399
"H7X59_00255",1268,956,1470,1173,799,1624,888,1037,865
"H7X59_00260",4771,4191,7192,5121,4848,6528,4233,5527,4161
"H7X59_00265",779,465,814,682,723,922,529,782,637
"H7X59_00270",738,412,778,899,572,796,671,907,444
"H7X59_00275",8514,5075,6666,9063,5524,6865,8649,8352,5214
"H7X59_00280",4278,2535,2850,4242,2517,2874,3809,4061,2477
"H7X59_00285",2782,1670,2146,2985,1869,2165,2846,2823,1715
"H7X59_00290",1850,1051,1354,1682,889,1451,1685,1679,951
"H7X59_00295",5762,3764,4118,5998,3847,4742,5919,5953,3653
"H7X59_00300",144,102,165,85,194,180,122,98,149
"H7X59_00305",4912,2694,3413,5612,2998,3767,4555,5691,2760
"H7X59_00310",2087,1222,1408,2488,1184,1458,2202,2449,1251
"H7X59_00315",4872,2951,3414,5800,2840,3636,4418,5409,2788
"H7X59_00320",9054,6602,8788,8091,5726,7021,7481,8339,5752
"H7X59_00325",11964,9387,14391,12314,10223,14530,13430,12810,10028
"H7X59_00330",963,391,482,1034,487,566,582,1004,339
"H7X59_00335",19911,12461,22515,17537,12175,22286,13972,18970,12056
"H7X59_00340",6117,4044,5065,5020,3155,6323,4060,4977,3209
"H7X59_00345",3799,3628,4603,4093,3216,4659,3795,4598,3379
"H7X59_00350",25684,19300,24937,23032,17236,28714,21025,24634,15943
"H7X59_00355",16049,16583,7460,17223,14440,8431,29071,17651,14156
"H7X59_00360",2287,2346,1999,2333,2276,1622,3346,2408,2291
"H7X59_00365",2605,1915,2437,2155,2237,2617,2292,2471,2119
"H7X59_00370",42310,39844,80633,38845,45713,60925,64284,39697,50452
"H7X59_00375",98146,103693,175639,81619,113289,131739,164970,91131,131784
"H7X59_00380",84999,87010,131149,71710,97787,103432,140264,75593,110945
"H7X59_00385",58513,62020,90466,47695,67959,68467,91751,50263,77833
"H7X59_00390",134918,149109,223144,122000,172488,174118,232849,131462,193054
"H7X59_00395",46672,58490,80818,43344,60070,57706,74401,45149,71505
"H7X59_00400",63621,69108,102636,57814,76637,77001,104244,58449,90737
"H7X59_00405",119013,126450,184909,98416,145869,138516,183008,106778,165606
"H7X59_00410",90209,82777,119626,64812,93358,89369,116532,68308,105750
"H7X59_00415",47112,44088,57185,30917,40366,44069,54898,33471,50658
"H7X59_00420",69706,69789,93248,48651,68498,66622,84621,53475,84344
"H7X59_00425",81999,79749,110021,59242,78975,81814,108265,66090,92579
"H7X59_00430",73999,82670,109450,58538,82294,83287,99883,63212,98562
"H7X59_00435",141845,134174,178939,104234,139710,142013,177294,108713,159718
"H7X59_00440",20313,22096,28641,17133,24215,20458,28141,18445,26069
"H7X59_00445",74037,75629,97539,55902,72410,73703,93638,61549,84527
"H7X59_00450",107857,113902,153428,86316,118250,121068,152316,95150,136003
"H7X59_00455",62999,72761,100801,57965,76790,76897,92875,62195,88333
"H7X59_00460",75391,83138,112225,67608,87287,89181,107999,69775,97343
"H7X59_00465",36881,36404,51731,28383,38099,38942,46720,31115,45794
"H7X59_00470",88919,96156,133140,72649,101147,106621,120384,78179,117909
"H7X59_00475",219117,220568,305111,169906,222875,243016,259195,179967,253126
"H7X59_00480",12147,13582,25583,10513,15874,18371,19477,11292,18757
"H7X59_00485",34708,35817,51757,35940,43637,44003,44505,32093,42305
"H7X59_00490",22149,27319,41908,22866,33373,29203,31048,23441,34629
"H7X59_00495",62640,65039,99011,57356,80353,73467,84318,57400,79555
"H7X59_00500",94346,93420,138228,79839,103312,110152,124166,82554,111097
"H7X59_00505",250310,240525,345292,185641,249942,279879,295992,201764,282577
"H7X59_00510",82849,80147,116845,69197,90138,93515,104650,71587,96600
"H7X59_00515",131,217,417,252,540,288,291,275,415
"H7X59_00520",663,389,1251,738,328,1382,565,662,338
"H7X59_00525",1071,1435,2233,1933,1930,1621,1987,1608,1871
"H7X59_00530",4,5,29,10,4,19,0,2,0
"H7X59_00535",165,103,507,202,104,441,222,191,74
"H7X59_00540",329,156,917,403,210,1118,364,445,194
"H7X59_00545",982,502,2982,863,665,2567,1127,884,596
"H7X59_00550",424,258,1204,521,303,1544,638,431,231
"H7X59_00555",736,484,2554,778,511,1887,960,774,485
"H7X59_00560",555,381,1558,576,447,1471,644,528,394
"H7X59_00565",270,129,745,289,201,715,329,192,135
"H7X59_00570",417,248,1173,407,214,1424,261,361,197
"H7X59_00575",713,535,2104,676,366,2712,700,657,402
"H7X59_00580",555,332,1384,465,397,1129,593,428,413
"H7X59_00585",718,384,1340,615,571,1877,657,594,573
"H7X59_00590",156,86,177,69,44,194,88,65,63
"H7X59_00600",3774,3505,5288,3535,3695,4742,4852,4086,3993
"H7X59_00605",6125,5450,7614,5733,5579,7866,7023,6198,6104
"H7X59_00610",7600,5895,8138,6509,5990,8684,8264,6869,6249
"H7X59_00615",237,233,383,315,241,424,437,239,135
"H7X59_00620",9760,8378,18077,8374,10226,12291,13887,9026,9119
"H7X59_00625",31000,24665,34630,25456,26537,34298,31018,27870,25498
"H7X59_00630",119238,108548,152999,99915,108905,138906,154548,107414,120832
"H7X59_00635",172638,149857,213097,139120,154946,197269,196902,153126,171403
"H7X59_00640",2123,1803,2406,2045,1754,3240,1852,2011,1693
"H7X59_00645",92,126,169,63,61,210,39,145,91
"H7X59_00650",163,98,139,139,24,167,136,109,64
"H7X59_00655",16,63,21,45,27,38,36,34,19
"H7X59_00660",60,21,17,52,80,56,60,25,63
"H7X59_00665",12,47,14,9,0,40,74,39,18
"H7X59_00670",10,40,32,29,62,24,0,54,56
"H7X59_00675",36,26,30,17,12,44,32,33,13
"H7X59_00680",10448,8319,13913,9291,8268,15506,9614,10542,7922
"H7X59_00685",19156,17827,24431,17188,17065,26123,22479,18468,16522
"H7X59_00690",379,249,429,198,219,257,360,239,325
"H7X59_00695",5719,4977,7963,6038,6054,6775,6737,7283,5824
"H7X59_00700",10334,7843,12471,10099,9260,11258,10391,11124,8306
"H7X59_00705",605,655,988,707,603,912,502,552,561
"H7X59_00710",881,877,1494,930,1036,1055,853,989,1036
"H7X59_00715",4845,3556,5888,4034,3721,5100,4524,4056,3894
"H7X59_00720",149,70,118,99,48,100,56,125,77
"H7X59_00725",4785,5454,7428,5524,6087,7066,6188,5963,6215
"H7X59_00730",14966,12529,16977,13810,14304,17250,17141,14505,14468
"H7X59_00735",10047,7702,11720,8529,7983,11586,10910,9349,8580
"H7X59_00740",43465,46957,59070,40731,42893,59403,54644,43891,48318
"H7X59_00745",82572,79971,140565,57484,84695,89455,113555,59021,96812
"H7X59_00750",16147,15619,27586,12400,17261,18784,22789,13426,20285
"H7X59_00755",27618,30152,49371,21955,33486,34526,43319,22489,37599
"H7X59_00760",27906,27673,47342,18862,30079,29908,39014,19743,34787
"H7X59_00765",17256,16115,26937,11464,16936,18844,24482,11802,19997
"H7X59_00770",1415,765,1063,1566,1113,1093,1081,1831,877
"H7X59_00775",137,108,94,192,116,89,52,228,194
"H7X59_00780",1037,327,161,1224,312,141,547,1183,340
"H7X59_00790",839,517,251,1410,647,518,475,1381,449
"H7X59_00795",27,43,17,26,15,28,34,18,31
"H7X59_00805",78,67,44,44,50,57,63,27,45
"H7X59_00810",23,59,18,30,67,29,7,22,15
"H7X59_00815",17,43,52,23,55,24,88,37,41
"H7X59_00820",1418,1368,1927,1377,1201,1569,1231,1421,1008
"H7X59_00825",3385,2798,5135,3181,2107,4828,3934,3277,2097
"H7X59_00830",10545,7016,13807,8697,6581,14471,10775,9502,5044
"H7X59_00835",206,159,296,117,120,218,403,204,181
"H7X59_00840",591,564,957,734,731,817,1079,575,475
"H7X59_00845",83,94,187,152,140,152,118,113,166
"H7X59_00850",141,194,375,168,257,220,360,207,224
"H7X59_00855",345,250,509,265,351,437,481,430,416
"H7X59_00860",120,153,185,141,196,218,327,119,200
"H7X59_00865",532,802,1411,819,881,1289,1768,985,1069
"H7X59_00870",605,843,1686,755,981,1329,1951,890,1101
"H7X59_00875",245,361,569,267,363,446,702,354,460
"H7X59_00880",3551,4081,5320,4457,4756,5066,4438,4306,4020
"H7X59_00885",1774,1863,2062,1992,1692,2393,1915,2392,1802
"H7X59_00890",25140,23972,35520,20420,24211,27849,30926,21043,26538
"H7X59_00895",22389,25223,37438,23743,24886,34812,29569,23542,26244
"H7X59_00900",3838,3599,6038,4257,3663,5788,4387,4325,3508
"H7X59_00905",2123,1504,2972,2737,1166,4710,2322,2775,1045
"H7X59_00910",1026,552,1354,1176,597,2222,873,1398,352
"H7X59_00915",3006,2641,5199,4288,2433,8393,3822,4918,2016
"H7X59_00920",81,60,68,96,68,71,58,101,13
"H7X59_00925",142,44,32,89,80,0,50,76,3
"H7X59_00930",19,19,20,29,13,19,0,61,25
"H7X59_00935",9963,7982,8223,7168,8524,6112,9597,7698,9088
"H7X59_00940",41385,34267,51733,39045,36240,52719,44604,43998,35436
"H7X59_00945",118,214,42,128,124,36,181,107,154
"H7X59_00950",40,19,13,1,20,6,77,8,6
"H7X59_00955",37,28,10,77,46,24,45,51,24
"H7X59_00960",37,90,68,53,80,41,7,53,14
"H7X59_00965",82,66,62,64,95,55,96,79,84
"H7X59_00970",43,93,35,75,46,47,2,125,99
"H7X59_00975",4124,3784,6628,3576,4546,5003,4943,3551,4931
"H7X59_00980",1778,2110,2069,1628,2264,1661,2590,1572,2180
"H7X59_00985",25167,15163,22690,24867,16041,27434,21631,26616,17340
"H7X59_00990",47218,31999,37442,46139,35006,45484,44534,49793,38075
"H7X59_00995",42908,26453,28489,40788,25355,34481,32244,45530,24866
"H7X59_01000",7807,5262,6045,7865,5762,7261,7415,8204,5452
