"gene_id","Untreated_Rep1","Nov_Rep1","Zn_Rep1","Zn_Nov_Rep1","Untreated_Rep2","Nov_Rep2","Zn_Rep2","Zn_Nov_Rep2"
"spr0970",160,58,160,75,145,49,146,50
"spr0971",320,151,392,168,351,139,337,118
"spr0972",5,5,6,6,9,8,5,6
"spr0973",13910,11900,15770,13179,15990,13832,13258,12296
"spr0974",44796,50280,49398,56868,52606,59842,44134,51404
"spr0975",3517,2113,3437,2293,3629,2474,3265,2098
"spr0976",2567,1358,2826,1603,2758,1532,2463,1298
"spr0977",2020,1232,2456,1340,2198,1286,1904,1071
"spr0978",29162,18077,31915,18875,30502,18048,26476,15758
"spr0979",21793,12012,22281,12886,21991,11668,18446,11032
"spr0980",8887,4952,9243,5763,9901,5426,7826,4983
"spr0981",11257,16712,12716,18264,12587,17153,10580,14786
"spr0982",18187,26895,20236,31783,19095,27617,16391,25875
"spr0983",1944,2953,2259,3372,1861,2620,1616,3158
"spr0984",21547,25660,23801,29513,22634,25590,20979,25284
"spr0985",4396,5185,5888,7067,5729,6582,4485,5945
"spr0986",50,31,69,35,106,37,71,43
"spr0987",6,3,9,2,10,1,3,1
"spr0988",24,2,26,6,20,1,18,6
"spr0989",19600,7920,24048,9616,20062,7800,19539,8320
"spr0990",6682,3001,8233,4112,7609,3205,6962,3176
"spr0991",20035,9939,25602,13285,22299,10837,21251,11080
"spr0992",15815,8431,19530,10539,15769,8932,16021,9309
"spr0993",446,385,618,516,503,488,456,399
"spr0994",423,374,525,435,459,419,389,355
"spr0995",13998,4661,15165,5158,13906,4853,12685,4371
"spr0996",10299,5532,10311,2932,13928,4489,11191,2067
"spr0997",4219,5650,4692,6770,4650,6499,3692,6121
"spr0998",3093,3640,3272,4060,3344,3992,2611,3792
"spr0999",2245,2884,2897,4237,2889,3772,2496,3644
"spr1000",1855,2051,1896,2677,2100,2438,1921,2549
"spr1001",15049,15254,15435,19133,15601,18778,14121,18729
"spr1002",11083,10611,11107,12509,12016,13644,10621,12237
"spr1003",795,607,865,781,816,651,781,657
"spr1004",5338,3492,4093,3496,5285,3849,3458,2763
"spr1005",6741,4656,5994,4923,6752,5190,4533,4043
"spr1006",7165,5774,6609,6000,7297,6157,5209,4914
"spr1007",15659,12886,14128,13839,13328,13598,11621,12651
"spr1008",425,243,373,292,464,280,326,246
"spr1009",608,387,495,485,657,485,447,392
"spr1010",3824,4079,4075,4599,4282,4365,3801,4116
"spr1011",2284,1872,2514,2183,2282,1928,2280,1998
"spr1012",39732,29714,41489,29842,40659,31063,34776,27853
"spr1013",58978,42376,60232,44593,61550,47187,51725,41288
"spr1014",28453,24280,34688,28145,32790,27989,30037,24801
"spr1015",13,4,9,8,14,3,7,3
"spr1016",69,42,52,42,72,47,56,46
"spr1017",13126,12800,13232,9559,14977,11767,12322,9125
"spr1018",2189,1497,2772,2399,2280,1697,2652,2297
"spr1019",10098,9589,11092,11461,10731,9997,9824,10490
"spr1020",513,440,591,608,673,455,488,484
"spr1021",24478,14013,26542,15975,25206,14867,22102,12932
"spr1022",6390,4267,7597,4917,7306,4410,5933,3700
"spr1023",3680,2629,4434,3115,4175,2784,3415,2240
"spr1024",17553,12574,17080,14564,17937,15325,15965,13255
"spr1025",32899,28546,32370,32569,32526,33096,28942,28793
"spr1026",415,377,500,589,521,618,361,502
"spr1027",0,0,4,1,1,0,0,1
"spr1028",5869,2059,7541,2440,5320,1438,5022,1983
"spr1029",11355,17533,6361,14852,9192,16749,3060,9629
"spr1030",6173,8818,3626,6918,5503,8593,2194,4686
"spr1031",4217,6498,3078,4745,3887,6053,2213,3574
"spr1032",2769,4426,2731,3634,2820,4591,2004,2883
"spr1033",104,78,112,63,98,99,61,67
"spr1034",419,285,377,262,345,363,251,200
"spr1035",1614,283,1494,371,2042,338,1114,242
"spr1036",263615,229585,265328,228310,259440,239742,240050,219442
"spr1037",1977,2477,2117,2969,2160,2284,1884,2415
"spr1038",2221,2216,1985,2076,1807,1937,1710,1969
"spr1039",16045,8133,16020,8900,15563,8449,13136,6874
"spr1040",25586,15287,25433,16358,25191,16171,21154,12767
"spr1041",7398,4864,7332,4902,7145,4898,5982,3653
"spr1042",37787,25169,34657,22662,39436,25257,33158,17290
"spr1043",7349,2704,8144,2808,7560,2563,7214,2563
"spr1044",6177,2440,7158,2694,6436,2395,6150,2379
"spr1045",16159,7017,19342,8602,18076,7627,17192,7433
"spr1046",751,230,802,455,768,325,728,583
"spr1047",10857,7755,11547,8248,11235,9315,10823,7011
"spr1048",18316,12099,19158,13456,18737,15076,17231,11667
"spr1049",10625,6387,10726,7323,11187,7755,9464,6944
"spr1050",9326,5047,9331,5676,9401,5819,8219,5378
"spr1051",9304,4571,9161,5738,9264,5608,8011,5040
"spr1052",43933,63580,51754,66659,42872,59219,45081,57651
"spr1053",40759,51288,46194,58495,38977,51412,40891,51191
"spr1054",13393,15121,14715,18237,12512,15997,13231,16074
"spr1055",15773,18349,17214,20932,16135,19849,16036,18561
"spr1056",7333,7426,8467,10829,9539,11401,9310,9159
"spr1057",22397,19432,23350,24187,21532,24884,23834,24617
"spr1058",1,0,3,1,2,0,0,0
"spr1059",0,0,4,0,1,0,5,1
"spr1060",11691,3237,10196,3996,11040,3165,7170,3290
"spr1061",11806,4651,10029,5852,11960,4000,9263,4922
"spr1062",131392,199155,136775,210034,141538,228344,125404,193804
"spr1063",15724,22215,16503,23620,15536,24216,15221,21971
"spr1064",5857,5425,7397,8664,6485,6355,6814,7450
"spr1065",59224,69912,80090,103800,55886,74461,73583,97850
"spr1066",29028,40989,37847,56461,28797,42900,32986,50928
"spr1067",5550,3314,5129,3625,6373,3573,4496,3019
"spr1069",418,257,225,211,358,228,117,113
"spr1070",1613,921,898,621,1586,748,435,445
"spr1071",458,229,228,175,410,214,122,103
"spr1072",645,312,351,271,671,327,180,214
"spr1073",5308,2820,4935,2955,5072,2769,4332,2277
"spr1074",4738,2461,4147,2437,4408,2156,3424,2063
"spr1075",4268,1950,3151,1844,3347,1573,2532,1533
"spr1076",2628,1328,2055,1354,2289,1077,1629,1022
"spr1077",67,51,54,48,49,46,41,43
"spr1078",381,292,383,353,399,326,272,240
