"gene_id","D39WT_Untreated","D39_WT_100Zn","DczcD_100Zn"
"SPD_0177",5281,4987,7794
"SPD_0178",10187,8056,12595
"SPD_0179",3974,3201,6038
"SPD_0180",6015,4756,6152
"SPD_0181",10125,8037,11324
"SPD_0182",8527,7032,10875
"SPD_0183",4641,4076,6642
"SPD_0184",4815,3634,4412
"SPD_0185",1489,1471,2123
"SPD_0186",8024,6802,9106
"SPD_0187",22272,24590,104693
"SPD_0188",1380,1451,7881
"SPD_0189",1738,1980,11303
"SPD_0190",2423,2853,17545
"SPD_0191",2893,3352,21334
"SPD_0192",40064,32061,19599
"SPD_0193",76107,64180,35620
"SPD_0194",60802,53801,29401
"SPD_0195",35028,30846,17701
"SPD_0196",77820,71683,38855
"SPD_0197",26268,23214,14225
"SPD_0198",35925,32788,19639
"SPD_0199",59637,54291,33395
"SPD_0200",47851,43043,26742
"SPD_0201",21298,19272,11538
"SPD_0202",32130,30469,17899
"SPD_0203",33331,30596,20661
"SPD_0204",28179,25630,17011
"SPD_0205",45265,42716,26833
"SPD_0206",24291,22459,14609
"SPD_0207",31199,29020,20682
"SPD_0208",44098,41323,28830
"SPD_0209",31375,29763,19892
"SPD_0210",47115,43789,29404
"SPD_0211",23869,22792,14602
"SPD_0212",29398,28811,18758
"SPD_0213",70183,68874,47076
"SPD_0214",8816,7084,5701
"SPD_0215",39568,27974,18094
"SPD_0216",83899,60183,35815
"SPD_0217",72665,53803,31419
"SPD_0218",179594,130369,79708
"SPD_0219",81480,61405,35310
"SPD_0220",1201,981,855
"SPD_0221",7278,6069,6217
"SPD_0222",5664,4476,6738
"SPD_0223",138,135,178
"SPD_0224",82,76,91
"SPD_0225",123,127,133
"SPD_0226",32,31,50
"SPD_0227",16,8,17
"SPD_0228",77,79,60
"SPD_0229",202,182,165
"SPD_0230",540,553,374
"SPD_0231",631,630,564
"SPD_0232",34,45,37
"SPD_0233",52,45,57
"SPD_0234",193,222,244
"SPD_0235",558,591,630
"SPD_0236",164,176,194
"SPD_0237",331,320,397
"SPD_0238",24509,22030,26012
"SPD_0239",975,848,1507
"SPD_0240",690,673,1107
"SPD_0241",2821,2316,3830
"SPD_0242",1544,1301,2414
"SPD_0243",6715,5424,7194
"SPD_0244",6727,5738,8232
"SPD_0245",12651,11158,15960
"SPD_0246",24892,21384,30247
"SPD_0247",711,874,1588
"SPD_0248",32033,29675,43716
"SPD_0249",4810,4250,7068
"SPD_0250",1437,1413,776
"SPD_0251",68365,51057,38214
"SPD_0252",76640,61494,47396
"SPD_0253",170975,145251,119928
"SPD_0254",11299,10815,15829
"SPD_0255",1301,1040,1303
"SPD_0256",1686,1416,2152
"SPD_0257",927,797,1214
"SPD_0258",8604,8022,10830
"SPD_0259",2506,2180,3321
"SPD_0260",1325,1083,2159
"SPD_0261",22912,17625,13804
"SPD_0262",42243,36644,18577
"SPD_0263",30733,27791,11694
"SPD_0264",33780,29897,11110
"SPD_0265",4135,3793,4457
"SPD_0266",4435,3484,3954
"SPD_0267",3670,3317,1927
"SPD_0268",358,349,294
"SPD_0269",3180,2905,3708
"SPD_0270",3718,3723,6588
"SPD_0271",2020,1877,3341
"SPD_0272",2546,2373,4265
"SPD_0273",1631,1246,1745
"SPD_0274",71972,55599,50823
"SPD_0275",64776,51435,46491
"SPD_0276",4,1,9
"SPD_0277",43,32,50
"SPD_0278",3,4,1
"SPD_0279",4,9,6
"SPD_0280",88,89,117
"SPD_0281",16,22,30
"SPD_0282",24,35,49
"SPD_0283",114,128,144
"SPD_0284",901,570,686
"SPD_0285",4011,3586,5977
"SPD_0286",730,722,1263
"SPD_0287",198,219,307
"SPD_0288",19,18,9
"SPD_0289",95,81,119
"SPD_0290",111,85,139
"SPD_0291",63,64,71
"SPD_0292",64,66,54
"SPD_0293",2,5,7
"SPD_0294",16,22,25
"SPD_0295",12,17,15
"SPD_0296",25,25,39
"SPD_0297",32,31,55
"SPD_0298",8,11,12
"SPD_0299",1,1,4
"SPD_0300",25,25,36
"SPD_0301",2952,2790,4147
"SPD_0302",165,159,298
"SPD_0303",112,131,171
"SPD_0304",4087,3044,3110
"SPD_0305",2173,1639,1889
"SPD_0306",15505,13783,17952
"SPD_0307",5174,4549,6657
"SPD_0308",1935,2194,8702
"SPD_0309",4482,3442,3926
"SPD_0310",19288,16073,19249
"SPD_0311",16817,14802,8854
"SPD_0313",274,249,271
"SPD_0312",319,277,489
"SPD_0314",636,550,833
"SPD_0315",45023,41063,46777
"SPD_0316",22531,21075,25724
"SPD_0317",23568,22366,26652
"SPD_0318",22409,20777,24239
"SPD_0319",36874,35847,41819
"SPD_0320",31703,31976,33985
"SPD_0321",23575,22807,25295
"SPD_0322",25254,22841,22117
"SPD_0323",16850,16415,15009
"SPD_0324",18856,18311,16963
"SPD_0325",14844,15015,15057
"SPD_0326",28447,27731,27755
"SPD_0327",14348,14203,13737
"SPD_0328",23244,22487,23583
"SPD_0329",15505,14916,16727
"SPD_0330",30516,28511,30384
"SPD_0331",10865,10048,12622
"SPD_0332",12886,11941,15771
"SPD_0333",2093,2067,2609
"SPD_0334",16082,14780,11672
"SPD_0335",284,291,201
"SPD_0336",49027,38242,36809
"SPD_0337",12948,10150,6944
"SPD_0338",362,290,350
"SPD_0339",3711,2984,3711
"SPD_0340",272952,247050,147689
"SPD_0341",5930,5267,8062
"SPD_0342",10090,9553,13872
"SPD_0343",42352,37288,47718
"SPD_0344",20906,18678,29571
"SPD_0345",3553,3147,4060
"SPD_0346",2056,1738,2199
"SPD_0347",4047,3436,4759
"SPD_0348",5277,4767,6791
"SPD_0349",4415,4044,5993
"SPD_0350",1623,1426,2128
"SPD_0351",2000,1880,3167
"SPD_0352",1028,1020,1665
"SPD_0353",280,253,506
"SPD_0354",667,646,1437
"SPD_0355",386,323,624
"SPD_0356",1245,1235,2666
"SPD_0357",2614,2483,5880
"SPD_0358",78,89,132
"SPD_0359",15,18,19
"SPD_0360",76,75,126
"SPD_0361",30,35,65
"SPD_0362",6,6,6
"SPD_0363",10,13,19
"SPD_0364",1,1,1
"SPD_0365",67239,51468,38773
"SPD_0366",5625,5469,10727
"SPD_0367",5155,4683,7017
"SPD_0368",5632,4818,6442
"SPD_0369",3223,2489,2923
"SPD_0370",6156,4839,7648
"SPD_0371",10142,8317,10354
"SPD_0372",1864,1710,1873
"SPD_0373",1155,752,473
"SPD_0374",2071,1745,2353
"SPD_0375",8166,7176,7709
"SPD_0376",3046,2856,3185
"SPD_0377",8750,8503,8680
"SPD_0378",16481,9948,15398
"SPD_0379",31804,25293,17952
"SPD_0380",62373,50403,36315
"SPD_0381",30910,24081,11540
"SPD_0382",15779,11944,15046
"SPD_0383",23271,19996,20141
"SPD_0384",21175,18886,19422
"SPD_0385",41554,37538,39796
"SPD_0386",18921,17508,18533
"SPD_0387",18982,17538,18307
"SPD_0388",42615,39346,42444
"SPD_0389",30504,27194,31250
"SPD_0390",20734,18334,20114
"SPD_0391",527,533,446
"SPD_0392",743,639,611
"SPD_0393",15953,11886,12835
"SPD_0394",15447,11370,11664
"SPD_0395",17592,13248,10594
"SPD_0396",16485,14508,19787
"SPD_0397",14645,13137,15895
"SPD_0398",2353,2006,1814
"SPD_0399",15626,12539,19788
"SPD_0400",3391,2630,4742
"SPD_0401",20139,14780,9041
"SPD_0402",6160,4646,5207
"SPD_0403",41317,32882,43482
"SPD_0404",2367,2243,2159
"SPD_0405",1004,892,784
"SPD_0406",2305,2423,1892
"SPD_0407",594,550,463
"SPD_0408",514,503,457
"SPD_0409",785,762,692
"SPD_0410",6722,5354,4173
"SPD_0411",4400,4161,4149
"SPD_0412",6833,6911,5844
"SPD_0414",2602,2700,2947
"SPD_0413",683,653,752
"SPD_0415",5669,4958,7424
"SPD_0416",1632,1576,2474
"SPD_0417",7644,7375,13256
"SPD_0418",339,361,554
"SPD_0419",1292,1258,2259
"SPD_0420",38164,25889,39375
"SPD_0421",621,611,857
"SPD_0422",598,545,790
"SPD_0423",1107,829,631
"SPD_0424",51,81,80
"SPD_0425",111,146,153
"SPD_0426",42,42,49
"SPD_0427",132,142,173
"SPD_0428",221,220,296
"SPD_0429",5207,4961,7304
"SPD_0430",5067,4403,4846
"SPD_0431",1399,1272,1432
"SPD_0432",1303,1105,1581
"SPD_0433",452,376,571
"SPD_0434",4464,4405,8197
"SPD_0435",2706,2867,4068
