Replicate,Genotype,Medium
1,ccpA,CDMB
2,ccpA,CDMB
3,ccpA,CDMB
1,ccpA,CDMN
2,ccpA,CDMN
3,ccpA,CDMN
1,WT,CDMN
2,WT,CDMN
1,WT,CDMB
2,WT,CDMB
