Replicate,Genotype
1,WT
2,WT
3,WT
1,lctO+spxB_KO
2,lctO+spxB_KO
3,lctO+spxB_KO
1,lctO_KO
2,lctO_KO
1,spxB_KO
2,spxB_KO
