Replicate,Genotype
1,WT
2,WT
3,WT
1,5g03430
2,5g03430
3,5g03430
1,1g12332
2,1g12332
3,1g12332
1,5g06140
2,5g06140
3,5g06140
1,3g09610
2,3g09610
3,3g09610
1,4g10910
2,4g10910
3,4g10910
