Replicate,Genotype
1,WT
2,WT
3,WT
1,rsmA
2,rsmA
3,rsmA
1,rsmArpoN
2,rsmArpoN
3,rsmArpoN
1,rsmAsfa2
2,rsmAsfa2
3,rsmAsfa2
1,rmsAsfa3
2,rmsAsfa3
3,rmsAsfa3
