Replicate,Genotype,Growth
1,WT,minimal_media
2,WT,minimal_media
1,pstB,minimal_media
2,pstB,minimal_media
1,phoB,minimal_media
2,phoB,minimal_media
1,WT,minimal_media+ethanol
2,WT,minimal_media+ethanol
1,pstB,minimal_media+ethanol
2,pstB,minimal_media+ethanol
1,phoB,minimal_media+ethanol
2,phoB,minimal_media+ethanol
1,WT,non_ethanol_c_albicans
2,WT,non_ethanol_c_albicans
1,pstB,non_ethanol_c_albicans
2,pstB,non_ethanol_c_albicans
1,phoB,non_ethanol_c_albicans
2,phoB,non_ethanol_c_albicans
1,WT,ethanol_c_albicans
2,WT,ethanol_c_albicans
1,pstB,ethanol_c_albicans
2,pstB,ethanol_c_albicans
1,phoB,ethanol_c_albicans
2,phoB,ethanol_c_albicans
