gene_id,E167sig1,E167sig2,E167sig3,E167rhlR1,E167rhlR2,E167rhlR3
fig|287.13173.peg.1,9493,8115,9106,8379,8088,13938
fig|287.13173.peg.2,9523,8176,8622,8862,8576,11838
fig|287.13173.peg.3,4764,4227,3560,3768,2787,5800
fig|287.13173.peg.4,11752,10406,10893,9866,9379,15310
fig|287.13173.peg.5,2134,1799,1793,2243,2135,2340
fig|287.13173.peg.6,1214,987,1031,1101,956,1643
fig|287.13173.peg.7,2631,1951,2645,1832,2138,1536
fig|287.13173.peg.8,1934,2005,2038,1808,1455,3867
fig|287.13173.peg.9,1584,1357,1432,1231,1038,2881
fig|287.13173.peg.10,533,453,558,531,447,749
fig|287.13173.peg.11,3650,3112,3206,3426,3109,5006
fig|287.13173.peg.12,628,603,644,563,572,752
fig|287.13173.peg.13,565,512,494,518,569,671
fig|287.13173.peg.14,114,80,100,76,74,89
fig|287.13173.peg.15,1784,1631,1811,1830,1710,1654
fig|287.13173.peg.16,2306,2009,2211,1857,1924,2646
fig|287.13173.peg.17,701,642,744,671,636,756
fig|287.13173.peg.18,488,380,482,413,383,529
fig|287.13173.peg.19,9054,7609,7939,8425,8706,13524
fig|287.13173.peg.20,8490,7342,7514,8308,7597,9961
fig|287.13173.peg.21,106,87,85,105,77,115
fig|287.13173.peg.22,1260,1076,1157,1020,893,1567
fig|287.13173.peg.23,2466,2217,2593,1876,2255,2338
fig|287.13173.peg.24,1139,999,1013,1096,884,1844
fig|287.13173.peg.25,723,702,614,796,566,863
fig|287.13173.peg.26,284,267,272,206,208,417
fig|287.13173.peg.27,201,206,222,224,189,326
fig|287.13173.peg.28,81,68,85,89,55,81
fig|287.13173.peg.29,185,183,192,133,144,203
fig|287.13173.peg.30,116,116,108,114,119,112
fig|287.13173.peg.31,729,594,621,653,713,710
fig|287.13173.peg.32,610,580,531,612,658,736
fig|287.13173.peg.33,1165,1067,1170,1101,1108,943
fig|287.13173.peg.34,272,222,273,210,248,278
fig|287.13173.peg.35,257,254,248,265,260,452
fig|287.13173.peg.36,728,620,835,581,685,708
fig|287.13173.peg.37,2123,1859,2211,2080,2127,2384
fig|287.13173.peg.38,374,290,326,307,349,412
fig|287.13173.peg.39,4858,3529,4573,3671,4918,2830
fig|287.13173.peg.40,21012,16416,20684,13863,18525,11567
fig|287.13173.peg.41,265,199,174,223,171,433
fig|287.13173.peg.42,4870,3554,3700,4777,4580,4586
fig|287.13173.peg.43,1517,1351,1411,1268,1296,1639
fig|287.13173.peg.44,262,219,278,206,221,217
fig|287.13173.peg.45,260,261,255,208,200,360
fig|287.13173.peg.46,176,168,198,180,171,231
fig|287.13173.peg.47,1557,1468,1486,1598,1545,1888
fig|287.13173.peg.48,146,108,104,116,122,146
fig|287.13173.peg.49,553,555,522,636,586,628
fig|287.13173.peg.50,116,126,118,94,83,125
fig|287.13173.peg.51,780,870,1158,724,779,1242
fig|287.13173.peg.52,1305,1101,864,1438,1074,2114
fig|287.13173.peg.53,351,286,245,526,308,604
fig|287.13173.peg.54,316,312,264,529,313,515
fig|287.13173.peg.55,169,202,184,252,189,346
fig|287.13173.peg.56,330,314,266,285,287,894
fig|287.13173.peg.57,157,128,154,137,120,2260
fig|287.13173.peg.58,804,591,702,414,379,266
fig|287.13173.peg.59,58,42,45,19,27,23
fig|287.13173.peg.60,23,10,23,19,20,14
fig|287.13173.peg.61,236,190,264,181,168,187
fig|287.13173.peg.62,122,90,133,85,119,76
fig|287.13173.peg.63,736,616,687,743,659,865
fig|287.13173.peg.64,5697,4749,5924,5183,7168,4314
fig|287.13173.peg.65,249,213,262,228,197,312
fig|287.13173.peg.66,234,198,217,176,205,229
fig|287.13173.peg.67,48,61,61,65,59,54
fig|287.13173.peg.68,2286,1343,2071,1249,1722,1155
fig|287.13173.peg.69,1891,1497,1618,1720,1591,1920
fig|287.13173.peg.70,503,434,573,470,423,653
fig|287.13173.peg.71,634,533,651,496,506,454
fig|287.13173.peg.72,1416,1154,1338,1265,1373,1305
fig|287.13173.peg.73,1170,1129,1189,1119,1145,1134
fig|287.13173.peg.74,764,729,804,775,710,1006
fig|287.13173.peg.75,1088,972,1162,1053,1013,1261
fig|287.13173.peg.76,6237,5573,6922,4963,5275,6671
fig|287.13173.peg.77,1263,1128,1367,1093,1223,1254
fig|287.13173.peg.78,426,316,342,351,315,337
fig|287.13173.peg.79,11916,6707,7940,8137,10398,6096
fig|287.13173.peg.80,7222,5358,6060,6898,6767,8951
fig|287.13173.peg.81,294,203,275,271,243,195
fig|287.13173.peg.82,250,139,195,175,202,135
fig|287.13173.peg.83,3750,2230,2610,2787,3145,2191
fig|287.13173.peg.84,1132,693,849,878,939,604
fig|287.13173.peg.85,538,331,438,396,472,384
fig|287.13173.peg.86,4561,3010,3529,4142,4176,3177
fig|287.13173.peg.87,1126,729,864,952,976,711
fig|287.13173.peg.88,1320,969,1098,1226,1121,964
fig|287.13173.peg.89,1215,824,863,995,867,849
fig|287.13173.peg.90,1496,1065,1265,1280,1214,919
fig|287.13173.peg.91,4383,3403,3672,3767,3824,5041
fig|287.13173.peg.92,5495,3172,3147,3814,2855,5501
fig|287.13173.peg.93,5887,3563,4027,4327,3902,4097
fig|287.13173.peg.94,8035,4998,5799,7110,6680,5854
fig|287.13173.peg.95,28169,13948,16520,19708,23624,10791
fig|287.13173.peg.96,1035,717,732,914,842,631
fig|287.13173.peg.97,748,433,479,778,745,414
fig|287.13173.peg.98,2788,1438,1533,2242,2367,1223
fig|287.13173.peg.99,1488,769,817,1050,1199,650
