gene_id,WT1,WT2,A1,A2
PA14_RS00960,2,1,6,4
PA14_RS00965,0,1,2,4
PA14_RS00970,56,34,8,9
PA14_RS00975,10,5,8,6
PA14_RS00980,1,0,0,0
PA14_RS00985,24,22,34,41
PA14_RS00990,20,19,74,82
PA14_RS00995,34,26,75,94
PA14_RS01000,8,6,2,1
PA14_RS01005,10,7,5,9
PA14_RS01010,113,69,174,241
PA14_RS01015,0,0,0,1
PA14_RS01020,33,22,142,122
PA14_RS01025,32,35,178,182
PA14_RS01030,3,2,9,9
PA14_RS01035,1,0,3,1
PA14_RS01040,0,1,2,3
PA14_RS01045,6,1,1,1
PA14_RS01050,5,5,3,3
PA14_RS01055,1,5,2,5
PA14_RS01060,8,4,11,14
PA14_RS01065,3,1,14,27
PA14_RS01070,2,0,16,22
PA14_RS01075,4,2,12,16
PA14_RS01080,4,2,22,13
PA14_RS01085,1,4,9,17
PA14_RS01090,2,2,8,8
PA14_RS01095,1,0,9,10
PA14_RS01100,1,3,13,7
PA14_RS01105,1,7,26,21
PA14_RS01110,15,13,44,54
PA14_RS01115,9,15,54,66
PA14_RS01120,1,0,12,3
PA14_RS01125,8,4,5,10
PA14_RS01130,12,7,27,19
PA14_RS01135,15,13,23,34
PA14_RS01140,9,6,13,11
PA14_RS01145,45,43,58,34
PA14_RS01150,5,6,27,21
PA14_RS01155,7,5,29,33
PA14_RS01160,1,1,5,7
PA14_RS01165,2,1,28,14
PA14_RS01170,0,4,16,25
PA14_RS01175,4,4,9,7
PA14_RS01180,6,2,31,38
PA14_RS01185,3,5,27,26
PA14_RS01190,4,5,20,30
PA14_RS01195,11,2,18,27
PA14_RS01200,15,5,66,59
PA14_RS01205,2,0,1,6
PA14_RS01210,0,1,1,3
PA14_RS01215,2,4,10,8
PA14_RS01220,1,2,8,12
PA14_RS01225,17,17,78,65
PA14_RS01230,3,0,5,3
PA14_RS01235,6,1,32,26
PA14_RS01240,7,1,32,43
PA14_RS01245,0,0,1,3
PA14_RS01255,20,14,22,27
PA14_RS01260,0,0,2,1
PA14_RS01265,6,3,26,26
PA14_RS01270,2254,1326,8080,8946
PA14_RS01275,122,101,1084,1182
PA14_RS01280,5,6,112,142
PA14_RS01295,53,33,223,227
PA14_RS01300,1,0,8,5
PA14_RS01305,3,0,20,27
PA14_RS01310,7,5,13,15
PA14_RS01315,0,1,16,14
PA14_RS01320,195,123,391,444
PA14_RS01325,88,33,115,138
PA14_RS01330,534,384,685,711
PA14_RS01335,257,199,347,384
PA14_RS01345,559,380,1246,1452
PA14_RS01355,16,17,158,166
PA14_RS01360,8,7,75,82
PA14_RS01365,6,8,29,31
PA14_RS01370,28,22,78,78
PA14_RS01375,12,3,45,33
PA14_RS01380,16,10,59,45
PA14_RS01385,15,6,75,89
PA14_RS01390,21,17,59,58
PA14_RS01395,252,168,758,725
PA14_RS01400,21,19,48,72
PA14_RS01405,2,3,15,18
PA14_RS01415,2,0,6,8
PA14_RS01425,144,116,464,476
PA14_RS01430,293,192,342,308
PA14_RS01435,37,15,119,123
PA14_RS01440,2,4,21,26
PA14_RS01445,17,14,15,32
PA14_RS01450,14,12,17,23
PA14_RS01455,6,7,8,1
PA14_RS01460,25,21,18,27
PA14_RS01465,0,5,4,4
PA14_RS01470,0,0,2,1
PA14_RS01475,0,0,2,5
PA14_RS01480,3,2,9,8
PA14_RS01485,0,5,19,3
