gene_id,WT1,WT2,A1,A2
PA14_RS04135,2,1,70,47
PA14_RS04140,0,0,4,0
PA14_RS04145,6,5,39,43
PA14_RS04150,2,4,16,10
PA14_RS04155,0,1,6,7
PA14_RS04160,2,2,20,17
PA14_RS04165,55,36,95,106
PA14_RS04170,0,0,3,1
PA14_RS04175,3,3,7,15
PA14_RS04180,1,0,3,12
PA14_RS04185,2,2,21,18
PA14_RS04190,2,1,17,9
PA14_RS04200,2,0,8,8
PA14_RS04205,4,3,5,10
PA14_RS04210,6,0,220,193
PA14_RS04215,1,2,81,136
PA14_RS04220,4,8,23,29
PA14_RS04225,9,13,71,55
PA14_RS04230,1,4,2,7
PA14_RS04235,12,13,107,83
PA14_RS04240,2,1,6,23
PA14_RS04245,11,16,22,21
PA14_RS04250,525,399,191,261
PA14_RS04255,101,88,33,22
PA14_RS04260,82,56,23,29
PA14_RS04265,39,34,14,30
PA14_RS04270,12,4,21,19
PA14_RS04275,1,5,9,18
PA14_RS04280,0,4,8,14
PA14_RS04285,3,3,15,14
PA14_RS04290,2,3,18,18
PA14_RS04295,0,0,3,10
PA14_RS04300,0,0,5,5
PA14_RS04305,3,1,37,43
PA14_RS04310,0,0,25,28
PA14_RS04315,14,11,67,44
PA14_RS04320,6,1,8,9
PA14_RS04325,0,4,15,16
PA14_RS04330,30,13,111,111
PA14_RS04335,5,5,45,54
PA14_RS04340,88,70,103,107
PA14_RS04345,9,3,1,6
PA14_RS04350,2,2,5,8
PA14_RS04355,7,5,54,51
PA14_RS04360,2,0,17,11
PA14_RS04365,0,2,15,16
PA14_RS04370,13,10,32,34
PA14_RS04375,5,3,26,25
PA14_RS04380,3,4,21,15
PA14_RS04385,2,4,18,34
PA14_RS04390,0,4,0,1
PA14_RS04395,0,2,21,24
PA14_RS04400,2,0,5,4
PA14_RS04405,10,10,45,51
PA14_RS04410,3,1,5,3
PA14_RS04415,5,5,29,29
PA14_RS04420,1,0,3,3
PA14_RS04425,5,6,41,22
PA14_RS04430,3,2,2,5
PA14_RS04435,6,3,49,29
PA14_RS04440,1,0,14,8
PA14_RS04445,0,0,0,2
PA14_RS04450,0,1,5,4
PA14_RS04455,4,2,5,4
PA14_RS04460,22,23,61,58
PA14_RS04465,1,3,4,7
PA14_RS04470,7,2,4,12
PA14_RS04475,0,0,3,5
PA14_RS04480,6,9,28,25
PA14_RS04485,2,1,6,5
PA14_RS04490,50,49,93,115
PA14_RS04495,3,4,15,14
PA14_RS04500,31,30,59,60
PA14_RS04505,0,0,1,3
PA14_RS04510,0,0,1,1
PA14_RS04515,12,8,26,30
PA14_RS04520,2,1,15,21
PA14_RS04525,0,1,10,15
PA14_RS04530,7,8,2,15
PA14_RS04535,0,0,1,7
PA14_RS04540,10,5,20,27
PA14_RS04545,29,26,237,242
PA14_RS04550,63,45,171,196
PA14_RS04555,4,6,16,16
PA14_RS04560,4,1,16,13
PA14_RS04565,2,1,7,3
PA14_RS04570,6,4,19,26
PA14_RS04575,2,0,11,4
PA14_RS04580,0,0,11,13
PA14_RS04585,9,11,14,23
PA14_RS04590,2,3,14,12
PA14_RS04595,3,2,9,8
PA14_RS04600,0,0,3,0
PA14_RS04605,25,8,76,109
PA14_RS04610,75,56,132,119
PA14_RS04615,3,2,54,53
PA14_RS04620,62,36,346,323
PA14_RS04625,44,24,268,257
PA14_RS04630,40,41,252,258
PA14_RS04635,20,10,87,82
PA14_RS04640,31,10,101,84
PA14_RS04645,37,19,195,238
PA14_RS04650,9,8,57,54
PA14_RS04655,16,15,91,116
PA14_RS04660,13,9,55,47
PA14_RS04665,26,21,188,137
PA14_RS04670,2,5,35,66
PA14_RS04675,2,1,7,7
PA14_RS04680,0,0,2,0
PA14_RS04685,17,5,13,21
PA14_RS04690,3,1,12,11
PA14_RS04695,37,20,125,149
PA14_RS04700,10,18,26,37
PA14_RS04705,1,0,18,26
PA14_RS04710,6,3,36,30
PA14_RS04715,10,0,31,38
PA14_RS04720,0,0,5,5
PA14_RS04725,0,0,7,5
PA14_RS04730,61,36,276,296
PA14_RS04735,10,10,94,102
PA14_RS04740,3,0,12,8
PA14_RS04745,3,1,22,24
PA14_RS04750,2,2,8,7
PA14_RS04755,1,1,9,5
PA14_RS04760,1,2,11,13
PA14_RS04765,0,3,14,5
PA14_RS04770,1,1,12,21
PA14_RS04775,12,9,35,51
PA14_RS04780,2,3,12,9
PA14_RS04785,57,47,104,136
PA14_RS04790,30,22,222,236
PA14_RS04795,21,21,92,101
PA14_RS04800,1,3,7,8
PA14_RS04805,2,5,13,9
PA14_RS04810,0,1,7,13
PA14_RS04815,0,0,10,3
PA14_RS04820,12,5,82,70
PA14_RS04825,20,6,61,94
PA14_RS04830,27,19,83,75
PA14_RS04835,4,4,34,36
PA14_RS04840,1,0,15,7
PA14_RS04845,13,9,55,39
PA14_RS04850,2,1,19,9
PA14_RS04855,58,41,971,925
PA14_RS04860,65,46,525,434
PA14_RS04865,237,146,4124,3876
PA14_RS04870,30,15,264,283
PA14_RS04875,50,43,259,200
PA14_RS04880,85,82,262,299
PA14_RS04885,88,51,283,288
PA14_RS04890,150,100,335,279
PA14_RS04895,1694,1039,2903,3108
PA14_RS04900,40,43,140,138
PA14_RS04905,114,63,239,238
PA14_RS04910,131,111,557,528
PA14_RS04915,1,2,9,10
PA14_RS04920,0,0,1,4
PA14_RS04925,9,10,13,20
PA14_RS04945,2,1,5,2
PA14_RS04950,0,1,0,0
PA14_RS04955,4,3,12,10
PA14_RS04960,48,54,35,42
PA14_RS04965,7,8,53,57
PA14_RS04970,4,5,35,27
PA14_RS04975,3,4,34,29
PA14_RS04980,3,5,2,7
PA14_RS04985,7,6,15,20
PA14_RS04990,2,4,37,22
PA14_RS04995,4,1,125,97
PA14_RS05000,3,0,70,68
PA14_RS05005,9,3,59,38
PA14_RS05010,3,3,9,7
PA14_RS05015,2,2,14,23
PA14_RS05020,195,133,703,781
PA14_RS05025,25,25,83,87
PA14_RS05030,64,75,75,60
PA14_RS05035,10,2,9,11
PA14_RS05040,122,86,136,145
PA14_RS05045,0,3,2,6
PA14_RS05050,4,0,12,10
PA14_RS05055,16,8,70,51
PA14_RS05060,6,3,23,23
PA14_RS05065,0,1,13,4
PA14_RS05070,0,0,16,28
PA14_RS05075,0,2,0,1
PA14_RS05080,2,3,3,9
PA14_RS05085,1,1,15,12
PA14_RS05090,43,32,151,153
PA14_RS05095,4,4,9,14
PA14_RS05100,2,3,10,10
PA14_RS05105,10,6,61,49
PA14_RS05110,13,9,38,46
PA14_RS05115,5,4,6,6
PA14_RS05120,7,6,22,16
PA14_RS05125,1,4,12,19
PA14_RS05130,0,2,5,4
PA14_RS05135,566,367,636,749
PA14_RS05140,30,29,76,89
PA14_RS05145,45,25,115,156
PA14_RS05150,10,4,45,37
PA14_RS05155,4,3,17,30
PA14_RS05160,18,17,68,79
PA14_RS05165,24,20,71,53
PA14_RS05170,35,27,74,74
PA14_RS05175,20,10,74,48
PA14_RS05180,33,17,39,46
PA14_RS05185,24,18,90,78
PA14_RS05190,12,3,39,24
PA14_RS05195,0,3,8,13
PA14_RS05200,0,0,1,1
PA14_RS05205,0,4,7,6
PA14_RS05210,7,2,7,8
PA14_RS05215,4,5,18,18
PA14_RS05220,3,3,16,15
PA14_RS05225,64,43,101,85
PA14_RS05230,27,16,48,63
PA14_RS05235,0,1,11,3
PA14_RS05240,0,0,6,5
PA14_RS05245,42,33,28,47
PA14_RS05250,116,72,167,168
PA14_RS05255,3,0,10,7
PA14_RS05260,0,0,9,3
PA14_RS05265,1,3,9,12
PA14_RS05270,2,2,10,11
PA14_RS05275,16,17,22,34
PA14_RS05280,65,39,51,64
PA14_RS05285,81,48,56,49
PA14_RS05290,54,32,118,105
PA14_RS05295,4,1,11,10
PA14_RS05300,614,439,325,321
PA14_RS05305,48,24,111,86
PA14_RS05310,0,3,4,3
PA14_RS05315,1,1,4,1
PA14_RS05320,17,21,57,100
PA14_RS05325,2,4,12,11
PA14_RS05330,12,18,52,62
PA14_RS05335,26,15,76,92
PA14_RS05340,27,30,55,43
PA14_RS05345,19,17,61,76
PA14_RS05350,29,28,64,106
PA14_RS05355,8,3,12,23
PA14_RS05360,18,8,67,56
PA14_RS05365,14,9,21,15
PA14_RS05370,0,2,13,12
PA14_RS05380,0,0,3,5
PA14_RS05385,0,0,1,8
PA14_RS05395,4,5,14,18
PA14_RS05400,45,34,224,270
PA14_RS05405,31,30,148,174
PA14_RS05410,0,1,6,10
PA14_RS05415,0,0,10,12
PA14_RS05420,0,0,9,7
PA14_RS05425,8,1,16,13
PA14_RS05430,12,4,8,15
PA14_RS05435,2,4,6,18
PA14_RS05440,3,2,76,79
PA14_RS05445,5,8,45,27
PA14_RS05450,2,2,6,8
PA14_RS05455,4,3,146,113
PA14_RS05460,4,4,13,32
PA14_RS05465,7,4,23,14
PA14_RS05470,9,7,10,28
PA14_RS05475,1,1,10,11
PA14_RS05480,19,13,278,302
PA14_RS05485,0,0,4,4
PA14_RS05490,0,0,5,20
PA14_RS05495,3,2,1,2
PA14_RS05500,1,1,3,3
PA14_RS05505,10,8,18,41
PA14_RS05510,0,1,2,6
PA14_RS05515,0,0,0,2
PA14_RS05520,0,0,2,1
PA14_RS05530,2,0,17,15
PA14_RS05535,141,145,1486,1773
PA14_RS05540,33,30,86,87
PA14_RS05545,199,172,138,96
PA14_RS05550,81,71,63,61
PA14_RS05555,10,13,5,9
PA14_RS05560,18,12,14,21
PA14_RS05565,32,24,13,27
PA14_RS05570,38,26,28,18
PA14_RS05580,19,14,74,73
PA14_RS05585,6,10,31,34
PA14_RS05590,18,9,74,89
PA14_RS05600,53,49,262,210
PA14_RS05605,12,4,50,54
PA14_RS05610,1,7,7,18
PA14_RS05615,4,4,29,40
PA14_RS05620,1,1,19,8
PA14_RS05625,37,23,37,25
PA14_RS05630,0,1,9,8
PA14_RS05635,75,67,63,74
PA14_RS05640,75,68,167,222
PA14_RS05645,13,9,25,14
PA14_RS05650,26,25,120,134
PA14_RS05655,4,5,34,41
PA14_RS05660,24,20,115,107
PA14_RS05665,70,32,87,98
PA14_RS05670,9,12,14,20
PA14_RS05675,28,21,241,174
PA14_RS05680,20,6,90,111
PA14_RS05685,5,1,19,22
PA14_RS05690,6,1,7,2
PA14_RS05695,41,23,69,69
PA14_RS05700,2,4,8,15
PA14_RS05705,11,14,61,68
PA14_RS05710,7,2,5,15
PA14_RS05720,1,0,23,14
PA14_RS05730,3,0,9,4
PA14_RS05735,3,0,12,8
PA14_RS05740,4,4,20,18
PA14_RS05745,3,2,8,5
PA14_RS05750,3,1,13,20
PA14_RS05755,1,6,11,10
PA14_RS05760,2,2,9,15
PA14_RS05765,8,7,33,37
PA14_RS05770,30,19,83,93
PA14_RS05775,2,4,6,14
PA14_RS05780,1,3,1,9
PA14_RS05785,1,0,18,21
PA14_RS05790,6,4,14,15
PA14_RS05795,10,10,53,34
PA14_RS05800,105,56,627,680
PA14_RS05805,85,68,604,618
PA14_RS05810,7,5,46,75
PA14_RS05815,32,10,98,95
PA14_RS05820,0,0,1,1
PA14_RS05825,9,18,249,200
PA14_RS05830,60,38,860,727
PA14_RS05835,94,65,1826,1840
PA14_RS05840,123,112,1190,1263
PA14_RS05845,199,128,1268,1224
PA14_RS05850,107,92,647,728
PA14_RS05855,9,6,85,93
PA14_RS05860,39,23,272,315
PA14_RS05865,169,86,655,680
PA14_RS05870,39,22,167,142
PA14_RS05875,144,110,990,1014
PA14_RS05880,257,171,780,699
PA14_RS05885,72,48,316,301
PA14_RS05890,47,22,206,191
PA14_RS05895,274,214,839,940
PA14_RS05900,94,47,287,215
PA14_RS05905,44,35,238,200
PA14_RS05910,378,220,3095,3120
PA14_RS05915,235,164,1354,1484
PA14_RS05920,94,57,467,475
PA14_RS05925,74,55,241,243
PA14_RS05930,194,132,415,388
PA14_RS05935,261,191,880,864
PA14_RS05940,667,410,1194,1439
PA14_RS05945,371,306,1291,1480
PA14_RS05950,164,134,678,605
PA14_RS05955,38,43,121,141
PA14_RS05960,67,43,85,117
PA14_RS05965,90,52,151,197
PA14_RS05970,2,5,13,11
PA14_RS05975,5,5,52,34
PA14_RS05980,48,35,152,165
PA14_RS05985,16,18,51,62
PA14_RS05990,40,30,40,22
PA14_RS05995,953,701,216,220
PA14_RS06000,216,173,101,108
PA14_RS06005,21,16,7,12
PA14_RS06010,12,7,26,22
PA14_RS06015,48,25,154,154
PA14_RS06020,26,37,69,95
PA14_RS06025,65,45,34,55
PA14_RS06030,51,39,54,58
PA14_RS06035,5,1,14,17
PA14_RS06040,3,2,15,11
PA14_RS06045,7,9,30,36
PA14_RS06050,0,0,8,11
PA14_RS06055,4,8,20,33
PA14_RS06060,6,2,5,10
PA14_RS06065,0,0,4,2
PA14_RS06070,0,0,8,6
PA14_RS06075,0,2,0,1
PA14_RS06080,0,0,4,0
PA14_RS06085,0,1,1,1
PA14_RS06090,3,1,6,11
PA14_RS06095,0,0,12,6
PA14_RS06100,167,131,1973,1924
PA14_RS06105,913,623,3071,3133
PA14_RS06110,508,367,2859,2906
PA14_RS06115,36,19,245,214
PA14_RS06120,33,18,462,464
PA14_RS06125,26,27,91,114
PA14_RS06130,6,1,45,63
PA14_RS06135,37,11,68,77
PA14_RS06140,0,0,1,0
PA14_RS06145,0,1,9,2
PA14_RS06150,11,8,40,52
PA14_RS06155,3,7,26,29
PA14_RS06165,0,0,1,1
PA14_RS06170,9,3,30,15
PA14_RS06175,6,5,19,32
PA14_RS06180,33,24,129,143
PA14_RS06185,165,149,740,789
PA14_RS06190,9,9,80,89
PA14_RS06195,10,15,33,60
PA14_RS06200,11,6,48,31
PA14_RS06205,19,18,67,80
PA14_RS06210,31,39,217,272
PA14_RS06215,2,2,20,35
PA14_RS06220,0,0,6,2
PA14_RS06225,202,129,565,669
PA14_RS06230,1138,791,2607,2444
PA14_RS06235,745,520,1737,1850
PA14_RS06240,808,541,1500,1420
PA14_RS06245,270,215,489,475
PA14_RS06250,141,105,261,266
PA14_RS06255,409,326,625,639
PA14_RS06260,0,0,6,6
PA14_RS06270,3,1,11,32
PA14_RS06275,22,18,42,58
PA14_RS06280,35,26,318,335
PA14_RS06285,35,32,125,124
PA14_RS06290,7,5,103,119
PA14_RS06295,2,2,17,16
PA14_RS06300,3,5,33,26
PA14_RS06305,354,223,1334,1341
PA14_RS06310,136,88,535,628
PA14_RS06315,6,4,45,36
PA14_RS06320,5,3,15,19
PA14_RS06325,1,2,8,1
PA14_RS06330,1,1,2,4
PA14_RS06335,2,2,6,7
PA14_RS06340,3,3,15,10
PA14_RS06345,8,5,16,14
PA14_RS06350,87,51,217,198
PA14_RS06355,68,41,131,145
PA14_RS06360,15,10,12,18
PA14_RS06365,26,30,181,194
PA14_RS06370,5,4,8,15
PA14_RS06375,7,13,36,54
PA14_RS06380,3,5,29,16
PA14_RS06385,10,10,28,29
PA14_RS06390,194,106,697,750
PA14_RS06395,593,356,4168,3085
PA14_RS06400,206,135,1516,1405
PA14_RS06405,121,95,2027,1928
PA14_RS06410,358,269,3132,2866
PA14_RS06415,7,1,95,71
PA14_RS06420,3,2,94,77
PA14_RS06425,31,27,94,103
PA14_RS06430,38,19,79,103
PA14_RS06435,98,96,382,370
PA14_RS06440,159,96,496,412
PA14_RS06445,95,76,292,287
PA14_RS06450,28,16,57,38
PA14_RS06455,19,13,52,62
PA14_RS06460,7,10,34,31
PA14_RS06465,99,101,486,656
PA14_RS06470,87,46,605,499
PA14_RS06475,51,27,273,292
PA14_RS06480,289,217,647,720
PA14_RS06485,349,216,501,505
PA14_RS06490,42,22,51,41
PA14_RS06495,4,4,30,37
PA14_RS06500,35,19,116,107
PA14_RS06505,1837,1126,485,439
PA14_RS06510,70,51,35,16
PA14_RS06515,25,17,236,236
PA14_RS06520,11,4,90,76
PA14_RS06525,19,8,103,96
PA14_RS06530,2,2,23,18
PA14_RS06535,1,0,6,2
PA14_RS06540,2,2,5,0
PA14_RS06545,55,51,303,335
PA14_RS06550,1,1,18,20
PA14_RS06555,1,1,17,12
PA14_RS06560,12,15,51,86
PA14_RS06565,59,36,52,113
PA14_RS06570,8,12,20,13
PA14_RS06575,13,17,33,28
PA14_RS06580,3,8,2,16
PA14_RS06585,108,89,434,486
PA14_RS06590,23,15,40,52
PA14_RS06595,65,54,163,166
PA14_RS06600,23,13,81,69
PA14_RS06605,51,59,120,127
PA14_RS06610,108,81,190,229
PA14_RS06615,174,99,321,309
PA14_RS06620,200,121,1694,1576
PA14_RS06625,324,208,1199,1088
PA14_RS06630,73,57,312,302
PA14_RS06635,58,54,205,240
PA14_RS06640,99,81,272,257
PA14_RS06645,57,23,79,65
PA14_RS06650,12,11,19,20
PA14_RS06655,51,38,58,79
PA14_RS06660,8,4,22,18
PA14_RS06665,4,1,16,22
PA14_RS06670,0,0,4,2
PA14_RS06675,0,2,15,18
PA14_RS06680,8,14,45,53
PA14_RS06685,9,6,50,26
PA14_RS06690,106,91,127,110
PA14_RS06695,131,76,1181,1129
PA14_RS06700,21,14,158,182
PA14_RS06705,6,3,85,66
PA14_RS06710,25,17,144,125
PA14_RS06715,9,4,37,37
PA14_RS06720,3,0,6,10
PA14_RS06725,7,7,36,46
PA14_RS06730,14,17,36,65
PA14_RS06735,0,0,4,10
PA14_RS06740,54,26,94,80
PA14_RS06745,409,305,711,755
PA14_RS06750,34,23,33,41
PA14_RS06755,7,5,39,34
PA14_RS06760,28,11,69,69
PA14_RS06765,11,8,65,67
PA14_RS06770,7,4,29,10
PA14_RS06775,23,22,89,49
PA14_RS06780,27,17,68,68
PA14_RS06785,0,0,7,5
PA14_RS06790,13,13,26,52
PA14_RS06795,2,2,16,19
PA14_RS06800,0,0,0,1
PA14_RS06805,2,1,4,1
PA14_RS06810,4,3,30,22
PA14_RS06815,2,1,17,10
PA14_RS06820,3,1,2,10
PA14_RS06825,48,47,295,336
PA14_RS06830,4,11,37,36
PA14_RS06835,32,21,142,145
PA14_RS06840,6,4,39,23
PA14_RS06845,361,270,4859,4669
PA14_RS06850,675,483,3361,3344
PA14_RS06855,199,152,882,926
PA14_RS06860,582,368,1869,1883
PA14_RS06865,134,115,1060,1047
PA14_RS06870,32,18,197,199
PA14_RS06875,72,33,283,309
PA14_RS06880,221,148,888,931
PA14_RS06885,425,299,1467,1376
PA14_RS06890,562,426,3844,3978
PA14_RS06895,249,191,1281,1320
PA14_RS06900,171,115,793,966
PA14_RS06905,113,70,484,478
PA14_RS06910,52,47,283,263
PA14_RS06915,59,41,237,188
PA14_RS06920,65,59,1917,1857
PA14_RS06925,437,320,1832,1816
PA14_RS06930,542,349,4467,4409
PA14_RS06935,16,15,92,83
PA14_RS06940,202,119,1620,1498
PA14_RS06945,73,67,360,316
PA14_RS06950,237,242,663,642
PA14_RS06955,37,39,99,147
PA14_RS06960,16,24,83,80
PA14_RS06965,1,0,8,6
PA14_RS06970,1,0,23,22
PA14_RS06975,1,2,13,9
PA14_RS06980,178,121,365,399
PA14_RS06985,65,43,105,115
PA14_RS06990,12,11,48,58
PA14_RS06995,32,23,154,122
PA14_RS07000,125,74,327,369
PA14_RS07005,58,46,174,187
PA14_RS07010,629,435,1747,1999
PA14_RS07015,1786,1048,1435,1580
PA14_RS07020,5,4,8,20
PA14_RS07025,14,15,94,96
PA14_RS07030,7,1,36,37
PA14_RS07035,35,17,101,117
PA14_RS07040,136,70,448,402
PA14_RS07045,16,20,70,54
PA14_RS07050,46,24,172,154
PA14_RS07055,1,0,22,23
PA14_RS07060,379,262,853,837
PA14_RS07065,40,17,50,46
PA14_RS07070,35,21,71,70
PA14_RS07075,5,3,30,36
PA14_RS07080,2,3,1,13
PA14_RS07085,4,6,34,33
PA14_RS07090,2,5,7,3
PA14_RS07095,3,1,62,55
PA14_RS07100,13,15,76,74
PA14_RS07105,32,24,362,466
PA14_RS07110,23,15,64,43
PA14_RS07115,24,18,83,75
PA14_RS07120,8,5,10,20
PA14_RS07125,4,4,7,5
PA14_RS07130,2,5,6,5
PA14_RS07135,10,10,38,69
PA14_RS07140,3,4,7,8
PA14_RS07145,1,0,16,14
PA14_RS07150,0,1,3,10
PA14_RS07155,3,3,13,19
PA14_RS07160,2,5,27,21
PA14_RS07165,5,2,9,11
PA14_RS07170,0,0,8,6
PA14_RS07175,3,1,7,6
PA14_RS07180,0,4,4,1
PA14_RS07185,4,2,15,25
PA14_RS07190,2,0,6,3
PA14_RS07195,1,2,7,11
PA14_RS07200,0,0,3,8
PA14_RS07205,5,7,43,45
PA14_RS07210,2,3,7,20
PA14_RS07215,1,1,6,3
PA14_RS07220,0,0,3,2
PA14_RS07225,2,0,9,5
PA14_RS07230,37,18,88,109
PA14_RS07235,26,29,49,53
PA14_RS07245,3,3,12,13
PA14_RS07250,0,0,20,22
PA14_RS07255,8,1,7,11
PA14_RS07260,13,6,28,28
PA14_RS07265,4,2,108,94
PA14_RS07270,1,0,5,8
PA14_RS07275,4,3,28,24
PA14_RS07280,22,39,29,35
PA14_RS07285,3,0,13,20
PA14_RS07290,11,1,25,40
PA14_RS07295,1,4,14,22
PA14_RS07300,0,0,11,11
PA14_RS07305,4,4,16,20
PA14_RS07310,3,0,7,14
PA14_RS07315,1,1,4,13
PA14_RS07320,2,2,32,16
PA14_RS07325,300,225,1043,1107
PA14_RS07330,146,100,369,371
PA14_RS07335,162,109,450,477
PA14_RS07340,22,28,98,88
PA14_RS07345,2,0,9,5
PA14_RS07350,1,0,5,6
PA14_RS07355,2,0,10,8
PA14_RS07360,9,5,14,5
PA14_RS07365,5,1,16,20
PA14_RS07370,7,0,12,11
PA14_RS07375,0,0,6,12
PA14_RS07380,7,2,17,27
PA14_RS07385,0,0,1,0
PA14_RS07390,1,0,2,2
PA14_RS07395,7,5,42,46
PA14_RS07400,0,0,3,4
PA14_RS07405,3,1,10,11
PA14_RS07410,30,29,131,139
PA14_RS07415,7,2,25,19
PA14_RS07420,1,1,12,11
PA14_RS07425,4,3,10,13
PA14_RS07430,6,9,29,26
PA14_RS07435,7,2,17,29
PA14_RS07440,3,1,13,11
PA14_RS07445,1,2,7,6
PA14_RS07450,1,4,15,24
PA14_RS07455,8,11,26,35
PA14_RS07460,9,9,58,50
PA14_RS07465,23,10,35,42
PA14_RS07470,264,184,510,502
PA14_RS07475,19,11,20,22
PA14_RS07480,14,7,61,55
PA14_RS07485,14,18,54,66
PA14_RS07490,1976,1337,2877,3639
PA14_RS07495,0,6,19,26
PA14_RS07500,1,4,14,19
PA14_RS07505,33,28,89,75
PA14_RS07510,193,147,1041,1064
PA14_RS07515,1,4,12,12
PA14_RS07520,2,1,11,8
PA14_RS07525,4,2,15,26
PA14_RS07530,3,4,1,12
PA14_RS07535,6,5,12,14
PA14_RS07540,1,2,6,4
PA14_RS07545,5,5,15,16
PA14_RS07550,1,1,6,8
PA14_RS07555,7,2,14,12
PA14_RS07560,13,12,44,49
PA14_RS07565,2,0,3,0
PA14_RS07570,22,5,46,56
PA14_RS07575,2,1,7,16
PA14_RS07580,0,0,2,1
PA14_RS07585,0,0,1,5
PA14_RS07590,1,0,3,10
PA14_RS07595,0,0,2,3
PA14_RS07600,4,3,7,6
PA14_RS07605,2,4,18,21
PA14_RS07610,29,20,114,96
PA14_RS07615,1,5,29,28
PA14_RS07620,0,0,2,0
PA14_RS07625,1,2,4,16
PA14_RS07630,0,0,1,2
PA14_RS07635,3,8,30,39
PA14_RS07640,141,88,317,317
PA14_RS07645,59,40,488,464
PA14_RS07650,212,180,92,127
PA14_RS07655,88,88,32,32
PA14_RS07660,1121,737,2999,3309
PA14_RS07665,442,276,806,764
PA14_RS07670,52,26,132,133
PA14_RS07675,1,2,59,72
PA14_RS07680,3,4,47,54
PA14_RS07685,5,2,31,24
PA14_RS07690,289,218,338,311
PA14_RS07695,9,9,18,15
PA14_RS07700,0,1,7,9
PA14_RS07705,9,5,17,22
PA14_RS07710,1,1,13,14
PA14_RS07715,78,39,239,248
PA14_RS07720,9,10,54,50
PA14_RS07725,11,12,42,68
PA14_RS07730,6,0,7,5
PA14_RS07735,0,0,18,32
PA14_RS07740,9,6,11,6
PA14_RS07745,33,16,27,31
PA14_RS07750,65,51,194,275
PA14_RS07755,133,98,323,421
PA14_RS07760,6,7,33,43
PA14_RS07765,2,2,2,1
PA14_RS07770,218,137,301,281
PA14_RS07775,20,12,21,20
PA14_RS07780,8,7,31,24
PA14_RS07785,1,2,13,6
PA14_RS07790,9,5,7,9
PA14_RS07795,294,161,77,81
PA14_RS07800,9,4,4,0
PA14_RS07805,13,13,35,47
PA14_RS07810,3,2,5,3
PA14_RS07815,12,6,12,16
PA14_RS07820,9,4,12,9
PA14_RS07825,13,2,4,4
PA14_RS07830,5,6,6,4
PA14_RS07835,6,1,10,8
PA14_RS07840,10,11,5,8
PA14_RS07845,0,0,0,1
PA14_RS07850,2,1,1,6
PA14_RS07855,0,0,4,2
PA14_RS07860,21,8,195,204
PA14_RS07865,2,1,13,18
PA14_RS07870,6,1,37,30
PA14_RS07875,74,58,282,350
PA14_RS07880,2,1,65,75
PA14_RS07885,32,29,69,99
PA14_RS07890,48,45,121,183
PA14_RS07895,17,14,51,52
PA14_RS07900,5,6,10,12
PA14_RS07905,2,1,2,5
PA14_RS07910,23,14,67,57
PA14_RS07915,22,10,24,32
PA14_RS07920,1,0,1,4
PA14_RS07925,3,3,4,12
PA14_RS07930,0,3,11,9
PA14_RS07935,7,5,30,18
PA14_RS07940,11,6,19,24
PA14_RS07945,10,12,15,31
PA14_RS07955,6,16,5,25
PA14_RS07960,9,5,9,11
PA14_RS07965,7,3,4,4
PA14_RS07970,1,0,2,4
PA14_RS07975,0,0,1,3
PA14_RS07980,0,1,0,0
PA14_RS07985,1,0,1,0
PA14_RS07990,0,3,1,1
PA14_RS07995,0,0,7,9
PA14_RS08000,1,2,62,53
PA14_RS08005,1,4,12,15
PA14_RS08010,2,3,19,17
PA14_RS08015,0,1,11,9
PA14_RS08020,11,6,10,12
PA14_RS08025,2,4,4,4
PA14_RS08030,3,4,16,10
PA14_RS08035,4,0,3,1
PA14_RS08040,1,2,11,9
PA14_RS08045,5,5,21,39
PA14_RS08050,2,3,16,16
PA14_RS08055,17,10,32,36
PA14_RS08060,2,4,20,25
PA14_RS08065,1,2,13,16
PA14_RS08070,175,134,744,643
PA14_RS08075,2,0,27,33
PA14_RS08080,1,3,4,12
PA14_RS08085,0,0,5,6
PA14_RS08090,6,8,15,19
PA14_RS08095,2,1,18,19
PA14_RS08100,2,4,11,15
PA14_RS08105,0,1,12,8
PA14_RS08110,3,1,13,14
PA14_RS08115,2,2,5,3
PA14_RS08120,0,1,11,4
PA14_RS08125,0,1,3,6
PA14_RS08130,0,0,3,3
PA14_RS08135,3,1,8,9
PA14_RS08140,5,5,4,10
PA14_RS08145,3,0,3,9
PA14_RS08150,13,10,40,51
PA14_RS08155,1,0,0,0
PA14_RS08160,2,4,4,4
PA14_RS08165,3,4,11,9
PA14_RS08170,2,1,14,7
PA14_RS08175,0,1,5,6
PA14_RS08180,2,1,3,7
PA14_RS08185,2,3,12,11
PA14_RS08190,7,10,39,24
PA14_RS08195,1,4,11,27
PA14_RS08200,3,1,6,7
PA14_RS08210,0,1,4,0
PA14_RS08215,0,0,5,3
PA14_RS08220,6,4,21,22
PA14_RS08240,280,184,610,721
PA14_RS08245,217,151,436,443
PA14_RS08250,0,0,2,3
PA14_RS08255,51,28,256,253
PA14_RS08260,8,8,33,35
PA14_RS08265,9,5,36,33
PA14_RS08270,40,22,62,66
PA14_RS08275,23,16,116,119
PA14_RS08280,3,1,26,30
PA14_RS08285,7,5,16,31
PA14_RS08290,2,1,31,25
PA14_RS08295,2,1,9,7
PA14_RS08300,13,4,26,21
PA14_RS08305,113,72,266,270
