gene_id,PA_DP08,PA_DP09,PA_DP12,PA_RP01,PA_RP04,PA_RP06,PAEF_DP44,PAEF_DP45,PAEF_DP47,PAEF_RP37,PAEF_RP39,PAEF_RP41,PALDH_DP55,PALDH_DP58,PALDH_DP60,PALDH_RP49,PALDH_RP52,PALDH_RP53
PA0246,2,2,0,0,0,2,0,0,0,2,3,0,0,1,0,8,2,0
PA0247,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,3,0,0
PA0248,0,0,2,0,0,1,0,0,0,0,1,1,0,0,1,3,0,1
PA0249,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,3,0,0
PA0250,3,3,0,2,2,5,0,0,0,3,2,1,4,2,2,3,3,1
PA0251,0,1,1,0,0,1,0,0,0,0,1,0,0,2,0,0,1,0
PA0252,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,1,0
PA0253,2,1,1,1,1,0,0,0,0,0,1,0,2,1,0,2,0,0
PA0254,1,1,0,0,3,0,0,0,0,2,1,0,2,0,0,9,1,0
PA0255,1,4,3,4,1,4,0,0,0,0,5,3,0,2,2,11,0,3
PA0256,3,8,3,8,7,17,0,0,0,8,6,7,7,1,3,10,5,7
PA0257,5,2,3,2,3,4,0,0,0,2,3,2,9,6,2,5,5,3
PA0258,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
PA0259,13,18,17,12,16,9,0,0,0,10,9,4,10,8,5,12,7,6
PA0260,11,1,12,13,3,12,0,0,0,6,9,4,7,6,6,14,4,4
PA0261,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,2,0
PA0262,3,3,7,5,6,5,0,0,0,1,7,3,5,4,3,7,11,6
PA0263,0,0,2,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1
PA0263.1,3,4,1,1,2,2,0,0,0,1,4,4,0,0,1,3,2,0
PA0265,17,15,17,21,24,24,0,0,0,24,21,24,9,15,7,29,18,9
PA0266,17,20,31,26,26,24,0,0,0,25,17,21,11,17,22,15,25,10
PA0267,5,7,2,2,8,6,0,0,0,6,6,2,4,3,5,13,4,3
PA0268,1,3,2,0,1,0,0,0,0,1,0,0,0,0,1,7,1,0
PA0269,2,8,4,2,2,1,0,0,0,4,8,3,8,0,0,1,1,2
PA0270,0,0,4,0,3,2,0,0,0,2,1,3,0,2,1,1,2,2
PA0271,1,4,1,0,2,0,0,0,0,1,0,1,0,0,1,2,0,0
PA0272,0,2,2,4,2,1,0,0,0,2,0,4,7,2,0,4,2,4
PA0273,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,9,0,0
PA0274,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,2,0,1
PA0275,1,0,2,2,2,0,0,0,0,0,1,0,1,0,0,0,2,1
PA0276,3,8,6,3,2,4,0,0,0,6,6,2,12,3,5,7,6,2
PA0277,9,9,3,3,0,0,0,0,0,3,5,4,4,1,2,6,2,3
PA0278,1,0,0,1,0,0,0,0,0,2,0,0,0,1,0,4,2,0
PA0279,0,0,1,0,1,1,0,0,0,0,0,2,0,0,1,5,1,0
PA0280,2,2,1,0,0,3,0,0,0,0,1,0,1,0,0,0,2,0
PA0281,1,3,3,1,4,2,0,0,0,2,2,1,0,0,0,1,0,0
PA0282,1,2,2,2,1,1,0,0,0,0,2,2,0,0,0,3,0,0
PA0283,9,15,7,6,9,13,0,0,0,0,5,4,8,3,4,7,7,3
PA0284,9,10,7,6,9,7,0,0,0,5,7,2,8,3,0,4,2,1
PA0285,4,10,6,2,3,9,0,0,0,3,5,4,1,2,2,10,2,5
PA0286,36,35,39,20,50,33,0,1,0,15,26,20,19,16,11,16,23,23
PA0287,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0
PA0288,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0
PA0289,3,4,0,2,1,0,0,0,0,1,2,0,0,0,1,5,2,0
PA0290,4,8,7,10,14,15,0,0,1,6,13,8,6,4,2,10,14,7
PA0291,33,29,25,14,23,23,0,0,0,15,23,15,13,15,13,18,9,19
PA0292,4,7,10,3,6,3,0,0,0,5,2,4,8,0,3,6,4,3
PA0293,2,4,0,1,0,2,0,0,0,2,1,2,0,1,1,1,0,1
PA0294,1,0,3,1,0,1,0,0,0,5,1,0,0,0,1,6,1,1
PA0295,4,2,2,6,3,10,0,0,0,3,9,0,3,1,3,5,4,3
PA0296,21,33,39,31,34,28,0,0,0,28,32,24,28,21,6,41,27,17
PA0297,11,21,13,12,19,15,0,0,0,17,15,7,15,9,5,19,12,13
PA0298,9,12,14,10,9,13,0,0,0,8,8,11,4,10,6,9,9,8
PA0299,10,20,9,18,8,26,1,0,0,13,18,13,11,17,8,17,14,7
PA0300,48,45,40,30,29,44,0,0,0,16,29,17,29,15,16,24,18,12
PA0301,21,21,15,16,14,17,0,1,0,9,21,15,18,7,7,17,12,8
PA0302,12,13,9,10,8,15,1,4,1,5,6,3,13,5,4,5,7,3
PA0303,11,7,9,4,9,6,0,0,0,9,3,7,7,6,4,10,5,2
PA0304,4,7,2,4,3,7,0,0,0,4,6,4,1,6,2,8,4,1
PA0305,3,5,4,3,4,2,0,0,0,6,5,1,1,5,1,7,5,2
PA0306,1,1,2,2,7,2,0,0,0,3,3,1,4,2,2,3,2,2
PA0306a,18,29,17,28,30,49,0,0,1,33,29,20,15,12,9,26,19,17
PA0307,0,2,2,3,0,0,0,0,0,1,2,0,2,0,2,1,2,1
PA0308,5,3,3,3,5,2,0,0,0,0,6,2,7,1,1,4,3,0
PA0309,5,1,3,1,1,3,0,0,0,2,5,4,1,3,1,6,6,4
PA0310,4,2,1,1,5,5,0,0,0,2,8,2,2,0,0,2,3,0
PA0311,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,6,0,0
PA0312,1,7,2,2,10,4,1,0,0,5,12,5,7,3,0,12,4,4
PA0313,2,4,4,5,2,5,0,0,0,3,2,2,2,4,1,6,3,0
PA0314,8,5,8,8,8,9,0,0,0,2,7,5,4,2,4,7,6,2
PA0315,38,26,34,22,34,24,0,0,0,30,36,20,34,20,14,28,27,22
PA0316,34,53,61,21,29,28,0,0,1,18,31,9,34,25,18,17,14,16
PA0317,8,13,15,11,10,6,0,0,2,5,14,3,7,2,3,12,9,4
PA0318,2,8,5,6,5,2,0,0,0,4,6,3,1,6,2,7,6,5
PA0319,2,2,3,3,3,7,0,0,0,2,1,2,3,3,3,2,2,4
PA0320,0,1,0,1,0,2,0,0,0,1,3,1,1,0,0,2,0,1
PA0321,4,2,0,1,3,1,0,0,0,1,0,3,0,0,0,4,0,0
PA0322,1,1,1,0,2,1,0,0,0,1,2,0,2,3,2,2,0,2
PA0323,0,2,1,1,2,1,0,0,0,1,2,0,1,0,0,1,1,0
PA0324,3,2,0,1,0,0,0,0,0,1,0,0,0,0,1,3,1,0
PA0325,1,1,1,1,1,0,0,0,0,0,2,1,1,0,0,2,0,1
PA0326,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,5,0,0
PA0327,3,2,2,1,1,3,0,0,0,0,0,2,1,0,0,6,2,2
PA0328,1,1,8,2,2,1,0,0,0,0,8,1,2,0,2,5,2,1
PA0329,22,30,8,20,29,29,0,0,0,20,34,19,18,11,9,17,16,11
PA0330,6,5,4,4,8,9,0,0,0,6,6,7,0,1,6,4,4,3
