"gene_id","AllFR1_S28_L001","AllFR2_S99","AllFR3_S34_L001","F1R1_S25_L001","F1R2_S96","F1R3_S31_L001","F2R1_S26_L001","F2R2_S97","F2R3_S32_L001","F3R1_S27_L001","F3R2_S98","F3R3_S33_L001","FAR1_S29_L001","FAR2_S94","FAR3_S35_L001","P1R1_S30_L001","P1R2_S95","P1R3_S36_L001"
"PA14_41470",116,863,986,1612,7400,1176,1042,3334,1237,2666,3826,2349,12288,6672,7593,12965,10244,10060
"PA14_41480",2,1,11,24,33,15,10,22,22,8,27,21,68,36,45,60,38,55
"PA14_41490",1,8,11,23,51,34,28,29,10,18,45,25,41,36,34,22,35,34
"PA14_41500",50,310,522,728,3206,706,350,1205,436,899,1511,946,3366,1743,2089,4118,3579,2797
"PA14_41510",0,4,14,3,38,6,1,18,8,10,19,4,61,28,42,28,41,33
"PA14_41520",0,16,11,7,32,9,12,19,18,19,33,18,74,51,50,78,61,57
"PA14_41530",0,2,21,3,52,10,14,31,15,5,14,22,68,41,39,50,68,36
"PA14_41540",0,0,1,0,7,0,2,5,0,0,0,1,4,6,3,3,7,4
"PA14_41560",0,14,9,17,40,14,11,25,4,6,14,10,41,28,49,40,28,34
"PA14_41563",2,6,6,9,41,9,6,17,7,5,16,11,43,26,44,38,31,22
"PA14_41570",1587,13151,13214,27400,128329,20627,15428,59673,21025,38039,60181,37911,178557,96371,124124,213576,169034,184423
"PA14_41575",698,3793,5821,13028,29566,10605,4063,13948,7757,10393,14179,12626,15717,12565,10896,13475,12281,9885
"PA14_41590",100,833,1394,1641,6521,1806,766,3719,1676,2082,4085,3772,5805,5090,4503,2176,3444,2019
"PA14_41610",26,254,481,645,2172,558,258,1323,535,752,1597,1127,2428,1611,1415,934,1464,771
"PA14_41630",53,263,447,732,2389,415,327,1023,405,1820,2304,1494,2177,1147,1259,1930,1465,1345
"PA14_41640",34,279,307,572,2374,425,421,1312,444,961,1372,841,2976,1945,2172,3578,2859,2987
"PA14_41650",1,18,26,41,162,39,30,81,50,47,82,71,161,96,130,139,109,119
"PA14_41670",324,1567,2830,4224,13209,2977,2157,6666,2788,4285,7209,4936,11481,8885,7329,13238,9722,10132
"PA14_41680",8,79,152,104,525,127,39,311,113,128,271,238,737,312,673,751,1019,450
"PA14_41690",1,50,72,96,390,98,53,186,116,119,176,98,535,333,345,618,360,307
"PA14_41710",31,197,271,322,1282,313,201,759,352,404,728,524,1608,1086,1077,1897,1306,1383
"PA14_41730",13,126,304,219,935,274,114,474,198,264,536,421,1246,590,862,1213,1065,933
"PA14_41740",4,38,69,122,391,89,98,208,76,118,250,134,440,349,300,590,425,409
"PA14_41750",2,9,19,16,76,20,14,41,14,33,52,29,81,55,54,118,84,70
"PA14_41760",6,16,23,61,146,47,30,99,53,31,87,54,142,95,136,135,155,100
"PA14_41780",8,55,133,124,514,137,76,317,151,127,303,196,419,351,361,409,357,289
"PA14_41790",7,82,78,114,466,120,49,273,88,98,248,154,623,352,484,656,586,510
"PA14_41800",44,288,660,813,2974,673,558,1605,730,753,1552,1234,2667,2092,2367,2314,2575,2074
"PA14_41810",121,624,1211,1314,4090,1344,784,2441,1274,1147,2295,2252,3630,2999,3169,2769,3222,2542
"PA14_41820",33,104,208,198,726,207,123,405,198,206,425,377,864,574,664,702,719,605
"PA14_41830",9,14,4,61,184,33,21,81,31,63,84,63,115,127,88,226,164,143
"PA14_41840",3,22,59,62,273,34,30,189,48,81,171,79,368,352,193,1036,524,454
"PA14_41860",0,10,34,25,66,11,15,64,23,19,78,45,110,65,71,174,117,115
"PA14_41870",65,411,697,619,2605,638,486,1516,774,859,1869,1343,2882,2248,2096,3764,2867,2207
"PA14_41880",38,297,492,585,2424,683,340,1232,523,555,1209,1028,1927,1935,1666,1378,1856,1065
"PA14_41900",67,275,521,997,2607,598,487,1376,528,972,1524,1023,1989,1460,1253,2164,1614,1835
"PA14_41910",29,207,328,640,1266,392,312,685,341,560,682,594,955,803,546,1114,706,786
"PA14_41920",12,85,145,265,629,127,83,262,126,219,323,264,840,566,491,1602,721,893
"PA14_41930",48,335,409,865,2709,604,434,1530,482,652,1241,848,2366,2322,1771,1698,1966,984
"PA14_41950",1,25,42,34,152,26,21,102,42,16,71,56,234,175,175,540,303,373
"PA14_41960",0,4,4,1,6,5,0,10,3,2,6,1,3,6,5,3,11,3
"PA14_41970",69,745,490,1411,6442,912,813,3122,773,1850,2927,1438,4138,4434,4237,3960,4615,3860
"PA14_41980",5,48,114,118,439,118,56,257,97,104,180,156,654,507,490,722,675,403
