"gene_id","AllFR1_S28_L001","AllFR2_S99","AllFR3_S34_L001","F1R1_S25_L001","F1R2_S96","F1R3_S31_L001","F2R1_S26_L001","F2R2_S97","F2R3_S32_L001","F3R1_S27_L001","F3R2_S98","F3R3_S33_L001","FAR1_S29_L001","FAR2_S94","FAR3_S35_L001","P1R1_S30_L001","P1R2_S95","P1R3_S36_L001"
"PA0263.1",0,0,1,0,1,1,3,6,2,1,4,3,6,6,17,16,40,12
"PA0296-PA0297",31,198,323,545,1161,416,411,965,751,476,656,627,787,538,595,584,629,404
"PA0826.2",108095,348924,993520,689169,446122,843818,611232,1411194,1239133,548481,1074584,1324857,1175063,548872,656050,1121347,928959,1321583
"PA0836.1",0,2,0,0,7,1,0,2,0,0,3,3,3,9,2,3,3,2
"PA0887.1",7,22,47,77,173,56,77,153,101,51,122,124,110,70,63,58,69,40
"PA0976.1",0,0,1,1,2,2,3,9,2,2,4,0,6,1,0,2,4,0
"PA1030.1",1,23,27,31,184,42,43,108,68,37,72,61,62,88,39,58,82,39
"PA1052-PA1053",27,145,196,221,1246,184,198,857,222,248,734,349,1078,705,1092,1217,1430,993
"PA1324.1",4,29,25,71,185,48,17,63,28,42,42,38,451,126,278,474,310,326
"PA14_00010",65,560,953,1002,4201,831,1113,3307,2046,853,1721,1257,4966,2987,3606,5609,4647,3769
"PA14_00020",104,558,793,967,4287,847,1133,3246,1657,987,1789,1217,4625,3098,3216,5034,4281,3653
"PA14_00030",68,617,985,884,4113,1072,1260,3671,2030,746,1858,1411,2933,2497,2301,2658,2355,1929
"PA14_00050",73,733,1116,1162,5675,1094,1513,4065,2202,1585,2557,2006,4581,3465,3499,4815,4101,4295
"PA14_00060",20,83,218,202,672,178,122,509,330,183,310,329,696,608,523,755,561,562
"PA14_00070",25,79,122,114,571,99,76,436,238,102,188,185,534,429,367,489,411,265
"PA14_00080",61,330,1027,1182,2739,1050,659,1985,1404,752,1343,1288,3019,2253,2411,2024,2042,1878
"PA14_00090",15,184,320,415,1421,291,403,986,478,507,645,604,2175,1399,1451,2407,1839,1975
"PA14_00100",8,116,97,133,553,109,159,374,214,151,224,138,1051,516,677,1445,799,960
"PA14_00110",8,23,34,27,123,44,69,117,74,55,43,48,178,152,137,295,171,192
"PA14_00120",35,257,230,509,2077,265,616,1504,808,480,786,550,900,837,457,722,587,487
"PA14_00130",1,6,33,22,128,27,41,141,63,36,64,66,299,198,188,289,291,232
"PA14_00140",1,6,18,18,67,17,21,58,19,11,43,44,85,52,55,76,78,62
"PA14_00150",0,13,11,18,61,3,7,21,14,8,16,7,66,35,72,88,91,65
"PA14_00160",22,63,122,137,602,71,126,478,156,163,320,245,360,385,267,372,384,352
"PA14_00170",11,57,170,133,619,146,107,398,231,148,326,205,841,478,674,1200,850,992
"PA14_00180",16,54,163,143,450,82,157,335,259,113,274,212,712,509,615,730,609,616
"PA14_00190",7,53,126,137,488,105,112,350,240,107,177,160,668,638,613,694,592,478
"PA14_00200",26,159,413,269,1369,293,273,1203,620,216,608,488,1117,837,1077,1075,1671,740
"PA14_00210",47,199,480,480,1514,392,532,1441,798,520,780,600,1360,1034,934,1912,1237,1474
"PA14_00230",0,9,25,4,42,5,17,65,28,7,20,20,51,70,67,42,84,66
"PA14_00240",11,21,108,102,312,74,111,336,166,102,276,146,239,209,186,283,267,298
"PA14_00250",13,67,88,185,876,141,284,600,224,235,401,235,962,739,611,1248,1046,1044
"PA14_00280",8,22,67,63,167,37,59,111,78,53,111,77,270,187,205,457,218,277
"PA14_00290",20,29,55,81,160,36,60,134,68,92,135,99,327,207,194,371,212,266
"PA14_00300",28,276,439,394,1851,377,263,1146,504,292,935,570,2385,2422,2319,2691,3400,2956
"PA14_00310",65,433,1138,808,3574,1002,716,2303,1256,726,2058,1548,3208,3106,3542,2803,4334,3768
"PA14_00320",36,194,425,348,1838,417,277,1153,519,292,928,721,1352,1506,1611,1085,1938,1515
"PA14_00340",4,5,21,24,65,22,11,40,32,29,27,33,79,59,75,53,96,72
"PA14_00360",0,0,20,17,32,6,7,18,17,17,13,9,80,51,53,80,51,47
"PA14_00380",0,8,19,19,64,9,17,33,4,19,28,16,92,48,42,117,81,57
"PA14_00400",0,31,50,47,177,51,60,162,98,35,68,58,210,140,146,209,147,158
"PA14_00410",3,37,41,113,321,79,127,270,138,91,132,122,278,212,196,221,224,217
"PA14_00420",0,3,5,0,11,10,2,8,1,0,5,3,34,12,16,34,22,16
"PA14_00430",0,1,6,10,16,8,2,22,4,1,12,11,49,11,26,42,32,23
"PA14_00440",7,49,108,89,404,122,71,318,166,101,171,158,491,337,356,498,470,499
"PA14_00450",10,52,94,92,341,87,77,265,93,73,129,105,537,304,362,679,442,510
"PA14_00460",0,5,47,26,115,25,71,115,56,30,82,37,138,109,117,139,152,144
"PA14_00470",57,463,686,1115,3834,1096,649,2356,1186,599,1238,980,3439,2229,2730,3329,2883,2584
"PA14_00480",226,2226,2618,4732,18264,3512,3252,11590,4189,3330,7020,4215,10412,7312,7680,10125,10757,7695
"PA14_00490",0,10,64,35,89,40,32,86,68,27,39,57,122,79,108,108,96,59
"PA14_00510",7,126,178,255,739,194,209,626,301,206,390,279,585,450,465,538,540,433
"PA14_00520",1,18,16,5,44,11,5,29,20,12,18,9,23,19,35,27,35,16
"PA14_00530",4,62,87,110,411,105,195,439,254,134,230,171,237,219,148,233,169,228
"PA14_00550",14,30,98,100,271,94,75,196,79,83,120,101,283,278,221,213,224,230
"PA14_00560",35,479,516,773,4178,735,743,2794,1274,842,1845,1129,2311,3466,2512,1855,3087,2282
"PA14_00570",0,0,2,2,22,7,4,15,18,3,2,14,41,24,33,30,18,28
"PA14_00580",8,9,12,8,56,19,34,48,29,11,32,22,53,40,52,49,39,43
"PA14_00590",0,0,2,6,24,5,10,29,22,7,14,17,69,34,40,41,46,43
"PA14_00600",5,24,39,23,96,16,41,83,53,43,114,61,185,161,178,179,235,171
"PA14_00620",1,50,49,85,386,55,69,253,108,102,214,114,654,553,566,747,832,848
"PA14_00630",20,195,280,656,1391,434,471,1011,504,611,759,493,821,777,673,695,928,648
"PA14_00640",73,516,692,1242,4527,947,943,2655,1147,1169,1884,1405,4365,3775,3233,4366,3749,4452
"PA14_00650",40,293,711,673,2000,522,452,1392,615,447,1055,772,2733,1970,2257,1831,2791,1934
"PA14_00660",6,30,23,59,259,35,83,208,90,102,132,66,245,213,191,408,226,252
"PA14_00670",7,36,72,70,458,53,99,296,128,150,213,110,536,376,348,962,583,590
"PA14_00680",0,4,13,16,54,13,30,67,53,19,20,17,50,72,53,91,47,73
"PA14_00690",0,10,12,36,89,19,37,70,46,36,26,29,82,55,58,96,63,84
"PA14_00700",0,3,12,16,55,13,26,39,17,16,20,20,62,48,41,69,68,51
"PA14_00710",13,297,207,573,3121,407,270,1365,412,305,660,381,3364,1958,3023,3790,4284,3643
"PA14_00720",8,221,177,426,1830,344,286,1004,323,217,572,254,1226,745,953,1257,1409,945
"PA14_00730",8,71,105,149,360,119,120,292,163,127,226,172,406,344,355,367,402,296
"PA14_00740",8,29,79,115,380,95,153,235,107,108,124,132,369,215,251,544,325,365
"PA14_00750",10,31,52,40,171,39,106,152,66,64,73,101,276,216,284,345,308,314
"PA14_00760",9,59,139,137,416,150,200,322,175,141,227,193,590,465,414,575,449,507
"PA14_00770",2,15,70,41,227,68,103,193,123,44,122,85,454,188,251,535,335,332
"PA14_00780",6,57,90,114,377,101,196,287,144,162,221,165,447,273,262,598,367,385
"PA14_00790",45,351,637,922,3230,622,915,2073,948,860,1306,983,4271,2850,3247,4394,3767,3459
"PA14_00800",21,109,190,248,901,194,276,621,288,247,435,294,924,712,732,839,897,766
"PA14_00810",9,26,35,38,163,41,44,81,66,32,66,60,226,151,165,146,154,156
"PA14_00820",2,51,25,67,323,74,63,139,81,82,159,88,558,303,390,612,477,459
"PA14_00830",13,53,107,66,315,109,113,293,166,79,201,155,439,194,272,422,430,289
"PA14_00850",4,5,14,12,43,12,14,19,14,16,16,13,67,43,56,43,40,53
"PA14_00860",0,5,23,28,51,13,42,32,13,14,18,25,99,52,68,90,59,58
"PA14_00875",5,27,42,57,179,48,42,135,48,52,93,93,320,168,209,296,228,190
"PA14_00890",1,14,10,19,46,9,20,25,13,6,28,19,74,28,54,76,45,39
"PA14_00900",2,11,35,21,49,18,24,46,22,13,26,35,95,66,67,106,62,59
"PA14_00910",4,34,60,81,210,69,71,110,119,79,127,123,363,215,287,274,202,199
"PA14_00925",4,24,27,50,112,28,36,91,43,38,57,50,167,97,106,171,103,108
"PA14_00940",12,16,58,42,120,23,73,69,44,36,44,38,185,93,131,215,134,134
"PA14_00960",1,5,24,15,71,38,8,60,23,16,50,56,152,70,92,135,102,90
"PA14_00970",1,31,72,76,236,79,67,157,60,54,120,122,360,232,275,280,314,239
"PA14_00980",26,109,240,261,779,288,256,786,445,176,497,372,1082,722,758,896,1085,632
"PA14_00990",5,21,71,84,195,59,75,186,96,50,110,77,281,149,273,296,350,208
"PA14_01010",0,28,25,44,199,28,22,84,43,32,61,37,191,131,98,193,111,131
"PA14_01020",10,46,63,122,324,65,50,150,61,64,111,68,422,185,250,470,286,280
"PA14_01030",4,57,46,125,325,96,56,184,81,70,104,54,348,138,211,358,249,227
"PA14_01040",1,9,18,25,43,17,24,26,20,18,15,28,86,36,63,67,61,75
"PA14_01060",0,1,2,4,12,4,12,7,8,3,6,6,18,13,16,16,16,17
"PA14_01070",0,10,9,9,37,8,7,30,14,2,9,4,43,36,44,40,34,38
"PA14_01080",0,3,5,3,22,8,12,10,8,3,2,16,33,23,19,24,20,13
"PA14_01100",5,31,49,67,238,74,33,174,88,29,88,87,221,158,207,230,196,182
"PA14_01110",2,5,15,29,61,30,12,46,16,21,44,29,65,50,43,66,73,66
"PA14_01120",14,16,39,38,199,41,38,111,46,23,77,56,165,92,117,137,121,99
"PA14_01130",11,32,89,66,290,49,88,179,89,91,139,94,167,121,129,143,174,100
"PA14_01140",12,37,79,70,302,48,84,163,81,84,133,94,174,121,137,172,153,118
"PA14_01150",0,10,42,38,83,16,32,92,59,26,74,45,65,52,88,124,118,108
"PA14_01160",17,229,550,613,1364,529,488,1167,672,483,743,743,1275,1067,1066,842,1046,729
"PA14_01170",7,10,25,35,106,28,14,100,41,17,59,39,97,78,100,100,74,98
"PA14_01180",0,4,48,72,163,44,47,122,49,33,58,61,165,124,125,162,133,137
"PA14_01190",4,10,43,27,89,33,44,64,39,19,29,32,125,92,125,140,116,115
"PA14_01200",3,25,40,46,245,53,67,136,87,32,109,61,199,95,126,175,122,126
"PA14_01220",9,34,62,97,285,78,97,210,121,69,185,117,323,203,200,303,256,250
"PA14_01230",3,30,32,50,150,72,63,141,65,50,91,84,264,155,187,252,181,215
"PA14_01240",13,118,220,262,1068,209,238,692,364,283,499,364,1296,928,1030,1696,1180,1261
"PA14_01250",10,95,84,206,841,162,196,434,200,309,477,337,735,574,525,692,683,657
"PA14_01270",6,29,52,89,267,62,77,172,107,106,185,138,127,113,75,107,123,108
"PA14_01290",56,236,653,644,2162,708,609,1343,948,605,1135,920,2018,1477,1487,1725,1651,1319
"PA14_01300",32,153,295,228,899,242,332,717,428,298,561,395,1248,709,832,1063,1044,886
"PA14_01310",21,73,123,125,541,142,124,393,172,134,282,186,535,431,371,410,378,276
"PA14_01320",4,59,133,132,507,145,156,390,209,131,315,207,704,467,479,559,562,432
"PA14_01330",29,93,262,339,933,280,273,786,479,243,493,408,1519,945,1171,1003,1243,884
"PA14_01340",9,42,93,75,436,75,97,321,129,138,226,136,370,285,280,297,300,238
"PA14_01350",0,25,45,48,238,48,56,160,48,52,119,44,244,191,199,258,261,231
"PA14_01360",0,19,46,48,188,38,46,134,49,47,129,50,203,187,169,232,242,164
"PA14_01380",3,30,40,37,201,49,95,155,53,65,127,97,526,297,401,442,434,270
"PA14_01390",19,121,232,153,735,170,129,506,228,111,311,247,1188,986,1001,740,1021,355
"PA14_01400",6,12,51,45,148,55,45,81,58,83,98,88,226,86,100,283,177,147
"PA14_01410",13,206,341,586,1559,417,710,1438,687,543,928,706,785,703,516,734,662,672
"PA14_01430",0,12,31,26,85,26,30,71,40,23,57,48,110,63,70,111,81,77
"PA14_01440",2,17,23,24,105,15,61,106,22,62,80,65,160,104,92,169,130,159
"PA14_01460",5,20,21,33,74,23,22,48,42,27,43,43,80,42,75,84,88,68
"PA14_01470",11,50,79,88,312,65,97,183,155,120,163,110,285,231,243,356,318,296
"PA14_01480",3,19,51,76,265,56,76,146,86,104,124,83,209,192,214,272,215,229
"PA14_01490",1703,10679,20012,22584,94979,20906,18013,67976,29618,19418,42649,32221,83392,52002,54270,84295,65817,62767
"PA14_01500",4,47,93,102,472,65,176,385,173,122,210,123,322,298,277,304,356,251
"PA14_01510",7,25,33,30,204,26,29,167,75,37,65,48,176,111,117,175,167,105
"PA14_01520",5,14,29,21,122,18,10,96,48,18,29,47,157,65,95,145,163,76
"PA14_01540",4,16,34,43,124,31,34,95,28,28,67,59,184,136,124,246,201,206
"PA14_01550",0,21,32,23,125,25,55,98,38,12,41,32,129,103,96,170,148,134
"PA14_01560",2,80,102,80,511,75,115,407,162,67,159,128,602,596,506,383,434,191
"PA14_01580",3,15,41,38,121,22,26,85,61,39,75,56,158,110,131,154,149,150
"PA14_01600",29,150,221,228,1051,188,261,687,327,246,491,349,1254,835,1017,1197,1130,1102
"PA14_01610",8,19,45,26,141,18,52,147,74,69,62,62,292,140,213,248,229,207
"PA14_01620",25,105,146,156,715,169,174,497,267,234,368,220,1326,751,986,1266,996,1120
"PA14_01640",2,20,31,32,139,52,45,137,75,38,91,41,146,120,120,177,146,130
"PA14_01660",26,98,165,155,613,171,244,558,310,74,266,242,743,516,668,755,742,713
"PA14_01670",0,9,32,66,99,39,57,98,40,60,73,55,73,83,84,78,78,97
"PA14_01680",0,10,3,1,16,3,2,17,1,3,6,10,26,12,21,25,27,20
"PA14_01690",0,10,23,18,54,19,18,53,25,13,23,9,67,53,66,86,83,70
"PA14_01710",77,841,800,1084,7021,1153,1278,5076,1856,1245,2915,1701,8466,4766,5916,10735,9701,8662
"PA14_01720",0,43,46,41,405,58,68,268,127,44,170,96,421,372,439,454,555,523
"PA14_01730",81,861,1083,1465,7100,1527,1202,3931,2022,1617,3088,2351,7479,7544,7015,7340,6794,6525
"PA14_01750",4,59,117,97,403,104,127,246,161,76,193,142,629,481,517,460,497,382
"PA14_01760",35,159,255,429,1113,194,329,768,238,424,578,358,2069,1714,1240,3799,1812,2472
"PA14_01770",2,18,15,22,92,35,24,73,40,22,76,60,231,95,195,308,198,276
"PA14_01780",3,93,126,158,462,150,130,336,136,96,243,205,780,618,659,1022,773,883
"PA14_01790",0,12,35,45,121,43,57,126,63,39,73,92,256,179,245,332,310,274
"PA14_01800",0,8,22,18,69,14,3,39,16,22,19,28,97,51,62,87,85,66
"PA14_01810",4,25,36,64,174,31,60,107,52,55,99,86,313,203,182,331,223,227
"PA14_01830",12,59,102,99,269,100,85,219,105,79,145,97,484,268,316,608,400,442
"PA14_01840",0,0,13,0,22,7,2,15,9,12,10,6,35,41,23,32,36,22
"PA14_01860",0,2,5,19,60,9,15,36,5,40,23,17,52,33,45,53,55,42
"PA14_01870",0,2,13,20,19,8,3,34,19,10,17,6,54,33,34,42,39,28
"PA14_01890",1,13,37,30,89,23,56,96,19,34,72,49,127,92,104,185,118,162
"PA14_01900",2,1,1,5,19,6,2,10,7,2,5,4,26,14,16,23,20,24
"PA14_01910",0,4,10,0,36,8,10,11,13,8,17,10,52,33,39,51,63,44
"PA14_01930",1,8,21,24,79,14,62,69,33,41,42,25,151,78,90,280,122,145
"PA14_01940",29,297,514,753,2649,672,694,1935,1005,566,1252,915,2056,1965,1736,2127,2097,1905
"PA14_01960",15,222,386,471,1941,446,469,1287,635,346,857,619,1638,1609,1468,1338,1714,1443
"PA14_01970",107,712,1358,1516,5755,1703,1365,4220,2320,1312,2688,2116,4185,3620,3632,2933,3584,2759
"PA14_01980",9,93,245,217,902,203,246,681,344,171,465,338,691,790,677,692,669,601
"PA14_01990",0,3,27,14,85,29,16,64,44,13,54,48,71,54,76,42,74,48
"PA14_02010",0,8,3,12,19,5,3,31,13,1,21,16,22,5,19,19,39,11
"PA14_02020",9,7,39,33,68,11,10,58,37,21,29,47,81,61,73,133,90,78
"PA14_02030",9,25,53,71,172,70,88,156,64,49,89,88,247,181,186,290,201,225
"PA14_02050",2,35,88,56,228,48,103,185,80,73,131,95,202,149,195,215,165,170
"PA14_02060",0,0,4,3,19,13,0,3,6,3,9,10,25,14,13,35,23,16
"PA14_02070",0,0,2,6,6,0,3,1,4,0,5,4,12,4,6,9,6,13
"PA14_02090",2,23,49,38,162,48,45,117,87,76,87,48,433,137,227,701,281,441
"PA14_02100",6,45,92,94,341,74,137,259,163,86,176,150,507,263,353,549,397,485
"PA14_02110",1,5,18,27,54,33,18,35,15,37,33,25,61,45,50,60,31,60
"PA14_02130",0,3,5,4,14,5,5,7,4,10,5,10,33,11,20,54,27,37
"PA14_02140",7,7,1,10,5,2,4,10,2,2,4,5,31,8,22,42,17,25
"PA14_02150",2,7,17,35,44,34,50,63,17,27,35,38,135,96,97,141,117,89
"PA14_02180",14,78,194,217,550,154,189,308,135,279,369,270,680,531,446,778,558,540
"PA14_02190",25,71,189,218,650,227,270,460,301,267,376,345,1001,662,719,900,691,627
"PA14_02200",79,324,730,858,2584,714,665,1536,904,790,1493,1173,2323,1963,1806,2134,1969,1502
"PA14_02220",116,1263,1767,2585,12191,2091,2023,6402,2734,2449,5875,3528,11830,10079,9598,11213,10639,9390
"PA14_02230",30,286,316,556,2521,473,361,1289,601,397,1111,753,2566,1509,2032,2252,2215,1312
"PA14_02250",151,793,1847,2232,7396,1830,1503,3986,2515,1927,3265,2934,7888,5197,6275,6164,6571,4930
"PA14_02260",131,887,1740,1819,7436,2186,1333,4519,2890,1529,3027,2882,9134,5762,7580,5922,8723,3694
"PA14_02270",113,532,1123,1370,3883,1104,667,2200,1085,807,1991,1373,4169,3376,3390,4440,4319,3905
"PA14_02290",10,29,40,36,149,16,32,105,56,20,54,54,260,177,214,286,231,215
"PA14_02300",0,4,38,16,81,9,9,54,19,15,43,27,118,53,72,109,92,95
"PA14_02310",0,10,15,16,32,16,4,50,17,15,40,19,56,39,46,69,59,42
"PA14_02330",0,6,15,3,12,4,13,13,11,4,14,5,31,16,27,28,31,22
"PA14_02340",5,5,15,31,57,23,36,68,29,26,45,39,92,70,60,99,109,97
"PA14_02360",3,7,23,12,57,17,12,37,21,12,45,20,62,43,42,55,71,63
"PA14_02370",0,4,4,6,14,10,9,17,6,7,12,7,26,16,22,23,19,21
"PA14_02380",0,8,17,30,86,19,14,50,23,36,40,53,93,63,71,101,87,86
"PA14_02390",0,7,19,13,58,14,19,70,18,14,34,11,58,67,61,120,114,82
"PA14_02410",0,4,1,5,9,4,0,9,3,3,9,2,10,11,12,10,11,13
"PA14_02420",8,1,1,9,17,3,0,10,6,8,11,5,25,14,17,50,21,24
"PA14_02435",0,0,2,8,27,7,3,5,3,4,5,16,40,20,18,42,35,28
"PA14_02450",37,151,329,336,1512,421,293,1086,722,253,612,522,1098,1192,1242,1260,1115,1113
"PA14_02460",3,28,44,51,281,50,43,173,79,61,128,90,204,151,207,183,200,168
"PA14_02470",20,59,138,90,556,143,130,370,176,116,251,224,503,395,482,444,498,411
"PA14_02490",0,6,5,1,11,2,4,2,3,3,7,2,11,8,14,36,22,35
"PA14_02500",3,7,4,5,15,2,19,14,14,2,11,7,51,34,43,75,76,74
"PA14_02510",0,15,4,16,37,7,11,13,17,17,22,11,69,33,41,62,54,79
"PA14_02520",11,279,307,505,2326,473,409,1524,543,442,1181,753,1192,827,961,670,1079,464
"PA14_02530",0,59,67,45,267,51,59,274,55,41,264,69,97,302,104,205,359,184
"PA14_02550",14,107,258,183,1005,246,68,545,358,244,531,582,1127,1047,1456,468,1044,662
"PA14_02560",0,18,33,31,171,58,24,88,46,55,106,86,205,223,381,190,248,177
"PA14_02570",0,16,1,17,75,12,14,21,9,25,44,35,100,94,96,91,96,62
"PA14_02580",2,31,51,62,206,33,48,87,35,72,146,86,290,244,236,266,264,234
"PA14_02590",3,25,50,101,278,49,61,129,38,119,184,93,281,244,253,283,319,252
"PA14_02610",12,20,40,75,191,55,24,109,32,90,139,90,232,211,186,206,232,166
"PA14_02620",3,18,50,60,216,27,34,105,42,74,151,77,226,208,155,211,224,163
"PA14_02630",3,11,40,23,108,41,37,81,55,65,75,59,178,116,123,180,140,113
"PA14_02640",0,43,125,161,382,104,174,271,115,162,180,153,208,201,164,185,175,169
"PA14_02650",4,25,57,33,146,52,39,120,33,33,76,48,142,90,109,275,117,207
"PA14_02660",0,64,104,133,347,87,115,258,152,62,171,129,214,241,199,219,176,200
"PA14_02680",0,3,21,27,73,8,22,51,19,10,42,30,51,69,48,65,49,59
"PA14_02690",0,8,3,8,62,7,9,25,16,2,35,7,36,37,32,27,39,25
"PA14_02700",0,0,15,15,51,8,6,39,17,5,14,15,51,51,55,50,53,49
"PA14_02720",0,10,9,10,31,12,24,31,15,14,22,15,24,21,25,12,21,14
"PA14_02730",0,7,9,12,22,1,7,32,11,0,14,15,23,20,24,32,33,19
"PA14_02740",0,1,9,0,24,5,12,13,11,5,18,5,45,21,31,37,39,26
"PA14_02750",2,59,120,128,367,102,92,372,162,108,206,181,215,228,175,255,251,282
"PA14_02760",1,2,16,8,35,16,10,30,30,15,26,15,38,33,38,60,43,37
"PA14_02770",0,5,17,2,25,6,8,33,20,9,17,9,57,22,40,46,53,28
"PA14_02790",6,19,60,24,135,22,32,88,44,34,64,64,118,82,119,107,108,95
"PA14_02810",8,67,137,291,604,109,138,331,145,133,200,142,459,299,279,552,336,396
"PA14_02830",23,107,192,403,877,219,261,549,275,272,355,301,877,666,698,905,790,787
"PA14_02840",15,36,49,84,369,68,64,143,78,55,89,87,531,340,387,579,384,439
"PA14_02850",7,59,69,114,342,92,90,230,115,106,175,133,391,215,284,441,357,424
"PA14_02870",13,68,128,145,327,100,102,252,103,86,175,120,391,259,344,473,350,465
"PA14_02890",0,5,4,17,22,7,12,23,14,11,29,16,39,16,36,79,51,33
"PA14_02900",2,0,10,1,6,0,13,9,4,4,10,1,8,5,8,5,9,14
"PA14_02910",30,110,153,210,409,129,179,290,143,191,310,195,812,450,464,1542,718,938
"PA14_02930",4,3,26,16,51,12,18,64,18,26,38,50,85,61,75,71,50,61
"PA14_02960",0,1,10,35,62,13,37,34,23,13,30,24,51,34,42,48,34,33
"PA14_02970",0,4,30,14,65,31,25,40,28,15,36,29,77,48,68,39,36,48
"PA14_02980",0,0,1,6,9,1,2,10,5,2,5,8,12,9,24,16,29,18
"PA14_02990",0,0,2,2,10,0,4,6,3,9,10,0,9,15,11,11,9,6
"PA14_03000",2,3,19,27,73,39,18,53,20,29,39,19,67,54,82,83,61,61
"PA14_03010",9,82,143,129,381,78,103,396,201,90,196,156,449,257,298,816,471,631
"PA14_03020",0,2,3,5,13,2,6,10,8,3,15,3,9,11,14,8,14,16
"PA14_03030",5,8,13,0,15,2,7,24,8,10,10,9,38,23,29,27,43,20
"PA14_03040",4,10,79,54,116,38,66,127,66,55,98,108,225,171,174,255,211,273
"PA14_03050",0,2,15,30,38,8,28,51,12,23,35,9,88,48,65,102,75,79
"PA14_03070",13,19,57,55,147,42,91,189,134,58,112,128,137,107,102,198,117,167
"PA14_03080",15,32,101,144,319,74,90,244,94,96,212,110,526,343,340,638,412,471
"PA14_03090",28,222,283,524,1836,315,425,1233,451,434,980,460,1226,1170,749,1539,1071,1069
"PA14_03100",0,2,3,2,9,2,2,16,5,1,3,3,36,15,9,21,15,14
"PA14_03110",0,0,6,0,10,8,0,4,3,6,2,3,11,7,8,9,21,11
"PA14_03120",1,9,40,34,127,31,42,135,71,50,65,58,132,103,94,173,141,171
"PA14_03130",22,65,196,133,494,147,267,584,360,195,395,275,425,389,363,482,483,458
"PA14_03150",25,125,378,481,1221,339,492,949,551,439,623,541,1021,711,728,1070,936,1035
"PA14_03160",43,337,623,645,2178,616,601,1782,976,575,1242,885,1368,1308,1096,1295,1376,1124
"PA14_03163",163,1097,2302,2161,7469,2106,1847,6404,3814,1830,3579,3323,5290,3645,3506,5012,5001,3904
"PA14_03166",23,302,320,410,1803,370,312,1450,692,347,726,548,1503,784,847,1088,1084,788
"PA14_03170",4,61,157,223,542,154,233,457,245,202,308,243,394,371,286,368,286,285
"PA14_03180",14,130,176,390,1300,249,412,911,406,375,591,365,507,543,366,495,492,343
"PA14_03190",20,197,329,483,1229,348,421,989,577,319,632,526,1082,733,851,1049,908,788
"PA14_03200",0,80,105,175,601,137,150,427,210,142,271,197,432,321,296,476,373,331
"PA14_03210",0,14,13,22,65,25,8,49,12,28,35,12,102,50,66,118,54,94
"PA14_03220",4,70,148,141,418,134,135,324,179,147,265,186,408,317,332,422,370,273
"PA14_03240",0,0,8,8,23,8,10,16,22,10,8,15,63,22,32,113,44,38
"PA14_03250",51,184,271,386,1468,313,486,1066,581,383,621,448,699,548,558,572,702,456
"PA14_03265",12,118,144,281,1148,204,327,777,439,249,420,331,470,423,354,371,421,219
"PA14_03270",28,390,532,820,3025,764,833,2334,1297,753,1298,1120,1782,1813,1400,1447,1540,1370
"PA14_03285",22,131,259,295,1067,294,292,953,512,225,471,407,617,487,501,435,466,410
"PA14_03290",24,131,201,438,1131,242,402,845,470,361,551,376,818,573,504,741,595,600
"PA14_03300",46,151,264,557,1365,316,477,1032,490,434,740,478,722,607,479,664,524,513
"PA14_03310",2,14,26,39,137,40,29,93,77,24,73,58,106,94,89,140,111,70
"PA14_03320",18,143,211,382,1131,252,239,878,418,289,562,369,646,545,461,566,555,460
"PA14_03330",5,36,45,101,244,57,82,207,113,60,134,88,224,129,109,212,124,146
"PA14_03340",4,30,62,70,200,49,71,136,87,56,110,86,201,126,129,194,138,122
"PA14_03350",59,793,707,1543,5846,1049,1638,4146,2117,1780,2738,1681,2635,1777,1636,2097,1884,1648
"PA14_03360",15,289,237,628,2481,345,722,1613,735,767,994,583,1711,1095,1097,1575,1309,1171
"PA14_03370",21,104,140,306,1391,189,435,1025,456,475,671,435,957,736,496,752,639,577
"PA14_03380",13,92,184,189,687,181,272,652,375,171,433,290,717,491,554,665,741,508
"PA14_03390",0,12,3,2,23,4,3,9,7,13,15,14,29,20,24,31,39,18
"PA14_03400",0,5,3,1,15,0,4,9,1,1,7,5,14,10,6,11,16,4
"PA14_03410",0,0,5,0,1,1,2,3,1,7,4,11,10,1,9,10,5,1
"PA14_03420",0,4,9,5,27,7,4,29,5,7,22,15,12,22,16,12,22,12
"PA14_03430",52,286,421,611,2562,398,504,1609,719,602,1128,764,3927,2472,2765,4656,3213,3463
"PA14_03450",41,303,309,655,2944,511,647,1543,682,906,1363,889,4429,2898,2958,5009,3652,3549
"PA14_03470",25,130,403,588,1282,375,424,885,515,520,752,572,1128,1045,861,1082,1011,975
"PA14_03480",2,15,64,45,184,25,37,130,41,49,94,85,253,175,191,279,266,249
"PA14_03490",13,101,224,300,1178,206,271,721,282,394,670,331,1623,1368,1071,2029,1942,1476
"PA14_03510",25,275,425,837,3060,616,783,1734,704,1009,1400,923,2656,2411,1792,2543,2403,2189
"PA14_03520",44,218,273,649,2258,399,545,1357,567,634,1030,692,2068,1578,1380,1837,1708,1547
"PA14_03530",0,4,7,5,38,7,6,30,13,10,18,29,66,40,41,114,61,72
"PA14_03550",5,4,8,1,16,5,18,18,5,7,9,2,35,33,29,29,40,23
"PA14_03560",8,9,43,19,72,27,33,89,40,35,56,50,76,73,66,83,92,84
"PA14_03580",9,47,173,86,356,106,108,356,156,89,200,188,491,373,322,483,410,389
