"gene_id","PAO1161.EV_1.GSM4975402.","PAO1161.EV_2.GSM4975403.","PAO1161.EV_3.GSM4975404.","PAO1161_PA3973oe_1","PAO1161_PA3973oe_2","PAO1161_PA3973oe_3","PAO1161_WT_1","PAO1161_WT_2","PAO1161_WT_3","PAO1161_dPA3973_1","PAO1161_dPA3973_2","PAO1161_dPA3973_3"
"D3C65_14510",48,70,45,47,55,46,137,108,162,105,127,166
"D3C65_14515",545,625,509,675,435,518,2164,3788,5226,6054,1702,1611
"D3C65_14520",26,32,33,145,58,76,133,224,328,380,118,116
"D3C65_14525",14,21,17,105,37,54,114,172,201,241,106,108
"D3C65_14530",122,143,118,152,150,124,447,485,521,358,457,647
"D3C65_14535",255,268,264,257,218,218,481,598,693,494,544,708
"D3C65_14540",555,534,481,440,382,318,1209,1471,1858,1290,1502,1850
"D3C65_14545",87,67,66,51,59,50,244,281,304,209,301,355
"D3C65_14550",408,385,364,270,286,301,948,1294,1530,1027,1239,1571
"D3C65_14555",167,155,180,159,138,136,395,437,536,339,436,597
"D3C65_14560",1307,1269,1444,195,226,255,550,650,1047,729,721,1082
"D3C65_14565",2115,2266,2398,234,356,354,747,1073,1611,1336,1282,1864
"D3C65_14570",749,864,801,113,236,208,271,400,631,506,468,668
"D3C65_14575",0,1,1,1,0,0,3,6,1,7,2,9
"D3C65_14580",22,11,12,9,12,6,19,19,38,24,21,39
"D3C65_14585",42,44,37,38,33,16,101,89,184,142,132,135
"D3C65_14590",20,14,21,5,12,8,22,30,41,39,28,36
"D3C65_14595",3,4,11,5,2,2,9,12,12,14,14,17
"D3C65_14600",9,16,16,10,10,11,30,32,35,32,28,39
"D3C65_14605",2,3,3,0,2,2,10,6,14,8,10,15
"D3C65_14610",31,45,27,23,31,25,48,53,69,63,44,92
"D3C65_14615",17,23,22,12,12,16,21,30,40,31,32,43
"D3C65_14620",3,5,5,3,4,2,15,14,13,12,13,32
"D3C65_14625",15,16,24,12,7,15,35,26,58,42,43,58
"D3C65_14630",7,6,4,3,6,4,13,15,15,11,11,12
"D3C65_14635",0,0,2,1,0,2,4,2,3,2,4,4
"D3C65_14640",6,9,4,6,8,2,9,11,16,8,15,13
"D3C65_14645",28,19,21,1,3,7,14,20,56,58,53,70
"D3C65_14650",6,3,5,3,5,1,12,10,18,14,22,23
"D3C65_14655",2,1,0,2,3,3,2,3,3,6,3,3
"D3C65_14660",83,88,80,58,51,53,177,177,222,195,200,244
"D3C65_14665",25,15,16,6,4,8,23,22,36,24,22,28
"D3C65_14670",4,6,5,2,3,2,6,7,15,10,6,9
"D3C65_14675",19,19,14,8,15,10,11,20,17,37,33,45
"D3C65_14680",3,4,5,3,7,3,7,2,5,6,2,9
"D3C65_14685",6,5,10,9,5,3,20,20,23,21,27,25
"D3C65_14690",18,20,9,11,10,13,47,63,51,45,42,70
"D3C65_14695",16,17,12,10,10,10,14,17,40,27,31,45
"D3C65_14700",4,1,3,1,2,1,3,3,3,0,1,2
"D3C65_14705",7,6,2,8,4,9,8,16,9,3,5,10
"D3C65_14710",3,5,3,2,1,2,1,5,7,2,6,5
"D3C65_14715",12,10,11,10,4,2,16,16,20,20,18,30
"D3C65_14720",8,3,6,2,3,0,6,11,17,10,16,10
"D3C65_14725",14,12,16,17,16,15,37,47,56,40,55,53
"D3C65_14730",27,34,27,21,15,14,49,62,78,62,64,76
"D3C65_14735",9,6,11,3,6,8,16,21,20,14,21,32
"D3C65_14740",5,6,4,7,8,10,19,20,11,16,12,19
"D3C65_14745",9,6,16,11,12,9,20,29,34,30,28,32
"D3C65_14750",0,3,0,1,1,3,2,2,2,0,1,7
"D3C65_14755",21,25,16,29,16,13,40,38,49,38,44,57
"D3C65_14760",1,1,5,0,0,1,7,8,12,9,10,8
"D3C65_14765",6,5,6,2,5,4,9,8,12,5,6,13
"D3C65_14770",8,10,10,9,6,3,24,34,30,32,27,40
"D3C65_14775",8,7,3,5,3,5,15,15,22,5,17,11
"D3C65_14780",1,2,3,1,0,0,4,4,6,6,9,8
"D3C65_14785",2,5,3,4,1,4,4,7,11,14,9,8
"D3C65_14790",2,0,2,2,2,2,11,6,7,10,7,5
"D3C65_14795",15,22,25,19,12,12,37,64,50,56,53,60
"D3C65_14800",56,52,45,48,45,29,99,94,119,95,91,148
"D3C65_14805",18,11,17,27,9,13,33,51,40,28,29,39
"D3C65_14810",18,19,17,13,7,21,14,19,24,18,24,31
"D3C65_14815",1,1,5,4,2,1,7,1,2,4,4,2
"D3C65_14820",2,4,3,4,2,1,5,8,2,7,11,6
"D3C65_14825",3,1,0,1,0,1,3,2,5,1,6,7
"D3C65_14830",23,24,24,14,10,9,25,22,30,14,25,22
"D3C65_14835",3,5,3,4,3,2,2,3,2,4,5,6
"D3C65_14840",17,25,15,17,12,9,51,43,67,55,50,65
"D3C65_14845",15,18,20,16,18,18,44,44,35,43,35,51
"D3C65_14850",1,5,3,1,1,3,6,2,10,13,2,6
"D3C65_14855",3,1,6,3,1,3,6,8,17,14,8,14
"D3C65_14860",8,8,7,3,2,4,13,11,5,13,21,27
"D3C65_14865",0,2,2,0,1,0,6,6,5,1,1,4
"D3C65_14870",0,0,0,0,0,2,1,0,0,1,0,3
"D3C65_14875",1,2,0,0,0,2,3,1,1,0,1,0
"D3C65_14880",36,39,37,11,12,11,61,49,59,53,55,69
"D3C65_14885",27,24,23,2,7,3,12,19,31,24,19,27
"D3C65_14890",2,0,5,1,2,0,3,4,5,2,4,8
"D3C65_14895",9,12,7,8,7,9,21,29,28,21,21,35
"D3C65_14900",5,4,4,12,7,4,14,9,5,10,14,10
"D3C65_14905",11,15,11,9,8,8,14,16,26,20,17,30
"D3C65_14910",4,9,6,7,5,4,16,16,17,14,11,20
"D3C65_14915",2,5,5,2,3,5,14,19,16,9,5,11
"D3C65_14920",11,10,8,12,7,12,12,23,27,35,30,44
"D3C65_14925",4,26,13,17,9,14,36,39,53,30,40,59
"D3C65_14930",13,22,11,22,29,19,24,28,27,22,34,29
"D3C65_14935",137,137,148,101,101,93,249,281,372,291,305,387
"D3C65_14940",3668,3719,4049,344,461,554,939,1671,3151,3415,2797,2934
"D3C65_14945",354,361,386,51,35,36,138,167,329,221,214,269
"D3C65_14950",441,511,525,87,97,86,122,205,299,191,225,276
"D3C65_14955",16,21,12,13,16,5,31,32,52,45,34,60
"D3C65_14960",41,47,38,43,24,22,68,69,64,64,58,67
"D3C65_14965",150,146,145,115,110,108,221,243,306,207,278,332
"D3C65_14970",63,60,78,38,37,38,112,156,225,129,165,155
"D3C65_14975",97,102,109,52,47,43,121,130,201,173,167,227
"D3C65_14980",27,16,28,18,14,6,46,53,75,58,46,79
"D3C65_14985",3578,3757,4085,262,478,615,1551,3130,5411,5506,5022,5093
"D3C65_14990",247,284,233,29,25,28,59,102,158,134,138,152
"D3C65_14995",7,10,16,25,17,12,25,23,42,18,34,42
"D3C65_15000",265,235,196,251,167,169,560,572,778,665,594,663
"D3C65_15005",4,3,5,4,2,3,15,15,43,17,21,27
"D3C65_15010",124,153,137,170,160,133,371,412,433,316,369,561
"D3C65_15015",331,379,294,147,136,116,498,702,1076,835,804,670
"D3C65_15020",178,185,165,155,148,118,413,328,460,379,383,424
"D3C65_15025",1129,1056,1257,309,293,308,1357,1831,3080,2325,2307,1945
"D3C65_15030",301,230,381,169,185,132,989,989,1293,847,892,770
"D3C65_15035",171,130,195,130,112,88,578,708,915,596,503,418
"D3C65_15040",205,144,238,157,155,132,794,852,1159,725,724,625
"D3C65_15045",142,70,177,129,119,83,536,627,917,566,443,431
"D3C65_15050",27,28,53,48,41,46,201,201,270,156,159,144
"D3C65_15055",50,38,53,63,55,44,117,130,164,119,109,159
"D3C65_15060",4,4,4,1,0,0,2,4,3,9,6,6
"D3C65_15065",134,161,174,147,113,104,358,371,552,357,459,427
"D3C65_15070",168,176,157,174,149,122,355,349,528,371,508,558
"D3C65_15075",162,173,156,135,131,118,362,348,564,350,478,561
"D3C65_15080",169,199,176,123,103,113,348,368,568,389,487,538
"D3C65_15085",43,48,55,33,31,22,125,116,192,147,175,189
"D3C65_15090",17,32,20,25,20,10,64,70,139,103,117,119
"D3C65_15095",279,308,269,225,232,225,496,530,797,584,700,819
"D3C65_15100",18,8,11,11,8,8,39,45,63,46,41,38
"D3C65_15105",6,8,19,7,9,15,38,80,58,37,55,33
"D3C65_15110",36,46,63,27,27,25,146,215,180,141,192,156
"D3C65_15115",36,26,31,24,12,29,94,128,139,143,116,166
"D3C65_15120",27,38,42,25,29,20,70,89,105,90,79,95
"D3C65_15125",20,16,18,10,12,9,29,27,37,28,29,43
"D3C65_15130",6,17,13,18,7,8,42,49,59,41,52,65
"D3C65_15135",4,6,7,11,6,5,19,24,26,20,24,30
"D3C65_15140",6,7,6,12,8,13,29,18,26,26,22,22
"D3C65_15145",10,14,12,8,13,20,37,37,42,32,32,41
"D3C65_15150",49,52,41,48,33,42,102,121,137,109,134,178
"D3C65_15155",15,5,12,17,5,11,28,33,42,34,32,45
"D3C65_15160",7,7,3,8,10,4,14,22,20,10,22,34
"D3C65_15165",16,17,22,17,17,16,26,36,54,24,29,39
"D3C65_15170",9,12,14,14,10,7,14,23,17,11,18,17
"D3C65_15175",80,102,62,97,66,69,189,214,240,192,196,209
"D3C65_15180",168,172,169,194,146,180,406,454,731,798,530,567
"D3C65_15185",123,131,131,107,91,100,298,358,521,447,415,516
"D3C65_15190",865,849,1059,407,402,408,1798,2076,2381,2156,1967,2629
"D3C65_15195",763,773,963,578,503,497,2058,2146,2770,2238,2152,2706
"D3C65_15200",2,5,3,1,2,5,6,9,18,9,11,15
"D3C65_15205",157,143,211,127,123,115,623,636,918,768,626,797
"D3C65_15210",8,3,7,5,2,1,14,21,13,18,11,23
"D3C65_15215",9,11,14,4,8,6,26,27,39,22,27,34
"D3C65_15220",12,9,13,9,6,10,34,42,52,30,27,46
"D3C65_15225",469,482,429,318,215,187,662,592,847,675,668,776
"D3C65_15230",1,5,9,1,1,1,5,9,17,11,19,19
"D3C65_15235",46,59,39,47,37,48,107,120,149,116,139,209
"D3C65_15240",3,5,4,7,3,2,22,24,30,33,40,43
"D3C65_15245",13,13,34,10,14,12,104,145,205,122,124,190
"D3C65_15250",56,46,76,37,47,37,323,432,626,431,458,488
"D3C65_15255",53,64,73,52,37,42,90,89,136,144,125,157
"D3C65_15260",691,713,694,351,351,301,853,887,1210,939,1031,1377
"D3C65_15265",22,21,19,12,19,17,32,58,65,46,38,73
"D3C65_15270",4,10,5,5,2,10,21,16,28,13,21,31
"D3C65_15275",19,33,26,20,29,16,39,42,53,46,45,54
"D3C65_15280",6,8,7,11,8,5,22,16,22,17,24,25
"D3C65_15285",9,13,14,10,10,5,23,28,20,22,26,30
"D3C65_15290",4,10,15,15,10,6,14,18,29,24,18,27
"D3C65_15295",12,14,9,11,10,12,43,39,61,38,46,52
"D3C65_15300",9,4,7,7,6,2,11,13,24,18,23,18
"D3C65_15305",507,478,477,508,373,336,1417,1358,1857,1262,1324,1756
"D3C65_15310",1,1,0,6,2,0,2,1,3,2,2,2
"D3C65_15315",83,120,103,172,102,124,226,346,567,684,265,263
"D3C65_15320",30,20,23,15,22,21,70,94,114,75,91,110
"D3C65_15325",9,9,13,3,5,2,30,21,30,31,31,39
