gene_id,LawnControl1,LawnControl2,LawnControl3,PhoenixColony1,PhoenixColony2,PhoenixColony3,Edge1,Edge2,Edge3,Outer1,Outer2,Outer3,VBNC1,VBNC2,VBNC3
PA0001,104,83,77,89,52,78,41,240,55,38,155,188,138,56,41
PA0002,100,49,81,104,75,106,16,163,30,37,122,169,135,102,25
PA0003,68,42,67,99,122,68,18,173,24,25,83,82,113,19,47
PA0004,172,129,110,175,105,90,39,275,41,89,196,232,214,95,84
PA0005,23,21,12,24,47,20,4,43,8,7,20,24,60,17,18
PA0006,38,20,36,38,76,28,8,115,12,20,41,64,36,67,22
PA0007,112,42,102,168,75,46,58,258,74,90,347,263,111,156,80
PA0008,59,28,36,58,111,30,10,117,23,17,45,52,113,26,68
PA0009,49,44,51,46,90,35,10,100,12,9,18,62,86,0,42
PA0010,14,18,10,15,9,6,9,40,8,1,17,11,10,0,10
PA0011,102,64,59,109,30,66,23,158,54,40,134,151,131,65,62
PA0012,32,25,13,22,21,27,17,75,21,15,72,85,40,17,28
PA0013,37,33,26,33,60,22,1,61,6,0,7,7,33,11,9
PA0014,13,12,20,26,0,3,1,25,3,1,6,4,18,0,11
PA0015,16,17,4,14,39,21,14,59,17,7,48,42,3,30,12
PA0016,77,52,55,50,58,49,30,105,31,17,94,66,62,93,32
PA0017,63,51,56,17,9,43,6,103,20,2,14,17,74,18,28
PA0018,53,18,34,13,15,9,2,68,0,2,10,15,35,43,36
PA0019,93,73,57,105,37,49,49,119,79,61,226,170,111,25,42
PA0020,96,67,78,144,108,62,32,132,47,38,147,252,147,42,67
PA0021,16,13,8,4,0,5,1,49,3,2,2,2,19,6,13
PA0022,22,20,22,20,6,22,12,90,10,9,35,40,22,11,10
PA0023,23,14,16,20,46,21,11,54,14,10,63,67,35,0,24
PA0024,88,44,44,43,71,70,8,144,16,4,22,39,88,9,37
PA0025,19,22,14,14,0,9,1,52,9,0,14,18,8,26,0
PA0026,72,19,37,33,35,30,9,75,16,12,80,55,51,32,16
PA0027,26,8,17,10,44,3,0,56,3,1,36,14,35,9,24
PA0028,11,6,0,4,48,6,0,17,6,4,15,4,8,6,0
PA0029,29,18,14,34,23,10,3,60,3,1,6,4,8,8,17
PA0030,28,12,24,0,16,32,2,34,2,0,9,6,19,0,10
PA0031,83,27,51,15,39,28,4,143,9,3,17,20,114,74,37
PA0032,21,12,22,13,23,22,3,43,2,4,28,12,58,30,5
PA0032a,11,5,9,19,0,14,3,22,6,2,9,2,12,20,5
PA0033,16,6,4,0,9,3,0,21,3,1,4,7,34,35,12
PA0034,55,30,59,47,69,29,5,50,11,4,6,8,51,13,20
PA0035,19,4,9,8,22,13,1,46,2,2,9,5,35,15,10
PA0036,65,50,38,59,110,57,13,155,48,37,141,59,81,41,57
PA0037,33,12,19,19,21,13,9,54,5,1,19,6,11,11,18
PA0038,71,83,46,47,33,53,48,124,93,85,725,358,110,93,22
PA0039,88,142,73,293,438,178,318,671,340,552,3676,3504,314,444,214
PA0040,47,18,31,26,46,27,1,39,10,1,6,7,34,28,15
PA0041,541,301,422,369,609,238,195,992,236,127,668,616,538,345,269
PA0041a,162,88,102,90,99,95,15,342,40,3,24,23,124,113,98
PA0042,34,20,11,39,11,8,3,43,13,6,28,23,32,33,7
PA0043,87,43,44,76,83,55,10,202,57,7,21,22,94,8,32
PA0044,79,19,28,57,56,44,5,114,13,13,74,73,65,47,40
PA0045,75,22,27,46,10,22,0,52,4,1,9,4,33,36,5
PA0046,26,14,23,16,36,25,1,39,2,1,6,5,12,11,4
PA0047,33,9,12,11,14,4,1,41,6,1,7,3,19,10,6
PA0048,16,15,14,16,0,3,0,20,7,1,1,6,0,28,5
PA0049,39,28,38,26,43,29,0,66,9,2,20,7,55,0,29
PA0050,33,10,18,38,12,23,3,47,5,15,79,242,49,22,8
PA0051,56,22,36,22,46,15,1,143,9,4,10,3,91,37,20
PA0052,21,4,11,19,8,2,1,36,3,4,45,28,12,1,19
PA0053,27,17,6,5,44,20,0,25,7,2,0,1,30,28,18
PA0054,42,30,23,8,30,23,10,49,14,7,44,35,55,3,36
PA0055,11,12,11,28,23,39,3,83,3,0,1,5,73,40,16
PA0056,30,11,36,29,96,17,0,59,12,1,2,6,28,33,14
PA0057,7,9,3,14,11,9,0,9,1,0,0,2,6,18,0
PA0058,26,30,33,56,30,17,8,83,4,28,271,213,45,67,14
PA0059,32,16,9,7,38,13,11,41,5,10,80,63,24,6,9
PA0060,6,15,5,51,9,13,6,24,6,6,41,25,21,23,5
PA0061,11,5,13,13,12,4,1,13,3,1,5,8,9,18,6
PA0062,23,22,3,20,0,17,3,34,3,4,21,26,21,0,1
PA0063,12,8,23,18,28,2,4,64,9,4,11,16,22,17,8
PA0064,17,13,24,47,6,5,5,31,6,6,14,10,19,24,13
PA0065,20,8,16,4,32,13,8,35,13,6,21,30,22,0,6
PA0066,117,105,69,170,107,108,36,266,50,45,160,117,99,65,86
PA0067,14,17,13,0,13,14,6,16,6,12,20,20,21,9,8
PA0068,65,8,20,28,29,14,2,59,14,2,1,3,24,3,12
PA0069,29,18,25,28,26,16,12,71,12,18,74,102,40,11,19
PA0070,114,146,76,128,194,118,141,314,116,116,423,395,204,137,124
PA0071,5,5,5,3,9,1,0,30,2,0,0,2,14,0,7
PA0072,0,4,3,0,0,0,1,6,1,0,1,0,0,0,0
PA0073,109,53,103,43,120,45,6,148,11,3,13,20,149,81,60
PA0074,18,2,11,5,16,3,1,36,3,1,2,5,29,0,8
PA0075,5,0,1,0,3,4,1,7,0,0,0,1,0,0,2
PA0076,112,59,106,105,127,54,7,224,16,5,35,33,94,122,66
PA0077,12,3,18,43,36,4,0,46,9,2,8,25,14,31,8
PA0078,15,1,8,39,0,3,2,37,5,0,9,18,21,0,17
PA0079,13,3,22,37,39,16,1,22,1,2,4,10,13,7,0
PA0080,72,75,60,112,148,80,67,173,99,85,369,381,147,137,35
PA0081,53,21,38,116,53,49,24,96,42,13,95,115,50,52,48
PA0082,32,11,15,26,27,17,5,26,8,3,18,26,32,20,7
PA0083,135,74,115,74,108,53,15,205,56,14,58,69,152,44,29
PA0084,48,15,21,44,21,14,9,59,24,5,32,37,30,38,15
PA0085,8,2,5,7,4,7,2,15,2,0,8,7,8,0,7
PA0086,8,0,11,5,39,0,1,19,1,0,2,0,5,8,6
PA0087,23,16,16,5,19,22,4,53,10,7,5,12,40,24,9
PA0088,20,7,21,19,23,17,2,16,0,1,4,11,40,10,7
PA0089,88,31,61,56,35,28,3,119,28,7,36,26,102,53,39
PA0090,87,45,63,20,133,45,3,146,13,5,10,19,114,63,32
PA0091,8,5,12,0,31,11,0,10,10,0,7,1,0,4,10
PA0092,82,26,24,36,28,23,2,71,11,5,17,21,88,33,76
PA0093,19,29,7,40,80,32,25,74,20,29,107,109,73,47,10
PA0094,174,95,121,113,248,148,48,311,71,104,376,403,282,231,80
PA0095,5,2,1,4,17,2,0,18,1,0,2,4,1,0,0
PA0096,27,6,11,36,27,25,0,62,12,0,4,5,45,46,6
PA0097,10,4,2,7,0,5,0,29,1,0,2,4,6,0,15
PA0098,55,34,52,25,35,31,11,88,35,15,49,45,95,18,27
PA0099,48,26,43,36,63,39,21,127,15,28,111,74,120,13,32
PA0100,22,10,7,13,14,13,3,44,3,4,9,14,36,10,8
PA0101,110,69,71,32,87,46,18,89,15,13,96,70,66,49,15
PA0102,31,20,16,42,16,26,1,78,13,8,15,4,38,32,44
PA0103,33,23,28,32,11,13,4,42,6,7,29,62,32,20,5
PA0103a,99,57,108,357,421,182,239,719,359,474,2397,1333,369,364,171
PA0105,114,39,39,168,103,103,81,321,108,73,508,240,217,98,65
PA0106,44,23,23,48,80,41,36,187,28,69,336,168,79,52,44
PA0107,51,29,54,190,134,61,67,332,113,94,648,291,128,161,69
PA0108,14,15,18,10,15,26,9,49,25,35,118,121,34,1,15
PA0109,19,7,19,88,57,42,59,184,53,57,383,317,74,61,52
PA0110,31,15,14,12,47,21,9,79,19,10,79,57,34,18,11
PA0111,44,9,14,55,46,17,5,119,15,9,50,42,35,11,18
PA0112,7,15,12,33,33,29,6,61,11,16,104,55,34,40,29
PA0113,52,27,30,68,44,19,1,77,15,6,55,69,47,26,15
PA0114,22,8,21,8,45,13,3,45,3,4,11,5,10,15,21
PA0115,20,18,8,13,29,8,1,34,1,3,24,20,1,2,1
PA0116,64,23,36,21,68,20,0,37,7,0,9,1,65,33,4
PA0117,20,9,22,15,14,12,2,41,8,5,5,3,51,49,8
PA0118,113,82,81,91,111,35,20,145,43,6,31,13,69,30,52
PA0119,26,29,19,7,1,14,6,30,12,5,13,12,44,10,33
PA0120,47,17,19,37,18,15,4,38,7,6,24,4,47,20,16
PA0121,76,52,72,77,95,72,9,85,34,720,1997,1594,114,295,57
PA0122,38,29,50,25,47,26,4,58,14,4,30,11,67,9,6
PA0123,23,23,20,0,10,1,2,36,5,11,38,25,16,16,11
PA0124,23,9,10,19,44,6,8,43,9,29,71,30,29,23,9
PA0125,67,19,51,54,29,36,1,64,15,2,3,4,43,92,5
PA0126,21,7,5,27,10,7,10,36,1,5,19,20,25,8,2
PA0127,62,59,26,83,64,72,34,98,44,44,268,215,119,65,34
PA0128,67,48,51,44,92,59,5,75,11,2,3,10,69,0,44
PA0129,104,61,68,52,67,48,5,160,25,10,68,73,70,39,84
PA0130,41,11,27,9,30,11,6,28,4,10,32,16,26,33,4
PA0131,58,39,53,57,87,62,2,71,16,5,16,11,68,67,27
PA0132,65,41,60,54,34,24,8,84,21,6,13,12,90,23,32
PA0133,86,73,76,46,68,34,15,101,16,8,48,27,105,48,32
PA0134,4,5,15,27,0,0,0,6,0,1,1,0,12,5,9
PA0135,34,21,35,14,40,31,3,60,7,5,11,4,57,6,22
PA0136,15,6,19,6,25,9,0,33,4,0,0,4,30,0,9
PA0137,35,25,25,17,36,12,7,134,4,1,5,3,51,29,24
PA0138,220,243,144,279,185,158,86,315,94,206,762,784,269,299,129
PA0139,93,49,65,57,71,36,10,100,18,8,29,27,112,68,23
PA0140,29,17,36,46,11,37,3,63,8,3,7,15,53,0,17
PA0141,36,12,30,30,75,14,6,90,12,8,23,17,39,36,43
PA0142,38,7,20,36,54,19,1,43,8,4,18,17,52,18,16
PA0143,15,11,26,13,0,12,0,24,2,3,4,3,13,30,7
PA0144,10,3,6,4,8,11,0,15,4,2,13,3,11,14,6
PA0145,59,25,43,9,30,9,5,65,9,9,47,16,20,42,17
PA0146,30,16,29,11,24,21,3,51,2,4,23,21,16,46,9
PA0147,47,18,39,51,65,47,8,78,11,11,61,36,35,53,27
PA0148,2,15,2,25,6,7,0,11,4,0,0,2,13,9,0
PA0149,15,7,16,31,0,3,0,44,5,0,0,1,9,0,13
PA0150,49,30,38,41,59,45,4,88,11,3,13,15,54,35,12
PA0151,2,4,9,4,21,3,1,25,4,0,5,5,5,0,4
PA0152,33,29,30,24,5,26,2,53,9,1,12,20,22,25,9
PA0153,51,13,10,9,29,24,7,37,10,1,6,7,10,23,13
PA0154,62,42,34,36,78,36,18,142,17,11,76,46,82,33,106
PA0155,35,44,38,53,50,62,8,103,28,17,103,98,89,13,35
PA0156,21,11,10,37,9,8,0,35,10,5,35,52,20,7,7
PA0157,243,137,166,250,158,106,31,342,61,22,156,176,217,136,109
PA0158,34,13,27,26,5,5,5,63,17,4,32,35,47,6,17
PA0159,43,13,35,44,40,6,7,36,16,2,18,20,69,42,29
PA0160,60,31,53,36,2,17,0,72,9,5,14,11,71,0,30
PA0162,12,10,12,18,64,7,3,72,5,4,23,13,15,31,25
PA0163,55,14,37,45,29,29,3,85,11,5,21,27,74,11,8
PA0164,128,58,86,37,89,54,1,95,15,4,9,2,116,49,49
PA0165,34,12,21,24,77,13,6,96,14,0,1,1,35,34,51
PA0166,62,43,61,36,38,30,4,76,23,5,70,68,67,41,18
PA0167,1,5,4,4,0,4,1,6,0,0,2,4,7,14,2
PA0168,14,6,14,27,52,0,5,18,0,0,1,6,43,0,4
PA0169,14,0,5,0,45,8,1,19,4,1,0,1,2,0,8
PA0170,22,23,29,18,0,13,1,25,2,0,1,1,23,6,5
PA0171,86,13,52,57,109,33,6,134,17,2,3,4,72,40,20
PA0172,14,4,6,31,27,16,3,33,1,3,11,11,6,19,15
PA0173,20,3,14,16,18,6,1,37,3,0,14,5,39,12,15
PA0174,56,30,19,25,25,20,2,68,9,10,34,28,64,31,8
PA0175,62,53,81,62,110,81,23,175,35,57,310,263,81,59,63
PA0176,13,0,7,4,19,17,12,58,10,29,116,62,8,40,26
PA0177,49,19,51,35,18,41,10,111,30,16,177,112,68,89,35
PA0178,57,15,38,88,38,51,40,149,37,146,607,417,90,84,22
PA0179,58,17,30,18,42,11,9,80,16,18,102,85,54,34,15
PA0180,33,19,16,34,30,20,5,39,12,7,16,10,10,1,22
PA0181,21,19,13,8,0,0,0,45,3,0,3,0,46,31,20
PA0182,81,12,53,23,44,16,0,89,10,1,2,9,62,19,36
PA0183,17,0,20,13,40,14,1,31,2,3,2,1,27,33,6
PA0184,46,27,37,24,33,31,5,110,12,1,1,6,26,28,34
PA0185,27,11,21,9,21,26,1,59,12,1,8,1,23,0,17
PA0186,23,12,24,11,3,9,2,22,2,0,2,2,24,9,18
PA0187,19,3,6,6,14,0,2,30,5,1,4,4,12,0,3
PA0188,30,15,10,24,0,15,1,44,0,0,2,3,40,18,10
PA0189,17,1,25,18,19,18,3,35,5,5,9,6,40,0,8
PA0190,46,18,38,31,1,31,6,36,6,3,6,0,27,42,2
PA0191,91,49,79,36,81,24,1,111,7,1,5,9,60,53,35
PA0192,17,5,32,23,26,9,2,32,0,0,2,2,19,0,6
PA0193,28,9,5,15,0,10,4,18,4,0,3,5,24,0,9
PA0194,48,31,33,18,23,55,4,108,50,24,100,95,64,39,45
PA0195,15,8,1,4,11,2,0,10,3,3,2,4,6,0,0
PA0195.1,34,9,29,16,0,3,7,77,11,0,13,14,43,16,9
PA0196,19,10,10,10,6,10,0,17,1,1,1,0,10,15,13
PA0197,22,13,4,19,6,4,2,34,8,2,7,2,5,22,38
PA0198,21,10,16,41,17,20,7,74,6,1,1,1,47,0,17
PA0199,40,20,13,51,33,19,32,69,26,41,108,142,59,11,6
PA0200,129,62,63,80,108,67,4,149,35,8,31,14,127,15,31
PA0201,44,9,37,17,48,26,1,76,11,0,4,1,38,19,39
PA0202,48,14,25,18,25,11,1,70,13,3,3,5,21,41,40
PA0203,21,8,19,36,20,6,0,48,9,0,3,4,42,1,4
PA0204,17,15,13,16,22,38,0,56,17,0,0,0,28,47,23
PA0205,30,14,39,40,43,11,4,66,3,1,4,7,45,0,5
PA0206,6,16,20,4,31,7,5,51,5,5,24,11,0,30,16
PA0207,54,20,27,81,44,26,10,125,19,30,152,56,61,35,23
PA0208,2,7,1,21,0,0,0,14,1,5,14,6,19,0,9
PA0209,0,0,0,0,0,0,0,2,1,0,2,2,6,0,0
PA0210,3,1,4,7,0,6,1,24,0,3,8,9,6,0,1
PA0211,1,2,2,0,1,0,0,12,1,5,4,7,0,0,2
PA0212,8,1,2,2,0,7,2,30,2,2,14,5,4,0,0
PA0213,11,4,10,23,22,5,1,26,5,9,10,7,3,6,23
PA0214,8,2,3,0,0,3,0,18,1,4,12,9,6,0,0
PA0215,17,16,5,7,7,1,3,52,8,3,6,4,19,0,4
PA0216,88,27,77,39,119,27,4,91,14,2,4,9,66,29,52
PA0217,56,27,40,33,62,26,4,91,16,5,22,13,12,31,30
PA0218,36,11,19,12,37,33,1,68,15,4,14,3,13,45,15
PA0219,52,23,28,6,59,26,5,89,14,3,8,3,40,47,10
PA0220,52,16,47,51,78,35,3,77,11,2,16,3,42,27,30
PA0221,67,30,37,27,84,31,7,125,6,8,19,12,35,12,23
PA0222,51,29,30,90,22,28,8,83,17,9,59,41,81,37,39
PA0223,35,32,23,53,15,20,4,42,7,1,3,3,10,0,10
PA0224,42,40,44,38,17,29,15,80,12,6,27,26,22,30,44
PA0225,65,15,41,68,58,70,13,106,18,6,12,10,79,8,59
PA0226,38,8,18,73,16,37,17,95,17,1,5,3,77,33,26
PA0227,14,4,29,43,28,5,4,62,9,0,14,10,26,22,3
PA0228,75,25,46,48,46,23,3,86,21,16,39,33,79,49,34
PA0229,10,4,5,23,28,5,3,32,8,6,12,8,12,43,14
PA0230,28,5,13,23,12,15,3,45,4,2,5,11,11,10,35
PA0231,16,9,12,16,12,0,4,23,1,3,12,14,8,13,7
PA0232,21,14,22,30,25,7,4,61,11,1,11,10,39,18,1
PA0233,112,66,109,54,46,41,1,79,18,5,15,11,106,76,11
PA0234,41,28,38,13,35,54,3,88,12,2,13,12,49,28,20
PA0235,23,13,23,22,64,14,0,56,5,2,22,17,51,10,17
PA0236,19,11,8,13,31,12,3,41,2,1,0,3,31,40,14
PA0237,23,7,7,43,0,3,2,41,2,4,6,11,3,0,0
PA0238,32,14,21,20,34,8,3,53,12,1,11,5,24,6,7
PA0239,41,26,28,8,28,9,6,39,4,1,1,1,10,1,10
PA0240,113,40,65,144,100,94,6,160,17,2,6,10,98,121,71
PA0241,45,19,23,27,34,36,5,128,17,4,12,11,51,37,44
PA0242,44,17,11,22,24,5,2,46,10,5,28,33,36,0,15
PA0243,10,2,7,11,9,3,0,21,0,0,5,0,0,0,31
PA0244,11,2,14,0,0,18,1,25,9,2,12,1,14,0,14
PA0245,23,6,26,27,41,20,6,76,5,1,5,1,36,0,44
PA0246,47,27,34,52,52,23,4,102,6,1,14,1,54,57,33
PA0247,26,23,26,12,39,34,8,63,13,3,20,12,30,7,18
PA0248,44,9,20,30,102,23,5,81,24,6,51,32,21,11,24
PA0249,15,14,10,10,34,16,13,52,14,20,121,98,27,10,0
PA0250,16,11,17,15,30,9,1,43,9,1,2,1,27,0,26
PA0251,65,21,35,3,37,14,2,42,2,2,3,6,43,6,20
PA0252,3,6,7,15,9,7,5,25,8,5,15,30,0,16,6
PA0253,64,42,40,42,69,18,25,114,11,5,26,26,35,8,31
PA0254,33,18,13,26,91,16,8,115,9,3,28,23,51,20,20
PA0255,92,69,72,109,223,74,66,209,65,119,677,445,186,185,66
PA0256,104,67,81,94,89,71,30,139,57,49,144,107,105,58,42
PA0257,51,69,35,110,163,69,79,231,88,121,273,227,167,167,59
PA0258,95,63,56,100,118,68,25,154,41,23,130,118,73,91,55
PA0259,322,144,229,153,264,149,31,560,91,19,113,101,243,159,130
PA0260,20,3,14,23,22,20,1,29,8,8,32,9,23,57,1
PA0261,72,36,56,109,84,19,9,136,11,6,46,47,83,22,46
PA0262,15,2,2,0,0,2,0,9,0,0,1,3,0,12,4
PA0263,24,12,6,9,14,12,11,30,9,6,20,51,19,33,17
PA0263.1,108,168,84,111,105,55,24,154,43,24,96,113,71,36,44
PA0265,85,280,87,71,81,55,23,164,55,25,139,168,66,72,35
PA0266,38,48,26,29,28,8,1,75,5,5,7,7,8,23,11
PA0267,15,14,5,14,46,9,0,39,1,9,13,10,14,0,2
PA0268,8,3,8,9,0,4,2,15,3,22,35,26,14,5,2
PA0269,7,2,3,13,15,2,1,32,3,4,8,9,15,0,1
PA0270,9,0,6,9,0,0,0,13,0,19,24,10,8,2,5
PA0271,18,7,11,25,6,19,3,22,2,3,6,7,18,0,1
PA0272,19,3,15,13,15,11,0,46,3,1,0,2,33,10,8
PA0273,22,13,12,29,27,28,3,37,1,2,2,3,2,2,2
PA0274,15,10,12,18,5,17,3,27,13,7,25,31,10,23,19
PA0275,5,13,14,18,25,20,4,43,9,7,18,24,9,14,3
PA0276,45,19,32,32,90,23,8,54,14,1,3,10,35,31,24
PA0277,26,12,27,0,16,7,0,30,5,2,2,3,40,5,24
PA0278,12,11,14,22,5,6,1,36,4,1,9,9,15,24,3
PA0279,36,7,12,12,15,17,2,23,5,1,12,7,18,17,9
PA0280,76,32,52,32,23,55,9,171,18,1,1,3,92,69,89
PA0281,67,17,33,0,19,18,3,93,15,2,1,0,44,32,20
PA0282,84,27,53,74,57,64,0,78,26,1,8,11,56,0,12
PA0283,35,26,20,10,35,22,4,27,9,7,14,26,25,23,1
PA0284,142,46,66,81,82,39,9,180,15,6,17,32,122,102,25
PA0285,68,242,64,109,146,101,38,180,63,25,159,181,178,78,60
PA0286,94,51,58,117,107,68,8,206,20,8,8,6,67,59,39
PA0287,26,7,12,19,46,22,0,54,11,1,1,7,0,23,23
PA0288,24,28,20,23,15,8,13,79,20,13,48,31,17,19,9
PA0289,43,29,37,96,55,20,21,90,27,25,97,91,77,38,28
PA0290,129,46,124,95,65,63,15,140,27,18,109,122,139,83,52
PA0291,46,56,34,49,23,23,13,80,15,13,62,47,61,82,22
PA0292,36,53,45,40,9,53,14,72,22,12,36,30,64,0,22
PA0293,31,19,12,16,12,11,3,48,8,2,6,13,28,23,46
PA0294,56,40,57,50,39,43,16,80,40,4,12,18,77,35,39
PA0295,84,149,82,257,321,133,154,504,202,110,417,426,246,249,149
PA0296,130,258,148,393,615,303,236,626,456,55,173,582,641,308,255
PA0297,114,121,104,280,352,162,102,395,168,38,203,305,202,216,81
PA0298,98,62,52,252,207,99,91,423,125,82,306,412,219,132,98
PA0299,145,88,100,166,187,129,59,359,110,80,343,416,213,126,75
PA0300,58,23,61,58,18,60,15,91,18,9,62,52,75,40,31
PA0301,64,48,54,74,90,42,10,136,28,7,33,60,127,41,50
PA0302,69,25,44,86,142,51,24,127,26,14,43,37,80,6,34
PA0303,76,30,47,103,51,69,24,251,52,15,76,98,90,28,95
PA0304,78,33,60,53,41,49,10,149,42,8,28,20,72,4,18
PA0305,36,14,33,66,50,27,7,74,16,4,22,16,28,1,32
PA0306,96,49,76,51,72,24,17,67,28,25,151,196,110,81,24
PA0306a,20,7,19,20,25,8,3,34,9,1,1,12,33,0,24
PA0307,21,4,20,31,72,25,6,46,6,4,16,19,0,26,5
PA0308,12,1,9,6,11,12,2,34,7,2,9,21,24,23,2
PA0309,52,11,29,8,29,32,4,127,25,9,34,21,96,76,29
PA0310,14,4,5,10,4,1,0,12,0,0,0,0,4,0,1
PA0311,19,9,15,19,37,16,18,82,14,21,127,173,31,65,27
PA0312,35,23,21,7,0,16,2,39,11,2,21,14,79,30,26
PA0313,29,13,35,2,25,23,3,39,7,10,50,57,17,25,21
PA0314,72,98,66,136,95,104,98,332,117,252,1238,753,177,124,68
PA0315,60,41,69,81,70,64,40,144,33,16,90,146,66,57,81
PA0316,149,93,101,103,98,96,52,207,66,54,162,160,154,157,79
PA0317,23,24,13,12,31,10,15,49,9,12,44,37,25,0,7
PA0318,40,20,20,39,53,44,4,64,7,4,19,57,83,33,38
PA0319,21,15,6,8,27,13,6,19,5,0,10,8,9,6,11
PA0320,68,24,43,45,21,15,5,74,2,5,11,16,42,31,13
PA0321,66,31,30,55,69,29,6,145,17,1,4,3,51,12,97
PA0322,83,39,72,67,63,50,3,84,8,0,16,6,70,31,18
PA0323,113,59,33,26,93,56,1,88,31,1,4,1,32,93,54
PA0324,21,4,10,23,0,10,0,41,14,0,4,3,0,0,9
PA0325,96,29,73,103,61,52,5,93,16,2,3,3,63,40,30
PA0326,83,26,52,39,15,30,2,62,15,2,20,24,45,42,34
PA0327,101,32,50,61,89,20,6,82,14,5,17,22,87,56,31
PA0328,63,59,50,119,108,131,35,100,48,137,980,877,180,171,29
PA0329,53,42,18,17,7,26,5,68,20,14,61,111,60,55,44
PA0330,67,30,59,71,75,53,6,145,17,11,51,83,112,33,30
PA0331,30,24,18,59,52,30,10,76,21,60,272,186,46,46,46
PA0332,21,8,7,14,53,1,3,37,10,8,18,11,26,0,5
PA0333,23,20,44,52,62,19,5,110,11,0,6,1,55,16,22
PA0334,15,15,18,9,13,7,4,31,0,3,23,16,11,48,21
PA0335,129,153,81,185,214,97,223,441,235,361,1275,941,238,225,111
PA0336,117,83,75,212,87,70,37,251,56,41,241,144,96,92,92
PA0337,69,30,35,44,48,43,26,133,34,17,98,154,144,34,26
PA0338,5,12,8,4,23,4,4,47,6,2,14,17,12,15,5
PA0339,28,15,26,23,55,10,9,78,15,1,18,29,54,26,35
PA0340,63,29,27,16,58,11,2,95,16,1,12,15,45,26,41
PA0341,57,38,11,54,71,36,9,84,24,17,45,99,73,51,57
PA0342,60,21,39,43,35,12,9,77,16,9,51,51,53,0,25
PA0343,31,10,15,15,1,11,4,33,11,5,21,24,31,16,1
PA0344,11,6,5,16,8,1,5,27,4,5,19,37,33,5,2
PA0345,8,9,2,12,7,3,1,24,2,4,11,9,13,6,0
PA0346,97,26,44,61,45,28,2,100,5,1,0,2,120,31,21
PA0347,14,7,13,9,35,13,1,40,5,2,9,8,27,30,16
PA0348,40,21,12,17,43,14,1,73,18,2,8,1,32,11,7
PA0349,30,21,21,27,36,8,1,78,13,6,23,25,23,17,26
PA0350,42,31,21,43,13,11,9,58,16,12,26,16,29,27,33
PA0351,39,12,22,23,12,19,1,46,10,0,2,13,5,20,8
PA0352,78,67,78,102,106,42,24,125,39,31,112,98,119,98,52
PA0353,33,24,44,8,62,2,6,49,9,3,18,5,4,34,12
PA0354,25,19,13,12,0,6,2,15,5,8,150,71,21,21,3
PA0355,58,36,45,25,43,28,13,90,26,15,56,49,36,27,42
PA0356,35,29,24,40,29,16,11,95,24,11,76,122,31,22,13
PA0357,92,34,80,22,70,42,8,163,43,7,42,38,106,48,37
PA0358,37,29,27,12,35,20,8,76,15,24,118,78,19,3,13
PA0359,85,66,50,106,48,76,23,227,44,27,109,83,95,25,38
PA0360,95,56,62,74,149,54,16,146,36,30,116,178,110,72,45
PA0361,48,39,14,22,3,28,39,67,40,51,147,200,52,53,28
PA0362,35,28,28,17,45,18,7,46,20,6,28,77,35,14,22
PA0363,62,26,59,21,52,27,6,75,18,6,71,34,38,34,5
PA0364,46,18,31,19,20,32,4,107,16,12,110,57,62,45,39
PA0365,72,40,50,63,64,18,2,82,10,28,131,90,105,20,11
PA0366,75,33,61,63,79,41,7,110,17,30,196,137,77,59,26
PA0367,23,7,23,19,15,5,19,44,3,8,42,34,58,6,4
PA0367a,34,19,38,24,81,25,14,84,9,11,46,24,67,42,8
PA0368,11,8,7,16,39,3,3,31,5,5,7,13,18,22,0
PA0369,20,18,24,14,0,9,3,41,6,2,11,25,31,11,3
PA0370,133,49,58,128,125,50,9,169,22,7,55,45,131,46,45
PA0371,58,59,40,151,69,59,43,182,64,43,188,236,189,66,44
PA0372,38,18,17,23,56,45,13,99,32,15,71,83,95,73,42
PA0373,38,37,30,29,27,38,10,66,14,13,111,100,43,34,22
PA0374,282,575,207,211,351,143,152,464,237,228,1313,1609,407,283,105
PA0375,52,37,20,8,51,17,2,73,3,1,8,11,36,26,25
PA0376,35,32,13,7,31,22,6,61,7,3,5,16,41,32,32
PA0377,35,24,28,23,104,26,2,67,7,4,23,18,48,39,11
PA0378,17,8,10,0,39,10,2,38,12,1,10,18,17,1,23
PA0379,23,26,17,16,8,14,1,39,6,0,10,21,10,4,7
PA0380,51,24,24,25,18,30,1,57,5,2,5,11,38,31,38
PA0381,38,11,36,29,30,16,1,67,8,2,11,3,27,6,9
PA0382,16,12,15,0,0,22,0,17,0,3,15,7,9,0,2
PA0383,52,25,24,9,60,31,3,77,15,3,7,8,48,0,46
PA0384,41,20,23,39,19,5,5,42,15,1,2,4,43,16,3
PA0385,13,14,2,19,0,5,6,21,8,17,68,39,33,5,7
PA0386,37,15,22,37,12,28,9,49,8,33,153,92,34,44,21
PA0387,73,18,29,46,63,18,7,104,11,6,42,24,42,54,47
PA0388,75,32,43,62,47,33,4,77,11,9,29,47,54,63,39
PA0389,57,45,35,40,43,14,6,92,18,7,43,53,18,11,28
PA0390,25,10,29,21,71,23,6,60,19,8,25,19,10,21,10
PA0391,15,15,8,26,20,7,2,42,9,12,20,13,2,14,10
PA0392,48,66,54,50,83,56,18,115,33,36,163,111,89,94,22
