gene_id,LawnControl1,LawnControl2,LawnControl3,PhoenixColony1,PhoenixColony2,PhoenixColony3,Edge1,Edge2,Edge3,Outer1,Outer2,Outer3,VBNC1,VBNC2,VBNC3
PA2614,345,570,276,552,571,366,236,1099,345,533,1933,1946,658,305,241
PA2615,292,332,201,202,182,125,15,217,38,24,55,54,209,140,82
PA2616,26,8,21,24,14,8,2,30,9,1,4,0,36,0,0
PA2617,46,40,27,55,39,47,15,84,14,16,52,72,27,4,25
PA2618,17,3,10,7,0,5,0,17,3,2,5,6,10,0,4
PA2619,51,10,48,27,40,26,0,87,18,3,2,1,73,39,12
PA2620,122,72,118,62,120,44,28,115,42,12,68,102,139,56,55
PA2621,73,29,44,86,95,33,0,85,19,3,10,13,43,30,14
PA2622,14,25,20,30,42,42,25,51,23,18,94,50,26,24,14
PA2623,38,31,26,20,26,37,4,40,8,13,38,29,30,14,20
PA2624,60,44,89,95,87,44,4,69,17,13,45,49,92,7,19
PA2625,217,162,134,280,204,191,106,512,148,192,591,692,270,226,95
PA2626,138,81,82,65,4,36,8,109,27,6,21,10,115,27,71
PA2627,67,8,31,25,57,11,3,65,2,1,1,5,49,6,22
PA2628,91,185,50,205,166,109,102,271,117,124,480,674,236,109,91
PA2629,41,23,16,32,92,26,26,81,30,26,108,137,37,27,13
PA2630,156,90,103,95,51,85,21,199,48,41,147,207,192,61,55
PA2631,14,19,4,13,69,6,4,40,2,10,34,39,30,0,7
PA2632,35,16,18,44,150,11,6,134,16,35,108,125,40,41,15
PA2633,77,41,67,99,114,71,22,169,44,51,175,289,102,77,56
PA2634,40,19,46,41,28,43,4,81,10,9,29,29,32,42,30
PA2635,23,4,22,18,31,1,3,38,9,9,19,30,13,11,12
PA2636,19,6,9,12,27,22,2,40,4,4,10,15,22,24,28
PA2637,15,5,6,0,16,1,1,17,1,4,15,10,5,1,9
PA2638,89,30,69,47,83,47,10,167,31,17,61,93,58,95,29
PA2639,64,28,67,43,20,23,7,146,23,5,24,42,52,17,34
PA2640,60,37,37,30,31,40,11,149,18,15,39,52,75,64,39
PA2641,20,7,19,3,13,5,0,14,2,0,1,3,22,17,0
PA2642,66,40,69,104,47,63,20,158,26,18,144,131,162,31,66
PA2643,67,44,45,40,30,38,2,97,14,1,32,25,20,29,26
PA2644,47,13,25,49,42,33,3,68,16,1,3,7,23,0,13
PA2645,96,63,97,87,85,57,7,134,29,4,40,39,93,97,71
PA2646,10,6,4,0,18,6,2,30,3,1,6,15,1,0,1
PA2647,32,33,42,16,83,31,2,82,12,4,38,59,41,20,35
PA2648,14,4,20,4,33,9,8,55,3,3,8,16,22,5,3
PA2649,6,7,2,35,0,11,2,18,3,18,48,45,13,3,8
PA2650,18,21,17,30,36,30,10,43,8,36,128,121,49,32,7
PA2651,28,13,22,26,31,10,2,51,3,1,18,21,18,0,2
PA2652,44,5,26,2,11,10,2,40,6,5,7,12,17,20,3
PA2653,23,5,11,0,25,8,0,54,10,1,8,3,20,19,8
PA2654,16,8,12,48,14,42,1,103,9,1,2,2,38,46,30
PA2655,47,20,51,21,79,32,5,81,22,6,42,31,60,39,17
PA2656,82,45,71,75,34,32,7,92,14,7,48,23,44,23,42
PA2657,45,23,37,30,21,9,3,24,7,7,25,36,62,0,3
PA2658,33,31,40,47,5,30,20,42,21,19,122,98,58,66,30
PA2659,102,29,78,45,105,18,6,159,18,8,40,31,132,82,29
PA2660,101,53,51,84,76,48,8,178,29,7,19,20,75,40,32
PA2661,37,20,29,18,57,10,3,106,15,2,4,9,95,23,12
PA2662,16,10,19,15,9,0,0,24,1,0,1,0,32,28,16
PA2663,12,0,2,3,12,8,1,17,3,2,3,1,0,0,7
PA2664,11,1,13,3,0,0,0,10,1,0,2,2,8,21,8
PA2665,31,15,29,31,44,16,0,59,7,3,5,10,32,20,1
PA2666,100,34,52,56,31,35,4,157,17,6,7,12,97,29,28
PA2667,122,21,52,96,83,86,8,157,31,5,11,13,65,36,59
PA2668,124,85,62,101,131,70,15,229,44,1,4,5,180,52,33
PA2669,34,39,28,16,55,16,9,78,11,2,12,19,47,44,27
PA2670,24,4,23,25,52,13,2,54,8,5,10,9,46,7,0
PA2671,14,11,14,0,19,9,7,30,4,2,11,6,20,9,21
PA2672,55,23,44,41,46,18,2,94,6,5,4,6,58,17,17
PA2673,23,19,21,47,6,4,1,47,5,5,11,20,41,7,8
PA2674,103,74,68,113,95,88,13,193,28,12,76,96,163,50,49
PA2675,167,94,115,147,202,133,39,262,55,41,226,200,164,125,65
PA2676,29,12,8,22,17,3,1,28,4,2,5,3,20,0,16
PA2677,87,47,42,67,67,43,7,115,19,1,11,8,93,49,31
PA2678,157,62,84,54,60,36,11,83,19,3,18,12,86,36,44
PA2679,15,0,8,0,11,1,0,16,1,2,1,1,1,1,0
PA2680,12,0,4,0,26,6,0,3,0,0,0,0,15,0,7
PA2681,87,65,54,57,71,48,7,81,21,5,14,6,52,43,37
PA2682,15,16,16,13,1,1,2,17,4,7,6,3,19,12,15
PA2683,28,22,35,52,19,11,7,29,5,1,9,5,20,31,28
PA2684,23,11,11,18,30,25,0,47,2,2,6,17,15,23,1
PA2685,27,24,19,55,54,22,10,45,14,10,34,45,33,45,17
PA2686,52,15,29,18,0,25,9,62,20,18,23,13,33,11,20
PA2687,12,16,8,11,0,10,0,33,6,1,3,1,16,0,13
PA2688,83,18,19,20,38,16,4,38,3,8,14,18,24,14,11
PA2689,97,39,90,22,79,49,6,91,9,10,20,28,47,35,63
PA2690,45,13,27,13,19,10,0,53,20,10,39,37,36,12,1
PA2691,23,5,20,4,54,19,3,47,11,4,36,27,16,6,20
PA2692,17,15,22,8,29,0,4,20,1,3,15,22,34,15,23
PA2693,12,3,3,4,0,3,0,12,0,0,3,0,0,7,0
PA2694,25,25,16,24,55,10,4,49,6,5,12,6,32,6,3
PA2695,51,57,44,40,115,43,8,71,29,24,94,68,60,100,32
PA2696,22,11,22,3,1,18,5,28,8,13,26,22,22,0,16
PA2697,153,84,55,116,71,59,21,144,39,47,210,157,113,133,43
PA2698,37,34,31,12,77,22,8,58,21,6,35,30,41,51,20
PA2699,75,71,61,89,103,60,48,134,45,83,420,379,186,156,89
PA2700,21,5,6,10,1,12,0,50,7,3,6,13,2,1,13
PA2701,91,65,67,64,66,34,8,71,11,7,45,177,141,36,42
PA2702,35,30,20,40,17,35,10,78,27,7,48,30,31,5,31
PA2703,42,26,16,16,71,5,10,66,8,8,21,36,13,19,6
PA2704,103,54,52,59,44,41,3,104,23,2,10,12,49,78,30
PA2705,11,6,11,6,0,4,0,13,0,1,3,1,22,23,5
PA2706,23,12,12,10,0,5,2,38,2,2,8,9,23,27,4
PA2707,26,14,21,41,38,11,5,45,6,8,27,24,16,20,14
PA2708,44,72,35,25,67,48,40,142,66,55,256,242,150,77,12
PA2709,36,39,25,32,48,18,13,67,16,9,49,20,76,45,11
PA2710,109,34,58,21,77,51,8,152,20,8,37,44,37,28,43
PA2711,30,32,33,33,32,18,9,64,11,10,39,35,107,24,6
PA2712,25,25,19,20,15,44,10,68,19,5,19,26,16,0,0
PA2713,32,31,29,23,16,18,6,54,9,11,31,21,48,19,23
PA2714,15,0,1,16,4,6,0,19,0,0,2,1,11,0,2
PA2715,95,69,72,79,85,60,15,120,22,10,41,52,158,104,45
PA2716,16,8,7,5,0,0,0,15,1,0,1,0,18,12,19
PA2717,66,26,38,70,72,54,6,98,9,1,4,7,41,16,13
PA2718,236,104,202,113,240,111,34,209,69,37,189,221,234,118,79
PA2719,474,324,383,539,473,323,165,890,221,194,721,760,643,229,190
PA2720,70,27,37,27,36,30,20,59,24,24,153,146,62,39,19
PA2721,162,87,92,196,150,81,33,207,73,83,424,372,191,170,59
PA2722,329,247,207,311,308,168,75,368,106,161,773,590,412,230,120
PA2723,44,28,29,41,23,20,11,64,17,20,84,97,34,20,15
PA2724,6,12,2,25,43,28,15,35,13,17,55,48,58,25,18
PA2725,85,145,37,145,140,58,80,141,78,95,404,237,140,114,60
PA2726,453,865,308,416,541,263,278,531,346,629,2105,1346,535,508,208
PA2727,80,44,71,30,77,42,26,145,29,43,124,95,95,78,28
PA2729,75,43,53,74,61,44,9,84,18,15,22,53,39,10,39
PA2730,24,55,29,67,44,54,27,119,40,74,229,303,146,48,33
PA2732,58,147,30,179,185,188,61,218,85,159,730,888,196,130,112
PA2733,94,333,90,308,255,155,102,453,210,257,1109,1402,248,228,95
PA2734,230,276,190,394,618,392,264,1197,484,331,1257,1243,805,438,315
PA2735,8,6,5,11,0,5,3,8,4,2,21,19,11,15,0
PA2736,21,6,10,31,38,7,4,41,3,3,15,12,60,7,1
PA2736.1,37,29,28,51,75,23,18,106,28,61,331,354,41,38,37
PA2737,15,20,11,17,26,1,13,39,19,11,83,81,25,0,1
PA2738,60,32,55,161,203,93,61,199,64,304,2055,1609,220,278,59
PA2739,19,11,6,4,24,21,3,42,10,11,47,49,34,18,7
PA2740,61,44,38,28,17,32,8,81,19,16,64,54,15,30,5
PA2741,58,6,26,58,11,26,2,52,13,1,13,1,30,3,5
PA2742,13,3,5,27,26,0,0,27,0,0,5,5,16,0,6
PA2743,16,11,11,21,26,12,5,35,23,6,36,50,31,20,9
PA2744,73,45,40,52,31,25,5,122,25,16,37,34,57,29,35
PA2744.1,18,7,6,12,36,11,3,52,11,2,6,6,58,0,27
PA2745,5,0,0,0,0,0,0,10,0,1,5,0,6,12,0
PA2746,29,19,14,20,6,8,3,27,6,9,250,86,18,6,3
PA2746a,27,6,14,9,13,14,3,45,6,9,13,30,25,0,12
PA2747,33,24,16,42,27,21,11,35,8,20,108,110,26,29,15
PA2747a,78,108,61,135,195,87,80,297,70,104,596,473,231,138,48
PA2748,42,67,28,168,92,60,46,188,56,88,241,322,146,129,41
PA2749,73,33,49,65,47,32,7,129,31,5,6,7,58,58,39
PA2750,54,31,37,24,19,18,5,65,4,7,8,10,44,40,13
PA2750a,19,21,7,34,65,13,17,64,19,49,236,142,55,81,7
PA2751,115,94,98,282,245,163,165,896,268,96,416,584,269,197,123
PA2752,31,14,30,31,35,17,3,43,10,4,8,8,40,6,6
PA2753,24,35,27,26,49,37,14,87,19,9,25,40,48,39,25
PA2754,4,0,0,0,0,0,0,15,0,0,6,0,1,0,0
PA2754a,41,24,33,23,45,17,1,93,9,1,2,0,77,13,20
PA2755a,45,22,23,33,55,38,10,90,19,11,39,40,18,25,40
PA2755,28,23,32,36,38,14,3,50,10,12,24,44,13,8,20
PA2756,15,13,20,2,10,14,0,26,2,4,9,14,21,18,14
PA2757,39,33,23,48,31,22,4,56,10,2,12,13,25,28,25
PA2758,20,3,9,8,21,10,1,21,1,0,0,1,11,13,3
PA2759,8,2,9,21,0,13,1,40,1,5,10,20,3,3,0
PA2760,32,23,30,34,39,26,8,97,1,9,64,50,61,25,4
PA2761,66,15,40,43,28,31,3,82,15,9,54,73,28,17,38
PA2762,36,25,21,2,38,3,7,52,4,2,21,33,20,19,12
PA2763,41,7,28,15,36,22,2,21,3,2,6,2,8,0,7
PA2763a,43,15,23,36,85,17,6,74,5,0,8,13,69,20,37
PA2764,26,20,23,32,18,13,10,97,26,11,17,19,76,34,25
PA2765,47,22,11,25,7,20,15,74,18,6,28,69,56,25,8
PA2766,46,11,67,66,44,42,59,117,91,16,45,40,105,76,60
PA2767,71,92,58,116,120,83,27,182,26,19,72,106,143,83,72
PA2768,86,47,53,84,59,28,30,166,34,20,253,178,111,84,34
PA2769,15,13,10,20,41,7,6,37,6,8,30,29,7,23,28
PA2770,52,12,27,35,84,36,17,91,41,73,504,190,53,122,32
PA2771,37,38,43,18,17,20,13,43,6,8,24,23,34,20,12
PA2772,12,9,4,10,14,10,2,28,2,2,14,25,21,8,5
PA2772a,11,1,7,1,9,4,0,11,3,1,2,6,13,6,0
PA2773,40,32,43,28,30,47,1,57,6,2,7,2,42,39,23
PA2774,19,13,23,10,37,7,3,43,1,2,0,1,12,8,17
PA2775,12,0,8,0,0,5,0,29,0,0,1,1,15,0,8
PA2775.1,19,3,5,18,24,10,1,36,6,2,6,12,22,0,9
PA2776,20,13,10,36,62,12,3,47,11,6,30,35,26,11,9
PA2777,67,43,45,72,114,47,6,128,19,54,179,142,92,72,31
PA2778,46,23,28,26,55,27,2,77,10,4,19,21,24,6,55
PA2779,57,40,74,84,99,29,8,62,6,18,39,29,69,49,60
PA2780,31,10,0,35,17,3,1,36,2,0,1,1,0,16,4
PA2781,19,9,12,25,39,8,0,24,5,1,2,5,5,25,17
PA2782,73,57,80,76,81,68,17,181,20,7,46,66,182,29,68
PA2783,77,47,55,12,68,37,2,99,32,7,9,28,86,33,65
PA2784,67,57,43,30,73,27,28,129,44,30,118,132,70,30,18
PA2785,54,34,43,78,78,88,26,126,30,61,171,189,99,34,67
PA2786,80,105,64,57,76,99,37,146,38,61,282,431,150,95,83
PA2787,58,16,26,49,5,16,7,44,17,14,60,60,48,5,33
PA2788,74,54,46,73,31,48,26,104,41,42,183,211,113,48,34
PA2789,62,48,31,19,69,27,2,91,10,4,29,40,37,50,28
PA2790,30,6,21,50,22,21,4,59,8,3,23,29,31,24,8
PA2791,22,8,23,21,29,30,1,24,4,0,0,0,2,7,22
PA2792,21,15,22,75,39,25,8,57,12,2,3,3,34,68,32
PA2793,44,67,21,73,101,67,42,105,59,94,475,292,97,135,65
PA2795,13,18,15,23,0,13,0,32,3,2,7,21,12,7,1
PA2796,25,12,17,2,16,5,0,30,8,3,6,0,21,7,0
PA2797,10,3,2,0,0,3,0,11,2,4,1,2,0,9,0
PA2798,24,16,5,7,40,10,2,26,7,13,25,23,28,2,6
PA2799,38,18,13,25,6,7,4,34,3,2,6,5,11,44,4
PA2800,52,35,36,34,53,54,25,116,31,51,202,221,94,23,25
PA2801,102,63,53,114,157,69,15,210,36,80,200,251,82,125,77
PA2802,58,138,50,191,233,112,74,346,119,193,516,698,172,142,117
PA2803,8,8,18,24,1,4,10,33,7,4,18,17,20,14,1
PA2804,112,62,69,125,90,109,21,176,34,55,307,298,98,45,52
PA2805,14,9,6,28,13,17,12,27,15,17,95,88,11,10,8
PA2806,48,45,34,114,92,65,65,168,82,45,158,192,128,46,39
PA2807,67,31,64,119,110,61,27,221,49,40,209,127,128,23,70
PA2808,46,50,32,61,229,44,113,224,172,88,363,840,171,115,89
PA2809,5,3,1,7,0,12,2,17,3,3,16,64,14,16,24
PA2810,1,2,0,0,0,5,1,2,0,1,2,5,12,0,0
PA2811,150,98,91,88,35,52,42,164,48,30,161,140,113,75,54
PA2812,20,26,12,16,20,15,2,42,14,5,49,38,6,44,24
PA2813,17,5,12,4,26,5,1,15,5,1,7,14,13,32,0
PA2814,32,21,9,50,33,33,10,62,9,8,33,53,52,2,34
PA2815,151,96,132,144,117,112,77,296,84,54,291,246,220,170,76
PA2816,29,8,15,32,28,0,1,72,12,6,21,11,55,29,7
PA2817,56,34,41,60,14,22,8,44,8,5,134,48,61,25,1
PA2818,81,57,75,68,17,46,41,154,57,87,324,269,75,69,49
PA2819.1,95,52,52,61,73,59,11,119,14,9,52,104,143,70,20
PA2819.2,31,27,28,31,14,11,1,66,6,0,0,1,18,36,7
PA2819.3,97,170,73,20,67,30,4,93,14,18,66,56,31,49,15
PA2820,42,70,26,33,44,26,1,60,6,2,13,21,31,0,24
PA2821,38,24,24,27,39,17,16,65,12,19,67,81,50,5,30
PA2822,13,17,11,14,11,17,4,34,8,1,19,13,19,0,5
PA2823,52,32,46,81,4,31,6,55,27,6,51,40,52,133,3
PA2824,59,27,35,35,119,36,3,119,12,2,4,1,47,68,25
PA2825,39,6,34,42,24,19,2,52,17,0,1,0,34,29,16
PA2826,8,7,8,20,8,2,0,17,2,0,1,0,27,0,11
PA2827,13,12,11,30,27,5,2,36,6,1,2,1,26,1,14
PA2828,67,26,32,56,28,10,6,96,14,17,47,35,59,59,16
PA2829,54,21,36,37,24,40,6,52,7,4,10,6,43,22,0
PA2830,32,7,7,0,20,8,0,23,0,4,11,6,6,11,11
PA2831,17,5,20,25,19,10,7,50,10,7,16,21,13,0,8
PA2832,77,63,62,74,96,42,9,130,24,10,23,41,102,40,39
PA2833,40,26,26,64,35,28,11,127,17,2,40,37,37,56,17
PA2834,5,1,6,0,22,13,2,13,0,5,12,5,12,0,7
PA2835,51,30,43,50,36,19,5,63,17,9,25,8,36,98,27
PA2836,86,34,19,50,43,27,3,147,28,4,6,7,78,75,26
PA2837,45,21,41,32,12,25,1,52,5,3,7,1,68,49,26
PA2838,48,28,47,62,20,21,5,83,24,10,75,39,26,14,5
PA2839,23,8,24,24,9,12,2,29,9,2,3,3,17,18,32
PA2840,45,91,55,147,57,70,72,211,64,85,352,608,167,111,39
PA2841,56,34,33,43,95,28,47,218,44,31,162,131,46,11,78
PA2842,39,44,38,45,109,63,94,147,132,21,89,47,57,134,103
PA2843,33,66,47,172,208,154,104,179,104,483,2697,3554,368,313,106
PA2844,78,136,39,145,154,67,96,275,110,177,607,389,216,144,89
PA2845,9,9,6,20,58,4,3,46,4,1,15,14,0,30,1
PA2846,44,31,22,71,79,22,25,110,39,35,127,152,50,30,5
PA2847,49,44,25,39,37,7,11,71,21,16,45,50,36,34,13
PA2848,64,31,71,37,83,29,3,88,20,6,21,16,93,22,12
PA2849,28,31,8,18,58,20,6,35,8,12,27,40,51,34,8
PA2850,32,58,28,43,111,52,129,159,55,48,274,372,88,67,36
PA2851,19,11,17,4,27,15,3,40,4,1,1,1,13,7,11
PA2852,114,43,60,101,75,71,15,120,19,12,50,41,82,70,41
PA2852.1,30,5,12,16,39,17,4,32,7,2,4,4,11,0,0
PA2853,23,14,19,29,15,33,2,30,13,22,44,38,18,1,11
PA2854,49,28,47,43,46,49,12,123,15,27,85,85,128,18,44
PA2855,55,34,67,60,33,40,11,92,11,11,37,40,56,25,55
PA2856,57,33,52,42,85,31,7,83,20,6,28,41,50,30,15
PA2857,9,8,6,14,13,9,0,16,1,6,19,15,26,0,0
PA2858,18,14,19,25,1,12,2,20,0,3,3,7,41,31,32
PA2859,79,29,26,73,78,19,9,66,17,2,23,29,78,35,31
PA2860,29,46,32,35,88,30,35,185,54,53,142,137,49,57,34
PA2861,15,8,11,6,5,14,3,27,4,3,8,10,6,0,8
PA2862,39,21,20,19,15,22,7,79,11,9,24,31,20,27,13
PA2863,7,1,3,21,0,4,0,15,9,0,4,8,33,34,7
PA2864,27,28,22,7,20,14,5,65,13,17,52,51,41,0,17
PA2865,33,10,7,15,7,14,1,29,4,4,3,8,25,36,6
PA2866,28,54,26,29,53,23,30,100,31,19,99,74,66,17,28
PA2867,27,30,28,55,10,28,1,25,8,1,1,1,20,13,13
PA2868,30,21,21,17,20,4,4,54,9,3,21,8,37,8,16
PA2869,35,7,34,37,0,18,0,52,11,1,4,4,25,47,12
PA2870,17,6,24,10,3,20,1,22,4,1,3,0,15,9,5
PA2871,49,17,49,59,57,18,2,80,4,2,7,2,49,40,25
PA2872,64,98,43,110,193,55,139,244,148,123,531,422,143,184,49
PA2873,60,27,28,39,73,18,8,77,23,14,44,40,67,45,21
PA2874,21,19,19,9,56,12,16,56,13,11,67,56,27,13,17
PA2875,70,39,30,32,46,23,2,78,15,4,23,33,41,17,10
PA2876,35,11,20,28,21,7,4,47,5,4,12,14,56,27,24
PA2877,67,17,44,20,60,46,5,94,9,10,60,43,91,20,20
PA2878,65,21,58,5,10,30,5,76,9,7,19,26,21,51,61
PA2879,3,2,5,5,9,1,0,11,0,0,1,1,0,0,7
PA2880,54,20,42,65,79,24,5,167,13,5,18,24,65,47,32
PA2881,46,18,26,16,36,31,4,49,9,2,22,22,54,12,13
PA2882,72,23,69,61,44,40,10,107,12,13,35,37,75,47,21
PA2883,15,20,21,2,8,14,10,53,16,15,62,42,31,26,4
PA2884,11,30,10,27,14,9,16,74,20,23,76,52,55,15,9
PA2885,47,34,42,35,83,33,11,89,31,7,52,60,71,61,8
PA2886,103,149,87,311,246,130,152,461,186,220,981,815,368,228,98
PA2887,4,2,2,8,23,0,0,9,0,1,0,0,0,0,0
PA2888,35,42,31,37,14,28,4,44,9,3,23,10,24,10,13
PA2889,38,21,12,16,50,26,6,32,8,2,23,26,7,35,4
PA2890,18,16,5,52,17,10,7,24,4,10,33,36,11,63,6
PA2891,15,3,14,8,11,20,11,58,21,13,49,57,25,9,13
PA2892,15,6,3,8,10,0,1,34,0,1,3,0,7,5,17
PA2893,11,1,6,11,42,2,1,25,0,1,1,3,7,15,2
PA2894,2,0,5,5,0,3,0,9,2,0,1,4,7,0,2
PA2895,35,19,19,20,21,18,0,35,6,1,4,2,16,0,23
