"gene_id","CONTROL.R1...raw.counts","CONTROL.R2...raw.counts","NAC8.R1...raw.counts","NAC8.R2...raw.counts"
"IS492_00935",299,920,364,870
"IS492_00940",111,232,139,239
"IS492_00945",204,467,243,501
"IS492_00950",68,163,73,200
"IS492_00955",48,164,85,119
"IS492_00960",82,232,67,191
"IS492_00965",21,64,21,65
"IS492_00970",30,36,30,54
"IS492_00975",50,148,71,177
"IS492_00980",41,88,56,98
"IS492_00985",58,83,52,80
"IS492_00990",110,178,119,196
"IS492_00995",85,147,72,158
"IS492_01000",92,218,109,201
"IS492_01005",2630,11087,3392,9021
"IS492_01010",298,971,454,949
"IS492_01015",2656,8815,3692,8678
"IS492_01020",115,281,88,231
"IS492_01025",172,460,137,413
"IS492_01030",886,2548,645,3102
"IS492_01035",161,205,150,200
"IS492_01040",1291,2560,815,1894
"IS492_01045",686,871,430,656
"IS492_01050",124,188,98,181
"IS492_01055",34,35,11,26
"IS492_01060",113,210,122,183
"IS492_01065",90,172,105,176
"IS492_01070",38,119,39,116
"IS492_01075",148,331,164,348
"IS492_01080",58,86,33,75
"IS492_01085",124,262,147,269
"IS492_01090",117,361,122,241
"IS492_01095",363,866,364,779
"IS492_01100",51,87,51,68
"IS492_01105",57,121,82,115
"IS492_01110",78,166,107,182
"IS492_01115",38,46,38,61
"IS492_01120",59,123,73,116
"IS492_01125",80,203,77,206
"IS492_01130",173,573,171,523
"IS492_01135",65,134,89,159
"IS492_01140",54,104,63,129
"IS492_01145",88,196,131,220
"IS492_01150",248,697,304,800
"IS492_01155",744,2046,920,2528
"IS492_01160",554,1454,673,1546
"IS492_01165",257,505,287,628
"IS492_01170",333,881,452,973
"IS492_01175",24,71,27,52
"IS492_01180",32,53,34,39
"IS492_01185",37,130,42,87
"IS492_01190",30,50,42,60
"IS492_01195",23,82,47,81
"IS492_01200",48,183,63,150
"IS492_01205",77,180,56,184
"IS492_01210",30,66,25,73
"IS492_01215",125,289,133,287
"IS492_01220",106,308,88,212
"IS492_01225",58,159,66,148
"IS492_01230",90,180,124,180
"IS492_01235",422,1337,477,1035
"IS492_01240",59,150,67,127
"IS492_01245",145,448,140,416
"IS492_01250",319,829,364,1095
"IS492_01255",233,503,286,599
"IS492_01260",26,82,31,89
"IS492_01265",15,24,21,18
"IS492_01270",73,193,93,179
"IS492_01275",384,1051,503,1008
"IS492_01280",233,617,235,510
"IS492_01285",167,337,124,315
"IS492_01295",1910,5289,1858,5089
"IS492_01300",1107,2964,1027,2320
"IS492_01305",208,760,133,510
"IS492_01310",274,749,220,545
"IS492_01315",500,967,475,827
"IS492_01320",346,715,322,640
"IS492_01325",387,1017,320,867
"IS492_01330",113,320,101,291
"IS492_01335",2,3,0,1
"IS492_01340",8419,22337,11986,29281
"IS492_01345",11135,23618,15827,30299
"IS492_01350",210,512,254,476
"IS492_01355",236,726,331,704
"IS492_01360",372,987,374,1033
"IS492_01365",400,925,377,964
"IS492_01370",180,495,165,433
"IS492_01375",329,858,341,813
"IS492_01380",33,87,40,95
"IS492_01385",43,108,30,70
"IS492_01390",220,747,199,660
"IS492_01395",271,921,147,961
"IS492_01400",119,430,97,309
"IS492_01405",62,151,65,165
"IS492_01410",335,460,498,709
"IS492_01415",1287,1831,2005,2578
"IS492_01420",794,663,1039,852
"IS492_01425",608,308,604,350
"IS492_01430",939,379,751,291
"IS492_01435",84,169,73,90
"IS492_01440",479,1322,585,1176
"IS492_01445",3043,9406,2299,7119
"IS492_01450",86,205,95,195
"IS492_01455",74,154,81,156
"IS492_01460",313,1066,381,982
"IS492_01465",838,2045,791,2191
"IS492_01470",2234,6134,2339,4928
"IS492_01475",1123,2639,1296,2641
"IS492_01480",149,459,190,353
"IS492_01485",331,1018,278,815
"IS492_01490",725,2689,487,1749
"IS492_01495",3496,9203,3682,10357
"IS492_01500",616,1742,612,1943
"IS492_01505",2018,4300,2575,6250
"IS492_01510",4687,9611,6694,12649
"IS492_01515",4818,12859,5625,13613
"IS492_01520",1584,4080,1809,3766
"IS492_01525",2050,5400,2763,5384
"IS492_01530",1146,2817,1497,2913
"IS492_01535",1651,3064,2165,3527
"IS492_01540",932,2392,1145,2591
"IS492_01545",719,2120,802,2514
"IS492_01550",427,1457,506,1593
"IS492_01555",114,295,126,320
"IS492_01560",892,2103,1292,2439
"IS492_01565",1052,3430,1058,3009
"IS492_01570",409,1037,323,849
"IS492_01575",89,285,63,180
"IS492_01580",624,1414,685,1446
"IS492_01585",945,2227,1075,2287
"IS492_01595",5668,12030,6446,16456
"IS492_01600",3652,9878,4597,8635
"IS492_01605",1569,5058,1935,4354
"IS492_01610",1682,4849,1955,5082
"IS492_01615",922,2235,996,1994
"IS492_01620",528,1005,527,1001
"IS492_01625",113,216,124,225
"IS492_01630",112,245,124,246
"IS492_01635",59,192,59,138
"IS492_01640",61,102,48,77
"IS492_01645",126,334,111,285
"IS492_01650",40,117,37,107
"IS492_01655",336,643,206,510
"IS492_01660",385,1068,411,1037
"IS492_01665",1235,3679,1477,4334
"IS492_01670",3956,9802,4902,13085
"IS492_01675",775,2407,696,1965
"IS492_01680",1117,4012,1239,3024
"IS492_01685",472,1283,601,1445
"IS492_01690",720,1816,882,2053
"IS492_01695",162,475,177,450
"IS492_01700",402,1310,511,1390
"IS492_01705",735,1941,658,1747
"IS492_01710",1560,2912,1676,3077
"IS492_01715",8563,20773,11159,25170
"IS492_01720",699,1343,985,2031
"IS492_01725",346,934,376,856
"IS492_01730",112,360,102,219
"IS492_01735",802,1763,804,1446
"IS492_01740",963,2341,791,1831
"IS492_01745",799,1656,892,1562
"IS492_01750",899,2258,1332,2843
"IS492_01755",461,1407,542,1353
"IS492_01760",18,52,34,34
"IS492_01765",306,540,379,542
"IS492_01770",73,222,93,194
"IS492_01775",55,172,80,175
"IS492_01780",171,427,225,378
"IS492_01785",334,1069,467,1142
"IS492_01790",292,1126,328,784
"IS492_01795",4966,14080,5564,13756
"IS492_01800",1158,3552,1475,3631
"IS492_01805",1160,1832,1415,2433
"IS492_01810",202,818,168,532
"IS492_01815",523,1468,460,1140
"IS492_01820",255,584,357,435
"IS492_01825",895,1844,712,1637
"IS492_01830",240,762,268,603
"IS492_01835",993,3064,1016,2650
"IS492_01840",130,434,152,369
"IS492_01845",499,1261,310,798
"IS492_01850",193,541,189,501
"IS492_01855",90,279,103,258
"IS492_01860",323,1058,418,977
"IS492_01865",443,1100,408,1133
"IS492_01870",528,1381,641,1799
"IS492_01875",707,1920,776,2125
"IS492_01880",769,1956,993,2258
"IS492_01885",1830,4188,2531,5094
"IS492_01890",4340,11607,6552,12378
"IS492_01895",2669,7908,3329,6992
"IS492_01900",2100,6348,2004,5647
"IS492_01905",1545,3834,2041,4203
"IS492_01910",1842,4535,2316,5198
"IS492_01915",8032,18781,7607,18895
"IS492_01920",227,488,246,488
"IS492_01925",193,496,204,481
"IS492_01930",32,119,39,77
"IS492_01935",33,131,41,90
"IS492_01940",1558,3968,2172,3232
"IS492_01945",641,1770,894,1479
"IS492_01950",353,856,384,895
"IS492_01955",86,272,92,215
"IS492_01960",226,617,140,389
"IS492_01965",378,1008,277,641
"IS492_01970",2960,7788,3108,7928
"IS492_01975",1287,4145,1452,4146
"IS492_01980",212,807,284,667
"IS492_01985",444,1594,428,983
"IS492_01990",562,1478,512,1368
"IS492_01995",997,1814,1041,1969
"IS492_02000",1846,4981,1924,4851
"IS492_02005",2856,7249,2874,6538
"IS492_02010",815,2117,652,1546
"IS492_02015",1056,3123,898,2454
"IS492_02020",1105,3077,1022,2618
"IS492_02025",625,1647,599,1391
"IS492_02030",344,778,285,756
"IS492_02035",2653,4691,4462,5487
"IS492_02040",2350,4896,3894,5764
"IS492_02045",4997,15946,5469,15013
"IS492_02050",4454,13980,4230,11723
"IS492_02055",1948,4685,1998,4539
"IS492_02060",763,2142,814,2085
"IS492_02065",988,2577,942,2423
"IS492_02070",260,856,241,663
"IS492_02075",1123,2812,1105,2793
"IS492_02080",1880,4773,1287,3840
"IS492_02085",1125,2744,730,1953
"IS492_02090",1324,3794,896,2952
"IS492_02095",2785,8894,2024,6595
"IS492_02100",523,1578,529,1524
"IS492_02105",6537,16602,7516,17785
"IS492_02110",627,1398,734,1704
"IS492_02115",284,797,344,859
"IS492_02120",259,511,333,591
"IS492_02125",109,274,99,244
"IS492_02130",372,1078,456,978
"IS492_02135",599,1153,966,1439
"IS492_02140",2166,4449,3739,5382
"IS492_02145",1152,3608,1178,2713
"IS492_02150",683,1776,576,1494
"IS492_02155",3628,9629,4781,12032
"IS492_02165",18806,54650,21765,45242
"IS492_02170",67327,174142,90748,183944
"IS492_02175",45647,124303,66329,142981
"IS492_02180",3749,12470,4815,10446
"IS492_02185",1451,3036,1469,3158
"IS492_02190",1277,2617,1625,3281
"IS492_02195",3614,8522,2954,7874
"IS492_03025",659,2983,678,2629
"IS492_03030",336,910,315,713
"IS492_03035",1716,4978,2181,5818
"IS492_03040",6558,18107,7790,19207
"IS492_03045",9521,30004,12080,27689
"IS492_03050",6947,15346,6633,13459
"IS492_03055",3300,7790,2753,6595
"IS492_03060",1697,2893,1368,2394
"IS492_03065",725,1651,619,1437
"IS492_03070",476,1054,490,970
"IS492_03075",267,874,291,798
"IS492_03080",304,791,313,627
"IS492_03085",75,292,92,362
"IS492_03090",141,499,192,557
"IS492_03095",109,433,115,405
"IS492_03100",40,164,48,158
"IS492_03105",261,1001,215,691
"IS492_03110",319,1058,444,801
"IS492_03115",1425,3864,1212,2684
"IS492_03120",110,205,185,281
"IS492_03125",658,1654,827,2023
"IS492_03130",19,74,29,59
"IS492_03135",58,90,53,108
"IS492_03140",15,25,22,42
"IS492_03145",107,248,100,287
"IS492_03150",106,189,90,197
"IS492_03155",16,61,33,37
"IS492_03160",101,310,135,334
"IS492_03165",113,216,159,265
"IS492_03170",528,1349,621,1395
"IS492_03175",158,432,174,484
"IS492_03180",312,864,413,1046
"IS492_03185",153,407,236,486
"IS492_03190",100,287,138,336
"IS492_03195",402,900,579,1071
"IS492_03200",122,312,186,371
"IS492_03205",32,59,32,66
"IS492_03210",88,230,127,262
"IS492_03215",27,124,46,136
"IS492_03220",80,185,66,203
"IS492_03225",38,102,34,94
"IS492_03230",1267,3407,868,2322
"IS492_03235",1828,5367,1771,4155
"IS492_03240",1783,3543,1799,3168
"IS492_03245",1093,3233,988,2863
"IS492_03250",118,270,123,258
"IS492_03255",257,1171,333,831
"IS492_03260",1712,3959,1576,3790
"IS492_03265",200,559,174,565
"IS492_03270",769,1930,777,1909
"IS492_03275",890,2135,762,1831
"IS492_03280",665,1938,824,1747
"IS492_03285",1269,3829,1632,4026
"IS492_03290",254,794,236,731
"IS492_03295",1201,3497,1514,3093
"IS492_03300",693,1559,1200,1647
"IS492_03305",550,1122,776,1313
"IS492_03310",649,1195,702,1533
"IS492_03315",1282,3489,1650,3673
"IS492_03320",2092,7602,2462,6627
"IS492_03325",1365,3748,1339,2918
"IS492_03330",253,393,114,294
"IS492_03335",3,1,3,4
"IS492_03340",11,50,11,28
"IS492_03345",2151,1482,2260,785
"IS492_03350",2,2,8,1
"IS492_03355",1855,2751,1289,2468
"IS492_03360",967,1247,624,1202
"IS492_03365",771,1737,803,1865
"IS492_03370",1141,2902,1255,3362
"IS492_03375",827,2531,974,2908
"IS492_03380",1372,3365,1148,3149
"IS492_03385",516,1225,466,1116
"IS492_03390",692,2167,535,1677
"IS492_03395",382,585,225,450
"IS492_03400",586,1019,446,1015
"IS492_03405",265,622,290,655
"IS492_03410",559,1435,489,1179
"IS492_03415",249,559,246,521
"IS492_03420",375,1008,402,1095
"IS492_03425",258,674,213,661
"IS492_03430",100,293,95,310
"IS492_03435",95,303,99,312
"IS492_03440",27,40,18,42
"IS492_03445",5,12,3,7
"IS492_03450",41,125,51,80
"IS492_03455",1775,4700,1702,3943
"IS492_03460",695,1448,811,1377
"IS492_03465",761,1752,620,1667
"IS492_03470",10068,26488,11652,28519
"IS492_03475",2719,7513,3389,8155
"IS492_03480",1707,4842,1748,4284
"IS492_03485",534,1432,666,1507
"IS492_03490",458,1172,640,1440
"IS492_03495",281,812,354,969
"IS492_03500",1675,4282,2259,5286
"IS492_03505",3229,6762,4358,9965
"IS492_03510",992,2141,1163,2075
"IS492_04355",5967,17951,8969,15467
