"gene_id","empty_NI_1","empty_NI_2","empty_NI_3","pit4_NI_1","pit4_NI_2","pit4_NI_3","empty_I_1","empty_I_2","empty_I_3","pit4_I_1","pit4_I_2","pit4_I_3"
"PA5570",1031,1831,2102,1402,908,1659,2460,1057,951,522,1900,1399
"PA5569",5439,5893,8000,4361,3807,5873,5872,5406,3980,3011,6498,5159
"PA5568",6563,6687,8793,5240,4229,7118,6740,5551,4713,3315,8163,7215
"PA5567",886,1213,1498,866,680,957,1054,1008,928,513,1256,1137
"PA5566",107,18,26,23,5,23,18,6,2,9,14,15
"PA5565",4231,5308,6598,3918,3231,4873,4216,4425,3499,2257,5749,4778
"PA5564",754,988,1175,668,519,843,868,564,587,328,1075,895
"PA5563",1615,2070,2694,1623,1243,1981,2173,1714,1487,1043,2076,1779
"PA5562",2036,2840,3853,2322,1683,2713,2732,2371,2155,1417,3242,2704
"PA5561",2930,2230,3051,1918,1527,2345,4010,1292,1494,770,1908,1415
"PA5560",16410,16688,22082,12961,10422,16369,16257,14973,12356,9340,19867,17493
"PA5559",8986,12981,15830,8819,7255,11727,10764,10735,8620,5634,18052,15063
"PA5558",17499,26338,37741,18325,16914,27916,30582,29654,20731,16697,40531,36746
"PA5557",23220,27634,42908,19273,18660,34260,39988,34307,23636,17798,48548,44226
"PA5556",61184,75049,100538,49171,43894,71857,64518,70216,56778,38451,108301,99028
"PA5555",25536,23944,31045,15254,13428,22206,23744,22537,17310,11924,35800,30435
"PA5554",51863,59187,76543,37729,33217,54538,46998,54962,43178,30534,83029,72881
"PA5553",4937,5493,6868,3641,2836,4627,4103,4502,3597,2124,7318,6158
"PA5552",3437,4741,6301,3491,2836,4992,4979,4865,3832,2616,6749,6132
"PA5551",585,574,801,488,382,545,613,493,486,321,689,537
"PA5550",485,561,782,398,252,515,427,437,366,265,549,390
"PA5549",2840,3314,4244,2310,1785,2846,2559,2651,2044,1491,3778,3357
"PA1949",41138,35977,48827,24168,21237,35249,44161,36401,28404,20568,44611,41724
"PA1949_2",41105,35933,48446,24402,21318,34877,44714,36329,28518,20642,44408,41510
"LSL4_gp37",26,4,7,289,200,290,0,0,0,15347,35347,29733
"PA5548",331,138,136,116,57,85,184,126,106,37,190,119
"PA5547",881,779,981,549,458,681,763,659,548,269,713,561
"PA5546",5740,6655,8652,4925,4179,7022,11161,9365,8220,4540,11628,10369
"PA5545",2303,2593,3494,1906,1512,2411,3207,2794,2533,1420,4010,3363
"PA5544",576,481,581,335,268,424,458,554,388,256,824,731
"PA5543",21,60,54,53,32,67,78,67,53,49,94,113
"PA5542",382,536,797,436,344,580,744,641,612,407,1071,925
"PA5541",108,39,41,13,18,20,24,22,10,1,27,18
"PA5540",33,15,11,21,6,6,12,22,14,3,22,9
"PA5539",26,18,11,5,8,2,13,13,3,1,18,14
"PA5538",72,70,103,76,78,78,57,52,29,18,42,67
"PA5537",57,175,151,135,85,140,109,102,91,24,170,129
"PA5536",7,9,17,8,12,10,11,12,10,13,19,14
"PA5535",118,146,195,132,107,152,181,115,122,49,162,133
"PA5534",59,83,99,62,55,78,78,52,52,11,79,82
"PA5533",525,505,542,416,270,400,400,353,271,212,388,325
"PA5532",125,383,418,256,210,347,441,357,240,137,370,372
"PA5531",1862,2467,3187,1854,1295,2097,2289,985,1111,504,1466,1028
"PA5530",380,150,289,156,86,178,209,186,144,20,71,63
"PA5529",1415,1450,1854,1102,714,1202,1270,1142,1045,608,1327,1140
"PA5528",4025,5245,6855,4643,3664,5999,6687,4301,3585,2582,6107,5547
"PA5527",1112,1245,1462,1133,938,1228,1546,998,895,548,1544,1262
"PA5526",516,961,1272,808,636,1046,846,755,647,428,896,782
