gene_id,ALE__1,ALE__2,ALE__3,COL__1,COL__2,COL__3,ctrl__1,ctrl__2,ctrl__3,NV716__1,NV716__2
PA3374,52,106,85,167,60,51,50,50,58,66,61
PA3375,4,13,7,18,13,4,2,3,0,4,7
PA3376,13,27,12,27,14,12,5,4,23,19,7
PA3377,2,13,20,11,11,12,2,8,8,8,10
PA3378,9,37,9,13,9,3,2,6,1,21,1
PA3379,1,16,1,1,7,3,2,7,4,9,4
PA3380,2,1,1,6,2,0,3,3,4,6,1
PA3381,19,36,9,8,7,5,1,7,0,30,14
PA3382,20,33,25,15,10,6,0,13,12,21,14
PA3383,19,24,14,13,0,4,10,1,3,12,10
PA3384,60,207,50,38,32,36,50,45,38,113,89
PA3385,3268,8032,5395,6062,3582,2393,2639,3473,4353,7144,5209
PA3386,111,302,205,292,168,128,123,138,111,308,199
PA3387,21,44,53,71,43,44,28,27,6,36,28
PA3388,56,81,86,111,64,46,16,23,19,17,27
PA3390,47,132,74,87,55,43,70,104,164,221,78
PA3389,30,73,41,35,35,14,8,18,16,51,38
PA3391,42,46,52,1107,760,610,6,26,43,34,22
PA3392,42,88,49,420,202,160,20,30,45,32,43
PA3393,27,44,36,227,137,118,26,19,41,32,34
PA3394,2,20,11,71,38,30,6,7,12,1,0
PA3395,3,4,4,57,30,17,3,5,0,1,2
PA3396,14,4,11,23,15,21,3,3,11,5,6
PA3397,458,1368,1037,947,504,482,104,166,152,299,184
PA3398,265,548,408,679,396,348,192,290,284,366,225
PA3399,312,673,501,689,449,298,177,142,212,336,213
PA3400,67,193,130,236,103,110,54,89,100,136,80
PA3401,56,126,95,196,132,77,19,51,64,48,29
PA3402,90,239,181,226,146,115,25,52,60,95,60
PA3403,18,67,43,58,28,27,14,21,32,51,19
PA3404,13,66,28,152,133,61,55,50,70,53,41
PA3405,10,16,7,96,42,45,34,31,43,49,23
PA3406,14,43,29,100,70,35,15,8,12,28,18
PA3407,43,73,40,1439,664,579,77,113,120,349,188
PA3408,81,214,112,200,147,126,100,103,118,133,109
PA3409,109,294,206,340,182,158,130,173,198,143,106
PA3410,88,250,165,219,121,92,282,325,347,289,156
