"gene_id","BF0285BR1_S16","BF0285BR2_S17","BF0285BR3_S18","BioFWTBR1_S10","BioFWTBR2_S11","BioFWTBR3_S12","Pla0285BR1_S7","Pla0285BR2_S8","Pla0285BR3_S9","PlankWTBR1_S1","PlankWTBR2_S2","PlankWTBR3_S3"
"PA0281",4014,2978,4100,2093,2454,2110,821,916,1089,577,539,378
"PA0282",4901,3601,4121,2437,2812,2358,524,804,910,422,390,263
"PA0283",13708,9388,9635,7420,7691,6693,1861,1980,2230,787,1030,576
"PA0284",6333,4361,4145,3707,4606,4297,730,813,1047,393,419,354
"PA0285",742,392,329,855,884,861,330,440,412,1200,1227,944
"PA0286",10506,7967,9257,5172,4916,5292,7406,8486,10076,5884,6624,5574
"PA0287",161,83,78,65,80,99,52,79,66,82,78,88
"PA0288",139,86,55,65,72,67,93,91,77,104,86,82
"PA0289",920,516,619,510,550,508,459,506,388,570,466,561
"PA0290",1780,1152,1044,1255,1267,1321,623,689,495,690,582,703
"PA0291",36906,14764,15183,13549,13705,12136,16165,18282,16805,18137,16900,17735
"PA0292",2252,1078,1289,1038,923,890,1793,1984,1483,1720,1646,1613
"PA0293",373,189,232,227,224,188,246,280,261,248,235,230
"PA0294",647,353,287,409,437,363,399,395,307,383,306,251
"PA0295",3235,1742,1431,2369,3127,2274,1103,1418,1635,1112,1309,909
"PA0296",9669,6800,8768,6349,6555,6642,7934,9603,8148,8556,7492,8799
"PA0297",3895,2763,3504,2972,2805,2946,2713,3378,2731,3610,2709,4352
"PA0298",4089,2757,3460,2865,2486,2912,4186,5701,4977,4790,4692,5899
"PA0299",8961,5115,6171,5860,5204,5710,8669,10440,9691,10485,9635,12729
"PA0300",20530,10724,12693,12943,10261,10545,18284,21305,18293,23164,20340,27787
"PA0301",5092,2518,3176,3010,2744,2849,4342,5578,5264,5209,4749,5841
"PA0302",4844,2381,2595,2827,2613,2698,3158,3861,3494,3294,3129,3519
"PA0303",4061,2288,2561,2641,2515,2615,2618,3037,3084,2739,2750,2823
"PA0304",4887,2718,2951,2936,2770,3166,2557,3014,2789,2827,2528,3055
"PA0305",1200,592,700,610,599,549,1039,1213,915,1237,1094,997
"PA0306",2472,1472,1415,1352,1710,1427,4176,4647,5363,4627,4689,4964
"PA0307",976,634,446,526,618,624,590,649,646,534,517,439
"PA0308",999,515,459,454,460,432,664,760,476,622,581,465
"PA0309",1285,710,970,679,793,657,775,1029,936,802,738,664
"PA0310",652,580,821,367,427,437,561,604,628,638,588,550
"PA0311",135,95,109,46,47,56,128,158,124,196,166,113
"PA0312",1824,953,862,904,1032,958,1336,1196,667,1346,942,1326
"PA0313",1624,881,974,934,1072,950,1271,1419,1118,1543,1278,1607
"PA0314",1846,1120,1377,1096,1059,893,1925,2443,2158,2401,2367,2797
"PA0315",4862,2761,2887,2793,2683,2972,4319,4564,4536,6131,4892,6861
"PA0316",28089,17439,15607,18986,22395,11640,18449,22337,27848,11951,14789,9033
"PA0317",5303,3356,3278,2756,2859,3170,3819,4269,5133,3591,3906,3195
"PA0318",3122,1614,1895,1383,1373,1364,2240,2577,2226,2721,2298,2384
"PA0319",2199,1196,1048,1169,1232,1174,1214,1183,1365,961,1040,778
"PA0320",384,215,226,256,281,253,176,254,339,197,216,196
"PA0321",423,193,211,232,224,216,210,273,152,259,170,289
"PA0322",449,231,238,216,270,253,231,333,213,310,222,324
"PA0323",487,232,319,246,211,206,496,502,343,455,381,726
"PA0324",379,188,251,207,211,201,245,256,179,269,190,327
"PA0325",507,300,394,324,310,383,348,406,310,415,309,462
"PA0326",284,132,174,124,119,118,310,311,248,280,244,281
"PA0327",894,502,568,506,687,625,624,657,490,757,641,937
"PA0328",2230,1073,955,1271,1607,1156,808,1023,763,995,907,1105
"PA0329",5969,2927,3593,3740,3885,3570,5008,7071,5547,6856,5884,8662
"PA0330",2497,1489,1294,1413,1446,1264,1774,2052,1984,1649,1870,1386
"PA0331",3268,2025,1474,1729,1664,1575,1992,2512,2222,1780,1930,1449
"PA0332",1375,637,687,612,590,578,1449,1397,668,1551,1060,1598
"PA0333",922,411,433,458,471,468,1326,1228,683,1302,1021,1401
"PA0334",747,444,332,366,359,358,955,1004,647,930,824,994
"PA0335",1065,674,605,528,567,539,853,1150,1047,834,1072,781
