"gene_id","BF0285BR1_S16","BF0285BR2_S17","BF0285BR3_S18","BioFWTBR1_S10","BioFWTBR2_S11","BioFWTBR3_S12","Pla0285BR1_S7","Pla0285BR2_S8","Pla0285BR3_S9","PlankWTBR1_S1","PlankWTBR2_S2","PlankWTBR3_S3"
"PA1121",1226,816,621,714,715,679,613,697,442,657,558,684
"PA1122",2651,1424,1465,1432,1519,1484,1635,1425,1109,1558,1212,1790
"PA1123",1934,1049,888,1132,1493,1224,1079,1280,1578,816,946,826
"PA1124",2375,1550,1701,1386,1514,1537,2380,2433,2349,2448,2184,2496
"PA1125",835,440,428,392,376,389,788,789,490,777,725,790
"PA1126",1292,632,576,586,679,699,922,986,861,792,815,746
"PA1127",3389,1788,1546,1445,1161,1047,3265,3625,3299,2982,2751,3016
"PA1128",699,406,432,421,484,506,233,247,266,235,239,242
"PA1129",774,331,294,405,355,369,288,286,175,344,232,301
"PA1130",3451,1479,1336,1645,1380,1439,1998,1769,926,1879,1509,1829
"PA1131",3059,1643,1248,1477,1623,1643,1159,1091,751,1075,922,1093
"PA1132",839,512,501,331,334,368,565,697,835,583,562,549
"PA1133",338,162,164,182,180,147,220,241,197,249,200,221
"PA1134",1043,472,367,527,561,672,140,156,85,114,105,104
"PA1135",2087,842,941,1163,1260,1120,969,975,743,1187,936,1576
"PA1136",508,321,387,279,291,294,358,423,339,403,372,455
"PA1137",278,121,150,119,134,119,195,177,126,186,155,200
"PA1138",164,80,84,69,80,77,93,92,59,105,79,85
"PA1139",371,176,256,162,179,156,290,285,140,282,208,217
"PA1140",944,496,538,518,512,496,773,993,828,995,976,1137
"PA1141",391,170,161,163,211,206,133,164,133,151,153,131
"PA1142",732,406,334,366,366,376,371,426,373,342,351,285
"PA1143",61,22,24,28,33,27,32,37,20,44,20,24
"PA1144",166,88,116,87,92,89,70,99,49,94,83,106
"PA1145",536,399,325,338,363,390,380,375,392,350,337,278
"PA1146",231,104,84,82,79,83,140,141,71,151,112,96
"PA1147",478,243,191,208,285,297,164,183,115,173,169,161
"PA1148",649,408,265,409,363,372,224,207,172,210,213,196
"PA1149",107,56,46,50,47,29,69,89,48,62,76,96
"PA1150",8976,4508,4856,4424,5372,5929,5342,5033,5386,6366,4455,7708
"PA1151",9793,4835,5096,4490,5591,5923,6605,5794,6404,8229,5530,9916
"PA1152",453,214,262,226,262,251,187,176,188,116,123,171
"PA1153",197,89,93,93,106,97,76,87,62,78,69,65
"PA1154",349,220,202,202,198,226,139,148,160,182,150,187
"PA1155",20951,8983,9257,8922,8884,8234,9120,9512,8836,9442,8783,7545
"PA1156",22716,10508,11524,10766,9628,9228,14636,15080,14134,14752,14723,12592
"PA1157",859,445,355,436,419,428,408,384,314,276,287,232
"PA1158",1120,545,496,504,547,524,439,540,455,471,467,431
"PA1159",22592,16163,9528,14687,14634,17827,4367,4736,6752,3487,3357,4026
"PA1160",1553,850,666,793,833,747,603,662,549,542,439,419
"PA1161",953,419,359,378,340,347,471,577,411,397,503,278
"PA1162",2084,888,752,895,801,723,1006,1312,914,924,1042,633
"PA1163",1066,616,612,642,673,597,775,850,524,1022,819,1107
"PA1164",1209,674,522,588,651,582,573,584,406,539,470,448
"PA1165",192,91,82,71,103,110,122,108,74,96,89,91
"PA1166",953,418,397,595,698,478,365,405,240,400,343,378
"PA1167",700,459,426,443,450,472,433,467,413,550,419,721
"PA1168",553,461,404,473,357,445,342,516,498,185,203,205
"PA1169",881,512,489,526,431,468,575,737,477,453,388,390
"PA1170",375,292,388,229,213,199,445,555,502,443,462,351
"PA1171",2684,1374,1367,1309,1356,1054,1601,1964,1532,1772,1602,1844
"PA1172",2032,1278,1738,1296,1557,1273,1474,1745,1648,1986,1681,3076
"PA1173",1009,632,918,729,899,670,883,990,879,1011,929,1656
"PA1174",9849,5089,6529,6235,6733,5328,7172,8277,6105,9412,8299,13296
"PA1175",1584,844,1116,1148,1156,988,1742,2064,1433,2350,2072,3291
"PA1176",1992,904,1102,1306,1229,1126,2197,1616,933,2165,1605,2726
"PA1177",2347,1259,1485,1743,1772,1774,2976,1779,1222,2336,1925,3474
"PA1178",30830,12671,19591,15818,14021,15061,7271,9044,10296,10308,9645,10387
"PA1179",6044,2922,4421,3314,2846,2977,2852,3197,3200,3345,3141,2962
"PA1180",2980,1527,1983,1394,1305,1304,1638,1662,1237,1477,1298,1287
"PA1181",2500,1661,1822,1656,1694,1686,2016,2281,1494,2839,2083,3511
"PA1182",691,372,344,350,376,340,405,449,294,553,433,741
"PA1183",285,222,190,157,182,196,8879,8255,8565,15977,15963,17158
"PA1184",404,238,215,218,220,213,197,202,149,224,195,185
"PA1185",179,85,114,98,97,116,59,66,63,82,58,91
"PA1186",184,87,82,95,86,88,65,63,41,76,46,61
"PA1187",505,316,426,282,273,297,233,256,240,310,289,290
"PA1188",993,494,504,386,395,358,626,680,449,667,516,570
"PA1189",537,392,287,317,265,287,291,372,294,321,301,312
"PA1190",13498,5947,7906,10932,8588,13979,910,1527,730,1610,1274,4317
"PA1191",698,514,542,457,509,476,606,682,582,771,628,981
"PA1192",3920,2291,1710,2361,2344,2568,1354,1599,1892,1030,1321,934
"PA1193",1548,921,789,822,928,928,738,954,998,604,791,504
"PA1194",442,269,220,235,280,242,280,287,274,289,310,242
"PA1195",370,181,202,255,296,214,149,176,136,222,218,225
"PA1196",1974,687,1147,643,630,602,1071,915,496,1564,986,1036
"PA1197",1854,903,1198,795,733,751,1244,1177,856,1680,1545,1451
"PA1198",17476,11053,8660,10792,11741,11959,3721,4918,4945,3372,3049,3084
"PA1199",5355,2951,3045,2579,3031,2862,3392,4449,3887,3786,3613,3421
"PA1200",1771,813,1054,710,632,633,1261,1568,974,1532,1214,1435
"PA1201",1276,580,702,572,594,598,648,703,498,785,552,767
"PA1202",4099,2007,1958,2338,2421,2158,3137,3755,2973,4440,3777,5084
"PA1203",626,323,408,327,333,298,773,912,736,849,737,836
"PA1204",1133,595,758,708,666,566,1406,1555,1137,1502,1278,1700
"PA1205",1598,764,908,811,709,635,1690,1941,1079,1906,1443,1794
"PA1206",678,462,396,470,481,490,479,569,479,463,480,521
"PA1207",1546,881,836,806,810,877,1066,1314,889,1039,1176,1026
"PA1208",1103,574,678,673,777,728,629,784,565,931,779,1249
"PA1209",391,196,243,224,197,207,291,322,201,354,272,368
"PA1210",324,174,206,162,201,173,114,171,100,158,126,150
"PA1211",202,120,127,96,110,76,85,80,35,117,94,100
"PA1212",678,488,531,463,507,390,211,233,131,399,292,372
"PA1213",546,300,313,295,247,210,144,128,44,204,137,206
"PA1214",712,385,442,393,396,275,186,160,55,254,211,219
"PA1215",875,555,625,520,524,369,324,269,105,390,350,384
"PA1216",2376,1285,1370,1200,1315,940,770,707,433,1112,959,1187
"PA1217",3392,1782,1874,1786,1852,1388,768,718,367,1177,889,1128
"PA1218",2103,1120,1138,1056,1212,923,327,333,176,471,385,438
"PA1219",344,208,200,208,243,180,55,51,28,66,60,75
"PA1220",684,357,282,367,408,283,90,81,35,78,74,65
"PA1221",1336,625,563,833,1063,797,231,237,138,264,182,341
"PA1222",1453,867,678,723,808,818,670,685,609,538,527,512
"PA1223",518,244,267,202,246,226,246,206,150,303,218,280
"PA1224",366,157,133,152,152,152,136,114,71,140,88,99
"PA1225",196,82,75,72,71,75,71,72,49,91,67,57
"PA1226",329,162,197,147,119,116,364,285,146,268,206,209
"PA1227",339,182,202,153,144,137,289,252,139,273,222,226
"PA1228",99,45,48,45,44,43,46,48,23,36,40,34
"PA1229",264,106,150,106,123,100,84,76,75,99,81,88
"PA1230",30,16,18,18,20,19,13,14,13,15,10,7
"PA1231",48,17,9,13,19,26,27,29,15,20,11,11
"PA1232",301,136,131,133,131,151,117,161,88,122,111,96
"PA1233",294,128,130,116,119,92,189,216,97,123,135,107
"PA1234",640,359,303,268,269,271,366,421,276,295,313,252
"PA1235",397,202,164,189,192,173,234,263,132,282,186,174
"PA1236",225,138,140,156,161,162,152,117,91,147,105,161
"PA1237",86,41,42,44,39,33,45,22,15,33,28,48
"PA1238",70,32,38,44,34,36,28,32,6,33,18,29
"PA1239",190,56,92,77,115,88,65,67,27,59,67,64
"PA1240",342,142,202,112,129,123,69,79,47,58,53,58
"PA1241",615,449,453,365,434,401,285,333,427,293,376,254
"PA1242",482,311,328,296,358,304,417,457,278,338,303,340
"PA1243",2119,1068,1240,1173,1513,1104,1180,1451,989,961,985,1060
"PA1244",16513,7236,7251,8014,10009,9049,4281,5229,5195,6963,6255,8473
"PA1245",7068,2922,2347,3779,3860,5477,1415,1073,724,1141,821,1034
"PA1246",1718,725,632,814,823,1107,521,389,248,358,315,310
"PA1247",1711,782,796,831,859,1149,371,395,257,398,271,377
"PA1248",2108,1130,1110,1021,1061,1545,417,469,324,555,385,597
"PA1249",20937,7501,6738,9670,10178,14180,2845,2860,1955,3766,2876,4092
"PA1250",1787,793,663,820,834,981,799,747,494,561,563,444
"PA1251",908,385,291,321,330,369,340,380,145,304,211,229
"PA1252",573,253,252,248,276,314,337,311,205,325,253,305
"PA1253",385,165,195,178,119,128,138,131,48,125,93,114
"PA1254",515,184,429,262,114,125,116,120,97,103,96,131
"PA1255",495,201,355,254,171,148,184,301,125,191,167,271
"PA1256",624,262,458,420,267,276,255,342,201,220,201,359
"PA1257",359,160,282,248,151,171,161,203,122,125,94,185
"PA1258",205,86,205,118,93,92,87,126,63,73,56,111
"PA1259",486,210,665,234,157,140,238,269,87,199,164,212
"PA1260",1191,502,4328,616,328,344,635,842,366,458,387,708
"PA1261",355,210,288,174,134,139,153,171,92,162,132,111
"PA1262",74,54,52,43,54,36,32,45,22,30,37,27
"PA1263",885,503,760,475,560,489,201,223,167,172,140,145
"PA1264",295,134,165,106,97,103,109,84,58,101,81,60
"PA1265",58,28,26,35,33,27,19,27,13,23,18,26
"PA1266",45,12,7,16,20,13,18,17,10,20,17,14
"PA1267",19,14,7,14,6,15,28,24,6,22,17,13
"PA1268",38,24,22,20,17,29,39,41,19,28,34,22
"PA1269",620,480,633,396,337,373,499,532,538,500,512,483
"PA1270",149,68,79,66,64,83,94,75,66,74,78,72
"PA1271",3181,1486,1170,1394,1469,1316,1415,1916,1481,1252,1310,966
"PA1272",1857,862,846,780,844,764,1089,1170,925,867,870,809
"PA1273",1231,514,478,474,466,396,633,700,499,598,508,403
"PA1274",582,260,208,208,171,175,280,297,137,239,198,144
"PA1275",441,174,127,133,151,108,217,212,126,147,152,87
"PA1276",568,247,183,161,150,152,295,304,154,264,217,172
"PA1277",1002,496,390,356,356,333,491,557,326,480,443,352
"PA1278",437,208,190,133,135,145,353,312,147,298,239,204
"PA1279",555,231,192,165,124,128,400,342,153,370,303,231
"PA1280",349,179,144,151,91,121,196,208,94,233,177,156
"PA1281",364,157,141,139,100,107,194,211,109,230,157,166
"PA1282",178,55,79,79,74,73,112,91,57,118,82,85
"PA1283",891,527,487,494,517,532,552,535,325,587,421,589
"PA1284",763,381,353,383,396,449,362,419,347,560,506,465
"PA1285",738,305,284,291,356,299,145,172,115,197,135,180
"PA1286",158,85,57,79,80,80,40,60,23,42,49,38
"PA1287",1883,1071,1019,979,935,1071,2052,1855,1517,2213,1667,2301
"PA1288",13360,6525,7000,6539,6394,6258,4457,6894,6031,5595,5422,5882
"PA1289",869,406,479,432,550,425,452,516,312,577,504,805
"PA1290",1046,499,633,617,716,602,204,183,163,252,215,241
"PA1291",647,309,270,290,333,370,256,280,196,266,223,191
"PA1292",3720,1660,2043,1532,1487,1353,1875,2733,2094,2440,2346,2128
"PA1293",3508,1640,1339,1745,1744,1659,1399,2070,2127,1393,1562,1166
"PA1294",1921,1024,1015,1075,1095,1138,1146,1029,925,747,780,756
"PA1295",510,320,327,343,289,308,296,347,384,250,299,223
"PA1296",1680,946,1276,734,776,826,1203,1398,1204,1258,1159,1246
"PA1297",409,190,231,162,195,165,260,291,170,361,291,284
"PA1298",147,86,98,97,88,120,85,75,78,95,78,87
"PA1299",858,450,431,450,432,568,336,299,379,316,247,300
"PA1300",2130,973,1877,1004,798,1303,1419,804,764,1179,825,1025
"PA1301",2336,887,1214,1022,813,1248,2020,1309,759,1762,1209,1338
"PA1302",1476,807,807,745,707,958,1339,1157,998,1353,1315,1299
"PA1303",555,293,306,246,255,305,370,413,299,448,342,383
"PA1304",2086,993,985,985,989,937,1336,1442,1295,1150,1401,931
"PA1305",1719,1354,1204,1094,1046,1066,1014,1126,1260,804,1002,749
"PA1306",1177,828,922,626,616,623,1032,1083,805,946,874,917
"PA1307",3164,1996,2270,1980,2005,2023,2483,2446,2080,2554,2221,2661
"PA1308",2762,1735,1770,1615,1839,1880,1781,1776,1611,1933,1615,2017
"PA1309",1262,693,672,580,633,558,847,892,769,968,900,989
"PA1310",249,143,111,140,155,124,75,116,71,94,106,123
"PA1311",421,252,213,256,275,279,119,159,107,163,166,202
"PA1312",409,231,244,203,219,207,243,281,228,247,239,269
"PA1313",193,101,102,106,140,127,59,105,94,104,88,101
"PA1314",317,178,157,145,170,171,108,155,96,143,125,146
"PA1315",548,373,284,286,273,301,209,278,254,201,218,198
"PA1316",623,365,423,282,357,328,566,520,457,612,478,594
"PA1317",698,390,416,342,489,417,583,469,452,706,709,508
"PA1318",1431,782,941,776,915,867,1309,1032,905,1642,1439,1439
"PA1319",349,160,193,174,189,210,385,273,313,467,445,489
"PA1320",287,119,130,125,162,172,262,174,173,300,276,317
"PA1321",405,167,194,169,191,221,374,269,177,498,359,414
"PA1322",461,248,284,264,262,275,229,259,202,279,221,330
"PA1323",2643,1444,1755,2162,3103,2436,4120,4541,2450,2816,2365,4016
"PA1324",2741,1447,2016,2426,3085,2584,4623,5839,3318,3611,3187,5500
"PA1325",727,484,432,291,252,313,469,521,454,369,386,322
"PA1326",1019,397,465,431,270,257,814,934,705,634,706,479
"PA1327",3423,1663,1769,2199,2341,1820,2836,2919,1528,3693,2692,4856
"PA1328",596,282,311,257,311,220,382,449,208,531,355,533
"PA1329",19,9,11,6,8,13,20,10,6,20,8,14
"PA1330",379,188,175,215,220,227,219,223,177,261,233,234
"PA1331",378,288,284,225,211,216,446,354,267,350,375,297
"PA1332",650,433,371,385,340,310,628,614,339,676,512,570
"PA1333",878,474,465,580,613,478,805,945,871,1036,925,1276
"PA1334",295,162,121,146,144,159,137,139,67,176,104,166
"PA1335",904,598,595,633,619,600,1216,1498,1072,1845,1631,1624
"PA1336",1317,791,707,1162,966,1004,2092,2266,1759,2465,2520,2425
"PA1337",9028,4038,3906,4077,3473,3062,17751,22231,14204,25039,21206,26598
"PA1338",2721,1461,1622,1605,1274,1204,7816,10450,7335,12420,11515,14949
"PA1339",3233,1754,2028,1928,1764,1765,9477,9859,9462,11054,10875,13032
"PA1340",2452,1401,1682,1622,1427,1401,7682,8942,8658,9613,9309,10717
"PA1341",1748,959,1164,1119,941,842,6658,6792,5785,6806,6636,7091
"PA1342",13525,7347,9495,8494,7572,7069,31656,39827,37213,43489,42912,53619
"PA1343",907,398,717,407,378,404,152,186,237,226,205,163
"PA1344",1617,711,844,897,889,753,815,804,496,838,670,861
"PA1345",437,209,224,242,294,287,189,256,160,258,220,221
"PA1346",78,40,37,51,34,38,41,50,33,49,35,32
"PA1347",183,133,128,128,123,159,91,100,80,93,62,113
"PA1348",855,397,435,540,672,647,353,315,256,379,257,490
"PA1349",414,197,174,278,335,267,164,157,94,176,142,264
"PA1350",498,219,239,281,317,263,249,274,187,277,267,318
"PA1351",229,69,87,96,89,78,146,142,39,170,107,118
"PA1352",28,11,14,20,11,18,23,26,6,21,18,10
"PA1353",687,339,296,408,451,363,437,463,488,429,472,519
"PA1354",631,314,334,421,433,374,389,405,392,368,381,397
"PA1355",108,49,46,46,49,60,67,57,26,70,63,68
"PA1356",509,225,215,249,268,204,347,387,150,435,291,474
"PA1357",1126,498,377,480,520,459,727,879,454,787,654,755
"PA1358",1459,744,628,772,865,818,925,1180,842,1198,1040,1303
"PA1359",479,251,193,226,278,253,217,278,215,235,245,196
"PA1360",312,153,133,126,124,121,234,219,128,161,174,140
"PA1361",884,495,354,416,457,464,587,524,506,426,470,324
"PA1362",269,150,183,186,206,199,122,135,145,198,160,211
"PA1363",533,287,323,298,259,305,717,766,715,579,642,476
"PA1364",394,166,147,147,127,155,801,661,468,591,606,382
"PA1365",1021,534,573,537,587,509,1651,1618,1410,1652,1547,1458
"PA1366",4003,2635,3532,2405,2925,3053,3307,3664,3102,5096,3347,6452
"PA1367",412,220,199,154,166,185,175,203,170,170,136,135
"PA1368",964,662,648,522,643,717,514,578,557,568,489,714
"PA1369",2375,1376,1156,1432,1608,1530,1244,1221,1335,836,732,1041
"PA1370",3960,2295,2348,2307,2775,2621,2433,2506,2338,1840,1621,2170
"PA1371",3830,2297,2688,2154,2334,2296,3111,2702,2593,2582,2027,3005
"PA1372",11636,6865,9074,6634,6604,6218,13249,13047,12091,12403,10763,13665
"PA1373",482,229,255,175,196,233,306,342,194,374,254,297
"PA1374",285,177,161,149,149,153,135,182,114,131,120,141
"PA1375",960,502,526,416,453,450,816,784,611,716,673,658
"PA1376",2864,1760,2273,1664,1765,1768,2372,2913,2452,2725,2451,2975
"PA1377",642,356,285,303,310,309,485,523,330,430,334,385
"PA1378",668,436,368,353,434,441,410,472,390,393,349,449
"PA1379",245,133,142,118,141,141,105,130,92,110,98,111
"PA1380",494,290,400,261,252,296,205,214,137,244,185,235
"PA1381",92,78,73,72,87,76,41,48,55,36,42,49
"PA1382",2965,1994,2163,1858,2061,2119,1203,1521,1153,1747,1346,1960
"PA1383",2946,1651,1734,1812,2106,2120,1147,1412,1132,1503,1136,1921
"PA1384",433,213,253,208,269,277,118,176,194,166,139,183
"PA1385",477,328,436,308,359,368,243,254,217,277,214,321
"PA1386",673,433,519,408,557,505,266,294,247,276,234,382
"PA1387",1402,877,918,845,982,994,655,800,596,902,725,1068
"PA1388",352,191,231,197,190,251,171,168,154,194,153,241
"PA1389",753,481,509,531,497,573,429,469,406,503,402,559
"PA1390",653,471,371,362,446,525,324,305,275,356,227,397
"PA1391",499,279,265,304,292,337,229,251,231,279,196,257
"PA1392",1017,647,749,589,677,739,558,622,424,699,492,837
"PA1393",659,360,423,391,415,410,276,325,279,346,253,354
"PA1394",196,83,76,111,101,108,56,70,49,80,60,42
"PA1395",355,199,147,182,225,231,178,177,139,169,147,164
"PA1396",980,586,463,523,572,555,511,719,571,420,464,403
"PA1397",812,471,315,481,548,496,303,369,336,235,292,216
"PA1398",737,427,340,435,484,501,452,458,517,392,355,326
"PA1399",318,147,107,136,128,142,272,225,115,226,176,152
"PA1400",413,194,233,216,237,205,268,254,159,272,225,248
"PA1401",389,218,312,227,246,190,311,393,273,381,359,389
"PA1402",552,229,240,256,306,292,232,276,167,303,237,391
"PA1403",330,142,151,191,201,199,122,109,65,131,97,119
"PA1404",474,388,319,575,893,717,300,382,299,348,299,560
"PA1405",472,236,265,226,243,233,373,351,201,442,315,350
"PA1406",301,201,207,146,152,135,239,319,157,334,278,333
"PA1407",280,193,174,148,172,165,240,287,229,248,250,256
"PA1408",1266,638,796,693,800,673,1053,1048,624,1113,889,1147
"PA1409",255,124,139,130,129,148,99,87,73,101,80,83
"PA1410",331,172,174,163,211,240,105,127,128,137,110,139
"PA1411",419,261,231,238,237,232,217,250,195,205,175,198
"PA1412",83,37,36,27,37,32,50,51,24,56,28,31
"PA1413",471,226,296,175,189,183,326,330,158,325,240,317
"PA1414",82574,36146,34891,51329,77145,73385,12442,11776,12796,22461,14843,24376
"PA1415",6849,3774,4235,4453,4779,4245,1611,1800,1134,2646,1788,2576
"PA1416",542,385,523,321,355,344,257,205,152,280,177,257
"PA1417",241,120,164,116,146,128,103,92,56,118,101,106
"PA1418",346,170,191,183,214,230,124,162,116,191,140,193
"PA1419",257,160,158,188,154,178,121,101,69,106,108,126
"PA1420",214,133,114,159,161,166,72,95,57,111,81,138
"PA1421",578,303,297,349,389,410,160,210,143,202,194,216
"PA1422",1015,461,509,522,549,535,419,476,444,390,451,433
"PA1423",2673,1208,2024,1426,1501,1316,633,709,529,732,685,959
"PA1424",557,340,305,239,266,282,268,302,217,353,317,283
"PA1425",467,264,318,253,253,261,188,210,200,206,181,166
"PA1426",309,190,213,143,160,136,181,238,171,238,193,190
"PA1427",387,254,275,198,208,193,200,318,338,260,241,212
"PA1428",225,145,173,120,103,105,377,364,271,378,354,329
"PA1429",10257,3661,6327,3475,3203,3313,7124,5439,4062,7863,5540,5638
"PA1430",17516,11461,12679,10900,11602,13595,11030,12319,12046,15076,10769,17212
"PA1431",8403,5313,5005,4822,5815,6807,5843,6104,6919,7484,5530,8157
"PA1432",53833,27521,25961,27234,26616,31117,17384,17242,20001,17594,17014,19960
"PA1433",5765,3133,2891,3098,2962,3087,1851,2142,1732,2239,1881,1952
"PA1434",424,205,201,183,231,207,204,206,158,244,190,185
"PA1435",185,86,68,99,108,103,104,89,68,163,134,107
"PA1436",837,428,371,454,515,512,360,350,247,470,369,504
"PA1437",571,349,431,355,351,365,315,318,281,373,299,367
"PA1438",734,481,495,427,426,445,563,541,430,600,438,536
"PA1439",1631,1190,1269,1015,1111,1041,1282,1748,1690,1667,1613,1582
"PA1440",7175,5111,5209,4374,4588,4472,5600,6780,7146,5523,5925,4976
"PA1441",3168,1861,1663,1592,1506,1442,2870,3145,1963,3481,2932,3703
"PA1442",2376,1503,1877,1427,1635,1620,1268,1340,1127,1164,1028,1282
"PA1443",5197,3070,3841,3037,3405,3291,2727,3227,3055,3016,2794,3157
"PA1444",2506,1281,1442,1235,1261,1147,1747,1688,1198,1764,1468,1725
"PA1445",1261,583,634,574,556,482,686,689,388,733,547,679
"PA1446",2073,1324,1391,1160,1338,1270,1026,1318,1313,1176,1174,1285
"PA1447",1288,791,782,703,796,832,708,825,834,841,813,1100
"PA1448",1052,634,631,506,565,603,534,558,375,585,462,721
"PA1449",739,502,455,393,401,437,396,446,342,436,373,497
"PA1450",917,622,424,494,548,539,584,568,433,457,374,508
"PA1451",757,473,336,440,465,445,569,482,344,449,328,428
"PA1452",3670,2423,3623,1987,2287,2112,2084,2624,2219,2401,2269,2828
"PA1453",6032,3113,3775,2524,2680,2312,3042,3224,2080,3378,2831,3578
"PA1454",10001,5662,7437,5626,6146,5598,5116,5980,5341,6360,5415,6444
"PA1455",8842,5173,7396,4760,4747,4704,4053,4760,3794,5827,4537,5786
"PA1456",5369,3248,4575,2782,3028,3027,4119,4368,3932,4718,3535,4616
"PA1457",10463,6467,8390,5562,5925,6174,7515,7948,6817,8810,7063,9224
"PA1458",15432,8734,12416,7665,7442,7954,10548,10683,8256,11515,9284,12505
"PA1459",7016,3649,4847,3249,3286,3162,5595,5508,4049,5841,5087,6129
"PA1460",3483,2210,2609,1668,1782,1877,2683,2666,2134,2727,2374,2934
"PA1461",2701,1846,2073,1490,1502,1480,1952,2234,1837,2311,1977,2511
"PA1462",4205,2676,3218,2183,2517,2370,2715,3088,2566,3206,2886,3439
"PA1463",5296,2958,4724,2763,3024,2708,3591,3954,2918,4441,3676,4627
"PA1464",6345,4130,5911,3658,3828,3929,6784,6699,5730,7222,6437,9199
"PA1465",1947,1109,1483,896,972,975,1708,1727,1040,2045,1543,2499
"PA1466",471,299,322,277,291,237,332,395,296,351,341,279
"PA1467",518,321,348,233,279,257,190,251,176,222,210,212
"PA1468",287,181,169,182,203,231,94,128,117,139,147,113
"PA1469",581,389,342,341,294,313,321,406,247,320,303,266
"PA1470",670,304,282,324,316,267,410,470,219,521,400,480
"PA1471",883,535,1157,607,771,736,739,860,886,781,601,828
"PA1472",466,312,371,325,315,310,322,404,448,431,416,497
"PA1473",628,396,548,346,308,289,569,630,407,793,627,807
"PA1474",4267,2325,3869,2097,2319,2174,2961,3250,2155,4165,3236,4230
"PA1475",1547,745,531,799,866,721,556,524,503,297,374,265
"PA1476",1662,943,722,821,803,825,614,740,603,509,566,443
"PA1477",2770,1744,1558,1627,1738,1730,1341,1741,1805,1226,1281,1038
"PA1478",938,604,612,538,650,603,567,765,951,566,577,474
"PA1479",1964,1205,1213,1049,1258,1119,1427,1708,1967,1252,1368,1081
"PA1480",4865,2648,3014,2206,2292,2193,4371,4650,4016,3927,3792,3156
"PA1481",1601,905,1050,805,770,648,1380,1652,1182,1350,1242,1041
"PA1482",1589,859,1025,870,783,699,1257,1600,1344,1332,1320,1132
"PA1483",1826,1096,962,884,843,805,1460,1515,1250,1340,1170,1049
"PA1484",1103,706,794,561,642,647,504,702,520,699,548,700
"PA1485",186,108,104,144,145,117,144,167,95,139,146,190
"PA1486",205,99,84,114,101,70,171,158,74,142,119,146
"PA1487",317,152,140,144,175,150,149,185,95,167,121,177
"PA1488",237,116,100,106,91,85,136,154,68,119,109,122
"PA1489",317,164,154,171,169,145,159,195,132,171,159,197
"PA1490",278,132,152,167,211,201,74,112,120,119,115,117
"PA1491",830,507,614,537,637,595,329,462,365,443,339,464
"PA1492",308,233,213,196,179,194,92,157,120,107,141,100
"PA1493",14053,8318,7419,7357,7558,6538,4506,5821,6334,4106,4515,3867
"PA1494",1733,877,1375,864,675,731,782,843,652,699,708,662
"PA1495",289,133,155,185,135,128,195,205,98,192,195,241
"PA1496",645,410,459,461,502,430,322,393,379,409,368,476
"PA1497",107,32,35,46,42,35,40,44,12,35,21,24
"PA1498",233,105,85,92,120,97,77,109,72,94,71,85
"PA1499",108,44,42,40,70,45,48,55,29,66,41,66
"PA1500",282,131,127,119,126,147,100,148,94,183,123,178
"PA1501",1124,522,575,543,585,614,356,394,319,515,332,562
"PA1502",658,236,248,265,276,318,136,185,129,198,164,249
"PA1503",172,81,70,76,74,73,81,68,55,91,77,96
"PA1504",1342,784,509,886,863,853,629,814,1025,486,616,424
"PA1505",1988,1352,1510,1131,1159,1149,2790,3454,2773,3666,3300,3237
"PA1506",292,161,97,201,198,199,187,149,111,195,155,164
"PA1507",939,494,425,615,754,695,578,693,540,754,601,927
"PA1508",1238,834,830,901,965,856,525,515,444,589,475,693
"PA1509",5945,4423,4336,4093,3918,3821,2373,2206,1889,2346,1843,2590
"PA1510",4913,3653,3071,3670,3643,3224,1375,1424,1264,1375,1139,1442
"PA1511",5097,4044,3090,4951,4912,4597,1387,1654,1513,1470,1449,1694
"PA1512",6738,4978,4153,5230,4016,3487,769,1086,859,771,829,943
"PA1513",1568,881,1050,885,1012,1045,1014,1070,911,1113,913,1312
"PA1514",753,424,571,469,471,480,476,508,493,563,453,602
"PA1515",1054,519,674,495,500,597,459,577,415,676,469,702
"PA1516",676,266,400,264,282,293,345,469,360,564,428,542
"PA1517",1391,589,867,588,619,607,492,661,561,743,617,678
"PA1518",604,272,424,272,287,315,345,436,540,388,406,453
"PA1519",279,137,185,141,181,180,175,225,139,201,185,214
"PA1520",3296,1811,1956,1540,1459,1622,1633,2188,2045,1802,1754,1679
"PA1521",878,513,574,495,402,399,1014,1144,966,955,838,989
"PA1522",931,558,524,579,606,590,774,796,473,932,622,897
"PA1523",1774,1043,1413,1270,1230,1298,2070,2243,1609,2696,2161,3582
"PA1524",769,404,783,458,475,509,842,852,589,1212,920,1323
"PA1525",934,547,763,554,616,612,750,864,743,999,730,1273
"PA1526",2036,1593,2084,1302,1441,1512,1846,1987,2157,2074,2026,2576
"PA1527",6619,4906,5569,3574,3492,3763,7279,6951,5546,7527,6057,8192
"PA1528",9680,5816,6086,4838,5185,4983,5391,5405,4977,4850,4627,5117
"PA1529",3194,1837,1891,1796,1789,1620,2946,3096,2383,3116,2721,3077
"PA1530",1213,644,757,604,591,681,1168,1069,923,1071,858,1182
"PA1531",783,473,586,459,515,479,438,501,473,513,431,575
"PA1532",5666,3343,3527,3013,3119,3077,3084,3591,2931,2846,2859,2229
"PA1533",4379,2706,3017,2880,3164,3139,2805,3033,3652,2517,2472,2380
