gene_id,E131sig1,E131sig2,E131sig3,E131rhlR1,E131rhlR2,E131rhlR3
fig|287.13133.peg.1,12385,10882,7812,12903,10430,12454
fig|287.13133.peg.2,7750,7747,5547,8651,6988,8279
fig|287.13133.peg.3,6692,4589,4331,5640,4804,5668
fig|287.13133.peg.4,9706,8335,7109,9859,8020,10093
fig|287.13133.peg.5,3099,2417,2161,2917,2317,2959
fig|287.13133.peg.6,1459,1237,1031,1586,1233,1425
fig|287.13133.peg.7,4301,2393,4232,5470,2801,3763
fig|287.13133.peg.8,2045,2121,1526,2364,1951,2108
fig|287.13133.peg.9,2092,2166,1371,2103,1749,2145
fig|287.13133.peg.10,752,704,537,756,666,695
fig|287.13133.peg.11,3870,2793,2666,3807,3043,3949
fig|287.13133.peg.12,674,445,429,569,432,602
fig|287.13133.peg.13,1311,1090,771,1176,1089,919
fig|287.13133.peg.14,304,310,141,314,299,196
fig|287.13133.peg.15,1602,1344,1410,1862,1266,1779
fig|287.13133.peg.16,1224,1047,975,1249,1072,1357
fig|287.13133.peg.17,417,372,326,444,355,393
fig|287.13133.peg.18,528,530,295,516,444,450
fig|287.13133.peg.19,8263,6049,5714,7549,6537,9148
fig|287.13133.peg.20,7068,4911,4730,7251,5793,7528
fig|287.13133.peg.21,162,136,105,124,127,113
fig|287.13133.peg.22,1721,1193,1134,1409,1603,1384
fig|287.13133.peg.23,1708,1503,1104,1599,1464,1640
fig|287.13133.peg.24,1067,1035,663,1075,1033,1043
fig|287.13133.peg.25,538,518,392,530,463,519
fig|287.13133.peg.26,897,677,566,701,500,510
fig|287.13133.peg.27,444,391,356,316,263,236
fig|287.13133.peg.28,135,100,120,131,63,61
fig|287.13133.peg.29,316,261,186,253,242,173
fig|287.13133.peg.30,181,199,115,172,166,138
fig|287.13133.peg.31,825,868,640,856,748,722
fig|287.13133.peg.32,828,675,541,771,694,652
fig|287.13133.peg.33,492,447,409,582,439,585
fig|287.13133.peg.34,283,270,201,282,216,218
fig|287.13133.peg.35,605,544,430,535,473,460
fig|287.13133.peg.36,778,700,562,663,612,482
fig|287.13133.peg.37,2782,2125,1832,2125,1814,1671
fig|287.13133.peg.38,754,805,462,657,745,477
fig|287.13133.peg.39,8065,4296,3709,6412,4391,4449
fig|287.13133.peg.40,34227,15559,14907,24491,17211,15360
fig|287.13133.peg.41,660,549,380,462,455,452
fig|287.13133.peg.42,3485,2453,3367,3922,2498,3776
fig|287.13133.peg.43,2409,1965,1706,2081,1699,1808
fig|287.13133.peg.44,79,28,81,79,43,55
fig|287.13133.peg.45,722,564,377,612,605,441
fig|287.13133.peg.46,708,388,353,570,572,482
fig|287.13133.peg.47,681,569,295,592,575,486
fig|287.13133.peg.48,1701,1460,1048,1473,1512,1315
fig|287.13133.peg.49,161,150,112,154,153,111
fig|287.13133.peg.50,1052,1101,690,1114,916,716
fig|287.13133.peg.51,293,244,155,256,226,145
fig|287.13133.peg.52,1354,1163,963,1220,1187,1022
fig|287.13133.peg.53,1406,1233,951,1350,1385,1244
fig|287.13133.peg.54,536,506,348,514,448,485
fig|287.13133.peg.55,489,528,406,484,432,551
fig|287.13133.peg.56,288,271,169,321,251,193
fig|287.13133.peg.57,682,776,450,574,641,405
fig|287.13133.peg.58,314,391,209,202,194,177
fig|287.13133.peg.59,1057,643,1219,1328,669,713
fig|287.13133.peg.60,285,124,198,109,73,72
fig|287.13133.peg.61,264,132,80,73,85,56
fig|287.13133.peg.62,1500,1159,535,297,239,179
fig|287.13133.peg.63,455,357,197,172,195,129
fig|287.13133.peg.64,504,465,237,161,125,103
fig|287.13133.peg.65,438,423,341,423,382,531
fig|287.13133.peg.66,1835,1121,1247,1710,1522,2848
fig|287.13133.peg.67,240,247,190,298,208,235
fig|287.13133.peg.68,345,382,204,324,326,204
fig|287.13133.peg.69,170,167,100,129,192,85
fig|287.13133.peg.70,4624,3466,1486,2778,1177,1397
fig|287.13133.peg.71,1785,1299,805,1116,1129,1089
fig|287.13133.peg.72,795,588,540,701,717,644
fig|287.13133.peg.73,981,844,570,751,636,573
fig|287.13133.peg.74,1210,1070,960,1277,1063,1148
fig|287.13133.peg.75,1241,1153,869,1091,1057,1034
fig|287.13133.peg.76,866,859,581,823,655,759
fig|287.13133.peg.77,1193,1076,839,1138,977,1138
fig|287.13133.peg.78,3896,3678,2838,3673,3060,3870
fig|287.13133.peg.79,547,385,425,541,400,542
fig|287.13133.peg.80,982,1068,681,819,847,634
fig|287.13133.peg.81,4279,3237,5058,5463,3789,6024
fig|287.13133.peg.82,4631,2629,4179,4460,2959,5427
fig|287.13133.peg.83,172,124,264,170,182,162
fig|287.13133.peg.84,96,57,182,105,61,84
fig|287.13133.peg.85,840,584,1632,1328,603,1260
fig|287.13133.peg.86,366,265,648,422,304,487
fig|287.13133.peg.87,159,109,271,197,149,213
fig|287.13133.peg.88,1333,949,2518,2006,1000,2076
fig|287.13133.peg.89,285,224,536,401,232,431
fig|287.13133.peg.90,417,379,667,613,408,545
fig|287.13133.peg.91,256,221,513,366,215,447
fig|287.13133.peg.92,3743,2892,3360,3806,2910,3456
fig|287.13133.peg.93,939,403,750,801,628,956
fig|287.13133.peg.94,8657,7208,8035,8880,7094,8656
fig|287.13133.peg.95,2774,2842,3123,3609,2412,3040
fig|287.13133.peg.96,3930,4254,4926,5040,3200,4380
fig|287.13133.peg.97,2223,1635,8939,5945,1877,8868
fig|287.13133.peg.98,715,645,884,799,634,836
fig|287.13133.peg.99,374,388,591,479,326,488
fig|287.13133.peg.100,535,448,1694,1159,443,1307
fig|287.13133.peg.101,293,202,935,583,232,616
fig|287.13133.peg.102,1407,1125,2821,1939,1111,2275
fig|287.13133.peg.103,1579,1280,2895,2253,1308,2429
fig|287.13133.peg.104,393,341,722,539,356,638
fig|287.13133.peg.105,906,829,1179,1018,730,1095
fig|287.13133.peg.106,782,625,1031,1099,567,1393
fig|287.13133.peg.107,4693,3174,3935,4557,2811,3548
fig|287.13133.peg.108,272,245,425,408,258,327
fig|287.13133.peg.109,199,177,336,268,164,231
fig|287.13133.peg.110,227,151,443,433,187,357
fig|287.13133.peg.111,769,478,1244,1221,602,931
fig|287.13133.peg.112,886,751,1024,1082,708,983
fig|287.13133.peg.113,570,458,619,642,423,505
fig|287.13133.peg.114,2517,1804,2099,2559,1720,2498
fig|287.13133.peg.115,551,588,349,468,445,367
fig|287.13133.peg.116,1112,940,638,1225,849,845
fig|287.13133.peg.117,488,341,263,389,338,291
fig|287.13133.peg.118,8935,5983,6599,12953,5419,6791
fig|287.13133.peg.119,4237,4305,3363,4948,2611,3358
fig|287.13133.peg.120,1137,898,825,1027,476,816
fig|287.13133.peg.121,3800,2837,2470,3853,2193,2423
