gene_id,PAO1SDS_433,PAO1SDS_434,PAO1SDS_435,PAO1day4_400,PAO1day4_401,PAO1day4_402,PAO1day5_403,PAO1day5_404,PAO1day5_405,PAO1day6_406,PAO1day6_407,PAO1day6_408
PA3229,1,10,12,1,3,3,4,3,5,5,15,8
PA3230,19,20,43,19,19,17,10,15,24,18,32,16
PA3231,6,4,4,7,19,16,10,13,15,17,32,14
PA3232,0,3,10,3,3,2,2,0,4,3,1,0
PA3233,3,5,11,4,5,4,1,0,1,1,5,3
PA3234,9,8,24,5,3,3,2,3,1,4,12,6
PA3235,2,4,10,3,4,0,2,1,1,2,3,3
PA3236,6,1,6,2,1,0,1,2,3,4,4,4
PA3237,1,0,2,0,1,0,0,0,0,0,0,0
PA3238,80,48,83,65,27,35,25,18,31,26,48,40
PA3239,24,10,25,11,7,4,1,3,11,8,7,6
PA3240,8,7,13,7,2,4,3,6,5,3,15,4
PA3241,14,9,27,11,7,3,4,4,8,12,14,12
PA3242,22,9,30,19,9,10,4,7,16,7,11,8
PA3243,92,81,192,59,45,48,26,21,45,29,60,54
PA3244,292,201,328,217,88,88,67,80,138,123,161,130
PA3245,32,11,28,17,17,14,6,10,13,8,11,9
PA3246,31,15,32,18,4,12,2,6,15,16,13,14
PA3247,77,57,154,63,42,51,25,23,46,41,97,47
PA3248,25,14,32,15,11,16,8,9,13,11,28,7
PA3249,8,3,14,6,7,4,3,5,4,7,5,6
PA3250,16,16,34,32,31,29,18,12,36,28,35,28
PA3251,11,3,5,9,8,6,6,6,7,6,6,2
PA3252,5,3,4,7,2,2,1,2,2,3,8,4
PA3253,4,2,5,6,4,2,0,1,1,1,4,3
PA3254,14,6,12,6,5,10,2,8,6,2,9,6
PA3255,24,18,54,17,14,6,10,14,12,15,18,15
PA3256,28,25,62,15,16,10,12,12,17,12,27,15
PA3257,692,390,1153,581,316,389,241,264,448,387,629,491
PA3258,21,16,24,10,17,17,7,6,18,11,25,9
PA3259,16,12,27,10,9,8,6,6,15,11,27,11
PA3260,37,33,51,14,10,18,15,14,18,25,31,18
PA3261,38,38,50,54,51,52,35,41,44,71,91,43
PA3262,216,174,324,215,82,93,74,81,114,99,126,132
PA3263,73,31,131,41,33,25,12,16,36,28,42,28
PA3264,21,12,22,10,9,3,2,7,7,2,13,6
PA3265,4,2,3,3,3,2,1,3,0,0,6,2
PA3266,212,48,365,138,92,100,49,43,113,82,111,92
PA3267,35,21,62,29,18,21,20,23,17,27,49,36
PA3268,16,10,12,13,3,7,6,5,7,9,15,9
PA3269,17,10,15,9,5,9,3,5,8,6,5,7
PA3270,35,23,39,12,17,23,11,13,15,15,34,24
PA3271,31,22,86,13,17,15,10,9,11,16,43,17
PA3272,45,42,89,19,24,21,20,27,27,32,69,17
PA3273,3,3,4,1,2,5,5,5,3,4,13,3
PA3274,14,18,13,12,17,40,17,30,31,25,52,35
PA3275,9,15,9,7,9,29,15,25,22,23,37,28
PA3276,9,8,18,4,9,4,3,7,2,6,6,8
PA3277,7,1,27,5,7,6,3,10,9,10,22,15
PA3278,4,6,36,8,15,8,7,7,6,7,25,14
PA3279,2,1,4,1,0,3,1,0,2,4,3,2
PA3280,63,31,55,62,26,30,33,24,44,44,70,52
PA3281,98,47,76,90,69,75,52,66,121,102,168,137
PA3282,101,36,130,82,96,71,64,91,125,106,197,144
PA3283,284,134,356,366,248,268,165,283,378,371,731,424
PA3284,695,355,889,614,544,473,285,530,694,611,1187,620
PA3285,17,19,46,22,17,8,3,10,14,15,23,16
PA3286,58,45,104,43,18,30,20,21,31,44,67,49
PA3287,3,9,43,4,5,3,0,2,6,0,2,6
PA3288,9,8,39,5,3,1,1,1,5,1,11,2
PA3289,8,1,11,7,2,4,2,3,8,3,5,6
PA3290,103,53,138,118,85,71,60,47,87,69,137,99
PA3291,36,15,33,50,8,37,25,17,35,32,23,45
PA3292,17,9,33,37,13,21,21,8,16,21,36,27
PA3293,7,10,19,13,8,10,4,3,7,5,11,7
PA3294,1,2,2,1,2,2,0,0,1,1,2,2
PA3295,42,44,75,32,20,21,11,12,28,15,35,31
PA3296,0,2,3,2,1,1,0,1,1,1,3,1
PA3297,79,49,162,42,34,28,11,17,34,31,56,37
PA3298,2,1,2,1,2,2,1,0,0,0,1,1
PA3299,227,116,402,153,98,109,70,72,109,89,172,128
PA3300,33,25,61,32,10,13,19,13,19,19,31,25
PA3301,47,32,96,47,27,35,21,23,37,33,43,32
PA3302,17,16,29,17,8,4,1,11,6,10,20,10
PA3303,11,11,20,6,1,7,5,2,8,7,8,7
PA3304,16,7,30,10,3,3,7,7,12,12,15,4
PA3305,13,11,62,14,11,14,7,15,6,14,26,10
PA3306,20,13,31,14,18,13,5,11,19,17,33,20
PA3307,13,13,41,3,2,5,3,3,5,14,5,11
PA3308,120,76,136,40,21,27,20,15,29,37,51,35
PA3309,304,321,699,232,318,276,184,337,368,416,791,346
PA3310,67,48,109,58,53,71,48,52,71,60,125,77
PA3311,17,21,38,25,29,42,13,27,26,26,49,25
PA3312,7,2,11,3,3,5,1,2,2,1,3,4
PA3313,10,13,22,20,4,7,5,1,10,11,18,11
PA3314,5,5,7,0,0,0,0,1,3,2,3,3
PA3315,1,1,5,1,2,3,1,3,1,5,3,0
PA3316,8,1,6,1,2,4,4,2,0,2,4,2
PA3317,10,12,35,7,4,10,7,4,9,8,10,3
PA3318,2,1,7,1,2,0,1,0,3,2,2,3
PA3319,2,5,7,1,0,4,1,2,5,4,6,5
PA3320,1,0,3,0,0,2,0,0,0,1,1,1
PA3321,11,7,14,4,0,3,1,2,2,2,3,1
PA3322,14,5,26,3,6,3,2,4,6,4,11,7
PA3323,2,1,3,4,3,4,4,3,3,1,5,5
PA3324,7,5,9,8,4,5,3,6,9,7,12,5
PA3325,37,40,54,37,19,19,10,14,18,13,21,24
PA3326,334,190,437,290,146,185,111,131,259,192,317,211
PA3327,179,128,320,111,115,124,52,77,145,94,233,166
PA3328,32,24,47,22,25,21,9,24,35,23,53,22
PA3329,44,35,65,39,36,44,16,25,50,43,80,44
PA3330,23,22,45,16,15,13,5,13,20,15,44,18
PA3331,59,62,86,76,54,54,21,48,90,37,118,62
PA3332,16,12,27,17,23,11,9,8,19,15,36,17
PA3333,52,28,61,35,35,32,16,22,36,30,58,55
PA3334,9,7,22,11,9,14,8,10,14,9,20,14
PA3335,15,12,32,21,19,13,8,14,27,11,27,17
PA3336,27,30,196,26,37,39,27,45,62,42,81,46
PA3337,82,44,430,72,91,101,53,110,131,131,230,111
PA3338,2,1,15,2,3,3,0,2,3,4,3,2
PA3339,14,17,36,11,11,7,5,7,7,9,18,11
PA3340,39,25,58,20,15,13,10,8,10,10,16,14
PA3341,41,26,111,59,36,45,30,38,35,38,102,52
PA3342,19,11,25,21,5,15,9,13,9,14,21,20
PA3343,12,8,31,16,5,11,4,8,8,10,23,13
PA3344,103,54,118,52,33,27,21,29,49,37,73,35
PA3345,12,8,29,12,4,5,9,2,10,10,10,6
PA3346,27,22,85,40,29,25,18,21,26,26,44,28
PA3347,31,29,53,37,38,25,16,30,33,22,64,34
PA3348,74,37,106,102,54,46,43,45,52,46,77,73
PA3349,268,171,308,355,161,172,140,122,226,214,304,246
PA3350,76,38,105,69,23,45,26,23,50,36,53,45
PA3351,165,146,229,229,115,130,112,121,152,219,276,164
PA3352,108,53,113,103,53,65,53,59,76,68,132,79
PA3353,66,24,97,50,29,38,19,30,38,40,68,36
PA3354,28,11,33,22,14,18,7,17,12,15,31,18
PA3355,17,16,54,14,19,14,12,10,11,8,28,14
PA3356,89,44,176,58,47,54,20,35,47,49,109,61
PA3357,30,16,44,15,10,7,4,4,10,6,16,5
PA3358,4,2,6,1,1,1,1,0,0,1,1,0
PA3359,5,4,13,5,0,3,0,2,3,3,7,4
PA3360,2,2,1,1,0,1,1,0,1,0,1,0
PA3361,100,46,88,139,175,174,98,208,190,186,408,253
PA3362,20,11,27,39,66,63,41,74,64,66,131,82
PA3363,5,1,8,3,14,6,8,11,6,8,16,4
PA3364,4,2,8,7,7,0,2,3,4,5,8,5
PA3365,1,5,7,5,2,3,0,6,1,8,10,6
PA3366,8,8,19,13,9,8,10,13,8,18,26,12
PA3367,5,5,3,2,4,4,1,3,3,1,6,3
PA3368,6,2,8,3,3,3,0,1,3,2,4,2
PA3369,74,61,36,72,31,57,36,32,52,41,74,75
PA3370,17,7,7,10,15,16,6,6,9,6,24,16
PA3371,9,9,3,5,9,6,2,5,10,5,14,15
PA3372,18,9,18,5,14,16,5,3,15,8,22,19
PA3373,5,6,10,4,2,2,4,4,6,5,4,6
PA3374,7,2,17,4,2,3,3,2,3,4,6,4
PA3375,2,0,0,0,0,0,0,1,1,0,1,0
PA3376,0,0,0,0,0,0,0,0,1,0,1,2
PA3377,0,0,2,3,0,0,2,0,0,1,2,2
PA3378,2,2,2,0,1,0,1,0,1,2,0,0
PA3379,0,0,2,0,0,0,0,0,0,2,1,0
PA3380,0,0,1,0,0,0,0,0,0,0,1,0
PA3381,0,0,1,0,0,0,0,0,0,1,2,0
