gene_id,PAO1SDS_433,PAO1SDS_434,PAO1SDS_435,PAO1day4_400,PAO1day4_401,PAO1day4_402,PAO1day5_403,PAO1day5_404,PAO1day5_405,PAO1day6_406,PAO1day6_407,PAO1day6_408
PA0001,276,139,455,213,121,168,111,123,185,144,229,223
PA0002,232,144,395,128,86,74,51,52,109,77,156,98
PA0003,173,83,232,124,64,67,40,47,88,64,104,75
PA0004,385,218,589,204,140,136,96,109,171,149,228,162
PA0005,23,15,50,18,15,12,13,4,6,14,23,11
PA0006,22,23,48,17,8,16,14,8,15,13,22,20
PA0007,12,7,26,19,16,15,18,22,22,20,48,22
PA0008,140,98,233,70,42,48,30,43,52,41,78,50
PA0009,97,59,131,56,32,28,22,40,41,19,59,40
PA0010,11,10,26,11,5,3,4,2,4,2,8,8
PA0011,41,30,80,38,25,20,11,20,38,21,43,20
PA0012,21,14,25,17,7,7,6,6,13,10,16,18
PA0013,12,5,19,3,3,4,3,2,4,2,4,2
PA0014,2,0,3,4,1,1,1,0,2,2,1,2
PA0015,12,11,21,9,7,2,3,4,14,6,16,10
PA0016,40,36,61,20,13,21,13,10,21,27,22,25
PA0017,44,35,90,25,13,14,12,11,18,14,24,19
PA0018,36,22,86,10,10,13,14,20,18,19,37,20
PA0019,68,63,175,36,43,34,17,37,43,47,85,39
PA0020,102,91,229,89,58,89,42,52,91,63,157,102
PA0021,2,6,9,2,0,1,0,0,1,0,5,0
PA0022,27,15,38,18,10,13,3,2,8,5,20,8
PA0023,37,21,69,17,11,20,13,7,22,13,22,21
PA0024,100,65,167,96,87,76,68,72,96,91,217,96
PA0025,27,27,67,25,42,28,23,28,26,41,76,45
PA0026,46,31,104,47,53,45,22,23,47,42,64,62
PA0027,14,13,39,10,14,10,4,3,19,11,29,17
PA0028,15,5,19,3,4,2,1,0,4,0,6,6
PA0029,8,4,18,7,3,0,1,5,2,5,2,6
PA0030,2,0,1,0,0,1,0,0,0,2,1,0
PA0031,4,5,7,3,4,5,0,0,2,3,5,7
PA0032,6,10,8,8,3,1,3,1,5,0,12,4
PA0033,7,3,17,3,2,2,0,2,1,1,5,4
PA0034,21,10,19,10,3,6,1,1,8,10,6,9
PA0035,47,26,72,24,12,20,9,10,19,20,41,14
PA0036,70,55,138,36,23,33,22,24,32,43,55,41
PA0037,8,4,15,3,2,3,3,2,2,3,5,5
PA0038,161,158,123,320,222,328,260,240,379,382,717,389
PA0039,56,42,53,77,67,74,42,41,72,63,131,91
PA0040,3,2,6,0,3,2,2,0,3,0,7,2
PA0041,55,31,51,47,26,27,21,27,45,28,43,43
PA0042,9,6,9,4,2,3,3,0,4,2,8,0
PA0043,12,7,33,8,5,4,1,3,7,4,11,4
PA0044,184,107,414,167,117,119,69,73,155,146,178,150
PA0045,26,15,32,19,10,8,11,12,15,13,11,14
PA0046,9,2,10,3,5,2,1,3,3,3,5,3
PA0047,3,3,10,4,3,2,1,3,4,2,7,6
PA0048,3,2,5,0,7,5,2,1,2,2,6,7
PA0049,42,37,70,53,27,51,15,17,49,43,63,37
PA0050,13,15,19,48,15,23,12,17,22,22,36,35
PA0051,10,5,22,8,9,10,2,2,5,4,12,5
PA0052,3,8,8,5,10,6,1,5,5,6,15,4
PA0053,29,14,66,22,20,22,9,16,19,25,36,26
PA0054,16,12,22,7,3,6,8,4,4,9,14,5
PA0055,39,48,74,33,17,31,20,20,24,27,33,27
PA0056,8,4,11,1,0,3,1,1,0,1,1,1
PA0057,3,4,11,3,3,2,1,2,0,0,3,1
PA0058,1,1,2,1,3,1,0,0,0,1,4,0
PA0059,33,61,33,68,30,47,33,28,42,43,63,59
PA0060,23,29,37,27,24,13,16,27,23,30,53,46
PA0061,18,22,23,10,8,6,9,14,16,18,41,27
PA0062,9,9,4,6,4,5,4,2,3,4,8,2
PA0063,27,19,85,8,2,5,5,2,12,10,11,8
PA0064,14,10,32,5,6,5,2,1,4,2,11,9
PA0065,27,16,29,29,9,13,3,4,13,14,23,17
PA0066,11,5,16,10,8,6,2,5,7,6,16,3
PA0067,147,89,240,86,71,72,46,61,82,96,163,82
PA0068,22,8,29,8,6,10,1,2,9,2,12,6
PA0069,8,7,12,1,7,4,0,3,4,4,7,5
PA0070,45,39,67,52,50,35,29,28,41,49,55,50
PA0071,117,57,108,80,45,65,58,40,88,111,122,134
PA0072,3,0,11,0,2,0,0,1,4,3,4,1
PA0073,1,2,5,1,1,2,0,0,0,1,1,1
PA0074,8,5,25,12,11,7,3,7,13,10,17,10
PA0075,11,5,13,15,4,14,3,3,10,2,10,8
PA0076,10,5,10,2,6,0,0,4,3,1,5,3
PA0077,17,11,51,17,21,13,10,15,34,19,54,31
PA0078,11,5,20,3,5,2,4,7,10,7,15,9
PA0079,5,13,24,12,4,8,6,6,11,8,16,6
PA0080,5,1,8,6,5,6,2,1,1,7,8,1
PA0081,32,28,81,30,28,27,19,29,47,39,69,37
PA0082,20,25,43,11,12,12,4,5,13,14,16,13
PA0083,12,11,13,5,2,7,7,3,10,8,16,10
PA0084,23,20,43,28,33,30,12,22,42,38,45,43
PA0085,16,21,44,19,16,16,13,24,43,34,55,28
PA0086,6,3,13,1,7,0,4,2,8,3,10,3
PA0087,3,2,3,6,3,1,1,3,3,0,5,8
PA0088,9,8,14,3,7,1,0,2,3,0,15,2
PA0089,2,2,7,1,2,0,6,3,6,4,10,2
PA0090,15,7,23,12,15,12,6,17,16,10,28,11
PA0091,5,3,15,9,13,6,5,5,9,8,18,6
PA0092,4,5,3,9,7,5,1,3,4,4,5,7
PA0093,11,14,19,10,2,9,4,10,7,2,16,9
PA0094,6,5,14,8,5,2,2,3,10,6,3,6
PA0095,34,19,53,23,18,22,10,19,25,20,44,42
PA0096,4,1,5,1,4,1,0,2,1,2,8,1
PA0097,3,1,12,2,3,2,3,3,3,3,11,1
PA0098,3,6,6,0,2,4,1,5,6,1,6,1
PA0099,16,13,28,24,14,13,9,13,18,16,22,17
PA0100,14,8,23,17,16,10,5,10,21,10,27,19
PA0101,4,6,11,3,6,4,2,4,4,3,11,5
PA0102,41,26,59,20,11,18,7,9,13,14,41,18
PA0103,9,8,21,3,2,1,2,3,2,4,7,2
PA0105,6,9,16,8,4,10,3,4,11,6,17,14
PA0106,4,1,9,2,3,1,2,1,4,2,9,6
PA0107,1,0,4,0,4,1,3,0,6,2,5,1
PA0108,6,13,21,14,27,29,13,24,28,36,49,26
PA0109,6,7,12,4,9,11,6,15,11,12,18,7
PA0110,0,2,2,1,1,0,0,0,1,1,0,1
PA0111,1,1,0,1,2,1,0,1,0,0,1,1
PA0112,1,1,2,2,2,0,0,1,2,1,4,0
PA0113,3,5,14,2,4,5,2,2,5,2,3,6
PA0114,87,55,162,93,61,82,36,86,65,84,182,71
PA0115,23,17,50,29,14,20,8,10,11,8,27,9
PA0116,12,9,23,11,5,10,4,4,8,11,11,13
PA0117,7,5,10,1,2,1,1,2,2,2,6,3
PA0118,7,1,12,2,2,3,1,1,2,3,7,1
PA0119,12,7,37,10,7,3,6,7,10,10,16,10
PA0120,3,5,19,9,9,1,2,2,11,4,14,6
PA0121,7,8,11,9,3,4,1,4,4,6,9,3
PA0122,122,47,121,226,167,165,104,125,152,177,291,193
PA0123,21,12,37,23,25,16,7,14,22,15,33,13
PA0124,25,15,30,23,8,14,12,5,25,18,20,17
PA0125,15,21,38,15,8,14,11,3,19,18,28,14
PA0126,13,4,18,11,3,7,2,4,5,6,11,5
PA0127,10,1,20,8,5,2,5,2,4,3,5,7
PA0128,27,13,35,10,14,20,7,9,12,14,18,11
PA0129,20,8,33,7,7,6,6,4,14,12,25,14
PA0130,22,20,46,15,5,8,10,3,8,8,15,15
PA0131,23,10,24,19,3,7,1,6,7,6,6,13
PA0132,13,15,34,9,5,8,2,5,9,6,12,7
PA0133,10,9,30,14,5,6,5,6,4,9,14,6
PA0134,17,17,60,36,24,31,20,30,47,38,73,30
PA0135,0,0,0,0,0,0,0,0,0,0,0,0
PA0136,0,0,3,0,2,0,2,0,1,1,0,2
PA0137,2,0,1,1,3,0,0,1,0,0,2,0
PA0138,3,4,4,2,1,5,1,1,1,1,3,2
PA0139,395,386,829,272,205,247,118,169,267,170,310,251
PA0140,133,101,369,43,25,46,15,15,59,22,45,33
PA0141,211,148,387,163,130,152,90,122,188,173,275,227
PA0142,10,2,25,3,6,0,3,2,9,2,9,1
PA0143,45,29,74,42,23,30,19,15,26,20,49,21
PA0144,16,9,32,24,8,12,6,10,19,8,27,7
PA0145,3,6,13,3,4,1,1,0,3,2,7,5
PA0146,3,2,4,2,2,0,0,1,3,0,5,1
PA0147,7,6,18,6,3,5,1,1,5,10,8,7
PA0148,25,24,23,21,10,21,9,10,15,19,27,14
PA0149,6,3,2,1,0,1,1,0,1,2,3,2
PA0150,0,2,6,2,1,3,0,1,0,0,1,0
PA0151,2,0,4,2,1,0,1,1,0,1,1,0
PA0152,2,8,14,9,4,3,4,1,5,3,4,1
PA0153,7,4,10,4,1,3,5,6,2,3,4,1
PA0154,7,7,18,4,9,6,2,2,6,5,6,7
PA0155,21,11,32,17,7,6,6,3,5,4,17,5
PA0156,16,19,26,21,20,13,14,11,17,23,36,17
PA0157,24,28,33,25,16,16,5,10,16,16,30,16
PA0158,34,43,111,64,40,39,27,23,55,30,59,44
PA0159,25,12,36,19,11,8,18,13,19,14,35,26
PA0160,4,0,4,6,2,5,2,4,2,5,9,5
PA0162,13,9,32,10,4,3,2,6,5,16,16,4
PA0163,7,8,21,7,9,6,2,5,6,6,13,5
PA0164,13,7,20,4,6,5,1,2,9,2,5,4
PA0165,38,11,61,17,11,7,14,11,15,11,20,15
PA0166,4,1,8,1,0,2,3,3,1,2,4,4
PA0167,27,23,38,14,4,8,5,5,9,15,11,11
PA0168,8,7,25,0,1,1,1,1,2,1,1,1
PA0169,18,8,44,5,4,3,1,5,8,4,8,9
PA0170,13,4,33,9,2,6,4,5,4,5,10,6
PA0171,21,10,47,14,7,9,8,6,6,5,8,16
PA0172,36,32,71,11,8,15,5,9,12,13,16,23
PA0173,0,3,1,2,1,2,3,4,2,3,2,3
PA0174,2,1,0,5,2,1,2,5,2,4,2,2
PA0175,10,11,8,17,14,18,8,18,11,19,29,13
PA0176,68,32,42,139,67,71,67,69,94,79,136,75
PA0177,18,7,4,26,13,22,15,30,18,26,31,19
PA0178,48,17,32,90,57,69,56,44,76,67,138,87
PA0179,27,21,46,86,64,57,43,67,66,79,148,67
PA0180,26,18,40,43,20,28,27,18,28,33,38,29
PA0181,9,4,17,4,0,3,3,2,5,4,9,7
PA0182,2,1,8,3,0,0,2,2,3,1,2,0
PA0183,2,3,4,2,2,1,1,1,0,3,5,1
PA0184,1,0,2,0,0,0,1,1,1,1,0,0
PA0185,0,1,3,0,0,1,0,0,0,0,0,0
PA0186,5,1,2,0,1,2,1,1,2,2,5,3
PA0187,4,5,7,2,5,0,0,0,2,0,3,2
PA0188,1,1,0,0,2,1,0,1,0,0,0,0
PA0189,1,1,3,0,1,1,0,1,1,1,0,1
PA0190,0,1,4,1,0,1,0,0,1,0,1,0
PA0191,2,1,5,2,1,3,3,1,2,2,6,0
PA0192,1,2,3,0,3,1,1,1,4,0,2,0
PA0193,3,0,3,1,0,1,0,2,1,1,0,1
PA0194,0,0,1,1,0,1,1,2,2,0,0,1
PA0195,78,42,134,62,58,78,48,59,91,73,150,82
PA0195.1,13,14,15,13,11,6,4,4,5,6,8,1
PA0196,42,31,41,34,14,14,7,15,15,18,21,15
PA0197,2,6,1,0,1,1,0,2,3,0,1,1
PA0198,7,0,13,4,1,3,3,1,0,1,4,2
PA0199,6,4,46,7,12,7,4,5,5,7,12,9
PA0200,32,24,77,30,36,51,24,32,36,74,60,83
PA0201,5,6,25,3,5,7,3,7,8,7,20,8
PA0202,6,4,13,0,5,1,1,6,5,5,13,3
PA0203,0,0,1,0,0,0,0,0,0,1,1,1
PA0204,0,1,2,1,1,1,0,1,1,0,2,0
PA0205,3,4,5,2,1,2,4,1,4,4,6,6
PA0206,6,0,0,3,4,3,1,3,2,1,2,2
PA0207,4,4,21,5,5,7,3,6,3,9,8,6
PA0208,3,5,13,0,1,2,1,1,1,1,2,6
PA0209,0,0,0,0,0,0,0,0,0,0,2,0
PA0210,0,0,0,0,1,0,0,0,0,0,1,0
PA0211,1,0,3,1,0,0,1,0,0,0,1,0
PA0212,0,2,0,0,0,0,0,0,0,0,0,0
PA0213,0,1,1,0,1,0,0,0,0,0,1,0
PA0214,2,3,7,0,1,1,1,0,1,0,3,3
PA0215,0,1,3,1,1,1,1,1,2,2,2,0
PA0216,4,3,4,2,2,5,0,3,3,1,3,3
PA0217,6,7,17,4,5,6,4,2,6,6,14,9
PA0218,8,3,17,5,3,5,3,1,2,3,7,2
PA0219,0,0,1,0,0,1,0,1,2,1,8,3
PA0220,3,3,3,0,0,2,0,2,3,4,2,0
PA0221,1,1,1,0,0,0,1,0,1,0,3,0
PA0222,2,0,3,2,0,0,0,1,0,1,1,1
PA0223,2,2,2,1,1,0,0,1,1,1,1,0
PA0224,5,5,14,1,1,1,3,2,2,3,3,1
PA0225,10,8,10,11,8,8,5,3,4,6,7,7
PA0226,4,2,2,1,0,2,0,0,0,1,5,1
PA0227,4,3,4,2,0,0,1,1,0,0,0,0
PA0228,1,0,4,4,0,0,1,2,2,1,6,1
PA0229,4,6,10,11,10,6,6,8,7,4,9,2
PA0230,10,7,30,5,8,7,5,3,10,2,15,7
PA0231,12,7,23,11,2,5,3,7,9,4,17,7
PA0232,2,1,3,0,3,1,1,0,4,0,7,2
PA0233,10,8,17,9,4,5,1,7,4,2,14,8
PA0234,4,1,2,1,1,1,0,1,0,0,4,2
PA0235,1,0,3,0,0,1,0,1,0,1,0,1
PA0236,11,5,11,4,2,0,3,4,1,1,1,1
PA0237,1,0,3,0,0,0,0,0,0,0,0,0
PA0238,0,1,6,1,1,1,1,0,1,1,1,0
PA0239,9,7,22,6,2,4,0,0,3,2,9,6
PA0240,4,6,12,3,1,1,1,1,2,2,4,1
PA0241,0,3,0,2,0,0,2,0,1,1,3,0
PA0242,1,0,3,0,0,0,0,0,2,2,5,2
PA0243,15,9,22,8,6,3,2,4,4,5,18,8
PA0244,2,2,2,0,1,0,1,0,1,1,2,0
PA0245,0,2,0,0,0,0,0,0,1,0,1,0
PA0246,8,8,13,4,5,3,1,3,7,3,4,0
PA0247,2,1,2,1,0,0,0,1,1,1,3,1
PA0248,11,2,23,1,5,4,1,5,12,1,4,7
PA0249,7,2,8,2,3,1,0,3,2,2,4,4
PA0250,6,7,22,10,11,0,4,5,4,10,7,8
PA0251,2,3,2,0,1,0,0,0,2,0,1,2
PA0252,2,1,10,2,1,4,0,2,1,4,2,3
PA0253,5,2,8,3,2,0,2,2,1,2,4,1
PA0254,1,6,7,4,3,4,2,0,1,3,5,4
PA0255,9,4,22,9,4,8,3,5,5,9,10,9
PA0256,23,11,24,29,33,23,16,34,27,25,53,27
PA0257,11,5,22,16,8,10,9,6,9,10,19,17
PA0258,8,3,14,10,7,11,7,5,10,2,6,7
PA0259,96,76,129,73,78,63,45,75,92,76,130,81
PA0260,95,78,143,101,49,56,50,53,91,71,142,119
PA0261,4,3,12,5,4,5,6,6,5,2,8,10
PA0262,11,10,16,23,14,14,9,15,10,15,17,15
PA0263,0,0,0,0,0,0,0,0,0,0,0,0
PA0265,184,104,254,152,67,71,45,54,96,67,145,100
PA0266,157,81,255,68,40,52,30,49,62,46,86,44
PA0267,19,11,27,10,6,6,5,2,5,2,9,12
PA0268,11,4,14,5,3,4,4,5,5,4,15,12
PA0269,10,8,18,10,15,9,12,15,17,15,43,14
PA0270,8,1,5,5,5,2,7,3,3,3,16,11
PA0271,5,6,9,5,4,6,2,10,7,6,22,4
PA0272,17,21,42,26,17,16,11,20,24,16,44,21
PA0273,1,0,2,3,0,2,0,2,3,1,4,3
PA0274,1,2,3,2,3,1,3,1,1,0,3,2
PA0275,4,8,20,3,1,6,1,5,3,4,7,9
PA0276,3,6,8,1,3,7,1,13,5,12,19,8
PA0277,5,4,14,3,7,7,2,12,4,10,20,8
PA0278,0,3,2,0,1,1,2,1,1,2,6,2
PA0279,7,1,19,1,1,1,2,0,1,2,2,3
PA0280,6,4,15,1,1,0,2,2,1,2,3,3
PA0281,8,4,14,2,4,2,2,1,2,4,5,6
PA0282,13,8,7,3,3,1,1,4,0,3,1,4
PA0283,8,13,22,31,4,8,5,5,2,6,11,10
PA0284,14,16,19,22,5,14,9,6,9,11,13,18
PA0285,38,28,62,24,9,13,11,8,23,18,25,21
PA0286,425,300,622,228,122,139,102,86,180,152,290,171
PA0287,4,1,4,3,0,2,0,3,1,3,3,1
PA0288,0,0,2,1,0,0,2,0,4,0,1,0
PA0289,9,3,25,9,12,4,5,6,8,10,14,11
PA0290,15,10,29,20,13,12,12,11,29,15,29,24
PA0291,368,183,618,352,180,286,162,166,276,288,359,345
PA0292,55,30,94,29,16,28,12,24,42,27,57,43
PA0293,14,12,21,12,14,6,0,8,9,11,17,13
PA0294,13,8,34,12,6,4,3,8,6,1,13,5
PA0295,43,26,88,41,37,31,11,35,35,46,80,48
PA0296,27,7,52,26,17,20,6,7,8,9,14,3
PA0297,112,77,222,76,50,79,30,33,88,63,122,69
PA0298,150,73,191,135,40,67,40,47,82,80,118,79
PA0299,102,52,155,65,43,45,29,33,48,54,97,47
PA0300,206,116,331,176,105,104,60,84,133,98,187,115
PA0301,118,69,130,73,39,42,33,36,47,56,75,46
PA0302,77,44,97,47,25,23,19,20,31,29,46,40
PA0303,33,24,74,19,18,15,3,14,22,18,35,14
PA0304,15,10,50,10,11,6,3,8,7,1,9,4
PA0305,30,29,59,18,8,10,4,10,13,15,28,18
PA0306,47,27,104,27,28,21,10,12,16,24,42,21
PA0307,20,9,31,6,8,9,0,6,8,7,16,14
PA0308,36,33,69,17,9,12,4,12,14,20,24,10
PA0309,49,26,77,36,18,25,24,26,40,23,52,25
PA0310,28,25,69,25,24,32,25,26,40,36,75,27
PA0311,5,3,23,4,5,6,1,5,8,5,22,4
PA0312,17,32,41,14,18,14,9,18,15,16,30,10
PA0313,18,23,41,21,18,19,7,12,13,15,22,19
PA0314,39,17,60,20,16,16,13,12,26,14,28,23
PA0315,61,51,78,40,16,15,14,20,36,33,57,24
PA0316,230,134,313,178,80,101,68,78,123,101,177,114
PA0317,106,87,167,72,38,25,21,29,62,41,73,50
PA0318,53,26,75,41,22,27,18,15,35,23,33,26
PA0319,57,40,89,35,20,35,13,15,27,22,29,27
PA0320,8,11,11,5,9,12,2,6,12,6,9,9
PA0321,3,0,2,0,0,1,0,1,2,1,2,3
PA0322,1,3,5,4,1,2,2,0,2,0,3,1
PA0323,3,4,5,3,3,2,2,2,0,2,6,2
PA0324,3,3,6,5,4,5,2,1,2,2,5,3
PA0325,7,3,10,7,3,5,1,2,6,5,13,1
PA0326,0,2,4,1,0,0,0,1,3,2,2,2
PA0327,7,4,14,7,10,10,4,7,10,10,22,10
PA0328,13,12,24,19,14,16,3,9,18,7,17,14
PA0329,32,37,74,47,35,23,26,28,46,35,72,40
PA0330,46,24,60,22,22,24,10,9,25,18,31,20
PA0331,68,42,131,41,24,24,17,19,33,19,45,29
PA0332,10,8,37,4,9,8,5,3,7,5,16,8
PA0333,11,7,30,7,17,10,8,9,9,9,28,12
PA0334,13,10,20,8,10,4,3,8,10,8,19,5
PA0335,50,33,90,34,24,15,10,19,28,26,47,15
PA0336,95,63,190,77,54,50,28,47,84,66,113,81
PA0337,166,114,370,113,80,82,40,50,73,70,165,76
PA0338,16,7,32,9,10,6,6,8,3,9,22,10
PA0339,17,11,42,4,6,3,2,3,8,5,11,8
PA0340,29,18,31,16,10,12,5,8,6,3,17,8
PA0341,39,23,63,23,15,12,5,5,17,8,24,19
PA0342,64,45,126,50,31,36,19,23,44,41,63,38
PA0343,34,25,57,18,17,18,13,9,17,24,23,17
PA0344,17,15,12,7,9,14,9,8,20,5,19,15
PA0345,11,13,20,6,8,6,4,2,2,6,8,0
PA0346,2,1,3,3,1,2,0,0,0,1,3,3
PA0347,10,5,16,2,2,3,0,1,4,2,7,5
PA0348,2,1,6,0,0,0,3,1,0,2,4,4
PA0349,1,0,2,1,1,0,0,0,0,0,3,1
PA0350,13,14,20,4,3,2,2,3,11,1,10,3
PA0351,19,26,37,7,8,7,2,8,10,9,21,7
PA0352,12,18,48,12,6,2,6,2,5,10,17,10
PA0353,76,43,129,73,47,50,38,44,51,70,93,61
PA0354,62,49,75,44,38,34,25,33,44,30,73,41
PA0355,35,32,33,45,80,63,34,55,67,47,159,62
PA0356,34,29,52,26,20,21,12,15,15,20,19,15
PA0357,42,30,91,25,18,22,9,15,17,14,32,24
PA0358,10,12,19,5,6,2,2,3,4,5,6,9
PA0359,30,18,94,26,30,30,26,23,49,40,62,43
PA0360,20,21,58,22,23,27,14,17,21,15,37,16
PA0361,35,31,67,17,12,15,9,10,21,12,34,20
PA0362,20,13,32,12,9,5,6,4,14,10,24,10
PA0363,26,26,56,14,12,4,6,7,16,12,22,12
PA0364,102,67,135,14,3,4,4,7,5,7,10,10
PA0365,53,52,117,12,6,11,3,7,9,10,7,8
PA0366,186,128,539,48,31,44,16,18,37,36,78,57
PA0367,35,25,115,21,21,15,11,8,27,24,41,21
PA0368,11,7,28,8,8,7,3,5,6,10,16,9
PA0369,6,8,17,7,3,4,1,2,4,5,7,4
PA0370,14,15,41,14,8,9,5,5,9,8,14,6
PA0371,93,46,143,59,30,27,26,17,43,29,48,45
PA0372,95,70,168,85,41,56,25,41,47,49,61,44
PA0373,120,84,188,38,26,39,24,18,43,30,75,39
PA0374,53,36,90,33,15,10,8,16,20,19,25,18
PA0375,69,57,105,37,38,53,27,53,54,71,94,55
PA0376,266,189,402,258,235,216,156,243,317,309,503,324
PA0377,35,35,43,25,10,12,11,13,28,16,26,22
PA0378,17,14,18,10,4,12,7,9,10,10,8,7
PA0379,12,4,21,5,5,4,3,7,8,3,8,5
PA0380,40,28,54,29,11,15,9,9,26,15,31,15
PA0381,72,39,69,36,26,21,11,18,23,16,40,20
PA0382,50,28,49,26,7,11,8,5,8,11,15,11
PA0383,12,8,17,6,8,5,2,8,3,4,8,6
PA0384,4,3,5,6,3,2,1,0,3,2,3,3
PA0385,13,10,31,11,5,11,5,4,10,6,9,5
PA0386,20,13,40,12,8,8,4,3,13,12,14,9
PA0387,25,29,54,9,11,22,15,10,21,34,48,9
PA0388,43,31,79,60,34,32,19,38,45,59,73,67
PA0389,31,45,62,29,22,17,7,11,18,21,39,16
PA0390,79,52,131,70,39,39,25,21,39,40,56,40
PA0391,104,69,278,45,45,49,38,35,64,62,130,66
PA0392,42,26,43,17,12,6,10,7,9,10,17,8
PA0393,50,40,92,22,11,21,14,11,20,11,28,15
PA0394,63,49,125,60,17,31,23,15,34,39,71,28
PA0395,82,66,165,83,53,60,34,40,68,60,97,76
PA0396,62,39,138,64,79,67,34,64,86,74,141,74
PA0397,10,13,35,17,21,14,11,14,16,15,33,12
PA0398,31,17,51,15,14,12,8,10,15,8,19,17
PA0399,85,41,103,55,28,27,17,28,40,30,50,33
PA0400,60,55,106,61,24,19,8,15,38,24,41,26
PA0401,77,50,130,28,36,24,12,21,32,33,45,20
PA0402,112,54,227,76,71,66,35,41,68,66,128,85
PA0403,30,30,94,21,30,20,17,22,32,31,53,35
PA0404,22,7,47,8,9,11,8,13,19,11,25,18
PA0405,36,28,102,33,22,24,15,15,30,12,38,19
PA0406,73,30,93,36,21,26,22,13,44,28,42,40
PA0407,99,66,165,54,49,59,31,30,54,55,94,65
PA0408,180,92,367,194,129,185,125,137,206,206,344,230
PA0409,115,82,236,114,91,111,81,81,115,116,185,144
PA0410,129,73,203,112,48,71,62,37,109,67,108,104
PA0411,499,312,621,313,131,191,110,119,198,150,241,218
PA0412,38,41,90,28,18,26,8,15,22,17,32,24
PA0413,452,342,1236,258,245,259,125,164,288,213,429,279
PA0414,68,40,118,41,21,30,12,12,22,18,38,27
PA0415,24,11,70,15,13,13,6,8,10,10,22,12
PA0416,4,9,16,3,2,5,1,1,9,1,7,3
PA0417,9,6,8,4,0,2,0,3,6,1,10,2
PA0418,14,10,28,15,4,7,4,10,9,8,14,4
PA0419,10,5,16,3,1,1,3,2,5,9,8,4
PA0420,33,22,49,22,10,11,3,7,11,8,14,11
PA0421,83,63,128,51,20,25,13,20,27,31,46,34
PA0422,133,90,167,70,24,27,27,28,50,48,58,61
PA0423,403,237,506,245,101,126,73,96,137,149,176,149
PA0424,15,15,38,11,12,8,6,9,17,10,24,9
PA0425,127,68,189,71,29,42,41,34,53,56,95,55
PA0426,264,160,376,144,76,59,36,41,97,75,135,99
PA0427,123,68,247,68,58,50,19,40,41,50,100,62
PA0428,188,111,255,88,53,63,35,41,79,59,95,72
PA0429,99,64,183,80,37,49,22,32,49,51,74,61
PA0430,48,30,98,26,14,21,12,16,21,22,31,20
PA0431,69,53,94,33,15,24,10,9,27,28,31,30
PA0432,379,166,552,247,91,123,77,108,182,135,241,185
PA0433,3,2,8,1,3,1,0,0,1,1,2,1
PA0434,7,7,7,3,9,5,3,6,4,11,14,1
PA0435,6,2,11,5,2,3,2,4,2,3,4,3
PA0436,73,46,120,56,53,68,44,27,62,57,88,49
PA0437,51,42,78,22,17,30,15,20,28,21,44,24
PA0438,18,13,19,8,8,6,3,1,6,4,16,4
PA0439,0,0,0,0,0,0,0,0,0,0,0,2
PA0440,2,2,2,1,1,2,0,0,1,4,0,1
PA0441,1,1,4,0,0,2,0,1,5,1,1,0
PA0442,1,0,0,0,0,0,0,0,2,2,0,0
PA0443,2,0,2,3,1,3,0,0,0,1,0,1
PA0444,6,1,7,10,4,3,3,2,2,5,6,2
PA0445,0,0,0,0,0,0,0,0,0,0,0,0
PA0446,23,64,49,38,19,21,10,11,24,16,36,28
PA0447,55,120,91,100,53,68,28,28,70,58,83,67
PA0448,11,13,35,6,4,3,4,5,8,4,7,4
PA0449,35,14,49,17,9,16,9,17,23,21,29,18
PA0450,9,7,24,12,4,9,5,8,8,6,10,4
PA0451,20,24,53,19,47,46,49,80,65,61,144,54
PA0452,20,11,13,33,55,49,35,61,46,52,101,46
PA0454,21,18,56,19,9,14,12,7,16,11,34,14
PA0455,44,21,75,33,12,18,7,4,17,17,29,17
PA0456,463,217,955,251,199,166,97,147,217,128,258,177
PA0457,22,12,19,9,4,7,3,0,9,9,16,6
PA0457.1,13,5,8,5,1,3,1,1,5,4,9,1
PA0458,8,10,43,9,6,5,6,6,8,10,10,6
PA0459,317,193,511,318,203,253,151,207,330,282,517,320
PA0460,78,86,122,86,69,67,32,55,74,65,122,69
PA0461,65,45,93,57,31,27,21,17,46,28,43,31
PA0462,35,36,51,46,24,35,27,27,24,29,65,31
PA0463,5,7,19,7,9,17,7,3,8,8,18,9
PA0464,18,9,31,9,9,7,3,2,5,3,8,8
PA0465,4,8,12,5,2,4,5,1,3,4,2,7
PA0466,4,0,5,1,1,2,2,0,4,3,4,3
PA0467,19,12,29,12,15,14,6,20,19,19,39,18
PA0468,28,13,42,16,18,15,8,22,20,30,44,23
PA0469,19,13,43,18,6,12,10,17,18,18,27,14
PA0470,27,11,26,10,8,8,3,10,14,11,22,11
PA0471,5,3,6,2,2,1,2,0,2,0,1,1
PA0472,7,6,1,2,2,2,0,1,3,5,4,2
PA0473,12,7,25,8,6,5,1,6,5,9,14,3
PA0474,0,0,3,0,1,1,0,0,0,1,0,1
PA0475,1,3,13,3,3,3,1,0,3,2,11,1
PA0476,17,9,30,13,11,10,4,7,11,10,21,4
PA0477,12,3,19,4,2,5,4,8,4,2,10,5
PA0478,3,6,12,2,5,2,0,3,3,5,4,3
PA0479,4,2,11,2,1,6,0,0,3,2,3,5
PA0480,4,2,3,1,0,1,0,0,0,1,1,0
