locusid,BioFWTBR1_S10,BioFWTBR2_S11,BioFWTBR3_S12,PlankWTBR1_S1,PlankWTBR2_S2,PlankWTBR3_S3
PA1872,1195,1392,1196,1008,981,931
PA1873,211,297,278,129,109,165
PA1874,4787,3840,3504,22391,17480,27545
PA1875,464,426,360,2209,1581,3026
PA1876,616,526,488,2804,2201,3182
PA1877,364,330,320,1697,1288,2301
PA1878,335,359,315,779,583,1084
PA1879,185,206,173,259,214,273
PA1880,1690,1642,1412,3195,2622,3571
PA1881,405,509,383,774,749,881
PA1882,162,156,179,144,140,159
PA1883,80,102,74,90,65,102
PA1884,140,144,103,122,80,116
PA1885,115,124,114,198,118,212
PA1886,1632,1450,1447,1309,1116,2022
PA1887,1372,1268,1333,1086,964,2216
PA1888,3299,3188,2815,1768,1509,3384
PA1889,1062,1080,1098,1253,1272,1978
PA1890,669,686,658,912,932,833
PA1891,65,40,43,243,217,170
PA1892,589,387,434,1645,1678,1544
PA1893,2051,1485,1469,6064,5460,4803
PA1894,2581,1807,1934,7960,8047,7126
PA1895,3413,2633,2740,8877,8770,8112
PA1896,1748,1251,1253,3572,3175,2887
PA1897,1671,1327,1253,3538,3655,3138
PA1898,1442,1939,1998,501,457,677
PA1899,12329,15319,13525,211,189,211
PA1900,19728,24705,21414,593,526,554
PA1901,15439,15656,12334,1185,822,842
PA1902,8828,9082,6867,533,468,403
PA1903,17993,17688,13765,1351,961,969
PA1904,7967,7406,6190,635,455,548
PA1905,6176,5994,5356,564,431,506
PA1906,3687,4071,3877,457,345,436
PA1907,1345,1529,1461,419,236,338
PA1908,79,79,65,249,174,197
PA1909,140,83,138,580,459,505
PA1910,334,280,329,708,481,619
PA1911,139,110,147,1005,639,737
PA1912,230,189,233,1142,837,921
PA1913,227,179,179,1534,2080,1510
PA1914,517,406,442,1861,1641,3050
PA1915,915,1094,1036,1435,1158,1469
PA1916,161,204,208,188,142,235
PA1917,51,49,44,40,38,39
PA1918,95,96,89,84,89,67
PA1919,428,446,447,486,340,341
PA1920,601,532,635,752,604,540
PA1921,130,69,260,49,37,47
