locusid,BioFWTBR1_S10,BioFWTBR2_S11,BioFWTBR3_S12,PlankWTBR1_S1,PlankWTBR2_S2,PlankWTBR3_S3
PA2395,4095,3287,3718,703,594,454
PA2396,14798,12097,15484,1428,1451,1242
PA2397,7972,6416,7852,1560,1351,1562
PA2398,22265,18177,21841,5012,4599,4316
PA2399,53858,45289,58652,9920,6763,9195
PA2400,41248,34470,44522,7839,5466,7857
PA2402,69455,56755,71241,8679,6462,7846
PA2403,4967,4840,5940,930,856,855
PA2404,1609,1534,1524,463,494,385
PA2405,1163,982,971,454,440,314
PA2406,622,512,442,241,228,160
PA2407,1271,972,1079,430,366,344
PA2408,669,557,652,287,212,193
PA2409,813,762,807,345,277,279
PA2410,1262,1167,1183,591,486,492
PA2411,6400,5197,6836,913,712,628
PA2412,5186,4713,6537,589,496,477
PA2413,7358,5349,6772,675,595,498
PA2414,486,570,561,463,349,471
PA2415,172,240,247,176,140,205
PA2416,224,256,205,264,206,262
PA2417,504,544,454,606,469,557
PA2418,177,218,202,137,94,147
PA2419,236,253,217,157,184,199
PA2420,118,156,144,74,71,111
PA2421,123,122,126,72,65,68
PA2422,181,229,255,76,56,108
PA2423,1220,1260,1298,1436,1135,1788
PA2424,28552,21399,27105,10717,7689,8246
PA2425,3593,3087,3717,302,355,239
PA2426,3384,3057,4354,4161,4948,3512
PA2427,2073,1676,2125,710,574,463
PA2428,128,126,136,160,134,132
PA2429,151,111,150,213,197,291
PA2430,353,278,264,542,473,642
PA2431,382,372,405,631,487,674
PA2432,317,341,378,184,140,171
PA2433,1950,2638,2407,1362,1089,2402
PA2434,562,453,677,390,265,386
PA2435,1100,1043,1127,666,453,651
PA2436,1393,1413,1382,337,324,313
PA2437,172,84,192,119,108,85
PA2438,285,130,307,200,169,132
PA2439,359,167,387,227,190,178
PA2440,209,159,194,186,180,161
PA2441,333,276,271,793,506,684
PA2442,713,652,583,1938,1527,2070
PA2443,1001,1056,891,2044,1451,2224
PA2444,380,321,424,1037,888,859
PA2445,1568,1285,1297,7175,6573,4569
PA2446,631,551,526,1247,1198,703
PA2447,142,153,131,141,108,114
PA2448,465,486,426,448,352,408
PA2449,844,882,821,665,695,498
PA2450,729,707,687,463,399,409
PA2451,681,566,630,205,170,192
PA2452,396,321,347,119,87,123
PA2453,830,1289,1041,234,286,249
PA2454,558,752,627,419,357,391
PA2455,1111,1542,1426,450,331,410
PA2456,2006,2854,2544,588,457,669
PA2457,601,781,631,357,252,405
PA2458,1137,1256,1157,2261,1435,2242
PA2459,186,147,182,222,150,217
PA2460,256,280,286,367,251,287
PA2461,932,1057,1067,525,328,511
PA2462,7962,7504,8054,19074,15616,18068
PA2463,469,509,447,814,952,639
PA2464,689,783,625,842,860,820
PA2465,36,56,43,103,79,82
PA2466,468,468,511,987,828,888
PA2467,338,340,343,1516,1262,1379
PA2468,616,554,625,2093,1798,1895
PA2469,259,223,203,211,168,184
PA2470,99,76,87,137,127,113
PA2471,93,53,79,128,128,125
PA2472,43,37,40,36,20,35
PA2473,43,25,34,29,17,37
PA2474,240,226,192,380,300,505
PA2475,569,588,546,1302,1107,1517
PA2476,246,230,269,369,305,361
PA2477,151,155,172,160,141,166
PA2478,177,182,222,182,141,188
PA2479,197,201,184,406,305,443
PA2480,311,228,211,1153,860,1005
PA2481,830,689,664,2941,2393,3041
PA2482,632,669,653,1772,1510,1666
PA2483,2508,2579,2607,1923,1559,2137
PA2484,732,790,785,803,707,814
PA2485,416,425,535,657,607,1081
PA2486,289,261,326,693,607,1045
PA2487,101,115,101,241,254,325
PA2488,101,101,76,64,62,72
PA2489,253,283,252,249,215,215
PA2490,90,114,127,101,85,100
PA2491,2035,1973,1967,2528,2157,2442
PA2492,943,976,907,961,1100,929
PA2493,71,69,90,80,66,60
PA2494,442,500,500,302,301,362
PA2495,118,125,120,99,91,72
PA2496,142,143,111,117,121,115
PA2497,186,206,200,160,123,141
PA2498,40,62,44,42,45,51
PA2499,23,23,20,38,28,26
PA2500,592,512,530,1724,1469,1266
PA2501,732,682,745,1935,1932,1797
PA2502,484,527,514,324,365,280
PA2503,1415,1412,1192,804,734,853
PA2504,3027,3135,2697,1618,1238,2194
PA2505,114,122,104,97,85,76
PA2506,26,35,37,24,8,23
PA2507,34,38,46,65,67,56
PA2508,25,37,29,43,43,54
PA2509,34,41,34,49,58,66
PA2510,116,82,102,156,137,153
PA2511,318,276,278,297,256,318
PA2512,299,232,264,109,108,112
PA2513,164,171,130,79,69,109
PA2514,129,117,97,116,68,111
PA2515,47,38,33,31,21,30
PA2516,34,31,37,21,23,37
PA2517,21,30,30,20,31,35
PA2518,115,122,111,77,65,97
PA2519,438,375,399,378,372,586
PA2520,382,388,384,401,302,417
PA2521,67,62,61,55,40,46
PA2522,12,13,19,11,17,10
PA2523,130,77,117,78,66,69
PA2524,331,301,315,222,168,207
PA2525,329,331,325,503,440,421
PA2526,658,730,740,545,531,461
PA2527,932,989,979,1022,926,974
PA2528,477,541,628,431,416,409
PA2529,803,805,737,649,627,562
PA2530,538,521,515,559,566,440
PA2531,2079,1855,1757,272,231,217
PA2532,2248,2168,2119,2810,2563,2531
PA2533,1672,1594,1672,1132,1064,992
PA2534,249,239,222,225,169,196
PA2535,383,357,299,312,304,365
PA2536,1814,1651,1507,2647,2684,2703
PA2537,1010,880,774,1382,1452,1354
PA2538,291,276,248,359,317,288
PA2539,742,830,723,761,731,711
PA2540,1810,1896,1561,2246,2319,2186
PA2541,1262,1441,1299,1046,998,1049
PA2542,1074,1158,1266,917,777,902
PA2543,697,778,731,521,506,552
PA2544,1041,1103,874,1389,1081,1470
PA2545,1388,1602,1464,1148,1415,1100
PA2546,396,404,418,356,328,372
PA2547,210,251,246,269,214,265
PA2548,169,171,148,135,103,138
PA2549,666,683,698,676,581,721
PA2550,405,397,372,2150,1340,1925
PA2551,944,1001,1030,900,789,1035
PA2552,484,406,475,935,809,830
PA2553,397,315,278,927,708,753
PA2554,165,126,115,493,438,497
PA2555,435,358,389,1109,1084,1132
PA2556,404,410,425,291,294,278
PA2557,352,327,360,213,184,233
PA2558,400,469,473,331,383,265
PA2559,1970,2154,1947,1452,1146,1453
PA2560,565,510,620,1614,1497,2127
PA2561,692,713,744,929,710,918
PA2562,2339,2488,2318,3351,2265,3742
PA2563,866,953,931,404,338,466
PA2564,1373,1528,1402,437,354,528
PA2565,1326,1576,1394,339,311,450
PA2566,4665,6433,5585,1081,837,1401
PA2567,2882,2891,2871,11292,9055,10656
PA2568,1322,1472,1552,2476,1882,2777
PA2569,389,470,452,279,236,331
PA2570,5358,5199,4876,522,298,940
PA2571,2660,2853,3098,3412,2501,5848
PA2572,4286,4482,4195,6727,5099,9615
PA2573,6370,6472,5978,8841,6298,13137
PA2574,763,860,911,1064,672,1704
PA2575,1921,1970,1855,1484,1245,1366
PA2576,304,368,364,318,213,321
PA2577,734,733,720,656,546,724
PA2578,532,548,551,628,477,729
PA2579,1362,1541,1381,1348,1127,1436
PA2580,669,698,708,417,311,443
PA2581,2445,2774,2722,1452,1574,1577
PA2582,3447,3657,3970,3003,2617,3194
PA2583,2873,2970,3311,3233,2772,3266
PA2584,1189,1232,1277,915,996,773
PA2585,1934,1962,2029,2251,2215,2348
PA2586,5345,6160,6459,4436,3592,5673
PA2587,1461,1366,1526,1646,1476,1552
PA2588,939,917,947,716,582,727
PA2589,322,312,309,224,151,209
PA2590,409,522,480,173,154,168
PA2591,2540,2900,3230,2260,1860,2940
PA2592,5130,4765,5680,4479,4808,4868
PA2593,569,635,646,387,377,370
PA2594,880,969,959,471,447,405
PA2595,248,280,260,247,216,276
PA2596,190,198,172,114,91,99
PA2597,316,409,292,138,108,133
PA2598,349,416,350,126,142,116
PA2599,482,533,503,208,194,207
PA2600,317,372,420,156,149,162
PA2601,349,352,322,461,453,522
PA2602,208,289,208,186,160,148
PA2603,386,407,345,425,397,296
PA2604,7409,7749,7958,14691,13171,15618
PA2605,571,507,445,797,589,667
PA2606,493,515,423,920,773,779
PA2607,597,643,573,839,827,812
PA2608,827,845,761,825,727,899
PA2609,1584,1676,1618,2360,2325,2794
PA2610,1076,1128,1115,1411,1234,1606
PA2611,2087,1989,2074,3385,2898,3365
PA2612,2735,2525,2519,4361,4227,4258
PA2613,2281,2239,2092,2703,2222,2402
PA2614,1958,1912,1984,2624,2680,2315
PA2615,5483,5852,5838,6062,5437,5484
PA2616,3487,3816,3560,4116,3851,4013
PA2617,735,792,709,603,602,624
PA2618,3762,4971,3993,3381,2802,5056
PA2619,3072,3798,3988,891,1227,937
PA2620,46130,53725,47914,44915,32834,62794
PA2621,8096,9652,9503,10423,8331,15456
PA2622,13097,15918,14468,8084,7177,11210
PA2623,27945,29132,27688,49349,43598,47725
PA2624,5394,5144,4855,30453,29485,27703
PA2625,317,339,312,683,670,582
PA2626,2482,2625,2576,2260,2634,2020
PA2627,878,920,834,1117,1115,856
PA2628,506,588,527,346,383,355
PA2629,2569,2513,2338,2122,2814,1612
PA2630,2013,2169,2130,2397,2124,2111
PA2631,1601,1697,1573,2161,1735,2190
PA2632,1343,1317,1151,1637,1615,1850
PA2633,2871,2756,2542,2854,2787,3333
PA2634,3634,3934,3453,16973,15131,29296
PA2635,404,466,459,215,192,291
PA2636,205,239,223,246,196,250
PA2637,5004,5565,5669,4477,4851,4648
PA2638,9627,9933,9733,10400,10601,10493
PA2639,7574,8114,7747,10640,11003,8801
PA2640,3098,3448,3128,4784,5246,4215
PA2641,4776,5080,4316,8870,8131,7618
PA2642,9302,8890,8473,16010,14885,12879
PA2643,3959,4091,3654,7677,7204,6774
PA2644,2611,2496,2407,5122,4672,5015
PA2645,2043,2050,1980,3980,3563,4018
PA2646,1489,1458,1289,2235,2324,2120
PA2647,5247,5153,4732,10478,10513,9478
PA2648,4328,4313,3962,8816,8772,8236
PA2649,3684,3548,3312,8218,8228,7932
PA2650,165,180,173,238,235,193
PA2651,1551,1805,1843,1971,2118,1971
PA2652,1276,1371,1337,2073,1854,1810
PA2653,379,349,379,356,288,313
PA2654,1780,1806,1669,5479,4410,5873
PA2655,260,231,206,740,624,888
PA2656,574,703,688,712,620,712
PA2657,892,925,798,1222,983,1120
PA2658,1516,1734,1457,1931,1676,2213
PA2659,1868,2022,1754,2570,2439,2956
PA2660,240,208,198,130,138,115
PA2661,426,412,408,1248,947,963
PA2662,734,741,675,7013,4995,4458
PA2663,409,442,436,3009,2511,1911
PA2664,534,790,515,9988,8893,6702
PA2665,440,470,448,355,250,272
PA2666,450,452,507,344,351,360
PA2667,5830,6034,6734,4959,5382,4990
PA2668,630,627,688,868,684,874
PA2669,274,329,314,213,162,218
PA2670,197,199,214,174,151,202
PA2671,171,189,195,142,139,190
PA2672,52,87,71,42,35,58
PA2673,104,136,144,81,63,114
PA2674,123,185,179,107,75,117
PA2675,92,162,151,97,76,109
PA2676,91,148,129,84,70,108
PA2677,216,251,273,231,215,272
PA2678,316,331,331,304,283,416
PA2679,516,546,507,5844,4155,6782
PA2680,61,67,50,84,73,87
PA2681,106,102,94,190,136,156
PA2682,490,444,388,866,925,807
PA2683,567,500,491,536,482,444
PA2684,2010,2153,2005,1213,1116,1233
PA2685,2788,3176,2938,1068,1077,1112
PA2686,697,592,669,1992,1615,1276
PA2687,484,445,545,1658,1430,1302
PA2688,359,408,381,552,463,463
PA2689,131,136,121,220,157,244
PA2690,2161,2591,2553,2883,2128,3565
PA2691,317,375,361,321,214,354
PA2692,233,326,321,208,191,201
PA2693,99,120,125,105,98,96
PA2694,159,173,150,186,145,164
PA2695,492,464,421,399,419,297
PA2696,331,382,347,323,268,337
PA2697,75,53,50,66,58,58
PA2698,284,304,290,495,434,441
PA2699,333,281,275,281,229,288
PA2700,261,290,270,139,108,129
PA2701,208,241,201,233,202,207
PA2702,617,633,586,519,453,558
PA2703,309,330,279,266,290,282
PA2704,642,552,486,1004,881,1292
PA2705,1602,1763,1846,1697,1430,1828
PA2706,770,909,818,913,699,838
PA2707,2241,2632,2299,2525,2357,2402
PA2708,392,497,542,442,341,719
PA2709,2418,2356,2426,2889,2787,2621
PA2710,554,516,506,690,676,607
PA2711,303,296,333,418,373,453
PA2712,182,159,193,261,234,283
PA2713,429,367,380,421,373,455
PA2714,215,231,262,185,147,158
PA2715,50,54,51,67,43,55
PA2716,220,208,206,295,225,283
PA2717,725,649,694,1202,968,1392
PA2718,617,681,627,592,534,566
PA2719,335,412,347,349,304,378
PA2720,551,529,573,442,545,411
PA2721,509,575,490,776,643,957
PA2722,401,403,391,549,469,634
PA2723,528,630,627,550,473,652
PA2724,75,78,113,118,140,123
PA2725,1294,1201,1135,1744,1485,1516
PA2726,421,443,413,502,435,473
PA2727,860,791,661,1251,1145,939
PA2728,780,770,657,1271,1112,1109
PA2729,251,259,224,498,349,392
PA2730,2876,3123,3185,3293,2822,3459
PA2731,1765,1615,1844,1920,1588,1889
PA2732,8774,9422,10195,10579,8608,11436
PA2733,1822,1975,2003,2166,1930,2443
PA2734,4158,4610,4812,4959,4169,4761
PA2735,6458,6967,7281,7106,6562,6404
PA2736,1495,1709,1704,675,689,699
PA2737,5877,7266,7167,6658,5364,7619
PA2738,13371,16684,16750,15724,12354,18943
PA2739,7708,8622,8484,12902,9644,11449
PA2740,3016,2846,2721,3881,4409,3179
PA2741,47738,50343,60213,52874,42609,48897
PA2742,50749,53918,59715,56615,54237,55187
PA2743,55587,59315,67519,49223,46264,48410
PA2744,14460,13804,15641,13193,13935,11325
PA2745,198,223,230,319,282,295
PA2746,2312,2429,2498,1136,935,1390
PA2747,5785,7649,6364,7593,6448,17273
PA2748,475,570,575,396,363,356
PA2749,288,323,361,204,186,175
PA2750,264,290,279,189,186,200
PA2751,299,450,404,512,498,694
PA2752,143,157,166,93,85,75
PA2753,5831,5496,5190,4400,3044,3202
PA2754,3794,3941,3361,6007,4438,5632
PA2755,1078,1364,1210,1015,1153,1023
PA2756,3048,2983,3547,2951,1774,3373
PA2757,103,111,112,41,40,38
PA2758,268,317,297,271,216,270
PA2759,2755,2845,2447,1087,952,1150
PA2760,33645,35862,31837,14915,16674,12226
PA2761,1714,1613,1777,613,448,730
PA2762,599,536,596,243,201,271
PA2763,282,291,304,379,238,413
PA2764,948,869,964,960,815,1015
PA2765,1225,1379,1202,710,755,557
PA2766,217,255,238,148,170,122
PA2767,133,157,169,104,101,100
PA2768,172,175,174,142,106,144
PA2769,400,351,357,546,385,503
PA2770,1370,1721,1576,1007,846,1022
PA2771,1379,1581,1509,1532,1391,1665
PA2772,458,443,459,381,297,389
PA2773,264,320,346,231,227,227
PA2774,609,710,591,465,426,356
PA2775,854,957,873,369,405,290
PA2776,919,1045,1077,1164,937,1332
PA2777,647,743,771,732,569,1182
PA2778,1011,799,803,2276,1639,3244
PA2779,2326,2401,2182,3843,3218,7216
PA2780,1722,1776,1831,516,452,688
PA2781,1661,1757,1548,585,473,748
PA2782,557,833,375,43,54,41
PA2783,1174,2002,1614,89,86,95
PA2784,273,444,210,92,70,72
PA2785,136,208,127,40,33,42
PA2786,454,611,601,99,84,80
PA2787,1065,1076,1023,2599,1770,2696
PA2788,2676,2651,2604,6173,4205,6487
PA2789,168,223,185,192,178,171
PA2790,638,638,658,1493,1386,2152
PA2791,200,274,262,421,410,553
PA2792,507,529,487,474,488,492
PA2793,1552,1602,1567,729,799,723
PA2794,1117,1030,1056,1329,1012,1437
PA2795,648,710,717,771,835,567
PA2796,2631,2604,2483,4259,3868,3939
PA2797,3772,4176,4369,3295,2641,3812
PA2798,8154,8984,9288,5055,4658,6304
PA2799,1566,1507,1372,2476,1835,3142
PA2800,4770,4641,4663,4657,4674,5057
PA2801,551,710,653,458,433,413
PA2802,787,972,832,595,616,572
PA2803,64,79,88,73,62,79
PA2804,62,55,65,79,44,78
PA2805,2533,2798,2847,5396,4423,4948
PA2806,530,549,586,464,462,407
PA2807,96,121,113,80,78,111
PA2808,165,201,176,71,79,80
PA2809,304,418,342,291,271,282
PA2810,347,307,296,301,238,298
PA2811,1134,1153,1229,924,977,969
PA2812,1507,1509,1478,1150,1234,1122
PA2813,968,966,931,1000,932,1047
PA2814,503,579,561,525,446,520
PA2815,4419,5093,4089,5993,4896,6263
PA2816,682,722,652,419,362,452
PA2817,842,895,877,554,542,611
PA2818,943,1005,989,882,764,800
PA2819,4205,4838,5934,452,380,425
PA2820,1395,1331,1412,1868,1650,1757
PA2821,1254,1195,1224,2325,1880,2226
PA2822,903,987,952,1350,1104,1244
PA2823,934,996,1065,773,743,694
PA2824,2341,2611,2494,2558,2001,2761
PA2825,861,814,877,797,661,901
PA2826,1213,1077,1201,487,504,665
PA2827,1515,1533,1594,1560,1224,1979
PA2828,1739,1809,1651,751,1000,670
PA2829,228,232,243,139,147,112
PA2830,2968,2250,2576,2556,2276,2238
PA2831,1068,1160,1015,1136,1257,941
PA2832,989,945,1017,740,692,659
PA2833,102,95,102,98,79,83
PA2834,450,514,510,515,451,509
PA2835,85,105,83,54,55,46
PA2836,45,43,42,39,35,39
PA2837,33,44,42,39,45,50
PA2838,233,229,320,127,75,140
PA2839,129,146,145,135,115,155
PA2840,558,552,539,1098,1460,749
PA2841,709,803,574,485,414,459
PA2842,685,753,773,431,457,446
PA2843,876,878,884,808,812,665
PA2844,256,247,236,301,278,263
PA2845,87,96,73,65,47,79
PA2846,318,344,314,345,261,278
PA2847,235,282,228,185,137,152
PA2848,75,76,71,126,114,98
PA2849,477,519,522,194,178,214
PA2850,252,180,228,237,264,234
PA2851,9788,9944,10278,5035,7001,4079
PA2852,491,506,498,496,414,468
PA2853,132459,148596,149665,363948,261756,395886
PA2854,3581,3608,3682,6294,5565,5456
PA2855,662,772,772,957,753,998
PA2856,1179,1343,1341,857,841,843
PA2857,260,348,322,301,367,269
PA2858,451,444,398,690,623,482
PA2859,708,724,614,687,591,533
PA2860,1610,1899,1599,710,709,592
PA2861,111,124,126,108,79,102
PA2862,3955,2987,3099,4369,3780,7396
PA2863,266,181,214,280,232,296
PA2864,1493,1739,1653,3811,3216,4414
PA2865,1572,1740,1655,1417,1218,1477
PA2866,260,261,283,299,266,231
PA2867,1586,1474,1600,6553,5367,5230
PA2868,385,434,432,1108,905,1133
PA2869,336,310,338,429,365,586
PA2870,633,659,608,811,707,1042
PA2871,737,714,657,751,614,621
PA2872,360,391,357,267,250,257
PA2873,1195,1458,1188,580,469,573
PA2874,434,495,419,215,139,181
PA2875,1970,2306,1909,695,661,838
PA2876,308,221,261,217,220,138
PA2877,301,340,323,339,310,316
PA2878,164,149,185,258,148,289
PA2879,151,173,183,403,270,361
PA2880,58,65,81,84,95,91
PA2881,77,90,102,103,110,121
PA2882,79,108,125,96,113,119
PA2883,2641,3317,3555,3048,2175,4952
PA2884,992,1153,1162,1001,910,1145
PA2885,634,769,721,621,516,639
PA2886,372,477,428,99,104,81
PA2887,285,297,249,75,52,62
PA2888,387,483,375,118,135,85
PA2889,508,617,561,292,222,246
PA2890,76,101,86,45,38,36
PA2891,232,248,227,138,117,98
PA2892,186,176,170,106,96,112
PA2893,702,797,800,997,780,1051
PA2894,539,647,602,749,570,854
PA2895,430,471,490,567,461,608
PA2896,744,722,802,659,652,817
PA2897,6054,5675,6058,11443,10174,12800
PA2898,56,78,53,69,79,73
PA2899,546,589,567,630,509,648
PA2900,1365,1372,1329,977,1111,806
PA2901,1489,1497,1447,748,913,667
PA2902,1543,1567,1467,1018,1075,827
PA2903,565,481,476,1017,791,702
PA2904,520,407,421,777,638,571
PA2905,237,232,214,352,300,208
PA2906,872,940,891,707,578,488
PA2907,231,192,193,217,234,174
PA2908,212,166,157,253,215,164
PA2909,67,25,50,67,62,59
PA2910,119,122,134,68,69,67
PA2911,1951,1620,2348,1090,1374,763
PA2912,294,211,359,159,202,112
PA2913,393,288,408,294,296,204
PA2914,364,289,382,444,365,328
PA2915,655,564,670,860,773,754
PA2916,28,25,31,27,32,17
PA2917,246,314,291,251,241,295
PA2918,825,890,882,1227,927,1767
PA2919,241,240,233,471,354,674
PA2920,1525,1483,1437,3090,2269,4103
PA2921,176,185,164,112,106,75
PA2922,25,31,34,33,31,32
PA2923,30,41,50,54,42,29
PA2924,54,68,76,60,50,58
PA2925,91,129,121,100,76,110
PA2926,102,134,106,111,71,99
PA2927,284,345,293,285,219,241
PA2928,174,209,179,136,107,104
PA2929,119,141,105,102,110,90
PA2930,341,372,297,252,225,199
PA2931,711,898,927,340,264,332
PA2932,239,135,200,65,55,53
PA2933,48,35,35,46,17,30
PA2934,220,209,230,136,119,146
PA2935,88,113,117,54,50,50
PA2936,71,65,48,41,41,27
PA2937,4145,5357,3717,631,563,1034
PA2938,1168,1249,1149,403,331,461
PA2939,6383,5499,5302,6524,5427,7605
PA2940,387,375,408,306,255,339
PA2941,112,76,88,176,147,114
PA2942,357,319,300,390,401,255
PA2943,346,347,322,774,782,526
PA2944,2076,1816,1760,3705,3523,2537
PA2945,2712,2380,2270,3578,3707,2753
PA2946,5098,4547,3977,6389,6592,4769
PA2947,284,209,178,492,568,288
PA2948,683,603,517,1536,1602,1163
PA2949,726,670,640,1098,978,1000
PA2950,4456,4579,4320,3883,4513,3102
PA2951,12983,12469,11112,13232,13380,10197
PA2952,10616,10678,9438,10250,10918,8705
PA2953,5872,6523,5784,4161,4097,3452
PA2954,497,557,519,603,490,637
PA2955,777,787,752,738,564,770
PA2956,910,1055,1049,526,482,488
PA2957,2437,2814,2826,1072,1117,1371
PA2958,1583,1946,1797,1018,962,1064
PA2959,3056,3616,3478,2104,1770,2016
PA2960,3141,3877,3673,1114,1188,1019
PA2961,951,966,1020,1425,1262,1164
PA2962,453,399,399,692,634,547
PA2963,1173,1196,1318,1026,1020,1053
PA2964,778,717,765,1214,1012,975
PA2965,6136,5829,6010,5317,5780,4660
PA2966,39079,44517,44084,26647,23727,22517
PA2967,7333,7460,7265,8840,7487,7204
PA2968,2096,2026,1949,2809,2512,1778
PA2969,3205,3545,3669,1581,1750,1314
PA2970,10220,11399,12188,4377,5537,3600
PA2971,11583,12362,14281,3362,3908,2828
PA2972,274,325,346,387,286,284
PA2973,2742,2526,2917,4023,3644,3749
PA2974,1711,1624,1752,1940,1661,1765
PA2975,1887,1947,2132,1926,1848,1716
PA2976,8055,7718,7115,13063,13326,10660
PA2977,1715,1638,1710,1168,1047,1068
PA2978,1244,1305,1293,1223,1077,942
PA2979,2178,2172,2010,1921,1859,1524
PA2980,1647,1637,1529,1059,986,907
PA2981,2651,3063,2650,1088,981,962
PA2982,3201,4230,3615,939,1041,827
PA2983,3917,5133,4525,904,1053,827
PA2984,426,468,408,421,230,351
PA2985,507,515,539,496,496,479
PA2986,876,949,1016,1298,1365,1048
PA2987,665,685,736,1108,1214,918
PA2988,1497,1337,1495,1212,1587,1185
PA2989,1289,1329,1391,850,893,1085
PA2990,1970,2300,2092,3150,2632,3104
PA2991,4451,4789,4523,8048,8185,8109
PA2992,888,1042,966,1194,840,1161
PA2993,1548,1673,1556,1932,1492,1772
PA2994,3240,3375,2953,3423,2695,2805
PA2995,2090,2207,2013,2293,2085,1851
PA2996,2445,2719,2440,2826,2580,2215
PA2997,2296,2460,2198,2261,2353,1836
PA2998,3492,3658,3342,3020,3423,2481
PA2999,4374,4761,4417,2600,3332,2213
PA3000,1335,1371,1432,1305,1303,1198
PA3001,11868,11277,10774,9978,11945,7764
PA3002,3643,3680,3699,4170,4098,3438
PA3003,982,1025,1000,1297,1263,1183
PA3004,1039,964,973,1105,1145,982
PA3005,1076,1092,1039,908,1059,712
PA3006,5779,6792,6507,3320,3069,2672
PA3007,1191,1281,1264,1676,1756,1576
PA3008,1543,1538,1648,2018,1968,1933
PA3009,1392,1334,1668,1103,1091,1000
PA3010,1837,1733,1995,1567,1329,1506
PA3011,8973,9127,9266,6519,6885,6149
PA3012,719,870,835,471,404,544
PA3013,4306,4089,4007,6435,5446,5286
PA3014,6366,6912,6119,7356,6788,5680
PA3015,520,620,586,389,344,420
PA3016,236,247,242,202,196,228
PA3017,3659,4529,3887,3461,2620,3964
PA3018,771,853,824,890,727,872
PA3019,1684,1532,1631,1271,1618,1129
PA3020,1985,2166,1981,3329,3180,3209
PA3021,1968,1921,1790,3018,2800,3165
PA3022,3447,3384,3284,3003,2679,2720
PA3023,676,692,667,1190,798,1454
PA3024,350,402,383,705,569,550
PA3025,188,195,183,414,347,287
PA3026,485,479,393,845,803,643
PA3027,1039,1062,1112,864,869,704
PA3028,1235,1069,1045,1756,1450,1304
PA3029,1291,1306,1333,1282,1387,1247
PA3030,191,221,189,163,170,173
PA3031,14882,16821,18265,21556,19269,23154
PA3032,2032,1879,1815,372,343,593
PA3033,509,549,588,461,511,490
PA3034,764,829,838,735,682,615
PA3035,159,139,144,135,116,132
PA3036,161,167,155,110,94,91
PA3037,229,245,239,165,106,150
PA3038,9443,8781,8352,44411,41377,61617
PA3039,294,368,332,521,429,517
PA3040,4314,5548,4367,7318,6636,8797
PA3041,3506,4170,3365,5773,4632,6516
PA3042,1269,1381,1369,1884,1346,2118
PA3043,1386,1460,1367,2298,2341,2208
PA3044,379,406,438,647,636,573
PA3045,99,121,99,102,91,113
PA3046,1032,1016,1016,1547,1474,1467
PA3047,1110,1074,1145,1744,1535,1366
PA3048,1431,1340,1391,1388,1289,1205
PA3049,57440,66439,68095,39740,30472,65761
PA3050,2111,2072,1881,1360,1428,1207
PA3051,268,391,339,309,259,300
PA3052,869,921,810,1493,1283,1282
PA3053,594,699,647,655,647,707
PA3054,1347,1292,1214,2114,2056,1763
PA3055,693,835,888,712,537,692
PA3056,429,500,502,291,196,306
PA3057,201,221,194,95,82,119
PA3058,469,540,483,228,171,258
PA3059,337,348,295,124,119,116
PA3060,182,160,138,84,69,70
PA3061,315,278,223,93,95,66
PA3062,107,92,78,42,24,32
PA3063,417,366,351,172,114,118
PA3064,510,536,509,230,175,244
PA3065,102,84,69,131,107,128
PA3066,330,315,292,442,287,383
PA3067,125,144,142,232,184,186
PA3068,8538,8061,8399,18110,17053,17784
PA3069,156,193,183,371,364,347
PA3070,1654,2017,1967,1760,1739,1555
PA3071,374,435,334,650,591,500
PA3072,77,90,59,173,133,110
PA3073,289,300,239,424,336,323
PA3074,426,433,366,565,455,454
PA3075,487,560,457,746,614,586
PA3076,481,481,441,794,629,754
PA3077,227,258,247,414,365,390
PA3078,492,549,452,903,726,891
PA3079,1970,1853,2070,2371,2241,3238
PA3080,898,825,751,1108,939,1167
PA3081,958,1136,822,658,592,659
PA3082,1580,2014,1385,1066,1018,916
PA3083,4900,4794,4807,10297,9425,9445
PA3084,1562,1591,1564,1677,2257,1498
PA3085,904,892,923,837,965,825
PA3086,829,769,875,1106,874,1112
PA3087,947,935,833,1415,1278,1436
PA3088,1383,1426,1381,1514,1608,1583
PA3089,336,351,276,962,724,1222
PA3090,613,689,521,271,232,322
PA3091,3444,4881,3818,795,642,892
PA3092,427,541,427,308,317,286
PA3093,673,679,696,427,412,287
PA3094,1988,1753,2531,671,532,546
PA3095,175,161,165,285,220,231
PA3096,513,513,488,639,497,534
PA3097,673,640,666,418,336,400
PA3098,587,530,490,523,427,526
PA3099,446,396,357,416,330,326
PA3100,1058,1130,1047,1142,926,1091
PA3101,2381,2694,2727,2232,2103,2419
PA3102,1552,1703,1645,1680,1378,1574
PA3103,2587,2867,2431,2811,2554,2785
PA3104,2840,3409,3067,2031,1838,1940
PA3105,4799,5013,4880,4928,5035,4599
PA3106,986,895,863,1597,1412,1059
PA3107,2316,2321,2106,3361,3208,2514
PA3108,4882,5048,4765,4720,5389,4137
PA3109,1243,1390,1471,656,579,558
PA3110,1423,1497,1396,2100,1679,1920
PA3111,2833,2848,2872,4616,4106,3501
PA3112,3221,3193,3167,4256,4634,3242
PA3113,2214,2103,2039,1645,1469,1468
