"gene_id","empty_NI_1","empty_NI_2","empty_NI_3","pit2_NI_1","pit2_NI_2","pit2_NI_3","empty_I_1","empty_I_2","empty_I_3","pit2_I_1","pit2_I_2","pit2_I_3"
"PA3656",4938,1205,1046,6578,3739,2879,3234,37197,40362,3145,4036,4138
"PA3655",3171,680,476,4594,1697,1531,1774,18711,20987,1878,2275,2262
"PA3654",840,125,89,1095,442,350,399,2392,2480,432,695,648
"PA3653",1853,227,167,2134,782,594,780,2448,2924,700,1031,1399
"PA3652",1235,105,78,1348,312,258,492,1763,1866,466,421,554
"PA3651",277,21,26,338,78,52,81,695,674,119,65,98
"PA3650",797,74,44,867,240,142,336,848,985,354,221,262
"PA3649",1720,307,209,1778,999,670,875,814,866,981,698,1026
"PA3648",3121,565,568,3572,2231,1504,1995,6239,6518,1744,2871,2821
"PA3647",1959,339,218,1845,759,673,949,1313,1330,850,1354,1518
"PA3646",1524,148,111,1859,574,429,792,2440,2963,723,855,973
"PA3645",560,119,92,545,242,185,180,1424,1805,220,447,495
"PA3644",1368,207,133,1605,596,483,533,2948,3223,609,953,1084
"PA3643",463,43,48,567,174,97,166,1507,1734,196,261,318
"PA3642",157,5,6,221,61,34,59,409,472,68,86,146
"PA3641",247,49,38,341,191,171,217,3201,3541,238,143,167
"PA3640",2902,363,416,3175,1779,1302,1905,5251,5997,1874,1707,2023
"PA3639",2084,248,197,2710,949,798,755,2637,2887,921,1324,1765
"PA3638",433,19,16,512,76,74,160,236,275,247,79,141
"PA3637",3791,343,446,6872,2194,1537,1885,6334,6836,1746,3169,3383
"PA3636",1626,150,212,2094,534,439,834,2322,2626,614,942,849
"PA3635",4021,376,317,6718,1789,1324,1666,5224,5964,1387,2525,2979
"PA3634",238,46,43,240,113,92,123,379,425,140,129,146
"PA3633",101,6,13,153,64,41,61,321,310,80,48,63
"PA3632",82,16,16,78,58,54,18,167,206,9,94,119
"PA3631",399,45,32,474,135,106,153,564,732,177,147,188
"PA3630",175,28,32,187,88,82,101,84,100,145,69,106
"PA3629",1761,361,232,2431,1135,967,954,1790,1877,1051,1016,1344
"PA3628",1174,96,133,964,397,306,651,632,707,575,357,537
"locus_tag=AJBOOFMH_02009",7,1,0,11,1,1,4,13,2,6,3,4
"PA3626",609,46,39,752,191,158,267,607,668,264,215,368
"PA3625",655,74,55,748,362,276,463,945,1199,342,233,337
"PA3624",1210,177,176,1012,749,571,766,1086,1312,687,562,773
"PA3623",10139,2908,2629,14588,9081,8382,6814,1123,1363,4468,3863,5031
"PA3622",31362,6875,7667,48885,24736,22371,26547,1334,2352,10508,8301,9565
"PA3621",695,111,62,821,173,190,196,1352,1361,224,499,605
"PA3620",1245,71,97,1592,446,400,518,2746,2864,574,580,661
"PA3619",318,44,26,539,221,187,164,78,89,130,87,63
"PA3618",222,34,20,246,156,108,135,112,114,210,109,117
"PA3617",7707,1592,1079,8932,5428,4339,5353,3172,3602,6506,2900,4108
"PA3616",276,19,24,259,123,83,157,249,220,243,76,113
"PA3615",2648,582,436,2917,1626,1465,1698,370,385,1794,1540,1829
"PA3614",6710,554,499,7452,2135,1944,2686,1015,1013,2631,2110,3159
"PA3613",7898,202,183,11621,714,748,1071,2166,2328,1115,2877,3288
"PA3612",42,12,2,88,47,18,35,112,128,28,41,55
"PA3611",191,28,29,274,165,144,103,387,336,116,211,229
"PA3610",16,8,7,19,11,6,1,778,928,24,18,16
"PA3609",5,2,1,2,10,3,10,250,333,0,6,3
"PA3608",13,6,2,11,16,20,10,229,252,17,8,7
"PA3607",42,6,3,51,22,34,48,305,409,64,9,32
"PA3606",181,14,14,225,85,71,108,134,117,147,80,80
"PA3605",81,11,3,82,39,20,42,90,75,34,35,47
"PA3604",396,65,48,484,223,160,221,487,499,372,259,306
"PA3603",46,16,4,41,39,23,32,135,114,31,30,58
"PA3602",350,32,11,923,86,100,103,799,891,86,259,328
"PA3601",193,217,126,150,415,481,361,64,77,374,130,160
"PA3600",93,27,8,71,97,105,79,1,2,113,30,30
"PA3599",284,29,39,396,171,93,207,124,104,221,81,139
"PA3598",161,20,10,113,75,59,91,21,40,155,26,75
"PA3597",64,10,9,57,34,28,16,18,6,34,21,29
"PA3596",203,21,25,286,44,44,109,5,9,118,86,75
"PA3595",37,10,2,55,27,17,28,22,26,38,25,31
"PA3594",52,8,3,81,42,31,52,87,70,42,40,41
"PA3593",71,4,6,61,17,14,22,9,7,53,14,25
"PA3592",37,2,0,50,19,7,18,2,6,18,6,13
"PA3591",12,6,0,12,5,6,11,3,1,3,3,4
"PA3590",96,3,6,110,28,30,39,26,19,57,20,28
"PA3589",20,5,4,48,2,4,19,12,9,16,2,17
"PA3588",63,14,4,57,29,27,36,7,12,34,21,27
"PA3587",446,98,64,571,319,180,269,215,245,513,166,238
"PA3586",56,14,10,33,13,15,14,5,18,14,13,13
"PA3585",35,13,3,52,30,27,25,96,106,51,22,60
"PA3584",244,69,49,372,132,145,216,4225,4253,383,105,112
"PA3583",208,29,17,309,111,83,84,399,421,125,197,240
"PA3582",1798,125,158,3160,618,752,812,1026,1218,1047,595,844
"PA3581",148,20,23,286,108,68,100,844,824,148,53,75
"PA3580",84,18,22,137,76,33,58,613,708,121,40,80
"PA3579",161,11,7,204,56,29,84,782,763,131,68,103
"PA3578",1064,229,135,855,720,645,735,283,324,605,296,396
"PA3576",1122,116,73,1094,364,299,613,132,161,604,260,451
"PA3575",35,6,5,84,16,3,15,105,162,35,51,70
"PA3574.1",201,24,20,204,125,124,101,52,74,427,245,372
"PA3574",408,100,62,378,226,162,201,261,305,192,254,320
"PA3573",213,23,14,256,80,58,90,132,88,183,116,80
"PA3572",3500,197,219,4140,574,336,727,377,418,799,2310,2658
"PA3571",144,24,13,171,49,42,105,75,44,84,60,68
"PA3570",104795,6266,9675,204691,39451,33336,47676,777,1578,56144,104373,129638
"PA3569",33597,2238,2417,55322,9388,7874,14207,294,481,18221,24970,36037
"PA3568",44648,1215,1890,85330,7051,5968,9805,193,281,15043,42587,66931
"PA3567",311,32,32,425,130,140,199,680,739,308,118,154
"PA3566",86,9,19,90,55,83,118,365,442,112,23,70
"PA3565",747,32,31,758,98,83,141,67,85,310,459,737
"locus_tag=AJBOOFMH_02072",214,4,4,267,26,10,64,3,17,89,50,137
"PA3564",115,0,5,145,11,7,49,51,61,44,9,24
"PA3563",339,15,23,402,103,65,214,427,426,269,86,144
"PA3562",767,73,46,871,202,235,387,566,589,436,140,225
"PA3561",529,24,13,381,81,120,211,180,180,199,76,106
"PA3560",614,46,29,536,85,91,234,170,122,263,72,124
"PA3559",165,18,12,314,55,50,61,1673,1638,80,54,80
"PA3558",11,1,0,15,0,4,3,102,63,4,3,5
"PA3557",7,1,0,2,1,5,3,52,62,6,0,5
"PA3556",45,4,8,91,25,7,19,607,749,19,12,16
"PA3555",18,0,0,54,2,3,6,220,246,23,1,2
"PA3554",258,27,23,444,91,69,101,2858,2830,90,57,67
"PA3553",65,4,1,172,10,3,21,879,808,39,17,14
"PA3552",69,7,3,197,27,31,31,1042,1058,55,31,44
"PA3551",498,85,78,414,293,227,360,34,53,393,179,194
"PA3550",125,7,6,122,59,53,100,12,21,107,37,50
"PA3549",33,4,2,43,27,15,24,2,8,33,16,15
"PA3548",60,16,7,51,38,20,24,5,26,29,30,20
"PA3547",70,13,2,39,36,21,42,2,15,45,14,13
"PA3546",62,10,7,48,40,34,32,17,6,30,15,21
"PA3545",50,9,8,28,20,19,28,17,25,26,21,25
"PA3544",45,2,3,89,23,26,39,7,10,32,16,23
"PA3543",17,1,1,24,5,6,8,1,16,17,3,11
"PA3542",25,5,1,35,14,15,18,21,15,9,19,12
"PA3541",24,4,5,27,29,19,20,5,1,32,12,12
"PA3540",62,5,3,72,35,29,44,14,18,20,16,30
"PA3539",247,37,22,462,96,105,100,452,549,78,260,215
"PA3538",621,63,59,852,304,229,300,780,904,410,453,601
"PA3537",486,84,58,766,258,177,297,886,717,359,321,473
"PA3536",440,58,26,518,180,107,249,96,105,236,85,133
"PA3535",5231,187,150,7375,824,638,1732,214,318,63,45,66
"PA3534",906,37,30,2557,203,137,248,59,81,324,392,691
"PA3533",1632,641,371,1892,1073,1043,881,1094,1262,1245,1428,1586
"PA3532",82,11,4,102,32,36,37,91,132,62,37,35
"PA3531",721,168,45,1587,290,305,217,2566,2883,296,3439,4594
"PA3530",382,353,232,314,1300,724,430,68,95,584,157,129
"PA3529",9079,2512,1944,9132,5690,5345,6234,4761,5464,4915,5328,5861
"PA3528",780,63,76,862,478,327,465,826,890,507,373,527
"PA3527",545,70,56,1024,367,250,380,1236,1221,523,376,494
"PA3526",1963,191,128,2827,634,509,1053,162,118,1578,493,789
"PA3525",3835,460,324,6029,1890,1557,1773,3072,3193,2108,3240,3656
"PA3524",474,154,63,784,278,228,200,1132,1228,280,603,731
"PA3523",51,4,0,52,15,35,13,4,1,64,1,19
"PA3522",119,15,11,129,63,66,91,26,35,137,49,46
"PA3521",47,4,3,45,13,12,39,14,6,62,15,20
"PA3520",66,41,32,48,43,41,43,1,8,31,28,11
"PA3519",66,11,8,115,27,26,19,2,18,22,48,53
"PA3518",52,0,0,96,12,12,10,5,0,19,35,55
"PA3517",91,5,0,107,28,24,55,33,19,73,37,58
"PA3516",182,14,13,255,73,68,120,6,18,102,67,93
"PA3515",193,35,15,219,112,81,106,17,30,119,109,119
"PA3514",86,5,7,132,41,32,37,16,21,89,27,71
"PA3513",75,5,1,214,7,15,44,7,5,61,25,50
"PA3512",84,7,8,151,34,37,29,5,14,27,37,68
"PA3511",51,0,9,90,14,9,25,0,1,38,9,21
"PA3510",159,52,27,214,116,100,82,14,39,163,173,205
"PA3509",150,4,2,207,24,24,62,12,13,120,18,40
"PA3508",259,16,17,340,77,80,89,22,36,136,92,186
"PA3507",99,3,2,177,33,27,32,4,4,59,18,58
"PA3506",285,25,27,564,85,76,129,15,32,212,133,200
"PA3505",98,9,9,186,22,27,56,18,2,94,32,77
"PA3504",239,16,21,392,46,68,98,39,20,115,88,152
"PA3503",152,13,10,231,42,44,45,18,10,72,90,127
"PA3502",47,1,1,60,12,15,16,13,5,18,31,51
"PA3501",27,3,0,83,3,3,1,1,1,12,6,29
"PA3500",250,25,15,466,47,64,90,52,25,157,177,265
"PA3499",22,8,4,85,8,6,13,1,8,24,34,50
"PA3498",193,23,12,271,55,74,96,32,48,105,104,136
"PA3497",33,3,1,34,23,17,21,2,9,20,18,37
"PA3496",834,217,170,825,827,471,573,123,165,689,856,899
"PA3495",160,19,11,123,54,54,63,202,260,53,113,101
"PA3494",117,9,4,96,25,27,41,101,124,32,39,46
"PA3493",122,2,4,99,15,14,48,71,64,36,9,13
"PA3492",145,17,16,142,39,29,45,176,162,46,25,62
"PA3491",623,43,29,612,163,111,330,586,538,247,144,162
"PA3490",81,7,6,96,35,8,31,88,59,27,17,25
"PA3489",105,26,3,84,30,18,31,146,220,47,53,39
"PA3488",122,57,41,112,127,92,68,117,123,95,69,60
"PA3487",512,97,90,574,357,320,454,260,300,403,177,178
"PA3486",130,16,21,163,73,46,73,166,132,71,29,36
"PA3485",142,9,2,163,19,29,50,41,35,49,4,6
"PA3484",411,18,34,641,181,142,243,283,330,140,46,39
"PA3483",431,15,13,625,93,76,217,289,362,177,28,41
"PA3482",2025,273,308,3159,1354,1037,1262,4326,4634,991,1491,1549
"PA3481",1159,145,125,1862,653,562,696,907,919,863,557,720
"PA3480",588,71,88,659,313,289,277,1009,921,304,437,395
"PA3479",203,81,76,194,275,174,340,125,172,44,27,33
"PA3478",252,137,156,201,500,398,785,80,73,212,37,14
"PA3477",6631,1483,1531,9919,6046,4587,4444,1265,1433,1154,846,879
"PA3476",922,213,128,1232,627,475,611,450,443,28,19,32
"PA3475",338,59,46,316,146,132,149,158,174,29,87,77
"PA3474",81,11,6,73,35,19,21,112,103,13,19,21
"PA3473",71,7,2,86,21,33,29,110,87,41,27,37
"PA3472",267,20,36,431,129,84,116,487,668,127,248,317
"PA3471",3169,348,429,5085,1875,1285,2063,1574,1731,2111,2558,2765
"PA3470",88,0,3,120,13,22,38,72,94,73,24,27
"PA3469",236,22,28,272,75,53,150,189,145,158,80,104
"PA3468",330,25,20,520,108,54,199,842,779,205,125,154
"PA3467",24,1,0,27,6,8,10,5,4,17,4,17
"PA3466",367,43,46,577,206,187,234,730,856,300,176,241
"PA3465",3767,296,167,3251,921,939,1240,464,437,1442,685,1364
"PA3464",134,32,8,148,94,59,99,27,79,150,55,76
"PA3463",71,40,12,71,78,58,53,30,16,56,57,50
"PA3462",727,84,82,559,284,228,432,34,29,351,151,208
"PA3461",1180,205,167,1104,564,571,897,48,98,637,122,213
"PA3460",1439,268,159,1317,597,664,1018,108,106,670,126,206
"PA3459",1526,311,188,1271,802,754,911,171,237,442,135,232
"PA3458",1069,90,45,616,141,118,177,380,371,232,295,440
"PA3457",93,3,3,73,47,15,27,76,59,41,37,39
"PA3456",289,9,9,406,72,48,175,171,192,158,98,148
"PA3455",2038,415,352,2688,1328,1209,1230,375,394,1361,1126,1387
"PA3454",787,35,42,2952,274,170,229,55,36,293,647,1065
"PA3453",320,11,21,608,73,51,135,215,190,129,110,179
"PA3452",1275,410,330,1434,1537,1412,1533,5916,6283,1418,433,464
"PA3451",1109,349,270,1282,938,734,556,28,60,640,591,813
"PA3450",61,21,14,69,76,34,31,175,143,87,63,95
"PA3449",20,0,0,7,1,4,8,2,6,10,5,1
"PA3448",24,1,3,8,8,3,8,0,0,14,0,2
"PA3447",7,0,0,7,3,0,3,1,2,10,1,0
"PA3446",73,5,14,98,35,23,51,49,55,152,15,29
"PA3445",119,19,11,113,55,75,62,19,28,137,51,83
"PA3444",70,10,0,71,8,32,52,24,2,70,13,19
"PA3443",24,8,6,57,14,15,22,11,19,29,7,14
"PA3442",39,2,2,33,6,2,38,3,3,58,7,7
"PA3441",26,26,12,18,33,38,18,4,5,29,23,48
"PA3440.1",229,61,45,394,179,173,142,440,483,220,249,301
"PA3440",219,100,75,287,260,234,191,329,340,240,460,409
"PA3439",603,136,119,624,442,355,487,355,343,651,434,409
"PA3438",308,71,67,387,332,248,309,359,363,394,271,349
"PA3437",98,22,22,160,104,105,111,271,324,205,108,90
"PA3436",31,5,0,25,8,10,18,21,51,27,10,10
"PA3435",400,46,42,494,222,129,210,590,689,200,185,279
"PA4797",266,53,34,218,101,111,144,165,154,173,110,145
"PA3433",117,9,5,108,35,33,46,47,89,60,27,31
"PA3432",19,14,9,20,81,49,93,49,78,112,5,9
"PA3431",49,34,22,36,80,101,201,98,88,216,15,10
"PA3430",845,72,45,2232,185,181,240,61,109,298,875,1156
"PA3429",206,3,1,469,13,9,21,20,18,30,71,167
"PA3428",25,0,2,47,6,6,5,2,2,9,20,40
