gene_id,Ctrl1,Ctrl2,Ctrl3,P5A1_25,P5A2_25,P5A3_25
PA1598,1236,1059,5979,460,438,444
PA1599,453,454,2504,638,667,651
PA1600,413,380,1756,578,579,440
PA1601,533,575,3056,745,731,702
PA1602,172,141,661,257,202,267
PA1603,127,87,510,145,118,121
PA1604,556,608,2528,502,424,390
PA1605,313,332,1744,617,644,613
PA1606,138,127,655,434,392,451
PA1607,175,189,800,368,357,352
PA1608,450,471,1933,532,569,465
PA1609,10540,9407,49770,4110,4167,4046
PA1610,9094,7809,40947,2922,2855,2723
PA1611,1199,1179,6291,645,687,654
PA1612,457,455,2170,211,256,212
PA1613,969,888,4640,1206,1237,1061
PA1614,3003,2807,14429,3749,3835,3616
PA1615,1392,1295,6620,1100,1136,1147
PA1616,1494,1490,7421,1103,1095,1008
PA1617,6475,5868,29085,6280,5894,5531
PA1618,1258,1116,5709,1292,1230,1252
PA1619,518,616,2822,709,778,699
PA1620,128,170,763,251,213,215
PA1621,2129,2276,11272,1195,1407,1110
PA1622,2300,2207,10898,1129,1117,1146
PA1623,935,934,4182,1427,1475,1428
PA1624,2337,2254,10658,3677,3408,3132
PA1625,311,297,1534,1220,1240,1178
PA1626,479,499,2323,680,667,561
PA1627,192,277,1054,448,400,345
PA1628,625,854,3543,996,1015,884
PA1629,276,305,1378,557,489,422
PA1630,278,309,1550,906,779,854
PA1631,389,346,2079,897,870,871
PA1632,15,10,87,22,25,38
PA1633,304,322,1964,545,519,519
PA1634,203,298,1498,262,240,186
PA1635,91,122,459,103,98,86
PA1636,1479,1456,7347,1573,1563,1307
PA1637,425,483,2124,655,567,619
PA1638,305,241,1265,499,439,464
PA1639,1741,1744,9064,2522,2550,2430
PA1640,948,989,4675,2977,2899,2757
PA1641,262,238,1338,499,447,453
PA1642,4763,4374,21043,3656,3796,3702
PA1643,3169,2618,13329,1768,1857,1743
PA1644,667,652,3095,1179,1234,1127
PA1645,300,272,1562,757,797,752
PA1646,796,843,4065,2373,2258,2171
PA1647,690,630,3524,1385,1291,1324
PA1648,226,248,1238,214,214,191
PA1649,187,176,845,177,176,192
PA1650,926,952,4642,1003,1038,961
PA1651,891,903,4392,1809,1704,1491
PA1652,316,339,1572,871,675,655
PA1653,136,183,830,453,397,385
PA1654,473,493,2686,1105,1179,967
PA1655,464,365,2049,456,460,390
PA1656,967,764,4316,508,535,556
PA1657,359,311,1699,174,142,142
PA1658,960,885,4505,242,260,262
PA1659,155,137,806,43,30,32
PA1660,609,596,2898,291,266,254
PA1661,335,241,1361,138,161,108
PA1662,1423,1366,7599,387,402,294
PA1663,897,807,4116,226,221,273
PA1664,30,37,295,15,16,19
PA1665,735,741,3965,114,131,117
PA1666,300,245,1288,85,69,66
PA1667,754,762,3449,404,386,441
PA1668,313,303,1418,101,110,106
PA1669,1280,1250,6439,704,664,631
PA1670,412,403,1835,478,438,413
PA1671,652,538,2739,1491,1351,1218
PA1672,312,341,1504,541,578,524
PA1673,2294,1798,9359,2554,2605,2427
PA1674,1350,1290,5913,3190,3033,2995
PA1675,654,635,3054,2177,2186,2222
PA1676,204,221,1090,785,757,635
PA1677,1434,965,5938,2226,1901,1834
PA1678,1716,1385,7159,2802,2895,2926
PA1679,948,786,4609,2626,2572,2429
PA1680,261,300,1509,1363,1340,1139
PA1681,2328,2211,11034,3313,3293,2983
PA1682,746,774,3878,1647,1447,1314
PA1683,1009,836,4088,795,805,909
PA1684,1184,1025,5433,1337,1152,1241
PA1685,1504,1212,6739,1424,1511,1469
PA1686,1037,1095,5738,1347,1316,1193
PA1687,529,524,2742,711,679,630
PA1688,716,627,3321,649,676,620
PA1689,2266,1918,9528,1501,1467,1425
PA1690,179,235,1038,168,199,201
PA1691,163,208,1028,185,158,179
PA1692,81,65,318,48,43,70
PA1693,348,313,1535,199,194,189
PA1694,382,468,2398,229,224,189
PA1695,329,400,1704,147,97,99
PA1696,151,168,758,39,47,25
PA1697,468,492,2839,155,214,189
PA1698,354,423,2179,168,198,149
PA1699,117,89,491,34,35,53
PA1700,264,235,1137,106,110,106
PA1701,178,196,853,96,67,66
PA1702,116,145,629,45,38,44
PA1703,726,804,3845,280,290,309
PA1704,109,117,600,93,65,56
PA1705,134,121,535,72,54,53
PA1706,1028,741,4190,302,283,288
PA1707,290,204,1022,90,82,127
PA1708,1876,1527,7740,262,279,203
PA1709,1575,1361,6799,172,156,151
