gene_id,Ctrl1,Ctrl2,Ctrl3,P5A1_25,P5A2_25,P5A3_25
PA0001,9316,8103,40239,5310,5701,5500
PA0002,8256,6981,35843,4532,4164,4132
PA0003,2786,2130,11515,3139,3183,3349
PA0004,13714,11103,58231,12292,11663,12138
PA0005,558,396,2159,686,642,717
PA0006,714,506,2752,523,539,558
PA0007,1028,986,5040,823,789,883
PA0008,8000,7665,38669,7129,6987,6711
PA0009,3448,3071,15844,2511,2419,2509
PA0010,197,178,835,284,261,213
PA0011,571,430,2255,605,616,670
PA0012,65,66,317,125,86,97
PA0013,223,148,1093,280,261,279
PA0014,76,64,328,99,92,96
PA0015,315,286,1275,308,296,276
PA0016,3130,2799,14019,1421,1370,1301
PA0017,3845,3570,17398,1319,1247,1079
PA0018,3168,2975,14801,1395,1512,1263
PA0019,1593,1249,7110,1282,1179,1237
PA0020,1677,1341,7419,1539,1467,1397
PA0021,319,405,1863,488,451,382
PA0022,1080,950,4871,1152,1185,1091
PA0023,1592,1485,7540,1881,1864,1805
PA0024,1172,1137,5962,1603,1256,1347
PA0025,1134,1035,5457,1660,1554,1454
PA0026,767,653,3764,644,573,570
PA0027,1094,1163,5609,671,648,634
PA0028,500,498,2590,220,190,208
PA0029,547,525,2906,665,654,602
PA0030,310,308,1509,246,274,262
PA0031,375,337,1817,532,483,379
PA0032,239,309,1411,386,447,361
PA0033,386,300,1710,564,512,442
PA0034,164,166,807,405,396,405
PA0035,942,1004,4916,988,872,851
PA0036,1532,1479,6981,1526,1516,1360
PA0037,328,373,1975,605,622,543
PA0038,772,519,3141,678,656,690
PA0039,755,596,3017,413,360,422
PA0040,67,99,434,123,98,106
PA0041,1764,1916,10039,1410,1303,1234
PA0042,337,235,1333,413,376,433
PA0043,399,355,1987,650,600,593
PA0044,918,739,4200,614,558,708
PA0045,196,174,946,146,160,117
PA0046,153,131,618,210,213,176
PA0047,211,185,1105,241,208,181
PA0048,88,77,628,92,72,83
PA0049,283,261,1653,392,338,297
PA0050,335,342,2006,59,57,51
PA0051,1243,1245,6678,198,188,161
PA0052,268,240,1341,94,85,75
PA0053,205,229,1156,788,811,910
PA0054,344,432,2021,1433,1395,1391
PA0055,464,488,2358,1299,1279,1259
PA0056,293,288,1596,1163,1118,967
PA0057,254,195,1188,512,469,425
PA0058,236,215,1015,339,320,292
PA0059,2933,2657,14328,1374,1421,1432
PA0060,784,711,3453,885,820,825
PA0061,532,512,2523,1379,1253,1149
PA0062,516,353,2046,1124,1011,990
PA0063,1129,1030,5443,1248,1209,1164
PA0064,491,603,2935,713,610,418
PA0065,741,691,3693,832,810,727
PA0066,312,301,1604,408,402,339
PA0067,11184,10173,50431,7312,7343,6818
PA0068,1039,946,4817,882,818,788
PA0069,460,409,2202,681,598,532
PA0070,3438,3233,16082,853,841,791
PA0071,1078,1089,5361,583,587,515
PA0072,814,856,4137,301,308,232
PA0073,475,618,2834,119,156,115
PA0074,1987,2199,10018,630,583,494
PA0075,599,488,2549,221,215,200
PA0076,790,913,4305,248,233,202
PA0077,3488,3666,17497,777,735,619
PA0078,1482,1617,7474,472,458,417
PA0079,2561,2549,12848,783,879,830
PA0080,386,334,1811,220,219,195
PA0081,1134,1197,5885,738,706,748
PA0082,954,907,4866,715,653,525
PA0083,1082,994,5027,446,484,451
PA0084,2600,2747,13411,723,740,773
PA0085,1374,1172,6270,294,248,303
PA0086,1247,1292,6795,287,365,323
PA0087,465,570,2565,98,120,81
PA0088,1068,962,5083,245,191,221
PA0089,449,415,2345,170,143,123
PA0090,2922,2533,12947,691,615,565
PA0091,638,732,3222,909,839,750
PA0092,442,362,1704,629,566,653
PA0093,500,429,2638,589,554,569
PA0094,146,96,586,79,81,69
PA0095,2572,2353,13145,1520,1535,1406
PA0096,216,177,759,162,102,118
PA0097,451,528,2355,266,196,221
PA0098,431,506,2554,193,160,158
PA0099,491,379,1928,171,185,145
PA0100,623,554,3004,426,332,415
PA0101,849,908,4743,493,460,365
PA0102,1153,969,5489,841,839,711
PA0103,919,978,4603,1156,1030,966
PA0104,862,750,4027,532,502,497
PA0105,5262,4472,23145,2209,2341,2264
PA0106,8036,7429,38056,1975,1958,1983
PA0107,1484,1361,7055,453,419,443
PA0108,2876,2751,12880,773,672,776
PA0109,1136,983,5313,229,239,266
PA0110,1874,1668,8269,414,359,338
PA0111,1377,1105,5915,239,259,197
PA0112,1213,1177,5834,354,358,249
PA0113,1460,1332,7353,635,588,477
PA0114,1059,890,4424,702,612,582
PA0115,363,352,1707,578,516,585
PA0116,283,260,1276,556,559,594
PA0117,162,168,978,361,340,263
PA0118,69,95,516,105,102,79
PA0119,400,302,1979,2532,2568,2283
PA0120,567,570,2835,4449,4190,3642
PA0121,475,387,2073,3621,3810,3471
PA0122,835,662,3154,1280,1130,1226
PA0123,635,689,3119,1017,1097,1016
PA0124,43,60,430,362,339,323
PA0125,27,53,232,133,143,126
PA0126,505,441,2215,644,592,549
PA0127,243,240,1157,300,264,218
PA0128,71,89,461,179,195,198
PA0129,934,894,4061,1344,1356,1364
PA0130,2319,2183,11788,2169,2146,1861
PA0131,383,348,1778,370,379,371
PA0132,1053,1067,4977,833,893,909
PA0133,410,440,1867,734,763,710
PA0134,709,825,3725,1443,1451,1285
PA0135,20,34,130,38,34,24
PA0136,385,507,2399,499,495,421
PA0137,205,191,1091,320,293,222
PA0138,351,339,1747,410,343,263
PA0139,21271,16496,85190,1331,1349,1421
PA0140,75778,72357,364934,4880,4718,4525
PA0141,4228,3738,18653,3713,3766,3436
PA0142,614,476,2725,1724,1532,1374
PA0143,650,665,3261,703,758,657
PA0144,349,423,1783,608,602,444
PA0145,123,233,959,362,388,305
PA0146,218,222,1260,268,301,269
PA0147,386,408,2241,425,375,386
PA0148,620,552,3393,734,730,741
PA0149,411,442,1853,706,615,569
PA0150,292,461,1861,723,711,583
PA0151,376,440,2130,570,597,598
PA0152,404,429,2256,767,731,669
PA0153,181,184,1088,351,386,419
PA0154,213,285,1256,371,405,361
PA0155,302,277,1862,926,726,636
PA0156,978,1194,5368,2089,2091,1702
PA0157,1261,1416,6660,1535,1554,1311
PA0158,3205,3170,15235,1440,1282,1151
PA0159,1383,1241,6355,1137,1052,925
PA0160,34,30,256,33,52,42
PA0161,23,31,133,10,17,20
PA0162,470,478,1897,701,720,747
PA0163,345,314,1743,551,581,504
PA0164,449,517,2431,382,488,355
PA0165,221,161,890,430,454,432
PA0166,296,382,2046,532,604,470
PA0167,330,295,1709,629,471,506
PA0168,472,484,2735,495,507,409
PA0169,812,752,4040,468,458,405
PA0170,441,506,2537,245,241,197
PA0171,430,423,2290,351,320,288
PA0172,918,896,4628,587,690,494
PA0173,555,516,2353,175,178,135
PA0174,349,324,1969,80,73,72
PA0175,1149,1108,5312,140,157,158
PA0176,6284,5812,29051,694,869,704
PA0177,984,938,5052,180,173,120
PA0178,2835,3164,15134,861,649,650
PA0179,603,437,2038,228,228,247
PA0180,613,608,2708,454,481,475
PA0181,313,352,1889,605,548,475
PA0182,262,290,1519,187,172,119
PA0183,459,415,2044,478,402,383
PA0184,196,222,1388,493,529,400
PA0185,258,326,1581,611,596,439
PA0186,207,228,1026,277,383,317
PA0187,430,324,1683,84,84,57
PA0188,451,424,2224,189,164,114
PA0189,310,392,2033,544,495,471
PA0190,95,120,725,719,645,556
PA0191,152,121,710,677,708,582
PA0192,341,423,2035,751,710,629
PA0193,202,201,1164,353,316,358
PA0194,209,198,1219,317,248,291
PA0195,785,708,3397,492,520,463
PA0195.1,3489,3493,18107,2041,2080,1706
PA0196,1212,1107,5657,851,799,834
PA0197,189,161,886,367,302,324
PA0198,308,265,1398,880,870,743
PA0199,510,437,2463,618,612,566
PA0200,238,167,888,133,144,161
PA0201,415,529,2277,5660,5905,5117
PA0202,636,661,3232,19830,19648,17005
PA0203,280,254,1301,5473,5121,5153
PA0204,94,118,580,1228,1175,1166
PA0205,192,208,1044,1313,1210,1091
PA0206,198,219,958,888,844,907
PA0207,410,418,2120,777,735,692
PA0208,5926,5354,27789,3173,2975,2913
PA0209,2053,2347,11030,755,796,561
PA0210,341,380,1705,165,160,138
PA0211,1746,1850,8381,804,817,713
PA0212,1250,1173,5848,616,628,475
PA0213,1047,1125,5517,534,557,488
PA0214,996,1195,5543,575,583,448
PA0215,269,265,1412,131,154,147
PA0216,406,339,1755,437,389,367
PA0217,387,385,1765,693,571,529
PA0218,490,390,2317,721,674,664
PA0219,337,401,1830,332,340,350
PA0220,330,253,1372,427,300,325
PA0221,286,260,1193,177,158,137
PA0222,184,201,1013,117,113,127
PA0223,162,139,968,111,112,121
PA0224,180,160,878,162,184,144
PA0225,179,195,1138,365,400,411
PA0226,170,261,1076,504,506,441
PA0227,218,288,1265,382,354,319
PA0228,714,718,3665,907,880,743
PA0229,437,377,2205,425,424,450
PA0230,1522,1607,8314,1565,1593,1385
PA0231,1202,1127,5504,754,795,628
PA0232,761,643,3205,373,388,335
PA0233,494,627,2983,497,507,431
PA0234,193,179,939,235,213,177
PA0235,292,237,1379,395,335,339
PA0236,279,347,1499,270,225,245
PA0237,179,190,880,240,273,227
PA0238,206,196,1101,200,246,162
PA0239,154,169,924,228,200,208
PA0240,355,305,1895,847,856,752
PA0241,167,241,1027,559,553,522
PA0242,391,484,2018,595,643,539
PA0243,251,257,1170,321,305,314
PA0244,275,270,1330,450,540,460
PA0245,128,135,599,263,278,253
PA0246,683,614,3065,834,880,703
PA0247,291,304,1574,492,490,490
PA0248,370,367,1879,619,607,540
PA0249,795,859,3776,308,407,273
PA0250,816,734,3647,304,367,329
PA0251,179,141,747,214,160,171
PA0252,43,76,295,86,90,63
PA0253,198,183,769,285,244,269
PA0254,640,675,3347,1400,1386,1252
PA0255,412,430,1875,948,837,764
PA0256,311,204,1298,294,283,291
PA0257,193,160,746,329,347,379
PA0258,92,65,451,111,121,113
PA0259,887,806,4004,702,690,721
PA0260,789,764,3934,557,479,496
PA0261,98,91,467,76,39,62
PA0262,219,216,1132,190,210,218
PA0263,20,8,64,7,8,6
PA0263.1,10,14,39,9,7,16
PA0264,219,197,1065,551,587,502
PA0265,10660,10055,48360,17160,17564,16135
PA0266,12069,11490,57744,13311,12938,12514
PA0267,673,641,3622,1047,1072,900
PA0268,733,793,3845,1284,1427,1022
PA0269,406,412,2293,192,144,150
PA0270,886,789,4234,243,229,223
PA0271,641,628,3250,184,178,178
PA0272,904,1002,5034,666,560,551
PA0273,187,305,1432,296,249,226
PA0274,229,247,1159,417,333,352
PA0275,231,308,1391,675,650,555
PA0276,221,202,1029,299,303,263
PA0277,549,400,2079,1199,1121,1062
PA0278,182,218,1123,397,331,285
PA0279,334,348,1783,601,525,447
PA0280,751,838,3899,1973,1916,1876
PA0281,411,466,2296,1525,1418,1473
PA0282,634,531,2510,3562,3195,3297
PA0283,713,551,3130,11669,10526,11097
PA0284,102,115,530,2038,2181,2579
PA0285,1545,1474,7708,1506,1411,1363
PA0286,4251,3756,18904,2738,2552,2814
PA0287,197,325,1497,441,475,429
PA0288,272,342,1625,237,194,178
PA0289,372,452,1932,752,639,518
PA0290,647,535,2907,845,886,810
PA0291,2851,2510,12384,6562,6695,6085
PA0292,1849,1857,8878,2222,2211,1903
PA0293,229,198,997,653,529,516
PA0294,188,204,1032,154,206,174
PA0295,709,727,3585,463,547,526
PA0296,1144,766,4671,404,342,407
PA0296.1,3620,3330,16646,2345,2223,2291
PA0297,1440,1211,6293,1394,1401,1386
PA0298,4876,4452,22433,4677,4562,4222
PA0299,6108,5920,29983,5717,5579,5633
PA0300,5938,4740,25935,3546,3238,3606
PA0301,1864,1388,7746,1368,1240,1337
PA0302,4768,4140,21201,2791,2552,2892
PA0303,2652,2100,11384,1092,1026,994
PA0304,998,1082,5355,403,377,374
PA0305,2199,2102,9921,2448,2444,2085
PA0306,1500,1107,6158,877,713,778
PA0306.1,615,577,3040,946,873,797
PA0307,404,309,1851,600,607,597
PA0308,762,806,3718,2070,2053,1694
PA0309,1031,942,4884,1721,1579,1427
PA0310,578,417,2265,618,646,670
PA0311,104,107,541,197,210,153
PA0312,603,525,3029,828,827,707
PA0313,962,817,3982,1651,1452,1429
PA0314,508,491,2402,435,477,427
PA0315,2201,1914,10055,577,639,599
PA0316,10109,8796,46874,7306,7609,7065
PA0317,3484,2957,16134,4306,4231,4381
PA0318,1279,975,5522,925,984,823
PA0319,852,811,4524,1458,1410,1384
PA0320,102,83,466,220,185,222
PA0321,334,295,1469,268,204,250
PA0322,319,291,1518,450,480,384
PA0323,146,148,827,96,51,67
PA0324,109,100,453,99,93,66
PA0325,213,223,971,252,268,237
PA0326,190,228,853,150,170,107
PA0327,270,262,1356,406,405,395
PA0328,1046,1041,4943,1652,1476,1557
PA0329,309,276,1449,448,443,418
PA0330,1593,1756,8707,1541,1490,1246
PA0331,1986,1916,8930,3676,3804,3510
PA0332,1325,1144,6081,1661,1736,1439
PA0333,1608,1742,8537,3279,3274,2851
PA0334,783,800,3989,1756,1564,1438
PA0335,1350,1342,6533,1281,1313,1275
PA0336,1120,818,4447,2509,2457,2621
PA0337,10069,9028,47481,12858,11822,10872
PA0338,732,757,3756,1405,1495,1222
PA0339,429,376,2014,745,681,507
PA0340,249,329,1427,276,258,243
PA0341,599,542,2562,514,441,490
PA0342,1526,1216,6740,1682,1750,1751
PA0343,643,505,2987,1921,1976,1921
PA0344,2071,2227,10879,1741,1805,1342
PA0345,1676,2039,9104,1603,1560,1276
PA0346,125,143,821,187,209,216
PA0347,518,457,2575,520,534,547
PA0348,253,252,1530,491,397,427
PA0349,197,204,1017,453,449,401
PA0350,405,448,2126,950,898,833
PA0351,452,411,1949,1303,1164,1140
PA0352,1143,939,5177,2680,2800,2807
PA0353,3126,2600,14491,4960,4915,4490
PA0354,2219,2152,10793,1980,2191,1845
PA0355,565,465,2572,605,629,678
PA0356,650,534,2642,723,638,659
PA0357,1028,1038,5300,2212,2167,2106
PA0358,421,369,1914,1516,1607,1550
PA0359,72,144,476,297,300,253
PA0360,481,458,2484,1466,1340,1350
PA0361,3444,3992,19396,6063,6013,4948
PA0362,180,132,743,1046,1055,1082
PA0363,330,381,1912,818,857,770
PA0364,666,685,3679,566,502,423
PA0365,317,241,1429,149,140,111
PA0366,705,683,3286,440,471,391
PA0367,521,456,2300,950,881,937
PA0368,659,1005,4090,706,613,551
PA0369,388,456,2271,185,174,141
PA0370,910,1035,4866,332,375,274
PA0371,1925,1806,9251,1181,1200,1039
PA0372,1948,1710,9219,1560,1365,1372
PA0373,5149,4603,24516,7752,7330,7559
PA0374,3120,2657,14413,4577,4550,4423
PA0375,1618,1380,6666,3097,2957,2566
PA0376,7361,6122,34087,13833,12940,13443
PA0377,744,783,3714,654,664,566
PA0378,494,542,2739,642,630,660
PA0379,182,215,771,386,415,410
PA0380,289,291,1246,738,663,684
PA0381,1705,1417,7362,4455,4245,4132
PA0382,919,787,4772,1413,1386,1246
PA0383,670,733,3628,980,935,874
PA0384,176,211,1020,163,166,156
PA0385,126,113,641,79,91,95
PA0386,529,588,3104,447,451,403
PA0387,998,879,4697,564,636,515
PA0388,2128,1559,8011,978,901,806
PA0389,584,524,2897,414,426,384
PA0390,1050,954,5019,1064,995,988
PA0391,2925,2902,15035,2657,2808,2272
PA0392,1619,1445,7498,1056,969,923
PA0393,4096,4338,21468,2947,2991,2490
PA0394,1419,1482,7261,1983,2120,1799
PA0395,3694,2905,15634,2702,2470,2907
PA0396,2539,1996,10876,3075,2748,2835
PA0397,503,434,2096,1080,1047,975
PA0398,503,337,2022,718,568,643
PA0399,7493,7046,36050,5920,5515,5533
PA0400,5552,4897,25379,2852,2605,2642
PA0401,4852,4504,22590,2392,2263,2094
PA0402,2916,2479,12888,1587,1684,1561
PA0403,975,899,4577,540,493,395
PA0404,1166,1384,6301,774,818,729
PA0405,1073,1160,5638,1003,941,998
PA0406,370,397,1778,313,345,322
PA0407,1731,1489,7840,1240,1188,1183
PA0408,1542,1315,7002,2457,2368,2596
PA0409,1787,1430,7724,2299,2380,2556
PA0410,1329,1196,5822,1891,1790,1653
PA0411,8212,7199,36241,5304,5229,5276
PA0412,1400,1405,7013,1569,1471,1330
PA0413,25737,25259,123125,13135,13031,12209
PA0414,3155,2975,15802,1093,1234,1006
PA0415,544,509,2835,359,321,250
PA0416,572,559,3132,568,540,428
PA0417,166,162,995,271,331,256
PA0418,760,659,3296,1598,1644,1361
PA0419,693,697,3529,1491,1775,1421
PA0420,1388,1184,6214,1423,1272,1359
PA0421,1242,1174,6578,1056,1034,963
PA0422,731,699,3388,583,606,594
PA0423,1889,1580,8386,689,658,730
PA0424,373,322,1549,301,252,266
PA0425,5801,5608,27830,1745,1719,1709
PA0426,13221,10789,55408,3280,3287,3401
PA0427,14921,14010,73665,3253,3245,3133
PA0428,9643,9248,46603,5079,4723,4413
PA0429,5712,4653,24763,2209,1932,1953
PA0430,4773,4229,22626,2425,2561,2385
PA0431,3918,3530,18580,2765,2575,2278
PA0432,24994,21980,116991,16560,17236,16785
PA0433,109,108,605,137,114,85
PA0434,1264,1282,6277,551,525,515
PA0435,460,529,2265,263,217,227
PA0436,626,489,2467,414,407,466
PA0437,1562,1413,7290,1355,1385,1357
PA0438,599,571,2823,905,901,742
PA0439,1068,993,5171,381,339,263
PA0440,1002,993,5369,477,404,439
PA0441,877,818,4338,628,576,529
PA0442,20,18,97,16,21,17
PA0443,163,173,1209,224,195,141
PA0444,887,904,4586,591,584,463
PA0445,0,0,0,0,0,0
PA0446,5460,4930,25176,9855,8955,8611
PA0447,14903,14047,71637,20590,19921,20355
PA0448,397,357,2230,619,645,540
PA0449,5967,4534,27358,1126,1074,1150
PA0450,1259,1121,5855,812,871,806
PA0451,2667,2685,14021,1208,1102,1025
PA0452,289,262,1340,367,338,346
PA0453,192,202,960,287,290,243
PA0454,712,713,3752,1002,907,1011
PA0455,1427,1472,7405,1256,1316,1084
PA0456,1260,867,4365,890,881,861
PA0457,174,168,865,362,282,255
PA0457.1,381,407,1659,484,415,290
PA0458,714,794,3562,1131,1031,924
PA0459,11219,11188,53588,4543,4478,4070
PA0460,4851,4528,22060,4743,4625,4088
PA0461,1198,949,5175,2323,2196,2218
PA0462,388,314,1532,954,884,886
PA0463,316,310,1476,1283,1278,1185
PA0464,536,585,2662,1484,1328,1295
PA0465,273,307,1574,487,420,376
PA0466,95,80,385,128,139,114
PA0467,643,595,3239,702,647,504
PA0468,898,1015,4754,1152,937,786
PA0469,642,712,3586,1441,1487,1230
PA0470,1550,1503,7190,2900,2868,2509
PA0471,1716,1679,8379,2546,2441,2105
PA0472,1410,1096,5828,1636,1700,1540
PA0473,632,605,2903,339,331,281
PA0474,138,192,700,104,87,77
PA0475,198,259,1095,201,209,192
PA0476,733,677,3779,1065,1062,1161
PA0477,220,273,1274,253,211,203
PA0478,94,105,600,155,144,139
PA0479,439,429,2219,689,639,571
PA0480,230,224,1522,240,212,205
PA0481,197,170,815,119,130,110
PA0482,17338,16664,84906,6517,6141,5824
PA0483,483,356,1789,262,327,297
PA0484,811,599,3201,412,429,381
PA0485,648,544,2959,650,630,631
PA0486,702,726,3727,751,835,719
PA0487,396,320,2014,626,645,641
PA0488,99,125,611,271,264,232
PA0489,231,284,1195,811,760,722
PA0490,91,104,479,302,239,224
PA0491,281,257,1360,228,204,192
PA0492,288,348,1555,195,120,158
PA0493,80,71,405,41,36,52
PA0494,754,771,3643,554,579,463
PA0495,720,560,3071,653,587,593
PA0496,264,282,1254,272,224,186
PA0497,130,64,472,74,68,70
PA0498,99,67,399,133,79,122
PA0499,105,98,476,76,43,94
PA0500,3242,2558,13924,4307,4056,4186
PA0501,2016,2158,10014,4174,4040,3634
PA0502,968,1348,6109,1150,1095,955
PA0503,1140,1246,5844,570,501,455
PA0504,588,640,3235,285,252,164
PA0505,109,131,503,299,274,297
PA0506,33638,29490,152061,4532,4278,3944
PA0507,328,379,1916,261,253,233
PA0508,5753,5817,28144,1441,1254,1239
PA0509,718,768,3649,195,187,161
PA0510,371,444,2209,124,152,108
PA0511,612,636,3330,236,250,169
PA0512,163,176,959,61,73,80
PA0513,175,172,917,50,49,57
PA0514,204,228,1160,91,86,71
PA0515,134,190,854,71,86,76
PA0516,752,702,3913,361,337,346
PA0517,280,258,1276,166,176,113
PA0518,249,216,1173,168,154,130
PA0519,1259,977,5372,964,873,894
PA0520,795,943,4266,314,322,269
PA0521,386,389,2062,159,161,152
PA0522,58,60,234,46,39,37
PA0523,59,62,364,59,69,41
PA0524,342,318,1702,219,323,239
PA0525,1194,1271,6208,1416,1675,1352
PA0526,179,171,856,284,225,183
PA0527,41,46,251,28,52,40
PA0527.1,566,456,2495,791,717,869
PA0528,200,194,948,134,156,110
PA0529,199,164,1043,316,343,324
PA0530,508,508,2510,1136,1143,952
PA0531,178,181,991,307,265,273
PA0532,147,140,897,150,127,161
PA0533,923,851,3879,1230,1253,1138
PA0534,814,861,4511,1739,1578,1454
PA0535,387,307,1551,823,771,692
PA0536,2326,2319,11880,5536,5612,5484
PA0537,891,741,4220,1546,1651,1381
PA0538,249,217,1075,199,167,170
PA0539,112,104,713,382,295,280
PA0540,160,182,802,467,417,374
PA0541,521,550,2573,1505,1467,1211
PA0542,1268,1112,5211,1794,1841,1485
PA0543,473,513,2748,1567,1368,1229
PA0544,482,452,2238,1109,1097,1046
PA0545,470,505,2507,1364,1161,1208
PA0546,20605,19789,99314,4359,4408,4391
PA0547,7340,6682,34808,2277,2320,2201
PA0548,11700,10904,52801,7229,6785,6974
PA0549,1348,1218,6489,1259,1328,1161
PA0550,464,450,2231,748,679,607
PA0551,1564,1502,7410,1604,1490,1421
PA0552,4290,3728,20452,3835,3421,3348
PA0553,1295,1244,6117,872,984,856
PA0554,2561,2494,12805,3090,3206,2932
PA0555,5287,5087,25779,7147,6864,6375
PA0556,567,545,3038,1437,1336,1124
PA0557,367,352,2049,1824,1661,1660
PA0558,881,906,4531,1514,1600,1404
PA0559,662,614,3603,1107,1023,868
PA0560,143,123,733,126,122,110
PA0561,270,194,1086,299,272,267
PA0562,408,431,2018,577,453,447
PA0563,637,559,2746,674,453,575
PA0564,290,304,1571,528,526,416
PA0565,498,427,2256,299,292,301
PA0566,394,373,1661,401,322,328
PA0567,265,186,1090,156,136,154
PA0568,409,351,2026,501,463,464
PA0569,190,243,1377,381,357,364
PA0570,145,123,698,239,177,191
PA0571,314,262,1575,500,405,395
PA0572,929,1011,5108,599,496,578
PA0573,63,94,295,118,109,124
PA0574,24,24,58,15,15,14
PA0574.1,490,439,2172,786,772,959
PA0575,1322,1204,6067,923,968,941
PA0576,13064,12944,65645,13788,13288,13308
PA0577,2766,2471,12256,12673,12698,11482
PA0578,1017,1009,4652,5923,5169,4817
PA0579,453,416,2063,1634,1339,1302
PA0580,1386,1353,7261,1349,1225,1217
PA0581,478,428,2654,1124,1062,1047
PA0582,293,288,1286,734,740,696
PA0583,354,378,1979,830,781,705
PA0584,839,784,4031,1268,1138,1105
PA0585,179,149,772,152,144,133
PA0586,5869,4804,25137,1976,1838,1942
PA0587,9643,7589,42296,3217,3262,3448
PA0588,21220,17373,92200,11919,11291,11475
PA0589,389,338,1671,267,264,196
PA0590,1626,1617,8189,2024,1779,1505
PA0591,503,427,2060,706,684,622
PA0592,979,819,3920,1055,963,1023
PA0593,1250,1194,5853,337,309,275
PA0594,4716,4103,21004,2318,2126,1939
PA0595,10839,9692,50147,6631,6293,6253
PA0596,1236,1213,5646,1971,1817,1544
PA0597,553,545,2752,1043,949,801
PA0598,596,652,3246,965,926,815
PA0599,529,530,2530,729,708,620
PA0600,1165,1143,5139,2040,2004,1900
PA0601,569,516,2150,1108,1158,1058
PA0602,458,428,2037,701,607,584
PA0603,1186,1180,5508,678,652,634
PA0604,2783,2094,11530,913,1022,982
PA0605,1286,1142,5701,547,453,455
PA0606,686,719,3690,246,265,224
PA0607,1404,1236,6086,928,1092,924
PA0608,1532,1477,7423,1623,1688,1547
PA0609,1590,1404,7543,4090,3922,4126
PA0610,657,450,2443,703,797,717
PA0611,545,525,2649,704,619,512
PA0612,2113,2160,10906,299,257,258
PA0613,2090,2029,10591,286,283,265
PA0614,761,733,3481,47,54,60
PA0615,2172,2090,9580,280,305,280
PA0616,2488,2648,12311,387,319,304
PA0617,1306,1248,6956,73,82,100
PA0618,5127,4777,23616,326,340,335
PA0619,5575,4875,24668,284,269,254
PA0620,8669,7684,39853,459,494,466
PA0621,2185,1582,8321,140,149,136
PA0622,37308,31143,163854,466,439,488
PA0623,5871,4489,24191,160,156,160
PA0624,3695,3144,15731,104,156,109
PA0625,11410,10580,52801,729,727,660
PA0626,4457,4599,22257,339,256,191
PA0627,1242,1074,5484,41,49,43
PA0628,3595,2935,15411,214,231,224
PA0629,1955,1911,8657,198,238,207
PA0630,1352,1263,6131,99,112,100
PA0631,945,889,4375,45,48,47
PA0632,1330,1068,5422,53,61,53
PA0633,8314,7390,37105,160,131,147
PA0634,3944,3998,19972,109,93,91
PA0635,2054,2174,10058,68,62,39
PA0636,5855,5531,27481,395,314,296
PA0637,1397,1234,6536,78,79,72
PA0638,2610,2556,12693,205,187,148
PA0639,4123,4075,19090,243,244,176
PA0640,1591,1253,6804,92,75,82
PA0641,16860,15471,76798,1111,1191,1098
PA0642,453,335,1481,40,42,29
PA0643,2250,1549,8594,170,132,213
PA0644,369,302,1595,45,29,44
PA0645,271,291,1320,29,27,38
PA0646,1890,1690,8316,193,202,209
PA0647,250,177,1197,52,62,76
PA0648,122,121,597,34,33,35
PA0649,497,493,2150,3191,3087,3002
PA0650,1762,1809,8976,9002,8075,7553
PA0651,1899,1703,8376,4336,4148,4029
PA0652,2400,2252,12440,1679,1443,1287
PA0653,126,168,665,164,151,166
PA0654,758,652,3276,631,600,727
PA0655,1198,1286,6405,1206,1242,1164
PA0656,128,122,657,107,100,118
PA0657,1719,1742,8540,2635,2515,2181
PA0658,964,992,4956,1808,1498,1544
PA0659,1571,1421,7191,1329,1356,1339
PA0660,2203,2258,11120,1003,1080,936
PA0661,453,375,1772,226,222,248
PA0662,2334,2252,11391,3905,4356,4053
PA0663,1292,1180,5628,3038,3077,3030
PA0664,593,440,2479,1364,1266,1365
PA0665,366,302,1680,804,671,690
PA0666,4955,4871,24032,6617,6274,5780
PA0667,4926,3797,20550,4507,4359,4352
PA0668,0,0,0,0,0,0
PA0668.1,0,0,0,0,0,0
PA0668.2,0,0,0,0,0,0
PA0668.3,0,0,0,0,0,0
PA0668.4,0,0,0,0,0,0
PA0668.5,1831,1409,8327,2180,2034,2281
PA0669,674,628,3398,784,869,824
PA0670,477,552,2721,740,655,653
PA0671,173,155,810,259,226,174
PA0672,528,549,2386,788,653,732
PA0673,228,215,867,404,324,345
PA0674,218,175,1092,711,655,635
PA0675,160,91,506,227,280,239
PA0676,449,477,2565,342,354,328
PA0677,230,203,987,180,222,204
PA0678,81,92,411,72,64,82
PA0679,150,141,755,109,102,77
PA0680,87,114,541,67,95,77
PA0681,133,103,589,128,103,88
PA0682,199,221,1337,153,174,101
PA0683,176,234,1114,123,116,114
PA0684,91,91,404,67,67,64
PA0685,467,498,2256,502,548,467
PA0686,339,343,1756,455,505,438
PA0687,215,238,1222,448,478,420
PA0688,186,237,1296,373,403,347
PA0689,165,205,1070,267,252,240
PA0690,3502,3323,17531,4920,4838,4569
PA0691,75,73,378,20,34,15
PA0692,150,226,916,114,102,119
PA0693,384,442,2343,204,205,205
PA0694,100,89,505,48,58,45
PA0695,95,104,544,68,58,53
PA0696,383,395,2010,262,254,275
PA0697,195,153,854,48,56,33
PA0698,100,101,558,39,47,27
PA0699,240,300,1460,154,203,173
PA0700,58,93,477,59,59,46
PA0701,417,370,2101,325,308,265
PA0702,349,441,1900,787,908,775
PA0703,568,560,2962,928,895,904
