"locus","SCV24_1","SCV24_2","REVa_1","REVa_2","REVb_1","REVb_2","SCV104357_1","SCV104357_2"
"PA14_19570,ssuC",12,0,15,41,5,5,3,3
"PA14_19580,ssuB",425,30,839,1140,350,226,62,51
"PA14_19590,ssuF",13,0,29,34,17,5,6,5
"PA14_19600",32,48,128,104,72,10,96,148
"PA14_19610",801,647,2143,1653,1137,309,429,461
"PA14_19620,folX",93,140,383,344,310,50,233,226
"PA14_19630,folE1",377,644,1173,1153,1273,259,563,612
"PA14_19640,ydgB",61,118,177,190,197,37,146,171
"PA14_19650",11,20,34,16,37,2,1,1
"PA14_19660,mioC",54,104,194,172,149,20,239,266
"PA14_19670",12,13,38,25,19,6,26,36
"PA14_19680",685,195,641,1137,99,13,3,2
"PA14_19690",151,81,266,713,63,5,5,6
"PA14_19700",49,53,201,380,182,28,91,102
"PA14_19710",17,37,52,77,67,4,16,25
"PA14_19720",0,1,3,3,2,0,1,2
"PA14_19730",28,28,86,47,60,6,121,214
"PA14_19740",32,46,67,47,51,6,79,120
"PA14_19750",4,9,19,11,19,2,29,34
"PA14_19770",16,40,44,33,46,9,100,149
"PA14_19800",48,37,76,54,69,16,41,72
"PA14_19810",18,11,42,22,21,6,19,16
"PA14_19830",22,10,46,45,46,7,42,47
"PA14_19850",8,10,25,18,29,3,25,27
"PA14_19860",16,5,54,30,44,2,43,91
"PA14_19870,ldh",200,133,720,1167,1896,154,266,288
"PA14_19900",124,140,488,648,1257,80,72,85
"PA14_19910,pdhB",83,155,328,353,819,63,39,36
"PA14_19920",56,106,174,181,404,20,22,23
"PA14_19930",4,3,6,9,2,1,0,3
"PA14_19940",15,5,15,16,17,1,7,13
"PA14_19950",60,54,112,122,78,20,181,247
"PA14_19960",4,5,7,14,4,2,22,18
"PA14_19970",0,1,1,1,0,0,0,0
"PA14_19990",17,12,3,6,5,1,27,28
"PA14_20000",9,13,4,5,9,0,13,17
"PA14_20010,hasR",19,8,13,7,8,2,16,18
"PA14_20020,hasAp",33,18,13,12,14,2,17,11
"PA14_20030,hasD",1,0,2,0,1,0,1,4
"PA14_20040,hasE",2,1,2,0,2,0,3,3
"PA14_20050,hasF",5,3,3,10,10,1,7,10
"PA14_20060",39,82,2,0,5,1,245,436
"PA14_20070",18,37,13,16,11,1,26,37
"PA14_20080",60,53,77,56,61,13,49,59
"PA14_20100",28,27,41,39,39,6,32,48
"PA14_20110",30,41,90,109,55,15,79,92
"PA14_20120",22,19,40,48,32,4,35,56
"PA14_20130,yeiE",39,32,63,53,47,11,98,125
"PA14_20140,fpr",1399,3437,822,1960,3003,513,1918,2815
"PA14_20150,nosL",1,1,88,36,71,3,1,4
"PA14_20170,nosY",0,0,222,116,137,8,1,0
"PA14_20180,nosF",2,24,420,220,264,29,2,0
"PA14_20190,nosD",5,90,972,620,723,73,17,15
"PA14_20200,nosZ",6,957,7786,4199,5241,573,28,25
"PA14_20230,nosR",22,4282,18159,13394,13746,2846,38,20
"PA14_20240",2,2,8,4,5,2,7,12
"PA14_20250",3,2,1,4,5,1,10,3
"PA14_20260",1,9,4,13,20,0,14,19
"PA14_20270,rhlG",4,3,4,3,9,0,8,15
"PA14_20280",3,13,3,5,3,0,33,28
"PA14_20290,algZ",278,384,299,394,314,44,2150,3473
"PA14_20300,phnC",2,4,3,7,5,0,4,9
"PA14_20320,phnD",5,5,13,10,18,3,5,8
"PA14_20330,phnE",3,1,0,0,1,1,0,1
"PA14_20350,phnF",1,2,4,4,4,0,6,5
"PA14_20360,phnG",0,1,3,1,3,0,3,1
"PA14_20370,phnH",1,2,1,4,1,0,2,3
"PA14_20380,phnI",4,8,8,13,8,1,11,9
"PA14_20390,phnJ",6,3,9,11,13,1,16,13
"PA14_20400,phnK",0,1,7,6,5,1,2,7
"PA14_20420,phnL",2,1,9,1,3,1,5,3
"PA14_20430,phnM",29,36,85,55,57,8,61,65
"PA14_20440,phnN",28,46,89,67,63,11,87,127
"PA14_20450,phnP",9,24,27,36,14,4,32,17
"PA14_20460",33,17,106,43,62,9,15,9
"PA14_20470",23,7,82,32,43,0,11,20
"PA14_20480",176,72,575,289,317,39,114,105
"PA14_20491",8,19,31,29,25,3,22,29
"PA14_20500",6,5,5,5,2,1,41,104
"PA14_20510",34,23,68,57,64,11,246,197
"PA14_20520",89,111,142,139,171,22,298,272
"PA14_20530",0,0,0,0,0,0,0,0
"PA14_20550",9,16,16,13,7,0,0,0
"PA14_20560,amiE",150,176,1215,2205,2247,371,555,764
"PA14_20570,amiB",77,88,419,772,817,156,120,162
"PA14_20580,amiC",48,82,266,354,399,79,61,94
"PA14_20590,amiR",23,28,119,222,225,49,43,56
"PA14_20600",0,0,0,0,0,0,0,0
"PA14_20610,lecB",557,311,165,120,199,16,19,17
"PA14_20620",12,6,9,23,13,5,12,4
"PA14_20630",7,8,7,43,11,4,4,4
"PA14_20640",55,69,124,101,89,15,44,56
"PA14_20650,dsdA",84,80,175,86,93,12,127,146
"PA14_20670",392,281,1210,632,539,135,1207,1352
"PA14_20680",159,138,479,402,415,52,466,671
"PA14_20690",27,31,101,96,121,8,83,96
"PA14_20700",58,51,207,263,177,22,131,273
"PA14_20720,flgN",265,183,622,694,917,151,359,392
"PA14_20730,flgM",380,310,857,923,923,126,843,751
"PA14_20740,flgA",28,38,73,74,62,7,36,32
"PA14_20750",1203,1507,3992,2941,3357,510,1005,1181
"PA14_20760,cheR",223,318,738,573,664,80,393,519
"PA14_20770",119,90,320,275,321,39,194,229
"PA14_20780",224,226,622,524,690,91,249,343
"PA14_20800",71,103,102,93,87,8,77,130
"PA14_20810,recQ",506,887,917,684,583,106,750,788
"PA14_20820",99,90,175,145,134,18,91,104
"PA14_20840",395,782,934,827,702,119,95,99
"PA14_20850,slyA",49,59,98,81,103,9,103,146
"PA14_20860",79,118,188,182,259,25,70,110
"PA14_20870",50,82,87,99,71,13,144,155
"PA14_20880",0,7,7,4,10,1,14,24
"PA14_20890,rfaD",185,125,1187,254,175,62,5043,6474
"PA14_20900",78,101,29,23,38,3,9,15
"PA14_20920",160,172,56,41,49,8,5,5
"PA14_20940",586,498,186,128,198,26,14,11
"PA14_20950,fabH2",1236,1136,476,281,440,58,24,16
"PA14_20960",322,362,151,97,204,19,1,0
"PA14_20970,cyp23",751,782,363,234,440,48,7,13
"PA14_20980",288,303,150,113,157,9,3,1
"PA14_21000",405,379,208,123,248,28,3,3
"PA14_21010",322,297,142,90,143,15,0,2
"PA14_21020",2175,985,968,521,608,79,13,12
"PA14_21030",2759,2516,4074,1567,2556,376,282,374
"PA14_21040",10,14,16,17,36,4,26,19
"PA14_21050",12,14,43,52,53,3,26,34
"PA14_21060",10,4,34,26,27,6,15,22
"PA14_21070",42,64,46,44,31,6,57,93
"PA14_21080,toxR",25,12,47,24,33,3,37,68
"PA14_21090",7,15,21,18,16,2,13,9
"PA14_21110,plcN",10,32,18,21,23,4,19,16
"PA14_21120",12,7,7,14,12,3,11,11
"PA14_21130",12,13,5,11,14,2,16,17
"PA14_21140",26,33,58,52,45,5,134,126
"PA14_21150",37,35,60,78,51,6,57,66
"PA14_21160",23,12,45,40,21,2,70,56
"PA14_21175",250,168,555,398,346,71,397,395
"PA14_21180",5,5,16,13,13,1,42,40
"PA14_21190",63,68,277,254,205,16,25,39
"PA14_21210",66,74,122,115,79,21,105,88
"PA14_21220",363,540,2269,1402,1214,189,6408,7188
"PA14_21230,hepA",381,805,578,585,474,130,851,802
"PA14_21240",40,58,55,72,70,10,159,281
"PA14_21250,alkB",105,75,212,161,120,17,490,491
"PA14_21260",3167,3153,7817,384,223,122,12827,11308
"PA14_21280",74,102,197,204,209,35,85,91
"PA14_21290",32,65,96,107,115,14,68,99
"PA14_21300",3,6,3,3,3,0,17,30
"PA14_21310,phaJ1",226,168,523,445,373,70,423,516
"PA14_21320",470,396,915,648,599,155,473,658
"PA14_21340,fadD2",451,342,1292,848,682,148,403,418
"PA14_21370,fadD1",702,572,1407,1193,826,193,1314,1280
"PA14_21380",1,0,1,2,0,1,1,1
"PA14_21400,hrpA",205,369,490,521,381,66,854,1043
"PA14_21410,phoA",8,7,6,8,11,4,5,9
"PA14_21440",158,146,293,206,203,34,482,600
"PA14_21450",79,54,19,17,8,3,30,34
"PA14_21460",4,7,3,1,1,1,3,4
"PA14_21470",71,55,34,21,11,5,24,21
"PA14_21480",21,18,6,9,19,3,59,65
"PA14_21490",79,123,160,163,170,19,653,702
"PA14_21510",10,16,31,15,32,3,10,38
"PA14_21520",19,31,24,16,27,6,21,55
"PA14_21530",16,12,29,28,30,2,12,17
"PA14_21540,fabH-2",265,518,445,328,290,52,931,1063
"PA14_21550",78,156,170,135,118,18,305,339
"PA14_21560",2,8,7,9,6,1,22,59
"PA14_21570",16,34,57,45,47,11,65,83
"PA14_21580",15,9,17,23,19,9,18,15
"PA14_21590",4,14,10,10,12,1,2,4
"PA14_21600",5,4,3,8,2,3,5,5
"PA14_21610,oprO",14,13,15,15,12,4,26,31
"PA14_21620,oprP",2,2,3,2,4,0,5,7
"PA14_21630",15,7,106,16,17,2,162,150
"PA14_21640",58,94,116,90,132,13,133,213
"PA14_21650",9,18,10,10,11,0,18,22
"PA14_21660",11,6,8,7,13,2,7,8
"PA14_21670",8,15,1,2,8,2,146,212
"PA14_21680",17,16,2,2,7,1,95,103
"PA14_21690,lhr1",207,230,318,361,389,79,647,669
"PA14_21700",125,178,307,345,389,64,525,867
"PA14_21710",155,336,175,156,184,22,422,604
"PA14_21720",48,85,76,60,67,8,183,261
"PA14_21730,fecA",179,277,371,455,668,102,101,106
"PA14_21750",252,415,253,327,187,43,139,178
"PA14_21760,capB",19,91,26,29,31,8,745,1948
"PA14_21770,sugE",1,5,2,1,2,0,5,9
"PA14_21780",21,22,23,30,25,4,54,63
"PA14_21790,rdgC",144,247,356,362,321,65,908,1328
"PA14_21800",85,89,74,140,31,25,1109,1733
"PA14_21810",41,56,27,47,19,8,949,1780
"PA14_21820",467,1130,741,542,637,121,1492,2834
"PA14_21830",37,41,12,10,28,1,131,222
"PA14_21840",171,216,211,206,205,22,69,96
"PA14_21850",111,103,316,456,552,47,328,472
"PA14_21860",22,24,46,58,83,5,44,62
"PA14_21870",15,39,35,54,65,13,22,15
"PA14_21880,tsp",3107,3303,5383,6166,7613,1634,6930,8419
"PA14_21890,qor",65,103,208,139,202,20,326,391
"PA14_21900",31,45,74,57,47,12,109,180
"PA14_21910",77,103,135,126,158,20,114,136
"PA14_21920",15,27,25,36,30,2,11,17
"PA14_21930",10,14,8,18,16,1,5,2
"PA14_21940",26,37,59,34,57,9,17,12
"PA14_21960",114,108,280,264,345,37,65,57
"PA14_21970",5,19,9,17,13,2,5,9
"PA14_21980",20,42,60,51,88,13,52,56
"PA14_21990",143,244,359,381,411,54,627,860
"PA14_22000,rluA",125,242,83,78,88,14,172,152
"PA14_22010,minE",253,273,249,123,130,27,945,1130
"PA14_22020,minD",2293,2921,2726,1409,1356,288,3015,2466
"PA14_22040,minC",381,684,460,223,245,34,873,1179
"PA14_22050,htrB",59,186,92,103,91,18,110,206
"PA14_22060",216,277,726,557,546,100,552,500
"PA14_22075",14,5,28,32,41,2,39,54
"PA14_22080",0,0,0,0,0,0,0,0
"PA14_22090",0,0,0,0,0,0,0,0
"PA14_22100",0,0,0,0,0,0,0,0
"PA14_22110",0,0,0,0,0,0,0,0
"PA14_22120",0,0,0,0,0,1,0,0
"PA14_22130",0,0,0,0,0,0,0,0
"PA14_22140",0,0,0,1,0,0,0,0
"PA14_22160",0,0,0,0,0,0,0,0
"PA14_22180",0,0,0,0,0,0,0,0
"PA14_22190",0,0,0,0,0,0,0,0
"PA14_22210",0,0,0,0,0,0,0,0
"PA14_22220",0,0,0,0,0,0,0,0
"PA14_22230",0,0,0,0,0,0,0,0
"PA14_22240",0,0,0,0,0,0,0,0
"PA14_22250",0,0,0,0,0,0,0,0
"PA14_22260",0,0,0,0,0,0,0,0
"PA14_22270",0,0,0,0,0,0,0,0
"PA14_22280",8,14,27,36,37,3,16,11
"PA14_22290,vacJ",346,419,600,464,390,113,406,425
"PA14_22310",392,493,622,338,412,79,496,536
"PA14_22320",4,2,2,2,5,0,9,16
"PA14_22330",165,165,347,383,528,66,80,103
"PA14_22340,yjcH",28,28,92,94,169,10,55,93
"PA14_22350,actP",126,103,435,339,605,61,207,332
"PA14_22370",56,66,226,153,231,28,63,139
"PA14_22380",15,17,51,37,35,8,32,78
"PA14_22400",9,5,1,2,9,0,143,187
"PA14_22410",25,47,48,40,35,6,139,246
"PA14_22420",332,160,1451,2112,2232,331,29,42
"PA14_22440,bapA",243,475,551,569,860,94,538,647
"PA14_22450,ppiA",211,383,584,612,1004,87,388,501
"PA14_22460",304,478,820,1025,1550,131,655,689
"PA14_22470",141,130,488,590,959,83,254,339
"PA14_22480",99,162,234,149,188,43,128,169
"PA14_22490,acpD",4,4,4,11,13,3,13,37
"PA14_22500",0,0,0,0,0,0,0,0
"PA14_22510",0,0,0,0,0,0,6,6
"PA14_22520",0,0,0,0,0,1,0,0
"PA14_22530",0,0,0,0,0,0,0,0
"PA14_22540,wrbA",0,0,0,0,0,0,0,0
"PA14_22550",0,0,0,0,0,0,0,0
"PA14_22560",6,57,66,45,63,5,28,20
"PA14_22570,csaA",47,142,273,87,168,22,73,60
"PA14_22580",48,58,93,70,87,10,48,70
"PA14_22590",4,3,7,7,2,0,10,6
"PA14_22600,grtA",2,4,3,6,5,1,5,3
"PA14_22620,cyaB",158,207,291,226,187,27,128,112
"PA14_22630",32,9,68,70,75,8,32,34
"PA14_22640",65,51,148,74,94,13,72,86
"PA14_22650",60,69,144,202,212,19,151,142
"PA14_22660",158,158,443,391,345,53,323,425
"PA14_22670,yrbF",122,124,254,210,177,40,236,245
"PA14_22680,yrbE",267,273,549,354,306,62,441,516
"PA14_22690,trkH",47,72,84,84,99,9,91,84
"PA14_22700,ykgJ",1,3,4,4,2,0,12,21
"PA14_22710,ydjA",15,20,32,27,31,3,70,131
"PA14_22720",21,52,76,68,66,13,62,43
"PA14_22730",25,40,57,57,86,10,57,113
"PA14_22740",551,512,1173,1672,1044,185,385,400
"PA14_22760,cpxR",76,100,163,217,240,31,145,174
"PA14_22770",184,207,407,351,354,65,334,437
"PA14_22780,yciI",105,123,196,174,165,33,351,725
"PA14_22800,yciB",300,373,647,561,583,87,965,944
"PA14_22820,yciV",66,87,210,214,232,32,121,195
"PA14_22830,yciO",198,214,538,533,734,106,174,199
"PA14_22840,ypuG",301,433,736,785,936,110,398,512
"PA14_22860",115,250,263,236,246,42,229,428
"PA14_22870",16,42,34,36,39,4,45,65
"PA14_22880",6,18,9,12,21,3,39,21
"PA14_22890,gapA",1436,1506,7068,3159,5895,589,949,1683
"PA14_22910,edd",1134,1635,3778,2197,3190,462,1251,2593
"PA14_22930,glk",549,759,1700,1486,1988,241,614,733
"PA14_22940,gltR",183,223,530,468,551,82,137,177
"PA14_22960",438,371,1001,1258,1217,141,102,126
"PA14_22980,gltB",3393,6021,3239,4537,7542,867,140,222
"PA14_22990,gltF",210,837,247,243,634,62,8,12
"PA14_23000,gltG",568,2436,610,438,1381,183,11,15
"PA14_23010,gltK",2095,6355,2184,1677,4336,636,59,86
"PA14_23030,oprB",3373,7801,3721,3229,6027,830,147,208
"PA14_23050",202,446,341,351,479,51,465,804
"PA14_23060,hexR",118,135,373,207,291,45,166,325
"PA14_23070,zwf",2557,3095,11410,5934,7459,1013,1665,3794
"PA14_23080,pgl",1451,1804,6848,5112,6048,1032,502,756
"PA14_23090,edaA",375,384,1627,948,1325,219,123,196
"PA14_23100,mutT",57,99,48,33,49,6,120,141
"PA14_23110,yciL",124,113,159,199,194,37,352,438
"PA14_23120",10,11,12,14,12,1,27,27
"PA14_23130",53,141,5,14,23,2,414,520
"PA14_23160,gltS",2,1,0,4,5,0,10,7
"PA14_23170,hutG",6,13,6,12,13,2,13,21
"PA14_23190",9,14,13,18,19,1,41,75
"PA14_23200,yciK",114,233,326,320,293,48,214,187
"PA14_23210",91,121,269,252,284,44,185,166
"PA14_23220,ubiG",132,215,432,401,424,48,394,493
"PA14_23240",400,499,747,559,556,93,353,452
"PA14_23250,mtnA",235,489,435,315,327,45,422,499
"PA14_23260,gyrA",1985,3827,4453,4064,3795,692,4135,4460
"PA14_23270,serC",664,774,1482,1907,1575,199,1828,2255
"PA14_23280,pheA",501,347,1182,1328,1205,158,1294,1501
"PA14_23290,hisC2",108,158,235,262,234,31,276,378
"PA14_23310",506,613,1132,1226,1163,188,1248,1428
"PA14_23320,cmk",223,326,521,703,691,95,756,771
"PA14_23330,rpsA",11456,21994,15424,14528,12384,2895,18496,17227
"PA14_23340,ihfB",278,201,623,354,399,49,747,764
"PA14_23350,orfA",41,22,121,81,66,8,0,0
"PA14_23360,wzz",489,1080,674,510,648,117,0,2
"PA14_23370,orfK",353,626,474,337,403,65,0,0
"PA14_23380,orfH",223,267,367,234,277,45,0,0
"PA14_23390,orfE",0,0,0,0,0,0,0,0
"PA14_23400",0,0,0,0,0,0,0,0
"PA14_23410,orfJ",0,0,0,0,0,0,0,0
"PA14_23420",32,50,76,106,109,17,0,0
"PA14_23430",0,0,0,0,0,0,0,0
"PA14_23440,orfL",0,0,0,0,0,0,0,0
"PA14_23450,orfM",0,0,0,0,0,0,19,29
"PA14_23460,orfN",0,0,1,1,1,0,167,113
"PA14_23470,wbpM",1176,1487,2082,1950,1811,261,703,833
"PA14_23480",10,19,24,34,22,5,29,41
"PA14_23490",51,47,37,49,33,10,425,701
"PA14_23500,tyrB",746,1747,851,854,919,224,952,1108
"PA14_23510,uvrB",351,362,1009,670,606,115,1013,1144
"PA14_23520",25,54,17,12,13,2,22,21
"PA14_23530,mdr",7,35,5,8,7,2,11,10
"PA14_23540,act",128,179,196,124,157,29,120,160
"PA14_23560,gltx",500,758,1018,875,655,134,1010,1085
"PA14_23570",122,72,64,120,27,7,748,1274
"PA14_23580",9,19,14,16,18,5,82,250
"PA14_23590",56,38,92,51,70,12,75,85
"PA14_23610",13,8,21,14,16,1,36,32
"PA14_23620,kdgA",63,80,102,47,73,7,130,197
"PA14_23630",15,19,32,15,20,1,52,41
"PA14_23640",23,34,28,37,32,8,63,48
"PA14_23650,ygfF",15,20,55,50,60,3,54,51
"PA14_23670",44,30,148,87,80,16,109,126
"PA14_23680,ibpA",329,73,280,956,860,181,2126,1227
"PA14_23690",18,13,39,47,40,8,57,82
"PA14_23700",100,92,305,289,381,32,367,457
"PA14_23720",303,323,1106,936,1509,154,1058,1231
"PA14_23730",5,18,40,26,37,5,19,26
"PA14_23750,leuC",444,401,1650,1455,1223,294,601,699
"PA14_23760,leuD",230,140,621,588,451,95,214,240
"PA14_23770,yafE",184,303,567,483,461,114,295,341
"PA14_23790,leuB",229,446,630,491,557,107,340,498
"PA14_23800,asd",266,591,682,575,583,103,552,489
"PA14_23810",211,291,769,592,473,44,854,479
"PA14_23830,fimV",2873,2832,8602,7709,8442,1463,8327,10719
"PA14_23840,truA",34,83,72,76,85,13,82,110
"PA14_23850,trpF",103,212,222,201,210,41,727,1111
"PA14_23860,accD",662,1282,1341,1129,830,151,1136,1072
"PA14_23880,folC",1193,1686,1933,1727,1083,296,2680,3417
"PA14_23890",479,643,773,622,388,121,1111,1345
"PA14_23900,cvpA",26,81,47,48,72,12,105,164
"PA14_23920,purF",1137,1629,2394,3089,2239,705,2421,2145
"PA14_23930,metZ",237,302,523,805,570,95,694,655
"PA14_23950",128,146,209,424,314,74,386,546
"PA14_23970,xcpQ",649,994,1492,1112,1197,229,2009,2179
"PA14_23980,xcpP",579,771,928,715,653,146,1216,1256
"PA14_23990,xcpR",205,226,693,434,483,69,1037,1204
"PA14_24010,xcpS",167,200,538,409,430,72,482,542
"PA14_24020,xcpT",160,219,654,613,734,73,710,735
"PA14_24040,xcpU",114,166,325,261,292,38,461,488
"PA14_24050,xcpV",28,52,86,78,81,15,218,348
"PA14_24060,xcpW",100,197,328,212,262,38,328,416
"PA14_24070,xcpX",179,299,540,338,316,71,655,675
"PA14_24080,xcpY",122,180,306,296,315,52,424,444
"PA14_24100,xcpZ",42,38,80,79,87,11,143,132
"PA14_24110",79,84,74,120,41,17,1065,1803
"PA14_24120",60,77,59,75,67,12,977,1742
"PA14_24130",52,59,36,51,25,12,927,1687
"PA14_24140",83,93,169,103,106,20,136,170
"PA14_24150",39,49,61,58,46,7,91,95
"PA14_24170,fadH1",160,88,554,361,235,59,255,194
"PA14_24180",175,118,230,118,161,21,141,143
"PA14_24190",9,13,15,13,8,0,15,19
"PA14_24210",54,29,158,226,205,19,88,59
"PA14_24220,ppnK",188,207,447,318,328,55,509,748
"PA14_24230",83,88,178,128,131,11,182,240
"PA14_24240",103,149,227,358,260,27,182,153
"PA14_24245",283,426,789,651,702,150,599,627
"PA14_24260",590,777,1256,1040,1049,294,1059,1211
"PA14_24270,pepN",658,896,1817,1725,2042,335,1997,2105
"PA14_24290,gbt",181,215,272,378,251,84,217,237
"PA14_24300",40,42,67,113,98,12,68,64
"PA14_24310",83,58,139,79,79,15,447,710
"PA14_24330",302,311,865,538,484,97,1260,1722
"PA14_24340",103,198,254,247,248,36,349,323
"PA14_24350",62,93,129,173,155,23,154,150
"PA14_24360",0,0,1,0,0,0,0,0
"PA14_24370",124,131,229,327,372,49,274,334
"PA14_24380",60,80,192,279,225,24,181,161
"PA14_24390",132,196,320,443,367,65,229,269
"PA14_24400",20,49,71,64,76,11,52,44
"PA14_24410",3,2,10,13,8,0,52,68
"PA14_24420",52,50,116,102,122,14,79,127
"PA14_24430,moxR",269,317,697,557,712,116,504,774
"PA14_24440",91,226,7,2,18,6,168,355
"PA14_24445,gdhB",3407,2405,12794,11573,11397,2298,6596,6256
"PA14_24480,pelA",58,163,64,71,59,14,18,13
"PA14_24490,pelB",68,139,45,63,69,15,13,6
"PA14_24500,pelC",0,4,3,4,3,0,1,0
"PA14_24510,pelD",5,13,9,15,13,2,1,2
"PA14_24530,pelE",13,40,8,32,23,3,1,6
"PA14_24550,pelF",23,65,32,41,37,5,9,20
"PA14_24560,pelG",31,37,23,36,23,3,19,19
"PA14_24570",15,0,20,21,28,3,21,29
"PA14_24580",138,89,323,201,216,35,282,407
"PA14_24590",128,122,322,205,195,35,175,233
"PA14_24600",86,107,266,115,84,26,372,411
"PA14_24610",87,82,231,174,167,27,374,415
"PA14_24620",58,58,111,113,129,15,309,491
"PA14_24630",2,2,4,4,7,0,5,12
"PA14_24640,pyrD",292,781,410,429,434,68,424,409
"PA14_24650,rmf",12833,8769,31173,14277,28074,1898,5852,3258
"PA14_24665",57,79,52,71,61,6,138,141
"PA14_24675",161,197,237,281,190,34,356,320
"PA14_24690,dacB",211,399,560,745,741,112,921,857
"PA14_24700",8,16,20,23,29,4,79,110
"PA14_24710",4,3,9,13,9,0,9,15
"PA14_24720",8,11,16,16,19,3,27,30
"PA14_24730",191,271,384,284,319,33,345,496
"PA14_24740",51,47,55,71,88,7,92,108
"PA14_24760,yqjE",158,154,225,194,365,32,354,432
"PA14_24770",533,493,756,762,1138,81,1148,1314
"PA14_24780",30,100,98,47,113,16,29,18
"PA14_24790,opdQ",497,356,2049,1269,1815,334,539,848
"PA14_24810",0,0,5,3,4,0,4,6
"PA14_24820",2,1,5,4,5,0,0,2
"PA14_24830",6,2,8,9,6,0,6,8
"PA14_24840",25,43,55,64,39,8,138,333
"PA14_24850",19,26,24,15,23,4,43,67
"PA14_24860,snr1",562,427,143,165,285,48,59,61
"PA14_24870",0,2,0,1,1,0,8,15
"PA14_24880",767,1041,408,249,930,212,13562,19642
"PA14_24890,mobA",32,53,73,89,75,16,105,189
"PA14_24900,moaB2",40,36,112,79,75,8,158,209
"PA14_24910,moeA2",95,136,393,273,219,37,370,472
"PA14_24920",60,77,127,97,70,14,88,93
"PA14_24940",130,456,199,81,135,24,69,87
"PA14_24950,glpD2",210,441,293,187,190,36,137,141
"PA14_24960",254,397,419,336,406,54,191,221
"PA14_24970,yegS",69,70,61,50,60,7,417,674
"PA14_24980",95,119,145,137,107,17,214,321
"PA14_24990",356,267,216,192,217,33,59,59
"PA14_25000,slt",1133,834,1056,866,896,132,314,377
"PA14_25020,uup",137,207,212,220,185,33,211,206
"PA14_25030",16,28,83,79,35,6,84,104
"PA14_25040",55,44,211,258,304,29,190,233
"PA14_25050",2,9,8,6,6,1,5,4
"PA14_25060",113,116,166,91,90,15,51,75
"PA14_25080,fadB",2266,1478,4704,4977,4695,1217,2698,2770
"PA14_25090,fadA",907,712,1928,2587,2499,399,1936,2343
"PA14_25100",170,227,214,168,178,28,386,519
"PA14_25110,topA",3221,3069,5056,4986,3661,1038,6104,4822
"PA14_25130",180,217,319,414,374,69,792,747
"PA14_25140",147,741,160,212,256,46,408,648
"PA14_25150",29,23,62,52,36,5,71,104
"PA14_25160,lexA",85,88,186,118,114,18,263,275
"PA14_25180,psrA",61,46,97,380,157,73,441,421
"PA14_25195,nagZ",490,586,661,378,389,130,521,608
"PA14_25210",325,372,628,349,258,54,511,409
"PA14_25220",161,181,399,627,500,80,453,495
"PA14_25230,mfd",778,1040,2004,2420,1884,353,1779,1892
"PA14_25250,gapA",4442,7054,6710,5316,4130,1056,7478,7486
"PA14_25270,aroP1",123,267,128,150,164,28,235,249
"PA14_25280,nqrA",323,389,800,533,479,82,464,478
"PA14_25305,nqrB",245,226,625,724,536,87,582,541
"PA14_25320,nqrC",336,213,729,954,870,162,557,652
"PA14_25330,nqrD",125,72,335,418,454,75,275,349
"PA14_25340,nqrE",236,134,524,664,742,106,499,671
"PA14_25350,nqrF",308,212,763,986,1069,161,1041,1272
"PA14_25360,apbE",159,151,374,583,530,71,341,339
"PA14_25370",134,125,261,327,371,68,530,575
"PA14_25390,sth",673,749,1423,1394,1686,256,2284,2601
"PA14_25400,ugpQ",353,431,855,761,838,163,490,513
"PA14_25410",87,93,242,164,204,36,99,106
"PA14_25420",133,125,224,214,199,34,168,213
"PA14_25430,lolC",196,547,150,138,234,53,511,781
"PA14_25440,lolD",101,163,62,94,92,16,276,347
"PA14_25450,lolE",212,553,212,254,276,88,841,1074
"PA14_25470",29,32,33,30,21,5,66,95
"PA14_25480",18,20,41,38,51,4,50,63
"PA14_25490",109,245,129,142,178,21,270,266
"PA14_25500,exbD",36,63,39,32,41,9,89,81
"PA14_25510,lpxK",67,125,108,93,81,7,141,130
"PA14_25520",29,54,75,74,60,13,80,87
"PA14_25530,kdsB",64,84,146,103,103,12,150,167
"PA14_25540,ptpA",53,89,119,98,76,14,134,161
"PA14_25550,murB",136,232,293,213,174,36,342,339
"PA14_25560,rne",3531,5494,8695,5330,6214,1166,5524,5175
"PA14_25580,rluC",209,477,431,558,589,86,646,969
"PA14_25590",399,842,789,811,845,131,739,865
"PA14_25600,sppA",418,882,919,1059,998,164,1026,1289
"PA14_25610,maf-1",25,20,34,37,30,6,32,39
"PA14_25620",858,1937,1195,1427,1081,166,2409,2226
"PA14_25630,rpmF",71,118,74,116,52,12,458,618
"PA14_25640,plsX",167,452,206,271,259,47,431,415
"PA14_25650,fabD",5116,8438,8941,8215,5439,2476,3993,4339
"PA14_25660,fabG",5416,8350,13204,20699,13893,3365,5663,5070
"PA14_25670,acpP",1968,3175,3938,3907,3249,736,5353,7571
"PA14_25690,fabF1",308,600,477,449,434,67,593,740
"PA14_25710,pabC",79,197,106,145,119,16,246,247
"PA14_25730",231,635,363,336,359,51,579,541
"PA14_25740,tmk",44,84,81,95,66,11,147,79
"PA14_25760,holB",112,232,194,181,162,34,428,494
"PA14_25770,pilZ",254,527,442,361,370,70,519,804
"PA14_25780,ycfH",66,156,128,134,102,17,287,402
"PA14_25790",61,68,121,90,134,16,104,144
"PA14_25800",193,334,214,179,196,31,248,269
