"locus","SCV24_1","SCV24_2","REVa_1","REVa_2","REVb_1","REVb_2","SCV104357_1","SCV104357_2"
"PA14_01320,coIII",259,232,332,313,453,51,11,29
"PA14_01330",45,41,175,206,286,17,80,146
"PA14_01340",82,67,88,89,91,12,11,7
"PA14_01350",124,137,156,141,192,24,16,19
"PA14_01360,ctaA",134,122,205,200,190,26,8,8
"PA14_01380,ctaB",155,148,237,280,251,25,56,34
"PA14_01390",360,384,545,597,527,83,236,319
"PA14_01400,elaA",15,24,42,28,26,5,63,72
"PA14_01410",27,18,78,63,67,4,112,124
"PA14_01430",71,36,263,160,142,30,71,76
"PA14_01440",51,23,142,114,122,13,39,48
"PA14_01460,dctA",31,46,204,183,239,35,255,310
"PA14_01470",50,32,190,139,215,24,173,239
"PA14_01480",20,12,74,74,79,13,76,127
"PA14_01490",1449,648,4414,3127,2064,225,149,117
"PA14_01500",41,25,76,48,59,8,57,66
"PA14_01510",25,7,55,26,19,2,71,59
"PA14_01520",105,43,201,91,79,33,187,148
"PA14_01540",83,37,23,31,19,5,13,23
"PA14_01550",10,15,40,41,13,3,31,52
"PA14_01560,phnA",190,400,407,220,181,49,550,732
"PA14_01580,gabP",46,135,165,80,159,13,62,43
"PA14_01600,mmsA",1111,2550,3093,2248,4110,360,545,470
"PA14_01610",406,758,1113,968,1251,155,243,281
"PA14_01620,aptA",390,945,983,927,1210,110,124,133
"PA14_01640",31,16,70,39,32,8,61,71
"PA14_01660,guaD",104,113,132,120,192,21,953,1129
"PA14_01670",4,1,3,5,2,2,4,4
"PA14_01680",1,2,7,6,10,1,3,6
"PA14_01690",2,3,5,9,8,2,8,6
"PA14_01710,ahpC",4980,3415,14748,13640,17716,2969,9504,11608
"PA14_01720,ahpF",217,169,418,459,574,97,375,387
"PA14_01730",317,1118,5062,3718,3944,518,2043,2424
"PA14_01750",17,27,53,38,36,5,31,35
"PA14_01760,nuh",132,153,530,370,406,100,182,218
"PA14_01770",0,0,0,0,0,0,0,0
"PA14_01780",6,12,31,26,35,6,17,15
"PA14_01790",8,9,38,25,15,1,33,42
"PA14_01800",37,17,125,58,64,8,28,23
"PA14_01810",24,22,152,77,76,14,55,82
"PA14_01830,add",89,156,170,112,162,20,182,217
"PA14_01840",13,19,12,42,114,8,15,21
"PA14_01860",6,4,5,13,29,2,15,11
"PA14_01870",79,33,36,69,67,12,24,29
"PA14_01890,pcaQ",9,6,9,9,10,1,43,66
"PA14_01900,pcaH",285,153,64,42,51,4,18,11
"PA14_01910,pcaG",56,28,21,12,11,0,21,18
"PA14_01930,pcaR",141,160,144,48,90,21,39,62
"PA14_01940",117,108,136,138,99,18,294,405
"PA14_01960",148,106,168,155,116,22,286,249
"PA14_01970",382,355,487,587,507,100,867,1071
"PA14_01980",89,68,127,135,149,26,155,143
"PA14_01990",9,3,12,47,45,6,12,10
"PA14_02010",7,6,3,13,4,1,2,4
"PA14_02020",46,14,65,300,115,24,14,31
"PA14_02030",7,11,11,11,7,2,22,43
"PA14_02050",17,22,52,36,41,12,60,101
"PA14_02060",80,96,59,102,73,20,69,58
"PA14_02070",0,2,2,3,6,0,1,1
"PA14_02090",77,79,172,88,109,28,339,736
"PA14_02100",17,17,27,23,24,3,79,93
"PA14_02110",5,8,5,15,11,1,10,18
"PA14_02130",5,2,13,21,11,2,12,9
"PA14_02140",48,39,100,109,46,18,31,28
"PA14_02150",50,69,141,157,58,22,30,30
"PA14_02180,cheB",13,21,39,48,28,4,1,1
"PA14_02190,cheD",20,22,107,74,39,7,2,2
"PA14_02200,cheR",31,35,142,138,90,5,10,5
"PA14_02220",306,348,1632,1617,1064,156,67,60
"PA14_02230,cheW",95,111,445,459,270,47,10,15
"PA14_02250,cheA",196,170,901,761,597,81,34,22
"PA14_02260,cheY",203,135,1003,904,616,80,17,43
"PA14_02270",88,40,534,292,246,25,16,19
"PA14_02290",17,16,44,21,23,1,58,62
"PA14_02300,fabG",5,1,12,9,7,1,17,15
"PA14_02310,atsA",18,10,31,31,27,6,26,39
"PA14_02330,atsC",9,14,21,27,19,6,15,13
"PA14_02340,atsB",10,9,15,20,25,7,14,11
"PA14_02360,atsR",11,9,25,4,7,1,6,14
"PA14_02370",5,5,12,8,10,1,23,19
"PA14_02380",4,13,38,33,30,8,17,9
"PA14_02390",22,4,19,20,19,2,15,18
"PA14_02410",10,3,34,38,21,5,12,9
"PA14_02420,atsK",15,5,31,46,53,5,15,16
"PA14_02435",5,6,15,22,7,1,9,14
"PA14_02450",1254,1075,4590,3517,2540,629,309,219
"PA14_02460",307,145,1066,906,551,185,38,25
"PA14_02470,pntB",511,333,2142,2413,1611,366,231,157
"PA14_02490,tonB2",6,0,4,2,1,0,0,1
"PA14_02500,exbB1",0,6,8,10,12,3,7,7
"PA14_02510,exbD1",2,3,5,12,6,3,13,15
"PA14_02520",204,138,739,211,268,58,1955,3003
"PA14_02530",24,16,23,36,8,2,126,198
"PA14_02550,mdcA",35,76,157,346,156,28,31,40
"PA14_02560,mdcB",6,25,48,104,31,10,13,6
"PA14_02570,mdcC",0,5,11,22,9,0,2,0
"PA14_02580,mdcD",4,15,29,64,30,2,6,4
"PA14_02590,mdcE",0,3,12,26,8,3,2,7
"PA14_02610,mdcG",4,9,19,47,31,6,4,10
"PA14_02620,mdcH",13,24,57,170,90,11,13,12
"PA14_02630,mdcL",4,1,26,31,25,5,10,14
"PA14_02640,mcdM",6,6,18,49,16,6,19,20
"PA14_02650",8,12,25,21,17,3,35,54
"PA14_02660",23,15,69,56,67,5,47,96
"PA14_02680,aldH",12,4,34,26,15,5,15,16
"PA14_02690",10,6,9,12,8,1,8,17
"PA14_02700",19,18,69,73,76,16,31,53
"PA14_02720",12,8,16,27,30,2,21,20
"PA14_02730",24,33,52,53,58,7,151,137
"PA14_02740",11,12,22,26,15,1,40,23
"PA14_02750",35,45,67,57,60,14,125,118
"PA14_02760,catI",1903,5392,73,63,66,19,33,29
"PA14_02770,pcaJ",1060,2400,59,45,37,7,23,25
"PA14_02790,pcaF",1041,2324,68,84,59,12,32,35
"PA14_02810,pcaT",348,403,86,53,69,10,167,291
"PA14_02830,pcaB",309,218,102,51,59,11,151,189
"PA14_02840,pcaD",350,237,104,80,89,13,152,203
"PA14_02850,pcaC",397,269,114,94,123,12,207,247
"PA14_02870",34,34,28,22,31,2,76,107
"PA14_02890",117,164,330,229,128,37,11,18
"PA14_02900,pcaK",58,352,6,4,4,1,3,10
"PA14_02910",24,20,12,12,9,0,33,23
"PA14_02930",17,21,7,6,3,2,5,3
"PA14_02960",5,10,7,6,1,1,8,6
"PA14_02970",7,8,13,13,6,2,8,6
"PA14_02980",34,33,8,7,9,4,6,2
"PA14_02990",211,316,22,9,18,4,17,9
"PA14_03000",51,67,29,17,19,4,22,15
"PA14_03010",43,42,39,19,28,5,54,72
"PA14_03020,aroE",24,27,19,16,18,4,10,6
"PA14_03030,aroQ2",29,46,9,8,11,2,16,12
"PA14_03040",23,33,29,41,22,3,83,109
"PA14_03050,pobA",75,90,13,8,11,2,16,13
"PA14_03070,pobR",15,7,26,11,11,0,37,50
"PA14_03080",15,14,33,20,33,2,57,89
"PA14_03090",121,59,296,265,277,29,255,283
"PA14_03100",0,1,1,1,0,0,4,4
"PA14_03110",2,2,0,2,2,0,3,4
"PA14_03120",8,8,19,22,8,2,30,64
"PA14_03130",118,55,317,187,207,36,258,288
"PA14_03150",30,28,63,46,53,5,64,64
"PA14_03160",330,297,594,565,514,102,235,272
