gene_id,EV_1(GSM5097993),EV_2(GSM5097994),EV_3(GSM5097995),PA2577_1,PA2577_2,PA2577_3
D3C65_00715,277,223,236,328,304,272
D3C65_00720,475,431,566,591,626,624
D3C65_00725,29,14,17,11,4,13
D3C65_00730,97,54,97,84,81,75
D3C65_00735,22,15,22,35,29,19
D3C65_00740,42,32,24,38,40,34
D3C65_00745,77,66,94,76,80,69
D3C65_00750,16544,12875,14382,17105,15553,14641
D3C65_00755,2409,1855,1937,2148,2059,1963
D3C65_00760,8222,7340,11456,7258,9203,9472
D3C65_00765,668,680,918,892,880,941
D3C65_00770,1845,1526,1699,1507,1645,1761
D3C65_00775,167,180,238,194,200,222
D3C65_00780,407,358,424,529,469,510
D3C65_00785,46,37,45,48,30,45
D3C65_00790,129,124,143,144,115,119
D3C65_00795,989,776,924,888,921,817
D3C65_00800,116,93,127,104,99,112
D3C65_00805,290,194,206,222,228,218
D3C65_00810,117,114,111,148,144,125
D3C65_00815,198,155,152,143,155,171
D3C65_00820,32,22,14,25,32,39
D3C65_00825,14,15,13,10,8,16
D3C65_00830,78,64,88,67,69,77
D3C65_00835,528,385,377,511,437,370
D3C65_00840,884,676,719,716,766,804
D3C65_00845,693,529,602,667,635,675
D3C65_00850,2602,2065,2094,2090,2191,2122
D3C65_00855,722,618,678,839,778,831
D3C65_00860,198,159,230,158,156,169
D3C65_00865,385,543,574,272,351,470
D3C65_00870,1428,1134,1502,1417,1396,1440
D3C65_00875,352,250,324,310,330,353
D3C65_00880,1233,1271,1675,1091,1327,1443
D3C65_00885,2299,1846,2078,2782,2403,2197
D3C65_00890,45,29,48,60,37,39
D3C65_00895,1030,839,852,1098,942,1041
D3C65_00900,487,375,365,307,307,338
D3C65_00905,1353,1024,1071,1167,1049,1091
D3C65_00910,898,694,643,720,638,654
D3C65_00915,1027,681,737,863,820,784
D3C65_00920,1779,1481,1515,1627,1523,1458
D3C65_00925,12,18,16,25,14,20
D3C65_00930,14,13,13,18,15,15
D3C65_00935,47,35,23,34,31,42
D3C65_00940,277,258,296,282,325,301
D3C65_00945,61,56,52,69,67,80
D3C65_00950,316,268,358,306,359,373
D3C65_00955,339,358,466,469,516,502
D3C65_00960,365,320,431,402,414,466
D3C65_00965,407,301,406,453,457,451
D3C65_00970,159,123,117,103,151,108
D3C65_00975,222,162,186,185,179,158
D3C65_00980,58,28,48,47,56,41
D3C65_00985,82,77,82,83,78,91
D3C65_00990,64,64,53,46,54,53
D3C65_00995,32,25,33,30,25,24
D3C65_01000,36,33,39,27,33,24
D3C65_01005,18,15,19,17,28,20
D3C65_01010,77,64,73,83,82,70
D3C65_01015,137,116,111,124,117,104
D3C65_01020,8,11,7,7,5,7
D3C65_01025,42,30,38,52,40,39
D3C65_01030,58,44,41,52,40,45
D3C65_01035,43,30,31,32,30,35
D3C65_01040,628,503,610,520,502,491
D3C65_01045,106,90,112,102,84,99
D3C65_01050,492,361,450,355,323,302
D3C65_01055,16,10,14,15,6,10
D3C65_01060,25,14,21,18,25,28
D3C65_01065,12,9,20,19,19,21
D3C65_01070,884,1064,1998,1005,1147,1152
D3C65_01075,1518,1498,1820,1314,1595,1865
D3C65_01080,39,18,24,36,30,40
D3C65_01085,41,31,18,19,28,23
D3C65_01090,22,7,15,18,21,11
D3C65_01095,10,15,6,12,8,8
D3C65_01100,94,87,77,75,79,87
D3C65_01105,317,248,279,266,288,319
D3C65_01110,153,102,125,120,135,179
D3C65_01115,30,19,30,35,20,22
D3C65_01120,5,5,6,7,5,12
D3C65_01125,47,47,38,43,51,50
D3C65_01130,61,30,43,46,40,49
D3C65_01135,30,18,20,21,21,26
D3C65_01140,26,33,26,24,32,32
D3C65_01145,55,72,78,65,53,61
D3C65_01150,77,59,87,90,68,76
D3C65_01155,231,187,192,237,203,217
D3C65_01160,230,199,274,253,293,308
D3C65_01165,13,20,17,18,20,21
D3C65_01170,71,37,44,45,72,63
D3C65_01175,27,11,23,29,17,38
D3C65_01180,47,44,37,55,48,39
D3C65_01185,26,18,21,16,19,20
D3C65_01190,175,152,138,167,164,153
D3C65_01195,82,91,86,107,90,89
D3C65_01200,431,428,393,385,377,393
D3C65_01205,133,123,163,194,169,167
D3C65_01210,91,69,83,82,98,76
D3C65_01215,110,105,105,145,136,121
D3C65_01220,53,46,45,58,56,72
D3C65_01225,284,243,282,276,314,293
D3C65_01230,190,172,181,228,232,239
D3C65_01235,110,110,108,101,117,111
D3C65_01240,317,274,272,269,330,302
D3C65_01245,56,66,62,56,45,63
D3C65_01250,103,67,105,101,94,125
D3C65_01255,489,358,349,474,443,445
D3C65_01260,37,36,32,41,44,40
D3C65_01265,29,28,31,27,40,33
D3C65_01270,253,239,278,250,233,281
D3C65_01275,19,26,19,22,16,23
D3C65_01280,29,24,23,31,34,41
D3C65_01285,102,79,96,124,111,99
D3C65_01290,468,412,466,448,434,475
D3C65_01295,48,38,44,54,56,36
D3C65_01300,78,54,69,81,79,100
D3C65_01305,606,471,486,486,505,582
D3C65_01310,51,50,48,58,50,53
D3C65_01315,345,306,316,284,332,326
D3C65_01320,211,194,206,169,195,185
D3C65_01325,218,183,217,199,211,243
D3C65_01330,14,14,21,17,18,25
D3C65_01335,79,66,87,102,91,95
D3C65_01340,253,199,193,228,210,207
D3C65_01345,430,313,364,412,425,351
D3C65_01350,632,600,624,515,529,576
D3C65_01355,240,227,250,206,229,252
D3C65_01360,534,517,617,507,430,512
D3C65_01365,1248,1063,1301,1291,1227,1217
