"gene_id","Ag1","Ag2","Ag3","AgTe1","AgTe2","AgTe3","C1","C2","C3","Te1","Te2","Te3"
"A4W92_RS00005",207,141,108,112,94,176,144,145,111,125,130,168
"A4W92_RS00010",0,1.363,0,0,0,0,1.293,0,0,0,0,0
"A4W92_RS00015",386,280,158,394,371,558,285,314,272,293,284,489
"A4W92_RS00020",1198,1124,860,1607,1161,1771,869,908,816,960,1080,1508
"A4W92_RS00025",284,245,148,324,304,497,183,246,225,264,256,371
"A4W92_RS00030",27,25,25,26,29,49,23,20,20,37,22,28
"A4W92_RS00035",23,7,8,17,18,22,21,17,14,19,12,8
"A4W92_RS00045",1517.858,1683.694,1635.957,1029.641,681.56,1064.325,990.451,1264.376,965.331,1232.177,1137.533,1671.713
"A4W92_RS33320",103.987,77.984,69,90.998,92.991,134.988,125.976,89.988,87.997,63.986,86.977,82.962
"A4W92_RS00055",82,53,56,45,61,88,53,65,50,53,50,77
"A4W92_RS00060",847.103,633.434,481.313,421.908,424.798,695.873,467.353,721.42,661.563,693.138,599.826,803.669
"A4W92_RS00065",1210,1252,861,1379,1093,1904,1047,1437,1157,1262,1346,1458
"A4W92_RS00070",544,558,454,524,341,675,337,568,417,502,633,692
"A4W92_RS00075",242,224,174,243,201,389,165,245,233,197,273,293
"A4W92_RS00080",1020,900,846,1311,963,1706,832,915,772,987,1059,1252
"A4W92_RS00085",305,226,249,263,248,413,259,330,275,283,264,277
"A4W92_RS00090",471,401,364,387,355,629,485,499,437,475,433,404
"A4W92_RS00095",775,589,533,428,467,811,810,806,751,599,696,647
"A4W92_RS31745",83,85,54,45,47,60,63,75,48,55,67,81
"A4W92_RS00110",1287,880,643,654,832,1156,801,891,832,777,661,1024
"A4W92_RS00115",1430,1105,845,1396,1123,2144,992,1197,981,1266,1244,1440
"A4W92_RS00120",536,401,363,383,444,665,429,467,401,409,354,512
"A4W92_RS00125",188,143,99,91,86,190,95,154,132,136,138,149
"A4W92_RS00130",364,278,239,197,221,303,264,311,263,282,321,369
"A4W92_RS00135",169,145,98,109,71,130,116,145,108,123,123,163
"A4W92_RS00140",188,110,102,62,71,126,110,103,116,99,89,134
"A4W92_RS00145",89,52,35,37,51,54,49,50,57,46,39,82
"A4W92_RS00150",334,249,238,247,235,394,266,296,252,303,280,355
"A4W92_RS00155",259,150,148,157,175,266,167,201,171,180,179,232
"A4W92_RS00160",2507,2234,1587,2429,2040,3865,2166,2380,1946,2249,2619,2941
"A4W92_RS00165",223,195,161,137,142,226,157,197,148,178,179,268
"A4W92_RS00170",145,141,104,89,73,133,84,110,65,105,123,133
"A4W92_RS00175",52,50,19,23,33,41,48,41,28,33,39,36
"A4W92_RS00180",84,44,42,43,33,45,46,72,52,53,57,65
"A4W92_RS00185",128,100,106,111,75,147,108,128,124,111,116,134
"A4W92_RS00190",152,129,117,90,114,182,136,167,155,140,128,170
"A4W92_RS00195",133,114,111,88,88,146,121,148,126,140,107,141
"A4W92_RS00205",201,154,122,75,105,127,134,149,140,138,143,159
"A4W92_RS00210",20,11,13,16,14,27,14,17,11,13,12,21
"A4W92_RS00215",75,54,29,40,37,60,55,59,44,67,56,75
"A4W92_RS00220",32,26,23,16,17,33,30,35,32,19,29,35
"A4W92_RS00225",56,27,23,25,35,34,33,38,38,31,24,49
"A4W92_RS00230",4,5,1,6,4,6,3,5,2,4,1,5
"A4W92_RS00235",23,26,22,20,30,50,17,29,25,29,23,34
"A4W92_RS00240",1908,1624,1139,979,1240,1849,1204,1621,1233,1443,1245,1897
"A4W92_RS00245",419,338,266,256,210,352,277,331,257,316,323,349
"A4W92_RS00250",171.133,105.122,161.898,195.453,142.921,301.8,265.737,260.246,182.809,128.544,186.117,206.6
"A4W92_RS00255",80.943,76.976,50.002,108.002,75.001,120.985,79.002,75.951,61.002,68.002,104.001,105.086
"A4W92_RS00260",100,103,77,78,90,111,115,87,106,74,94,91
"A4W92_RS00265",89,77,73,85,70,130,88,97,86,84,93,87
"A4W92_RS00270",101,94,70,82,78,152,99,95,90,78,81,95
"A4W92_RS00275",25,12,28,13,17,20,28,28,22,16,25,21
"A4W92_RS00280",14,13,12,11,11,17,16,19,14,9,19,14
"A4W92_RS00285",91,61,59,33,42,75,67,72,56,50,38,73
"A4W92_RS00290",59,46,52,31,25,54,45,52,41,38,39,45
"A4W92_RS00295",262,175,157,142,128,216,231,212,199,197,201,181
"A4W92_RS00300",61,42,59,31,39,52,49,43,40,34,46,48
"A4W92_RS00305",18,9,12,3,3,2,2,2,10,8,3,11
"A4W92_RS00310",38,28,23,16,11,17,27,26,17,18,21,23
"A4W92_RS00315",642,373,323,288,254,451,288,433,342,335,374,541
"A4W92_RS00320",94,57,66,55,54,109,64,65,46,55,73,77
"A4W92_RS00325",7185,1671,7634,5519,5328,9348,514,567,714,3818,3373,5794
"A4W92_RS00330",393,114,462,209,283,447,59,55,46,243,204,342
"A4W92_RS00335",389,99,442,157,165,302,57,51,41,191,220,254
"A4W92_RS00340",438,377,256,316,262,507,425,400,340,329,404,416
"A4W92_RS00345",764,550,450,408,376,681,612,771,696,614,620,768
"A4W92_RS00350",1297,967,912,801,617,1164,934,1273,1084,1114,1120,1292
"A4W92_RS00355",185,160,115,125,115,232,158,190,169,159,144,157
"A4W92_RS00360",922,724,585,847,614,1363,870,1043,849,895,857,998
"A4W92_RS00365",783,956,551,994,712,1197,626,826,645,860,977,1195
"A4W92_RS00370",176,146,94,125,73,149,171,177,180,138,208,194
"A4W92_RS00375",123,112,85,108,89,201,152,147,149,125,173,159
"A4W92_RS00380",15,29,10,18,14,48,33,29,29,25,44,27
"A4W92_RS33580",4,2,4,8,5,8,4,6,0,2,5,6
"A4W92_RS00390",17,16,12,39,24,40,12,19,13,20,19,34
"A4W92_RS00395",2060,1721,1675,867,694,1556,1035,1063,1089,1397,973,1345
"A4W92_RS00400",51,53,35,59,45,65,36,49,29,50,35,66
"A4W92_RS00405",20,21,12,21,17,36,13,11,12,18,16,17
"A4W92_RS00410",45,35,30,34,21,37,28,34,23,32,35,40
"A4W92_RS00415",62,50,51,61,42,73,36,59,49,42,57,77
"A4W92_RS00420",91,78,54,61,95,140,63,86,62,81,90,118
"A4W92_RS00425",12,10,9,9,7,17,16,16,11,10,21,18
"A4W92_RS00430",12,12,7,12,14,15,9,4,11,13,10,12
"A4W92_RS00435",716,578,453,356,399,659,523,636,542,534,459,602
"A4W92_RS00440",72,87,53,94,100,178,71,96,81,67,76,109
"A4W92_RS00445",32,29,9,14,30,40,9,18,10,23,17,25
"A4W92_RS00450",130,92,65,140,96,153,103,81,66,95,121,134
"A4W92_RS00455",29,35,29,20,21,43,36,34,25,35,25,30
"A4W92_RS00460",39,34,37,25,13,45,18,47,35,41,31,47
"A4W92_RS00465",90,89,59,47,60,98,62,98,84,77,76,97
"A4W92_RS00470",60,56,44,52,33,52,40,62,65,66,68,62
"A4W92_RS00475",4,3,3,3,4,3,3,5,2,4,5,3
"A4W92_RS00480",22,12,10,18,11,23,20,12,12,15,20,19
"A4W92_RS00485",20,25,30,18,20,41,19,26,18,28,33,23
"A4W92_RS00490",45,46,20,44,45,91,33,39,36,48,44,44
"A4W92_RS00495",49,53,49,48,37,73,43,50,45,53,54,90
"A4W92_RS00500",135,85,76,69,94,124,81,108,97,78,110,124
"A4W92_RS00505",54,58,43,37,17,48,20,44,32,46,59,52
"A4W92_RS00510",40,35,22,22,18,34,29,34,25,30,35,38
"A4W92_RS00515",64,47,42,26,29,51,28,41,34,42,37,65
"A4W92_RS00520",4,7,3,4,2,6,5,5,1,3,4,3
"A4W92_RS00525",135,82,62,66,55,111,88,119,87,73,83,89
"A4W92_RS00530",51,29,16,43,36,64,27,35,28,36,30,44
"A4W92_RS00535",51,50,52,47,43,79,52,60,64,59,51,77
"A4W92_RS00540",33,21,26,19,16,19,26,42,30,36,26,29
"A4W92_RS00545",21,17,8,6,14,7,19,17,12,18,6,15
"A4W92_RS00550",31,26,24,12,8,30,19,22,23,23,30,32
"A4W92_RS00555",22,13,10,11,6,8,18,15,16,11,18,24
"A4W92_RS00560",67,43,42,41,41,62,41,63,50,54,39,65
"A4W92_RS00565",74,65,61,48,55,73,70,77,77,61,68,98
"A4W92_RS00570",69,64,40,43,31,61,44,49,36,54,43,45
"A4W92_RS00575",40,38,40,46,32,63,31,42,26,31,42,53
"A4W92_RS00580",2,7,5,3,2,10,5,5,3,2,4,9
"A4W92_RS00585",10,16,6,7,8,14,6,20,6,5,10,15
"A4W92_RS00590",96,81,76,74,75,133,94,87,81,80,88,106
"A4W92_RS00595",12,12,13,14,15,24,13,8,8,15,7,19
"A4W92_RS33325",5,7,10,14,1,8,6,6,4,5,1,5
"A4W92_RS00600",67,42,33,90,55,76,46,51,39,54,61,72
"A4W92_RS00605",96,76,64,62,55,92,69,89,75,67,62,75
"A4W92_RS00610",24,25,16,6,10,23,9,15,13,19,17,21
"A4W92_RS00615",37,38,36,26,17,36,28,31,38,28,23,37
"A4W92_RS00620",25,25,24,26,20,37,28,33,28,27,36,37
"A4W92_RS00625",9,8,9,4,7,6,9,7,9,12,6,11
"A4W92_RS00630",2,1,2,2,4,6,1,5,2,3,3,4
"A4W92_RS00635",4,2,1,0,3,8,6,1,4,2,2,6
"A4W92_RS00640",182,134,115,119,90,197,166,204,202,156,178,191
"A4W92_RS00645",47,52,35,41,39,76,58,85,78,72,59,86
"A4W92_RS00650",4,8,5,2,8,17,7,9,4,6,8,15
"A4W92_RS00655",83,82,56,54,40,82,70,67,63,57,73,112
"A4W92_RS00660",34,31,42,13,22,28,25,36,28,36,37,44
"A4W92_RS00665",39,44,21,33,35,53,37,25,29,29,38,42
"A4W92_RS00670",76,54,55,45,30,56,74,71,63,60,64,68
"A4W92_RS00675",41,39,45,22,18,25,47,38,32,38,47,36
"A4W92_RS00680",120,94,89,49,33,81,111,103,113,84,91,104
"A4W92_RS00685",184,158,157,108,68,145,244,225,218,145,223,176
"A4W92_RS00690",180,133,141,105,84,150,198,172,186,125,197,149
"A4W92_RS00695",856,635,750,763,599,1067,858,737,676,762,772,873
"A4W92_RS00700",17534,14962,10593,10633,13191,22863,18038,22363,18946,19247,14819,20567
"A4W92_RS00705",3935,2832,2417,1406,2119,3463,3891,4992,4112,3759,2715,3895
"A4W92_RS00710",3043,2068,1822,1050,1480,2470,2657,3727,3169,2885,2067,2942
"A4W92_RS00715",89,71,69,66,55,140,58,101,76,86,95,110
"A4W92_RS00720",97,118,88,82,74,122,100,114,84,83,95,143
"A4W92_RS00725",621,472,376,345,316,535,358,465,384,381,434,602
"A4W92_RS00730",250,193,140,186,149,289,194,199,177,158,178,215
"A4W92_RS00735",166,106,90,94,108,188,84,140,134,113,110,148
"A4W92_RS00740",215,120,95,115,116,219,135,153,138,176,143,199
"A4W92_RS00745",15743,15240,10427,11954,12851,25221,12807,16326,13062,16811,13576,18300
"A4W92_RS00750",560,490,346,310,373,724,403,573,441,591,536,634
"A4W92_RS00755",260,264,166,182,159,284,221,275,211,221,250,269
"A4W92_RS00760",504,452,330,514,412,763,507,540,404,428,506,569
"A4W92_RS00765",154,135,81,83,96,141,104,140,130,99,118,131
"A4W92_RS00770",444,348,242,320,261,492,384,413,359,324,369,427
"A4W92_RS00775",56,118,46,42,42,118,57,68,69,55,43,66
"A4W92_RS00780",16,36,16,9,9,15,10,10,10,16,15,11
"A4W92_RS00785",38,62,31,56,37,53,24,31,22,34,39,45
"A4W92_RS00790",33,53,31,39,27,44,25,39,33,28,29,52
"A4W92_RS00795",13,47,23,21,14,38,24,34,19,23,21,37
"A4W92_RS00800",13,16,6,9,8,19,9,17,10,11,4,9
"A4W92_RS00805",107,77,51,62,52,107,59,86,78,83,83,92
"A4W92_RS00810",5,11,8,7,7,12,4,8,7,7,9,11
"A4W92_RS00815",43,54,42,22,24,48,45,46,33,44,37,45
"A4W92_RS00820",35,32,17,25,19,24,36,54,39,20,24,31
"A4W92_RS00825",98,86,80,85,75,146,104,127,121,88,128,97
"A4W92_RS00830",148,103,68,119,74,169,69,92,93,100,85,144
"A4W92_RS00835",207,85,132,155,99,214,41,69,61,110,153,178
"A4W92_RS00840",44,32,32,42,44,57,44,67,51,42,56,78
"A4W92_RS00845",81,51,53,44,49,62,34,63,69,63,67,84
"A4W92_RS00850",28,23,15,19,11,17,20,29,27,18,27,23
"A4W92_RS00855",23,14,24,25,15,20,15,20,12,24,14,24
"A4W92_RS00860",21,25,15,25,16,22,19,18,26,23,17,25
"A4W92_RS00865",131,81,85,77,71,127,62,98,75,73,98,126
"A4W92_RS00870",19,14,21,17,13,22,13,19,14,7,23,24
"A4W92_RS00875",6,3,3,0,2,8,4,7,7,7,8,10
"A4W92_RS00880",9,15,11,7,13,17,13,19,9,14,12,13
"A4W92_RS00885",14,8,4,11,11,15,7,9,13,5,11,8
"A4W92_RS00890",22,19,22,23,26,50,13,22,16,18,26,27
"A4W92_RS33330",45,31,50,40,48,72,30,37,19,38,45,69
"A4W92_RS33335",472,327,353,370,340,552,237,266,247,337,336,525
"A4W92_RS00900",449,364,270,506,373,670,266,362,300,337,312,479
"A4W92_RS00905",745,580,510,432,381,667,551,707,668,430,500,675
"A4W92_RS00910",931,610,530,262,311,582,570,575,530,371,357,581
"A4W92_RS00915",352,208,239,130,109,186,174,201,185,141,140,234
"A4W92_RS00920",22,17,12,17,11,20,15,25,15,19,10,21
"A4W92_RS00925",20,20,12,16,15,21,16,29,15,9,21,21
"A4W92_RS00930",232,203,147,183,162,280,225,234,194,173,212,220
"A4W92_RS00935",466,554,495,461,408,760,422,563,504,531,495,637
"A4W92_RS00940",1620,1370,988,828,1141,1902,1787,1810,1682,1558,1272,1726
"A4W92_RS33340",7,14,11,11,5,9,8,9,13,9,13,20
"A4W92_RS00945",459,425,342,300,259,422,394,406,331,358,383,462
"A4W92_RS00950",2292,2060,1536,1986,1865,3423,1590,2077,1744,2051,1809,2263
"A4W92_RS00955",161,116,155,116,91,167,88,105,106,109,122,175
"A4W92_RS00960",37,30,31,27,28,42,17,35,18,30,20,35
"A4W92_RS00965",16,16,12,20,13,16,16,17,18,14,20,26
"A4W92_RS00970",83,67,54,66,57,111,58,70,63,63,93,92
"A4W92_RS00975",61,56,50,60,40,83,57,75,46,60,62,66
"A4W92_RS00980",95,104,60,88,60,110,65,88,72,83,108,121
"A4W92_RS00985",30,34,21,19,15,40,25,45,37,39,35,43
"A4W92_RS00990",571,569,494,487,411,767,581,654,530,556,690,623
"A4W92_RS00995",1865,430,2836,2117,1634,2812,147,169,186,1597,1961,2296
"A4W92_RS01000",126,112,106,96,83,137,81,131,97,97,143,138
"A4W92_RS01005",29,18,28,19,17,39,28,27,23,36,33,40
"A4W92_RS01010",53,27,38.097,23.67,25,37,14,43,24,40,25.026,43.539
"A4W92_RS01015",0,0,7.903,5.33,0,0,0,0,0,0,7.974,6.461
"A4W92_RS33585",0,3,4,2,3,2,1,1,1,1,0,3
"A4W92_RS01020",83,57,71,44,49,78,43,64,48,59,55,73
"A4W92_RS01025",104,75,94,98,79,137,60,57,71,91,95,102
"A4W92_RS01030",213,194,155,353,262,530,221,252,195,223,283,299
"A4W92_RS01035",27,27,21,34,23,39,21,32,18,17,29,37
"A4W92_RS01040",276,391,175,331,310,551,191,253,214,272,296,338
"A4W92_RS01045",48,37,29,26,29,51,26,34,36,33,46,36
"A4W92_RS01050",275,188,196,107,104,194,245,191,200,207,159,179
"A4W92_RS01055",148,53,282,93,85,159,20,28,31,97,136,145
"A4W92_RS01060",212,57,324,164,150,250,12,24,34,138,182,215
"A4W92_RS01065",1950,1886,1114,2136,1634,2967,1750,1974,1649,1509,1866,2010
"A4W92_RS01070",49,29,23,47,35,101,27,35,40,41,48,58
"A4W92_RS01075",844,487,431,347,401,632,626,586,554,513,507,658
"A4W92_RS01080",247,229,111,130,195,307,183,218,188,182,158,253
"A4W92_RS01085",869,614,448,728,612,1193,888,777,677,601,793,846
"A4W92_RS01090",4860,3902,2566,3192,3309,5614,4269,4670,3970,3400,4103,4871
"A4W92_RS01095",636,667,412,378,277,547,597,701,617,498,687,741
"A4W92_RS01100",3625,3570,2303,2333,1902,3590,5325,4061,3980,2893,4500,3849
"A4W92_RS01105",1643,627,821,184,325,273,424,441,427,538,548,990
"A4W92_RS01110",8858.405,3673.02,3685.948,1004.583,1691.476,1617.941,3141.665,3367.031,3212.428,3398.084,3376.682,6327.451
"A4W92_RS01115",583,382,271,170,180,253,535,443,421,334,388,468
"A4W92_RS01120",152,148,127,55,49,94,179,167,157,131,145,145
"A4W92_RS01125",142,110,119,151,121,170,82,114,115,117,135,174
"A4W92_RS01135",2095.797,2131.557,1462.494,1908.049,1692.351,2793.96,1671.307,2000.894,1552.844,2118.524,1844.603,2712.929
"A4W92_RS33590",32,19,14,23,23,26,23,20,21,22,15,26
"A4W92_RS01140",1298,879,662,639,680,1299,806,915,869,753,807,1043
"A4W92_RS01145",1346,1071,569,642,1032,1501,541,1198,845,945,740,1393
"A4W92_RS01150",3999,3012,1827,2209,3115,4561,1713,3168,2398,2776,2181,4327
"A4W92_RS01155",961,926,609,1255,1066,1977,819,949,813,905,958,1204
"A4W92_RS01160",39,29,22,45,23,58,29,36,31,29,35,37
"A4W92_RS01165",96,80,61,103,91,119,52,82,72,53,96,82
"A4W92_RS01170",130,145,138,125,124,176,109,118,118,94,123,153
"A4W92_RS01175",184,126,161,224,173,337,124,150,129,152,154,221
"A4W92_RS01180",1061,408,2019,308,298,462,719,506,704,327,462,475
"A4W92_RS01185",898,438,945,1399,1013,2254,509,485,552,672,773,868
"A4W92_RS01190",7222,5909,4452,4482,4122,7003,4084,6121,5215,5426,4825,6991
"A4W92_RS01195",475,332,271,276,285,543,422,423,409,327,409,413
"A4W92_RS01200",5552,6076,2668,5959,5680,10270,4885,5253,4034,4766,5349,5928
"A4W92_RS01205",82,86,49,71,57,129,98,92,89,70,87,93
"A4W92_RS01210",43,37,20,43,36,46,16,28,22,23,31,44
"A4W92_RS01215",754,783,456,607,494,869,657,749,605,695,776,823
"A4W92_RS01220",265,315,179,252,253,474,275,341,291,291,349,351
"A4W92_RS01225",642,766,462,487,493,915,587,789,573,601,709,750
"A4W92_RS01230",27,29,12,13,19,39,27,32,10,16,22,26
"A4W92_RS01235",1039,748,616,517,558,876,540,807,686,730,680,969
"A4W92_RS01240",764,935,634,809,772,1089,838,899,681,840,707,918
"A4W92_RS01245",2385,2920,1858,1523,1865,2459,1914,2445,1747,2108,1621,2085
"A4W92_RS01250",668,867,598,509,625,848,753,943,692,575,539,652
"A4W92_RS01255",217,300,177,154,216,271,283,374,260,191,187,218
"A4W92_RS01260",755,913,444,464,571,901,833,986,806,655,705,721
"A4W92_RS01265",435,521,289,365,313,507,408,482,405,407,451,475
"A4W92_RS01270",1907,1498,1332,1986,1116,2369,1638,1807,1644,1362,1758,1491
"A4W92_RS01275",12442,8908,8905,9107,5023,11591,9549,8825,8465,6198,7782,6877
"A4W92_RS01280",6842,5219,7597,3954,2717,6303,7481,5848,5802,4307,5273,3359
"A4W92_RS01285",2194,2096,3724,1473,927,2119,2882,2223,2166,1590,2262,1201
"A4W92_RS01290",334,377,575,320,179,419,685,495,451,343,508,203
"A4W92_RS01295",1427,1158,882,943,803,1452,1192,1317,1094,936,1192,1366
"A4W92_RS01300",117,131,114,100,64,149,172,149,147,130,155,141
"A4W92_RS01305",198,170,175,196,133,275,175,168,157,193,215,217
"A4W92_RS01310",257,185,164,156,142,250,194,281,232,179,154,211
"A4W92_RS01315",1161,911,777,1047,788,1534,721,973,845,882,925,1133
"A4W92_RS01320",70,86,53,64,47,109,69,86,74,76,70,83
"A4W92_RS01325",129,160,81,115,74,158,108,142,104,124,135,143
"A4W92_RS01330",803,465,308,298,270,394,286,461,431,313,307,672
"A4W92_RS01335",1465,1234,935,1068,881,1712,1040,1270,1104,1057,1053,1323
"A4W92_RS01340",279,198,154,218,197,319,265,254,223,199,226,271
"A4W92_RS01345",451,380,257,440,353,647,307,421,324,383,420,527
"A4W92_RS33345",224,204,126,212,172,377,145,202,171,193,220,254
"A4W92_RS01350",485,426,303,303,291,549,363,470,436,421,408,430
"A4W92_RS01355",507,364,334,181,172,271,262,287,273,222,244,296
"A4W92_RS01360",1339,835,659,433,446,658,709,733,667,569,610,925
"A4W92_RS01365",93,110,118,65,55,126,96,111,86,87,77,90
"A4W92_RS01370",344,168,206,129,102,201,165,178,169,159,128,239
"A4W92_RS01375",157,84,66,80,50,114,76,80,88,68,70,88
"A4W92_RS01380",397,204,212,111,115,150,177,157,146,123,136,196
"A4W92_RS01385",841,335,336,158,188,256,305,315,397,209,226,410
"A4W92_RS01390",53,33,34,24,34,47,39,36,44,36,36,38
"A4W92_RS01395",45.512,88.285,70.986,54.495,29.41,76.331,88.854,62.154,149.854,16.86,28.817,29.795
"A4W92_RS01400",22,36,30,20,13,22,46,31,26,15,14,17
"A4W92_RS01405",80,111,102,51,27,91,88,92,91,74,69,92
"A4W92_RS01410",18,16,15,6,6,16,10,21,13,7,12,10
"A4W92_RS01415",23,24,19,23,11,32,16,23,17,14,21,19
"A4W92_RS01420",65,33,28,28,27,45,41,35,26,24,17,41
"A4W92_RS33350",20,11,8,14,11,24,6,17,12,9,10,14
"A4W92_RS01425",653,342,307,152,140,207,306,289,324,204,201,403
"A4W92_RS01430",118,66,60,13,16,24,31,42,35,29,41,45
"A4W92_RS01435",149,124,128,108,91,137,152,143,142,120,113,167
"A4W92_RS01440",161,77,82,60,70,98,78,82,83,81,70,106
"A4W92_RS01445",39,31,33,31,20,30,30,30,35,33,26,45
"A4W92_RS01450",611,498,462,416,333,508,377,462,405,451,466,542
"A4W92_RS01455",285,222,228,71,74,131,109,131,124,150,221,210
"A4W92_RS01460",2152,711,701,214,249,311,819,760,874,433,615,1070
"A4W92_RS01465",321,259,146,1178,586,1325,436,426,353,462,672,705
"A4W92_RS01470",1906,1470,1271,1683,1352,2447,1121,1543,1245,1416,1489,1845
"A4W92_RS01475",214,241,194,411,238,440,139,218,183,210,292,359
"A4W92_RS01480",294,178,195,127,99,213,173,242,221,182,171,263
"A4W92_RS01485",194,225,130,212,163,303,190,268,193,172,287,267
"A4W92_RS01490",389,273,201,257,188,384,239,282,251,223,316,364
"A4W92_RS01495",10202,9666,4759,6533,6688,10893,11468,12273,10376,8602,9559,11476
"A4W92_RS01500",526,518,421,451,274,443,241,367,317,339,390,613
"A4W92_RS01505",108,80,73,192,123,235,97,108,86,95,122,128
"A4W92_RS01510",375,328,225,394,356,645,273,370,291,361,355,445
"A4W92_RS01515",138,185,93,213,142,295,177,215,147,161,198,205
"A4W92_RS01520",858,1135,535,731,693,1209,985,1082,788,839,997,1048
"A4W92_RS01525",464,437,270,330,267,449,353,424,349,351,453,491
"A4W92_RS01530",212,174,126,150,144,219,165,232,197,164,222,227
"A4W92_RS01535",27,27,27,26,23,39,36,37,27,26,37,52
"A4W92_RS01540",8,7,6,3,8,8,6,8,7,5,12,5
"A4W92_RS01545",130,143,117,99,96,156,160,141,105,106,115,141
"A4W92_RS01550",20,10,9,11,6,18,17,12,7,10,12,17
"A4W92_RS01555",7,6,5,6,3,12,12,5,5,7,6,4
"A4W92_RS01560",192,172,159,92,93,150,147,170,132,168,149,178
"A4W92_RS01565",584,547,432,491,402,775,440,625,510,609,618,653
"A4W92_RS01570",761,766,618,896,571,1077,524,794,735,755,729,926
"A4W92_RS01575",270,247,199,207,166,281,212,271,214,206,210,273
"A4W92_RS01580",487,348,291,214,249,428,360,489,408,416,334,396
"A4W92_RS01585",2596,1802,1685,1436,1263,2221,1565,1996,1731,1887,1772,2508
"A4W92_RS01590",345,289,231,443,327,576,225,311,265,312,412,468
"A4W92_RS01595",1572,1166,924,945,1034,1754,1053,1287,1037,1129,983,1424
"A4W92_RS01600",1054,863,685,560,567,962,726,870,762,638,610,908
"A4W92_RS01605",813,754,501,701,656,1139,822,852,706,789,798,889
"A4W92_RS01610",127,138,110,79,84,168,131,130,107,114,107,114
"A4W92_RS01615",3984,2668,2386,2528,2718,4145,3204,2929,2586,2589,2601,3600
"A4W92_RS01620",5,6,1,4,3,1,4,4,3,2,4,11
"A4W92_RS01625",3,1,5,1,0,2,1,1,4,2,1,3
"A4W92_RS31825",1517,1132,1122,1048,1014,1382,1102,1146,1017,1063,992,1518
"A4W92_RS33020",111,118,89,109,99,141,70,99,80,101,94,149
"A4W92_RS01630",196,157,127,291,153,325,91,150,130,193,189,242
"A4W92_RS01635",144,156,128,84,82,142,112,139,101,109,148,164
"A4W92_RS01640",63,72,49,45,38,81,48,61,57,55,61,82
"A4W92_RS01645",83,85,56,56,51,85,52,63,58,62,67,73
"A4W92_RS01650",509,495,370,459,361,679,470,456,434,443,512,502
"A4W92_RS01655",250,183,140,228,144,337,141,205,153,174,225,230
"A4W92_RS01660",303,237,162,219,182,324,174,251,192,217,214,279
"A4W92_RS01665",2231,621,1775,1227,1722,2799,399,452,468,3482,3367,3846
"A4W92_RS01670",2973,3126,1503,2701,2381,4216,3570,3638,2858,2722,3567,3700
"A4W92_RS01675",12,11,6,4,1,3,9,7,6,7,7,8
"A4W92_RS01680",9,8,6,2,2,5,4,7,10,1,6,7
"A4W92_RS01685",47,61,33,18,29,48,28,45,46,36,45,65
"A4W92_RS01690",41,45,21,35,22,52,41,56,34,29,29,43
"A4W92_RS01695",30,25,14,51,42,76,27,26,25,28,32,38
"A4W92_RS01700",2844,2634,1933,2490,2603,4550,2443,3278,2457,3691,2844,3972
"A4W92_RS33755",1502,994,819,563,560,928,1336,1762,1395,1471,1132,1713
"A4W92_RS01710",1561,1134,862,471,736,1202,1533,2127,1631,1764,1117,1748
"A4W92_RS01715",188,175,126,100,111,204,261,378,240,264,191,264
"A4W92_RS01720",24,21,15,12,21,23,28,44,33,34,27,35
"A4W92_RS01725",116,84,47,49,59,77,101,144,111,100,61,125
"A4W92_RS01730",1413,1162,907,984,789,1343,929,1172,1097,1093,1127,1485
"A4W92_RS01740",48,28,17,31,32,62,33,26,23,36,39,34
"A4W92_RS01745",1780,1776,1011,1744,1291,2478,1596,1850,1471,1429,1698,1820
"A4W92_RS01750",1364,1233,731,908,1157,1680,846,1339,1030,971,859,1473
"A4W92_RS01755",1541,1430,867,744,1164,1691,869,1460,1052,1094,975,1651
"A4W92_RS01760",1616,1402,792,807,1257,2032,1139,1642,1163,1116,970,1456
"A4W92_RS01765",643,610,347,384,438,743,483,710,482,536,419,665
"A4W92_RS01770",53,49,32,33,47,69,35,59,44,39,35,64
"A4W92_RS01775",346,374,210,222,246,414,287,458,271,289,254,343
"A4W92_RS01780",327,341,194,170,261,378,256,353,222,268,216,289
"A4W92_RS01785",584,430,331,362,317,531,325,463,345,372,396,528
"A4W92_RS01790",65.22,59.189,41.459,46.826,30.293,66.141,65.782,60.541,55.999,54.419,51.601,63.608
"A4W92_RS01795",63,44,52,44,48,64,80,95,74,61,58,79
"A4W92_RS01800",172,158,131,147,119,202,178,207,180,159,170,182
"A4W92_RS01805",44,37,34,45,29,51,48,52,42,29,38,51
"A4W92_RS01810",94.826,87.416,68,93.016,73.865,141.041,82.889,94.483,114,92.665,92.58,109.178
"A4W92_RS01815",65.603,42.676,22.166,67.415,51.128,80.017,53.026,50.874,52.997,51.724,53.139,48.263
"A4W92_RS01820",4.251,0,0,21.173,9.764,11.357,5.486,11,7.587,8.36,10.996,14.105
"A4W92_RS01825",101,98,64,76,71,120,79,111,80,86,75,110
"A4W92_RS01830",19,18,10,17,14,12,14,13,8,5,13,17
"A4W92_RS01835",41,26,16,24,17,25,19,17,27,15,32,33
"A4W92_RS01840",61,43,35,43,41,65,47,47,51,58,42,62
"A4W92_RS01845",46,37,40,30,35,59,59,58,51,54,40,54
"A4W92_RS01850",85,74,76,38,48,77,94,105,76,68,78,80
