"gene_id","Ag1","Ag2","Ag3","AgTe1","AgTe2","AgTe3","C1","C2","C3","Te1","Te2","Te3"
"A4W92_RS16435",21,31,20,32,27,46,21,29,24,19,23,31
"A4W92_RS16440",394,268,243,207,178,284,179,302,219,224,239,353
"A4W92_RS16445",92,89,49,82,84,158,61,106,73,73,66,101
"A4W92_RS16450",37,27,18,30,33,46,45,37,33,33,34,35
"A4W92_RS16455",48,36,27,24,21,38,38,35,30,25,33,36
"A4W92_RS16460",44,58,36,32,25,56,34,52,36,39,63,51
"A4W92_RS16465",273,182,161,117,126,209,167,210,185,204,182,236
"A4W92_RS16470",41,25,23,11,15,31,24,43,24,29,23,26
"A4W92_RS16475",312,193,189,117,123,178,148,203,186,184,175,200
"A4W92_RS16480",989,729,593,535,418,751,558,656,567,576,534,798
"A4W92_RS16485",2164,2044,1714,1963,2152,3761,1865,2214,1821,2346,2036,2604
"A4W92_RS16490",1289,902,707,1038,1021,1564,959,1013,962,920,938,1260
"A4W92_RS16495",187,148,97,73,103,157,132,157,129,137,112,126
"A4W92_RS16500",2505,2590,1505,2438,2501,4668,2339,2426,2202,2099,2141,2488
"A4W92_RS16505",473,396,223,960,756,1575,451,507,373,493,538,578
"A4W92_RS16510",768,703,505,369,416,610,555,729,544,544,598,741
"A4W92_RS16515",5462,4222,2966,2745,3083,5046,4358,4917,4307,3727,3690,4614
"A4W92_RS16520",10541,9128,5425,4997,6113,9600,9172,9887,8318,8031,7872,8326
"A4W92_RS16525",67919,59396,36536,36154,42531,66865,66011,64747,55580,52877,54079,55304
"A4W92_RS16530",36370,31753,18703,20878,24163,36735,38539,35041,30463,29659,30433,31115
"A4W92_RS16535",86785,78827,46575,58922,63893,102536,94747,85570,74256,72340,78289,78477
"A4W92_RS16540",20472,19444,10838,15898,16373,27715,23257,21525,18465,18410,20922,19805
"A4W92_RS16545",23519,22825,12609,19467,19356,30801,26785,24987,21275,21176,25360,24085
"A4W92_RS16550",20209,19103,10526,17397,16701,27897,23177,20782,18075,17855,22236,20279
"A4W92_RS16555",13915,16260,8565,17684,15495,26302,18528,18654,14495,14973,18262,17990
"A4W92_RS16560",1222,1985,1050,1556,1339,1862,1523,1792,1302,1468,1779,2155
"A4W92_RS16565",5093,5183,2965,3047,3461,5556,4553,5197,4121,4355,4717,5456
"A4W92_RS16570",5278,4826,2780,3375,3813,5851,5622,5613,4625,4329,4795,5406
"A4W92_RS16575",4300,4225,2168,3557,3813,5788,5619,5247,4554,4191,5225,5146
"A4W92_RS16580",14227,14425,7618,19803,15970,28856,17042,18040,14472,15110,18927,19848
"A4W92_RS33430",22,22,13,18,13,18,15,22,16,20,17,27
"A4W92_RS16590",2421,2250,1235,2268,1962,3667,2368,2417,1983,2154,2276,2730
