"gene_id","PA1","PA2","BSS_32","BSS","E1","E2","BE1","BE2"
"PA3194",1170,868,1850,339,1489,1151,1780,1103
"PA3195",717,581,1070,258,449,264,358,221
"PA3196",132,95,200,38,160,93,210,169
"PA3197",385,306,534,72,418,336,696,450
"PA3198",1010,838,1398,281,423,293,410,271
"PA3199",512,402,838,235,457,292,538,320
"PA3200",235,172,334,116,659,500,719,500
"PA3201",360,272,548,214,1034,677,1256,869
"PA3202",114,73,174,62,59,46,65,65
"PA3203",329,318,750,129,109,89,108,89
"PA3204",448,360,753,160,794,600,1078,828
"PA3205",330,318,1265,338,319,205,21782,17053
"PA3206",68,39,120,36,65,44,6223,4359
"PA3207",20,15,48,8,2,1,210,135
"PA3208",137,80,211,36,75,81,104,86
"PA3209",18,19,37,5,348,299,562,343
"PA3210",182,171,248,54,731,497,1172,828
"PA3211",396,361,591,207,688,536,884,615
"PA3212",196,152,358,68,212,165,242,164
"PA3213",1150,816,1784,401,373,250,417,287
"PA3214",579,351,1049,206,73,42,52,33
"PA3215",200,157,256,65,539,424,701,480
"PA3216",49,38,72,79,119,71,144,95
"PA3217",418,335,592,141,1080,799,1345,859
"PA3218",31,36,50,6,189,107,162,124
"PA3219",33,23,40,6,29,29,46,44
"PA3220",67,46,64,16,166,130,132,130
"PA3221",69,55,100,51,144,96,187,121
"PA3222",75,62,129,27,33,11,37,23
"PA3223",45,46,77,12,199,103,165,112
"PA3224",262,231,349,72,132,85,165,93
"PA3225",1464,996,2128,411,848,621,1004,745
"PA3226",498,412,677,146,280,201,341,226
"PA3227",1366,1302,1998,335,160,123,185,111
"PA3228",1295,1052,1964,276,210,169,256,173
"PA3229",57,54,153,48,37,19,79,52
"PA3230",418,339,467,95,363,246,479,294
"PA3231",42,34,94,37,59,37,51,46
"PA3232",65,51,110,19,31,22,44,23
"PA3233",234,165,431,55,59,39,50,40
"PA3234",697,569,1131,216,189,137,238,130
"PA3235",100,70,135,42,101,71,130,69
"PA3236",336,294,443,76,1532,1170,1894,1334
"PA3237",23,17,18,3,14,9,22,10
"PA3238",443,447,1142,245,899,587,1398,877
"PA3239",628,685,2042,352,565,420,686,523
