"gene_id","PA1","PA2","BSS_32","BSS","E1","E2","BE1","BE2"
"PA0001",4063,3644,5307,808,5293,3607,7046,4397
"PA0002",9765,9197,14347,2184,3810,2759,5555,3361
"PA0003",1854,1706,2502,359,1529,1166,2394,1567
"PA0004",26663,24275,34373,4798,5635,3957,7843,5265
"PA0005",483,403,583,93,968,746,853,526
"PA0006",285,216,376,59,560,353,693,499
"PA0007",356,305,530,77,745,502,571,418
"PA0008",5205,4365,6232,800,1182,823,1370,976
"PA0009",1688,1385,1535,302,751,555,1183,749
"PA0010",248,238,250,57,96,89,127,80
"PA0011",1334,1325,1301,246,1539,1131,1902,1228
"PA0012",127,98,113,53,362,285,446,299
"PA0013",60,64,74,22,1208,817,1242,875
"PA0014",31,37,82,23,82,69,140,84
"PA0015",201,124,229,106,780,620,1063,929
"PA0016",942,903,1313,225,411,289,406,300
"PA0017",374,282,514,93,195,138,234,143
"PA0018",277,153,297,98,276,206,389,235
"PA0019",4146,4648,7471,1044,1912,1423,3145,1856
"PA0020",4237,3494,3167,735,2588,1964,3917,2419
"PA0021",68,56,83,8,16,17,20,16
"PA0022",189,161,225,37,471,328,620,442
"PA0023",1692,1266,2638,522,170,113,210,135
"PA0024",1362,997,925,222,1069,766,1236,821
"PA0025",372,329,415,63,277,242,345,263
"PA0026",1071,903,1341,331,353,224,428,269
"PA0027",642,397,798,136,69,54,91,72
"PA0028",262,238,322,101,93,58,97,88
"PA0029",94,78,140,18,41,36,70,53
"PA0030",48,56,106,18,13,7,33,9
"PA0031",68,72,131,35,105,71,118,78
"PA0032",130,120,170,42,329,269,443,366
"PA0033",24,5,26,6,25,24,31,31
"PA0034",47,41,77,17,88,58,112,62
"PA0035",723,542,1075,189,88,65,127,100
"PA0036",1280,1144,1353,302,332,235,427,314
"PA0037",66,57,75,15,401,246,497,385
"PA0038",264,188,536,228,522,470,1136,700
"PA0039",1950,1776,3086,1108,3025,3058,5783,3052
"PA0040",385,324,492,149,1056,764,1246,900
"PA0041",5254,4743,6331,1484,2678,2025,3476,2486
"PA0042",207,175,216,66,1128,800,1359,1093
"PA0043",143,86,188,37,136,116,207,158
"PA0044",2402,2054,2145,467,2581,2037,4440,3462
"PA0045",739,757,581,120,2234,1683,4252,2538
"PA0046",461,336,241,63,1119,796,1566,1251
"PA0047",158,93,147,26,338,241,456,379
"PA0048",328,191,220,51,14,8,14,11
"PA0049",944,678,727,244,132,97,202,152
"PA0050",3391,3223,2625,351,620,453,898,689
"PA0051",425,387,758,135,427,297,495,353
"PA0052",102,79,203,31,63,31,66,37
"PA0053",482,501,646,110,706,468,1205,734
"PA0054",62,38,89,20,77,39,65,48
"PA0055",438,325,513,174,192,143,282,160
"PA0056",69,58,83,20,166,143,221,161
"PA0057",75,70,131,21,428,331,584,369
"PA0058",40,42,79,16,70,59,131,72
"PA0059",125,106,550,178,139,119,199,146
"PA0060",318,296,589,149,952,708,1390,957
"PA0061",153,79,225,44,178,119,223,154
"PA0062",165,123,477,107,381,298,592,387
"PA0063",141,85,177,55,262,171,364,299
"PA0064",317,215,435,81,163,124,248,162
"PA0065",556,519,659,116,426,295,622,396
"PA0066",736,442,770,137,442,283,561,374
"PA0067",5401,4106,7708,1455,551,421,907,512
"PA0068",1446,1128,2060,528,157,116,150,120
"PA0069",58,48,129,27,51,44,81,49
"PA0070",15403,12962,24750,4121,3188,2405,5141,3446
"PA0071",1365,1000,1702,648,3334,2626,5427,4179
"PA0072",105,65,154,37,6,14,16,16
"PA0073",57,55,87,22,10,5,7,13
"PA0074",1083,881,1742,370,161,105,147,107
"PA0075",227,196,352,80,82,54,72,61
"PA0076",68,48,86,23,41,20,37,25
"PA0077",1871,1501,3134,597,354,194,327,233
"PA0078",571,460,890,134,103,72,139,84
"PA0079",435,330,605,125,85,66,104,67
"PA0080",138,102,210,73,148,89,181,140
"PA0081",665,569,1029,280,1041,803,1481,1024
"PA0082",336,322,634,201,1470,1051,2038,1272
"PA0083",3471,2672,4729,1054,1071,743,1453,1065
"PA0084",7229,6945,12301,2625,2517,1749,3640,2380
"PA0085",17792,15565,29320,2989,677,404,758,564
"PA0086",706,525,913,136,348,240,341,246
"PA0087",132,113,206,52,132,83,181,99
"PA0088",614,519,954,173,163,101,173,96
"PA0089",150,113,265,62,34,16,41,12
"PA0090",4122,3493,5771,1170,281,223,319,261
"PA0091",1723,1310,2331,446,304,209,378,283
"PA0092",315,338,397,76,200,147,273,177
"PA0093",408,331,383,75,420,285,612,412
"PA0094",130,112,128,52,306,237,417,324
"PA0095",1633,1335,2395,669,1221,942,2092,1477
"PA0096",121,95,190,38,25,25,48,32
"PA0097",436,285,590,87,102,66,123,103
"PA0098",154,114,282,55,29,14,53,31
"PA0099",663,719,1311,299,227,156,343,210
"PA0100",3480,3246,5668,952,619,467,890,630
"PA0101",346,230,565,97,144,104,222,153
"PA0102",1423,1320,3091,508,790,572,5519,3428
"PA0103",149,133,602,80,245,165,1646,1165
"PA0104",171,137,312,78,348,277,2222,1551
"PA0105",217,189,265,61,602,416,1294,960
"PA0106",88,67,114,31,160,126,463,307
"PA0107",50,59,70,9,47,27,114,76
"PA0108",62,63,85,20,54,37,104,73
"PA0109",47,22,103,26,10,6,15,10
"PA0110",35,34,69,14,37,32,64,45
"PA0111",32,27,55,8,7,13,31,18
"PA0112",40,43,68,9,15,12,31,11
"PA0113",72,80,96,20,29,13,39,28
"PA0114",243,208,627,295,179,125,304,232
"PA0115",174,142,222,40,70,33,106,76
"PA0116",847,753,974,142,671,511,832,624
"PA0117",171,139,154,29,341,262,446,318
"PA0118",110,82,144,37,178,131,239,163
"PA0119",374,441,562,121,1222,888,1665,1191
"PA0120",430,340,522,63,87,71,109,106
"PA0121",178,132,241,42,178,127,240,158
"PA0122",7764,6883,6526,2059,590,417,849,581
"PA0123",266,258,370,87,2028,1369,1897,1387
"PA0124",102,105,99,31,1004,727,1195,748
"PA0125",46,58,64,15,1373,1102,1662,1190
"PA0126",544,438,610,113,331,202,408,276
"PA0127",203,192,299,52,147,119,166,106
"PA0128",542,419,228,49,1055,896,703,510
"PA0129",331,346,446,105,78,45,91,47
"PA0130",1239,988,2161,415,262,177,383,253
"PA0131",72,45,117,21,26,16,25,20
"PA0132",676,490,1470,270,161,133,283,183
"PA0133",174,164,225,49,716,505,696,481
"PA0134",239,156,464,172,572,384,821,554
"PA0135",18,13,21,3,54,37,54,42
"PA0136",81,84,117,13,123,78,113,83
"PA0137",32,25,50,6,98,76,87,65
"PA0138",56,40,86,17,51,34,37,33
"PA0139",12148,13902,25008,5366,1087,793,1828,1247
"PA0140",974,841,1532,220,549,421,820,536
"PA0141",16882,14280,19687,3420,570,425,460,341
"PA0142",74,74,130,25,1192,1031,1984,1279
"PA0143",1093,886,1692,348,319,240,398,263
"PA0144",51,28,65,15,50,52,78,53
"PA0145",71,52,124,20,64,45,82,62
"PA0146",71,65,106,13,213,164,268,179
"PA0147",93,72,161,34,87,85,121,81
"PA0148",708,658,1051,195,383,259,570,345
"PA0149",6,12,29,4,9,16,22,7
"PA0150",64,74,90,13,216,151,251,200
"PA0151",116,98,233,25,423,321,582,365
"PA0152",72,52,87,20,48,40,63,54
"PA0153",37,32,38,11,64,34,114,57
"PA0154",54,50,68,15,32,24,23,42
"PA0155",117,121,148,49,438,283,615,384
"PA0156",564,377,693,164,723,510,832,657
"PA0157",239,172,331,78,184,139,251,190
"PA0158",2705,2216,3733,796,1487,1071,1699,1263
"PA0159",304,239,412,76,243,158,267,159
"PA0160",29,34,263,133,219,179,428,269
"PA0161",7,9,34,73,424,366,1107,966
"PA0162",535,519,1504,359,1595,1207,3899,2511
"PA0163",166,132,233,31,196,150,258,157
"PA0164",214,162,360,71,288,222,429,343
"PA0165",273,264,190,54,2632,1901,3622,2326
"PA0166",30,27,67,10,92,59,106,71
"PA0167",224,196,266,130,229,188,311,230
"PA0168",170,110,223,74,56,49,68,49
"PA0169",395,369,332,59,102,76,120,76
"PA0170",67,62,69,11,11,3,12,7
"PA0171",152,168,180,38,133,95,152,124
"PA0172",186,140,195,53,1836,1317,2286,1590
"PA0173",45,42,127,29,7,15,9,11
"PA0174",53,33,123,26,12,8,5,10
"PA0175",220,157,372,98,27,28,33,15
"PA0176",2357,1880,5058,828,108,91,172,117
"PA0177",380,308,748,155,31,23,50,40
"PA0178",1061,747,1786,363,117,86,182,142
"PA0179",1407,1231,2360,516,255,146,283,205
"PA0180",376,330,563,136,568,404,760,514
"PA0181",136,117,173,35,66,53,72,56
"PA0182",96,39,115,22,53,54,77,75
"PA0183",166,160,253,44,105,66,109,80
"PA0184",43,42,73,8,90,64,102,65
"PA0185",50,46,89,21,107,57,129,95
"PA0186",37,33,74,18,301,207,508,359
"PA0187",84,78,154,25,159,131,175,164
"PA0188",90,71,116,25,41,28,79,49
"PA0189",64,53,103,10,386,321,540,410
"PA0190",64,54,100,13,141,120,204,133
"PA0191",64,38,83,13,2077,1481,3671,2147
"PA0192",98,91,184,21,338,278,553,317
"PA0193",55,57,114,22,104,58,140,98
"PA0194",42,40,69,9,46,40,90,51
"PA0195",609,494,419,63,823,610,1251,870
"PA0195.1",71,86,76,13,282,218,474,296
"PA0196",332,277,319,59,363,252,518,311
"PA0197",23,25,34,9,95,72,161,113
"PA0198",36,23,39,8,53,57,115,83
"PA0199",32,21,35,5,65,36,92,72
"PA0200",2717,1915,4307,1528,305,318,735,479
"PA0201",232,169,168,43,5322,4080,9877,7168
"PA0202",58,39,87,17,6,1,7,0
"PA0203",48,49,97,22,5,4,5,4
"PA0204",29,23,56,7,12,8,2,7
"PA0205",15,15,34,7,12,7,8,1
"PA0206",41,48,73,12,56,49,69,54
"PA0207",185,153,327,42,1889,1242,3110,2084
"PA0208",145,127,207,32,2378,1746,4126,2726
"PA0209",36,37,45,7,99,86,161,113
"PA0210",12,12,26,1,90,61,86,70
"PA0211",55,47,88,10,100,68,105,79
"PA0212",68,32,72,19,56,43,91,61
"PA0213",24,29,37,6,28,35,42,42
"PA0214",43,44,78,13,193,132,219,175
"PA0215",59,34,62,14,112,75,157,99
"PA0216",121,110,179,34,587,447,759,661
"PA0217",89,84,160,34,70,67,128,87
"PA0218",144,123,208,52,144,120,230,172
"PA0219",67,54,114,21,240,147,239,160
"PA0220",57,54,90,13,187,150,263,168
"PA0221",81,78,116,20,70,48,69,61
"PA0222",55,48,99,18,46,45,82,64
"PA0223",68,75,102,26,56,50,89,52
"PA0224",69,61,91,31,85,51,103,60
"PA0225",311,336,391,63,240,187,387,245
"PA0226",74,67,101,15,241,181,335,251
"PA0227",62,42,90,13,34,24,50,26
"PA0228",145,114,188,36,72,90,135,93
"PA0229",71,85,177,43,101,71,154,88
"PA0230",107,71,193,20,24,24,41,29
"PA0231",69,39,108,28,9,7,23,21
"PA0232",316,297,536,134,44,32,78,58
"PA0233",155,108,220,40,93,64,108,86
"PA0234",31,36,63,15,116,85,181,117
"PA0235",74,44,95,14,58,45,78,55
"PA0236",60,56,62,14,252,175,308,238
"PA0237",58,48,70,12,54,34,63,45
"PA0238",50,46,66,7,25,14,22,12
"PA0239",55,44,102,16,94,54,78,69
"PA0240",37,37,72,8,24,24,40,30
"PA0241",26,37,61,12,46,37,45,43
"PA0242",83,77,190,21,135,89,138,90
"PA0243",226,234,328,58,517,366,603,461
"PA0244",35,25,55,17,29,24,42,35
"PA0245",33,41,63,11,84,82,188,84
"PA0246",82,56,204,42,245,201,387,228
"PA0247",117,101,146,22,184,150,270,180
"PA0248",176,126,236,39,192,162,265,189
"PA0249",89,79,155,30,84,85,147,100
"PA0250",661,455,843,138,60,47,92,78
"PA0251",19,18,36,5,34,17,54,31
"PA0252",11,10,12,8,97,56,145,89
"PA0253",60,39,63,15,163,148,229,190
"PA0254",191,158,284,62,752,581,900,619
"PA0255",225,161,260,66,471,344,624,462
"PA0256",432,361,689,140,643,500,720,560
"PA0257",391,472,472,60,547,353,702,444
"PA0258",577,541,678,95,197,149,251,190
"PA0259",2039,1751,2330,538,734,523,994,702
"PA0260",2136,1932,2487,519,704,542,953,608
"PA0261",172,120,206,46,46,29,52,44
"PA0262",1165,1045,1391,282,1240,921,1787,1226
"PA0263",63,51,88,33,177,126,249,142
"PA0263.1",11,5,11,4,53,36,42,38
"PA0264",20,26,36,6,112,86,134,94
"PA0265",3505,2528,4520,732,1003,717,1557,1028
"PA0266",5073,3633,6517,1105,829,689,1292,906
"PA0267",199,161,233,51,225,153,281,221
"PA0268",137,94,219,36,91,82,120,85
"PA0269",128,103,175,68,81,63,131,76
"PA0270",450,379,738,113,110,86,171,113
"PA0271",363,335,545,100,143,82,172,121
"PA0272",62,61,113,23,164,108,196,125
"PA0273",37,18,58,6,46,35,52,52
"PA0274",40,22,60,4,214,154,199,148
"PA0275",170,139,312,60,625,446,806,504
"PA0276",98,62,188,42,78,49,121,123
"PA0277",110,117,120,31,5552,4161,7232,5117
"PA0278",45,44,74,8,103,78,139,101
"PA0279",63,53,101,18,36,33,47,34
"PA0280",553,505,446,76,1395,898,1749,1365
"PA0281",295,200,169,38,1023,707,1574,1030
"PA0282",128,112,82,24,1989,1330,3267,2121
"PA0283",438,314,286,60,16329,12544,30552,20442
"PA0284",207,192,158,51,7027,5180,13431,8555
"PA0285",358,352,575,114,574,421,810,489
"PA0286",2610,1968,2937,704,1709,1265,2525,1548
"PA0287",78,54,109,16,158,92,156,102
"PA0288",35,45,72,13,62,33,89,53
"PA0289",152,149,216,58,66,66,89,59
"PA0290",564,567,1122,160,330,251,419,281
"PA0291",16014,14248,7090,1895,27355,18711,41596,29059
"PA0292",1732,1567,2112,431,1345,994,1804,1272
"PA0293",144,107,183,44,643,523,974,643
"PA0294",122,90,183,28,50,43,71,61
"PA0295",442,365,385,131,88,62,102,65
"PA0296",2833,2613,3617,597,483,371,670,413
"PA0297",185,181,213,82,589,420,896,566
"PA0298",2959,2791,3521,592,935,657,1293,860
"PA0299",11704,8786,11881,1810,1366,1003,1964,1214
"PA0300",13549,13549,15455,3022,966,627,1213,808
"PA0301",3465,3076,4897,902,471,366,688,463
"PA0302",4252,3712,4535,810,487,356,558,410
"PA0303",1894,1735,2203,463,169,88,173,104
"PA0304",2415,2125,2719,410,169,114,220,138
"PA0305",659,506,957,199,789,604,1127,779
"PA0306",175,120,200,41,134,106,130,112
"PA0307",50,22,65,14,285,190,388,263
"PA0308",182,124,228,54,292,164,358,267
"PA0309",166,149,294,70,911,623,1186,840
"PA0310",120,101,183,40,701,490,902,647
"PA0311",32,16,34,3,68,59,100,50
"PA0312",426,329,493,131,954,643,1132,835
"PA0313",335,247,411,64,281,160,316,203
"PA0314",817,625,1040,209,491,346,647,438
"PA0315",963,822,1646,347,994,666,1346,982
"PA0316",7162,5962,7719,1090,3219,2633,4925,2971
"PA0317",3283,3443,3528,555,3260,2318,4811,3073
"PA0318",646,555,882,181,228,182,309,215
"PA0319",436,413,689,140,1253,911,1811,1211
"PA0320",50,75,98,31,351,225,5145,3541
"PA0321",54,57,86,14,22,13,16,22
"PA0322",42,42,66,18,23,19,31,14
"PA0323",81,81,117,24,49,54,80,58
"PA0324",16,12,27,4,12,7,13,10
"PA0325",40,28,51,7,113,67,97,63
"PA0326",34,33,59,10,232,161,241,160
"PA0327",120,103,285,50,392,295,5109,3715
"PA0328",794,628,743,172,2701,1869,2981,1985
"PA0329",1480,1251,4819,930,1738,1328,2490,1710
"PA0330",681,632,780,106,1565,1326,2167,1434
"PA0331",1531,1242,1499,263,1388,1059,2990,1972
"PA0332",215,154,343,61,292,201,442,309
"PA0333",296,246,424,118,959,742,1807,1201
"PA0334",69,72,142,30,64,53,84,62
"PA0335",361,223,392,92,201,145,234,195
"PA0336",995,776,1120,691,3937,3167,6259,4052
"PA0337",7953,6218,11818,1913,3343,2579,5095,3353
"PA0338",302,235,423,77,922,664,1148,790
"PA0339",78,58,120,30,157,93,157,131
"PA0340",144,106,175,28,474,340,625,394
"PA0341",876,754,1023,148,428,268,498,332
"PA0342",382,347,471,125,954,693,1391,944
"PA0343",258,182,458,68,120,77,176,123
"PA0344",443,321,728,200,105,83,149,110
"PA0345",83,66,99,28,64,39,86,73
"PA0346",156,127,158,43,188,122,217,143
"PA0347",82,87,133,25,94,61,117,59
"PA0348",73,46,107,12,266,179,291,212
"PA0349",89,70,104,13,262,148,293,249
"PA0350",89,59,125,42,509,299,679,426
"PA0351",139,124,181,86,601,467,804,604
"PA0352",194,155,244,42,1162,867,1496,1073
"PA0353",3503,3048,5467,909,2556,1866,3156,2096
"PA0354",280,226,444,73,811,639,1142,756
"PA0355",101,72,474,131,120,77,140,102
"PA0356",207,174,242,49,389,307,532,339
"PA0357",567,390,563,139,592,416,654,477
"PA0358",125,124,166,19,524,413,466,310
"PA0359",438,324,382,246,368,258,429,318
"PA0360",853,684,931,216,1019,862,1541,1054
"PA0361",424,334,567,108,1029,741,1213,825
"PA0362",566,527,688,146,900,601,1129,819
"PA0363",309,218,293,49,560,391,670,521
"PA0364",264,176,303,42,135,115,168,128
"PA0365",72,69,90,19,40,30,68,40
"PA0366",365,357,563,113,293,240,483,286
"PA0367",181,156,283,79,174,165,259,190
"PA0368",139,101,207,59,98,59,108,63
"PA0369",56,41,104,14,9,5,10,5
"PA0370",125,80,207,74,31,21,34,26
"PA0371",1458,1123,2558,545,461,318,609,383
"PA0372",1696,1481,2254,477,1401,1189,2502,1597
"PA0373",1494,1203,1596,320,1976,1499,2533,2021
"PA0374",1405,1319,1779,312,921,544,880,625
"PA0375",1083,844,1514,253,900,694,1008,754
"PA0376",7274,6471,9941,1463,16758,13265,25177,15490
"PA0377",313,300,398,74,587,509,1058,646
"PA0378",30,23,55,12,225,148,225,199
"PA0379",94,76,115,24,436,257,588,417
"PA0380",62,48,79,30,347,261,439,278
"PA0381",689,580,896,202,1023,800,1644,990
"PA0382",251,175,253,34,384,260,458,295
"PA0383",122,85,137,32,282,195,323,179
"PA0384",27,18,46,26,26,19,49,19
"PA0385",39,52,67,12,83,45,103,63
"PA0386",73,72,108,25,187,143,241,171
"PA0387",448,332,497,124,40,26,44,34
"PA0388",2920,2879,4151,725,130,97,168,138
"PA0389",255,225,272,76,80,63,103,67
"PA0390",434,374,449,120,1132,831,1499,923
"PA0391",3197,2922,2915,651,348,258,507,347
"PA0392",984,948,1780,335,214,148,280,170
"PA0393",446,288,500,100,110,87,152,112
"PA0394",577,486,686,169,789,640,1212,806
"PA0395",1286,1082,1117,264,766,573,992,687
"PA0396",1922,1551,2083,399,474,359,738,485
"PA0397",178,135,376,70,145,94,164,143
"PA0398",878,788,1689,353,576,468,873,529
"PA0399",3474,2429,3934,676,527,423,794,602
"PA0400",1651,1103,2025,465,202,137,356,231
"PA0401",1814,1266,2347,504,288,186,331,187
"PA0402",1811,1397,2628,451,466,368,547,356
"PA0403",761,593,1000,238,171,120,109,93
"PA0404",349,276,416,118,248,153,285,186
"PA0405",197,156,297,105,278,249,525,323
"PA0406",257,219,272,80,663,508,931,563
"PA0407",1060,821,1294,295,347,252,465,293
"PA0408",2642,3016,1969,440,1738,1228,2061,1350
"PA0409",3125,3150,2854,638,1537,1081,2038,1398
"PA0410",701,492,570,101,412,267,542,387
"PA0411",13591,12292,10797,2190,3668,2595,4756,3246
"PA0412",1707,1215,1502,273,247,163,325,250
"PA0413",13385,10213,14596,2604,1465,1079,1822,1385
"PA0414",1220,890,1323,255,122,81,115,106
"PA0415",145,105,141,67,124,102,177,123
"PA0416",168,151,238,48,117,77,149,87
"PA0417",32,47,75,14,68,35,76,42
"PA0418",156,125,248,52,285,197,325,232
"PA0419",116,84,138,24,209,188,300,228
"PA0420",775,669,770,205,359,305,477,294
"PA0421",2635,2161,2539,453,1774,1234,2446,1714
"PA0422",186,135,306,204,1094,823,1868,1182
"PA0423",16343,15146,34924,7291,2508,1796,3976,2691
"PA0424",119,113,182,53,682,502,874,686
"PA0425",7196,5739,8945,1310,3700,2735,9069,6546
"PA0426",26157,21802,36325,5902,5916,4365,13055,8992
"PA0427",9346,7868,13929,2628,2181,1559,3821,2577
"PA0428",5361,4523,6036,922,2272,1566,2707,1693
"PA0429",2207,2292,2916,521,1801,1251,2458,1534
"PA0430",1016,809,1605,232,1016,704,1593,923
"PA0431",707,565,1649,329,1696,1336,3094,1875
"PA0432",12451,11614,20270,2949,11606,8721,17770,12342
"PA0433",34,31,66,11,89,90,170,114
"PA0434",79,64,213,36,52,35,81,58
"PA0435",92,80,184,29,41,26,50,30
"PA0436",763,773,1172,325,406,308,576,404
"PA0437",811,702,903,152,91,78,105,81
"PA0438",95,59,140,32,254,179,295,186
"PA0439",70,54,101,12,43,21,56,45
"PA0440",50,56,87,12,32,14,18,28
"PA0441",63,61,94,20,132,105,180,109
"PA0442",9,5,8,5,2,2,8,3
"PA0443",67,48,78,4,255,198,358,230
"PA0444",103,94,155,18,141,79,143,102
"PA0445",245,236,302,55,372,268,437,291
"PA0446",269,196,431,71,37,29,64,51
"PA0447",2307,1936,2966,499,497,385,922,708
"PA0448",127,96,160,43,650,528,819,559
"PA0449",2706,2458,5296,1196,399,285,555,362
"PA0450",69,52,115,20,831,617,968,631
"PA0451",206,161,329,64,184,121,213,165
"PA0452",112,124,210,45,308,202,359,306
"PA0453",49,54,85,25,147,139,237,167
"PA0454",314,254,446,162,473,387,549,374
"PA0455",281,202,313,65,544,445,821,537
"PA0456",10935,12188,13967,2860,6501,4857,10165,5681
"PA0457",133,139,213,37,164,114,229,165
"PA0457.1",168,127,305,53,58,31,90,54
"PA0458",361,248,506,101,276,219,328,263
"PA0459",11529,9176,16194,2432,276,208,368,227
"PA0460",2101,1329,5771,1168,823,867,2098,1108
"PA0461",834,724,925,190,660,480,793,608
"PA0462",360,262,547,150,1258,917,1777,1266
"PA0463",101,97,147,27,608,470,735,562
"PA0464",339,244,405,75,1113,829,1391,1015
"PA0465",78,83,150,23,245,163,342,218
"PA0466",28,17,27,5,13,9,24,12
"PA0467",164,135,295,72,123,112,151,109
"PA0468",235,178,296,56,43,45,84,62
"PA0469",1653,1344,2680,344,870,669,1553,1012
"PA0470",137,97,167,39,114,64,140,76
"PA0471",71,62,67,11,23,14,44,26
"PA0472",38,28,55,8,9,9,31,23
"PA0473",541,520,754,124,120,75,172,115
"PA0474",47,20,45,3,11,8,22,9
"PA0475",101,71,129,29,68,59,139,71
"PA0476",38,51,91,20,197,130,216,160
"PA0477",116,94,160,26,38,23,34,26
"PA0478",87,91,142,28,185,135,217,183
"PA0479",178,130,225,71,123,88,114,90
"PA0480",53,27,62,17,69,37,88,60
"PA0481",188,164,235,60,505,374,660,465
"PA0482",10677,9549,17340,2994,4624,3621,6146,4058
"PA0483",74,54,121,39,74,47,78,42
"PA0484",543,506,1112,173,230,178,310,220
"PA0485",199,202,306,55,405,286,427,348
"PA0486",201,175,343,59,185,148,265,165
"PA0487",208,160,321,92,282,213,454,287
"PA0488",27,27,51,2,43,32,89,52
"PA0489",32,37,75,8,140,111,191,137
"PA0490",342,303,1130,171,305,300,623,390
"PA0491",69,74,128,28,98,76,157,90
"PA0492",29,30,58,10,60,36,65,49
"PA0493",8,8,12,9,30,20,17,25
"PA0494",166,102,269,20,56,48,64,52
"PA0495",82,69,112,22,65,40,59,42
"PA0496",169,125,223,44,65,44,77,60
"PA0497",121,123,131,33,410,275,562,350
"PA0498",93,112,145,47,149,113,206,116
"PA0499",23,22,49,9,102,91,156,107
"PA0500",2572,2339,18065,3981,3654,2565,11478,8361
"PA0501",261,203,1551,358,687,453,1941,1409
"PA0502",351,284,2053,398,369,246,964,715
"PA0503",265,189,1191,185,124,72,359,231
"PA0504",119,74,876,197,68,52,130,93
"PA0505",2463,2142,2993,262,213,127,315,204
"PA0506",3021,2241,5848,927,3390,3024,6736,4489
"PA0507",581,476,1021,173,175,145,336,193
"PA0508",1960,1653,3014,525,921,675,1162,1007
"PA0509",745,568,742,140,72,41,80,52
"PA0510",240,196,274,41,13,7,14,5
"PA0511",696,463,596,146,76,75,132,89
"PA0512",406,343,352,64,76,59,65,75
"PA0513",353,330,280,59,12,8,11,11
"PA0514",238,150,153,53,5,9,7,1
"PA0515",298,267,229,50,10,7,7,12
"PA0516",1406,1066,909,249,61,38,65,62
"PA0517",58,36,32,19,0,0,2,0
"PA0518",365,206,222,54,3,2,3,1
"PA0519",24716,22390,14044,2920,411,278,193,138
"PA0520",436,335,1008,199,118,76,132,130
"PA0521",98,78,251,50,26,25,60,41
"PA0522",60,35,100,9,20,14,36,26
"PA0523",1369,1033,1939,543,61,20,81,33
"PA0524",3131,2861,5858,851,88,47,133,90
"PA0525",181,108,407,80,48,42,80,52
"PA0526",101,55,124,65,10,13,13,3
"PA0527",488,406,449,132,330,238,87,56
"PA0527.1",75,96,89,1452,2389,1376,2659,1976
"PA0528",96,82,111,19,293,187,335,220
"PA0529",411,336,617,181,3005,2279,3433,2161
"PA0530",216,162,329,64,1120,793,1013,741
"PA0531",96,67,120,17,559,402,491,385
"PA0532",33,24,37,5,75,36,98,71
"PA0533",532,440,703,103,885,612,915,615
"PA0534",158,132,191,36,647,467,1003,669
"PA0535",90,46,114,28,248,175,294,208
"PA0536",1193,803,2103,367,1780,1425,2617,2058
"PA0537",1483,1257,2259,456,1700,1207,2662,1690
"PA0538",141,107,151,35,157,96,308,216
"PA0539",62,57,107,22,190,131,234,179
"PA0540",58,43,69,17,43,40,50,47
"PA0541",1097,990,1231,217,849,686,1477,1035
"PA0542",2064,1535,1856,556,1404,967,1543,1224
"PA0543",80,63,130,24,321,254,538,352
"PA0544",62,65,91,32,137,107,165,115
"PA0545",3058,2006,680,122,1437,1007,1990,1377
"PA0546",3894,3294,6616,1349,684,460,1285,869
"PA0547",510,353,643,142,325,280,710,568
"PA0548",4172,3464,5304,955,1913,1297,2246,1574
"PA0549",329,248,450,66,180,138,166,149
"PA0550",75,62,90,19,26,22,43,18
"PA0551",431,342,567,104,1392,1098,2109,1404
"PA0552",1869,1180,2119,533,1203,851,1618,1165
"PA0553",634,519,1031,180,193,145,291,207
"PA0554",753,484,788,158,1720,1295,2461,1812
"PA0555",6136,5520,8175,1368,4303,3428,6975,4461
"PA0556",140,95,195,28,232,196,426,188
"PA0557",79,53,159,28,201,130,228,163
"PA0558",658,561,1332,247,549,332,646,467
"PA0559",188,131,218,37,646,528,810,604
"PA0560",94,74,166,49,208,164,292,209
"PA0561",323,345,473,93,535,359,673,440
"PA0562",88,75,93,28,644,518,932,618
"PA0563",637,520,526,93,3668,2666,4859,3516
"PA0564",79,70,116,25,210,164,221,143
"PA0565",123,105,202,57,50,43,84,49
"PA0566",93,67,124,45,97,72,134,73
"PA0567",98,82,261,114,68,49,102,66
"PA0568",466,437,518,72,132,122,162,139
"PA0569",204,158,194,40,62,31,46,33
"PA0570",20,19,28,5,37,21,48,32
"PA0571",132,152,210,51,124,113,210,132
"PA0572",8154,6450,10071,1673,281,180,323,248
"PA0573",30,22,29,7,120,72,102,82
"PA0574",311,313,399,89,1147,906,1456,939
"PA0574.1",1,2,4,2,2,4,5,2
"PA0575",241,232,586,156,400,303,370,279
"PA0576",16571,15325,18744,2392,28906,20617,35559,23673
"PA0577",1679,1270,2024,570,24313,17497,29634,19117
"PA0578",150,146,168,49,5331,3788,6652,4304
"PA0579",437,231,339,157,4402,3190,6083,3853
"PA0580",166,121,205,32,1642,1208,1960,1503
"PA0581",61,46,71,51,104,89,137,88
"PA0582",181,180,179,37,1513,1016,1807,1338
"PA0583",90,88,113,21,493,371,546,441
"PA0584",329,251,399,91,216,180,286,241
"PA0585",23,16,53,23,49,40,70,40
"PA0586",2847,2886,7749,1476,121,88,160,115
"PA0587",2005,1587,5427,1202,106,59,144,101
"PA0588",16317,15375,40631,6675,953,637,1352,873
"PA0589",215,130,376,90,96,62,150,87
