"gene_id","WT1","WT2","WT3","flavodoxin1","flavodoxin2","flavodoxin3"
"CF003_RS14150",124,102,89,56,64,91
"CF003_RS14155",103,102,85,71,81,107
"CF003_RS14160",40,46,36,34,50,58
"CF003_RS14165",198,165,276,100,89,121
"CF003_RS14170",211,250,218,91,69,89
"CF003_RS14175",65,49,67,26,36,34
"CF003_RS14180",41,27,32,12,14,17
"CF003_RS14185",482,489,438,233,271,284
"CF003_RS14190",343,399,434,152,185,216
"CF003_RS14195",658,730,883,477,489,413
"CF003_RS14200",201,207,152,61,79,78
"CF003_RS14205",217,189,267,60,72,107
"CF003_RS14210",51,67,48,46,46,59
"CF003_RS14215",100,108,86,80,80,93
"CF003_RS14225",31,27,26,4,3,7
"CF003_RS14230",307,358,220,70,52,77
"CF003_RS14235",520,566,398,103,107,98
"CF003_RS14240",69,76,82,17,19,31
"CF003_RS14245",46,54,34,15,14,18
"CF003_RS14250",6,10,7,3,1,1
"CF003_RS14255",67,75,71,14,16,26
"CF003_RS14260",34,38,32,11,10,20
"CF003_RS14265",31,35,42,43,45,47
"CF003_RS14270",106,99,123,104,130,138
"CF003_RS14275",566,529,463,448,458,407
"CF003_RS14280",405,318,354,237,260,255
"CF003_RS14295",325,308,355,155,139,201
"CF003_RS14310",1236,994,994,459,575,574
"CF003_RS14315",126,123,112,114,104,141
"CF003_RS14320",180,142,159,115,154,161
"CF003_RS14330",19,23,33,19,22,11
"CF003_RS14335",4,3,4,0,3,2
"CF003_RS14340",623,735,672,345,319,300
"CF003_RS14345",313,437,354,188,183,221
"CF003_RS14350",376,432,345,194,186,208
"CF003_RS14355",239,246,206,114,115,98
"CF003_RS14360",2855,4756,4884,2543,2602,2709
"CF003_RS14365",4528,6268,5651,3428,3350,3837
"CF003_RS14370",3128,4263,3917,2412,2387,2841
"CF003_RS14375",1645,2241,1120,1180,1111,2129
"CF003_RS14380",57,61,67,14,10,20
"CF003_RS14385",85,108,107,41,39,63
"CF003_RS14390",66,63,57,25,30,46
"CF003_RS14395",825,533,527,352,474,503
"CF003_RS14400",2,3,1,0,1,1
"CF003_RS14405",82,80,77,45,50,48
"CF003_RS14410",104,117,106,110,116,138
"CF003_RS14415",264,211,199,248,275,312
"CF003_RS14420",285,232,281,351,332,351
"CF003_RS14425",187,209,200,70,77,96
"CF003_RS14435",1154,1061,1251,755,706,691
"CF003_RS14440",799,757,832,442,462,413
"CF003_RS14445",771,831,713,537,577,592
"CF003_RS14450",204,206,248,226,208,207
"CF003_RS14455",22,16,29,16,16,12
"CF003_RS14460",0,0,4,0,0,0
"CF003_RS14465",3,1,4,0,0,1
"CF003_RS14470",50,46,40,30,27,40
"CF003_RS14475",38,46,43,21,23,29
"CF003_RS14480",4,1,4,2,3,2
"CF003_RS14485",128,140,129,141,187,110
"CF003_RS14490",143,232,167,181,205,135
"CF003_RS14495",187,274,251,248,254,230
"CF003_RS14500",48,66,43,42,51,75
"CF003_RS14505",75,81,71,73,69,104
"CF003_RS14510",131,138,138,105,101,120
"CF003_RS14525",352,381,339,80,90,90
"CF003_RS14540",15,9,9,9,10,14
"CF003_RS14545",10,10,11,11,11,15
"CF003_RS14550",15,28,15,6,10,13
"CF003_RS14555",13,15,16,9,7,8
"CF003_RS14560",13,15,20,10,11,10
"CF003_RS14565",14,13,15,8,8,5
"CF003_RS14570",54,47,57,53,52,60
"CF003_RS14575",36,16,42,25,40,21
"CF003_RS14580",133,111,173,77,138,95
"CF003_RS14590",655,397,686,1830,1822,1080
"CF003_RS14595",15,16,16,4,6,5
"CF003_RS14600",26,38,40,13,10,12
"CF003_RS14605",28,40,33,11,14,19
"CF003_RS14610",12,13,14,8,9,10
"CF003_RS14615",37,31,27,9,10,15
"CF003_RS14625",5,7,9,12,12,16
"CF003_RS14635",15,17,28,7,14,8
"CF003_RS14640",38,49,72,24,31,28
"CF003_RS14650",8,8,13,9,13,8
"CF003_RS14655",2,3,4,2,3,5
"CF003_RS14660",24,17,9,9,6,13
"CF003_RS14665",212,278,134,69,68,78
"CF003_RS14670",173,180,117,145,149,130
"CF003_RS14680",65,77,106,39,26,52
"CF003_RS14685",397,441,392,167,163,313
"CF003_RS14690",55,75,69,14,12,46
"CF003_RS14695",60,77,72,35,33,56
"CF003_RS14700",243,401,286,419,436,622
"CF003_RS14710",47,55,51,33,31,31
"CF003_RS14715",517,317,782,129,169,184
"CF003_RS14720",153,113,136,192,188,214
"CF003_RS14725",267,231,263,262,277,210
"CF003_RS14730",546,495,509,311,355,385
"CF003_RS14735",196,153,184,95,98,96
"CF003_RS14740",293,247,349,292,257,262
"CF003_RS14745",329,366,334,782,629,844
"CF003_RS14760",135,150,152,48,56,73
"CF003_RS14765",39,54,41,29,34,28
"CF003_RS14770",355,362,347,623,528,427
"CF003_RS14775",57,86,82,9,11,17
"CF003_RS14780",168,193,174,59,55,94
"CF003_RS14785",188,230,154,121,140,159
"CF003_RS14790",189,227,241,112,129,103
"CF003_RS14795",93,115,96,36,49,41
"CF003_RS14800",1064,1007,973,991,847,948
"CF003_RS14810",3,2,0,0,0,0
"CF003_RS14835",785,852,1064,686,540,681
"CF003_RS14840",453,450,551,395,345,415
"CF003_RS14845",155,174,187,66,65,101
"CF003_RS14850",75,77,68,24,27,48
"CF003_RS14855",77,64,56,39,48,51
"CF003_RS14860",108,117,85,49,77,38
"CF003_RS14865",120,84,64,116,135,114
"CF003_RS14870",330,246,201,365,345,329
"CF003_RS14875",314,304,229,173,190,175
"CF003_RS14880",214,238,162,82,86,112
"CF003_RS14885",956,1241,1055,804,702,919
"CF003_RS14890",1117,1473,1109,1374,1094,1550
"CF003_RS14905",64,83,68,22,20,26
"CF003_RS14910",21,35,21,51,38,81
"CF003_RS14915",20,24,16,19,18,33
"CF003_RS14920",53,51,54,59,50,78
"CF003_RS14925",94,100,102,114,116,139
"CF003_RS14930",17,19,17,8,13,13
"CF003_RS14935",161,279,168,80,94,96
"CF003_RS14945",504,320,433,358,392,264
"CF003_RS14950",481,378,453,280,326,320
"CF003_RS14955",618,423,654,336,368,342
"CF003_RS14960",702,737,801,376,392,422
"CF003_RS14965",365,332,388,178,174,237
"CF003_RS14970",218,231,257,81,98,131
"CF003_RS14975",414,411,325,231,261,228
"CF003_RS14980",293,325,335,199,204,188
"CF003_RS14985",179,185,170,69,78,90
"CF003_RS14995",366,323,352,508,544,294
"CF003_RS15000",460,413,537,444,484,390
"CF003_RS15005",692,614,676,605,646,508
"CF003_RS15010",170,167,153,97,107,109
"CF003_RS15015",51,52,64,56,57,64
"CF003_RS15030",413,239,291,296,322,227
"CF003_RS15035",658,693,702,559,543,497
"CF003_RS15040",410,412,396,246,267,352
"CF003_RS15045",425,497,351,362,342,455
"CF003_RS15050",186,132,155,152,129,165
"CF003_RS15055",134,162,111,67,70,115
"CF003_RS15060",618,682,857,1140,1236,903
"CF003_RS15075",159,168,141,155,135,143
"CF003_RS15080",110,131,118,93,90,87
"CF003_RS15085",85,95,80,53,56,64
"CF003_RS15090",91,79,68,62,69,69
"CF003_RS15100",77,68,75,17,17,31
"CF003_RS15105",475,434,557,156,152,199
"CF003_RS15110",4172,4035,4423,4183,3464,2932
"CF003_RS15115",363,469,325,173,184,216
"CF003_RS15125",74,76,75,43,54,45
"CF003_RS15130",73,53,75,36,37,34
"CF003_RS15135",1,3,2,2,1,1
"CF003_RS15140",227,211,237,101,123,115
"CF003_RS15145",510,391,497,522,465,539
"CF003_RS15150",226,194,176,143,141,144
"CF003_RS15155",202,247,167,211,214,232
"CF003_RS15160",76,96,88,62,71,107
"CF003_RS15165",478,559,378,215,216,423
"CF003_RS15170",473,481,737,654,582,568
"CF003_RS15175",0,3,3,0,0,0
"CF003_RS15185",302,342,268,223,235,292
"CF003_RS15190",607,648,555,709,701,680
"CF003_RS15195",207,212,227,320,239,207
"CF003_RS15200",185,135,187,88,84,92
"CF003_RS15205",124,117,99,76,78,75
"CF003_RS15210",1136,1013,1443,719,639,789
"CF003_RS15215",363,781,322,82,298,143
"CF003_RS15225",232,148,218,517,516,242
"CF003_RS15230",652,718,658,174,169,223
"CF003_RS15235",5809,5629,7910,2041,1752,1963
"CF003_RS15240",2775,2795,4077,1188,1042,1207
"CF003_RS15245",3281,3689,4428,2024,1661,2120
"CF003_RS15250",1160,1227,1511,778,707,855
"CF003_RS15255",10,29,8,13,23,32
"CF003_RS15260",349,416,336,548,518,633
"CF003_RS15270",62,63,63,18,22,25
"CF003_RS15275",133,152,107,30,35,32
"CF003_RS15280",109,73,117,25,30,36
"CF003_RS15285",447,447,511,230,231,193
"CF003_RS15290",185,150,152,88,89,97
"CF003_RS15295",180,196,158,75,85,122
"CF003_RS15300",820,681,673,381,411,353
"CF003_RS15305",126,129,102,97,86,92
"CF003_RS15310",61,66,54,27,23,32
"CF003_RS15315",1796,1869,1747,1194,985,1285
"CF003_RS15320",328,362,334,80,78,117
"CF003_RS15325",68,76,57,20,23,50
"CF003_RS15330",933,1086,905,627,514,720
"CF003_RS15340",77,93,94,43,49,56
"CF003_RS15345",63,61,62,35,52,43
"CF003_RS15350",117,131,102,79,89,91
"CF003_RS15360",379,363,415,323,342,190
"CF003_RS15365",1715,1971,1606,1356,1267,2021
"CF003_RS15370",168,173,171,83,93,120
"CF003_RS15375",314,231,309,155,180,187
"CF003_RS15380",1353,3364,1840,476,1293,972
"CF003_RS15385",45,33,43,54,58,57
"CF003_RS15390",258,307,284,248,240,283
"CF003_RS15395",72,84,76,34,43,38
"CF003_RS15400",84,85,82,51,59,68
"CF003_RS15405",733,914,704,710,753,654
"CF003_RS15410",502,818,641,500,484,770
"CF003_RS15415",1101,1472,1136,625,575,998
"CF003_RS15420",107,136,160,38,41,85
"CF003_RS15425",119,163,171,285,242,241
"CF003_RS15430",7,14,21,5,11,8
"CF003_RS15435",122,96,126,47,41,76
"CF003_RS15440",988,1065,1175,663,639,710
"CF003_RS15445",1093,1359,1487,699,687,816
"CF003_RS15450",1009,1094,891,893,1008,935
"CF003_RS15460",109,89,191,16,27,27
"CF003_RS15465",5774,5590,4657,224,190,361
"CF003_RS15470",476,471,463,59,51,78
"CF003_RS15475",124,48,83,24,51,49
"CF003_RS15480",196,108,209,65,57,62
"CF003_RS15490",25,23,35,11,17,14
"CF003_RS15495",95,84,107,41,46,48
"CF003_RS15500",2012,2117,2211,1607,1469,1659
"CF003_RS15505",918,1159,868,687,607,559
"CF003_RS15510",478,516,443,199,215,311
"CF003_RS15515",840,1017,815,621,587,701
"CF003_RS15520",298,365,294,150,174,229
"CF003_RS15525",110,102,105,58,59,74
"CF003_RS15530",126,120,133,60,84,69
"CF003_RS15535",95,89,87,44,53,40
"CF003_RS15540",7,6,8,3,3,6
"CF003_RS15545",202,120,204,58,56,78
"CF003_RS15550",199,185,161,85,80,104
"CF003_RS15555",73,82,47,25,19,42
"CF003_RS15560",19,23,23,9,10,12
"CF003_RS15565",126,150,126,115,131,158
"CF003_RS15570",229,222,169,185,198,246
"CF003_RS15580",323,183,460,887,815,426
"CF003_RS15590",76,96,72,38,36,73
"CF003_RS15595",214,228,190,63,69,106
"CF003_RS15600",7,7,8,3,1,1
"CF003_RS15605",183,171,158,79,85,78
"CF003_RS15610",524,590,488,341,287,315
"CF003_RS15615",155,183,146,83,70,81
"CF003_RS15620",48,57,85,88,81,114
"CF003_RS15625",342,295,338,1046,1104,797
"CF003_RS15630",443,492,399,136,119,171
"CF003_RS15635",2702,3336,1907,2941,2945,3113
"CF003_RS15640",360,242,357,277,314,228
"CF003_RS15660",71,69,77,95,91,103
"CF003_RS15665",105,89,80,57,70,75
"CF003_RS15670",193,198,196,105,105,114
"CF003_RS15675",0,1,1,0,0,0
"CF003_RS15685",242,220,341,173,190,185
"CF003_RS15690",456,423,432,367,388,383
"CF003_RS15695",590,436,570,647,653,613
"CF003_RS15700",595,753,528,386,333,486
"CF003_RS15705",1109,1313,939,728,727,938
"CF003_RS15710",873,1079,935,539,430,619
"CF003_RS15715",30,26,28,28,30,22
"CF003_RS15720",173,151,193,93,106,111
"CF003_RS15725",326,252,322,317,296,252
"CF003_RS15730",361,299,527,307,321,287
"CF003_RS15735",881,620,941,910,914,706
"CF003_RS15740",483,373,522,490,516,367
"CF003_RS15750",2419,953,1728,708,694,696
"CF003_RS15760",27,38,45,32,32,35
"CF003_RS15765",5,6,7,7,9,5
"CF003_RS15770",7,9,9,8,12,14
"CF003_RS15780",41,57,48,54,47,54
"CF003_RS15785",6,10,8,0,0,0
"CF003_RS15790",0,4,1,0,0,2
"CF003_RS15795",653,396,681,1820,1823,1076
"CF003_RS15805",93,130,118,118,109,106
"CF003_RS15810",188,431,164,61,192,116
"CF003_RS15815",792,656,943,689,625,646
"CF003_RS15825",173,154,189,47,53,50
"CF003_RS15830",241,268,246,87,101,89
"CF003_RS15835",106,119,84,19,24,30
"CF003_RS15840",521,391,488,671,743,803
"CF003_RS15845",583,513,396,985,1062,1057
"CF003_RS15850",564,505,417,1326,1397,1342
"CF003_RS15855",641,630,490,1143,1134,1123
"CF003_RS15860",657,402,686,1829,1833,1089
"CF003_RS15870",67,63,59,84,80,109
"CF003_RS15875",61,50,60,83,81,81
"CF003_RS15880",116,98,122,84,78,76
"CF003_RS15885",475,425,534,148,157,167
"CF003_RS15890",427,374,404,139,151,168
"CF003_RS15895",564,526,579,177,228,189
"CF003_RS15900",97,127,98,33,32,39
"CF003_RS15905",63,73,52,52,50,59
"CF003_RS15910",54,55,54,102,92,107
"CF003_RS15915",174,145,152,80,96,93
"CF003_RS15920",137,101,139,79,74,92
"CF003_RS15930",147,164,129,139,127,131
"CF003_RS15935",98,83,114,58,70,59
"CF003_RS15940",107,100,75,59,72,72
"CF003_RS15945",171,226,187,61,77,101
"CF003_RS15950",747,1020,733,262,243,400
"CF003_RS15960",941,661,1159,635,654,518
"CF003_RS15970",157,191,239,163,159,142
"CF003_RS15980",137,131,118,37,37,55
"CF003_RS15985",16,15,30,4,3,16
"CF003_RS15990",207,189,253,53,51,73
"CF003_RS15995",126,164,148,27,41,47
"CF003_RS16005",72,112,88,45,49,66
"CF003_RS16010",321,474,293,55,61,60
"CF003_RS16015",122,193,144,28,29,41
"CF003_RS16020",54,104,65,8,9,14
"CF003_RS16025",35,75,32,7,11,14
"CF003_RS16030",52,95,50,14,14,19
"CF003_RS16035",70,99,82,18,19,33
"CF003_RS16040",552,807,631,399,575,519
"CF003_RS16045",59,49,37,18,19,22
"CF003_RS16055",190,226,173,90,100,139
"CF003_RS16060",34,40,36,23,22,31
"CF003_RS16065",213,209,220,278,334,310
"CF003_RS16070",97,99,83,47,49,64
"CF003_RS16075",432,493,453,268,279,342
"CF003_RS16080",53,66,43,26,25,40
"CF003_RS16085",24,45,32,29,30,42
"CF003_RS16090",148,266,172,159,288,205
"CF003_RS16095",222,528,202,175,266,243
"CF003_RS16100",142,276,177,147,189,231
"CF003_RS16105",483,834,519,557,617,672
"CF003_RS16110",86,70,106,66,59,111
"CF003_RS16115",186,82,101,164,132,166
"CF003_RS16120",45,35,35,23,26,24
"CF003_RS16125",1118,1212,813,638,1770,1019
"CF003_RS16130",555,638,524,282,278,409
"CF003_RS16135",249,278,318,58,72,110
"CF003_RS16140",31,32,27,17,17,19
"CF003_RS16145",10,7,9,2,1,5
"CF003_RS16160",3,3,7,2,1,2
"CF003_RS16165",325,277,544,53,46,77
"CF003_RS16170",781,749,1151,133,112,192
"CF003_RS16175",38,36,62,14,24,16
"CF003_RS16180",1427,1389,1659,964,906,923
"CF003_RS16185",1475,1083,1482,938,955,878
"CF003_RS16190",34,36,24,17,21,26
"CF003_RS16195",97,98,85,63,66,69
"CF003_RS16200",231,234,215,110,88,115
"CF003_RS16205",171,172,130,69,69,73
"CF003_RS16210",93,90,76,58,54,66
"CF003_RS16215",75,79,86,46,52,63
"CF003_RS16220",51,44,40,9,5,7
"CF003_RS16225",50,47,50,3,3,7
"CF003_RS16230",67,100,65,17,18,24
"CF003_RS16235",70,113,78,42,39,49
"CF003_RS16245",42,46,39,20,26,29
"CF003_RS16250",152,154,158,159,164,186
"CF003_RS16255",259,399,314,157,157,230
"CF003_RS16260",161,157,156,51,61,82
"CF003_RS16270",1,1,1,0,3,0
"CF003_RS16275",1961,3077,2267,1341,2028,1549
"CF003_RS16280",49,100,77,62,150,136
"CF003_RS16285",135,114,164,95,97,69
"CF003_RS16290",857,384,536,1164,1264,957
"CF003_RS16295",481,652,540,644,587,999
"CF003_RS16300",147,132,200,74,80,76
"CF003_RS16305",506,576,477,213,215,379
"CF003_RS16310",736,928,1018,509,477,736
"CF003_RS16315",375,338,374,315,387,220
"CF003_RS16320",489,455,515,415,519,321
"CF003_RS16325",1199,1298,1125,1501,1777,881
"CF003_RS16330",543,628,602,700,843,592
"CF003_RS16335",430,566,511,503,605,508
"CF003_RS16340",161,171,177,102,147,151
"CF003_RS16345",209,217,254,138,146,132
"CF003_RS16350",417,464,590,330,349,329
"CF003_RS16355",182,244,202,204,218,178
"CF003_RS16360",437,539,515,437,470,356
"CF003_RS16365",542,630,751,638,693,529
"CF003_RS16370",1214,1473,1243,987,1052,857
"CF003_RS16375",328,474,400,263,251,335
"CF003_RS16380",290,361,338,183,162,306
"CF003_RS16385",334,406,404,195,190,327
"CF003_RS16390",167,184,199,68,65,97
"CF003_RS16395",198,254,240,84,78,90
"CF003_RS16400",78,49,113,55,54,58
"CF003_RS16410",50,40,56,38,38,21
"CF003_RS16415",269,311,358,165,132,216
"CF003_RS16425",1,2,2,0,1,3
"CF003_RS16430",167,130,147,83,91,85
"CF003_RS16435",625,623,843,411,474,307
"CF003_RS16440",1188,1091,1100,778,790,492
"CF003_RS16445",598,770,583,10386,6995,11447
"CF003_RS16450",111,144,128,31,29,38
"CF003_RS16455",158,165,160,35,38,61
"CF003_RS16460",81,162,90,43,44,75
"CF003_RS16465",189,330,158,90,82,129
"CF003_RS16470",318,511,263,133,147,174
"CF003_RS16475",181,199,251,94,77,100
"CF003_RS16480",78,59,48,13,7,16
"CF003_RS16495",175,175,150,114,140,121
"CF003_RS16500",122,149,99,84,125,95
"CF003_RS16505",26,36,21,17,28,25
"CF003_RS16510",68,105,62,37,44,53
"CF003_RS16515",27,46,24,14,15,21
"CF003_RS16520",45,72,44,25,17,42
"CF003_RS16525",654,800,691,184,210,213
"CF003_RS16530",6980,7207,7867,2347,2234,2096
"CF003_RS16535",533,769,743,100,205,137
"CF003_RS16540",240,324,293,110,100,125
"CF003_RS16545",351,404,471,128,147,171
"CF003_RS16550",461,447,385,140,158,202
"CF003_RS16555",22,18,32,24,30,18
"CF003_RS16560",653,397,681,1820,1823,1076
"CF003_RS16570",192,206,270,238,208,214
"CF003_RS16575",722,1044,777,321,288,499
"CF003_RS16580",101,128,136,82,90,77
"CF003_RS16585",208,241,248,252,236,155
"CF003_RS16595",39,33,27,8,7,11
"CF003_RS16600",26,28,32,2,3,8
"CF003_RS16605",20,28,17,103,102,97
"CF003_RS16610",11,22,13,67,70,115
"CF003_RS16615",60,86,76,112,109,251
"CF003_RS16620",12,7,4,2,3,4
"CF003_RS16625",1314,1317,1211,895,973,885
"CF003_RS16630",178,150,266,204,203,152
"CF003_RS16635",617,718,651,430,354,489
"CF003_RS16640",67,61,68,42,36,52
"CF003_RS16645",156,123,163,60,51,64
"CF003_RS16650",204,203,198,104,84,120
"CF003_RS16655",169,166,188,81,76,98
"CF003_RS16660",93,83,89,34,31,52
"CF003_RS16665",52,52,47,28,28,57
"CF003_RS16670",82,91,67,65,49,99
"CF003_RS16675",109,121,97,155,200,181
"CF003_RS16680",181,198,289,154,126,180
"CF003_RS16690",83,69,72,64,71,86
"CF003_RS16695",122,123,182,112,104,119
"CF003_RS16700",217,199,203,145,166,127
"CF003_RS16705",175,140,132,193,201,138
"CF003_RS16710",85,79,92,47,49,54
"CF003_RS16720",475,749,610,265,243,309
"CF003_RS16725",479,553,542,183,190,263
"CF003_RS16730",1432,2581,1664,1032,1002,1170
"CF003_RS16735",859,1078,486,444,423,537
"CF003_RS16750",251,196,282,302,231,446
"CF003_RS16755",157,122,141,127,101,152
"CF003_RS16760",292,237,345,219,160,275
"CF003_RS16770",157,206,199,161,177,151
"CF003_RS16775",5,3,2,2,2,0
"CF003_RS16780",73,81,71,53,60,60
"CF003_RS16785",202,213,143,107,121,134
"CF003_RS16790",159,193,165,119,130,164
"CF003_RS16795",193,217,232,109,108,162
"CF003_RS16800",250,293,212,85,88,98
"CF003_RS16810",72,68,59,49,49,59
"CF003_RS16815",57,85,85,46,48,64
"CF003_RS16820",48,60,81,52,55,56
"CF003_RS16825",135,128,153,64,71,74
"CF003_RS16830",102,116,88,31,30,36
"CF003_RS16835",23,12,23,8,11,21
"CF003_RS16840",10,10,21,5,6,13
"CF003_RS16850",538,465,390,244,281,221
"CF003_RS16855",330,330,231,93,111,109
"CF003_RS16860",59,91,105,44,50,92
"CF003_RS16865",387,468,482,335,313,382
"CF003_RS16870",333,408,359,295,276,354
"CF003_RS16875",133,176,189,95,101,147
"CF003_RS16880",314,328,413,271,278,385
"CF003_RS16885",1519,762,1052,1501,1198,1370
"CF003_RS16890",234,237,256,175,189,113
"CF003_RS16895",113,125,116,77,94,80
"CF003_RS16900",75,76,74,67,72,70
"CF003_RS16905",161,224,170,161,154,155
"CF003_RS16910",103,136,121,80,82,103
"CF003_RS16915",139,199,155,112,116,173
"CF003_RS16920",265,346,315,182,186,265
"CF003_RS16925",1057,1429,1126,824,770,936
"CF003_RS16930",660,757,395,528,509,720
"CF003_RS16935",120,144,134,52,67,83
"CF003_RS16940",296,280,269,133,140,146
"CF003_RS16945",176,181,182,136,130,162
"CF003_RS16950",178,165,153,163,193,180
"CF003_RS16955",438,406,469,359,380,359
"CF003_RS16965",5,1,3,2,0,1
"CF003_RS16970",148,103,113,178,176,197
"CF003_RS16985",19,19,16,25,25,26
"CF003_RS16990",70,90,58,101,107,126
"CF003_RS16995",79,100,58,91,103,99
"CF003_RS17000",83,79,76,97,119,107
"CF003_RS17005",28,35,33,25,37,34
"CF003_RS17010",1765,1501,1475,923,1156,941
"CF003_RS17015",176,134,137,158,192,190
"CF003_RS17020",54,45,63,34,31,49
"CF003_RS17025",33,21,23,18,20,35
"CF003_RS17030",8,5,12,3,3,8
"CF003_RS17035",399,337,453,117,116,169
"CF003_RS17040",520,607,357,164,143,192
"CF003_RS17045",234,320,239,86,83,125
"CF003_RS17050",413,398,366,131,128,146
"CF003_RS17055",200,159,165,61,80,104
"CF003_RS17060",232,190,198,95,100,137
"CF003_RS17065",125,148,105,54,56,62
"CF003_RS17070",478,436,498,278,298,255
"CF003_RS17075",239,247,225,106,113,126
"CF003_RS17080",149,194,155,97,92,95
"CF003_RS17085",76,118,96,51,59,61
"CF003_RS17090",3,9,6,0,1,1
"CF003_RS17095",0,0,0,0,0,0
"CF003_RS17100",114,74,120,788,599,477
"CF003_RS17105",11,8,9,45,30,31
"CF003_RS17110",75,90,92,17,23,38
"CF003_RS17115",250,360,262,49,50,76
"CF003_RS17120",104,136,144,69,67,98
"CF003_RS17125",182,213,173,116,121,152
"CF003_RS17130",3431,2963,3189,1558,1492,1600
"CF003_RS17140",1132,1380,1199,1295,1128,861
"CF003_RS17145",17,20,19,11,12,17
"CF003_RS17150",384,570,408,217,535,421
"CF003_RS17155",360,654,479,350,1340,578
"CF003_RS17160",303,603,335,297,1265,306
"CF003_RS17165",137,138,165,107,104,78
"CF003_RS17170",106,94,98,65,70,61
"CF003_RS17175",34,37,28,17,16,20
"CF003_RS17180",0,4,1,0,0,0
"CF003_RS17185",42,47,58,19,18,27
"CF003_RS17190",7,12,11,8,9,11
"CF003_RS17195",309,626,304,331,555,299
"CF003_RS17200",99,174,134,64,123,78
"CF003_RS17205",163,200,160,101,161,78
"CF003_RS17210",103,106,90,76,105,69
"CF003_RS17215",150,158,144,135,170,138
"CF003_RS17220",198,179,207,182,212,223
"CF003_RS17225",388,378,381,375,352,410
"CF003_RS17230",514,358,454,404,399,428
"CF003_RS17235",290,374,418,345,378,327
"CF003_RS17245",192,207,184,96,92,82
"CF003_RS17250",85,95,89,25,32,36
"CF003_RS17255",1,1,1,0,0,0
"CF003_RS17260",2,2,3,0,1,1
"CF003_RS17265",5,6,3,1,2,2
"CF003_RS17270",183,132,264,250,296,138
"CF003_RS17275",1,1,1,1,0,0
"CF003_RS17280",2,1,3,1,1,1
"CF003_RS17285",2,2,2,1,0,1
"CF003_RS17290",1,4,3,2,1,1
"CF003_RS17295",2,6,3,2,3,5
"CF003_RS17300",8,8,9,7,5,5
"CF003_RS17305",158,129,188,111,104,89
"CF003_RS17310",621,691,865,1167,1267,921
"CF003_RS17315",9,5,10,3,3,5
"CF003_RS17320",69,79,90,49,64,47
"CF003_RS17325",220,252,271,296,298,248
"CF003_RS17330",302,294,365,327,333,291
"CF003_RS17335",304,314,326,364,365,239
"CF003_RS17340",279,252,395,225,216,196
"CF003_RS17345",203,195,382,176,190,143
"CF003_RS17350",56,51,110,40,40,29
"CF003_RS17355",55,41,81,69,75,60
"CF003_RS17360",280,375,541,224,285,228
"CF003_RS17365",614,687,595,503,520,489
"CF003_RS17390",70,48,65,33,32,19
"CF003_RS17395",63,71,84,38,34,34
"CF003_RS17400",72,76,110,43,38,61
"CF003_RS17425",46,28,33,9,9,23
"CF003_RS17430",9,4,5,1,1,1
"CF003_RS17435",9,7,7,4,4,4
"CF003_RS17440",7,6,5,4,4,3
"CF003_RS17445",173,193,283,78,86,88
"CF003_RS17450",80,78,168,36,42,42
"CF003_RS17455",356,256,396,345,290,214
"CF003_RS17465",450,247,1332,241,249,240
"CF003_RS17470",162,127,223,75,124,98
"CF003_RS17475",308,286,446,146,289,232
"CF003_RS17480",182,161,260,102,165,170
"CF003_RS17485",98,81,134,81,127,95
"CF003_RS17490",15,9,12,5,4,2
"CF003_RS17495",9,9,12,9,9,12
"CF003_RS17505",36,33,39,13,11,16
"CF003_RS17510",12,13,13,8,9,10
"CF003_RS17515",28,40,33,11,14,19
"CF003_RS17520",24,36,37,13,10,11
"CF003_RS17525",15,15,15,3,6,5
"CF003_RS17530",653,396,681,1820,1823,1076
"CF003_RS17540",133,111,173,77,138,95
"CF003_RS17545",36,16,42,25,40,21
"CF003_RS17550",54,47,57,53,52,60
"CF003_RS17555",14,13,15,8,8,5
"CF003_RS17560",13,15,20,10,11,10
"CF003_RS17565",13,15,16,9,7,8
"CF003_RS17570",11,13,8,7,4,6
"CF003_RS17575",10,4,5,8,8,9
"CF003_RS17580",7,8,8,16,18,14
"CF003_RS17585",0,0,0,0,0,0
"CF003_RS17590",0,2,1,0,0,0
"CF003_RS17595",1,1,0,0,0,1
"CF003_RS17600",1,0,1,0,0,0
"CF003_RS17610",19,22,19,30,19,49
"CF003_RS17615",10,15,7,11,13,26
"CF003_RS17620",6,13,10,9,12,26
"CF003_RS17630",38,49,73,23,30,29
"CF003_RS17635",292,264,376,169,271,188
"CF003_RS17645",489,497,420,170,198,209
"CF003_RS17650",62,57,84,18,21,27
"CF003_RS17655",10,10,11,17,17,11
"CF003_RS17660",4,8,5,7,8,5
"CF003_RS17665",4,6,3,6,7,6
"CF003_RS17670",2,3,1,5,5,4
"CF003_RS17675",0,4,2,3,2,5
"CF003_RS17680",0,3,0,3,4,2
"CF003_RS17685",3,4,2,3,3,2
"CF003_RS17690",1,1,3,4,2,3
"CF003_RS17695",1,1,1,2,2,2
"CF003_RS17700",4,4,1,5,11,7
"CF003_RS17705",0,1,0,1,1,3
"CF003_RS17710",6,4,5,10,6,10
"CF003_RS17715",1,2,3,2,1,3
"CF003_RS17720",4,2,0,2,3,3
"CF003_RS17725",14,10,12,6,6,5
"CF003_RS17730",3,3,4,1,2,2
"CF003_RS17735",0,1,2,1,1,1
"CF003_RS17740",3,4,5,2,3,2
