gene_id,Mut  - 77-KO_GGACCC_L001_R1_001 (paired) (GE) - Total gene reads,Mut  - 77-KO-2_GGATGT_L001_R1_001 (paired) (GE) - Total gene reads,Mut  - 77-KO-3_GTGTTA_L001_R1_001 (paired) (GE) - Total gene reads,Mut  - 77-KO-4_GTGGCC_L001_R1_001 (paired) (GE) - Total gene reads,Mut + DP - 77-KO+DP_TTCAGC_L001_R1_001 (paired) (GE) - Total gene reads,Mut + DP - 77-KO+DP-2_TTCGCT_L001_R1_001 (paired)-1 (GE) - Total gene reads,Mut + DP - 77-KO+DP-3_TGTGAA_L001_R1_001 (paired) (GE) - Total gene reads,Mut + DP - 77+DP-KO-4_TGTTGC_L001_R1_001 (paired) (GE) - Total gene reads,Wt + DP - 77+DP_CCTTCA_L001_R1_001 (paired) (GE) - Total gene reads,Wt + DP - 77+DP-2_CCTCGG_L001_R1_001 (paired) (GE) - Total gene reads,Wt + DP - 77+DP-3_CACACA_L001_R1_001 (paired) (GE) - Total gene reads,Wt + DP - 77+DP-4_CACCTC_L001_R1_001 (paired) (GE) - Total gene reads,Wt - 77-2_AAGACG_L001_R1_001 (paired) (GE) - Total gene reads,Wt - 77_AAGGGA_L001_R1_001 (paired) (GE) - Total gene reads,Wt - 77-3_ACACGA_L001_R1_001 (paired) (GE) - Total gene reads,Wt - 77-4_ACAAAC_L001_R1_001 (paired) (GE) - Total gene reads
PGN_RS08200,1319,1099,438,817,801,627,420,880,1171,977,919,860,899,995,1149,864
PGN_RS08205,4704,6086,2240,4170,4102,3145,1871,3514,3358,1940,3106,5994,4519,3439,6096,5943
PGN_RS08210,2427,1625,912,1340,1381,748,1115,1814,2726,1000,1761,3741,2417,3011,1751,4460
PGN_RS08215,88382,50154,33053,27301,34078,22951,68547,40043,167770,69380,47848,74351,91239,120463,54834,86717
PGN_RS08220,898,1043,1160,656,512,504,1403,635,650,442,1828,852,610,579,1263,634
PGN_RS08225,551,705,786,294,435,393,1029,273,288,303,491,210,463,390,511,230
PGN_RS08230,16946,9632,11645,7650,5469,4488,48593,11678,41612,11988,32965,67624,17729,32983,11952,27529
PGN_RS08235,1093,793,507,822,657,342,442,527,856,393,430,661,718,825,722,890
PGN_RS08240,22124,16810,16005,17946,18261,10272,15919,14563,19997,9261,18646,21898,9519,13909,21902,18850
PGN_RS08245,14160,8897,8959,10462,14763,9116,10029,8193,14263,5816,7828,12782,6586,10364,9649,11522
PGN_RS08250,4440,5336,2577,3065,8147,6155,3170,3161,6263,3663,2772,3469,3630,3576,2995,2433
PGN_RS08255,1030,1313,4143,787,3366,2016,6654,1909,1322,1166,5250,1709,857,776,3380,639
PGN_RS08260,3679,6532,5518,6579,2787,4559,4652,4001,2951,4405,6083,6559,9695,4237,18248,16025
PGN_RS08265,18644,17030,6823,17433,26387,18021,9761,46216,49512,17383,27253,97717,12667,19287,7782,39334
PGN_RS08270,1494,1768,1013,1538,1304,1265,1290,1388,1327,1069,1845,2569,1390,1500,1931,2334
PGN_RS08280,774,869,718,609,1150,1057,1228,721,1169,827,1182,1210,913,655,1413,710
PGN_RS08285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PGN_RS08300,916,762,596,510,458,373,540,394,738,504,386,583,796,697,532,564
PGN_RS08310,1602,1669,1298,1446,1379,994,1605,1414,1722,1293,1794,1091,1370,1308,3059,2003
PGN_RS08325,2727,3199,1903,2425,1185,1039,407,354,743,1434,454,520,3324,2095,6545,4305
PGN_RS08330,8936,5150,7930,4077,2803,1510,1297,955,2271,2300,647,829,5479,5285,6088,5754
PGN_RS08335,679,156,990,158,140,48,152,58,132,71,51,65,261,144,396,338
PGN_RS08340,25873,21008,16337,17837,10401,6489,3385,3338,10155,10149,3359,3535,18265,20384,35257,22514
PGN_RS08345,4435,3321,2070,2513,1577,1117,504,554,1714,1869,594,530,3590,3719,5950,3208
PGN_RS08350,9043,6496,6322,5102,5592,3411,7183,4225,7641,3735,5771,5638,4917,7520,6633,7298
PGN_RS08355,7140,7439,4677,3257,10810,9437,4029,3386,9599,5476,2636,1722,3837,4932,6115,2292
PGN_RS08360,18438,16886,12834,10671,20551,13258,9966,6084,16346,8042,4663,2633,7743,10560,9572,7668
PGN_RS08365,3685,1997,4731,2098,3117,1665,3158,1149,2564,988,748,489,1292,1370,1755,2160
PGN_RS08370,9701,9945,12161,7441,11420,9015,8524,3861,9025,4696,3567,1609,4833,5281,8865,6438
PGN_RS08375,11186,10069,13602,7518,12490,8517,9023,4111,9459,5390,3168,1686,5596,5959,8693,6433
PGN_RS08380,820,449,1438,335,760,379,1068,252,684,292,133,63,583,338,371,516
PGN_RS08385,5184,8223,6406,6719,7350,8327,5466,4452,5500,5698,4926,2828,6497,4704,13353,8395
PGN_RS08395,3857,3070,1347,2619,3838,2212,3606,5229,6535,2951,8636,15318,3224,3903,4892,5117
PGN_RS08400,9275,7816,4280,5474,7288,4832,4890,5360,10055,6272,8053,7315,6489,7375,10117,7754
PGN_RS08405,4796,4824,2953,4435,2627,3064,4107,4275,4731,4329,5399,8947,10731,6386,6264,12621
PGN_RS08415,3133,2429,1190,1463,1539,1206,1813,1720,3944,1887,2025,3298,2227,3063,1918,2837
PGN_RS08420,5421,4091,2795,4013,4157,2490,3725,4802,7328,2876,4798,9254,3582,4641,3877,5481
PGN_RS08425,202,134,108,118,179,159,105,119,210,124,80,115,179,119,166,200
PGN_RS08430,2558,2134,1450,1967,1790,1505,1315,1890,2597,1365,1371,2019,1719,1974,2175,2471
PGN_RS08435,3632,2878,1187,2579,2448,1794,836,2445,3773,2091,1170,2196,2521,2954,2448,3706
PGN_RS08440,7155,5825,4915,3160,6130,3813,4099,2575,10461,6320,3232,2758,5838,5350,6532,4507
PGN_RS08445,5116,6654,2114,1878,7199,5644,2819,4532,9142,6733,2431,3251,3840,4244,4423,2214
PGN_RS08460,2403,1838,1790,1958,2249,1436,1951,1799,2772,1387,2058,2402,1405,1601,2860,2377
PGN_RS08470,722,466,540,271,776,499,602,339,845,442,271,307,517,507,358,392
PGN_RS08480,236,205,173,135,216,141,128,245,305,119,151,216,212,169,256,182
PGN_RS08485,2773,3004,2093,1968,5234,4096,3058,4092,6155,2769,2486,3358,2363,2146,2772,1815
PGN_RS08490,714,670,974,1200,1618,1318,2663,2490,2049,978,3469,3091,682,499,2029,1606
PGN_RS08495,845,978,537,733,27668,25025,24217,30199,31319,14340,45528,25144,496,762,998,623
PGN_RS08500,963,1106,1051,843,36720,49812,99718,55959,89729,33710,130981,79456,658,540,1427,834
PGN_RS08505,880,1126,460,498,663,544,638,460,754,547,355,620,928,724,432,640
PGN_RS08510,673,601,437,399,466,451,638,478,602,385,416,615,618,573,522,569
PGN_RS08515,372,266,175,222,189,149,298,293,439,187,395,574,428,447,402,487
PGN_RS08520,1526,995,675,1110,893,557,987,1529,1624,1024,1753,2494,1737,1453,1897,2446
PGN_RS08525,157,102,109,130,278,172,1010,1202,933,141,2122,1873,149,96,242,160
PGN_RS08530,256,128,86,104,723,321,1765,2197,2119,278,2199,3172,203,133,92,152
PGN_RS08535,9239,11226,5112,7459,10427,8760,5942,6983,9506,8344,5349,6925,8115,6682,9502,8941
PGN_RS08540,197,177,145,168,103,77,137,80,206,128,118,109,213,201,232,215
PGN_RS08545,773,554,503,556,375,237,454,284,633,425,439,520,725,673,784,880
PGN_RS08550,978,975,612,679,575,577,580,283,816,608,412,545,984,759,805,795
PGN_RS08560,4748,3657,2552,3800,6838,4194,2903,3778,6792,3633,3177,4912,2987,3766,4839,4809
PGN_RS08565,3304,2445,2110,3035,3348,2271,2359,2218,3841,2407,2306,3081,2052,2747,4530,3933
PGN_RS08570,3124,2219,1428,2220,2738,1769,1309,1787,3211,1819,1515,2446,1696,2263,2710,2792
PGN_RS08575,7271,5492,3189,4367,5322,3605,3817,3824,8679,6220,5616,5985,5795,6335,8740,6562
PGN_RS08580,4586,3316,1935,2859,3203,2265,2126,3122,5323,2167,2601,3941,2947,4276,4004,4475
PGN_RS08585,9638,8165,5110,5857,9030,6316,5877,5698,12892,5634,5379,9234,5634,8011,7541,8147
PGN_RS08605,18188,26080,7237,13365,22101,21121,9146,13805,21426,22583,13323,16320,18599,16668,18732,12919
PGN_RS08610,1398,1900,2299,544,914,1278,4803,1885,1927,3104,3932,1797,3075,2064,6502,1204
PGN_RS08615,9051,7599,8149,3788,3919,3605,9933,5331,12306,8632,13473,8353,11699,11967,21831,13571
PGN_RS08620,409,286,223,157,198,113,213,194,477,313,249,230,513,571,515,509
PGN_RS08625,948,892,542,312,409,375,593,393,990,906,558,686,1492,1287,1128,1316
PGN_RS08630,3650,3010,1551,1183,1539,1335,1983,1627,3702,3308,2684,2368,5483,5804,4561,4282
PGN_RS08635,228,200,98,121,56,80,106,145,277,205,113,249,344,343,226,452
PGN_RS08640,47,28,16,33,25,29,33,57,43,26,35,63,50,52,42,55
PGN_RS08650,86,79,40,68,92,53,45,88,49,51,63,121,76,51,77,116
PGN_RS08655,6547,5073,2895,4159,7685,4875,3230,3529,6108,2832,2870,4367,3156,4059,3216,3516
PGN_RS08660,708,635,552,492,798,476,446,313,492,223,329,336,361,460,376,422
PGN_RS08665,695,571,487,441,706,429,468,306,530,230,333,307,320,412,554,433
PGN_RS08670,3366,2819,2708,2262,3917,2712,2125,1652,2636,1445,1412,1242,1800,1995,2415,1881
PGN_RS08685,1247,1219,387,670,1089,740,570,685,1302,983,567,993,1591,1121,842,1175
PGN_RS08690,3300,2435,1779,1601,2997,2185,2800,2249,4660,2591,3931,2775,2433,2412,3469,2413
PGN_RS08695,16,19,8,9,21,3,13,5,25,9,13,20,26,13,16,13
PGN_RS08700,476,854,608,56,281,7,598,148,1,0,370,279,316,2,432,578
PGN_RS08705,1683,1342,606,761,818,611,848,740,2165,1778,1557,2688,4024,4530,1169,5534
PGN_RS08710,4659,3217,1719,2301,2282,1679,2869,3106,8086,4733,5984,12177,6417,8239,4620,11865
PGN_RS08730,1424,832,2845,878,1372,889,1626,697,1324,596,594,409,943,752,1434,1028
PGN_RS08780,2725,2574,3221,2180,4435,4015,2521,1387,2684,1683,951,842,1613,1765,2940,2204
PGN_RS08880,7810,11996,10087,6160,15842,14653,9489,4273,9670,8096,4227,2593,5978,7232,10159,5975
PGN_RS08885,2036,1637,1083,1131,1991,1279,1393,1202,2156,1314,1886,1782,1152,1351,1955,1342
PGN_RS08890,3008,2812,1549,2218,2413,1486,1507,1705,2153,1341,1234,2057,2075,1935,1904,2276
PGN_RS08895,841,608,446,389,644,414,454,359,717,313,335,474,374,391,489,372
PGN_RS08900,854,662,770,616,679,436,634,544,830,407,574,571,483,371,914,651
PGN_RS08905,14126,10958,5824,8833,8141,5714,5255,7265,11333,5870,5917,9962,7747,9876,9073,11529
PGN_RS08910,6261,5371,3247,4667,3905,3024,3723,3894,5868,3330,4605,5008,3781,4672,6325,5765
PGN_RS08915,3371,3032,1855,2375,3280,2388,3275,3588,4527,3158,4384,6222,3456,3055,3918,3503
PGN_RS08925,1000,1058,865,748,946,567,949,744,896,583,949,797,789,748,1291,957
PGN_RS08930,5539,5262,4376,3444,6710,4514,4654,3367,5793,3627,3696,3159,3664,3941,5512,3451
PGN_RS08935,1671,1395,1285,612,1862,1227,1100,834,2082,964,855,694,992,1268,1267,854
PGN_RS08940,11355,10877,6571,5185,13948,10941,6443,6215,14910,9274,7048,6413,7534,8811,10154,7164
PGN_RS08945,4123,3699,2389,2558,3411,2194,1751,1859,3660,2000,1690,1782,2840,2998,3638,2872
PGN_RS08950,2798,3043,6986,3563,2473,1712,7605,2278,1901,1361,6918,3810,1899,1652,6658,3436
PGN_RS08965,8617,12490,8653,5738,12592,10129,10342,3599,11127,9707,9280,5635,13349,9510,11087,7683
PGN_RS08970,2688,2753,1605,2164,1502,1448,1537,1465,2005,1478,1846,1647,2274,2036,2825,2704
PGN_RS08975,591,532,457,455,291,258,579,365,411,354,409,382,591,443,820,789
PGN_RS08980,2173,2992,1139,2222,1985,2139,1438,1540,1861,1587,1264,1584,1851,1720,1501,2015
PGN_RS08985,3614,3628,2756,3349,3329,2372,2579,2407,3432,2260,3379,3098,2522,2212,4441,4276
PGN_RS08990,6588,5711,3571,4683,4525,3159,3328,3921,5360,3067,4566,4365,3829,4641,7151,5899
PGN_RS08995,1971,1728,1033,1677,1430,1031,974,1146,1540,907,908,1080,1247,1268,1644,1671
PGN_RS09000,3986,5148,2318,3067,4156,3410,2764,3349,4069,2918,3943,5347,2745,3109,3604,2837
PGN_RS09005,295,290,195,209,130,98,147,280,274,203,181,632,453,344,322,556
PGN_RS09010,409,267,218,334,440,333,331,335,970,500,258,603,520,561,417,565
PGN_RS09015,1368,1234,876,873,1429,1086,962,1134,2161,1586,1557,2072,1519,1313,1695,1819
PGN_RS09020,12647,15527,4892,6755,15296,11497,7856,8408,19956,23399,12549,17350,19466,12267,12403,16212
PGN_RS09025,19204,19996,11205,17247,15737,12554,11911,16205,21495,13629,14027,19753,15073,17054,23023,19754
PGN_RS09030,1397,2453,2173,1094,1964,1656,1491,437,1334,1991,782,358,1432,848,2319,792
PGN_RS09035,1029,888,4175,1178,924,654,2592,370,727,876,1039,360,734,357,2630,1162
PGN_RS09040,179,108,158,106,99,71,151,87,84,57,229,78,88,49,227,87
PGN_RS09045,1883,1961,3115,1354,3096,1965,2455,666,1278,908,1385,439,1090,875,2096,888
PGN_RS09055,208,672,52,269,256,31,277,138,808,258,566,829,599,1121,458,1531
PGN_RS09065,6329,4999,364,2755,2062,1928,581,3907,2718,2268,1285,2431,3053,3332,2640,3965
PGN_RS09075,8202,7062,4845,5922,9056,7283,7245,8957,12317,6347,8547,10842,6615,6614,9886,9969
PGN_RS09080,129,12,190,105,512,613,2035,2595,3198,1359,2697,4051,107,17,237,87
PGN_RS09085,668,507,437,354,4227,6191,21623,23592,35580,8578,44424,51876,538,457,865,556
PGN_RS09090,253,218,263,206,1127,1142,11115,8502,8713,1600,11356,15323,328,129,326,236
PGN_RS09095,231,175,189,113,1860,2072,8039,9511,13199,1957,13246,18157,252,153,326,161
PGN_RS09100,74,29,66,28,675,747,3165,3626,4020,727,4238,5399,94,35,62,47
PGN_RS09105,296,328,303,199,4962,3749,18449,17068,22876,3616,25052,32889,427,200,432,307
PGN_RS09110,74,103,96,81,2562,1370,5816,7102,6227,1406,8830,11113,130,53,172,212
PGN_RS09115,874,757,366,822,641,327,433,843,688,416,869,1364,600,761,764,1683
PGN_RS09130,61,436,192,82,49,74,340,196,466,194,549,857,672,659,531,1195
PGN_RS09135,2458,1744,1133,938,769,747,1574,1393,3210,1568,1984,2402,2229,3412,1558,2255
PGN_RS09145,245,59,223,18,44,35,255,85,219,61,43,79,172,161,47,127
PGN_RS09170,268,47,169,20,60,27,367,69,344,76,137,134,156,86,115,121
PGN_RS09175,3404,2607,2026,1577,1508,1450,3718,2650,4496,2950,6980,6022,3922,3646,4287,4374
PGN_RS09190,3869,3236,1232,1397,4065,3200,1723,1996,7542,4016,2890,2928,2496,3911,2508,2083
PGN_RS09195,501,407,395,456,644,439,549,498,1046,529,796,849,356,391,1163,799
PGN_RS09205,3371,3679,1641,3649,3006,2766,3152,3514,3669,2144,4133,4711,2576,2772,3107,4513
PGN_RS09210,424,325,243,218,208,173,226,185,287,189,196,215,364,296,430,323
PGN_RS09230,2187,1712,1163,1524,2394,1413,1505,1655,3401,1612,2415,3702,1726,1815,2212,2828
PGN_RS09235,280,259,292,275,282,204,249,214,228,205,188,189,351,178,415,283
PGN_RS09240,1557,3460,2195,2836,4471,4388,9395,16736,5924,4381,19718,18833,2187,888,6455,3036
PGN_RS09245,2871,2988,4334,1314,4423,2819,5215,5366,4755,1362,2369,2467,1446,1368,2065,933
PGN_RS09250,2301,1595,733,756,2499,1433,1070,993,2879,1490,937,1370,1493,2456,944,977
PGN_RS09255,16074,12082,10967,7255,13805,9709,14795,11109,19823,8557,13720,13440,8614,11221,11284,8664
PGN_RS09260,728,641,332,572,455,344,377,525,873,398,583,1131,846,882,664,1175
PGN_RS09280,7300,5840,3601,2730,4034,3170,5454,4092,9853,5369,6168,7216,6403,8180,5172,4861
PGN_RS09285,3592,2087,1764,1493,1841,1150,2670,1913,5251,2131,2897,3840,2737,3876,2991,3665
PGN_RS09290,5788,3576,2645,2407,2266,1663,3342,3158,6713,2658,5087,7494,3841,4936,4152,5105
PGN_RS09295,22672,20921,6053,8331,14086,9345,9399,11160,29576,12423,12369,19698,18820,35454,9057,13907
PGN_RS09305,7767,5378,2224,5416,3527,2291,1545,3187,5941,3544,2640,3743,4511,6041,5866,8715
PGN_RS09310,27895,28897,8275,15265,18147,14724,7845,14232,23836,17272,11224,14994,18303,28096,17709,18299
PGN_RS09315,71918,60765,11101,28584,55174,29876,12090,27365,62919,35718,18742,39720,43070,71828,20544,33850
PGN_RS09320,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
PGN_RS09330,9945,11613,3524,8317,13729,8688,5291,8281,13945,8058,6295,8925,7201,9252,9476,8056
PGN_RS09335,1342,1225,3162,1122,1317,785,4371,962,1162,761,2835,744,784,760,1422,909
PGN_RS09345,19406,20849,28338,14163,20303,14171,22656,13949,18235,10171,21550,10164,10313,12018,29599,13645
PGN_RS09350,490,403,341,554,439,282,524,760,471,317,829,1088,349,387,823,716
PGN_RS09355,1788,1099,565,1157,655,437,786,972,1620,786,825,2560,3254,3418,819,6727
PGN_RS09370,6347,4092,3178,3404,6901,4429,3238,1686,6948,3083,2035,2536,3382,4559,4167,4126
PGN_RS09380,807,791,709,894,820,634,678,662,671,556,1005,631,647,452,1724,832
PGN_RS09385,1380,1350,452,910,1175,976,370,608,969,923,753,418,758,988,1588,673
PGN_RS09390,63,69,94,69,108,94,131,59,139,63,109,52,111,51,161,79
PGN_RS09395,1941,2579,853,1438,5885,4892,953,2284,8735,6530,955,1353,3790,2509,1635,1974
PGN_RS09400,462,438,348,408,375,346,461,488,396,346,697,789,370,255,691,488
PGN_RS09405,292,309,223,283,304,289,351,368,418,315,556,543,461,276,590,411
PGN_RS09410,315,334,191,266,209,164,240,202,245,290,253,344,658,342,362,405
PGN_RS09415,2770,2863,3011,2108,2609,1917,3166,1684,2210,1975,2713,2077,2923,2205,4086,3111
PGN_RS09425,7841,6647,2318,4625,2576,2234,2677,3714,6921,3872,2794,6404,5751,7213,3004,7042
PGN_RS09430,572,301,202,334,181,127,215,378,435,172,287,698,387,402,383,626
PGN_RS09435,849,442,177,387,355,235,219,411,1064,337,283,657,755,1236,243,796
PGN_RS09440,5297,3946,1696,3343,5452,2812,3425,7815,6212,3039,6196,10370,5314,7333,7275,8630
PGN_RS09445,2129,2053,1534,1351,1852,1579,1851,1396,1850,1619,2019,1624,1696,1580,2399,1376
PGN_RS09455,2445,2938,1904,2151,3105,2599,1772,1680,3023,2113,2563,4179,2594,2108,4246,2998
PGN_RS09460,1474,1251,1208,1073,1936,1210,938,919,1838,1055,718,1238,1592,1253,1485,1648
PGN_RS09465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PGN_RS09475,2812,1945,757,1688,1736,1102,771,1576,2045,1331,1594,2089,1578,1978,1889,2033
PGN_RS09485,3224,2672,887,1566,1778,1751,1228,1821,3853,2628,2140,2502,2727,3242,2174,2820
PGN_RS09490,5136,3672,2333,2873,3427,2230,2392,4475,3835,3106,4986,5002,3265,4162,8161,5656
PGN_RS09500,4722,3590,1261,2247,2516,2000,1386,2068,4459,2712,2020,2621,2713,3578,3079,2885
PGN_RS09505,297,234,148,181,155,124,140,208,294,172,127,255,255,254,254,284
PGN_RS09510,104,72,81,69,46,26,58,81,74,61,92,96,52,28,114,116
PGN_RS09515,4736,3817,967,2730,1798,1327,971,3004,5090,2807,1476,3722,3390,4151,2228,4190
PGN_RS09520,3688,2879,995,1808,1172,1051,693,1692,2402,1835,946,1673,2529,2772,1381,2196
PGN_RS09525,2559,2870,2233,2749,3185,4631,1734,2098,3195,2538,2765,2407,1911,1966,4067,3838
PGN_RS09530,2093,1606,1802,1573,2244,2138,1247,1310,2874,1367,1159,1101,1423,1208,2011,2262
PGN_RS09535,1306,1179,755,834,1743,1624,572,734,2542,1109,682,889,1010,981,1252,1346
PGN_RS09540,8346,9205,5034,5988,9909,10116,7244,8499,9475,8929,10679,8866,5169,5059,11595,5302
PGN_RS09545,6243,4557,5953,3594,5395,3122,5696,2952,5189,2353,3560,2969,3149,3856,4834,3869
PGN_RS09555,13376,13495,12095,7472,13766,11349,12091,7987,11478,7643,10149,6928,8223,11888,13338,8817
PGN_RS09575,3150,3195,2841,2328,4014,3152,2952,2543,4418,2419,2073,2680,2952,2584,3684,3040
PGN_RS09580,26095,28842,21388,24032,33175,30292,29401,25827,34148,23179,48549,43564,19327,23235,40106,31025
PGN_RS09585,259,141,352,127,151,82,283,141,144,133,203,192,207,135,230,195
PGN_RS09590,1907,2337,2151,687,1343,1573,3049,791,1583,2044,3096,950,2117,1858,3279,1031
PGN_RS09595,9,7,18,0,2,5,12,4,3,5,1,5,46,15,7,6
PGN_RS09600,1917,2143,2082,1753,1938,1722,2217,1756,1912,1468,2324,2250,1657,1249,3142,1956
PGN_RS09605,652,663,656,396,554,483,496,482,659,513,588,565,819,535,891,672
PGN_RS09610,390,396,487,264,385,282,415,294,473,276,354,293,353,269,462,314
PGN_RS09615,879,970,1184,765,893,727,899,711,760,558,777,659,735,571,1398,897
PGN_RS09620,4441,5776,3844,6708,5032,3936,2155,3306,3327,2115,1771,1931,2940,2816,3689,6564
PGN_RS09625,5079,5119,4913,4454,6597,5564,2752,2499,4618,2608,1289,1118,2805,2945,3344,3762
PGN_RS09630,28335,43267,20488,25402,33578,29435,16207,15889,22799,24943,12621,9746,24591,20608,30005,22085
PGN_RS09635,2259,2646,1881,1742,2823,2759,1895,1963,2870,2558,2519,2183,1756,1623,3510,1735
PGN_RS09640,10815,8420,4169,10117,20396,9341,5458,25267,35554,9215,12165,39270,7021,10710,7815,17400
PGN_RS09645,8353,8321,2928,4741,4855,3851,2619,2855,5786,5386,2576,3051,6927,6963,6213,5673
PGN_RS09650,5801,5092,3204,4508,4632,3375,3088,2918,5302,3416,3346,3164,3684,4476,6964,5095
PGN_RS09655,4810,4211,2405,3172,4353,2838,2162,2270,4352,2461,1877,2297,2800,3210,3808,3425
PGN_RS09660,20218,20712,9281,14479,23027,15514,8034,10804,18666,10484,7727,10135,10727,15441,15490,15574
PGN_RS09670,9437,8719,4221,4591,9030,7418,4854,4838,10530,6511,4965,5240,7164,8833,6672,6763
PGN_RS09675,7533,6744,6262,4457,9785,7178,5982,5527,8341,4956,5359,4003,4844,5059,9401,5432
PGN_RS09695,31480,39089,9428,15850,34689,29466,11564,13270,42933,40197,17495,20603,50933,52251,14530,43479
PGN_RS09705,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
PGN_RS09710,0,0,0,0,1,3,1,0,0,0,1,0,0,0,0,1
PGN_RS09715,113842,102717,36869,58734,116429,94714,49839,52720,119686,97669,68027,91811,98350,103687,77091,128941
PGN_RS09725,4280,3472,2724,3029,3612,2374,2515,1637,2924,1500,1580,1287,2835,3112,3489,4019
PGN_RS09730,9899,10899,3449,5049,5639,4820,2368,4382,8315,6180,1934,2593,8409,11171,5068,5649
PGN_RS09735,2388,2220,1789,1855,1667,1376,1417,1477,2418,1637,1630,1658,1602,2006,3620,3086
PGN_RS09740,1322,1433,1349,2118,970,805,1158,1106,1111,674,841,1242,1091,873,2408,2592
PGN_RS09745,8921,9804,3935,4460,9086,7333,3303,4777,10333,8317,3047,3861,7842,9963,9565,5368
PGN_RS09755,7794,8300,5150,8813,9048,7068,5401,5766,8213,5143,6235,7530,5130,5868,9729,9382
PGN_RS09765,266,313,143,355,222,189,63,293,222,176,125,270,226,205,451,310
PGN_RS09770,10,14,7,8,9,7,12,5,7,14,5,9,14,5,29,22
PGN_RS09775,2045,1282,1004,1281,1611,1030,963,1474,2325,1012,924,1514,1132,1353,1659,1532
PGN_RS09780,849,681,850,987,854,610,948,817,1071,530,1027,1115,602,615,2086,1405
PGN_RS09785,3410,3372,2198,3958,4309,2950,2495,4010,4156,2535,3684,5321,2289,2949,5852,4556
PGN_RS09790,1871,1576,884,1083,1775,1300,1387,1355,2282,1373,1571,2196,1263,1564,1706,1648
PGN_RS09795,7711,6230,3290,6377,6831,3431,5796,6194,7997,4495,7138,15575,6320,6839,7851,13831
PGN_RS09800,12799,13992,12693,7883,14277,11121,15333,7778,11727,7174,8672,5744,6018,8729,10403,6310
PGN_RS09805,7210,7251,14143,5756,8380,5555,15787,5325,6663,3810,7805,4233,3742,3970,9352,4717
PGN_RS09810,943,978,2511,902,938,811,3312,709,679,519,1674,625,568,423,1893,713
PGN_RS09820,8568,5717,6617,4520,4176,2998,9144,6571,9081,3980,10383,14318,4955,6032,8037,7594
PGN_RS09825,1149,890,1051,781,745,517,1078,621,868,413,900,938,645,893,878,905
PGN_RS09830,11848,11375,10651,6466,12237,8661,10950,5414,10615,6004,5304,4932,6872,8102,9031,6387
PGN_RS09835,10466,6436,6932,3781,8135,3701,8709,5456,12087,4478,6054,8099,5706,7484,6017,6450
PGN_RS09840,130,102,241,95,81,77,332,151,114,54,198,216,100,79,152,120
PGN_RS09850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PGN_RS09855,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
PGN_RS09860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PGN_RS09865,354,440,113,384,601,441,124,649,979,679,335,1486,1016,469,211,1941
PGN_RS09870,1833,1474,859,1039,760,539,563,1007,1441,798,583,1150,1314,1441,1073,1393
PGN_RS09875,27706,23297,6310,12904,20572,18259,8187,16673,20475,15664,10504,17708,16006,15290,12297,14640
PGN_RS09880,1601,1408,796,1037,1184,876,499,546,1249,918,375,462,1409,1119,1342,1350
PGN_RS09885,13955,16825,9301,14858,17386,15143,9009,12194,18915,13755,13992,18287,13812,15299,18198,17613
PGN_RS09895,2499,2268,1345,1711,2995,1933,1136,1147,4165,2349,1973,2366,2341,2752,3209,2521
PGN_RS09900,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
PGN_RS09910,1578,1520,1192,1349,2285,1407,1161,1144,1926,1033,1421,1222,1058,1096,2026,1412
PGN_RS09915,1943,1541,746,1085,2211,1162,672,1100,2227,1022,796,916,1068,1234,1297,1010
PGN_RS09920,9791,9505,4012,6189,10684,7237,4104,7565,7190,4777,5926,8981,4856,8573,4760,6121
PGN_RS09925,296,262,452,443,225,152,594,365,199,93,845,808,221,236,879,732
PGN_RS09930,1303,1092,1851,940,1090,689,1769,755,823,388,1053,755,650,707,1225,829
PGN_RS09955,2284,1569,1580,1008,830,737,2041,1473,2354,1630,2895,2813,2746,2744,3084,3156
PGN_RS09965,367,438,152,130,275,250,117,187,282,295,213,212,421,349,280,238
PGN_RS10070,86,88,80,58,112,60,28,52,19,29,39,24,37,43,89,43
PGN_RS10080,7,8,4,5,2,2,4,8,3,9,6,15,8,3,13,4
PGN_RS10090,31,39,19,6,31,21,17,22,45,19,24,7,25,48,45,7
PGN_RS10095,81,68,37,81,72,37,33,30,52,16,31,22,51,54,50,72
PGN_RS10100,716,569,246,1384,644,397,153,571,447,211,134,231,260,533,973,1118
PGN_RS10150,10,19,17,16,10,15,9,5,12,9,21,7,19,3,27,6
PGN_RS10210,142,181,330,153,91,73,289,70,15,32,274,55,48,48,537,82
PGN_RS10240,13,13,14,12,3,1,2,5,6,4,7,8,32,6,13,17
PGN_RS10330,23,30,42,13,15,12,54,19,7,18,40,18,20,9,43,17
PGN_RS10335,30,20,14,22,14,15,24,22,18,15,21,13,33,16,23,20
PGN_RS10350,216,179,198,161,233,156,103,139,111,64,149,70,120,141,274,124
