gene_id,Mut  - 77-KO_GGACCC_L001_R1_001 (paired) (GE) - Total gene reads,Mut  - 77-KO-2_GGATGT_L001_R1_001 (paired) (GE) - Total gene reads,Mut  - 77-KO-3_GTGTTA_L001_R1_001 (paired) (GE) - Total gene reads,Mut  - 77-KO-4_GTGGCC_L001_R1_001 (paired) (GE) - Total gene reads,Mut + DP - 77-KO+DP_TTCAGC_L001_R1_001 (paired) (GE) - Total gene reads,Mut + DP - 77-KO+DP-2_TTCGCT_L001_R1_001 (paired)-1 (GE) - Total gene reads,Mut + DP - 77-KO+DP-3_TGTGAA_L001_R1_001 (paired) (GE) - Total gene reads,Mut + DP - 77+DP-KO-4_TGTTGC_L001_R1_001 (paired) (GE) - Total gene reads,Wt + DP - 77+DP_CCTTCA_L001_R1_001 (paired) (GE) - Total gene reads,Wt + DP - 77+DP-2_CCTCGG_L001_R1_001 (paired) (GE) - Total gene reads,Wt + DP - 77+DP-3_CACACA_L001_R1_001 (paired) (GE) - Total gene reads,Wt + DP - 77+DP-4_CACCTC_L001_R1_001 (paired) (GE) - Total gene reads,Wt - 77-2_AAGACG_L001_R1_001 (paired) (GE) - Total gene reads,Wt - 77_AAGGGA_L001_R1_001 (paired) (GE) - Total gene reads,Wt - 77-3_ACACGA_L001_R1_001 (paired) (GE) - Total gene reads,Wt - 77-4_ACAAAC_L001_R1_001 (paired) (GE) - Total gene reads
PGN_RS07195,4657,4370,2839,2715,4706,3317,3979,4432,4778,3457,4500,4821,2918,3224,4310,2843
PGN_RS07200,10687,11380,11102,9706,10153,8599,10712,7094,10702,8731,10621,6966,10267,8167,21672,11659
PGN_RS07205,2758,2927,1695,2041,1249,1119,1583,1456,1847,2077,2366,1678,2779,2078,3805,2599
PGN_RS07215,23325,26926,22887,16911,24906,25348,28558,16160,21047,15479,21357,12151,16021,17815,28473,14906
PGN_RS07220,3060,1896,3384,1960,2465,1504,3301,1445,2025,1146,1600,1017,1351,1292,3173,1959
PGN_RS07225,716,353,278,521,333,177,250,203,424,162,155,196,297,376,386,478
PGN_RS07230,531,316,303,310,329,157,218,126,388,114,109,130,317,411,244,344
PGN_RS07240,4536,2371,3335,3272,3247,1302,2949,1852,3786,1121,1359,1933,1861,2345,2355,3220
PGN_RS07245,4856,2966,2711,3395,5142,2002,3396,2318,5833,1729,2896,2833,1982,2955,3246,3341
PGN_RS07255,5789,4798,3977,3127,3357,2409,5440,4678,8053,3596,7724,8740,4337,5656,5873,5349
PGN_RS07260,510,322,583,193,258,224,851,354,516,283,482,605,366,292,484,346
PGN_RS07265,473,329,219,248,351,251,323,413,512,293,438,629,524,421,423,622
PGN_RS07270,349,319,593,220,512,413,776,249,471,381,541,279,312,170,746,225
PGN_RS07285,422,375,886,314,341,243,1073,317,248,182,743,272,300,199,810,281
PGN_RS07290,709,668,754,454,736,543,1166,438,798,448,1373,559,515,478,1041,463
PGN_RS07295,1066,1177,1695,992,993,609,2292,662,644,386,1526,682,683,690,1797,746
PGN_RS07300,8351,8019,4896,6364,10859,6168,2904,3313,7323,3649,2226,1865,4005,4335,6978,4626
PGN_RS07305,118091,145715,61213,83769,177950,127036,38549,55181,110257,84196,27186,27494,78983,95587,83424,54693
PGN_RS07315,3725,3338,1693,1822,3145,2351,2307,3864,4298,2584,5610,8150,2573,3682,4650,3936
PGN_RS07320,2336,1713,574,862,559,444,379,752,602,609,403,308,1042,1096,864,545
PGN_RS07325,2175,1832,864,1036,873,687,564,959,1009,968,737,806,1392,1380,1271,1055
PGN_RS07330,15646,9424,1864,5802,12678,4715,3268,8160,19896,7838,5935,15917,9223,17110,3557,11130
PGN_RS07335,1336,841,297,784,396,300,403,911,1215,566,773,1767,863,1076,671,1592
PGN_RS07340,2578,1563,685,1523,569,423,874,1331,2257,1213,1224,2074,1949,2011,1400,2386
PGN_RS07345,2425,1709,466,1370,552,395,540,1222,2705,1141,977,1837,1947,2010,1138,2283
PGN_RS07350,1209,920,425,897,341,298,479,667,1205,723,666,913,1089,971,833,1310
PGN_RS07355,998,733,539,708,703,496,504,678,834,495,537,835,691,695,943,960
PGN_RS07360,1231,899,392,752,1037,514,419,599,1267,644,568,1024,748,1228,761,925
PGN_RS07365,7592,8915,3996,7723,7503,9282,12183,11553,10761,12547,28525,32182,10587,7039,17750,19977
PGN_RS07375,505,761,745,477,477,469,666,911,392,312,781,582,403,348,970,494
PGN_RS07380,2145,3201,9620,4178,2071,1343,13072,5678,937,1200,7486,3880,1551,903,7520,3491
PGN_RS07400,8664,5857,5104,3806,6908,4502,4404,4577,8938,5001,5163,5292,4535,5930,7804,4852
PGN_RS07405,8314,6474,4732,7592,6231,3673,4177,6674,7399,4029,4939,9265,4873,6047,9214,10078
PGN_RS07410,2973,2589,1024,1638,1987,1428,1033,1459,2591,1579,1145,1800,1781,2443,1880,1817
PGN_RS07420,7670,6830,2855,3879,2819,2571,3918,4137,6231,4244,4193,10113,6437,8227,3925,7574
PGN_RS07425,751,509,403,498,362,260,731,661,841,375,1119,1920,792,704,815,757
PGN_RS07430,287,200,178,265,192,137,307,264,247,141,527,787,421,249,499,870
PGN_RS07435,1306,1005,1580,1709,1390,754,1722,1403,1492,696,1198,2071,773,868,2551,2090
PGN_RS07440,1018,413,798,496,549,255,1188,631,514,246,1313,1186,352,366,1209,693
PGN_RS07450,3669,2941,2955,2922,2664,1817,2645,2520,3599,1785,2695,4643,2763,3002,3833,4233
PGN_RS07465,681,522,391,601,473,345,231,274,248,171,239,205,250,301,388,358
