"gene_id","Wild Type + DP - WT-1_DP_CCTTCA_L001_R1_001 (paired) (GE) - Total gene reads","Wild Type + DP - WT-2_DP_CCTCGG_L001_R1_001 (paired) (GE) - Total gene reads","Wild Type + DP - WT-2_DP28_CACCTC_L001_R1_001 (paired) (GE) - Total gene reads","Wild Type + DP - WT-1_DP28_CACACA_L001_R1_001 (paired) (GE) - Total gene reads","Pgr Mutant + DP - MUT-1_DP_TTCAGC_L001_R1_001 (paired) (GE) - Total gene reads","Pgr Mutant + DP - MUT-1_DP29_TGTGAA_L001_R1_001 (paired) (GE) - Total gene reads","Pgr Mutant + DP - MUT-2_DP28_TGTTGC_L001_R1_001 (paired) (GE) - Total gene reads","Pgr Mutant + DP - MUT-2-DP_TTCGCT_L001_R1_001 (paired) (GE) - Total gene reads","Wild Type - WT-1_AAGGGA_L001_R1_001 (paired) (GE) - Total gene reads","Wild Type - WT-1-28_ACACGA_L001_R1_001 (paired) (GE) - Total gene reads","Wild Type - WT-2_AAGACG_L001_R1_001 (paired) (GE) - Total gene reads","Wild Type - WT-2-28_ACAAAC_L001_R1_001 (paired) (GE)-1 - Total gene reads","Pgr Mutant - MUT-1_GGACCC_L001_R1_001 (paired) (GE) - Total gene reads","Pgr Mutant - MUT-1-28_GTGTTA_L001_R1_001 (paired) (GE) - Total gene reads","Pgr Mutant - MUT-2_GGATGT_L001_R1_001 (paired) (GE) - Total gene reads","Pgr Mutant - MUT-2-28_GTGGCC_L001_R1_001 (paired) (GE) - Total gene reads"
"PG_RS05360",1202,977,1107,1873,2091,2138,1633,1546,888,4231,928,2330,3134,2332,5871,3786
"PG_RS05365",670,476,618,1152,1267,915,1010,804,557,2701,553,1773,2194,1464,3219,1945
"PG_RS05370",9102,9582,14477,28387,21065,24749,22644,17476,9669,49765,14196,37070,33669,31059,65127,55185
"PG_RS05380",511,740,1087,1094,1295,865,1304,1471,564,3123,801,3453,3268,1038,5528,3460
"PG_RS05390",48,9,18,76,70,59,22,19,53,177,53,56,147,139,385,52
"PG_RS05395",512,453,563,729,970,558,793,849,556,2095,553,1502,2175,733,4242,1858
"PG_RS05400",615,906,1275,1168,1561,898,1689,1950,683,3381,793,3931,3684,970,7778,3753
"PG_RS05405",462,593,704,945,1052,1073,1108,914,475,2155,587,1654,1657,868,3306,2240
"PG_RS05410",6,2,9,14,22,5,14,9,19,66,13,44,36,29,52,19
"PG_RS05420",834,907,844,1060,1715,965,1176,1484,885,2746,917,2915,3460,1115,5703,2475
"PG_RS05430",670,916,1118,1562,1848,1317,1984,2110,597,4373,803,2606,3380,1804,7316,5614
"PG_RS05435",3385,2885,3396,4430,6679,2807,3800,5199,527,2286,525,1256,2060,1115,4003,2009
"PG_RS05440",2024,2646,2770,2635,4348,1958,2808,4074,357,1297,367,1169,1578,524,2488,1712
"PG_RS05445",344,345,558,666,720,377,634,743,183,981,210,920,849,406,1654,986
"PG_RS05455",1000,677,1362,2373,2278,1843,2430,1657,1172,5491,1433,3326,4320,3002,8038,5042
"PG_RS05460",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PG_RS05475",2456,1789,1763,4230,3988,2849,1777,2340,3031,10468,3061,4489,10603,5802,20280,7167
"PG_RS05490",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PG_RS05495",716,960,1502,1821,1758,1553,2301,2014,695,3465,804,3364,3046,1603,6243,4151
"PG_RS05500",242,343,395,496,692,399,607,658,273,1217,289,848,1045,493,2251,1344
"PG_RS05505",68,31,32,139,100,84,36,63,108,330,89,127,250,163,1060,113
"PG_RS05510",23,22,48,47,44,40,81,55,40,124,40,253,141,78,356,182
"PG_RS05515",197,205,379,596,465,470,533,436,266,1577,376,1497,1342,886,2431,1478
"PG_RS05525",304,327,674,844,806,603,865,922,328,2407,499,2562,1825,960,3975,2781
"PG_RS05535",547,646,1192,1417,1499,913,1774,1610,590,4008,834,4287,3616,1664,7592,4799
"PG_RS05540",978,554,854,2457,2244,1481,1542,1033,1310,4446,1768,1984,4689,2483,9305,2795
"PG_RS05550",1728,1342,1761,3397,2551,1815,1502,1846,3111,12374,3070,7302,8248,4500,16326,10168
"PG_RS05560",371,128,356,479,441,402,613,360,384,1225,235,1268,1793,1177,2046,946
"PG_RS05565",701,362,969,956,677,635,2842,370,906,2047,741,6493,2054,1564,3135,1493
"PG_RS05575",14762,34257,37921,35260,56412,24978,46337,63424,22399,82109,28413,132550,96054,24045,286660,160664
"PG_RS05580",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"PG_RS05585",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PG_RS05595",4487,7970,8564,10414,13678,8305,11601,12197,8228,22789,7725,30151,24596,8294,91543,33678
"PG_RS05600",2037,1736,3419,6572,4567,6052,6366,3917,1306,17434,1900,8150,7914,12179,24388,18905
"PG_RS05610",166,219,462,383,780,153,206,1037,490,1354,408,1620,3100,219,5065,1606
"PG_RS05625",26,19,54,64,35,62,134,38,41,300,27,217,209,202,482,352
"PG_RS05630",2619,1330,1964,6054,4710,3286,2856,2670,3643,11308,3646,5294,10837,5433,18059,6695
"PG_RS05640",3928,6143,7793,7645,12003,4994,10449,15932,2742,19778,4321,19909,18199,4806,42339,26064
"PG_RS05645",1972,2510,3689,3535,5814,2536,5146,6666,1640,10164,2378,9263,10531,3644,20752,12332
"PG_RS05650",4087,3890,5162,9570,7813,8781,8562,7148,3116,14034,3777,12097,12539,7590,20327,15290
"PG_RS05655",73,111,251,227,275,113,422,466,62,431,112,815,440,184,1315,773
"PG_RS05660",2211,3955,7476,6361,8665,3953,10282,12672,1658,15290,3304,21178,12525,3804,35815,23352
"PG_RS05665",4188,4859,7523,8148,7686,6056,8671,9722,3720,19665,4201,21368,15883,7147,29522,23078
"PG_RS05670",523,484,556,881,715,711,605,589,853,4037,875,2025,2028,1278,5209,2196
"PG_RS05680",185,200,303,375,378,307,466,360,199,968,241,787,780,462,1614,902
"PG_RS05685",2425,3053,4403,4912,6037,3737,5946,6224,2326,14870,2925,10886,11364,4694,20743,13864
"PG_RS05690",208,139,198,365,512,185,246,323,257,791,263,518,1177,308,2309,569
"PG_RS05700",33,13,25,45,47,33,27,37,13,75,19,36,73,21,120,32
"PG_RS05705",36,37,45,58,63,59,62,66,17,105,23,79,103,56,192,92
"PG_RS05715",65,41,205,155,117,95,222,110,122,754,109,905,473,360,917,650
"PG_RS05720",374,382,975,864,763,437,1067,900,626,4403,712,4755,3235,1413,6541,3685
"PG_RS05725",621,684,1208,1214,1302,1056,1509,1339,599,3954,845,3931,2787,1422,6890,4223
"PG_RS05730",703,579,1089,1518,1215,1684,1926,1011,667,3503,640,2795,2369,2172,4768,4096
"PG_RS05735",636,496,775,1169,1099,1102,1508,951,608,2734,529,1895,2244,1570,4194,3136
"PG_RS05745",1471,1621,2355,3320,3155,3444,3993,3352,1506,7618,1733,7210,6196,4029,10960,8939
"PG_RS05755",827,466,832,1439,1310,1021,1320,889,618,2676,676,1705,1936,1402,4355,2210
"PG_RS05765",25,31,39,74,86,60,66,81,36,274,61,199,284,206,544,345
"PG_RS05770",133,92,135,175,249,190,216,157,196,671,196,502,777,482,1589,723
"PG_RS05775",697,774,984,1209,1706,951,1341,1438,663,3323,946,2492,3608,1769,6963,3589
"PG_RS05780",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PG_RS05790",193,112,242,529,340,285,267,213,167,1020,190,600,894,501,3028,662
"PG_RS05795",147,92,102,187,245,199,208,142,149,531,125,255,678,342,1900,446
"PG_RS05800",3615,2088,2307,6807,5408,5035,4182,3777,3874,12760,3360,6065,12472,9835,20932,10691
"PG_RS05805",336,207,410,572,610,302,547,487,283,1333,344,1179,1256,365,2458,989
"PG_RS05810",223,195,224,387,304,326,334,218,249,940,197,648,710,503,1320,722
"PG_RS05815",3222,5610,5684,6228,7006,3199,4995,8966,3161,19506,5257,15687,13505,5455,30383,19474
"PG_RS05820",2916,2195,2933,4685,5238,2622,3143,3322,3723,9783,3467,8765,12900,2987,15530,5648
"PG_RS05830",192,135,174,415,362,340,313,246,172,866,212,469,610,467,1038,615
"PG_RS05835",125,135,133,211,273,137,176,215,145,506,176,435,469,268,844,423
"PG_RS05840",2585,3362,3381,3752,6616,2435,3552,8277,2661,10645,3380,11957,14659,2566,24952,13216
"PG_RS05845",1127,1926,2498,1932,4489,1116,2970,6328,1165,7309,2023,8721,8379,1291,19788,9415
"PG_RS05855",2109,2805,2537,3298,5535,1959,3261,7038,2133,9901,2467,5669,10726,2198,20791,9478
"PG_RS05860",146,157,203,238,294,197,231,349,159,747,165,406,633,263,1470,656
"PG_RS05865",414,615,1134,947,1200,582,1315,1626,428,2816,602,3291,2854,814,5981,3392
"PG_RS05870",70,82,151,143,151,85,162,154,89,371,132,472,310,157,812,376
"PG_RS05875",7178,6113,8460,15902,12458,14253,11565,11534,5802,26308,6065,19457,17305,13336,28143,27725
"PG_RS05880",261,354,678,645,1168,312,1078,1184,195,1414,319,1738,1579,205,3115,1949
"PG_RS05890",70,76,140,123,156,121,217,154,90,424,104,421,430,234,918,487
"PG_RS05895",1193,972,1178,2075,2080,1995,1537,1692,1554,5728,1578,3439,5149,2762,8418,4702
