"gene_id","Wild Type + DP - WT-1_DP_CCTTCA_L001_R1_001 (paired) (GE) - Total gene reads","Wild Type + DP - WT-2_DP_CCTCGG_L001_R1_001 (paired) (GE) - Total gene reads","Wild Type + DP - WT-2_DP28_CACCTC_L001_R1_001 (paired) (GE) - Total gene reads","Wild Type + DP - WT-1_DP28_CACACA_L001_R1_001 (paired) (GE) - Total gene reads","Pgr Mutant + DP - MUT-1_DP_TTCAGC_L001_R1_001 (paired) (GE) - Total gene reads","Pgr Mutant + DP - MUT-1_DP29_TGTGAA_L001_R1_001 (paired) (GE) - Total gene reads","Pgr Mutant + DP - MUT-2_DP28_TGTTGC_L001_R1_001 (paired) (GE) - Total gene reads","Pgr Mutant + DP - MUT-2-DP_TTCGCT_L001_R1_001 (paired) (GE) - Total gene reads","Wild Type - WT-1_AAGGGA_L001_R1_001 (paired) (GE) - Total gene reads","Wild Type - WT-1-28_ACACGA_L001_R1_001 (paired) (GE) - Total gene reads","Wild Type - WT-2_AAGACG_L001_R1_001 (paired) (GE) - Total gene reads","Wild Type - WT-2-28_ACAAAC_L001_R1_001 (paired) (GE)-1 - Total gene reads","Pgr Mutant - MUT-1_GGACCC_L001_R1_001 (paired) (GE) - Total gene reads","Pgr Mutant - MUT-1-28_GTGTTA_L001_R1_001 (paired) (GE) - Total gene reads","Pgr Mutant - MUT-2_GGATGT_L001_R1_001 (paired) (GE) - Total gene reads","Pgr Mutant - MUT-2-28_GTGGCC_L001_R1_001 (paired) (GE) - Total gene reads"
"PG_RS06380",14,4,2,20,23,9,12,4,22,46,23,14,74,37,100,24
"PG_RS06385",356,184,214,714,665,491,362,340,451,1248,393,734,1590,895,2392,897
"PG_RS06390",0,28,32,51,47,38,39,38,40,166,39,92,100,63,81,116
"PG_RS06395",22,8,10,27,32,20,18,13,19,71,20,24,77,50,167,54
"PG_RS06400",16,8,9,39,28,9,15,13,22,54,20,17,51,35,94,28
"PG_RS06410",3,1,3,5,4,2,1,0,6,12,4,1,12,3,17,10
"PG_RS06415",3,3,3,12,6,3,4,2,2,3,7,6,29,9,45,7
"PG_RS06420",6,1,2,7,5,3,2,0,5,10,0,2,7,4,20,3
"PG_RS06425",6,0,5,9,8,5,3,3,22,25,9,1,24,10,57,8
"PG_RS06435",696,588,453,1142,1282,1040,803,1307,24,124,30,59,147,119,269,190
"PG_RS06440",339,333,370,629,946,350,488,1001,24,142,41,118,161,128,379,244
"PG_RS06445",1468,1137,1330,3028,2642,1677,1722,2608,83,556,92,514,463,309,873,585
"PG_RS06450",322,95,189,602,459,227,211,231,77,247,117,187,334,100,819,140
"PG_RS06455",3666,1714,2128,9915,9545,4761,2995,3142,5368,14967,8966,7210,17176,7778,39515,7934
"PG_RS06465",238,150,393,522,556,265,609,373,245,1094,265,1213,964,330,2023,896
"PG_RS06470",304,289,768,996,904,731,1092,719,310,1990,510,2158,1539,1011,2926,1832
"PG_RS06475",69,63,262,174,133,148,405,148,115,476,95,1156,350,221,820,639
"PG_RS06480",13,13,42,39,38,35,66,14,28,120,20,157,77,64,203,120
"PG_RS06495",21,6,20,18,28,27,21,7,20,73,21,45,71,50,157,84
"PG_RS06510",8,6,11,9,12,11,7,10,7,20,10,11,28,20,131,22
"PG_RS06520",7,2,4,12,7,5,7,5,5,32,8,30,41,15,66,40
"PG_RS06525",0,5,4,5,9,7,3,6,2,23,7,9,18,12,68,23
"PG_RS06530",20,12,30,53,44,39,54,39,23,164,34,133,121,101,310,154
"PG_RS06535",15,22,44,55,18,23,34,34,19,151,35,106,73,53,169,136
"PG_RS06540",30,26,55,69,36,32,41,34,34,195,40,127,96,66,267,151
"PG_RS06545",2,5,3,2,7,0,1,3,8,14,5,8,15,7,77,8
"PG_RS06550",16,8,9,21,18,13,14,12,12,81,12,48,55,42,113,39
"PG_RS06555",16,16,14,34,42,27,46,31,24,96,24,82,108,57,315,102
"PG_RS06560",33,28,25,47,50,43,58,25,34,171,34,101,155,93,432,154
"PG_RS06565",61,18,32,83,126,24,21,49,125,212,134,65,386,42,662,57
"PG_RS06570",126,74,40,145,291,51,40,140,189,290,223,131,776,66,2265,163
"PG_RS06575",1310,563,449,1365,2031,605,423,775,2067,2876,1907,1120,5109,963,8262,1074
"PG_RS06580",117,114,183,206,207,132,266,200,144,567,184,913,568,292,1176,555
"PG_RS06585",17,26,21,23,46,32,44,30,33,106,40,87,105,71,381,123
"PG_RS06590",13,5,7,21,13,18,24,11,5,26,20,8,28,33,78,35
"PG_RS06595",516,217,185,600,615,355,253,415,553,1096,292,269,1415,258,2774,420
"PG_RS06600",474,310,327,730,905,515,421,600,596,1846,691,1000,2264,969,3930,1455
"PG_RS06605",521,237,260,619,663,341,281,340,1097,2153,717,978,2753,672,3343,1034
"PG_RS06610",187,118,323,405,357,286,543,333,424,1735,387,1927,1748,771,3047,1709
"PG_RS06615",192,79,215,493,305,221,404,167,292,1189,320,692,809,526,2088,576
"PG_RS06625",18,13,24,57,66,48,34,36,16,143,25,51,81,62,199,87
"PG_RS06630",16,8,9,31,34,17,18,18,29,58,19,26,76,30,128,45
"PG_RS06635",34,11,9,41,52,28,15,17,34,76,27,35,103,27,196,36
"PG_RS06640",13,3,14,25,23,15,11,14,10,41,13,22,59,31,101,22
"PG_RS06650",228,212,280,447,219,163,278,237,218,1048,260,734,560,315,1127,590
"PG_RS06655",9,10,9,21,11,3,11,8,14,85,18,29,44,24,114,28
"PG_RS06660",16,6,10,27,27,12,10,14,31,82,24,45,67,24,91,42
"PG_RS06665",42,32,18,72,68,35,22,26,62,143,45,38,143,65,206,48
"PG_RS06670",265,109,177,602,366,245,222,133,310,1119,421,487,860,493,1804,502
"PG_RS06675",35,23,19,82,43,40,14,15,43,120,53,43,102,58,359,47
"PG_RS06680",58,34,25,90,99,60,51,44,79,156,99,53,214,117,418,82
"PG_RS06685",173,46,223,375,287,177,368,97,273,715,255,765,666,367,1201,324
"PG_RS06690",3,4,4,9,8,5,5,7,14,33,4,20,24,16,17,8
"PG_RS06695",15,3,5,30,52,16,11,21,25,77,25,19,114,36,178,29
"PG_RS06700",117,59,33,184,197,80,51,74,130,261,148,58,384,88,618,94
"PG_RS06705",120,114,188,211,316,166,278,238,175,758,224,761,941,316,1521,818
"PG_RS06710",34,26,44,50,99,49,66,65,56,241,43,175,281,92,779,223
"PG_RS06730",545,310,746,1584,1166,1089,1099,722,729,3414,846,1998,2384,1726,4709,1952
"PG_RS06735",228,109,116,602,459,257,186,209,336,1102,387,314,1147,667,2634,578
"PG_RS06740",152,60,68,267,322,112,75,125,212,522,224,146,710,180,2041,262
"PG_RS06745",252,99,110,596,476,255,160,168,445,1237,545,314,1397,579,2729,494
"PG_RS06750",84,29,40,134,144,58,44,57,133,300,110,100,363,153,549,129
"PG_RS06755",2,3,2,8,5,3,4,1,3,19,7,1,18,8,77,10
"PG_RS06760",85,44,41,126,115,52,67,60,103,270,105,148,232,132,539,168
"PG_RS06765",6,4,3,6,17,9,7,8,5,23,7,15,21,19,56,21
"PG_RS06770",8,8,6,32,21,21,19,22,17,47,17,28,34,22,82,27
"PG_RS06775",805,889,1577,2098,1506,2025,3071,1653,680,5087,876,4331,2880,3309,6668,6384
"PG_RS06780",121,125,122,198,228,109,176,188,122,540,113,391,412,218,832,602
"PG_RS06785",340,527,996,1047,868,747,1604,1076,385,3012,523,3307,1849,1289,4209,3780
"PG_RS06805",217,150,237,354,519,324,431,390,245,1112,243,908,1688,621,3126,1161
"PG_RS06810",189,139,193,390,574,414,307,274,258,1125,282,569,1101,723,2131,842
"PG_RS06820",16746,11520,8058,31653,41126,49661,23353,26381,39666,150260,34420,44828,162002,130994,229308,149523
"PG_RS06830",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PG_RS06835",2362,1602,2138,5343,6074,4713,5088,5035,3229,18275,3452,8276,17038,14532,29505,17222
"PG_RS06840",3163,2316,3384,7356,4909,4109,4821,4373,91,687,144,280,368,410,1260,448
"PG_RS06845",2770,4285,6915,6054,9133,3884,9703,13179,141,1074,194,1229,601,420,1889,1107
"PG_RS06850",8363,13086,22201,18504,22339,11408,28119,35680,341,3361,620,4241,1647,1156,5392,3592
"PG_RS06855",680,927,1370,1200,1693,1043,1787,2109,36,324,49,340,160,111,382,241
"PG_RS06860",308,488,716,722,730,699,917,854,21,174,18,157,65,56,235,160
"PG_RS06865",20,36,67,54,57,47,63,54,1,17,5,12,7,5,57,14
"PG_RS06895",736,522,1008,1742,1328,1353,1498,1126,908,4190,917,3394,3186,1969,5507,3214
"PG_RS06900",539,496,765,863,1014,684,1111,1128,497,2529,543,2603,2075,920,4281,2823
"PG_RS06905",301,425,682,599,905,367,1136,1148,253,1755,416,2155,1646,474,4504,2549
"PG_RS06910",1,0,2,7,5,5,8,5,1,10,4,8,22,12,74,7
"PG_RS06915",26,15,30,30,43,34,63,39,28,115,32,106,152,61,388,167
"PG_RS06920",63,40,51,106,88,59,56,58,139,323,107,199,293,176,502,178
"PG_RS06925",704,179,178,1004,930,455,196,352,1782,2681,836,711,5281,1835,6111,1123
"PG_RS06945",4193,2710,3565,9009,7579,7446,6804,5689,4052,17121,3779,8813,15410,9857,25194,13234
"PG_RS06950",105,71,137,176,261,96,214,289,89,533,94,460,610,185,1810,636
"PG_RS06955",298,200,462,563,571,415,679,513,285,1474,300,1265,1407,820,3020,1671
"PG_RS06960",406,247,664,941,852,622,904,617,451,2476,430,2397,1882,1130,3963,2056
"PG_RS06965",267,274,798,634,881,306,1163,954,237,1883,382,3933,1939,473,5732,2491
"PG_RS06970",3677,1527,2948,7930,5203,4549,4583,3419,3581,12222,2733,9439,13024,6451,18117,9024
"PG_RS06975",1846,1297,2180,3166,2907,2650,3322,2568,1876,7261,1435,7344,6512,3253,10260,6697
"PG_RS06980",388,325,880,1314,1076,943,1508,877,413,3041,500,3484,2138,1554,4404,3026
"PG_RS06985",629,552,1520,1712,1560,1546,2317,1386,779,4180,812,5231,3095,2111,5910,4542
"PG_RS06990",428,471,864,1256,1016,848,1243,922,566,3143,736,3455,2457,1392,5334,2774
"PG_RS07000",1546,619,1068,4595,3353,2205,1730,1128,1756,7334,2886,1945,6514,3589,11964,2623
"PG_RS07005",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PG_RS07010",1734,1782,3394,4439,3906,3893,5733,3868,1659,10023,1947,9663,7068,4925,13520,10364
"PG_RS07015",50,48,116,94,143,42,177,144,42,295,72,562,327,90,950,442
"PG_RS07020",249,275,888,760,471,503,1123,504,358,2348,375,3455,1476,1167,3119,2482
"PG_RS07025",149,154,209,302,285,258,302,279,183,908,163,687,793,394,1524,933
"PG_RS07030",2872,3952,7232,7010,8331,5180,11157,10426,3636,26256,5371,30801,20516,8776,45920,30010
"PG_RS07035",158,104,125,278,292,202,200,195,227,976,237,483,762,449,1816,771
"PG_RS07040",339,251,741,1166,767,738,1181,607,484,3438,601,2403,2374,1558,3968,2352
"PG_RS07045",197,141,379,517,428,255,503,342,291,1573,352,1625,1299,829,2758,1242
"PG_RS07050",271,265,588,615,579,470,763,487,355,1912,364,2966,1524,1004,2489,1909
"PG_RS07055",163,133,262,300,295,259,291,271,202,824,213,727,776,366,1175,759
"PG_RS07060",182,201,245,324,314,355,314,307,182,679,191,556,594,297,944,550
"PG_RS07065",292,287,493,561,658,424,737,580,311,1488,335,1317,1156,503,2386,1321
"PG_RS07070",1014,940,1652,2277,2355,1883,2431,2054,1014,5484,1282,4636,4381,2526,8794,4987
"PG_RS07075",1944,3048,4579,4228,6220,3610,6143,7196,1903,12790,3027,13845,12822,3852,24253,17544
"PG_RS07080",270,104,182,749,462,336,333,201,337,1000,335,301,911,602,1436,455
"PG_RS07085",183,226,339,305,516,275,406,584,235,1207,290,1066,1277,716,3257,1546
"PG_RS07090",328,494,1086,1145,939,1022,1272,1052,418,3527,598,3454,2221,1254,4284,2969
"PG_RS07095",1378,1704,2083,2436,3278,2091,2833,3790,1581,6701,1933,7778,7813,1954,13035,7588
"PG_RS07100",2033,3792,5684,3938,7763,2160,7213,11830,1978,13119,3814,22478,14788,2102,39608,21603
"PG_RS07105",2203,3940,7368,5719,9333,3252,9640,12775,2279,19329,4293,24475,18680,3676,42687,25354
"PG_RS07115",552,495,653,922,816,926,847,931,2242,10120,2195,6414,8142,3908,11050,8138
"PG_RS07120",459,685,1241,1192,1436,944,1842,2061,1940,13080,3100,13226,11969,4530,27028,14953
"PG_RS07125",305,538,704,772,1154,583,1070,1313,1285,7867,2196,7365,7719,2010,14671,9268
"PG_RS07130",145,175,378,479,461,267,583,501,158,1264,227,1306,876,463,2256,1435
"PG_RS07140",232,260,392,465,510,340,474,477,275,1530,356,1760,1298,581,2541,1578
"PG_RS07145",376,397,778,757,790,575,850,730,384,2537,495,2984,1917,836,3172,2548
"PG_RS07150",2496,2404,3747,4615,4816,3488,3906,4447,2769,13549,3143,14353,10796,5329,19953,13796
"PG_RS07155",591,743,1105,1144,1143,943,1317,1056,501,2817,732,2803,1974,1113,4381,3008
"PG_RS07160",6,3,2,7,11,11,7,6,8,41,6,17,26,20,90,27
"PG_RS07165",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
"PG_RS07170",3606,3146,2983,5273,6583,2896,3868,5553,3339,10093,3177,7754,12311,3987,20660,6729
"PG_RS07175",554,542,713,1072,1152,681,925,1127,668,2435,614,2021,2729,1160,5968,2019
"PG_RS07180",1,0,0,2,4,2,3,2,0,4,3,4,9,9,41,3
"PG_RS07185",579,503,963,1167,1106,832,1161,919,556,2402,662,2495,2130,971,3885,2308
"PG_RS07195",354,169,193,474,486,401,233,225,407,1407,296,407,1097,587,1969,673
"PG_RS07200",1021,1068,1359,1896,1946,1828,2234,1936,791,4034,827,2977,3487,2021,5781,4427
"PG_RS07205",1251,1276,2087,2327,2502,1586,2922,2824,1030,5036,1260,5680,4289,2032,9366,5168
"PG_RS07210",1030,1520,2306,2065,3326,2847,3568,3200,1121,5142,1217,5989,4885,2549,10279,7022
"PG_RS07215",465,767,1339,922,2089,1273,2311,2440,493,2842,663,4084,3988,1971,8960,6077
"PG_RS07220",570,667,781,971,1661,1075,1261,1662,623,2670,596,2126,3481,1683,5860,4125
"PG_RS07225",1283,1584,2045,2351,5359,3043,4274,5113,1114,6200,1516,4519,10474,5578,22096,11815
"PG_RS07230",108,126,89,232,587,213,250,411,65,489,135,248,884,297,2706,740
"PG_RS07255",487,501,615,732,997,501,641,927,599,2202,563,1722,2383,785,4235,1810
"PG_RS07260",1167,1504,1774,1640,2822,1301,2213,3181,1161,5103,1498,6163,5720,1427,11720,5439
"PG_RS07265",595,644,736,838,1126,628,919,1131,576,2360,661,2384,2393,798,4782,2232
"PG_RS07270",246,276,717,484,791,274,890,854,289,1795,383,3359,1711,409,4378,2677
"PG_RS07275",398,276,762,1150,740,687,984,634,687,3241,683,3494,2921,1841,4552,2686
"PG_RS07290",20,0,599,772,1144,362,329,245,224,1101,196,1553,1943,941,3128,874
"PG_RS07295",31,34,39,47,65,52,65,54,34,161,36,125,176,127,333,179
"PG_RS07300",161,194,287,414,508,687,816,478,198,1235,238,845,1354,1221,2394,1590
"PG_RS07305",96,93,141,230,304,298,411,333,93,525,125,429,671,498,1317,1204
"PG_RS07310",140,135,211,493,406,635,764,378,210,1305,291,800,1207,1610,2398,2051
"PG_RS07315",77,65,108,156,212,282,353,241,82,462,93,384,638,591,1405,1065
"PG_RS07320",117,81,110,233,250,250,254,197,148,542,129,388,609,483,1214,687
"PG_RS07325",80,80,121,141,198,121,223,247,78,428,105,341,493,220,1156,597
"PG_RS07330",138,121,173,209,307,199,375,325,136,532,148,625,725,442,1560,882
"PG_RS07345",14528,33853,37831,34679,57049,24952,46594,64085,23005,81886,28364,133262,96213,24394,286906,159952
"PG_RS07350",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"PG_RS07355",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PG_RS07365",4349,8079,8588,10390,13410,8187,11634,12138,8333,23044,7769,30266,25064,8226,91487,33802
"PG_RS07370",1399,1214,1734,1100,2416,2809,880,2274,1121,9636,1334,3618,4964,5607,14823,8037
"PG_RS07375",0,0,0,34,14,0,0,0,0,82,3,9,0,9,152,33
"PG_RS07380",4,5,20,19,16,9,26,12,7,34,14,39,56,26,124,67
"PG_RS07385",6,5,11,15,10,6,6,13,7,34,6,19,32,14,84,28
"PG_RS07395",1747,2160,2734,3225,3360,2281,3025,3795,1824,8887,2374,8387,8574,2994,16451,10391
"PG_RS07400",108,123,241,203,307,223,423,327,136,682,190,750,698,291,1443,1093
"PG_RS07405",102,120,141,190,181,170,228,208,119,541,146,481,497,289,1010,633
"PG_RS07410",1293,1560,2028,2303,3028,1737,2464,3219,1474,6291,1681,6904,6172,2360,12099,6609
"PG_RS07415",535,593,714,910,1161,661,817,1147,631,2825,756,2418,2541,905,4964,2632
"PG_RS07420",482,437,481,780,913,582,641,813,622,2090,679,1569,2277,764,3357,1667
"PG_RS07425",172,138,145,235,373,205,203,216,286,1039,306,491,1182,387,1742,720
"PG_RS07430",168,74,151,268,311,196,176,187,216,682,213,467,819,328,1432,386
"PG_RS07435",562,176,117,804,884,484,192,257,662,1456,657,297,2289,704,3349,460
"PG_RS07440",134,103,110,346,333,346,328,246,185,1155,194,469,975,820,1698,943
"PG_RS07450",193,233,283,351,378,224,250,345,184,966,213,713,737,261,1263,874
"PG_RS07455",174,161,248,273,316,177,245,259,152,725,177,653,484,214,1309,598
"PG_RS07460",354,554,1052,911,1034,672,1265,1252,383,2542,588,3485,2249,658,4557,3185
"PG_RS07465",313,394,855,675,870,437,963,921,393,2152,484,2691,1977,651,4312,2425
"PG_RS07475",1179,531,855,2784,1678,1470,1281,980,1394,4201,1351,1767,3919,2426,6762,2313
"PG_RS07480",1109,886,1205,2175,2026,1303,1588,1857,1216,4601,1190,3709,5042,1793,8174,3698
"PG_RS07485",180,169,259,415,393,267,336,361,234,1012,246,912,1054,386,2133,774
"PG_RS07500",3273,3548,5597,6513,8409,5198,8317,9288,3537,19664,4188,17076,15117,6920,32459,21474
"PG_RS07505",646,622,885,1142,1725,703,1498,1880,621,3114,794,2734,3429,914,7431,3165
"PG_RS07510",223,181,322,598,636,397,555,608,221,1226,294,1099,1363,526,2242,1351
"PG_RS07515",551,334,512,1371,1084,933,846,808,669,2710,730,1643,2534,1818,5838,1940
"PG_RS07530",622,592,831,1040,1180,895,1068,1123,579,2766,682,2480,2512,1368,4769,2745
"PG_RS07535",1023,961,1465,2449,2086,1813,2170,1804,1275,7328,1349,4920,4989,3962,9851,5984
"PG_RS07540",58,102,146,149,188,62,202,264,71,442,90,433,319,100,1060,617
"PG_RS07550",6953,3066,6359,14876,12702,13105,16399,9415,14336,55268,11532,37574,69418,37837,112648,61550
"PG_RS07555",744,753,1219,1512,1557,1129,1641,1464,691,3403,824,2933,2850,1257,5927,2961
"PG_RS07560",576,595,948,1164,1182,870,1253,1219,610,2600,749,2760,2469,1071,4896,2419
"PG_RS07570",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PG_RS07575",798,682,569,1705,1204,1374,833,929,736,3701,857,1696,1925,2525,3828,2629
"PG_RS07580",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"PG_RS07590",156,176,307,385,411,364,545,400,191,1316,267,1392,1093,931,2140,1530
"PG_RS07595",1493,1497,1890,2467,2737,2007,2489,2821,1668,7177,1797,5155,5654,2632,11039,6292
"PG_RS07600",233,312,490,517,659,388,586,693,358,1722,412,1764,1795,697,3812,1885
"PG_RS07605",243,182,300,443,483,314,368,370,419,1557,402,1195,1598,811,2817,1074
"PG_RS07615",88,100,218,272,215,233,359,257,141,791,159,649,565,366,1217,759
"PG_RS07620",406,314,420,683,737,614,661,608,319,1634,329,980,1132,767,2203,1577
"PG_RS07625",136,130,151,186,242,129,164,240,163,522,171,423,560,145,1191,439
"PG_RS07630",19,13,24,33,28,25,16,40,25,84,27,64,76,31,179,49
"PG_RS07635",37,28,22,41,57,33,53,43,46,152,29,114,165,82,396,151
"PG_RS07640",63,45,75,83,83,93,121,95,100,331,92,243,319,225,554,375
"PG_RS07645",2540,2756,3241,5685,4754,4615,4606,4297,3149,12844,3242,9948,11290,6152,16293,12578
"PG_RS07650",254,230,390,432,535,461,595,518,227,1089,262,1144,1050,456,2101,1250
"PG_RS07655",177,205,363,439,435,320,529,403,175,948,189,817,784,445,1758,975
"PG_RS07660",6191,7960,10814,11943,16364,7713,14294,20740,5336,28622,7150,28215,28033,7945,55566,34119
"PG_RS07670",133,106,168,214,276,185,191,173,176,656,187,578,694,304,1190,493
"PG_RS07675",490,600,688,702,761,397,519,1024,485,2254,570,2194,2119,569,4176,1576
"PG_RS07685",4234,5588,8650,11112,9246,9420,12461,9973,4348,27273,5687,23193,16387,10836,34120,26270
"PG_RS07690",429,362,538,815,667,587,744,711,499,2081,485,1641,1858,1066,3346,1952
"PG_RS07695",958,999,1916,1695,1964,1087,2289,2158,753,4958,1056,5223,4745,1629,8083,4978
"PG_RS07700",51,47,149,138,99,82,176,103,50,271,67,390,266,116,460,285
"PG_RS07710",767,1053,1486,1531,2182,1455,2040,2220,817,4264,1185,4373,4294,1682,9995,5195
"PG_RS07715",507,654,911,1014,1381,735,1093,1213,477,2852,668,2457,2708,793,5609,2657
"PG_RS07725",389,456,542,772,763,577,744,885,499,2033,518,1216,1692,837,3844,2156
"PG_RS07735",366,367,641,601,695,438,636,588,384,1890,403,1987,1520,634,2740,1726
"PG_RS07740",37,34,71,60,120,45,74,100,51,256,61,293,281,85,656,292
"PG_RS07745",57,43,40,77,126,81,57,79,127,348,93,193,447,204,610,270
"PG_RS07750",4012,4989,7870,9574,10528,6822,11235,12267,4123,28641,5838,23528,20366,11058,45530,29116
"PG_RS07765",622,611,1158,1377,1395,1196,1516,1522,469,3320,592,2210,2024,1444,5492,3868
"PG_RS07770",161,169,111,249,342,195,224,381,131,635,143,375,639,253,1393,673
"PG_RS07775",836,724,1134,1354,1396,1314,1842,1509,711,3617,675,2473,2440,1542,5562,4178
"PG_RS07780",745,884,1810,1664,1800,1447,2932,2176,877,4988,957,5690,4244,1973,8893,6032
"PG_RS07800",331,301,728,968,821,785,1220,698,435,2525,470,2546,2131,1436,3928,2772
"PG_RS07810",254,272,545,722,475,525,908,819,238,2465,325,1255,1260,1437,3806,3404
"PG_RS07820",57,34,128,204,105,54,176,177,95,634,83,400,423,386,1337,919
"PG_RS07825",187,147,393,483,280,286,649,547,176,1834,220,1428,1129,1292,3172,3056
"PG_RS07830",172,126,358,444,268,272,585,414,189,1530,187,1172,901,1042,2403,2372
"PG_RS07835",1396,1304,2327,2883,2525,2086,3167,2655,1577,8937,1918,6988,5767,4198,13135,9265
"PG_RS07845",931,1035,1571,1934,1550,1588,2006,1640,972,5198,1138,5231,3677,2151,7326,5324
"PG_RS07850",49,57,98,100,116,45,128,114,62,305,94,573,315,84,926,393
"PG_RS07855",291,254,455,594,505,451,563,482,307,1448,299,1875,1289,587,2311,1399
"PG_RS07865",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PG_RS07870",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PG_RS07875",772,579,1046,2955,2514,3199,2363,1468,858,8291,1392,3877,4445,6449,8446,5883
"PG_RS07880",18,21,15,41,37,52,43,35,44,130,37,103,182,99,282,205
"PG_RS07885",4009,5421,5518,8174,11636,3436,6068,11425,3501,20195,6048,20518,25264,4257,45679,18847
"PG_RS07890",614,929,1049,975,1518,1052,1384,1475,623,2870,667,3001,2971,948,5699,3264
"PG_RS07895",641,645,975,1363,1384,1016,1109,1055,837,3830,1005,3242,3131,1720,6021,3000
"PG_RS07900",14,30,80,46,66,32,76,58,21,155,33,262,119,29,380,170
"PG_RS07905",1184,1083,1748,1823,2270,1388,2028,1953,1246,5455,1427,6042,5369,2269,9713,5899
"PG_RS07910",484,548,1226,914,1183,703,1345,1203,484,2715,638,4155,2563,966,5413,3964
"PG_RS07920",3492,3526,5889,10693,8718,8402,7542,6259,5351,23152,8952,12130,21699,14046,52619,17683
"PG_RS07925",2371,1594,2277,3969,4038,2848,2924,2664,2560,9145,2363,6643,8610,3569,12902,6341
"PG_RS07930",604,383,623,1283,1121,718,508,522,600,2016,649,1177,1874,975,2980,1091
"PG_RS07935",3128,1868,3280,6569,4245,5196,5025,2993,3103,14704,3172,6666,7949,7952,15730,10162
"PG_RS07940",117,280,732,433,653,231,1022,891,118,1646,327,2688,1189,318,4493,2508
"PG_RS07945",1572,2472,4031,4005,5122,2498,6017,7101,1303,12991,2564,13693,9228,3575,26931,16838
"PG_RS07950",1353,1965,3570,3687,3913,2599,5111,5227,1368,11018,1999,12995,7853,4202,19072,14415
"PG_RS07955",408,726,1545,1170,1606,481,1973,2545,377,3913,702,6083,2887,719,9379,5831
"PG_RS07960",2006,2400,4462,4929,4791,3509,6822,6365,1830,14939,2647,17444,10692,6447,23685,18348
"PG_RS07965",504,523,882,1751,1706,1076,1498,1285,535,4676,858,2795,3233,2367,7359,4212
"PG_RS07970",949,1053,1660,1839,2125,1204,1997,2253,1067,5547,1233,6277,5171,1762,9455,5637
"PG_RS07975",224,169,244,521,459,381,429,406,1292,6083,1445,3978,5848,2199,8333,4576
"PG_RS07980",904,1209,1306,1764,2473,1471,2220,3053,4819,24112,7150,24620,31485,7030,49907,26787
"PG_RS07985",433,763,922,836,1544,653,1508,2196,2290,14750,4951,18270,16895,3222,46603,18784
"PG_RS07990",44,77,131,146,181,86,240,276,407,2891,767,2783,2170,642,7513,3631
"PG_RS08005",781,817,828,1146,1408,1021,1098,1480,808,3535,763,2148,2541,1118,5005,3409
"PG_RS08035",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PG_RS08040",360,215,287,728,612,507,410,365,242,1344,285,564,1014,626,2241,716
"PG_RS08050",286,374,425,424,488,421,470,425,405,1146,370,1024,981,425,1721,934
"PG_RS08055",3098,890,1034,1829,1757,1111,1274,1366,1909,4499,1855,1868,3833,2355,8542,1305
"PG_RS08060",1940,756,1041,4819,3755,3047,1384,1234,3904,12966,4770,2934,11798,8018,25942,4552
"PG_RS08065",783,607,764,1778,1337,1364,1784,1681,521,3375,614,1586,2352,2295,5293,4240
"PG_RS08070",1504,1959,3355,3807,3511,2701,5270,4244,1190,8672,1681,8732,6346,3060,13435,10771
"PG_RS08075",1460,1824,4268,3157,3332,1916,5739,4480,1220,8393,1725,12302,6093,2390,15212,9566
"PG_RS08080",9630,6879,9264,15779,13755,12243,11847,11139,10305,39587,8830,27236,31562,19738,43551,28602
"PG_RS08085",135,152,268,277,542,313,431,444,214,846,211,912,1220,622,2061,1241
"PG_RS08090",4030,6670,4880,3966,11388,2398,3751,16132,5643,12850,7261,16828,33830,2780,62716,14750
"PG_RS08095",287,515,563,874,1836,1332,1619,2059,378,2507,618,1628,3676,2535,9076,6348
"PG_RS08100",488,385,536,929,1441,887,1122,1482,670,2666,621,1688,4575,2729,8019,4688
"PG_RS08105",17116,33770,45594,37698,60526,20828,34918,78746,23022,144614,48870,177250,140584,26484,363437,141661
"PG_RS08110",249,231,255,344,371,286,210,241,339,979,331,829,854,401,1537,799
"PG_RS08115",1125,1839,2290,2968,3272,3651,3266,3167,1161,6330,1715,4578,5347,3107,9899,7995
"PG_RS08130",656,706,1056,1575,1516,987,1301,1437,688,3592,749,3084,3252,1178,5010,3162
"PG_RS08140",210,289,470,515,658,328,583,696,224,1320,269,1103,1159,414,2615,1412
"PG_RS08150",60,79,147,156,180,103,195,156,67,313,73,309,289,135,690,268
"PG_RS08155",920,834,2007,2310,2175,2048,2938,2104,679,3478,800,2573,3009,2103,5971,3253
