"gene_id","Raw Counts WT Replicate 1","Raw Counts WT Replicate 2","Raw Counts WT Replicate 3","Raw Counts II1046 Replicate 1","Raw Counts II1046 Replicate 2","Raw Counts II1046 Replicate 3"
"BP1026B_I0121",2870,1391,1609,1662,1639,1785
"BP1026B_I0122",2072,1347,1528,1768,1865,1878
"BP1026B_I0123",5736,3104,3566,3699,3764,4288
"BP1026B_I0124",2135,1113,1358,1256,1238,1395
"BP1026B_I0125",58,54,64,45,52,59
"BP1026B_I0126",992,884,1103,963,942,1115
"BP1026B_I0127",472,324,343,246,270,266
"BP1026B_I0128",20,22,18,22,18,15
"BP1026B_I0129",41,30,37,26,25,18
"BP1026B_I0130",30,24,28,16,13,15
"BP1026B_I0131",47,55,52,36,40,42
"BP1026B_I0132",41,36,36,20,24,30
"BP1026B_I0133",38,34,44,28,23,26
"BP1026B_I0134",61,72,74,35,35,36
"BP1026B_I0135",205,226,202,132,142,148
"BP1026B_I0136",39,44,56,55,55,58
"BP1026B_I0137",66,95,101,92,96,107
"BP1026B_I0138",137,107,116,109,109,119
"BP1026B_I0139",1127,947,1047,1135,1056,1422
"BP1026B_I0140",1552,1648,1902,1928,1921,2346
"predicted RNA",154,142,163,158,166,188
"BP1026B_I0141",4283,5085,6293,6942,6896,8169
"BP1026B_I0142",1398,1677,1870,2231,2359,2475
"BP1026B_I0143",57,36,51,65,56,71
"BP1026B_I0144",179,126,134,138,159,150
"BP1026B_I0145",17,10,12,6,10,11
"BP1026B_I0146",67,52,51,49,59,51
"BP1026B_I0147",48,42,48,46,46,52
"BP1026B_I0148",24,27,34,26,22,24
"BP1026B_I0149",16,8,11,9,13,11
"BP1026B_I0150",62,32,48,38,43,45
"BP1026B_I0151",47,23,29,43,45,56
"BP1026B_I0152",84,59,83,102,113,113
"BP1026B_I0153",5,3,3,4,3,5
"BP1026B_I0154",34,16,22,16,17,18
"BP1026B_I0157",2230,3328,4063,1542,1553,1743
"predicted RNA",178,121,164,349,362,430
"BP1026B_I0158",139,178,183,258,279,296
"BP1026B_I0159",23,14,18,13,22,23
"BP1026B_I0160",6,2,3,3,4,3
"BP1026B_I0161",18,8,6,13,8,7
"BP1026B_I0162",13,14,4,3,9,7
"BP1026B_I0163",5,2,2,3,2,2
"BP1026B_I0164",2,3,2,0,1,4
"BP1026B_I0165",2,1,2,2,1,2
"BP1026B_I0166",2,0,2,0,1,3
"BP1026B_I0167",10,4,6,5,7,7
"BP1026B_I0168",20,10,9,12,25,18
"BP1026B_I0169",29,31,38,30,47,37
"BP1026B_I0170",20,22,28,34,26,29
"BP1026B_I0171",108,78,86,108,92,95
"BP1026B_I0172",712,532,638,730,745,792
"BP1026B_I0173",2034,1605,1967,2214,2147,2605
"BP1026B_I0174",1151,834,1012,855,883,981
"BP1026B_I0175",1344,1177,1421,1604,1656,1816
"BP1026B_I0176",40,39,51,62,65,67
"BP1026B_I0177",50,37,39,71,58,73
"BP1026B_I0178",68,34,42,69,62,74
"BP1026B_I0179",93,62,68,108,113,147
"BP1026B_I0180",133,111,164,185,181,227
"BP1026B_I0181",359,197,267,242,238,258
"BP1026B_I0182",1328,778,852,533,544,633
"BP1026B_I0183",1191,959,1086,795,802,931
"BP1026B_I0184",327,293,323,226,205,237
"BP1026B_I0185",128,95,122,64,56,71
"BP1026B_I0186",1826,1556,1889,1247,1190,1403
"BP1026B_I0187",2474,1784,2167,1385,1342,1468
"BP1026B_I0188",8252,6757,7785,6357,6373,7125
"BP1026B_I0189",33788,28184,33948,25949,25959,30200
"BP1026B_I0190",2866,2260,2534,1933,1874,2109
"BP1026B_I0191",3195,2260,2684,2341,2277,2590
"BP1026B_I0192",1448,883,1000,798,780,854
"BP1026B_I0193",4555,2879,3293,2576,2592,2889
"BP1026B_I0194",1580,821,883,810,856,958
"BP1026B_I0195",1759,1286,1557,1423,1401,1606
"BP1026B_I0196",2472,1565,1696,1669,1570,1778
"BP1026B_I0197",10190,6725,7729,6870,6742,7417
"BP1026B_I0198",621,512,565,497,548,549
"BP1026B_I0199",1545,760,756,668,617,690
"BP1026B_I0200",160,106,121,142,133,137
"BP1026B_I0201",89,44,67,104,98,123
"BP1026B_I0202",45,19,37,48,42,50
"BP1026B_I0203",7,7,9,13,13,15
"BP1026B_I0204",61,54,87,571,571,659
"BP1026B_I0205",61,35,45,365,351,421
"BP1026B_I0206",1151,1290,1436,1149,1073,1223
"BP1026B_I0207",54,36,36,156,174,209
"BP1026B_I0208",432,310,299,353,325,392
"predicted RNA",86,17,23,30,22,31
"BP1026B_I0209",106,41,43,82,73,99
"BP1026B_I0210",378,260,282,273,294,330
"BP1026B_I0211",1629,1145,1289,1198,1237,1386
"BP1026B_I0212",466,287,375,346,322,351
"BP1026B_I0213",193,98,119,121,106,138
"BP1026B_I0214",1,2,1,1,1,0
"BP1026B_I0215",116,76,62,72,69,87
"predicted RNA",388,284,318,483,518,577
"BP1026B_I0216",1682,1289,1660,813,778,889
"BP1026B_I0217",636,319,392,462,483,546
"BP1026B_I0218",2786,3879,4525,5565,5730,6542
"BP1026B_I0219",1923,1338,1497,2020,2046,2113
"BP1026B_I0220",250,206,246,262,273,261
"BP1026B_I0221",3171,2823,3176,2696,2732,2942
"BP1026B_I0222",5403,5308,6067,5061,5087,5664
"predicted RNA",456,277,223,215,217,247
"BP1026B_I0223",624,417,390,575,563,599
"BP1026B_I0224",2012,1246,1434,2057,2075,2252
"BP1026B_I0225",14702,8854,10331,17262,17055,18840
"BP1026B_I0226",217,133,133,141,140,161
"BP1026B_I0227",2654,1259,1501,1507,1538,1645
"BP1026B_I0228",138,104,121,108,110,116
"BP1026B_I0229",585,380,433,370,357,381
"BP1026B_I0230",5866,5219,5754,4034,4002,4466
"predicted RNA",35,14,14,9,13,10
"BP1026B_I0231",108,80,109,80,82,74
"BP1026B_I0232",1568,704,779,400,398,415
"BP1026B_I0233",300,136,170,109,99,101
"BP1026B_I0234",1430,787,904,692,640,736
"BP1026B_I0235",743,387,412,404,373,432
"BP1026B_I0236",221,111,129,91,111,124
"BP1026B_I0237",113,86,99,91,96,102
"BP1026B_I0238",6236,4170,5005,4595,4613,5152
"BP1026B_I0239",6291,2485,3109,2889,3054,3535
"BP1026B_I0240",26,15,16,14,14,14
"BP1026B_I0241",7500,4126,4610,4042,4045,4417
"predicted RNA",745,372,416,240,244,257
"BP1026B_I0242",13683,8269,9542,8237,8301,9029
"BP1026B_I0243",3771,2295,2602,1898,1884,2111
"BP1026B_I0244",943,595,713,509,480,537
"BP1026B_I0245",464,327,371,312,291,311
"BP1026B_I0246",885,556,614,611,600,655
"BP1026B_I0247",1033,749,924,868,870,1001
"BP1026B_I0248",985,783,959,873,877,944
"BP1026B_I0249",632,517,552,578,532,583
"BP1026B_I0250",2155,1763,1991,1875,1954,2191
"BP1026B_I0251",1378,902,1028,990,1015,1154
"BP1026B_I0252",897,742,740,763,738,801
"BP1026B_I0253",735,468,552,427,413,503
"BP1026B_I0255",337,180,181,174,193,207
"BP1026B_I0254",1928,1094,1288,1031,1125,1177
"BP1026B_I0256",834,572,655,724,745,777
"BP1026B_I0257",168,152,195,157,158,194
"BP1026B_I0258",685,477,577,595,573,644
"BP1026B_I0259",2121,1424,1614,1765,1664,1873
"BP1026B_I0260",2929,2361,2873,3119,3099,3378
"BP1026B_I0261",343,273,312,249,230,320
"predicted RNA",364,324,330,407,358,443
"BP1026B_I0262",1127,554,710,942,1102,1180
"BP1026B_I0263",1166,963,1213,1262,1005,1532
"BP1026B_I0264",816,731,867,1167,1297,1496
"BP1026B_I0265",2834,2480,2699,3851,4313,4871
"BP1026B_I0266",1180,1340,1569,2058,2201,2372
"BP1026B_I0267",2011,1827,2127,3026,2519,3860
"BP1026B_I0268",6253,2052,2422,3266,3094,4675
"BP1026B_I0269",1319,1097,1261,932,924,1009
"BP1026B_I0270",4737,4232,4800,4112,4152,4584
"predicted RNA",202,141,165,107,99,119
"BP1026B_I0271",604,560,705,610,616,737
"BP1026B_I0272",1308,889,1022,1083,1079,1235
"BP1026B_I0273",18074,7959,9223,8703,8659,10535
"BP1026B_I0274",6343,5118,5949,4927,4782,5478
"BP1026B_I0275",526,401,506,401,429,445
"BP1026B_I0276",6134,3347,3815,3479,3556,3903
"BP1026B_I0277",7682,4419,5143,3721,3740,4286
"BP1026B_I0278",4733,2700,3073,2423,2352,2575
"BP1026B_I0279",4475,2927,3616,3215,3116,3640
"BP1026B_I0280",12460,5523,6194,5563,5321,6109
"BP1026B_I0281",2801,1823,2270,1990,1996,2336
"BP1026B_I0282",4080,2026,2356,1924,2052,2190
"BP1026B_I0283",7155,3910,4461,3452,3389,3778
"BP1026B_I0284",2356,2024,2303,1544,1455,1625
"predicted RNA",39,51,56,32,41,42
"BP1026B_I0285",2048,1430,1697,1570,1534,1828
"BP1026B_I0286",3899,3416,4256,3177,3199,3625
"predicted RNA",375,168,174,103,113,120
"BP1026B_I0287",20650,15012,17913,13555,12977,14872
"BP1026B_I0288",5229,3594,4255,2889,2849,3318
"BP1026B_I0289",12789,9138,10625,11762,11794,13273
"BP1026B_I0290",976,633,673,700,641,723
"BP1026B_I0291",13469,11387,13666,11199,11123,12860
"BP1026B_I0292",1928,1475,1623,1479,1472,1655
"BP1026B_I0293",1127,914,1018,999,888,1076
"BP1026B_I0294",1194,670,787,674,634,728
"BP1026B_I0295",509,451,436,423,486,478
"BP1026B_I0296",6672,3863,4825,4696,4825,5352
"BP1026B_I0297",354,230,259,258,235,293
"BP1026B_I0298",321,173,210,178,186,210
"BP1026B_I0299",260,135,146,153,153,180
"BP1026B_I0300",705,350,450,342,342,376
"predicted RNA",571,186,220,129,94,87
"BP1026B_I0301",3231,2493,2953,2505,2561,2812
"BP1026B_I0302",724,306,361,288,260,356
"BP1026B_I0303",3596,3162,3707,2706,2730,3046
"BP1026B_I0304",6328,8766,10811,12195,12041,13856
"BP1026B_I0305",3572,2652,3082,2639,2704,2964
"BP1026B_I0306",2173,1467,1680,1521,1522,1728
"predicted RNA",150,142,175,113,115,135
"BP1026B_I0307",508,462,498,396,353,412
"predicted RNA",131,121,128,77,94,108
"BP1026B_I0308",5479,6356,7780,6372,6554,7137
"BP1026B_I0309",6308,4902,5489,4207,4199,4585
"BP1026B_I0310",1466,956,1055,1121,1064,1210
"BP1026B_I0311",872,850,1043,825,766,923
"BP1026B_I0312",4232,3607,4007,4030,3936,4346
"BP1026B_I0313",2764,2025,2312,2637,2591,2890
"BP1026B_I0314",1410,1082,1219,1292,1227,1338
"BP1026B_I0315",1641,1069,1172,1168,1188,1307
"BP1026B_I0316",6253,5582,6515,6454,6438,7080
"predicted RNA",45,35,43,39,34,50
"BP1026B_I0317",5042,4612,5471,5052,5035,5797
"BP1026B_I0318",26176,25116,28134,27646,28115,31064
"BP1026B_I0319",10444,5488,6047,5064,4777,5156
"BP1026B_I0320",9335,6057,7349,4995,5164,5683
"BP1026B_I0321",4722,3905,4590,3732,3724,4000
"BP1026B_I0322",1334,751,725,750,712,805
"BP1026B_I0323",1914,2178,2580,1875,1783,2061
"BP1026B_I0324",974,1084,1149,940,956,1003
"BP1026B_I0325",1353,1107,1215,1051,1088,1175
"BP1026B_I0326",2603,2138,2306,1908,1953,2152
"BP1026B_I0327",8229,5378,6309,6826,7181,8368
"BP1026B_I0328",3032,1892,2188,2050,1944,2251
"BP1026B_I0329",871,585,649,718,736,788
"BP1026B_I0331",2847,1824,2172,1993,1936,2202
"BP1026B_I0330",1265,672,662,854,778,931
"BP1026B_I0332",397,221,237,299,312,331
"BP1026B_I0333",48,42,39,55,52,63
"BP1026B_I0334",6,5,1,9,7,12
"BP1026B_I0335",1194,1095,1194,1592,1576,1742
"BP1026B_I0336",496,386,405,562,560,623
"BP1026B_I0337",1709,1106,1251,2203,2235,2360
"BP1026B_I0338",1056,488,562,989,963,994
"BP1026B_I0339",1876,898,1059,1552,1402,1597
